simplified	IT	example_IT
塔	la torre	Nel centro della città c'è una torre alta.
台风	il tifone	Si prevede che il tifone tocchi terra domani.
太空	lo spazio	L'umanità ha sempre esplorato lo spazio.
泰斗	il grande maestro	Lui è un grande maestro nel campo della linguistica.
摊	la bancarella	Lei ha allestito una bancarella di frutta al mercato.
瘫痪	la paralisi	L'incidente stradale gli ha causato la paralisi degli arti inferiori.
贪婪	l'avidità	L'avidità può rovinare una persona.
贪污	la corruzione	Il funzionario è stato indagato per corruzione.
弹性	l'elasticità	Questo materiale ha molta elasticità.
坦白	confessare	Alla fine lui ha confessato la verità.
叹气	sospirare	Sentendo il risultato, non ha potuto fare a meno di sospirare.
探测	rilevare	L'attrezzatura può rilevare l'acqua sotterranea.
探索	esplorare	Gli scienziati continuano a esplorare l'universo.
探讨	discutere	Gli esperti hanno discusso il piano di riforma.
探望	fare visita	Nel fine settimana sono andato in ospedale a fare visita a un amico.
倘若	se	Se piove, l'evento sarà rinviato.
掏	tirare fuori	Lui ha tirato fuori le chiavi dalla tasca.
滔滔不绝	parlare senza sosta	Quando parla di storia, lui parla senza sosta.
淘汰	eliminare	Questa squadra è stata eliminata in anticipo.
陶瓷	la ceramica	Jingdezhen è famosa per la ceramica.
陶醉	essere incantato	Il pubblico era incantato dalla musica.
讨好	ingraziarsi	Lui non vuole ingraziarsi deliberatamente il capo.
特长	il punto forte	La pittura è il suo punto forte.
特定	specifico	Per favore presenta la domanda entro il tempo specifico.
特意	apposta	Sono venuto apposta per ringraziarti.
提拔	promuovere	L'azienda l'ha promossa a responsabile di reparto.
提炼	estrarre	La fabbrica estrae metallo dal minerale.
提示	suggerire	Il sistema suggerirà di inserire la password.
提议	proporre	Lei ha proposto di continuare la discussione domani.
题材	il tema	Il tema di questo film è originale.
体裁	il genere	Romanzi e poesie sono generi diversi.
体积	il volume	Questa scatola ha un grande volume.
体谅	comprendere	Per favore cerca di comprendere le sue difficoltà.
体面	dignitoso	Lui vuole trovare un lavoro dignitoso.
体系	il sistema	L'azienda ha costruito un sistema di formazione completo.
天才	il genio	Questo bambino è considerato un genio musicale.
天赋	il talento	Lei ha talento per imparare le lingue.
天伦之乐	la felicità familiare	L'anziano gode della felicità familiare.
天然气	il gas naturale	Gli abitanti della città usano gas naturale per cucinare.
天生	naturale	Lui è naturalmente ottimista.
天堂	il paradiso	Questo posto è come un paradiso in terra.
天文	l'astronomia	Lui ama l'astronomia fin da piccolo.
田径	l'atletica leggera	La scuola ha tenuto una gara di atletica leggera.
田野	i campi	I campi in primavera sono tutti verdi.
舔	leccare	Il cagnolino ha leccato la mano del padrone.
挑剔	schizzinoso	Lei è molto schizzinosa riguardo al cibo.
条款	la clausola	Le clausole del contratto devono essere lette con attenzione.
条理	l'ordine	Il suo intervento era molto ordinato.
条约	il trattato	I due paesi hanno firmato un trattato di pace.
调和	armonizzarsi	Questi due colori si armonizzano bene.
调剂	equilibrare	L'esercizio può equilibrare una vita stressante.
调节	regolare	Il condizionatore può regolare la temperatura interna.
调解	mediare	Il personale della comunità ha aiutato a mediare la disputa tra le due parti.
调料	il condimento	Bisogna aggiungere un po' di condimento alla zuppa.
挑拨	istigare	Non istigare discordia tra colleghi.
挑衅	la provocazione	Questo tipo di commento contiene una provocazione evidente.
跳跃	saltare	L'atleta ha saltato tre volte di seguito.
亭子	il padiglione	Accanto al lago c'è un piccolo padiglione.
停泊	ormeggiare	Le barche da pesca sono ormeggiate nel porto.
停顿	la pausa	Lui ha fatto una breve pausa mentre parlava.
停滞	fermarsi	Il progetto si è fermato per mancanza di fondi.
挺拔	alto e dritto	I pini crescono alti e dritti.
通货膨胀	l'inflazione	L'inflazione ha spinto verso l'alto il costo della vita.
通缉	ricercare	La polizia sta ricercando questo sospetto.
通俗	accessibile	Il linguaggio di questo libro è molto accessibile.
通讯	le comunicazioni	La tecnologia moderna delle comunicazioni si sta sviluppando rapidamente.
通用	universale	Questo tipo di caricatore è relativamente universale.
同胞	il compatriota	Anche i compatrioti all'estero seguono lo sviluppo della loro città natale.
同志	il compagno	Il vecchio compagno ha condiviso esperienza di lavoro.
童话	la fiaba	Il bambino ama ascoltare fiabe prima di dormire.
铜	il rame	Questa statua è fatta di rame.
统筹兼顾	coordinare e considerare tutto	La pianificazione urbana deve coordinare e considerare gli interessi di tutte le parti.
统计	contare	Dobbiamo contare il numero delle iscrizioni.
统统	tutto	Tutti questi vecchi documenti devono essere archiviati.
统治	governare	Questa dinastia ha governato per trecento anni.
投机	la speculazione	Lui ha guadagnato una somma di denaro con la speculazione.
投票	il voto	I residenti parteciperanno al voto domani.
投诉	il reclamo	Il cliente ha presentato un reclamo contro il commerciante sulla piattaforma.
投降	arrendersi	L'esercito nemico alla fine ha scelto di arrendersi.
投掷	lanciare	L'atleta si esercitava a lanciare il giavellotto.
透露	rivelare	Lui non ha rivelato i dettagli della riunione.
秃	calvo	Lui è diventato calvo da giovane.
突破	la svolta	La ricerca ha ottenuto una grande svolta.
图案	il motivo	Il motivo su questo tessuto è molto bello.
徒弟	l'apprendista	Il maestro sta insegnando all'apprendista a riparare orologi.
涂抹	applicare	Per favore applica la pomata intorno alla ferita.
途径	il canale	Internet è un canale importante per ottenere informazioni.
土壤	il suolo	Il suolo fertile è adatto a coltivare verdure.
团结	unirsi	Il team deve unirsi e collaborare.
团体	il gruppo	Questo gruppo organizza attività regolarmente.
团圆	la riunione familiare	La Festa di primavera è un periodo di riunione familiare.
推测	supporre	Gli esperti suppongono che i prezzi continueranno a salire.
推翻	rovesciare	Il popolo ha rovesciato il vecchio sistema.
推理	il ragionamento	Questo romanzo è pieno di trame di ragionamento.
推论	l'inferenza	Questa inferenza ha ancora bisogno di prove a sostegno.
推销	commercializzare	Lui è responsabile della commercializzazione del nuovo prodotto.
吞吞吐吐	balbettare	Lui balbettava mentre rispondeva alla domanda.
托运	imbarcare	I passeggeri possono imbarcare i bagagli al banco.
拖延	ritardare	Non ritardare più il pagamento.
脱离	separarsi	La teoria non può separarsi dalla realtà.
妥当	appropriato	Questa disposizione è molto appropriata.
妥善	adeguatamente	Per favore conserva adeguatamente i documenti importanti.
妥协	il compromesso	Le due parti alla fine hanno raggiunto un compromesso.
椭圆	l'ellisse	L'orbita della Terra è vicina a un'ellisse.
唾弃	disprezzare	La società disprezza questo tipo di frode.
哇	Wow	Wow, questo ponte è davvero spettacolare.
挖掘	scavare	La squadra archeologica sta scavando un'antica tomba.
娃娃	la bambola	La bambina tiene in braccio una bambola.
瓦解	crollare	I conflitti interni hanno fatto crollare l'alleanza.
歪曲	distorcere	I resoconti non dovrebbero distorcere i fatti.
外表	l'aspetto	Non giudicare le persone solo dall'aspetto.
外行	il profano	In materia di diritto sono completamente profano.
外界	il mondo esterno	L'azienda risponde raramente alle critiche del mondo esterno.
外向	estroverso	Lei ha un carattere estroverso e molti amici.
丸	la pillola	Il medico gli ha prescritto alcune pillole.
完备	completo	Questo insieme di materiali è molto completo.
完毕	concludersi	La riunione si è già conclusa.
玩弄	giocare con	Non giocare con i sentimenti degli altri.
玩意儿	la cosa nuova	Che cosa è questa cosa nuova?
顽固	ostinato	Il suo atteggiamento è molto ostinato.
顽强	tenace	Il ferito ha mostrato grande tenacia.
惋惜	dispiacersi	Tutti si sono dispiaciuti per il fallimento.
挽回	recuperare	Lui ha lavorato duramente per recuperare le perdite dell'azienda.
挽救	salvare	Il medico ha salvato con successo la vita del paziente.
万分	estremamente	Ti sono estremamente grato per il tuo aiuto.
往常	del solito	Oggi fa più caldo del solito.
往事	il passato	L'anziano ricorda spesso il passato.
妄想	illudersi	Lui si illude di diventare ricco in una notte.
危机	la crisi	L'azienda sta affrontando una grave crisi.
威风	imponente	Il generale sembrava imponente a cavallo.
威力	la potenza	Questo tipo di arma ha grande potenza.
威望	il prestigio	Lui ha grande prestigio nel villaggio.
威信	la credibilità	I leader devono mantenere la credibilità del governo.
微不足道	insignificante	Questa piccola perdita è insignificante.
微观	microeconomico	Questo corso introduce la microeconomia.
为难	mettere in difficoltà	Non mettere più in difficoltà il cameriere.
为期	durare	La formazione dura tre mesi.
唯独	soltanto	Tutti sono arrivati, soltanto lui no.
维持	mantenere	La polizia ha mantenuto l'ordine sul posto.
维护	tutelare	Dobbiamo tutelare i nostri diritti e interessi legittimi.
维生素	la vitamina	La frutta contiene vitamine abbondanti.
违背	violare	Questa decisione viola lo spirito del contratto.
伪造	falsificare	Qualcuno ha falsificato la sua firma.
委托	incaricare	Il cliente ha incaricato un avvocato di gestire il caso.
委员	il membro del comitato	Ogni membro del comitato ha espresso un'opinione.
卫星	il satellite	Il satellite è entrato nell'orbita prevista.
喂	dare da mangiare	Il bambino sta dando da mangiare al gattino.
慰问	fare visita di solidarietà	I leader sono andati in ospedale a fare visita ai feriti.
未免	un po' troppo	Questa richiesta è un po' troppo alta.
畏惧	temere	Lui non teme mai le difficoltà.
蔚蓝	azzurro	Il cielo mostrava un colore azzurro.
温带	la zona temperata	Questa pianta è adatta a un clima temperato.
温和	moderato	La sua posizione politica è relativamente moderata.
文凭	il diploma	Questo lavoro richiede un diploma universitario.
文物	il reperto culturale	Il museo ha esposto preziosi reperti culturali.
文献	la letteratura accademica	L'articolo ha citato una grande quantità di letteratura accademica.
文雅	elegante	Lei si comporta in modo elegante.
文艺	letteratura e arte	Questa città ha una forte atmosfera di letteratura e arte.
问世	uscire	Questo modello di telefono sta per uscire.
窝	il nido	Sull'albero c'è un nido d'uccello.
乌黑	nero corvino	Lei ha lunghi capelli nero corvino.
污蔑	diffamare	Lui ha negato di aver diffamato il concorrente.
诬陷	incastrare	Le prove mostrano che è stato incastrato.
无比	estremamente	Sentendo la notizia, lui si è sentito estremamente emozionato.
无偿	gratuito	I volontari offrono servizi gratuiti.
无耻	vergognoso	Questo comportamento fraudolento è molto vergognoso.
无动于衷	indifferente	Di fronte alle critiche, lui è rimasto indifferente.
无非	nient'altro che	Lui lo ha fatto nient'altro che per risparmiare denaro.
无辜	innocente	Il tribunale ha stabilito che lui era innocente.
无精打采	svogliato	Oggi lui sembra svogliato.
无赖	il mascalzone	Gli abitanti del villaggio non vogliono avere a che fare con quel mascalzone.
无理取闹	fare storie senza motivo	Per favore non fare storie qui senza motivo.
无能为力	impotente	Di fronte all'alluvione, gli abitanti del villaggio erano impotenti.
无穷无尽	infinito	Il deserto sembrava infinito.
无微不至	con ogni cura	L'infermiera si è presa cura del paziente con ogni cura.
无忧无虑	spensierato	I bambini giocavano spensierati sull'erba.
无知	l'ignoranza	L'ignoranza non è un motivo per rifiutare di imparare.
侮辱	insultare	Le sue parole hanno insultato l'altra persona.
武器	l'arma	Queste armi sono custodite in modo centralizzato.
武侠	il wuxia	Lui ama leggere romanzi wuxia fin da piccolo.
武装	armato	La zona di confine ha rafforzato le pattuglie armate.
舞蹈	la danza	Questa danza ha forti caratteristiche etniche.
务必	assolutamente	Per favore arriva assolutamente in orario.
物美价廉	buono ed economico	I prodotti di questo negozio sono buoni ed economici.
物业	la gestione immobiliare	La gestione immobiliare è responsabile delle riparazioni nel quartiere.
物资	i materiali	I materiali di soccorso sono già arrivati nella zona colpita.
误差	l'errore	Nei risultati della misurazione c'è un piccolo errore.
误解	il malinteso	Le due parti hanno eliminato il malinteso tramite la comunicazione.
夕阳	il tramonto	Il tramonto ha tinto il cielo d'oro.
昔日	di un tempo	Il piccolo villaggio di un tempo è diventato una città.
溪	il ruscello	Un piccolo ruscello scorre tra le montagne.
熄灭	spegnere	Per favore spegni la candela.
牺牲	il sacrificio	Loro hanno fatto un sacrificio per salvare gli altri.
膝盖	il ginocchio	Il suo ginocchio è rimasto ferito.
习俗	l'usanza	La Festa di primavera ha molte usanze tradizionali.
媳妇	la moglie	Sua moglie lavora in ospedale.
袭击	attaccare	La tempesta ha attaccato la città costiera.
喜闻乐见	amato dal pubblico	Questo tipo di programma è amato dal pubblico.
喜悦	la gioia	Sul suo viso è apparso un sorriso di gioia.
系列	la serie	L'azienda ha lanciato una serie di nuovi prodotti.
细菌	il batterio	Le alte temperature possono uccidere i batteri.
细胞	la cellula	Il corpo umano è composto da innumerevoli cellule.
细致	meticoloso	La sua osservazione è molto meticolosa.
峡谷	il canyon	Il fiume attraversa un canyon profondo.
狭隘	ristretto	Questa visione ristretta deve cambiare.
狭窄	stretto	Questo sentiero è molto stretto.
霞	il bagliore del tramonto	Il bagliore del tramonto ha arrossato il cielo.
下属	il subordinato	Il direttore ha ascoltato attentamente le opinioni dei subordinati.
先进	avanzato	La fabbrica ha adottato attrezzature avanzate.
先前	precedente	Il piano precedente è già cambiato.
掀起	scatenare	Questo libro ha scatenato un'ondata di discussioni.
纤维	la fibra	Questo tessuto contiene fibre naturali.
鲜明	chiaro	La sua posizione è molto chiara.
嫌	non gradire	Lei non gradisce che la stanza sia troppo piccola.
嫌疑	il sospetto	Quest'uomo è sotto forte sospetto.
弦	la corda	Una corda della chitarra si è rotta.
衔接	collegarsi	I contenuti dei due corsi si collegano molto bene.
贤惠	virtuoso	Lei è considerata virtuosa e capace.
闲话	il pettegolezzo	Non fare pettegolezzi sugli altri alle loro spalle.
显著	significativo	L'effetto del trattamento è molto significativo.
宪法	la costituzione	La costituzione garantisce i diritti fondamentali dei cittadini.
现场	il luogo dell'incidente	I giornalisti sono già arrivati sul luogo dell'incidente.
现成	pronto	In cucina c'è cibo già pronto.
现状	la situazione attuale	Dobbiamo capire la situazione attuale del settore.
线索	l'indizio	La polizia ha trovato un nuovo indizio.
陷害	incastrare	Lui sostiene che qualcuno lo abbia incastrato.
陷阱	la trappola	Il cacciatore ha preparato una trappola.
陷入	cadere	L'azienda è caduta in difficoltà finanziarie.
馅儿	il ripieno	Il ripieno di questo baozi ha un profumo molto buono.
乡镇	il comune rurale	Le condizioni delle scuole nei comuni rurali stanno migliorando.
相差	differire	Le temperature dei due luoghi differiscono di dieci gradi.
相等	uguale	Le aree dei due triangoli sono uguali.
相辅相成	completarsi a vicenda	Teoria e pratica si completano a vicenda.
相应	corrispondente	L'azienda adotterà misure corrispondenti.
镶嵌	incastonare	Nell'anello è incastonata una gemma.
响亮	forte e chiaro	La sua risposta era forte e chiara.
响应	rispondere	Molte persone hanno risposto all'iniziativa ambientale.
想方设法	fare tutto il possibile	Loro hanno fatto tutto il possibile per ridurre i costi.
向导	la guida	Una guida locale ci ha portati in montagna.
向来	da sempre	Lui ha da sempre dato importanza alla credibilità.
向往	desiderare	Lei desidera una vita tranquilla.
巷	il vicolo	Nel vecchio vicolo sono stati aperti molti piccoli negozi.
相声	il dialogo comico	Il nonno ama ascoltare il dialogo comico tradizionale.
消除	eliminare	La comunicazione può eliminare i malintesi.
消毒	disinfettare	Il medico ha disinfettato la ferita.
消防	antincendio	I vigili del fuoco sono arrivati rapidamente sul posto.
消耗	consumare	Un lungo viaggio consuma molta energia fisica.
消灭	eliminare	Gli addetti stanno eliminando i parassiti.
潇洒	disinvolto	Il suo modo di camminare è molto disinvolto ed elegante.
销毁	distruggere	La dogana ha distrutto le merci contraffatte.
小心翼翼	con molta cautela	Lei ha aperto la scatola con molta cautela.
效益	l'efficienza	Le nuove attrezzature hanno migliorato l'efficienza produttiva.
肖像	il ritratto	Il suo ritratto è appeso alla parete.
协会	l'associazione	Questa associazione aiuta i giovani imprenditori.
协商	consultarsi	Le due parti sono disposte a continuare a consultarsi.
协调	coordinare	Il project manager è responsabile di coordinare le risorse.
协议	l'accordo	Le due parti hanno firmato un accordo di cooperazione.
协助	assistere	I volontari hanno assistito gli anziani nell'attraversare la strada.
携带	portare	I passeggeri non possono portare merci pericolose.
屑	i trucioli	Sul tavolo ci sono molti trucioli di legno.
泄露	divulgare	I dipendenti non devono divulgare informazioni dei clienti.
泄气	scoraggiarsi	Non scoraggiarti dopo un fallimento.
谢绝	rifiutare cortesemente	L'hotel rifiuta cortesemente cibo portato dall'esterno.
心得	esperienza acquisita	Ha condiviso l'esperienza acquisita nello studio.
心甘情愿	di buon grado	È rimasto ad aiutare di buon grado.
心灵	spirito	La musica ha confortato il suo spirito.
心态	mentalità	Mantenere una mentalità positiva è importante.
心疼	provare pena	La madre ha provato pena per il bambino ferito.
心血	sforzo meticoloso	Questo libro racchiude lo sforzo meticoloso dell'autore.
心眼儿	mentalità meschina	Lui ha una mentalità un po' meschina.
新陈代谢	metabolismo	L'esercizio fisico può favorire il metabolismo.
新郎	lo sposo	Lo sposo accoglieva gli ospiti all'ingresso.
新娘	la sposa	La sposa indossava un abito da sposa bianco.
新颖	originale	Questo design è molto originale.
欣慰	sentirsi sollevato	Vedere i progressi del bambino l'ha fatta sentire sollevata.
欣欣向荣	fiorente	Il turismo della cittadina è fiorente.
薪水	stipendio	Il suo stipendio basta a mantenere la famiglia.
辛勤	operoso	I contadini lavorano duramente per coltivare i campi.
信赖	fidarsi	I clienti si fidano molto di questa azienda.
信念	convinzione	Una convinzione salda lo sosteneva.
信仰	fede	Lei rispetta fedi diverse.
信誉	reputazione	Un'azienda deve proteggere la propria reputazione.
兴高采烈	entusiasta	I bambini sono corsi in classe entusiasti.
兴隆	prospero	Questo vecchio negozio ha affari prosperi.
兴旺	prospero	L'economia di mercato sta diventando sempre più prospera.
腥	odore di pesce	Questo pesce ha un po' odore di pesce.
刑事	penale	La polizia sta indagando su un caso penale.
形态	forma	La forma delle piante cambia con l'ambiente.
行政	amministrativo	L'ufficio amministrativo gestisce le domande.
兴致勃勃	con grande interesse	Tutti hanno discusso il piano con grande interesse.
性感	sexy	Questo abito da sera sembra molto sexy.
性命	vita	Il medico gli ha salvato la vita.
性能	prestazioni	Questo computer ha buone prestazioni.
凶恶	feroce	Questo cane sembra molto feroce.
凶手	assassino	La polizia ha finalmente catturato l'assassino.
汹涌	tumultuoso	Le onde tumultuose battevano contro la riva.
胸怀	ampiezza di vedute	Ha una grande ampiezza di vedute.
胸膛	petto	Il soldato ha gonfiato il petto.
雄厚	solido	L'azienda dispone di solide risorse finanziarie.
雄伟	imponente	Questo ponte è molto imponente.
修复	riparare	Gli ingegneri stanno riparando il sistema.
修建	costruire	Il governo prevede di costruire un nuovo aeroporto.
修养	formazione personale	Una buona formazione personale si vede nei dettagli.
羞耻	vergogna	Ha provato vergogna dopo aver mentito.
嗅觉	olfatto	L'olfatto del cane è molto sensibile.
绣	ricamare	La nonna sa ricamare fiori.
虚假	falso	Il sito ha pubblicato notizie false.
虚荣	vanità	La vanità lo ha portato a spendere troppo.
虚伪	ipocrita	Lei non ama le cortesie ipocrite.
需求	domanda	La domanda di mercato sta aumentando.
须知	istruzioni da leggere	Leggi prima le istruzioni per l'iscrizione.
许可	permesso	Senza permesso non si può entrare.
序言	prefazione	L'autore spiega il contesto nella prefazione.
畜牧	allevamento	La prateria è adatta allo sviluppo dell'allevamento.
酗酒	abuso di alcol	L'abuso prolungato di alcol danneggia la salute.
喧哗	fare rumore	In biblioteca è vietato fare rumore.
宣誓	prestare giuramento	I nuovi membri hanno prestato giuramento durante la riunione.
宣扬	promuovere	La scuola promuove onestà e affidabilità.
悬挂	appendere	Un quadro è appeso alla parete.
悬念	suspense	Il finale del film lascia suspense.
悬殊	divario enorme	Il divario di forza tra le due squadre è enorme.
悬崖峭壁	precipizi scoscesi	Accanto alla strada di montagna ci sono precipizi scoscesi.
旋律	melodia	Questa canzone ha una melodia bellissima.
旋转	ruotare	Il mulino a vento ruota nel vento.
选拔	selezionare	La scuola sta selezionando gli atleti.
选举	elezione	Il villaggio ha tenuto un'elezione.
选手	concorrente	Questo concorrente ha avuto una prestazione stabile.
炫耀	ostentare	Lui ama sempre ostentare la propria ricchezza.
削	tagliare	L'azienda ha tagliato alcune spese.
削弱	indebolire	La stanchezza indebolisce il giudizio.
学说	teoria	Questa teoria ha una grande influenza.
学位	titolo accademico	Lei ha ottenuto un titolo accademico magistrale.
雪上加霜	peggiorare le cose	Perdere il lavoro e poi ammalarsi ha davvero peggiorato le cose.
血压	pressione sanguigna	Il medico gli ha ricordato di controllare la pressione sanguigna.
熏陶	influenza formativa	Fin da piccola ha ricevuto l'influenza formativa della musica.
寻觅	cercare	Hanno cercato ovunque un alloggio adatto.
巡逻	pattugliare	La polizia pattuglia le strade di notte.
循环	circolare	L'acqua circola nel sistema.
循序渐进	procedere gradualmente	L'apprendimento di una lingua deve procedere gradualmente.
压迫	opprimere	Il vecchio sistema opprimeva la gente comune.
压岁钱	soldi di Capodanno	Il bambino ha ricevuto i soldi di Capodanno.
压缩	comprimere	Il software può comprimere le dimensioni delle immagini.
压抑	reprimere	Ha cercato di reprimere la rabbia interiore.
压榨	spremere	La macchina sta spremendo il succo di canna da zucchero.
压制	reprimere	Il farmaco può reprimere il dolore.
鸦雀无声	silenzio assoluto	Dopo l'ingresso dell'insegnante, in classe c'era silenzio assoluto.
亚军	secondo classificato	Lei si è classificata seconda nella gara.
淹没	sommergere	L'alluvione ha sommerso il villaggio nella zona bassa.
烟花爆竹	fuochi d'artificio e petardi	Durante la festa sono vietati fuochi d'artificio e petardi.
严峻	grave	La situazione occupazionale resta grave.
严寒	freddo intenso	Il freddo intenso influisce sul traffico.
严禁	vietare severamente	Qui è severamente vietato fumare.
严厉	severo	L'insegnante lo ha criticato severamente.
严密	rigoroso	Il magazzino ha una sorveglianza rigorosa.
岩石	roccia	Le rocce in riva al mare sono molto dure.
延期	rinviare	La riunione è stata rinviata alla prossima settimana.
延伸	estendersi	La strada si estende verso nord.
延续	continuare	Questa tradizione continua da cento anni.
沿海	costiero	Le città costiere hanno un commercio sviluppato.
炎热	caldo torrido	Il caldo torrido rende le persone stanche.
言论	dichiarazioni	Il pubblico presta attenzione alle sue dichiarazioni.
掩盖	coprire	Ha cercato di coprire l'errore.
掩护	coprire	I compagni di squadra erano responsabili di coprire la ritirata.
掩饰	nascondere	Ha cercato con impegno di nascondere il nervosismo.
演变	evolversi	La struttura della città continua a evolversi.
演习	esercitazione	La scuola ha tenuto un'esercitazione antincendio.
演绎	dedurre	L'insegnante ha dedotto questo teorema.
演奏	eseguire	La band sta eseguendo musica classica.
眼光	visione	Ha una buona visione negli investimenti.
眼色	sguardo d'intesa	Lei ha lanciato uno sguardo d'intesa al collega.
眼神	sguardo	Il suo sguardo era molto deciso.
厌恶	odiare	Lui odia i comportamenti ingannevoli.
验收	collaudo	Il progetto richiede un collaudo dopo il completamento.
验证	verificare	L'esperimento ha verificato l'ipotesi.
氧气	ossigeno	Il paziente deve respirare ossigeno.
样品	campione	Il cliente ha ricevuto campioni del prodotto.
摇摆	oscillare	La piccola barca oscillava tra vento e onde.
摇滚	rock	Ai giovani piace la musica rock.
谣言	voce infondata	Non diffondere voci infondate non verificate.
遥控	controllare a distanza	Ha usato il telefono per controllare a distanza il condizionatore.
遥远	lontano	Quel villaggio è molto lontano dalla città.
耀眼	abbagliante	La luce del sole era abbagliante.
要点	punto principale	Per favore annota i punti principali della riunione.
要命	estremamente	Questa strada di montagna è estremamente pericolosa.
要素	elemento essenziale	La fiducia è un elemento essenziale della cooperazione.
野蛮	brutale	Lui si oppone all'applicazione brutale della legge.
野心	ambizione	La sua ambizione politica è evidente.
液体	liquido	Questo liquido è incolore.
一流	di prima classe	Questo ospedale ha attrezzature di prima classe.
一如既往	come sempre	Lui ci sostiene come sempre.
依旧	ancora	La pioggia si è fermata, ma la strada è ancora umida.
依据	basarsi su	La sentenza deve basarsi sulla legge.
依靠	dipendere da	Loro dipendono dall'agricoltura per vivere.
依赖	dipendere da	I bambini non dovrebbero dipendere troppo dai genitori.
依托	fare affidamento su	Il progetto si sviluppa facendo affidamento sulle risorse locali.
衣裳	vestiti	Lei si è cambiata e ha indossato vestiti puliti.
一度	una volta	L'azienda una volta ha rischiato il fallimento.
一贯	coerente	Lui si è sempre opposto allo spreco.
一目了然	chiaro a colpo d'occhio	Il contenuto della tabella è chiaro a colpo d'occhio.
一向	da sempre	Lei è sempre stata puntuale.
仪器	strumento	Il laboratorio ha acquistato nuovi strumenti.
仪式	cerimonia	La cerimonia di diploma si terrà domani.
疑惑	perplesso	Lo studente era perplesso sulla risposta.
遗产	patrimonio	Questa città antica è patrimonio culturale.
遗传	ereditario	Questa malattia potrebbe essere ereditaria.
遗留	lasciato in eredità	I problemi lasciati dalla storia devono essere risolti.
遗失	perdere	Il viaggiatore ha perso il passaporto.
以便	in modo da	Lascia un numero di telefono in modo da poterti contattare.
以免	per evitare	Parti prima per evitare di arrivare in ritardo.
以往	passato	L'esperienza passata merita di essere consultata.
以至	fino a	La portata si è estesa alla comunità e fino a tutta la città.
以致	causando	La pioggia intensa è continuata, causando l'interruzione delle strade.
一帆风顺	andare liscio	Avviare un'impresa non può sempre andare liscio.
一举两得	prendere due piccioni con una fava	Andare al lavoro in bicicletta permette di prendere due piccioni con una fava.
一丝不苟	meticoloso	L'ingegnere ha controllato i cavi in modo meticoloso.
亦	anche	Anche lui ha approvato questo piano.
异常	anomalo	Nel sistema si è verificata una situazione anomala.
意料	previsione	Il risultato è stato completamente fuori previsione.
意识	essere consapevole	Lui è diventato gradualmente consapevole della gravità del problema.
意图	intenzione	La polizia ha capito la sua intenzione.
意味着	significare	Il silenzio non significa consenso.
意向	intenzione	Entrambe le parti hanno espresso l'intenzione di collaborare.
意志	volontà	Le difficoltà mettono alla prova la volontà di una persona.
毅力	perseveranza	Il successo richiede perseveranza a lungo termine.
毅然	risolutamente	Lei ha lasciato l'azienda risolutamente.
翼	ala	L'ala dell'aereo è stata ispezionata.
阴谋	complotto	Hanno rivelato questo complotto.
音响	acustica	Il soggiorno ha una buona acustica.
引导	guidare	L'insegnante ha guidato gli studenti a riflettere.
引擎	motore	Il motore dell'auto si è spento all'improvviso.
引用	citare	L'articolo ha citato molti materiali.
隐蔽	nascondersi	I soldati si sono nascosti nel bosco.
隐患	rischio nascosto	I vecchi cavi presentano rischi nascosti per la sicurezza.
隐瞒	nascondere	Lui non ha nascosto la verità.
隐私	privacy	L'azienda deve proteggere la privacy degli utenti.
隐约	vagamente	Da lontano si sentiva vagamente un canto.
饮食	alimentazione	Un'alimentazione sana aiuta la guarigione.
婴儿	neonato	Il neonato sta dormendo tranquillo.
英明	saggio	Il leader ha preso una decisione saggia.
英勇	coraggioso	Il vigile del fuoco ha salvato coraggiosamente il bambino.
盈利	realizzare profitto	L'azienda ha iniziato a realizzare profitto quest'anno.
迎面	di fronte	Un vento freddo soffiava di fronte.
应酬	impegni sociali	Stasera lui ha molti impegni sociali.
应邀	su invito	L'esperto ha partecipato al forum su invito.
庸俗	volgare	Il contenuto di questa pubblicità è volgare.
拥护	sostenere	Tutti sostengono la nuova politica.
拥有	possedere	Lui possiede una ricca esperienza.
勇于	osare	I giovani devono osare provare.
永恒	eterno	L'amore non è eternamente immutabile.
涌现	emergere	Da ogni luogo stanno emergendo insegnanti eccellenti.
踊跃	con entusiasmo	I residenti si sono iscritti con entusiasmo all'attività.
用户	utente	Gli utenti possono modificare la password.
优胜劣汰	selezione dei migliori	La concorrenza di mercato riflette la selezione dei migliori.
优先	priorità	Gli anziani possono essere serviti con priorità.
优异	eccellente	Lei ha ottenuto risultati eccellenti.
优越	superiore	Questo luogo ha una posizione geografica superiore.
忧郁	malinconico	La sua espressione sembrava malinconica.
油腻	unto	Questo piatto è troppo unto.
油漆	vernice	Gli operai stanno verniciando la porta.
犹如	come	La superficie del lago è come uno specchio.
有条不紊	ordinatamente	La riunione è proceduta ordinatamente.
幼稚	ingenuo	Questa idea è un po' ingenua.
诱惑	tentazione	La pubblicità è piena di tentazioni al consumo.
愚蠢	stupido	Questa decisione è estremamente stupida.
愚昧	ignorante	Le idee ignoranti ostacolano il progresso.
渔民	pescatore	I pescatori escono in mare all'alba per pescare.
舆论	opinione pubblica	L'opinione pubblica ha un grande impatto sul caso.
与日俱增	aumentare di giorno in giorno	Il numero di turisti aumenta di giorno in giorno.
