simplified	TE	example_TE
潮流	ధోరణి	యువకులు ఫ్యాషన్ ధోరణులపై ఎక్కువ శ్రద్ధ పెడతారు.
撤退	వెనక్కి వెళ్లడం	ఆదేశం అందుకున్న తర్వాత దళాలు వెనక్కి వెళ్లాయి.
撤销	రద్దు చేయడం	న్యాయస్థానం పాత తీర్పును రద్దు చేసింది.
沉淀	కిందకు పేరుకుపోవడం	మట్టికణాలు నెమ్మదిగా కిందకు పేరుకుపోతాయి.
沉闷	భారంగా, ఉక్కిరిబిక్కిరిగా ఉన్న	ఈరోజు వాతావరణం వేడిగా, భారంగా ఉంది.
沉思	లోతుగా ఆలోచించడం	అతడు కిటికీ పక్కన కూర్చొని లోతుగా ఆలోచించాడు.
沉重	భారమైన; తీవ్రంగా ఉన్న	ఈ వార్త అందరి మనసును భారంగా చేసింది.
沉着	స్థిరంగా; ప్రశాంతంగా	ప్రమాదాన్ని ఎదుర్కొన్నప్పుడు ప్రశాంతంగా ఉండాలి.
陈旧	పాతబడిన	ఈ యంత్రం ఇప్పటికే చాలా పాతబడింది.
陈列	ప్రదర్శించడం	ప్రదర్శన మందిరంలో అనేక సాంస్కృతిక వస్తువులు ప్రదర్శించబడ్డాయి.
陈述	వివరించి చెప్పడం	దయచేసి వాస్తవాలను స్పష్టంగా వివరించి చెప్పండి.
称心如意	మనసుకు నచ్చిన	ఈ పని అతనికి చాలా మనసుకు నచ్చింది.
衬托	మరింత స్పష్టంగా చూపించడం	తెల్లని గోడ పూల రంగును మరింత స్పష్టంగా చూపిస్తుంది.
称号	బిరుదు	అతనికి ఉత్తమ ఉపాధ్యాయుడి బిరుదు లభించింది.
乘	ప్రయాణించడం; ఎక్కడం	నేను ప్రతిరోజూ మెట్రోలో పనికి వెళ్తాను.
呈现	కనిపించడం; రూపం చూపడం	ఆకాశం పల్చని ఎరుపు రంగులో కనిపించింది.
城堡	కోట	కొండ శిఖరంపై ఒక పాత కోట ఉంది.
惩罚	శిక్షించడం	మోసం చేసే విద్యార్థులను పాఠశాల శిక్షిస్తుంది.
成本	ఖర్చు	ముడి సరుకుల ధరలు పెరగడంతో ఖర్చు పెరిగింది.
成交	ఒప్పందం కుదరడం	ఈ వ్యాపార ఒప్పందం చివరకు కుదిరింది.
成天	రోజంతా	అతడు రోజంతా కంప్యూటర్ ముందు కూర్చుంటాడు.
成效	ఫలితం	కొత్త నిర్వహణ విధానం త్వరగానే ఫలితం చూపించింది.
成心	ఉద్దేశపూర్వకంగా	అతడు నిన్ను ఇబ్బంది పెట్టాలని ఉద్దేశపూర్వకంగా చేయలేదు.
成员	సభ్యుడు	ప్రతి సభ్యుడు సమావేశానికి హాజరుకావాలి.
承办	బాధ్యత తీసుకుని నిర్వహించడం	ఈ కంపెనీ ప్రదర్శనను నిర్వహించే బాధ్యత తీసుకుంది.
承包	ఒప్పందంగా చేపట్టడం	వారు ఈ ప్రాజెక్టును ఒప్పందంగా చేపట్టారు.
承诺	వాగ్దానం చేయడం	అతడు పనిని సమయానికి పూర్తి చేస్తానని వాగ్దానం చేశాడు.
橙	నారింజ రంగు; నారింజ పండు	నేను కొన్ని తాజా నారింజ పండ్లు కొన్నాను.
澄清	స్పష్టం చేయడం	మేనేజర్ బయటకు వచ్చి అపార్థాన్ని స్పష్టం చేశాడు.
