simplified	KN	example_KN
并列	ಸಮಾನ ಸ್ಥಾನದಲ್ಲಿ ಇರುವುದು	ಈ ಎರಡು ಯೋಜನೆಗಳು ಮೊದಲ ಸ್ಥಾನದಲ್ಲಿ ಸಮಾನವಾಗಿವೆ.
剥削	ಶೋಷಣೆ	ಹಳೆಯ ಸಮಾಜದಲ್ಲಿ ಗಂಭೀರ ಶೋಷಣೆ ಇತ್ತು.
拨	ಡಯಲ್ ಮಾಡುವುದು; ತಳ್ಳುವುದು	ದಯವಿಟ್ಟು ಈ ದೂರವಾಣಿ ಸಂಖ್ಯೆಯನ್ನು ಡಯಲ್ ಮಾಡಿ.
播种	ಬಿತ್ತನೆ ಮಾಡುವುದು	ರೈತರು ವಸಂತದಲ್ಲಿ ಬಿತ್ತನೆ ಆರಂಭಿಸುತ್ತಾರೆ.
波浪	ಅಲೆ	ಸಮುದ್ರದ ಮೇಲೆ ದೊಡ್ಡ ಅಲೆಗಳು ಎದ್ದವು.
波涛	ಮಹಾ ಅಲೆಗಳು	ದೋಣಿ ಮಹಾ ಅಲೆಗಳ ನಡುವೆ ಮುಂದುವರಿಯಿತು.
伯母	ದೊಡ್ಡಪ್ಪನ ಹೆಂಡತಿ; ಅತ್ತೆ	ನಾನು ವಾರಾಂತ್ಯದಲ್ಲಿ ಅತ್ತೆಯನ್ನು ನೋಡಲು ಹೋಗುತ್ತೇನೆ.
博大精深	ವಿಶಾಲ ಮತ್ತು ಆಳವಾದ	ಚೀನಿ ಸಂಸ್ಕೃತಿ ವಿಶಾಲವೂ ಆಳವೂ ಆಗಿದೆ.
博览会	ಪ್ರದರ್ಶನ ಮೇಳ	ಅಂತರರಾಷ್ಟ್ರೀಯ ಪ್ರದರ್ಶನ ಮೇಳವು ಅನೇಕ ಕಂಪನಿಗಳನ್ನು ಆಕರ್ಷಿಸಿತು.
搏斗	ಹೋರಾಟ	ಪೊಲೀಸರು ಅಪರಾಧಿಯೊಂದಿಗೆ ಹೋರಾಟ ನಡೆಸಿದರು.
薄弱	ದುರ್ಬಲ	ಅವನ ವ್ಯಾಕರಣದ ಅಡಿಪಾಯ ಸ್ವಲ್ಪ ದುರ್ಬಲವಾಗಿದೆ.
不顾	ಪರಿಗಣಿಸದೆ	ಅವನು ಅಪಾಯವನ್ನು ಪರಿಗಣಿಸದೆ ಒಳಗೆ ಧಾವಿಸಿದನು.
不愧	ತಕ್ಕದ್ದೇ ಆಗಿರುವುದು	ಅವನು ಅನುಭವಸಂಪನ್ನ ತಜ್ಞನೆಂದು ಕರೆಯಲು ನಿಜಕ್ಕೂ ತಕ್ಕವನು.
不料	ಅನಿರೀಕ್ಷಿತವಾಗಿ	ಅನಿರೀಕ್ಷಿತವಾಗಿ ಸಭೆ ಅಕಸ್ಮಾತ್ ರದ್ದಾಯಿತು.
不像话	ಅಸಹ್ಯಕರ; ಸರಿಯಲ್ಲದ	ಅತಿಥಿಗಳನ್ನು ಹೀಗೆ ನಡೆಸಿಕೊಳ್ಳುವುದು ತುಂಬಾ ಸರಿಯಲ್ಲ.
不屑一顾	ತಿರಸ್ಕಾರದಿಂದ ಕಡೆಗಣಿಸುವುದು	ಅವನು ಆ ವದಂತಿಗಳನ್ನು ತಿರಸ್ಕಾರದಿಂದ ಕಡೆಗಣಿಸಿದನು.
哺乳	ಸ್ತನ್ಯಪಾನ ಮಾಡಿಸುವುದು	ತಾಯಿ ಶಿಶುವಿಗೆ ಸ್ತನ್ಯಪಾನ ಮಾಡಿಸುತ್ತಿದ್ದಾಳೆ.
捕捉	ಹಿಡಿಯುವುದು	ಛಾಯಾಗ್ರಾಹಕ ಅದ್ಭುತ ಕ್ಷಣವನ್ನು ಹಿಡಿದನು.
补偿	ಪರಿಹಾರ ನೀಡುವುದು	ಕಂಪನಿ ನಿನ್ನ ನಷ್ಟಕ್ಕೆ ಪರಿಹಾರ ನೀಡುತ್ತದೆ.
补救	ಸರಿಪಡಿಸುವುದು	ನಾವು ಇನ್ನೂ ಇದನ್ನು ಸರಿಪಡಿಸಲು ಸಮಯ ಹೊಂದಿದ್ದೇವೆ.
补贴	ಸಹಾಯಧನ	ಸರ್ಕಾರ ಕಡಿಮೆ ಆದಾಯದ ಕುಟುಂಬಗಳಿಗೆ ಸಹಾಯಧನ ನೀಡುತ್ತದೆ.
不得已	ಬೇರೆ ಮಾರ್ಗವಿಲ್ಲದೆ	ಅವನು ಬೇರೆ ಮಾರ್ಗವಿಲ್ಲದೆ ತನ್ನ ಊರನ್ನು ಬಿಟ್ಟನು.
不妨	ಹಾಗೆ ಮಾಡಿದರೂ ಹಾನಿಯಿಲ್ಲ	ಮೊದಲು ಅವನ ವಿವರಣೆಯನ್ನು ಕೇಳಿದರೂ ಹಾನಿಯಿಲ್ಲ.
不敢当	ಅಷ್ಟು ಹೊಗಳಿಕೆಗೆ ನಾನು ಅರ್ಹನಲ್ಲ	ನೀವು ಹೀಗೆ ಹೊಗಳಿದರೆ, ನಾನು ನಿಜಕ್ಕೂ ಅರ್ಹನಲ್ಲ.
不禁	ತಡೆಯಲಾಗದೆ	ಸುದ್ದಿ ಕೇಳಿ ಅವನು ತಡೆಯಲಾಗದೆ ನಕ್ಕನು.
不堪	ಸಹಿಸಲಾಗದ	ಇಲ್ಲಿನ ಶಬ್ದ ಸಹಿಸಲಾಗದಷ್ಟು ಇದೆ.
不可思议	ನಂಬಲಾಗದ	ಈ ಫಲಿತಾಂಶ ನಿಜಕ್ಕೂ ನಂಬಲಾಗದಾಗಿದೆ.
不免	ತಪ್ಪಿಸಲಾಗದಂತೆ	ಮೊದಲ ಬಾರಿ ವೇದಿಕೆಯೇರಿದಾಗ ಅವನಿಗೆ ತಪ್ಪಿಸಲಾಗದಂತೆ ಸ್ವಲ್ಪ ನಡುಕವಿತ್ತು.
不时	ಕಾಲಕಾಲಕ್ಕೆ	ಅವನು ಕಾಲಕಾಲಕ್ಕೆ ತಲೆತ್ತಿ ಗಂಟೆಯನ್ನು ನೋಡುತ್ತಿದ್ದ.
不惜	ಹಿಂಜರಿಯದೆ	ಜನರನ್ನು ಉಳಿಸಲು ಅವನು ಅಪಾಯಕ್ಕೆ ಹಿಂಜರಿಯಲಿಲ್ಲ.
不相上下	ಸಮಾನವಾಗಿ ಹೊಂದಾಣಿಕೆಯಾದ	ಎರಡು ತಂಡಗಳ ಶಕ್ತಿ ಸಮಾನವಾಗಿದೆ.
不言而喻	ಹೇಳದೆ ಸ್ಪಷ್ಟವಾಗಿರುವ	ಪ್ರಾಮಾಣಿಕತೆಯ ಮಹತ್ವ ಹೇಳದೆ ಸ್ಪಷ್ಟವಾಗಿದೆ.
不由得	ತಡೆಯಲಾಗದೆ	ಹಳೆಯ ಫೋಟೋ ನೋಡಿ ನನಗೆ ತಡೆಯಲಾಗದೆ ಬಾಲ್ಯ ನೆನಪಾಯಿತು.
不择手段	ಯಾವುದೇ ಮಾರ್ಗಕ್ಕೂ ಹಿಂದೆ ಸರಿಯದ	ಹಣ ಗಳಿಸಲು ಅವನು ಯಾವುದೇ ಮಾರ್ಗಕ್ಕೂ ಹಿಂದೆ ಸರಿಯುವುದಿಲ್ಲ.
不止	ಇನ್ನಷ್ಟು ಹೆಚ್ಚು; ಮಾತ್ರವಲ್ಲ	ಸಭೆಯಲ್ಲಿ ಭಾಗವಹಿಸಿದವರು ನೂರು ಜನಕ್ಕಿಂತ ಹೆಚ್ಚು.
布告	ಪ್ರಕಟಣೆ	ಶಾಲೆಯ ಬಾಗಿಲಲ್ಲಿ ಒಂದು ಪ್ರಕಟಣೆ ಅಂಟಿಸಲಾಗಿದೆ.
布局	ವಿನ್ಯಾಸ	ಈ ಮನೆಯ ವಿನ್ಯಾಸ ಬಹಳ ಯುಕ್ತವಾಗಿದೆ.
布置	ವ್ಯವಸ್ಥೆ ಮಾಡುವುದು; ನೇಮಿಸುವುದು	ಶಿಕ್ಷಕರು ಹೊಸ ಗೃಹಕಾರ್ಯವನ್ನು ನೀಡಿದರು.
步伐	ಹೆಜ್ಜೆ	ಬಳಗ ಸರಿಯಾದ ಹೆಜ್ಜೆಗಳಲ್ಲಿ ಮುಂದೆ ಸಾಗಿತು.
部署	ವಿನ್ಯಾಸಗೊಳಿಸಿ ನಿಯೋಜಿಸುವುದು	ಕಂಪನಿ ಹೊಸ ಮಾರಾಟ ಯೋಜನೆಯನ್ನು ನಿಯೋಜಿಸುತ್ತಿದೆ.
部位	ಭಾಗ	ವೈದ್ಯರು ಗಾಯಗೊಂಡ ಭಾಗವನ್ನು ಪರಿಶೀಲಿಸಿದರು.
才干	ಸಾಮರ್ಥ್ಯ; ಕೌಶಲ್ಯ	ಅವಳು ನಿರ್ವಹಣೆಯಲ್ಲಿ ಬಹಳ ಸಾಮರ್ಥ್ಯ ಹೊಂದಿದ್ದಾಳೆ.
裁缝	ದರ್ಜೀ	ಈ ದರ್ಜಿಯ ಕೈಚಳಕ ಬಹಳ ಚೆನ್ನಾಗಿದೆ.
裁判	ರೆಫರಿ; ತೀರ್ಪುಗಾರ	ರೆಫರಿ ಪಂದ್ಯವನ್ನು ತಾತ್ಕಾಲಿಕವಾಗಿ ನಿಲ್ಲಿಸಲಾಗಿದೆ ಎಂದು ಘೋಷಿಸಿದರು.
裁员	ಉದ್ಯೋಗಿಗಳನ್ನು ಕಡಿತಗೊಳಿಸುವುದು	ನಷ್ಟದ ಕಾರಣ ಕಂಪನಿ ಉದ್ಯೋಗಿಗಳನ್ನು ಕಡಿತಗೊಳಿಸಲು ನಿರ್ಧರಿಸಿತು.
财富	ಸಂಪತ್ತು	ಜ್ಞಾನವೂ ಒಂದು ರೀತಿಯ ಸಂಪತ್ತು.
财务	ಹಣಕಾಸು ವ್ಯವಹಾರ	ಹಣಕಾಸು ವಿಭಾಗ ಖಾತೆಗಳನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದೆ.
财政	ರಾಜಕೋಶೀಯ ಹಣಕಾಸು	ಈ ವರ್ಷ ರಾಜಕೋಶೀಯ ಆದಾಯ ಸ್ವಲ್ಪ ಹೆಚ್ಚಾಗಿದೆ.
彩票	ಲಾಟರಿ ಟಿಕೆಟ್	ಅವನು ಕೆಲವೊಮ್ಮೆ ಒಂದು ಲಾಟರಿ ಟಿಕೆಟ್ ಖರೀದಿಸುತ್ತಾನೆ.
采购	ಖರೀದಿ ಮಾಡುವುದು	ಕಂಪನಿ ಸಾಧನಗಳನ್ನು ಖರೀದಿಸಲು ಒಬ್ಬರನ್ನು ಕಳುಹಿಸಿತು.
采集	ಸಂಗ್ರಹಿಸುವುದು	ಸಂಶೋಧಕರು ಕಾಡಿನಲ್ಲಿ ನಮೂನೆಗಳನ್ನು ಸಂಗ್ರಹಿಸಿದರು.
采纳	ಸ್ವೀಕರಿಸುವುದು	ನಾಯಕರು ನಮ್ಮ ಸಲಹೆಯನ್ನು ಸ್ವೀಕರಿಸಿದರು.
参谋	ಸಲಹೆಗಾರ	ಅವನು ಮ್ಯಾನೇಜರ್‌ಗೆ ಆಗಾಗ ಸಲಹೆ ನೀಡುತ್ತಾನೆ.
参照	ಉಲ್ಲೇಖವಾಗಿ ಅನುಸರಿಸುವುದು	ದಯವಿಟ್ಟು ಈ ರೂಪವನ್ನು ಉಲ್ಲೇಖವಾಗಿ ಅನುಸರಿಸಿ ಫಾರ್ಮ್ ತುಂಬಿರಿ.
残疾	ಅಂಗವೈಕಲ್ಯ	ಈ ನಿಲ್ದಾಣ ಅಂಗವೈಕಲ್ಯ ಹೊಂದಿದ ಪ್ರಯಾಣಿಕರಿಗೆ ಸಹಾಯ ಒದಗಿಸುತ್ತದೆ.
残酷	ಕ್ರೂರ	ಯುದ್ಧ ಅತ್ಯಂತ ಕ್ರೂರ.
残留	ಅವಶೇಷವಾಗಿ ಉಳಿಯುವುದು	ಕಪ್‌ನಲ್ಲಿ ಇನ್ನೂ ಕಾಫಿಯ ವಾಸನೆ ಉಳಿದಿದೆ.
残忍	ನಿರ್ದಯ	ಪ್ರಾಣಿಗಳನ್ನು ಹಿಂಸಿಸುವುದು ನಿರ್ದಯ ವರ್ತನೆ.
灿烂	ಪ್ರಕಾಶಮಾನ	ಅವಳು ಪ್ರಕಾಶಮಾನ ನಗು ತೋರಿಸಿದಳು.
仓促	ಆತುರದ	ಈ ನಿರ್ಧಾರವನ್ನು ತುಂಬಾ ಆತುರದಲ್ಲಿ ತೆಗೆದುಕೊಳ್ಳಲಾಗಿದೆ.
仓库	ಗೋದಾಮು	ಸರಕುಗಳು ಈಗಾಗಲೇ ಗೋದಾಮಿಗೆ ತಲುಪಿವೆ.
舱	ಕ್ಯಾಬಿನ್	ಪ್ರಯಾಣಿಕರು ವಿಮಾನದ ಕ್ಯಾಬಿನ್‌ಗೆ ಪ್ರವೇಶಿಸುತ್ತಿದ್ದಾರೆ.
苍白	ಬಿಳಿಚಿದ	ಅವನ ಮುಖ ಬಿಳಿಚಿದಂತೆ ಕಾಣಿಸಿತು.
操劳	ಬಹಳ ಶ್ರಮಪಟ್ಟು ನೋಡಿಕೊಳ್ಳುವುದು	ತಾಯಿ ಈ ಕುಟುಂಬಕ್ಕಾಗಿ ಹಲವು ವರ್ಷ ಬಹಳ ಶ್ರಮಪಟ್ಟಳು.
操练	ಸೈನಿಕ ಅಭ್ಯಾಸ ಮಾಡುವುದು	ಸೈನಿಕರು ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ಅಭ್ಯಾಸ ಮಾಡುತ್ತಾರೆ.
操纵	ನಿಯಂತ್ರಿಸುವುದು; ಚಲಾಯಿಸುವುದು	ಈ ಯಂತ್ರವನ್ನು ಕಂಪ್ಯೂಟರ್ ನಿಯಂತ್ರಿಸುತ್ತದೆ.
操作	ಚಲಾಯಿಸುವುದು; ಕಾರ್ಯಾಚರಿಸುವುದು	ದಯವಿಟ್ಟು ಸೂಚನೆಗಳಂತೆ ಸಾಧನವನ್ನು ಚಲಾಯಿಸಿ.
嘈杂	ಗದ್ದಲಮಯ	ನಿಲ್ದಾಣದೊಳಗೆ ತುಂಬಾ ಗದ್ದಲ ಇದೆ.
草案	ಕರಡು	ಸಮಿತಿ ಕರಡನ್ನು ಚರ್ಚಿಸುತ್ತಿದೆ.
草率	ಅವಸರದ; ನಿರ್ಲಕ್ಷ್ಯದ	ಇಷ್ಟು ಮಹತ್ವದ ನಿರ್ಧಾರವನ್ನು ನಿರ್ಲಕ್ಷ್ಯವಾಗಿ ತೆಗೆದುಕೊಳ್ಳಬಾರದು.
侧面	ಪಕ್ಕದ ಭಾಗ	ಪಕ್ಕದಿಂದ ನೋಡಿದರೆ ಈ ಕಟ್ಟಡ ಇನ್ನೂ ಎತ್ತರವಾಗಿ ಕಾಣುತ್ತದೆ.
测量	ಅಳತೆ ಮಾಡುವುದು	ಇಂಜಿನಿಯರ್ ಸೇತುವೆಯ ಉದ್ದವನ್ನು ಅಳೆಯುತ್ತಿದ್ದಾನೆ.
策划	ಯೋಜನೆ ರೂಪಿಸುವುದು	ಅವರು ಒಂದು ದೊಡ್ಡ ಕಾರ್ಯಕ್ರಮವನ್ನು ಯೋಜಿಸಿದರು.
策略	ತಂತ್ರ	ಈ ತಂತ್ರವು ಕಂಪನಿಗೆ ವೆಚ್ಚ ಕಡಿಮೆ ಮಾಡಲು ಸಹಾಯ ಮಾಡಿತು.
层出不穷	ಒಂದರ ಹಿಂದೆ ಒಂದಾಗಿ ಹೊರಹೊಮ್ಮುವುದು	ಹೊಸ ಸಮಸ್ಯೆಗಳು ಒಂದರ ಹಿಂದೆ ಒಂದಾಗಿ ಹೊರಹೊಮ್ಮುತ್ತಿವೆ.
层次	ಹಂತ; ರಚನೆ	ಈ ಲೇಖನದ ರಚನೆ ತುಂಬಾ ಸ್ಪಷ್ಟವಾಗಿದೆ.
差别	ವ್ಯತ್ಯಾಸ	ಎರಡು ವಿಧಾನಗಳ ನಡುವೆ ಹೆಚ್ಚಿನ ವ್ಯತ್ಯಾಸವಿಲ್ಲ.
插座	ವಿದ್ಯುತ್ ಸಾಕೆಟ್	ಈ ಕೊಠಡಿಯಲ್ಲಿ ವಿದ್ಯುತ್ ಸಾಕೆಟ್‌ಗಳು ಸಾಕಾಗುವುದಿಲ್ಲ.
查获	ಪತ್ತೆಹಚ್ಚಿ ವಶಪಡಿಸಿಕೊಳ್ಳುವುದು	ಕಸ್ಟಮ್ಸ್ ನಕಲಿ ಸರಕುಗಳ ಒಂದು ಗುಂಪನ್ನು ಪತ್ತೆಹಚ್ಚಿ ವಶಪಡಿಸಿಕೊಂಡಿತು.
刹那	ಕ್ಷಣ	ಕ್ಷಣದಲ್ಲೇ ಎಲ್ಲಾ ದೀಪಗಳು ಆರಿದವು.
岔	ಕವಲು ಬರುವುದು	ಮುಂದಿನ ಚೌಕದಲ್ಲಿ ಕಾರುಗಳು ಬೇರೆ ಬೇರೆ ದಾರಿಗಳಲ್ಲಿ ಹೋದವು.
诧异	ಆಶ್ಚರ್ಯಗೊಂಡ	ಅವನ ನಿರ್ಧಾರ ಎಲ್ಲರನ್ನೂ ತುಂಬಾ ಆಶ್ಚರ್ಯಗೊಳಿಸಿತು.
柴油	ಡೀಸೆಲ್	ಈ ಲಾರಿ ಡೀಸೆಲ್ ಬಳಸುತ್ತದೆ.
搀	ಆಧರಿಸಿ ನಡೆಸುವುದು	ನರ್ಸ್ ವೃದ್ಧರನ್ನು ಆಧರಿಸಿ ವಾರ್ಡ್‌ಗೆ ಕರೆದುಕೊಂಡು ಹೋದಳು.
缠绕	ಸುತ್ತಿಕೊಳ್ಳುವುದು	ಬಳ್ಳಿಗಳು ಕೊಂಬೆಗಳ ಸುತ್ತಿಕೊಂಡಿವೆ.
馋	ತಿನ್ನುವ ಆಸೆ ಬರುವುದು	ಕೇಕ್ ನೋಡಿ ಮಗುವಿಗೆ ಸ್ವಲ್ಪ ತಿನ್ನುವ ಆಸೆ ಬಂತು.
产业	ಉದ್ಯಮ	ಪ್ರವಾಸೋದ್ಯಮ ಇಲ್ಲಿ ಮಹತ್ವದ ಉದ್ಯಮವಾಗಿದೆ.
阐述	ವಿವರವಾಗಿ ನಿರೂಪಿಸುವುದು	ಪ್ರಾಧ್ಯಾಪಕರು ತಮ್ಮ ಅಭಿಪ್ರಾಯವನ್ನು ವಿವರವಾಗಿ ನಿರೂಪಿಸಿದರು.
颤抖	ನಡುಗುವುದು	ಚಳಿಯಿಂದ ಅವಳ ದೇಹವೆಲ್ಲ ನಡುಗಿತು.
昌盛	ಸಮೃದ್ಧ	ನಮ್ಮ ದೇಶ ಸಮೃದ್ಧವಾಗಲಿ ಎಂದು ನಾವು ಆಶಿಸುತ್ತೇವೆ.
偿还	ಮರುಪಾವತಿ ಮಾಡುವುದು	ಅವನು ಸಾಲವನ್ನು ಸಮಯಕ್ಕೆ ಮರುಪಾವತಿ ಮಾಡಿದನು.
尝试	ಪ್ರಯತ್ನಿಸುವುದು	ನಾವು ಹೊಸ ವಿಧಾನವನ್ನು ಪ್ರಯತ್ನಿಸಬಹುದು.
场合	ಸಂದರ್ಭ	ಇಂತಹ ಸಂದರ್ಭದಲ್ಲಿ ಹಾಸ್ಯ ಮಾಡುವುದು ಸೂಕ್ತವಲ್ಲ.
场面	ದೃಶ್ಯ; ಸಂದರ್ಭ	ಮದುವೆಯ ದೃಶ್ಯ ತುಂಬಾ ಚಟುವಟಿಕೆಯಿಂದಿತ್ತು.
场所	ಸ್ಥಳ	ಇದು ಸಾರ್ವಜನಿಕ ಸ್ಥಳ, ದಯವಿಟ್ಟು ಧೂಮಪಾನ ಮಾಡಬೇಡಿ.
敞开	ಬಿಚ್ಚಿ ತೆರೆಯುವುದು	ದಯವಿಟ್ಟು ಕಿಟಕಿಯನ್ನು ಸ್ವಲ್ಪ ಹೊತ್ತು ಬಿಚ್ಚಿ ತೆರೆಯಿರಿ.
倡导	ಪ್ರಚಾರ ಮಾಡುವುದು; ಬೆಂಬಲಿಸುವುದು	ಶಾಲೆ ಆರೋಗ್ಯಕರ ಜೀವನಶೈಲಿಯನ್ನು ಪ್ರಚಾರ ಮಾಡುತ್ತದೆ.
倡议	ಉಪಕ್ರಮ; ಪ್ರಸ್ತಾಪ	ಈ ಪರಿಸರ ಉಪಕ್ರಮಕ್ಕೆ ಬೆಂಬಲ ದೊರಕಿತು.
畅通	ಅಡ್ಡಿಯಿಲ್ಲದ	ಮಳೆ ನಿಂತ ನಂತರ ರಸ್ತೆ ಮತ್ತೆ ಅಡ್ಡಿಯಿಲ್ಲದಾಯಿತು.
畅销	ಚೆನ್ನಾಗಿ ಮಾರಾಟವಾಗುವುದು	ಈ ಕಾದಂಬರಿ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಮಾರಾಟವಾಗುತ್ತದೆ.
超越	ಮೀರಿಸುವುದು	ಅವನು ಕೊನೆಗೆ ತನ್ನದೇ ದಾಖಲೆಯನ್ನು ಮೀರಿಸಿದನು.
钞票	ಕಾಗದದ ನೋಟು	ಪರ್ಸ್‌ನಲ್ಲಿ ಕೆಲವೇ ಕಾಗದದ ನೋಟುಗಳು ಉಳಿದಿದ್ದವು.
嘲笑	ಹಾಸ್ಯ ಮಾಡುವುದು; ಹೀಯಾಳಿಸುವುದು	ಇತರರ ದೋಷಗಳನ್ನು ಹೀಯಾಳಿಸಬೇಡ.
巢穴	ಗೂಡು; ಅಡಗುತಾಣ	ಬೇಟೆಗಾರನು ಪ್ರಾಣಿಯ ಗೂಡನ್ನು ಕಂಡುಹಿಡಿದನು.
朝代	ರಾಜವಂಶ	ತಾಂಗ್ ರಾಜವಂಶವು ಚೀನೀ ಇತಿಹಾಸದ ಒಂದು ರಾಜವಂಶ.
潮流	ಪ್ರವೃತ್ತಿ	ಯುವಕರು ಫ್ಯಾಷನ್ ಪ್ರವೃತ್ತಿಗೆ ಹೆಚ್ಚು ಗಮನ ಕೊಡುತ್ತಾರೆ.
撤退	ಹಿಂದಕ್ಕೆ ಸರಿಯುವುದು	ಆಜ್ಞೆ ಬಂದ ನಂತರ ಪಡೆಗಳು ಹಿಂದಕ್ಕೆ ಸರಿದವು.
撤销	ರದ್ದುಪಡಿಸುವುದು	ನ್ಯಾಯಾಲಯ ಮೂಲ ತೀರ್ಪನ್ನು ರದ್ದುಪಡಿಸಿತು.
沉淀	ಅವಸಾದವಾಗಿ ಕುಳಿತುಕೊಳ್ಳುವುದು	ಮಣ್ಣು ಮರಳು ನಿಧಾನವಾಗಿ ಕೆಳಗೆ ಕುಳಿತುಕೊಳ್ಳುತ್ತದೆ.
沉闷	ಮುಸುಕಾದ; ಒತ್ತಡದ	ಇಂದಿನ ಹವಾಮಾನ ಬಿಸಿ ಮತ್ತು ಮುಸುಕಾಗಿದೆ.
沉思	ಆಳವಾಗಿ ಚಿಂತಿಸುವುದು	ಅವನು ಕಿಟಕಿಯ ಬಳಿಯಲ್ಲಿ ಕುಳಿತು ಆಳವಾಗಿ ಚಿಂತಿಸಿದನು.
沉重	ಭಾರವಾದ; ಗಂಭೀರ	ಈ ಸುದ್ದಿ ಎಲ್ಲರ ಮನಸ್ಸನ್ನು ಭಾರಗೊಳಿಸಿತು.
沉着	ಶಾಂತಚಿತ್ತ	ಅಪಾಯ ಎದುರಾದಾಗ ಶಾಂತಚಿತ್ತದಿಂದ ಇರಬೇಕು.
陈旧	ಹಳೆಯದಾದ	ಈ ಯಂತ್ರ ಈಗಾಗಲೇ ಬಹಳ ಹಳೆಯದಾಗಿದೆ.
陈列	ಪ್ರದರ್ಶಿಸುವುದು	ಪ್ರದರ್ಶನ ಸಭಾಂಗಣದಲ್ಲಿ ಅನೇಕ ಸಾಂಸ್ಕೃತಿಕ ವಸ್ತುಗಳನ್ನು ಪ್ರದರ್ಶಿಸಲಾಗಿದೆ.
陈述	ಸ್ಪಷ್ಟವಾಗಿ ಹೇಳುವುದು	ದಯವಿಟ್ಟು ವಾಸ್ತವಗಳನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಹೇಳಿ.
称心如意	ಮನಸಿಗೆ ತಕ್ಕಂತೆ ತೃಪ್ತಿಕರ	ಈ ಕೆಲಸ ಅವನಿಗೆ ತುಂಬಾ ಮನಸಿಗೆ ತಕ್ಕಂತಿದೆ.
衬托	ಹಿನ್ನಲೆಯಾಗಿ ಮೆರಗು ನೀಡುವುದು	ಬಿಳಿ ಗೋಡೆ ಹೂಗಳ ಬಣ್ಣವನ್ನು ಇನ್ನಷ್ಟು ಮೆರಗುಗೊಳಿಸುತ್ತದೆ.
称号	ಬಿರುದು	ಅವನು ಶ್ರೇಷ್ಠ ಶಿಕ್ಷಕ ಎಂಬ ಬಿರುದು ಪಡೆದನು.
乘	ಸವಾರಿ ಮಾಡುವುದು	ನಾನು ಪ್ರತಿದಿನ ಮೆಟ್ರೋದಲ್ಲಿ ಕೆಲಸಕ್ಕೆ ಹೋಗುತ್ತೇನೆ.
呈现	ತೋರಿಸಿಕೊಳ್ಳುವುದು	ಆಕಾಶ ಮೃದುವಾದ ಕೆಂಪು ಬಣ್ಣ ತೋರಿಸಿತು.
城堡	ಕೋಟೆ	ಬೆಟ್ಟದ ತುದಿಯಲ್ಲಿ ಒಂದು ಹಳೆಯ ಕೋಟೆ ಇದೆ.
惩罚	ಶಿಕ್ಷಿಸುವುದು	ಶಾಲೆ ಚೀಟಿಂಗ್ ಮಾಡುವ ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಶಿಕ್ಷಿಸುತ್ತದೆ.
成本	ವೆಚ್ಚ	ಕಚ್ಚಾ ವಸ್ತುಗಳ ಬೆಲೆ ಏರಿಕೆಯಿಂದ ವೆಚ್ಚ ಹೆಚ್ಚಾಯಿತು.
成交	ಒಪ್ಪಂದ ಪೂರ್ಣಗೊಳ್ಳುವುದು	ಈ ವ್ಯಾಪಾರ ಒಪ್ಪಂದ ಕೊನೆಗೆ ಪೂರ್ಣಗೊಂಡಿತು.
成天	ದಿನವಿಡೀ	ಅವನು ದಿನವಿಡೀ ಕಂಪ್ಯೂಟರ್ ಮುಂದೆ ಕುಳಿತುಕೊಳ್ಳುತ್ತಾನೆ.
成效	ಫಲಿತಾಂಶ	ಹೊಸ ನಿರ್ವಹಣಾ ವಿಧಾನ ಬೇಗ ಫಲಿತಾಂಶ ತೋರಿಸಿತು.
成心	ಉದ್ದೇಶಪೂರ್ವಕವಾಗಿ	ಅವನು ನಿನ್ನನ್ನು ಸಂಕೋಚಗೊಳಿಸಲು ಉದ್ದೇಶಪೂರ್ವಕವಾಗಿ ಮಾಡಲಿಲ್ಲ.
成员	ಸದಸ್ಯ	ಪ್ರತಿ ಸದಸ್ಯರೂ ಸಭೆಯಲ್ಲಿ ಭಾಗವಹಿಸಬೇಕು.
承办	ಹೊಣೆ ಹೊತ್ತು ಆಯೋಜಿಸುವುದು	ಈ ಕಂಪನಿ ಪ್ರದರ್ಶನವನ್ನು ಹೊಣೆ ಹೊತ್ತು ಆಯೋಜಿಸಿತು.
承包	ಒಪ್ಪಂದವಾಗಿ ಹೊಣೆ ಹೊರುವುದು	ಅವರು ಈ ಯೋಜನೆಯನ್ನು ಒಪ್ಪಂದವಾಗಿ ಹೊತ್ತುಕೊಂಡರು.
承诺	ವಾಗ್ದಾನ ಮಾಡುವುದು	ಅವನು ಕೆಲಸವನ್ನು ಸಮಯಕ್ಕೆ ಮುಗಿಸುವುದಾಗಿ ವಾಗ್ದಾನ ಮಾಡಿದನು.
橙	ಕಿತ್ತಳೆ	ನಾನು ಕೆಲವು ತಾಜಾ ಕಿತ್ತಳೆಗಳನ್ನು ಖರೀದಿಸಿದೆ.
