simplified	BN	example_BN
稠密	ঘন	এখানকার জনসংখ্যা খুব ঘন।
筹备	প্রস্তুতি নেওয়া	তারা বিয়ের প্রস্তুতি নিচ্ছে।
丑恶	কুৎসিত	সে ঘটনার পেছনের কুৎসিত সত্য প্রকাশ করেছে।
出路	পথ	শিক্ষা তরুণদের আরও পথ দেয়।
出卖	বিশ্বাসঘাতকতা করা	সে বন্ধুকে বিশ্বাসঘাতকতা করবে না।
出身	পটভূমি	সে সাধারণ পরিবার থেকে এসেছে।
出神	মগ্ন	সে সঙ্গীত শুনতে শুনতে মগ্ন হয়ে গেল।
出息	ভবিষ্যৎ সম্ভাবনা	এই শিশুর ভবিষ্যতে ভালো সম্ভাবনা আছে।
初步	প্রাথমিক	আমরা ইতিমধ্যে প্রাথমিক চুক্তিতে পৌঁছেছি।
除	ছাড়া	তাকে ছাড়া সবাই এসে গেছে।
储备	মজুত রাখা	কোম্পানির আরও অর্থ মজুত রাখা দরকার।
储存	সংরক্ষণ করা	এই তথ্যগুলো স্বয়ংক্রিয়ভাবে সংরক্ষণ হবে।
储蓄	সঞ্চয় করা	সে প্রতি মাসে বেতনের এক অংশ সঞ্চয় করে।
处分	শাস্তিমূলক ব্যবস্থা	স্কুল তার বিরুদ্ধে গুরুতর শাস্তিমূলক ব্যবস্থা নিয়েছে।
处境	অবস্থা	তাদের বর্তমান অবস্থা খুব কঠিন।
处置	নিষ্পত্তি করা	এই পুরোনো সরঞ্জাম যথাযথভাবে নিষ্পত্তি করতে হবে।
触犯	লঙ্ঘন করা	এভাবে করলে আইন লঙ্ঘন হবে।
川流不息	অবিরাম চলাচল	রাস্তায় গাড়ির অবিরাম চলাচল চলছে।
穿越	পেরিয়ে যাওয়া	ট্রেনটি দীর্ঘ সুড়ঙ্গ পেরিয়ে গেছে।
传达	পৌঁছে দেওয়া	দয়া করে খবরটি সবাইকে পৌঁছে দাও।
传单	লিফলেট	স্বেচ্ছাসেবকেরা রাস্তায় লিফলেট বিলাচ্ছিল।
传授	শেখানো	শিক্ষক ছাত্রদের অভিজ্ঞতা শেখাচ্ছেন।
船舶	জাহাজ	বন্দরে অনেক জাহাজ দাঁড়িয়ে আছে।
喘气	হাঁপানো	দৌড় শেষ করে সে অবিরাম হাঁপাচ্ছিল।
串	গেঁথে নেওয়া	সে পুঁতিগুলো গেঁথে একটি হার বানাল।
床单	বিছানার চাদর	দয়া করে বিছানার চাদর বদলে দিন।
创立	প্রতিষ্ঠা করা	তারা একসঙ্গে এই কোম্পানি প্রতিষ্ঠা করেছে।
创新	উদ্ভাবন	প্রতিষ্ঠানের বিকাশে ধারাবাহিক উদ্ভাবন দরকার।
创业	উদ্যোগ শুরু করা	অনেক তরুণ নিজস্ব উদ্যোগ শুরু করতে বেছে নিচ্ছে।
创作	সৃষ্টি করা	লেখক একটি দীর্ঘ উপন্যাস সৃষ্টি করছেন।
吹牛	গপ্পো মারা	গপ্পো মেরো না, প্রমাণ দেখাও।
吹捧	অতিরিক্ত প্রশংসা করা	মাধ্যমগুলো এই পণ্যের অতিরিক্ত প্রশংসা করেছে।
炊烟	রান্নার ধোঁয়া	সন্ধ্যায় গ্রামে রান্নার ধোঁয়া উঠল।
垂直	লম্ব	এই দুই রেখা একে অপরের প্রতি লম্ব।
锤	হাতুড়ি	শ্রমিক হাতুড়ি দিয়ে লোহার পাত পেটাচ্ছে।
纯粹	বিশুদ্ধ	তার সাহায্য বিশুদ্ধ সদিচ্ছা থেকে এসেছে।
纯洁	নির্মল	শিশুর মন খুব নির্মল।
慈善	দানশীলতা	এই প্রতিষ্ঠান প্রায়ই দানশীল কার্যক্রমে অংশ নেয়।
慈祥	স্নেহময়	দিদিমার হাসি খুব স্নেহময়।
磁带	ক্যাসেট	এই পুরোনো ক্যাসেটটি এখনও বাজানো যায়।
