simplified	SL	example_SL
童话	pravljica	Otroci pred spanjem radi poslušajo pravljice.
铜	baker	Ta kip je narejen iz bakra.
统筹兼顾	uskladiti celoto	Mestno načrtovanje mora uskladiti interese vseh strani.
统计	prešteti; statistika	Prešteti moramo število prijav.
统统	vsi brez izjeme	Vse te stare dokumente je treba arhivirati.
统治	vladati	Ta dinastija je vladala tristo let.
投机	špekulacija	S špekulacijo je zaslužil precej denarja.
投票	glasovati	Prebivalci bodo jutri sodelovali pri glasovanju.
投诉	pritožiti se	Stranka se je platformi pritožila nad trgovcem.
投降	predati se	Sovražna vojska se je na koncu odločila predati.
投掷	metati	Športnik vadi met kopja.
透露	razkriti	Ni razkril podrobnosti sestanka.
秃	plešast	Že mlad je postal plešast.
突破	preboj	Raziskava je dosegla velik preboj.
图案	vzorec	Vzorec na tej tkanini je zelo lep.
徒弟	vajenec	Mojster uči vajenca popravljati ure.
涂抹	namazati	Prosim, namaži mazilo okoli rane.
途径	pot; kanal	Internet je pomemben kanal za pridobivanje informacij.
土壤	prst; tla	Rodovitna prst je primerna za gojenje zelenjave.
团结	združiti se	Ekipa mora delovati združeno in sodelovati.
团体	skupina	Ta skupina redno prireja dejavnosti.
团圆	združitev družine	Pomladni praznik je čas družinske združitve.
推测	domnevati	Strokovnjaki domnevajo, da bodo cene še rasle.
推翻	strmoglaviti	Ljudstvo je strmoglavilo stari sistem.
推理	sklepanje	Ta roman je poln detektivskega sklepanja.
推论	sklep	Ta sklep še potrebuje podporo dokazov.
推销	tržiti	Zadolžen je za trženje novega izdelka.
吞吞吐吐	jecljati; mencati	Pri odgovarjanju na vprašanje je mencal.
托运	oddati prtljago	Potniki lahko prtljago oddajo pri pultu.
拖延	zavlačevati	Ne zavlačuj več časa plačila.
脱离	ločiti se od	Teorija se ne sme ločiti od prakse.
妥当	primeren	Ta ureditev je zelo primerna.
妥善	ustrezno	Prosim, ustrezno hrani pomembne dokumente.
妥协	kompromis	Strani sta na koncu dosegli kompromis.
椭圆	elipsa	Zemljina orbita je blizu elipsi.
唾弃	zavračati; prezirati	Družba zavrača takšno goljufivo ravnanje.
哇	vau	Vau, ta most je res veličasten!
挖掘	izkopavati	Arheološka ekipa izkopava starodavno grobnico.
娃娃	lutka	Deklica drži lutko.
瓦解	razpasti	Notranja nasprotja so povzročila razpad zavezništva.
歪曲	izkrivljati	Poročila ne smejo izkrivljati dejstev.
外表	videz	Ljudi ne presojaj samo po videzu.
外行	laik	Pri pravu sem popoln laik.
外界	zunanji svet	Podjetje se redko odziva na kritike iz zunanjega sveta.
外向	ekstrovertiran	Ima ekstrovertiran značaj in veliko prijateljev.
丸	tableta	Zdravnik mu je predpisal nekaj tablet.
完备	popoln; celovit	Ta komplet gradiva je zelo celovit.
完毕	končati	Sestanek se je že končal.
玩弄	igrati se z	Ne igraj se s čustvi drugih ljudi.
玩意儿	stvar; igračka	Kaj je ta nova stvar?
顽固	trmast	Njegov odnos je zelo trmast.
顽强	vztrajen	Ranjenec je pokazal veliko vztrajnost.
惋惜	obžalovati	Vsi so obžalovali neuspeh.
挽回	povrniti	Trudil se je povrniti izgube podjetja.
挽救	rešiti	Zdravnik je uspešno rešil bolnikovo življenje.
万分	izjemno	Izjemno sem hvaležen za tvojo pomoč.
往常	običajno	Danes je bolj vroče kot običajno.
往事	pretekli dogodki	Starejši človek se pogosto spominja preteklih dogodkov.
妄想	bloden sen	Sanja o tem, da bi čez noč obogatel.
危机	kriza	Podjetje se sooča z resno krizo.
威风	impozanten	General je na konju deloval zelo impozantno.
威力	moč	Ta vrsta orožja ima veliko moč.
威望	ugled	V vasi ima velik ugled.
威信	verodostojnost	Voditelji morajo ohranjati verodostojnost vlade.
微不足道	nepomemben	Ta majhna izguba je nepomembna.
微观	mikro-	Ta predmet uvaja mikroekonomijo.
为难	spravljati v težave	Ne spravljaj več natakarja v težave.
为期	trajati	Usposabljanje traja tri mesece.
唯独	samo; razen	Vsi so prispeli, samo njega ni bilo.
维持	vzdrževati	Policija je vzdrževala red na prizorišču.
维护	ščititi	Ščititi moramo svoje zakonite pravice in interese.
维生素	vitamin	Sadje vsebuje veliko vitaminov.
违背	kršiti	Ta odločitev krši duha pogodbe.
伪造	ponarediti	Nekdo je ponaredil njegov podpis.
委托	poveriti	Stranka je odvetniku poverila obravnavo primera.
委员	član odbora	Vsak član odbora je izrazil mnenje.
卫星	satelit	Satelit je vstopil v načrtovano orbito.
喂	hraniti	Otrok hrani mucka.
慰问	izraziti sočutje	Voditelji so šli v bolnišnico izraziti sočutje ranjencem.
未免	nekoliko preveč	Ta zahteva je nekoliko previsoka.
畏惧	bati se	Nikoli se ne boji težav.
蔚蓝	azuren	Nebo je dobilo azurno barvo.
温带	zmerni pas	Ta rastlina je primerna za podnebje zmernega pasu.
温和	zmeren	Njegovo politično stališče je razmeroma zmerno.
文凭	diploma	To delovno mesto zahteva univerzitetno diplomo.
文物	kulturna dediščina	Muzej je razstavil dragocene kulturne predmete.
文献	literatura; viri	Članek navaja veliko literature.
文雅	uglajen	Njeno vedenje je uglajeno.
文艺	književnost in umetnost	To mesto ima močno umetniško vzdušje.
问世	priti na trg	Ta model telefona bo kmalu prišel na trg.
窝	gnezdo	Na drevesu je ptičje gnezdo.
乌黑	črn kot oglje	Ima dolge lase, črne kot oglje.
污蔑	obrekovati	Zanikal je, da bi obrekoval tekmeca.
诬陷	po krivem obtožiti	Dokazi kažejo, da so ga po krivem obtožili.
无比	izjemno	Ko je slišal novico, je bil izjemno ganjen.
无偿	brezplačen	Prostovoljci zagotavljajo brezplačne storitve.
无耻	brez sramu	Takšno varanje je povsem brez sramu.
无动于衷	ravnodušen	Ob kritikah je ostal ravnodušen.
无非	nič drugega kot	To je storil zgolj zato, da bi prihranil denar.
无辜	nedolžen	Sodišče je ugotovilo, da je nedolžen.
无精打采	brezvoljen	Danes je videti brezvoljen.
无赖	baraba	Vaščani nočejo imeti opravka s tisto barabo.
无理取闹	delati težave brez razloga	Prosim, ne delaj tukaj težav brez razloga.
无能为力	nemočen	Pred poplavo so bili vaščani nemočni.
无穷无尽	neskončen	Puščava je bila videti neskončna.
无微不至	skrben do najmanjše podrobnosti	Medicinska sestra je za bolnika skrbela do najmanjše podrobnosti.
无忧无虑	brezskrben	Otroci so se brezskrbno igrali na travi.
无知	nevednost	Nevednost ni razlog za zavračanje učenja.
侮辱	žaliti	Njegove besede so užalile drugo osebo.
武器	orožje	To orožje je shranjeno pod enotnim nadzorom.
武侠	viteški borilni roman	Od otroštva rad bere viteške borilne romane.
武装	oborožen	Obmejno območje je okrepilo oborožene patrulje.
舞蹈	ples	Ta ples ima izrazite narodne značilnosti.
务必	nujno	Prosim, nujno pridi pravočasno.
物美价廉	dober in poceni	Blago v tej trgovini je dobro in poceni.
物业	upravljanje nepremičnin	Upravljanje nepremičnin je odgovorno za popravila v soseski.
物资	zaloge; material	Humanitarne zaloge so že prispele na prizadeto območje.
误差	napaka	V merilnem rezultatu je majhna napaka.
误解	nesporazum	Obe strani sta z razgovorom odpravili nesporazum.
夕阳	zahajajoče sonce	Zahajajoče sonce je obarvalo nebo zlato.
昔日	nekdanji	Nekdanja vas se je spremenila v mesto.
溪	potok	Majhen potok teče skozi gore.
熄灭	ugasniti	Prosim, ugasni svečo.
牺牲	žrtvovanje	Za reševanje drugih so se žrtvovali.
膝盖	koleno	Poškodoval si je koleno.
习俗	običaj	Pomladni praznik ima veliko tradicionalnih običajev.
媳妇	žena	Njegova žena dela v bolnišnici.
袭击	napasti	Nevihta je prizadela obalno mesto.
喜闻乐见	priljubljen pri občinstvu	Takšen program je pri občinstvu zelo priljubljen.
喜悦	veselje	Na njenem obrazu se je pojavil vesel nasmeh.
系列	serija	Podjetje je predstavilo serijo novih izdelkov.
细菌	bakterija	Visoka temperatura lahko uniči bakterije.
细胞	celica	Človeško telo je sestavljeno iz neštetih celic.
细致	natančen	Njeno opazovanje je zelo natančno.
峡谷	kanjon	Reka teče skozi globok kanjon.
狭隘	ozkosrčen	Takšen ozkosrčen pogled je treba spremeniti.
狭窄	ozek	Ta steza je zelo ozka.
霞	večerna zarja	Večerna zarja je obarvala nebo rdeče.
下属	podrejeni	Vodja je pozorno poslušal mnenja podrejenih.
先进	napreden	Tovarna je uvedla napredno opremo.
先前	prejšnji	Prejšnji načrt se je že spremenil.
掀起	sprožiti	Ta knjiga je sprožila val razprav.
纤维	vlakno	Ta tkanina vsebuje naravna vlakna.
鲜明	jasen	Njegovo stališče je zelo jasno.
嫌	ne marati	Ne mara, da je soba premajhna.
嫌疑	sum	Ta moški je pod velikim sumom.
弦	struna	Ena struna na kitari se je pretrgala.
衔接	povezati se	Vsebina obeh predmetov se zelo dobro povezuje.
贤惠	vrla in sposobna	Vidijo jo kot vrlo in sposobno.
闲话	opravljanje	Ne opravljaj drugih za njihovim hrbtom.
显著	izrazit	Učinek zdravljenja je zelo izrazit.
宪法	ustava	Ustava zagotavlja temeljne pravice državljanov.
现场	kraj dogodka	Novinarji so že prispeli na kraj nesreče.
现成	že pripravljen	V kuhinji je že pripravljena hrana.
现状	trenutno stanje	Razumeti moramo trenutno stanje panoge.
线索	sled	Policija je našla novo sled.
陷害	podtakniti krivdo	Trdil je, da mu je nekdo podtaknil krivdo.
陷阱	past	Lovec je nastavil past.
陷入	zapasti	Podjetje je zapadlo v finančne težave.
馅儿	nadev	Nadev tega baozi kruhka zelo lepo diši.
乡镇	mestna občina	Razmere v šolah mestnih občin se izboljšujejo.
相差	razlikovati se	Temperaturi obeh krajev se razlikujeta za deset stopinj.
相等	enak	Površini obeh trikotnikov sta enaki.
相辅相成	dopolnjevati se	Teorija in praksa se dopolnjujeta.
相应	ustrezen	Podjetje bo sprejelo ustrezne ukrepe.
镶嵌	vdelati	V prstan je vdelan dragulj.
响亮	glasen in jasen	Njegov odgovor je bil glasen in jasen.
响应	odzvati se	Veliko ljudi se je odzvalo na okoljsko pobudo.
想方设法	na vse načine	Na vse načine so skušali znižati stroške.
向导	vodnik	Lokalni vodnik nas je peljal v gore.
向来	vedno	Vedno je cenil zanesljivost.
向往	hrepeneti	Hrepeni po mirnem življenju.
巷	uličica	V stari uličici se je odprlo veliko majhnih trgovin.
相声	kitajski komični dialog	Dedek rad posluša tradicionalni kitajski komični dialog.
消除	odpraviti	Komunikacija lahko odpravi nesporazume.
消毒	razkužiti	Zdravnik je razkužil rano.
消防	gasilstvo	Gasilci so hitro prispeli na prizorišče.
消耗	porabiti	Dolgo potovanje porabi veliko telesne energije.
消灭	odstraniti	Delavci odstranjujejo škodljivce.
潇洒	sproščen in eleganten	Njegova hoja je zelo sproščena in elegantna.
销毁	uničiti	Carina je uničila ponarejeno blago.
小心翼翼	zelo previdno	Škatlo je odprla zelo previdno.
效益	učinkovitost	Nova oprema je izboljšala proizvodno učinkovitost.
肖像	portret	Na steni visi njegov portret.
协会	združenje	To združenje pomaga mladim podjetnikom.
协商	posvetovati se	Obe strani sta pripravljeni nadaljevati posvetovanja.
协调	usklajevati	Vodja projekta je odgovoren za usklajevanje virov.
协议	sporazum	Obe strani sta podpisali sporazum o sodelovanju.
协助	pomagati	Prostovoljci so pomagali starejšim prečkati cesto.
携带	nositi	Potniki ne smejo nositi nevarnega blaga.
屑	ostružki	Na mizi je veliko lesnih ostružkov.
泄露	razkriti	Zaposleni ne smejo razkriti podatkov strank.
泄气	obupati	Po neuspehu ne obupaj.
谢绝	vljudno zavrniti	Hotel vljudno zavrača hrano od zunaj.
心得	spoznanje	Delila je spoznanja iz svojega študija.
心甘情愿	popolnoma prostovoljno	Ostal je pomagati popolnoma prostovoljno.
心灵	duh	Glasba je potolažila njenega duha.
心态	miselnost	Ohranjanje pozitivne miselnosti je pomembno.
心疼	boleti pri srcu	Mater je bolelo pri srcu zaradi poškodovanega otroka.
心血	trud	V tej knjigi je avtorjev velik trud.
心眼儿	drobnjakarski značaj	Ima nekoliko drobnjakarski značaj.
新陈代谢	presnova	Telesna vadba lahko spodbuja presnovo.
新郎	ženin	Ženin je pri vratih pozdravljal goste.
新娘	nevesta	Nevesta je nosila belo poročno obleko.
新颖	izviren	Ta zasnova je zelo izvirna.
欣慰	biti zadovoljen	Napredek otroka jo je zelo zadovoljil.
欣欣向荣	cveteti	Turizem v mestu cveti.
薪水	plača	Njegova plača zadostuje za preživljanje družine.
辛勤	marljiv	Kmetje marljivo pridelujejo pridelke.
信赖	zaupati	Stranke temu podjetju zelo zaupajo.
信念	prepričanje	Trdno prepričanje ga je podpiralo.
信仰	vera	Spoštuje različne vere.
信誉	ugled	Podjetje mora varovati svoj ugled.
兴高采烈	vesel in navdušen	Otroci so veselo in navdušeno stekli v učilnico.
兴隆	uspešen	Ta stara trgovina ima uspešen posel.
兴旺	uspevati	Tržno gospodarstvo vse bolj uspeva.
腥	ribji vonj	Ta riba ima malo ribjega vonja.
刑事	kazenski	Policija preiskuje kazenski primer.
形态	oblika	Oblika rastline se spreminja z okoljem.
行政	administrativen	Administrativni oddelek obravnava prijave.
兴致勃勃	z velikim zanimanjem	Vsi so z velikim zanimanjem razpravljali o načrtu.
性感	seksi	Ta večerna obleka je videti zelo seksi.
性命	življenje	Zdravnik mu je rešil življenje.
性能	zmogljivost	Ta računalnik ima dobro zmogljivost.
凶恶	divji	Ta pes je videti zelo divji.
凶手	morilec	Policija je končno ujela morilca.
汹涌	buren	Burni valovi so udarjali ob obalo.
胸怀	širokogrudnost	Ima veliko širokogrudnost.
胸膛	prsni koš	Vojak je izprsil prsni koš.
雄厚	močan	Podjetje ima močne finančne vire.
雄伟	veličasten	Ta most je zelo veličasten.
修复	popraviti	Inženirji popravljajo sistem.
修建	zgraditi	Vlada namerava zgraditi novo letališče.
修养	kultiviranost	Dobra kultiviranost se kaže v podrobnostih.
羞耻	sram	Po laži je občutil sram.
嗅觉	voh	Pasji voh je zelo oster.
绣	vezti	Babica zna vezti rože.
虚假	lažen	Spletna stran je objavila lažne informacije.
虚荣	nečimrnost	Zaradi nečimrnosti je porabil preveč denarja.
虚伪	hinavski	Ne mara hinavske vljudnosti.
需求	povpraševanje	Tržno povpraševanje narašča.
须知	navodila	Prosimo, najprej preberite navodila za prijavo.
许可	dovoljenje	Brez dovoljenja ne smeš vstopiti.
序言	predgovor	Avtor v predgovoru pojasni ozadje.
畜牧	živinoreja	Travišče je primerno za razvoj živinoreje.
酗酒	prekomerno pitje	Dolgotrajno prekomerno pitje škoduje zdravju.
喧哗	hrup	V knjižnici je hrup prepovedan.
宣誓	priseči	Novi člani so na sestanku prisegli.
宣扬	širiti	Šola širi poštenost in zanesljivost.
悬挂	viseti	Na steni visi slika.
悬念	napetost	Konec filma pušča napetost.
悬殊	velika razlika	Razlika v moči med ekipama je ogromna.
悬崖峭壁	strma pečina	Ob gorski cesti so strme pečine.
旋律	melodija	Ta pesem ima lepo melodijo.
旋转	vrteti se	Mlin na veter se vrti v vetru.
选拔	izbrati najboljše	Šola izbira najboljše športnike.
选举	volitve	V vasi so potekale volitve.
选手	tekmovalec	Ta tekmovalec je nastopil stabilno.
炫耀	hvalisati se	Vedno se rad hvali s svojim bogastvom.
削	zmanjšati	Podjetje je zmanjšalo nekatere stroške.
削弱	oslabiti	Utrujenost oslabi presojo.
学说	teorija	Ta teorija ima velik vpliv.
学位	akademska stopnja	Pridobila je magistrsko akademsko stopnjo.
雪上加霜	še poslabšati stvari	Izguba službe in nato bolezen sta stvari še poslabšali.
血压	krvni tlak	Zdravnik ga je opomnil, naj nadzoruje krvni tlak.
熏陶	vplivati nanj	Glasba je nanjo vplivala že od otroštva.
寻觅	iskati	Povsod so iskali primerno stanovanje.
巡逻	patruljirati	Policija ponoči patruljira po ulicah.
循环	krožiti	Voda kroži v sistemu.
循序渐进	postopno	Učenje jezika mora napredovati postopno.
压迫	zatirati	Stari sistem je zatiral navadne ljudi.
压岁钱	novoletni denar	Otrok je prejel novoletni denar.
压缩	stisniti	Program lahko stisne velikost slik.
压抑	potlačiti	Trudil se je potlačiti notranjo jezo.
压榨	stiskati	Stroj stiska sok sladkornega trsa.
压制	zatreti	Zdravilo lahko zatre bolečino.
鸦雀无声	popolna tišina	Ko je učitelj vstopil, je v učilnici zavladala popolna tišina.
亚军	drugo mesto	Na tekmovanju je osvojila drugo mesto.
淹没	poplaviti	Poplava je poplavila nizko ležečo vas.
烟花爆竹	ognjemeti in petarde	Med praznikom so ognjemeti in petarde prepovedani.
严峻	resen	Razmere na trgu dela ostajajo resne.
严寒	hud mraz	Hud mraz vpliva na promet.
严禁	strogo prepovedati	Kajenje je tukaj strogo prepovedano.
严厉	strog	Učitelj ga je strogo kritiziral.
严密	strog	Skladišče ima strog nadzor.
岩石	skala	Skale ob morju so zelo trde.
延期	preložiti	Sestanek je bil preložen na naslednji teden.
延伸	segati	Cesta sega proti severu.
延续	nadaljevati se	Ta tradicija se nadaljuje že sto let.
沿海	obalen	Obalna mesta so razvila trgovino.
炎热	vroč	Vroče vreme ljudi utrudi.
言论	izjava	Javnost spremlja njegove izjave.
掩盖	prikriti	Poskušal je prikriti napako.
掩护	kriti	Soigralci so bili odgovorni za kritje umika.
掩饰	prikriti	Močno se je trudila prikriti svojo živčnost.
演变	razvijati se	Razporeditev mesta se nenehno razvija.
演习	vaja	Šola je izvedla požarno vajo.
演绎	izpeljati	Učitelj je izpeljal ta izrek.
演奏	igrati	Orkester igra klasično glasbo.
眼光	vizija	Ima dobro naložbeno vizijo.
眼色	pomenljiv pogled	Kolegici je namenila pomenljiv pogled.
眼神	pogled	Njegov pogled je bil zelo odločen.
厌恶	sovražiti	Sovraži varljivo vedenje.
验收	prevzemni pregled	Po dokončanju je potreben prevzemni pregled projekta.
验证	preveriti	Poskus je preveril hipotezo.
氧气	kisik	Bolnik mora vdihavati kisik.
样品	vzorec	Stranka je prejela vzorce izdelka.
摇摆	zibati se	Majhen čoln se je zibal v vetru in valovih.
摇滚	rock	Mladi imajo radi rock glasbo.
谣言	govorica	Ne širi nepreverjenih govoric.
遥控	daljinsko upravljati	S telefonom je daljinsko upravljal klimatsko napravo.
遥远	oddaljen	Tista vas je oddaljena od mesta.
耀眼	bleščeč	Sončna svetloba je bila bleščeča.
要点	ključna točka	Prosimo, zapišite ključne točke sestanka.
要命	izjemno	Ta gorska cesta je izjemno nevarna.
要素	dejavnik	Zaupanje je pomemben dejavnik sodelovanja.
野蛮	brutalen	Nasprotuje brutalnemu izvajanju zakona.
野心	ambicija	Njegova politična ambicija je očitna.
液体	tekočina	Ta tekočina nima barve.
一流	prvovrsten	Ta bolnišnica ima prvovrstno opremo.
一如既往	kot vedno	Podpira nas kot vedno.
依旧	še vedno	Dež je prenehal, toda ulica je še vedno mokra.
依据	podlaga	Sodba mora imeti podlago v zakonu.
依靠	zanašati se	Za preživetje se zanašajo na kmetijstvo.
依赖	biti odvisen	Otroci ne smejo biti preveč odvisni od staršev.
依托	opirati se	Projekt se razvija z opiranjem na lokalne vire.
衣裳	oblačila	Preoblekla se je v čista oblačila.
一度	nekoč	Podjetje se je nekoč soočalo s stečajem.
一贯	dosleden	Vedno je dosledno nasprotoval zapravljanju.
一目了然	jasno na prvi pogled	Vsebina tabele je jasna na prvi pogled.
一向	vedno	Vedno je bila točna.
仪器	instrument	Laboratorij je kupil nove instrumente.
仪式	slovesnost	Slovesnost ob diplomi bo jutri.
疑惑	zmeden	Študent je bil zmeden glede odgovora.
遗产	dediščina	To starodavno mesto je kulturna dediščina.
遗传	dednost	Ta bolezen se lahko deduje.
遗留	ostati	Težave, ki so ostale iz zgodovine, je treba rešiti.
遗失	izgubiti	Potnik je izgubil potni list.
以便	da bi	Prosimo, pustite telefonsko številko, da bi vas lahko kontaktirali.
以免	da ne bi	Odhodi prej, da ne bi zamudil.
以往	v preteklosti	Izkušnje iz preteklosti so vredne upoštevanja.
以至	do te mere	Obseg se je razširil do skupnosti in celo celotnega mesta.
以致	povzročiti	Naliv se je nadaljeval in povzročil prekinitev cest.
一帆风顺	gladko potekati	Ustanavljanje podjetja ne more vedno potekati gladko.
一举两得	doseči dva cilja hkrati	Vožnja s kolesom v službo lahko doseže dva cilja hkrati.
一丝不苟	natančen do potankosti	Inženir je napeljavo preveril natančno do potankosti.
亦	tudi	Tudi on se je strinjal s tem načrtom.
异常	nenavaden	V sistemu se je pojavila nenavadna situacija.
意料	pričakovati	Rezultat je bil popolnoma nepričakovan.
意识	zavedati se	Postopoma se je zavedel, da je težava resna.
意图	namen	Policija je prepoznala njegov namen.
意味着	pomeniti	Molk ne pomeni strinjanja.
意向	namera	Obe strani sta izrazili namero za sodelovanje.
意志	volja	Težave preizkušajo človekovo voljo.
毅力	vztrajnost	Uspeh zahteva dolgoročno vztrajnost.
毅然	odločno	Odločno je zapustila podjetje.
翼	krilo	Krilo letala so pregledali.
阴谋	zarota	Razkrili so zaroto.
音响	akustika	Dnevna soba ima dobro akustiko.
引导	usmerjati	Učitelj je usmerjal študente k razmišljanju.
引擎	motor	Avtomobilski motor je nenadoma ugasnil.
引用	citirati	Članek je citiral veliko gradiva.
隐蔽	skrit	Vojaki so bili skriti v gozdu.
隐患	skrita nevarnost	Stara napeljava ima skrite varnostne nevarnosti.
隐瞒	prikrivati	Ni prikrival resnice.
隐私	zasebnost	Podjetje mora varovati zasebnost uporabnikov.
隐约	nejasno	V daljavi je bilo nejasno slišati petje.
饮食	prehrana	Zdrava prehrana pomaga pri okrevanju.
婴儿	dojenček	Dojenček mirno spi.
英明	moder	Vodja je sprejel modro odločitev.
英勇	junaški	Gasilec je junaško rešil otroka.
盈利	dobiček	Podjetje je letos začelo ustvarjati dobiček.
迎面	naravnost v obraz	Hladen veter nam je pihal naravnost v obraz.
应酬	družabna obveznost	Nocoj ima veliko družabnih obveznosti.
应邀	na povabilo	Strokovnjak se je foruma udeležil na povabilo.
庸俗	vulgaren	Vsebina tega oglasa je vulgarna.
拥护	podpirati	Vsi podpirajo novo politiko.
拥有	imeti	Ima bogate izkušnje.
勇于	drzniti si	Mladi bi si morali drzniti poskusiti.
永恒	večen	Ljubezen ni večno nespremenljiva.
涌现	množično se pojavljati	Odlični učitelji se pojavljajo povsod.
踊跃	navdušeno	Prebivalci so se navdušeno prijavili na dejavnost.
用户	uporabnik	Uporabniki lahko spremenijo svoja gesla.
优胜劣汰	preživetje najboljših	Tržna konkurenca odraža preživetje najboljših.
优先	prednost	Starejši imajo lahko prednost pri obravnavi.
优异	odličen	Dosegla je odlične rezultate.
优越	izjemno ugoden	Ta kraj ima izjemno ugodno lego.
忧郁	potrt	Njegov izraz je bil videti potrt.
油腻	masten	Ta jed je preveč mastna.
油漆	barva	Delavci barvajo vrata.
犹如	kakor	Površina jezera je kakor ogledalo.
有条不紊	urejeno	Sestanek je potekal urejeno.
幼稚	naiven	Ta zamisel je nekoliko naivna.
诱惑	skušnjava	Oglas je poln potrošniških skušnjav.
愚蠢	neumen	Ta odločitev je izjemno neumna.
愚昧	neveden	Nevedne predstave ovirajo napredek.
渔民	ribič	Ribiči ob zori odplujejo na morje lovit ribe.
舆论	javno mnenje	Javno mnenje močno vpliva na primer.
与日俱增	iz dneva v dan naraščati	Število turistov iz dneva v dan narašča.
宇宙	vesolje	Človeštvo nenehno raziskuje vesolje.
羽绒服	puhovka	Pozimi moraš nositi puhovko.
寓言	basna	Ta basna je zelo poučna.
愈	okrevati	Stanje je vse boljše.
欲望	želja	Nadzoroval je svojo željo po nakupovanju.
熨	zlikati	Srajco je zlikala gladko.
玉	žad	Ta kos žada ima toplo barvo.
预料	predvideti	Razvoj dogodkov je presegel pričakovanja.
预期	pričakovanje	Prodaja je bila pod pričakovanji.
预算	proračun	Proračun projekta je treba prilagoditi.
预先	vnaprej	Prosimo, pripravite gradivo vnaprej.
预言	napovedati	Njegova napoved se ni uresničila.
预兆	znamenje	Bolečina je lahko opozorilno znamenje bolezni.
冤枉	po krivem obtožiti	Ne obtožuj nedolžne osebe po krivem.
元首	voditelj države	Voditelja obeh držav sta se pogovarjala.
元素	element	Kisik je kemični element.
元宵节	praznik lampijonov	Med praznikom lampijonov ljudje občudujejo lampijone.
原告	tožnik	Tožnik je predložil nove dokaze.
原理	načelo	Učitelj je razložil načelo delovanja stroja.
原始	izvoren	Shranili so izvirne zapise.
原先	prvoten	Prvotni načrt se je že spremenil.
园林	vrt	Suzhoujski vrtovi so zelo slavni.
圆满	popoln	Sestanek je dosegel popoln uspeh.
源泉	vir	Praksa je vir znanja.
缘故	razlog	Odstopil je iz zdravstvenih razlogov.
约束	omejevati	Sistem omejuje vedenje zaposlenih.
乐谱	notni zapis	Skrbno je prebrala notni zapis.
岳母	tašča	Ob koncu tedna je šel obiskat taščo.
孕育	negovati	Zemlja neguje novo življenje.
蕴藏	vsebovati	Gorsko območje vsebuje bogate rudne vire.
运算	računska operacija	Učenci vadijo računske operacije.
运行	delovati	Sistem deluje stabilno.
酝酿	premišljevati	Obe strani premišljujeta o novem načrtu.
杂技	akrobatika	Otroci radi gledajo akrobatiko.
杂交	križanec	Znanstveniki preučujejo hibridni riž.
砸	razbiti	Skodelica je padla na tla in se razbila.
咋	kako	Kako to, da se še nisi vrnil?
栽培	gojiti	Vrtnar je gojil veliko rož.
灾难	nesreča	Mesto se je po nesreči začelo obnavljati.
宰	zaklati	Vaščani med praznikom zakoljejo ovce.
再接再厉	še naprej vztrajati	Po osvojeni nagradi je ekipa še naprej vztrajala.
在意	biti mar	Zelo ji je mar za mnenje drugih.
攒	varčevati	Varčuje denar za nakup računalnika.
暂且	zaenkrat	Zaenkrat to vprašanje pustimo ob strani.
赞叹	občudovati	Občinstvo je občudovalo igralčev nastop.
赞助	sponzorirati	Podjetje je sponzoriralo to tekmovanje.
糟蹋	zapravljati	Ne zapravljaj te sveže hrane.
遭受	utrpeti	Polje je utrpelo hudo sušo.
遭殃	nasrkati	Ko se je most zrušil, so nasrkali bližnji prebivalci.
遭遇	naleteti	Naleteli so na snežni metež.
噪音	hrup	Gradbeni hrup moti počitek.
造型	oblika	Ta model avtomobila ima zelo izrazito obliko.
责怪	kriviti	Prosimo, ne krivi otroka na slepo.
贼	tat	Policija je ujela tistega tata.
增添	dodati	Sveže rože dodajo sobi barvo.
赠送	podariti	Trgovina podarja majhna darila.
扎	zabosti	Medicinska sestra mu je dala injekcijo.
扎实	trden	Njegova slovnična osnova je trdna.
渣	usedlina	Na dnu skodelice je ostala kavna usedlina.
眨	mežikniti	Pomežiknila je z očmi.
诈骗	goljufija	Policija je razkrila primer telefonske goljufije.
摘要	povzetek	Povzetek članka je napisan jasno.
债券	obveznica	Vlagatelji kupujejo državne obveznice.
沾光	imeti korist	Tudi jaz sem imel korist zaradi prijatelja.
瞻仰	pokloniti se	Turisti so se poklonili spomeniku junakom.
展示	prikazati	Podjetje je prikazalo svoj najnovejši izdelek.
展望	obeti	Poročilo se ozira na prihodnje obete.
展现	prikazovati	Delo prikazuje podeželsko življenje.
崭新	povsem nov	Kupil je povsem novo kolo.
斩钉截铁	odločen	Odločno je zavrnila.
占据	zavzeti	Oglas je zavzel celo stran.
占领	zavzeti	Vojska je zavzela gorski prelaz.
战斗	bitka	Bitka je trajala tri ure.
战略	strategija	Podjetje je prilagodilo svojo razvojno strategijo.
战术	taktika	Trener je spremenil taktiko tekme.
战役	vojaška kampanja	Ta vojaška kampanja je spremenila položaj.
章程	pravila	Združenje je sprejelo nova pravila.
帐篷	šotor	Ob jezeru so postavili šotore.
障碍	ovira	Jezikovne ovire vplivajo na komunikacijo.
招标	objaviti razpis	Inženirski projekt je objavil javni razpis.
招收	vpisovati	Šola letos vpisuje nove učence.
朝气蓬勃	poln energije	Mlada ekipa je polna energije.
着迷	biti očaran	Otroka je očarala astronomija.
沼泽	močvirje	Odprava je prečkala močvirje.
