simplified	MY	example_MY
电台	ရေဒီယိုဌာန	သူသည် ရေဒီယိုဌာနတွင် အစီအစဉ်တင်ဆက်သည်။
钓	ငါးမျှားသည်	အဘိုးသည် မြစ်ကမ်းဘေးသို့ ငါးမျှားသွားရတာ ကြိုက်သည်။
顶	ထိပ်; လုံး	သူသည် အနက်ရောင်ဦးထုပ်တစ်လုံး ဆောင်းထားသည်။
冻	အေးခဲသည်	အပြင်မှာ အလွန်အေးလို့ ရေတောင် အေးခဲသွားသည်။
动画片	ကာတွန်းကား	ကလေးများသည် ကာတွန်းကား ကြည့်နေကြသည်။
洞	အပေါက်; ဂူ	နံရံပေါ်တွင် အပေါက်ငယ်တစ်ခု ရှိသည်။
豆腐	တိုဖူး	ဒီတိုဖူးဟင်းက အလွန်စားကောင်းသည်။
逗	ရယ်အောင်လုပ်သည်; စသည်	သူပြောတာက လူတိုင်းကို ရယ်အောင်လုပ်ခဲ့သည်။
独立	လွတ်လပ်သော; ကိုယ်ပိုင်ရပ်တည်သော	သူမသည် လွတ်လပ်စွာ နေထိုင်ချင်သည်။
独特	ထူးခြားသော	ဒီမြို့မှာ ထူးခြားသော ယဉ်ကျေးမှုရှိသည်။
度过	ဖြတ်သန်းသည်; အချိန်ကုန်ဆုံးသည်	ကျွန်ုပ်တို့ ပင်လယ်ကမ်းခြေမှာ အားလပ်ရက်ကို ဖြတ်သန်းခဲ့သည်။
断	ပြတ်သည်; ဖြတ်သည်	ဒီကြိုး ပြတ်သွားသည်။
堆	ပုံ; စုပုံသည်	စားပွဲပေါ်တွင် စာရွက်စာတမ်းများစွာ စုပုံနေသည်။
兑换	လဲလှယ်သည်	ကျွန်တော် တရုတ်ယွမ်အချို့ လဲလှယ်ချင်သည်။
对比	နှိုင်းယှဉ်သည်	ကျေးဇူးပြု၍ ဒီအစီအစဉ်နှစ်ခုကို နှိုင်းယှဉ်ပါ။
对待	ဆက်ဆံသည်	ကျွန်ုပ်တို့ လူတိုင်းကို တရားမျှတစွာ ဆက်ဆံသင့်သည်။
对方	တစ်ဖက်လူ; တစ်ဖက်ပါတီ	ကျေးဇူးပြု၍ တစ်ဖက်လူ၏ အမြင်ကို အရင်နားထောင်ပါ။
对手	ပြိုင်ဘက်	သူ၏ ပြိုင်ဘက်က အလွန်အားကောင်းသည်။
对象	ရည်ရွယ်သူ; သုတေသနအကြောင်းအရာ	သုတေသန၏ ရည်ရွယ်သူများမှာ တက္ကသိုလ်ကျောင်းသားများ ဖြစ်သည်။
吨	တန်	ဒီကုန်ကားသည် ကုန်သုံးတန် တင်နိုင်သည်။
蹲	ဆောင့်ကြောင့်ထိုင်သည်	သူသည် မြေပြင်ပေါ်တွင် ဆောင့်ကြောင့်ထိုင်ပြီး သော့ကို ရှာနေသည်။
顿	တစ်နပ်; အကြိမ်	ကျွန်ုပ်တို့ အတူတူ ညစာတစ်နပ် စားခဲ့သည်။
多亏	ကျေးဇူးကြောင့်	သင့်အကူအညီကြောင့် ကျွန်တော် ဒီတာဝန်ကို ပြီးစီးနိုင်ခဲ့သည်။
多余	မလိုအပ်သော; ပိုလျှံသော	ဒီဝါကျက မလိုအပ်ပါ။
朵	ပွင့်	စားပွဲပေါ်တွင် ပန်းတစ်ပွင့် ထားထားသည်။
躲藏	ပုန်းအောင်းသည်	ကြောင်ကလေးသည် ကုတင်အောက်တွင် ပုန်းနေသည်။
恶劣	ဆိုးရွားသော	ဒီနေ့ ရာသီဥတု အလွန်ဆိုးရွားသည်။
耳环	နားကပ်	သူမသည် နားကပ်တစ်စုံ ဝတ်ထားသည်။
发表	ထုတ်ပြန်သည်; ပြောကြားသည်	သူသည် အစည်းအဝေးတွင် ကိုယ့်အမြင်ကို ပြောကြားခဲ့သည်။
发愁	စိတ်ပူသည်	ဒီကိစ္စလေးအတွက် စိတ်မပူပါနှင့်။
发达	ဖွံ့ဖြိုးသော	ဒီမြို့၏ သယ်ယူပို့ဆောင်ရေး အလွန်ဖွံ့ဖြိုးသည်။
发抖	တုန်သည်	သူ အေးလွန်း၍ တစ်ချိန်လုံး တုန်နေသည်။
发挥	အသုံးချသည်; ဖော်ထုတ်သည်	ကျေးဇူးပြု၍ မိမိ၏ စိတ်ကူးဉာဏ်ကို အသုံးချပါ။
发明	တီထွင်သည်; တီထွင်မှု	လျှပ်စစ်မီးသည် အရေးကြီးသော တီထွင်မှုတစ်ခုဖြစ်သည်။
发票	ငွေတောင်းခံလွှာ; ပြေစာ	ကျေးဇူးပြု၍ ကျွန်တော့်ကို ပြေစာထုတ်ပေးပါ။
发言	မိန့်ခွန်းပြောသည်; အမြင်ပြောသည်	သူသည် အစည်းအဝေးတွင် စကားပြောခဲ့သည်။
罚款	ဒဏ်ငွေ; ဒဏ်ငွေဆောင်စေသည်	စည်းကမ်းမဲ့ကားရပ်လျှင် ဒဏ်ငွေဆောင်ရမည်။
法院	တရားရုံး	ဒီအမှုကို တရားရုံးသို့ လွှဲပြောင်းထားသည်။
翻	လှန်သည်; ဘာသာပြန်သည်	ကျေးဇူးပြု၍ စာအုပ်ကို စာမျက်နှာဆယ်သို့ လှန်ပါ။
繁荣	စည်ပင်သာယာသော; ဖွံ့ဖြိုးကြွယ်ဝသော	စီးပွားရေးက ဖြည်းဖြည်းချင်း စည်ပင်လာနေသည်။
反而	ဆန့်ကျင်ဘက်အနေဖြင့်; အစား	သူ မဒေါသထွက်ဘဲ ဆန့်ကျင်ဘက်အနေဖြင့် ပြုံးခဲ့သည်။
反复	ထပ်ခါထပ်ခါ	ဒီဝါကျကို ထပ်ခါထပ်ခါ လေ့ကျင့်ရမည်။
反应	တုံ့ပြန်မှု; တုံ့ပြန်သည်	သူ၏ တုံ့ပြန်မှုက အလွန်မြန်သည်။
反映	ထင်ဟပ်သည်; ဖော်ပြသည်	ဒီအစီရင်ခံစာက အမှန်တကယ်အခြေအနေကို ထင်ဟပ်သည်။
反正	ဘယ်လိုပဲဖြစ်ဖြစ်	ဘယ်လိုပဲဖြစ်ဖြစ် မနက်ဖြန် ကျွန်တော့်မှာ အချိန်ရှိသည်။
范围	အတိုင်းအတာ	ကျေးဇူးပြု၍ ဒီအတိုင်းအတာကို မကျော်လွန်ပါနှင့်။
方	စတုရန်း; ဘက်	ကျေးဇူးပြု၍ စာရွက်ပေါ်တွင် စတုရန်းပုံတစ်ခု ဆွဲပါ။
方案	အစီအစဉ်; အဆိုပြုချက်	ဒီအစီအစဉ်က အတော်သင့်လျော်သည်။
方式	နည်းလမ်း	ဒီသင်ယူနည်းလမ်းက အလွန်ထိရောက်သည်။
妨碍	နှောင့်ယှက်သည်; အတားအဆီးဖြစ်စေသည်	ကျေးဇူးပြု၍ သူများအလုပ်ကို မနှောင့်ယှက်ပါနှင့်။
仿佛	သကဲ့သို့; ထင်ရသည်	သူသည် အရာအားလုံးကို သိနေသကဲ့သို့ ဖြစ်သည်။
非	မဖြစ်မနေ; မဟုတ်သော	ဒီကိစ္စက မင်းမပါဘဲ မဖြစ်နိုင်ပါ။
肥皂	ဆပ်ပြာ	လက်ဆေးရာတွင် ဆပ်ပြာ သုံးရမည်။
废话	အဓိပ္ပာယ်မရှိသောစကား	အဓိပ္ပာယ်မရှိတာတွေ မပြောတော့ဘဲ မြန်မြန်စပါ။
