simplified	ES-419	example_ES-419
定期	periódico; regularmente	El médico le aconsejó hacerse revisiones periódicas.
定义	definición	Por favor, explica primero la definición de este concepto.
丢人	dar vergüenza; perder la cara	Mentir en público da mucha vergüenza.
丢三落四	despistado; olvidadizo	Él siempre es despistado y a menudo olvida las llaves al salir.
东道主	anfitrión	Como anfitriones, debemos cuidar bien a los invitados.
东张西望	mirar a todos lados	No mires a todos lados durante la clase.
董事长	presidente del consejo	El presidente del consejo asistió hoy a la reunión.
冻结	congelar	El banco congeló temporalmente esta cuenta.
动荡	turbulencia; inestabilidad	La guerra mantuvo esta región inestable durante mucho tiempo.
动机	motivo	La policía está investigando su motivo.
动静	ruido; movimiento	No había ni el menor ruido ni movimiento en la habitación.
动力	motivación; fuerza motriz	El interés es la motivación para aprender.
动脉	arteria	El médico examinó su arteria.
动身	partir; ponerse en camino	Mañana temprano saldremos hacia el aeropuerto.
动手	empezar; pelear	El asunto aún no está claro, así que nadie debe empezar a pelear.
动态	desarrollo; estado dinámico	Por favor, sigue de cerca el progreso del proyecto.
动员	movilizar	La escuela movilizó a los estudiantes para participar en actividades voluntarias.
栋	clasificador para edificios	Este edificio tiene veinte pisos.
兜	bolsillo; bolsa	Él puso las llaves en el bolsillo del abrigo.
陡峭	empinado	Este camino de montaña es muy empinado.
斗争	lucha; combatir	Ellos luchan para proteger el medio ambiente.
督促	instar; supervisar	El gerente instó a todos a terminar la tarea a tiempo.
毒品	drogas; narcóticos	La aduana incautó un lote de narcóticos.
独裁	dictadura	La gente se opone al régimen dictatorial.
堵塞	bloquear; obstrucción	La basura bloqueó la alcantarilla.
赌博	jugar por dinero	El juego puede traer consecuencias graves.
杜绝	poner fin a; erradicar	La empresa exige poner fin al desperdicio.
端	llevar; extremo	Entró llevando una taza de té caliente.
端午节	Fiesta del Barco Dragón	En la Fiesta del Barco Dragón comemos zongzi.
端正	corregir; recto	Los estudiantes deben corregir su actitud hacia el estudio.
短促	breve; corto	Él soltó un suspiro breve.
断定	determinar; concluir	Ahora todavía no se puede determinar quién tiene razón.
断绝	cortar; romper	Después del accidente, la aldea perdió el contacto con el exterior.
堆积	acumularse; apilarse	La nieve se acumuló junto al camino.
兑现	cumplir; hacer efectivo	Finalmente cumplió su promesa.
对策	contramedida; solución	Frente a los riesgos, necesitamos contramedidas.
对称	simetría; simétrico	Los lados izquierdo y derecho de este edificio son muy simétricos.
对付	lidiar con; manejar	Este problema no es fácil de manejar.
对抗	enfrentarse; resistir	Los dos equipos se enfrentarán en la final.
对立	oponerse; oposición	Las posturas de ambas partes son completamente opuestas.
对联	pareado; copla de puerta	En la Fiesta de Primavera pegan pareados en la puerta.
对应	corresponder	Cada número corresponde a un asiento.
对照	comparar; contrastar	Por favor, compara la traducción con el texto original.
队伍	equipo; fila; procesión	La procesión avanzó lentamente.
顿时	de inmediato; al instante	Al oír la noticia, se quedó paralizado de inmediato.
哆嗦	temblar; tiritar	Hacía tanto frío que no dejaba de tiritar.
多元化	diversificación; diversificar	La empresa está impulsando la diversificación del negocio.
堕落	degenerar; caer moralmente	Él no quiere seguir cayendo moralmente.
额外	adicional; extra	Este servicio requiere un cargo adicional.
恶心	náusea; dar asco	Al oler ese olor, sentí un poco de náusea.
恶化	empeorar	Si no se trata, la enfermedad puede empeorar.
遏制	contener; frenar	El gobierno tomó medidas para contener la contaminación.
恩怨	rencor; resentimiento	El rencor entre las dos empresas viene de hace mucho.
而已	nada más; eso es todo	Solo lo dije de forma casual, nada más.
二氧化碳	dióxido de carbono	Las plantas absorben dióxido de carbono.
发布	publicar; anunciar	La empresa anunciará un nuevo producto mañana.
发财	hacerse rico	Él espera hacerse rico mediante el esfuerzo.
发呆	quedarse ensimismado; estar distraído	Ella estaba sentada junto a la ventana, ensimismada.
发动	lanzar; movilizar	Los voluntarios movilizaron a los residentes para limpiar la calle.
发觉	notar; descubrir	Noté que hoy estaba un poco nervioso.
发射	lanzar; disparar	El cohete será lanzado por la noche.
发誓	jurar	Él juró que nunca volvería a mentir.
发行	estrenar; publicar	Esta película se estrenará el mes que viene.
发炎	inflamarse	La herida está un poco inflamada.
发扬	promover; desarrollar	Debemos promover el espíritu de trabajo en equipo.
发育	desarrollo; desarrollarse	El desarrollo físico de los niños necesita suficiente nutrición.
法人	persona jurídica	Esta empresa es una persona jurídica independiente.
番	vez; estas palabras	Estas palabras me inspiraron mucho.
凡是	todo; cualquiera que	Todos los que se inscriban deben asistir a la capacitación.
繁华	próspero; bullicioso	Esta calle antes era muy bulliciosa.
繁忙	ocupado; ajetreado	El aeropuerto está especialmente ajetreado durante las vacaciones.
繁体字	caracteres chinos tradicionales	En Taiwán se usan a menudo caracteres tradicionales.
繁殖	reproducirse; propagar	Esta planta se reproduce fácilmente.
反驳	refutar	Él refutó este punto de vista con datos.
反常	anormal; inusual	El clima de hoy es un poco inusual.
反感	disgusto; antipatía	Siento mucha antipatía por este tipo de anuncio.
反抗	resistir; rebelarse	La gente empezó a resistirse a la norma injusta.
反馈	retroalimentación; respuesta	Los clientes comentaron que el sistema es muy estable.
反面	reverso; lado opuesto	Por favor, voltea el papel al reverso.
反射	reflejar; reflexión	El espejo refleja la luz.
反思	reflexionar	Después del fracaso, reflexionó seriamente sobre las razones.
反问	responder con una pregunta	Él no respondió y me hizo una pregunta en respuesta.
反之	al contrario; a la inversa	Un precio demasiado alto reduce la demanda, y a la inversa también.
泛滥	desbordarse; inundar	La lluvia intensa hizo que el río se desbordara.
范畴	categoría; ámbito	Este problema pertenece al ámbito legal.
贩卖	vender ilegalmente; traficar	La ley prohíbe vender medicamentos falsos.
方位	dirección; orientación	El mapa marca la dirección exacta.
方言	dialecto	Él puede entender el dialecto local.
方圆	en un radio de	No hay hospital en un radio de diez kilómetros.
方针	política; directriz	La empresa estableció una nueva política de desarrollo.
防守	defensa; defender	La defensa de este equipo es muy estable.
防御	defensa	La muralla se usaba antes para defenderse de los enemigos.
防止	prevenir	Por favor, abróchate el cinturón para prevenir lesiones.
防治	prevención y tratamiento	El médico explicó métodos de prevención y tratamiento de la enfermedad.
纺织	textil; hilar y tejer	Esta ciudad es famosa por la industria textil.
访问	visitar; entrevistar	El periodista visitará mañana a este escritor.
放大	ampliar; agrandar	Por favor, amplía un poco la imagen.
放射	radiar; emitir	Este material emite calor.
非法	ilegal	Las transacciones ilegales serán castigadas.
飞禽走兽	aves y animales	En el bosque viven todo tipo de aves y animales.
飞翔	volar	Las gaviotas vuelan sobre el mar.
飞跃	salto; gran avance	El desarrollo tecnológico logró un gran salto.
肥沃	fértil	Esta tierra es muy fértil.
诽谤	difamación; calumniar	Difamar a otros implica responsabilidad legal.
废除	abolir; derogar	Esta vieja norma ya fue abolida.
废寝忘食	olvidarse de comer y dormir; estar completamente absorto	Por la investigación, se olvidó de comer y dormir.
废墟	ruinas	Después del terremoto, ese lugar quedó convertido en ruinas.
沸腾	hervir; ebullición	El agua ya hirvió.
肺	pulmón	Fumar puede dañar los pulmones.
分辨	distinguir; diferenciar	Me cuesta distinguir estos dos colores.
分寸	límite apropiado; tacto	Incluso al bromear hay que conocer los límites.
分红	dividendo; repartir beneficios	Los accionistas pueden recibir dividendos a fin de año.
分解	descomponer; dividir	El profesor dividió el problema complejo en varios pasos.
分裂	dividirse; escindirse	Los conflictos internos causaron la división de la organización.
分泌	secretar	Este tipo de glándula secreta hormonas.
分明	claro; evidente	Los hechos ya están muy claros.
分歧	diferencia; desacuerdo	Las dos partes tienen diferencias sobre el precio.
分散	dispersar; repartir	Por favor, reparte el riesgo entre distintos proyectos.
吩咐	ordenar; encargar	El jefe me encargó ordenar los documentos.
坟墓	tumba	En la ladera hay una tumba antigua.
粉末	polvo	Por favor, muele las pastillas hasta hacerlas polvo.
粉色	rosa	Ella compró una bufanda rosa.
粉碎	aplastar; desmantelar	La policía desmanteló esta banda criminal.
分量	peso; importancia	Esta frase tiene mucho peso.
愤怒	ira; enojado	Su tono estaba lleno de ira.
丰满	rico; abundante	El contenido de este artículo todavía no es suficientemente rico.
丰盛	abundante; suntuoso	Prepararon una cena abundante.
丰收	buena cosecha	Los agricultores tuvieron una buena cosecha este año.
封闭	cerrar; sellar	Esta carretera estará cerrada durante las obras.
封建	feudal	Esta forma de pensar feudal ya debería haber cambiado.
封锁	bloquear; acordonar	La policía acordonó el lugar del accidente.
锋利	afilado; incisivo	Este cuchillo está muy afilado.
风暴	tormenta; crisis	De repente apareció una tormenta en el mar.
风度	elegancia; porte	En el escenario se veía muy elegante.
风光	paisaje; vista	El paisaje natural de aquí es muy bonito.
风气	ambiente; costumbre	La escuela ha formado un buen ambiente de estudio.
风趣	humor; ingenio	Él habla con mucho humor.
风土人情	costumbres locales	Viajar ayuda a conocer las costumbres locales.
风味	sabor local; estilo local	Esta tienda tiene un fuerte sabor local.
逢	cada vez que; encontrarse	Cada fin de semana, el parque está animado.
奉献	dedicar; consagrar	El médico dedicó mucho tiempo a los pacientes.
否决	vetar; rechazar	La junta rechazó esta propuesta.
夫妇	matrimonio; pareja	Este matrimonio dirige una pequeña tienda.
夫人	señora; esposa	El señor Wang asistió al banquete con su esposa.
敷衍	superficial; responder por compromiso	Él solo dio unas respuestas superficiales.
俘虏	cautivo; prisionero	Después de terminar la guerra, los prisioneros fueron liberados.
幅度	margen; alcance	La rebaja de precio esta vez es grande.
服从	obedecer; acatar	Los soldados deben obedecer las órdenes.
服气	aceptar; quedar convencido	Perdió el partido, pero no quedó convencido.
福利	beneficios; bienestar	Los empleados valoran mucho los beneficios de la empresa.
福气	buena fortuna	Encontrar un buen profesor es su buena fortuna.
符号	símbolo; signo	Este símbolo representa peligro.
辐射	radiación	El médico le recordó que se mantuviera alejado de la radiación fuerte.
俯视	mirar desde arriba; dominar	Desde la cima se puede ver toda la ciudad desde arriba.
抚摸	acariciar	Ella acarició suavemente la cabeza del niño.
抚养	criar; mantener	Los abuelos ayudaron a criar al niño.
腐败	corrupción; corrupto	El gobierno está luchando contra la corrupción.
腐烂	pudrirse	La fruta se pudre si se deja demasiado tiempo.
腐蚀	corroer; corrosión	El ácido puede corroer la superficie metálica.
腐朽	decadente; podrido	Ellos criticaron el sistema decadente.
辅助	ayudar; auxiliar	Esta herramienta puede ayudar en la enseñanza.
副	vice; adjunto	Ella fue nombrada subgerente.
复活	revivir; resucitar	Esta fiesta tradicional está reviviendo.
复兴	renacimiento; revitalización	El renacimiento cultural requiere esfuerzo a largo plazo.
富裕	próspero; acomodado	Este pueblo es cada vez más próspero.
腹泻	diarrea	Tiene diarrea grave y necesita ver a un médico.
覆盖	cubrir	La nieve intensa cubrió todo el valle.
负担	carga; asumir una carga	El alquiler se convirtió en su principal carga.
赋予	otorgar; conceder	La ley otorga derechos básicos a los ciudadanos.
附和	secundar; repetir sin criterio	Él no tiene opinión propia y solo secunda a los demás.
附件	archivo adjunto; anexo	Por favor, revisa el archivo adjunto del correo.
附属	afiliado; subordinado	Este hospital está afiliado a la universidad.
改良	mejorar	Los expertos están mejorando este tipo de arroz.
