simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO
现金	gotówka	Nie mam przy sobie dużo gotówki, ale w sklepie można płacić kartą.	het contante geld	Ik heb niet veel contant geld bij me, maar de winkel accepteert kaarten.	kontanter	Jag har inte mycket kontanter med mig, men butiken tar kort.	kontanter	Jeg har ikke mye kontanter med meg, men butikken tar kort.
羡慕	zazdrościć; podziwiać	Zazdroszczę mu dobrej pracy.	benijden; bewonderen	Ik benijd hem omdat hij een goede baan heeft.	avundas; beundra	Jag avundas honom för att han har ett bra jobb.	misunne; beundre	Jeg misunner ham at han har en god jobb.
相反	przeciwny; odwrotny	To, co mówisz, jest dokładnie przeciwne do tego, jak ja to rozumiem.	het tegenovergestelde; tegengesteld	Wat jij zegt is precies het tegenovergestelde van wat ik begrijp.	motsatt; tvärtom	Det du säger är precis motsatsen till vad jag förstår.	motsatt; tvert imot	Det du sier, er det stikk motsatte av det jeg forstår.
相同	taki sam; identyczny	Twój rower jest dokładnie taki sam jak mój.	hetzelfde; identiek	Je fiets is precies hetzelfde als de mijne.	samma; identisk	Din cykel är exakt likadan som min.	samme; identisk	Sykkelen din er helt lik min.
香	pachnący; aromatyczny	Potrawa, którą zrobiłeś, pachnie świetnie!	geurig; lekker ruikend	Het eten dat je hebt gemaakt ruikt heerlijk!	doftande; väldoftande	Maten du lagade doftar verkligen gott!	duftende; velduftende	Maten du laget, lukter virkelig godt!
详细	szczegółowy	Plan, który przygotowała, jest bardzo szczegółowy.	gedetailleerd	Het plan dat zij heeft gemaakt is heel gedetailleerd.	detaljerad	Planen hon gjorde är mycket detaljerad.	detaljert	Planen hun laget, er veldig detaljert.
响	dzwonić; brzmieć; wydać dźwięk	Posłuchaj, czy to telefon zadzwonił?	klinken; rinkelen	Luister, ging de telefoon?	låta; ringa	Lyssna, var det telefonen som ringde?	ringe; lyde	Hør, ringte telefonen?
橡皮	gumka do ścierania	Czy mogę pożyczyć od ciebie gumkę na chwilę?	de gum	Mag ik je gum even lenen?	ett suddgummi	Kan jag få låna ditt suddgummi en stund?	et viskelær	Kan jeg låne viskelæret ditt et øyeblikk?
消息	wiadomość; informacja	Ta wiadomość jest naprawdę ekscytująca.	het nieuws; het bericht	Dit nieuws is echt opwindend.	en nyhet; ett meddelande	Den här nyheten är verkligen spännande.	en nyhet; en beskjed	Denne nyheten er virkelig spennende.
小吃	przekąska; lokalna przekąska	Gdy przyjedziesz do Pekinu, koniecznie spróbuj pekińskich przekąsek.	de snack; het hapje	Als je naar Beijing komt, moet je zeker de snacks van Beijing proberen.	ett mellanmål; gatumat	När du kommer till Beijing måste du prova lokala små rätter.	en matbit; gatemat	Når du kommer til Beijing, må du prøve lokal småmat.
小伙子	młody mężczyzna; chłopak	Ten młody mężczyzna jest bardzo serdeczny.	de jongeman	Die jongeman is erg hartelijk.	en ung man	Den där unge mannen är mycket varm och vänlig.	en ung mann	Den unge mannen er veldig varm og vennlig.
小说	powieść; fikcja literacka	Czytam teraz tę powieść.	de roman; de fictie	Ik ben deze roman aan het lezen.	en roman; skönlitteratur	Jag håller på att läsa den här romanen.	en roman; skjønnlitteratur	Jeg leser denne romanen nå.
效果	efekt; rezultat	Ten lek na przeziębienie działa bardzo dobrze.	het effect; het resultaat	Dit verkoudheidsmedicijn werkt heel goed.	en effekt; ett resultat	Den här förkylningsmedicinen fungerar mycket bra.	en effekt; et resultat	Denne forkjølelsesmedisinen virker veldig godt.
笑话	żart; śmiać się z kogoś	Proszę nie śmiać się z innych.	de grap; uitlachen	Lach anderen alstublieft niet uit.	ett skämt; skratta åt	Var snäll och skratta inte åt andra.	en vits; le av	Vær så snill, ikke le av andre.
心情	nastrój	Jego nastrój się poprawił.	de stemming	Zijn stemming werd beter.	ett humör	Hans humör blev bättre.	et humør	Humøret hans ble bedre.
辛苦	ciężki; wyczerpujący	Praca taty jest bardzo ciężka.	zwaar; vermoeiend	Het werk van vader is erg zwaar.	hård; ansträngande	Pappas arbete är mycket hårt.	hard; krevende	Pappas arbeid er veldig krevende.
信封	koperta	Włożył napisany list do koperty.	de envelop	Hij stopte de geschreven brief in de envelop.	ett kuvert	Han lade det färdigskrivna brevet i kuvertet.	en konvolutt	Han la det ferdigskrevne brevet i konvolutten.
信息	informacja; wiadomość	Proszę wyślij mi swoje dane kontaktowe.	de informatie; het bericht	Stuur me alstublieft je contactgegevens.	information; ett meddelande	Skicka mig dina kontaktuppgifter.	informasjon; en melding	Vennligst send meg kontaktinformasjonen din.
信心	pewność siebie; wiara	Mamy do ciebie dużo zaufania. Na pewno dasz radę.	het vertrouwen	We hebben veel vertrouwen in je. Je kunt het zeker.	självförtroende; förtroende	Vi har stort förtroende för dig. Du klarar det säkert.	tillit; selvtillit	Vi har stor tro på deg. Du klarer det helt sikkert.
兴奋	podekscytowany; ekscytacja	Gdy dzieci usłyszały, że jadą na wiosenną wycieczkę, podskoczyły z ekscytacji.	opgewonden; de opwinding	De kinderen sprongen opgewonden op toen ze hoorden dat ze op een voorjaarsuitje gingen.	upphetsad; entusiasm	När barnen hörde att de skulle på vårutflykt hoppade de upp av förtjusning.	begeistret; spenning	Barna hoppet begeistret opp da de hørte at de skulle på vårtur.
行	w porządku; nadawać się	Czy tak może być?	oké; goed	Is dit oké zo?	okej; fungera	Är det här okej?	greit; fungere	Er dette greit?
醒	obudzić się; być obudzonym	Obudziłem się o szóstej rano.	wakker worden; wakker zijn	Ik werd om zes uur 's ochtends wakker.	vakna; vara vaken	Jag vaknade klockan sex på morgonen.	våkne; være våken	Jeg våknet klokken seks om morgenen.
幸福	szczęście; szczęśliwy	Pieniądze nie kupią szczęścia.	het geluk; gelukkig	Geld kan geen geluk kopen.	lycka; lycklig	Pengar kan inte köpa lycka.	lykke; lykkelig	Penger kan ikke kjøpe lykke.
性别	płeć	Proszę wpisać płeć w drugim wierszu formularza.	het geslacht	Vul alstublieft het geslacht in op de tweede regel van het formulier.	ett kön	Fyll i kön på formulärets andra rad.	et kjønn	Vennligst fyll inn kjønn på den andre linjen i skjemaet.
性格	osobowość; charakter	Moja żona ma bardzo dobry charakter i nigdy się nie złości.	het karakter; de persoonlijkheid	Mijn vrouw heeft een heel goed karakter en wordt nooit boos.	en personlighet; en karaktär	Min fru har en mycket bra personlighet och tappar aldrig humöret.	en personlighet; en karakter	Kona mi har en veldig god personlighet og mister aldri besinnelsen.
修理	naprawiać; naprawa	Po naprawie mój komputer znów może normalnie działać.	repareren; de reparatie	Na de reparatie kan mijn computer weer normaal werken.	reparera; en reparation	Efter reparationen kan min dator fungera normalt igen.	reparere; en reparasjon	Etter reparasjonen kan datamaskinen min fungere normalt igjen.
许多	wiele; dużo	Na ulicy jest wiele koszy na śmieci.	veel	Er staan veel vuilnisbakken op straat.	många; mycket	Det finns många soptunnor på gatan.	mange; mye	Det er mange søppelbøtter på gaten.
学期	semestr; okres szkolny	W tym semestrze wybrałem wiele zajęć, w tym sztukę, historię i ekonomię.	het semester; de schoolterm	Dit semester heb ik veel vakken gekozen, waaronder kunst, geschiedenis en economie.	en termin	Den här terminen valde jag många kurser, bland annat konst, historia och ekonomi.	et semester; en termin	Dette semesteret valgte jeg mange fag, inkludert kunst, historie og økonomi.
呀	partykuła zdaniowa wyrażająca zdziwienie	Och, pada śnieg!	uitroepend zinsdeeltje	Ah, het sneeuwt!	en meningspartikel för överraskning	Åh, det snöar!	en setningspartikkel for overraskelse	Å, det snør!
压力	presja; nacisk	Ostatnio ma w pracy dużą presję.	de druk	Hij staat de laatste tijd onder grote druk op het werk.	ett tryck; en press	Han har varit under stor press på jobbet på sistone.	et press	Han har hatt stort arbeidspress i det siste.
牙膏	pasta do zębów	Pasta do zębów się skończyła, kupmy jutro nową.	de tandpasta	De tandpasta is op, laten we morgen nieuwe kopen.	en tandkräm	Tandkrämen är slut, vi köper ny imorgon.	en tannkrem	Tannkremen er tom, la oss kjøpe ny i morgen.
亚洲	Azja	Chiny są krajem azjatyckim.	Azië	China is een Aziatisch land.	Asien	Kina är ett asiatiskt land.	Asia	Kina er et asiatisk land.
严格	surowy; ścisły	Nauczyciel ma wobec nas bardzo surowe wymagania.	streng	De leraar stelt heel strenge eisen aan ons.	sträng	Läraren ställer mycket stränga krav på oss.	streng	Læreren stiller veldig strenge krav til oss.
严重	poważny; ciężki	Jego choroba jest poważna.	ernstig	Zijn ziekte is ernstig.	allvarlig	Hans sjukdom är allvarlig.	alvorlig	Sykdommen hans er alvorlig.
盐	sól	Dodałeś za dużo soli, danie jest trochę słone.	het zout	Er zit te veel zout in, het gerecht is een beetje zout.	salt	Det är för mycket salt i, maten är lite salt.	salt	Det er for mye salt i, maten er litt salt.
研究	badanie; badać	On bada ten problem.	het onderzoek; onderzoeken	Hij onderzoekt dit probleem.	forskning; forska	Han forskar om det här problemet.	forskning; undersøke	Han undersøker dette problemet.
演出	występ; występować	Przed pierwszym występem był bardzo zdenerwowany.	het optreden; optreden	Bij zijn eerste optreden was hij erg nerveus.	en föreställning; uppträda	Vid sin första föreställning var han mycket nervös.	en forestilling; opptre	Ved den første forestillingen var han veldig nervøs.
演员	aktor; aktorka; wykonawca	On jest znanym aktorem.	de acteur; de actrice	Hij is een beroemde acteur.	en skådespelare	Han är en berömd skådespelare.	en skuespiller	Han er en kjent skuespiller.
眼镜	okulary	On nosi parę czarnych okularów.	de bril	Hij draagt een zwarte bril.	glasögon	Han har på sig ett par svarta glasögon.	briller	Han har på seg et par svarte briller.
阳光	światło słoneczne; słońce	Światło słoneczne wpadało przez okno do pokoju.	het zonlicht; de zonneschijn	Zonlicht kwam door het raam de kamer binnen.	solljus; solsken	Solljuset kom in i rummet genom fönstret.	sollys; solskinn	Sollyset kom inn i rommet gjennom vinduet.
养成	wyrobić; ukształtować	Nabyłem ten nawyk już w dzieciństwie.	ontwikkelen; vormen	Ik heb deze gewoonte al van jongs af aan ontwikkeld.	utveckla; forma	Jag utvecklade den här vanan redan som liten.	utvikle; danne	Jeg utviklet denne vanen allerede som liten.
样子	wygląd; styl	Ten ubiór wygląda całkiem dobrze.	het uiterlijk; de stijl	Dit kledingstuk ziet er heel goed uit.	ett utseende; en stil	Det här plagget ser riktigt bra ut.	et utseende; en stil	Dette plagget ser ganske bra ut.
邀请	zaprosić; zaproszenie	Odrzucił zaproszenie wszystkich.	uitnodigen; de uitnodiging	Hij wees ieders uitnodiging af.	bjuda in; en inbjudan	Han tackade nej till allas inbjudan.	invitere; en invitasjon	Han avslo alles invitasjon.
要是	jeśli	Jeśli przyjdziesz pierwszy, poczekaj na mnie chwilę.	als	Als je eerst komt, wacht dan even op mij.	om	Om du kommer först, vänta på mig en stund.	hvis	Hvis du kommer først, så vent litt på meg.
钥匙	klucz	Dzisiaj zapomniałem zabrać klucza.	de sleutel	Ik ben vandaag vergeten de sleutel mee te nemen.	en nyckel	Jag glömde att ta med nyckeln idag.	en nøkkel	Jeg glemte å ta med nøkkelen i dag.
也许	może; być może	On może już nie przyjdzie.	misschien	Misschien komt hij niet meer.	kanske	Han kanske inte kommer.	kanskje	Han kommer kanskje ikke.
叶子	liść	Nadeszła wiosna i młode drzewa wypuściły nowe liście.	het blad; het blaadje	De lente is gekomen en de jonge bomen hebben nieuwe bladeren gekregen.	ett blad	Våren har kommit och de unga träden har fått nya blad.	et blad	Våren har kommet, og de unge trærne har fått nye blader.
页	strona	Proszę przewrócić na dziesiątą stronę.	de pagina	Sla alstublieft om naar pagina tien.	en sida	Slå upp sidan tio, tack.	en side	Vennligst slå opp på side ti.
一切	wszystko	Mama odpowiada za wszystko w domu.	alles	Moeder is verantwoordelijk voor alles in huis.	allt	Mamma ansvarar för allt hemma.	alt	Mamma har ansvar for alt hjemme.
以	użyć jako; według	Proszę wziąć to zdanie za przykład.	als; volgens	Neem deze zin alstublieft als voorbeeld.	som; enligt	Ta den här meningen som exempel.	som; ifølge	Vennligst bruk denne setningen som eksempel.
以为	myśleć; sądzić	Myślałem, że już wyszedłeś.	denken; geloven	Ik dacht dat je al weg was.	tro; tänka	Jag trodde att du redan hade gått.	tro; mene	Jeg trodde du allerede hadde gått.
意见	opinia; sugestia	Przyjmuję wszystkie twoje opinie.	de mening; het voorstel	Ik accepteer al je meningen.	en åsikt; ett förslag	Jag accepterar alla dina åsikter.	en mening; et forslag	Jeg godtar alle meningene dine.
艺术	sztuka	Bardzo interesuję się sztuką.	de kunst	Ik ben erg geïnteresseerd in kunst.	konst	Jag är mycket intresserad av konst.	kunst	Jeg er veldig interessert i kunst.
因此	dlatego; w rezultacie	Był chory, dlatego nie przyszedł na zajęcia.	daarom; daardoor	Hij was ziek, daarom kwam hij niet naar de les.	därför; följaktligen	Han var sjuk, därför kom han inte till lektionen.	derfor; som følge av	Han var syk, derfor kom han ikke til timen.
引起	spowodować; wywołać	Ta sprawa wywołała niezadowolenie wszystkich.	veroorzaken; teweegbrengen	Deze zaak veroorzaakte ontevredenheid bij iedereen.	orsaka; väcka	Den här saken väckte allas missnöje.	forårsake; vekke	Denne saken vakte misnøye hos alle.
印象	wrażenie	On zrobił na mnie bardzo dobre wrażenie.	de indruk	Hij maakte een heel goede indruk op mij.	ett intryck	Han gjorde ett mycket gott intryck på mig.	et inntrykk	Han gjorde et veldig godt inntrykk på meg.
赢	wygrać; pokonać	Kto wygrał wczorajszy mecz piłki nożnej?	winnen; verslaan	Wie heeft de voetbalwedstrijd van gisteren gewonnen?	vinna; besegra	Vem vann fotbollsmatchen igår?	vinne; slå	Hvem vant fotballkampen i går?
应聘	ubiegać się o pracę	Ona chce ubiegać się o tę pracę.	solliciteren naar	Zij wil op deze baan solliciteren.	söka jobb	Hon vill söka det här jobbet.	søke på jobb	Hun vil søke på denne jobben.
勇敢	odważny	Mój brat jest bardzo odważnym człowiekiem.	dapper; moedig	Mijn broer is een heel dappere man.	modig	Min bror är en mycket modig person.	modig	Broren min er en veldig modig person.
永远	na zawsze; wiecznie	Nigdy nie zapomnę twojej pomocy.	voor altijd; eeuwig	Ik zal je hulp nooit vergeten.	för alltid; evigt	Jag kommer aldrig att glömma din hjälp.	for alltid; evig	Jeg kommer aldri til å glemme hjelpen din.
优点	zaleta; mocna strona	Nie można porównywać własnych wad z zaletami innych.	het voordeel; het sterke punt	Je moet je eigen tekortkomingen niet vergelijken met de sterke punten van anderen.	en fördel; en stark sida	Man kan inte jämföra sina egna brister med andras fördelar.	en fordel; en sterk side	Man kan ikke sammenligne sine egne svakheter med andres sterke sider.
优秀	wybitny; doskonały	On jest znakomitym lekarzem.	uitstekend	Hij is een uitstekende arts.	utmärkt; framstående	Han är en utmärkt läkare.	utmerket; fremragende	Han er en utmerket lege.
幽默	humor; humorystyczny	Profesor Li mówi z dużym poczuciem humoru.	de humor; humoristisch	Professor Li spreekt met veel humor.	humor; humoristisk	Professor Li talar med mycket humor.	humor; humoristisk	Professor Li snakker med mye humor.
尤其	zwłaszcza; szczególnie	On lubi malować, zwłaszcza tradycyjne chińskie obrazy.	vooral; in het bijzonder	Hij houdt van schilderen, vooral van Chinese schilderkunst.	särskilt; i synnerhet	Han tycker om att måla, särskilt kinesiskt måleri.	særlig; spesielt	Han liker å male, særlig kinesisk maleri.
由	przez; od; za pomocą	To wydarzenie jest organizowane przez nas.	door; van	Dit evenement wordt door ons georganiseerd.	av; från	Det här evenemanget organiseras av oss.	av; fra	Dette arrangementet organiseres av oss.
由于	z powodu; ponieważ	Z powodu deszczu mecz został przełożony.	vanwege; doordat	Vanwege de regen werd de wedstrijd uitgesteld.	på grund av; eftersom	På grund av regnet sköts matchen upp.	på grunn av; fordi	På grunn av regnet ble kampen utsatt.
邮局	poczta	Poczta otwiera się o dziewiątej rano.	het postkantoor	Het postkantoor gaat om negen uur 's ochtends open.	ett postkontor	Postkontoret öppnar klockan nio på morgonen.	et postkontor	Postkontoret åpner klokken ni om morgenen.
友好	przyjazny; życzliwy	Mój właściciel mieszkania jest bardzo przyjazny i często mi pomaga.	vriendelijk	Mijn huisbaas is erg vriendelijk en helpt me vaak.	vänlig	Min hyresvärd är mycket vänlig och hjälper mig ofta.	vennlig	Huseieren min er veldig vennlig og hjelper meg ofte.
友谊	przyjaźń	Łączy nas głęboka przyjaźń.	de vriendschap	Er is een diepe vriendschap tussen ons.	en vänskap	Det finns en djup vänskap mellan oss.	et vennskap	Det er et dypt vennskap mellom oss.
有趣	ciekawy; interesujący	To naprawdę ciekawy sen!	interessant; boeiend	Dat is echt een interessante droom!	intressant; rolig	Det är verkligen en intressant dröm!	interessant; morsom	Det er virkelig en interessant drøm!
于是	więc; w rezultacie	Chciałem go o coś zapytać, więc do niego zadzwoniłem.	dus; daarom	Ik wilde hem iets vragen, dus belde ik hem.	så; därför	Jag ville fråga honom något, så jag ringde honom.	så; derfor	Jeg ville spørre ham om noe, så jeg ringte ham.
愉快	przyjemny; radosny	Miłego weekendu!	prettig; vrolijk	Fijn weekend!	trevlig; glad	Ha en trevlig helg!	hyggelig; glad	God helg!
与	z; i	On jest bardzo pewny siebie i lubi rywalizować z innymi.	met; en	Hij is erg zelfverzekerd en concurreert graag met anderen.	med; och	Han är mycket självsäker och tycker om att tävla med andra.	med; og	Han er veldig selvsikker og liker å konkurrere med andre.
羽毛球	badminton	Czy często grasz w badmintona?	badminton	Speel je vaak badminton?	badminton	Spelar du ofta badminton?	badminton	Spiller du ofte badminton?
语法	gramatyka	Nauczyłem się trochę podstaw gramatyki.	de grammatica	Ik heb wat basisgrammatica geleerd.	grammatik	Jag lärde mig lite grundläggande grammatik.	grammatikk	Jeg lærte litt grunnleggende grammatikk.
语言	język	Nauka języka wymaga pewnego zrozumienia jego gramatyki.	de taal	Een taal leren vereist enige kennis van de grammatica ervan.	ett språk	Att lära sig ett språk kräver viss förståelse för dess grammatik.	et språk	Å lære et språk krever en viss forståelse av grammatikken.
预习	przygotować lekcję; przejrzeć wcześniej	Proszę dobrze przygotować tekst przed lekcją.	voorbereiden; vooraf doornemen	Neem de tekst alstublieft goed vooraf door.	förbereda; läsa i förväg	Förbered texten ordentligt, tack.	forberede; lese på forhånd	Vennligst forbered teksten godt på forhånd.
原来	pierwotny; dawny; jak wcześniej	Nadal mieszkam w tym samym miejscu co wcześniej.	oorspronkelijk; vroeger; zoals voorheen	Ik woon nog steeds op dezelfde plek als vroeger.	ursprunglig; tidigare; som förut	Jag bor fortfarande på samma ställe som förut.	opprinnelig; tidligere; som før	Jeg bor fortsatt på samme sted som før.
原谅	wybaczyć; przebaczyć	Proszę wybaczyć to, co przed chwilą powiedziałem.	vergeven	Vergeef me alstublieft wat ik net zei.	förlåta	Förlåt mig för det jag nyss sa.	tilgi	Vennligst tilgi det jeg nettopp sa.
原因	powód; przyczyna	On bardzo jasno wyjaśnił powód.	de reden; de oorzaak	Hij legde de reden heel duidelijk uit.	en orsak; en anledning	Han förklarade orsaken mycket tydligt.	en grunn; en årsak	Han forklarte grunnen veldig tydelig.
约会	umówić się; randka	Ona zaczęła spotykać się z Xiao Li.	de afspraak; de date	Zij begon met Xiao Li te daten.	en dejt; ett möte	Hon började dejta Xiao Li.	en date; en avtale	Hun begynte å date Xiao Li.
阅读	czytać; lektura	Czytam teraz tę powieść.	lezen; het lezen	Ik ben deze roman aan het lezen.	läsa; läsning	Jag håller på att läsa den här romanen.	lese; lesing	Jeg leser denne romanen nå.
云	chmura	Na niebie jest coraz więcej chmur.	de wolk	Er komen steeds meer wolken aan de hemel.	ett moln	Det blir fler och fler moln på himlen.	en sky	Det blir flere og flere skyer på himmelen.
允许	pozwolić; zezwolić	Proszę pozwolić mi się przedstawić.	toestaan; toelaten	Sta mij alstublieft toe mezelf voor te stellen.	tillåta	Låt mig få presentera mig.	tillate	Vennligst la meg presentere meg.
杂志	magazyn; czasopismo	Artykuły w tym czasopiśmie są dobrze napisane.	het tijdschrift	De artikelen in dit tijdschrift zijn goed geschreven.	en tidskrift; en tidning	Artiklarna i den här tidskriften är välskrivna.	et magasin; et tidsskrift	Artiklene i dette tidsskriftet er godt skrevet.
咱们	my; nasz	Ile wynoszą nasze koszty utrzymania w tym miesiącu?	wij; ons	Hoeveel zijn onze kosten van levensonderhoud deze maand?	vi; vår	Hur stora är våra levnadskostnader den här månaden?	vi; vår	Hvor mye er levekostnadene våre denne måneden?
暂时	tymczasowo; chwilowy	Tymczasowo zaparkował samochód przy drodze.	tijdelijk	Hij parkeerde de auto tijdelijk langs de weg.	tillfälligt; tillfällig	Han parkerade bilen tillfälligt vid vägkanten.	midlertidig; foreløpig	Han parkerte bilen midlertidig ved veikanten.
脏	brudny	Przypadkiem pobrudziłem ubranie.	vies	Ik heb mijn kleren per ongeluk vies gemaakt.	smutsig	Jag råkade smutsa ner mina kläder.	skitten	Jeg gjorde klærne mine skitne ved et uhell.
责任	odpowiedzialność; obowiązek	Wszyscy jesteśmy odpowiedzialni za tę sprawę.	de verantwoordelijkheid	Wij zijn allemaal verantwoordelijk voor deze zaak.	ett ansvar	Vi har alla ansvar för den här saken.	et ansvar	Vi har alle ansvar for denne saken.
增加	zwiększyć się; wzrosnąć	Liczba uczniów wzrosła w tym roku.	toenemen; verhogen	Het aantal studenten is dit jaar toegenomen.	öka	Antalet studenter ökade i år.	øke	Antallet studenter økte i år.
占线	zajęty; linia zajęta	Dzwoniłem kilka razy z rzędu, ale jego telefon był zajęty.	in gesprek; bezet	Ik belde meerdere keren achter elkaar, maar zijn lijn was telkens bezet.	upptaget; linjen är upptagen	Jag ringde flera gånger i rad, men hans telefon var upptagen.	opptatt; linjen er opptatt	Jeg ringte flere ganger på rad, men telefonen hans var opptatt.
招聘	rekrutować; rekrutacja	Firma zatrudnia nowych pracowników.	werven; de werving	Het bedrijf neemt nieuwe medewerkers aan.	rekrytera; rekrytering	Företaget rekryterar nya anställda.	rekruttere; rekruttering	Selskapet ansetter nye medarbeidere.
照	według; postępować zgodnie z	Postępuj zgodnie z tym planem.	volgens; volgen	Volg dit plan.	enligt; följa	Följ den här planen.	ifølge; følge	Følg denne planen.
真正	prawdziwy; rzeczywisty	Prawdziwy przyjaciel pomoże ci, gdy napotkasz trudności.	echt; werkelijk	Een echte vriend helpt je wanneer je moeilijkheden tegenkomt.	äkta; verklig	En riktig vän hjälper dig när du stöter på svårigheter.	ekte; virkelig	En ekte venn hjelper deg når du møter vanskeligheter.
整理	uporządkować; posprzątać	Proszę uporządkować książki na stole.	ordenen; opruimen	Ruim de boeken op tafel alstublieft op.	ordna; städa	Ordna böckerna på bordet, tack.	rydde; ordne	Vennligst rydd bøkene på bordet.
正常	normalny; zwykły	Po naprawie mój komputer znów może normalnie działać.	normaal	Na de reparatie kan mijn computer weer normaal werken.	normal	Efter reparationen kan min dator fungera normalt igen.	normal	Etter reparasjonen kan datamaskinen min fungere normalt igjen.
正好	akurat; dokładnie	To, co mówisz, jest dokładnie przeciwne do tego, jak ja to rozumiem.	precies; net goed	Wat jij zegt is precies het tegenovergestelde van wat ik begrijp.	precis; lagom	Det du säger är precis motsatsen till vad jag förstår.	akkurat; passende	Det du sier, er det stikk motsatte av det jeg forstår.
正确	poprawny; właściwy	Twój osąd jest całkowicie poprawny.	correct; juist	Je oordeel is helemaal juist.	korrekt; riktig	Din bedömning är helt korrekt.	riktig; korrekt	Vurderingen din er helt riktig.
正式	oficjalny; formalny	Teraz mecz oficjalnie się zaczyna.	officieel; formeel	De wedstrijd begint nu officieel.	officiell; formell	Nu börjar matchen officiellt.	offisiell; formell	Nå begynner kampen offisielt.
证明	udowodnić; dowód	Fakty dowodzą, że on ma rację.	bewijzen; het bewijs	De feiten bewijzen dat hij gelijk heeft.	bevisa; ett bevis	Fakta visar att han har rätt.	bevise; et bevis	Fakta beviser at han har rett.
之	partykuła literacka; z	To jedna z części chińskiej kultury.	literaire partikel; van	Dit is een deel van de Chinese cultuur.	litterär partikel; av	Detta är en del av kinesisk kultur.	litterær partikkel; av	Dette er en del av kinesisk kultur.
支持	popierać; wspierać	My dwaj musimy się wzajemnie wspierać.	steunen	Wij tweeën moeten elkaar steunen.	stödja	Vi två måste stödja varandra.	støtte	Vi to må støtte hverandre.
知识	wiedza	Zdobyłem dużo wiedzy podczas czytania.	de kennis	Ik heb veel kennis opgedaan door te lezen.	kunskap	Jag har fått mycket kunskap genom läsning.	kunnskap	Jeg har fått mye kunnskap gjennom lesing.
值得	warto; zasługiwać	Tę powieść warto przeczytać.	de moeite waard zijn; verdienen	Deze roman is de moeite waard om te lezen.	vara värd; förtjäna	Den här romanen är värd att läsa.	være verdt; fortjene	Denne romanen er verdt å lese.
植物	roślina	Ten rodzaj rośliny potrzebuje dużo światła słonecznego.	de plant	Dit soort plant heeft veel zonlicht nodig.	en växt	Den här typen av växt behöver mycket solljus.	en plante	Denne typen plante trenger mye sollys.
直接	bezpośrednio; prosto	Po pracy poszedł prosto do domu.	direct; rechtstreeks	Na het werk ging hij direct naar huis.	direkt	Efter jobbet gick han direkt hem.	direkte	Etter jobb dro han rett hjem.
职业	zawód; profesja	Jaki jest twój wymarzony zawód?	het beroep; de carrière	Wat is je ideale beroep?	ett yrke; en karriär	Vilket är ditt drömyrke?	et yrke; en karriere	Hva er drømmeyrket ditt?
只好	musieć; nie mieć lepszego wyjścia	Deszcz padał tak mocno, że musieliśmy zostać w domu.	moeten; geen andere keus hebben	Het regende zo hard dat we thuis moesten blijven.	vara tvungen; inte ha något bättre val	Det regnade så kraftigt att vi var tvungna att stanna hemma.	måtte; ikke ha noe bedre valg	Det regnet så kraftig at vi måtte bli hjemme.
只要	o ile; jeśli tylko	Jeśli tylko będziesz ciężko pracować, na pewno zrobisz to dobrze.	zolang; als maar	Zolang je hard werkt, kun je dit zeker goed doen.	så länge som; bara	Så länge du arbetar hårt kan du säkert göra detta bra.	så lenge; bare	Så lenge du jobber hardt, kan du helt sikkert gjøre dette godt.
指	wskazać; palec	Dziękuję, że wskazałeś mój błąd.	wijzen; de vinger	Bedankt dat je mijn fout hebt aangewezen.	peka; ett finger	Tack för att du pekade ut mitt misstag.	peke; en finger	Takk for at du påpekte feilen min.
至少	przynajmniej; co najmniej	Ten budynek ma co najmniej sto metrów wysokości.	ten minste; minstens	Dit gebouw is minstens honderd meter hoog.	åtminstone; minst	Den här byggnaden är minst hundra meter hög.	minst; i det minste	Denne bygningen er minst hundre meter høy.
质量	jakość	Te buty są bardzo dobrej jakości.	de kwaliteit	De kwaliteit van deze schoenen is heel goed.	en kvalitet	Kvaliteten på de här skorna är mycket bra.	en kvalitet	Kvaliteten på disse skoene er veldig god.
重	ciężki; poważny	To pudełko jest bardzo ciężkie.	zwaar; ernstig	Deze doos is erg zwaar.	tung; allvarlig	Den här lådan är mycket tung.	tung; alvorlig	Denne esken er veldig tung.
重点	najważniejszy punkt; sedno	To, co przed chwilą powiedział, jest sednem problemu.	het belangrijkste punt; de kern	Wat hij net zei is de kern van het probleem.	en huvudpunkt; fokus	Det han nyss sa är problemets kärna.	et hovedpunkt; kjernen	Det han nettopp sa, er kjernen i problemet.
重视	cenić; przywiązywać wagę	Rodzice bardzo przywiązują wagę do edukacji dzieci.	waarde hechten aan	Ouders hechten veel waarde aan de opvoeding van hun kinderen.	värdesätta; fästa vikt vid	Föräldrar fäster stor vikt vid sina barns utbildning.	verdsette; legge vekt på	Foreldre legger stor vekt på barnas utdanning.
周围	wokół; otoczenie	Wokół szkoły jest wiele sklepów.	rondom; de omgeving	Er zijn veel winkels rond de school.	runt omkring; omgivningarna	Det finns många butiker runt skolan.	rundt; omgivelsene	Det er mange butikker rundt skolen.
主意	pomysł; plan	Masz jakiś dobry pomysł? Powiedz, posłuchamy.	het idee; het plan	Heb je een goed idee? Vertel het ons.	en idé; en plan	Har du någon bra idé? Berätta, så lyssnar vi.	en idé; en plan	Har du en god idé? Fortell, så hører vi.
