simplified	ML	example_ML
层次	ഘടന	ഈ ലേഖനത്തിന്റെ ഘടന വളരെ വ്യക്തമാണ്.
差别	വ്യത്യാസം	രണ്ട് രീതികൾക്കിടയിൽ വലിയ വ്യത്യാസമില്ല.
插座	പ്ലഗ് പോയിന്റ്	ഈ മുറിയിൽ പ്ലഗ് പോയിന്റുകൾ മതിയാകുന്നില്ല.
查获	പിടിച്ചെടുക്കുക	കസ്റ്റംസ് വ്യാജവസ്തുക്കളുടെ ഒരു കൂട്ടം പിടിച്ചെടുത്തു.
刹那	നിമിഷം	ഒരു നിമിഷത്തിൽ എല്ലാ വിളക്കുകളും അണഞ്ഞു.
岔	വഴിത്തിരിവ്	മുന്നിലെ ചുരുക്കിൽ കാറുകൾ വേർപ്പെട്ടു.
诧异	അതിശയിക്കുക	അവന്റെ തീരുമാനം എല്ലാവരെയും വളരെ അതിശയിപ്പിച്ചു.
柴油	ഡീസൽ	ഈ ലോറി ഡീസൽ ഉപയോഗിക്കുന്നു.
搀	താങ്ങിപ്പിടിക്കുക	നഴ്‌സ് വൃദ്ധനെ താങ്ങിപ്പിടിച്ച് വാർഡിലേക്കു കൊണ്ടുപോയി.
缠绕	ചുറ്റിപ്പിടിക്കുക	വള്ളികൾ കൊമ്പുകളിൽ ചുറ്റിപ്പിടിച്ചു.
馋	കൊതി തോന്നുക	കേക്ക് കണ്ടപ്പോൾ കുട്ടിക്ക് അല്പം കൊതി തോന്നി.
产业	വ്യവസായം	വിനോദസഞ്ചാരം ഇവിടെ പ്രധാന വ്യവസായമാണ്.
阐述	വിശദമായി വിശദീകരിക്കുക	പ്രൊഫസർ തന്റെ നിലപാട് വിശദമായി വിശദീകരിച്ചു.
颤抖	വിറയുക	തണുപ്പിൽ അവളുടെ ശരീരം മുഴുവൻ വിറച്ചു.
昌盛	സമൃദ്ധമായ	രാജ്യം സമൃദ്ധമായി വളരണമെന്ന് ഞങ്ങൾ ആഗ്രഹിക്കുന്നു.
偿还	തിരിച്ചടയ്ക്കുക	അവൻ വായ്പ സമയത്ത് തിരിച്ചടച്ചു.
尝试	ശ്രമിക്കുക	നമുക്ക് പുതിയ രീതി ശ്രമിക്കാം.
场合	അവസരം	ഇത്തരത്തിലുള്ള അവസരത്തിൽ തമാശ പറയാൻ പറ്റില്ല.
场面	ദൃശ്യം	വിവാഹത്തിന്റെ ദൃശ്യം വളരെ സജീവമായിരുന്നു.
场所	സ്ഥലം	ഇത് പൊതുസ്ഥലമാണ്, പുകവലിക്കരുത്.
敞开	പൂർണ്ണമായി തുറക്കുക	ജനൽ കുറച്ച് നേരം പൂർണ്ണമായി തുറന്നിടൂ.
倡导	പ്രോത്സാഹിപ്പിക്കുക	സ്കൂൾ ആരോഗ്യകരമായ ജീവിതശൈലി പ്രോത്സാഹിപ്പിക്കുന്നു.
倡议	മുൻകൈ	ഈ പരിസ്ഥിതി മുൻകൈയ്ക്ക് പിന്തുണ ലഭിച്ചു.
畅通	തടസ്സമില്ലാതെ സഞ്ചരിക്കുക	മഴ നിന്ന ശേഷം റോഡ് വീണ്ടും തടസ്സമില്ലാതെ തുറന്നു.
畅销	നന്നായി വിറ്റഴിക്കപ്പെടുക	ഈ നോവൽ വളരെ നന്നായി വിറ്റഴിക്കപ്പെടുന്നു.
超越	മറികടക്കുക	അവൻ ഒടുവിൽ സ്വന്തം റെക്കോർഡ് മറികടന്നു.
钞票	നോട്ടുകൾ	പേഴ്സിൽ കുറച്ച് നോട്ടുകൾ മാത്രം ബാക്കി.
嘲笑	പരിഹസിക്കുക	മറ്റുള്ളവരുടെ കുറവുകൾ പരിഹസിക്കരുത്.
巢穴	കൂട്	വേട്ടക്കാരൻ മൃഗത്തിന്റെ കൂട് കണ്ടെത്തി.
朝代	വംശകാലം	താങ് രാജവംശം ചൈനീസ് ചരിത്രത്തിലെ ഒരു വംശകാലമാണ്.
潮流	പ്രവണത	യുവാക്കൾ ഫാഷൻ പ്രവണതകൾ ശ്രദ്ധിക്കുന്നു.
撤退	പിൻവാങ്ങുക	ഉത്തരവ് ലഭിച്ചതിന് ശേഷം സൈന്യം പിൻവാങ്ങി.
撤销	റദ്ദാക്കുക	കോടതി മുൻ വിധി റദ്ദാക്കി.
沉淀	അടിഞ്ഞിരിക്കുക	മണൽമണ്ണ് മന്ദഗതിയിൽ അടിഞ്ഞിരിക്കും.
沉闷	ഭാരം നിറഞ്ഞ	ഇന്നത്തെ കാലാവസ്ഥ ചൂടും ഭാരം നിറഞ്ഞതുമാണ്.
沉思	ആഴത്തിൽ ചിന്തിക്കുക	അവൻ ജനലരികിൽ ഇരുന്നു ആഴത്തിൽ ചിന്തിച്ചു.
沉重	ഭാരമുള്ള	ഈ വാർത്ത എല്ലാവരുടെയും മനസ്സ് ഭാരമുള്ളതാക്കി.
沉着	ശാന്തസ്ഥിരം	അപകടം നേരിടുമ്പോൾ ശാന്തസ്ഥിരമായി ഇരിക്കണം.
陈旧	പഴഞ്ചൻ	ഈ യന്ത്രം ഇതിനകം വളരെ പഴഞ്ചനായിരിക്കുന്നു.
陈列	പ്രദർശിപ്പിക്കുക	പ്രദർശനശാലയിൽ പല പുരാവസ്തുക്കളും പ്രദർശിപ്പിച്ചിരിക്കുന്നു.
陈述	വിവരിക്കുക	ദയവായി വസ്തുതകൾ വ്യക്തമായി വിവരിക്കുക.
称心如意	തൃപ്തികരമായ	ഈ ജോലി അവനു വളരെ തൃപ്തികരമാണ്.
衬托	തെളിച്ചുകാണിക്കുക	വെള്ള മതിൽ പൂക്കളുടെ നിറം തെളിച്ചുകാണിക്കുന്നു.
称号	പദവി	അവന് മികച്ച അധ്യാപകൻ എന്ന പദവി ലഭിച്ചു.
乘	കയറുക	ഞാൻ ദിവസവും മെട്രോ കയറി ജോലിക്ക് പോകുന്നു.
呈现	പ്രകടമാകുക	ആകാശത്ത് മങ്ങിയ ചുവപ്പ് നിറം പ്രകടമായി.
城堡	കോട്ട	മലമുകളിൽ ഒരു പഴയ കോട്ടയുണ്ട്.
惩罚	ശിക്ഷിക്കുക	ചതി ചെയ്യുന്ന വിദ്യാർത്ഥികളെ സ്കൂൾ ശിക്ഷിക്കും.
成本	ചെലവ്	അസംസ്കൃത വസ്തുക്കളുടെ വിലവർധന ചെലവ് കൂട്ടി.
成交	കരാർ പൂർത്തിയാകുക	ഈ വ്യാപാരകരാർ ഒടുവിൽ പൂർത്തിയായി.
成天	ദിവസം മുഴുവൻ	അവൻ ദിവസം മുഴുവൻ കമ്പ്യൂട്ടറിന് മുന്നിൽ ഇരിക്കുന്നു.
成效	ഫലം	പുതിയ മാനേജ്മെന്റ് രീതി വേഗത്തിൽ ഫലം കാട്ടി.
成心	ഉദ്ദേശപൂർവം	നിന്നെ ബുദ്ധിമുട്ടിക്കാൻ അവൻ ഉദ്ദേശപൂർവം ചെയ്തതല്ല.
成员	അംഗം	ഓരോ അംഗവും യോഗത്തിൽ പങ്കെടുക്കണം.
承办	ഏറ്റെടുത്തു നടത്തുക	ഈ കമ്പനി പ്രദർശനം ഏറ്റെടുത്തു നടത്തി.
承包	കരാർ ഏറ്റെടുക്കുക	അവർ ഈ പദ്ധതി കരാർ ഏറ്റെടുത്തു.
承诺	വാഗ്ദാനം ചെയ്യുക	അവൻ സമയത്ത് ജോലി പൂർത്തിയാക്കുമെന്ന് വാഗ്ദാനം ചെയ്തു.
橙	ഓറഞ്ച്	ഞാൻ കുറച്ച് പുതുമയുള്ള ഓറഞ്ചുകൾ വാങ്ങി.
澄清	വ്യക്തമാക്കുക	മാനേജർ പുറത്തുവന്ന് തെറ്റിദ്ധാരണ വ്യക്തമാക്കി.
盛	പകർന്നു നൽകുക	അവൾ അതിഥിക്ക് ഒരു കിണ്ണം സൂപ്പ് പകർന്നു നൽകി.
诚挚	ആത്മാർത്ഥമായ	ദയവായി എന്റെ ആത്മാർത്ഥമായ നന്ദി സ്വീകരിക്കുക.
秤	തൂക്കുകോൽ	ഈ തൂക്കുകോൽ അത്ര കൃത്യമല്ല.
吃苦	കഷ്ടം സഹിക്കുക	യുവാക്കൾ കഷ്ടം സഹിക്കാൻ പഠിക്കണം.
吃力	ബുദ്ധിമുട്ടായ	ഈ പെട്ടി മാറ്റുന്നത് വളരെ ബുദ്ധിമുട്ടാണ്.
持久	ദീർഘകാലം നിലനിൽക്കുന്ന	വിജയത്തിന് ദീർഘകാലം നിലനിൽക്കുന്ന പരിശ്രമം വേണം.
迟钝	മന്ദമായ	അടുത്തിടെ അവന്റെ പ്രതികരണം അല്പം മന്ദമാണ്.
迟缓	മന്ദഗതിയായ	മഴയ്ക്ക് ശേഷം ഗതാഗതം മന്ദഗതിയായി.
迟疑	മടിക്കുക	അവൾ ഒരു നിമിഷം മടിച്ച് പിന്നെ മറുപടി നൽകി.
赤道	ഭൂമദ്ധ്യരേഖ	ഭൂമദ്ധ്യരേഖയ്ക്ക് സമീപം വർഷം മുഴുവൻ ചൂടാണ്.
赤字	കമ്മി	കമ്പനിക്ക് ഈ വർഷം കമ്മി ഉണ്ടായി.
充当	ആയി പ്രവർത്തിക്കുക	പദ്ധതിയിൽ അവൻ ഏകോപകനായി പ്രവർത്തിച്ചു.
充沛	സമൃദ്ധമായ	കുട്ടികൾക്ക് ഊർജം വളരെ സമൃദ്ധമാണ്.
充实	സമ്പുഷ്ടമായ	ഈ അനുഭവം എന്റെ ജീവിതം കൂടുതൽ സമ്പുഷ്ടമാക്കി.
充足	മതിയായ	യാത്രയ്ക്ക് മുൻപ് മതിയായ വെള്ളം ഒരുക്കണം.
冲动	ആവേശപ്രേരിതം	ക്ഷണിക ആവേശം കൊണ്ട് തീരുമാനം എടുക്കരുത്.
冲击	ആഘാതം ഉണ്ടാക്കുക	പുതിയ സാങ്കേതികവിദ്യ പരമ്പരാഗത വ്യവസായങ്ങൾക്ക് ആഘാതമുണ്ടാക്കി.
