simplified	NE	example_NE
处境	अवस्था	उनीहरूको अहिलेको अवस्था धेरै कठिन छ।
处置	व्यवस्थापन गर्नु	यी पुराना उपकरणहरूको उचित व्यवस्थापन गर्नुपर्छ।
触犯	उल्लङ्घन गर्नु	यस्तो गर्दा कानुन उल्लङ्घन हुनेछ।
川流不息	निरन्तर बगिरहनु	सडकमा सवारीसाधन निरन्तर बगिरहेजस्तै चलिरहेका छन्।
穿越	पार गर्नु	रेल लामो सुरुङ पार गर्‍यो।
传达	सन्देश पुर्‍याउनु	कृपया यो खबर सबैलाई पुर्‍याइदिनुहोस्।
传单	पर्चा	स्वयंसेवकहरूले सडकमा पर्चा बाँडे।
传授	सिकाएर हस्तान्तरण गर्नु	शिक्षकले विद्यार्थीहरूलाई अनुभव सिकाएर हस्तान्तरण गरे।
船舶	जहाजहरू	बन्दरगाहमा धेरै जहाजहरू रोकिएका छन्।
喘气	सास फेर्नु	दौड सकेपछि ऊ लगातार सास फेर्दै थियो।
