simplified	SK	example_SK
无辜	nevinný	Súd rozhodol, že je nevinný
无精打采	bez nálady	Dnes vyzerá úplne bez nálady
无赖	darebák	Dedinčania nechcú mať s tým darebákom nič spoločné
无理取闹	robiť bezdôvodné problémy	Prosím, nerob tu bezdôvodné problémy
无能为力	bezmocný	Zoči-voči povodni boli dedinčania bezmocní
无穷无尽	nekonečný	Púšť vyzerala nekonečne
无微不至	starostlivý do detailov	Zdravotná sestra sa o pacienta starala do najmenších detailov
无忧无虑	bezstarostný	Deti sa bezstarostne hrali na tráve
无知	nevedomosť	Nevedomosť nie je dôvod odmietať učenie
侮辱	uraziť	Jeho slová urazili druhého človeka
武器	zbraň	Tieto zbrane sú uložené pod jednotným dohľadom
武侠	bojové umenia	Od detstva rád číta romány o bojových umeniach
武装	ozbrojený	Pohraničná oblasť posilnila ozbrojené hliadky
舞蹈	tanec	Tento tanec má výrazné etnické črty
务必	bezpodmienečne	Prosím, príď bezpodmienečne načas
物美价廉	kvalitný a lacný	Tovar v tomto obchode je kvalitný a lacný
物业	správa nehnuteľnosti	Správa nehnuteľnosti zodpovedá za opravy v obytnom komplexe
物资	materiálne zásoby	Humanitárne zásoby už dorazili do postihnutej oblasti
误差	odchýlka	Vo výsledku merania je malá odchýlka
误解	nedorozumenie	Obe strany si komunikáciou vyjasnili nedorozumenie
夕阳	zapadajúce slnko	Zapadajúce slnko zafarbilo oblohu dozlatista
昔日	niekdajší	Niekdajšia dedina sa zmenila na mesto
溪	potok	Cez hory tečie malý potok
熄灭	uhasiť	Prosím, uhas sviečku
牺牲	obetovať sa	Obetovali sa, aby zachránili iných
膝盖	koleno	Zranil si koleno
习俗	zvyk	Jarný sviatok má mnoho tradičných zvykov
媳妇	manželka	Jeho manželka pracuje v nemocnici
袭击	útok	Búrka zasiahla pobrežné mesto
喜闻乐见	obľúbený u publika	Takýto program je u divákov obľúbený
喜悦	radosť	Na tvári sa jej objavil radostný úsmev
系列	séria	Firma uviedla na trh sériu nových výrobkov
细菌	baktéria	Vysoká teplota dokáže zabiť baktérie
细胞	bunka	Ľudské telo sa skladá z nespočetných buniek
细致	dôkladný	Jej pozorovanie je veľmi dôkladné
峡谷	kaňon	Rieka preteká hlbokým kaňonom
狭隘	úzkoprsý	Tento úzkoprsý pohľad sa musí zmeniť
狭窄	úzky	Tento chodník je veľmi úzky
霞	večerná žiara	Večerná žiara začervenala oblohu
下属	podriadený	Manažér si pozorne vypočul názory podriadených
先进	pokročilý	Továreň zaviedla pokročilé zariadenie
先前	predchádzajúci	Predchádzajúci plán sa už zmenil
掀起	vyvolať	Táto kniha vyvolala vlnu diskusií
纤维	vlákno	Táto látka obsahuje prírodné vlákno
鲜明	jasný	Jeho postoj je veľmi jasný
嫌	nemá rád	Nemá rada, že izba je príliš malá
嫌疑	podozrenie	Tento muž je predmetom vážneho podozrenia
弦	struna	Na gitare praskla jedna struna
衔接	nadväzovať	Obsah oboch kurzov na seba dobre nadväzuje
贤惠	starostlivý a schopný	Považujú ju za starostlivú a schopnú
闲话	klebety	Neklebeť o iných poza ich chrbát
显著	výrazný	Účinok liečby je veľmi výrazný
宪法	ústava	Ústava zaručuje občanom základné práva
现场	miesto udalosti	Reportéri už dorazili na miesto nehody
现成	hotový	V kuchyni je hotové jedlo
现状	súčasný stav	Musíme pochopiť súčasný stav odvetvia
线索	stopa	Polícia našla novú stopu
陷害	zosnovať krivé obvinenie	Tvrdil, že naňho niekto zosnoval krivé obvinenie
陷阱	pasca	Poľovník nastražil pascu
陷入	upadnúť do	Firma upadla do finančných ťažkostí
馅儿	plnka	Plnka v tejto buchtičke veľmi dobre vonia
乡镇	mestečko	Podmienky v školách v mestečkách sa zlepšujú
相差	líšiť sa	Teploty na oboch miestach sa líšia o desať stupňov
相等	rovnaký	Oba trojuholníky majú rovnakú plochu
相辅相成	navzájom sa dopĺňať	Teória a prax sa navzájom dopĺňajú
相应	príslušný	Firma prijme príslušné opatrenia
镶嵌	vsadiť	V prsteni je vsadený drahokam
响亮	zvučný	Jeho odpoveď bola zvučná a jasná
响应	reagovať	Mnoho ľudí reagovalo na environmentálnu iniciatívu
想方设法	hľadať všetky možné spôsoby	Hľadali všetky možné spôsoby, ako znížiť náklady
向导	sprievodca	Miestny sprievodca nás vzal do hôr
向来	odjakživa	Odjakživa si vážil dôveryhodnosť
向往	túžiť	Túži po pokojnom živote
巷	ulička	V starej uličke sa otvorilo mnoho malých obchodov
相声	siang-šeng	Dedko rád počúva tradičný siang-šeng
消除	odstrániť	Komunikácia dokáže odstrániť nedorozumenia
消毒	dezinfikovať	Lekár vydezinfikoval ranu
消防	hasičský	Hasiči rýchlo dorazili na miesto udalosti
消耗	spotrebovať	Dlhá cesta spotrebuje veľa fyzickej energie
消灭	vyhubiť	Pracovníci hubia škodcov
潇洒	nenútený	Kráča nenútene a štýlovo
销毁	zničiť	Colníci zničili falšovaný tovar
小心翼翼	veľmi opatrne	Veľmi opatrne otvorila škatuľu
效益	prínos	Nové zariadenie zvýšilo výrobnú efektívnosť
肖像	portrét	Na stene visí jeho portrét
协会	združenie	Toto združenie pomáha mladým podnikateľom
协商	rokovať	Obe strany sú ochotné pokračovať v rokovaniach
协调	koordinovať	Projektový manažér zodpovedá za koordináciu zdrojov
协议	dohoda	Obe strany podpísali dohodu o spolupráci
协助	pomôcť	Dobrovoľníci pomohli starším ľuďom prejsť cez cestu
携带	nosiť	Pasažieri nesmú nosiť nebezpečný tovar
屑	piliny	Na stole je veľa drevených pilín
泄露	prezradiť	Zamestnanci nesmú prezradiť informácie o zákazníkoch
泄气	stratiť odvahu	Po neúspechu nestrácaj odvahu
谢绝	zdvorilo odmietnuť	Hotel zdvorilo odmieta jedlo zvonka
心得	poznatok	Podelila sa o poznatky zo štúdia
心甘情愿	dobrovoľne	Zostal pomáhať úplne dobrovoľne
心灵	duša	Hudba upokojila jej dušu
心态	nastavenie mysle	Je dôležité udržať si pozitívne nastavenie mysle
心疼	byť ustarostený	Matku bolelo srdce pre zranené dieťa
心血	úsilie	Táto kniha obsahuje autorovo veľké úsilie
心眼儿	malichernosť	Je trochu malicherný
新陈代谢	metabolizmus	Cvičenie môže podporiť metabolizmus
新郎	ženích	Ženích vítal hostí pri dverách
新娘	nevesta	Nevesta mala biele svadobné šaty
新颖	novátorský	Tento dizajn je veľmi novátorský
欣慰	pocítiť uspokojenie	Pokrok dieťaťa jej priniesol uspokojenie
欣欣向荣	prosperovať	Cestovný ruch v mestečku prosperuje
薪水	plat	Jeho plat stačí na uživenie rodiny
辛勤	usilovný	Roľníci usilovne pestujú plodiny
信赖	dôverovať	Zákazníci tejto firme veľmi dôverujú
信念	presvedčenie	Pevné presvedčenie ho držalo nad vodou
信仰	viera	Rešpektuje rôzne viery
信誉	povesť	Firma si musí chrániť povesť
兴高采烈	vo výbornej nálade	Deti vbehli do triedy vo výbornej nálade
兴隆	prosperujúci	Tento starý obchod má prosperujúci biznis
兴旺	rozvíjať sa	Trhová ekonomika sa čoraz viac rozvíja
腥	rybací	Táto ryba trochu zapácha rybacinou
刑事	trestný	Polícia vyšetruje trestný prípad
形态	tvar	Tvar rastliny sa mení podľa prostredia
行政	administratívny	Administratívne oddelenie vybavuje žiadosti
兴致勃勃	s veľkým záujmom	Všetci diskutovali o pláne s veľkým záujmom
性感	sexi	Tieto večerné šaty vyzerajú veľmi sexi
性命	život	Lekár mu zachránil život
性能	výkon	Tento počítač má dobrý výkon
凶恶	zúrivý	Ten pes vyzerá veľmi zúrivo
凶手	vrah	Polícia napokon chytila vraha
汹涌	búrlivý	Búrlivé vlny udierali o breh
胸怀	široký rozhľad	Má široký rozhľad
胸膛	hruď	Vojak vypol hruď
雄厚	silný	Firma má silné finančné zdroje
雄伟	majestátny	Tento most je veľmi majestátny
修复	opraviť	Inžinieri opravujú systém
修建	postaviť	Vláda plánuje postaviť nové letisko
修养	kultivovanosť	Dobrá kultivovanosť sa prejavuje v detailoch
羞耻	hanba	Po klamstve cítil hanbu
嗅觉	čuch	Pes má veľmi ostrý čuch
绣	vyšívať	Stará mama vie vyšívať kvety
虚假	falošný	Web zverejnil falošné informácie
虚荣	márnivosť	Márnivosť ho prinútila minúť priveľa peňazí
虚伪	pokrytecký	Nemá rada pokryteckú zdvorilosť
需求	dopyt	Trhový dopyt rastie
须知	pokyny	Najprv si, prosím, prečítajte registračné pokyny
许可	povolenie	Bez povolenia nemôžeš vojsť
序言	predhovor	Autor v predhovore vysvetľuje pozadie
畜牧	chov zvierat	Trávnatá oblasť je vhodná na rozvoj chovu zvierat
酗酒	nadmerné pitie	Dlhodobé nadmerné pitie škodí zdraviu
喧哗	hlučiť	V knižnici je zakázané hlučiť
宣誓	zložiť prísahu	Noví členovia na schôdzi zložili prísahu
宣扬	propagovať	Škola propaguje čestnosť a dôveryhodnosť
悬挂	visieť	Na stene visí obraz
悬念	napätie	Koniec filmu necháva napätie
悬殊	obrovský rozdiel	Rozdiel v sile medzi oboma tímami je obrovský
悬崖峭壁	strmé útesy	Vedľa horskej cesty sú strmé útesy
旋律	melódia	Táto pieseň má krásnu melódiu
旋转	otáčať sa	Veterný mlyn sa otáča vo vetre
选拔	vybrať najlepších	Škola vyberá najlepších športovcov
选举	voľby	Dedina usporiadala voľby
选手	súťažiaci	Tento súťažiaci podal stabilný výkon
炫耀	vystatovať sa	Vždy sa rád vystatuje svojím bohatstvom
削	znížiť	Firma znížila niektoré výdavky
削弱	oslabiť	Únava oslabuje úsudok
学说	teória	Táto teória má veľký vplyv
学位	akademický titul	Získala magisterský titul
雪上加霜	zhoršiť situáciu	Strata práce a potom choroba situáciu ešte zhoršili
血压	krvný tlak	Lekár mu pripomenul, aby si kontroloval krvný tlak
熏陶	formovať	Hudba ju formovala od detstva
寻觅	hľadať	Všade hľadali vhodné bývanie
巡逻	hliadkovať	Polícia v noci hliadkuje v uliciach
循环	obeh	Voda v systéme cirkuluje
循序渐进	postupne	Učenie jazyka má postupovať postupne
压迫	utláčať	Starý systém utláčal obyčajných ľudí
压岁钱	novoročné peniaze	Dieťa dostalo novoročné peniaze
压缩	komprimovať	Softvér dokáže komprimovať veľkosť obrázka
压抑	potláčať	Usiloval sa potláčať vnútorný hnev
压榨	lisovať	Stroj lisuje šťavu z cukrovej trstiny
压制	tlmiť	Liek dokáže tlmiť bolesť
鸦雀无声	ticho ako po vymretí	Keď vošiel učiteľ, v triede bolo ticho ako po vymretí
亚军	druhé miesto	V súťaži získala druhé miesto
淹没	zaplaviť	Povodeň zaplavila nízko položenú dedinu
烟花爆竹	ohňostroje a petardy	Počas sviatku sú ohňostroje a petardy zakázané
严峻	vážny	Situácia v zamestnanosti zostáva vážna
严寒	tuhý mráz	Tuhý mráz ovplyvňuje dopravu
严禁	prísne zakázať	Fajčenie je tu prísne zakázané
严厉	prísny	Učiteľ ho prísne skritizoval
严密	prísny	Sklad má prísne sledovanie
岩石	skala	Skaly pri mori sú veľmi tvrdé
延期	odložiť	Stretnutie odložili na budúci týždeň
延伸	tiahnuť sa	Cesta sa tiahne na sever
延续	pokračovať	Táto tradícia pokračuje už sto rokov
沿海	pobrežný	Pobrežné mestá rozvinuli obchod
炎热	horúci	Horúce počasie ľudí unavuje
言论	vyjadrenie	Verejnosť venuje pozornosť jeho vyjadreniam
掩盖	zakryť	Pokúsil sa zakryť chybu
掩护	kryť	Spoluhráči mali na starosti kryť ústup
掩饰	zamaskovať	Usilovne sa snažila zamaskovať svoju nervozitu
演变	vyvíjať sa	Usporiadanie mesta sa neustále vyvíja
演习	cvičenie	Škola usporiadala požiarne cvičenie
演绎	odvodiť	Učiteľ odvodil túto vetu
演奏	hrať hudbu	Kapela hrá klasickú hudbu
眼光	vízia	Má dobrú investičnú víziu
眼色	pohľad	Naznačila kolegovi pohľadom
眼神	výraz očí	Výraz jeho očí bol veľmi rozhodný
厌恶	nenávidieť	Nenávidí podvodné správanie
验收	prebierka	Po dokončení projekt potrebuje preberaciu kontrolu
验证	overiť	Experiment overil hypotézu
氧气	kyslík	Pacient potrebuje dýchať kyslík
样品	vzorka	Klient dostal vzorky výrobku
摇摆	kolísať	Malý čln sa kolísal vo vetre a vlnách
摇滚	rock	Mladí ľudia majú radi rockovú hudbu
谣言	fáma	Nešír neoverené fámy
遥控	diaľkové ovládanie	Telefónom diaľkovo ovládal klimatizáciu
遥远	vzdialený	Tá dedina je ďaleko od mesta
耀眼	oslnivý	Slnko bolo oslnivé
要点	hlavný bod	Prosím, zaznamenajte hlavné body schôdze
要命	strašne	Táto horská cesta je strašne nebezpečná
要素	prvok	Dôvera je dôležitý prvok spolupráce
野蛮	brutálny	Je proti brutálnemu presadzovaniu práva
野心	ambícia	Jeho politická ambícia je zrejmá
液体	kvapalina	Táto kvapalina je bezfarebná
一流	prvotriedny	Táto nemocnica má prvotriedne vybavenie
一如既往	ako vždy	Podporuje nás ako vždy
依旧	stále	Dážď prestal, ale ulica bola stále mokrá
依据	základ	Rozsudok musí mať základ v zákone
依靠	spoliehať sa	Živia sa tým, že sa spoliehajú na poľnohospodárstvo
依赖	závisieť	Deti by nemali príliš závisieť od rodičov
依托	opierať sa	Projekt sa rozvíja opierajúc sa o miestne zdroje
衣裳	oblečenie	Prezlieka sa do čistého oblečenia
一度	kedysi	Firma kedysi čelila bankrotu
一贯	dôsledný	Vždy dôsledne odmietal plytvanie
一目了然	jasný na prvý pohľad	Obsah tabuľky je jasný na prvý pohľad
一向	vždy	Vždy chodila načas
仪器	prístroj	Laboratórium kúpilo nové prístroje
仪式	ceremónia	Promočná ceremónia sa bude konať zajtra
疑惑	pochybnosť	Študent mal pochybnosti o odpovedi
遗产	dedičstvo	Toto starobylé mesto je kultúrne dedičstvo
遗传	dedičný	Táto choroba môže byť dedičná
遗留	zanechaný	Problémy zanechané históriou treba vyriešiť
遗失	stratiť	Cestujúci stratil pas
以便	aby	Prosím, nechajte telefónne číslo, aby sme vás mohli kontaktovať
以免	aby sa predišlo	Odíď skôr, aby sa predišlo meškaniu
以往	minulý	Minulé skúsenosti stoja za konzultáciu
以至	až po	Rozsah sa rozšíril až po komunitu a celé mesto
以致	v dôsledku čoho	Silný dážď pokračoval, v dôsledku čoho boli cesty prerušené
一帆风顺	hladký priebeh	Podnikanie nemôže mať vždy hladký priebeh
一举两得	dve muchy jednou ranou	Jazda bicyklom do práce zabije dve muchy jednou ranou
一丝不苟	dôsledný	Inžinier dôsledne skontroloval kabeláž
亦	tiež	Tiež súhlasil s týmto plánom
异常	abnormálny	V systéme nastala abnormálna situácia
意料	očakávať	Výsledok bol úplne neočakávaný
意识	uvedomiť si	Postupne si uvedomil, že problém je vážny
意图	zámer	Polícia prekukla jeho zámer
意味着	znamená	Mlčanie neznamená súhlas
意向	zámer	Obe strany vyjadrili zámer spolupracovať
意志	vôľa	Ťažkosti skúšajú vôľu človeka
毅力	vytrvalosť	Úspech si vyžaduje dlhodobú vytrvalosť
毅然	rozhodne	Rozhodne odišla z firmy
翼	krídlo	Skontrolovali krídlo lietadla
阴谋	sprisahanie	Odhalili sprisahanie
音响	ozvučenie	Obývačka má dobré ozvučenie
引导	viesť	Učiteľ viedol študentov k premýšľaniu
引擎	motor	Motor auta zrazu zhasol
引用	citovať	Článok citoval veľké množstvo materiálov
隐蔽	skryť	Vojaci sa skryli v lese
隐患	skryté riziko	Stará elektroinštalácia má skryté bezpečnostné riziká
隐瞒	zatajiť	Nezatajil pravdu
隐私	súkromie	Firma musí chrániť súkromie používateľov
隐约	nezreteľný	V diaľke bolo nezreteľne počuť spev
饮食	strava	Zdravá strava pomáha zotaveniu
婴儿	dojča	Dojča pokojne spí
英明	múdry	Vedúci prijal múdre rozhodnutie
英勇	hrdinský	Hasič hrdinsky zachránil dieťa
盈利	zisk	Firma začala tento rok dosahovať zisk
迎面	oproti	Do tváre nám fúkal studený vietor
应酬	spoločenské povinnosti	Dnes večer má veľa spoločenských povinností
应邀	na pozvanie	Odborník sa zúčastnil fóra na pozvanie
庸俗	vulgárny	Obsah tejto reklamy je vulgárny
拥护	podporovať	Všetci podporujú novú politiku
拥有	mať	Má bohaté skúsenosti
勇于	odvážiť sa	Mladí ľudia by sa mali odvážiť skúšať
永恒	večný	Láska nie je večne nemenná
涌现	objavovať sa	Všade sa objavujú vynikajúci učitelia
踊跃	nadšene	Obyvatelia sa nadšene prihlasovali na aktivitu
用户	používateľ	Používatelia si môžu zmeniť heslo
优胜劣汰	prežitie najschopnejších	Trhová súťaž odráža prežitie najschopnejších
优先	prednosť	Starší ľudia môžu byť obslúžení prednostne
优异	vynikajúci	Dosiahla vynikajúce výsledky
优越	výhodný	Toto miesto má výhodnú polohu
忧郁	melancholický	Jeho výraz pôsobil melancholicky
油腻	mastný	Toto jedlo je príliš mastné
油漆	farba	Pracovníci natierajú dvere farbou
犹如	ako	Hladina jazera je ako zrkadlo
有条不紊	usporiadane	Schôdza prebiehala usporiadane
幼稚	naivný	Táto myšlienka je trochu naivná
诱惑	pokušenie	Reklama je plná spotrebiteľských pokušení
愚蠢	hlúpy	Toto rozhodnutie je mimoriadne hlúpe
愚昧	nevedomý	Nevedomé predstavy bránia pokroku
渔民	rybár	Rybári vyrážajú na more za úsvitu
舆论	verejná mienka	Verejná mienka má na prípad veľký vplyv
与日俱增	deň čo deň rásť	Počet turistov deň čo deň rastie
宇宙	vesmír	Ľudstvo neustále skúma vesmír
羽绒服	páperová bunda	V zime si treba obliecť páperovú bundu
寓言	bájka	Táto bájka je veľmi poučná
愈	čoraz viac	Stav sa čoraz viac zlepšuje
欲望	túžba	Ovládol svoju túžbu nakupovať
熨	žehliť	Vyžehlila košeľu dohladka
玉	jadeit	Tento kus jadeitu má teplú farbu
预料	očakávanie	Vývoj udalostí prekročil očakávania
预期	očakávanie	Predaj bol pod očakávaniami
预算	rozpočet	Rozpočet projektu treba upraviť
预先	vopred	Prosím, pripravte si materiály vopred
预言	predpoveď	Jeho predpoveď sa nenaplnila
预兆	varovný príznak	Bolesť môže byť varovným príznakom choroby
冤枉	krivdiť	Nekrivdi nevinnému človeku
元首	hlava štátu	Hlavy štátov oboch krajín rokovali
元素	prvok	Kyslík je chemický prvok
元宵节	Sviatok lampiónov	Počas Sviatku lampiónov ľudia obdivujú lampióny
原告	žalobca	Žalobca predložil nové dôkazy
原理	princíp	Učiteľ vysvetlil princíp stroja
原始	pôvodný	Zachovali pôvodné záznamy
原先	pôvodný	Pôvodný plán sa už zmenil
园林	záhrada	Sučouské záhrady sú veľmi známe
圆满	úspešný	Schôdza sa skončila úplným úspechom
源泉	zdroj	Prax je zdrojom poznania
缘故	dôvod	Odstúpil zo zdravotných dôvodov
约束	obmedzovať	Systém obmedzuje správanie zamestnancov
乐谱	noty	Pozorne čítala noty
岳母	svokra	Cez víkend išiel navštíviť svokru
孕育	živiť	Pôda živí nový život
蕴藏	ukrývať	Horská oblasť ukrýva bohaté nerastné zdroje
运算	výpočet	Študenti precvičujú matematické výpočty
运行	fungovať	Systém funguje stabilne
酝酿	zvažovať	Obe strany zvažujú nový plán
杂技	akrobacia	Deti rady pozerajú akrobaciu
杂交	hybridný	Vedci skúmajú hybridnú ryžu
砸	rozbiť	Pohár spadol na zem a rozbil sa
咋	ako to	Ako to, že si sa ešte nevrátil
栽培	pestovať	Záhradník vypestoval mnoho kvetov
灾难	katastrofa	Mesto po katastrofe začalo obnovu
宰	zabiť dobytok	Dedinčania počas sviatku zabíjajú ovce
再接再厉	pokračovať v úsilí	Po získaní ceny tím pokračoval v úsilí
在意	záležať	Veľmi jej záleží na názoroch iných
攒	šetriť	Šetrí peniaze na kúpu počítača
暂且	zatiaľ	Túto otázku zatiaľ odložme
赞叹	obdivovať	Publikum obdivovalo hercov výkon
赞助	sponzorovať	Firma sponzorovala túto súťaž
糟蹋	mrhať	Nemrhaj týmto čerstvým jedlom
遭受	utrpieť	Poľnohospodárska pôda utrpela vážne sucho
遭殃	doplatiť na to	Keď sa most zrútil, doplatili na to okolití obyvatelia
遭遇	naraziť na	Cestou narazili na snehovú búrku
噪音	hluk	Stavebný hluk ovplyvňuje oddych
造型	tvar	Tento model auta má veľmi osobitý tvar
责怪	obviňovať	Prosím, neobviňuj dieťa naslepo
贼	zlodej	Polícia chytila toho zlodeja
增添	pridať	Čerstvé kvety pridali izbe farbu
赠送	darovať	Obchod daruje malé darčeky
扎	pichnúť	Zdravotná sestra mu pichla injekciu
扎实	pevný	Jeho gramatický základ je pevný
渣	usadenina	Na dne šálky zostala kávová usadenina
眨	žmurknúť	Žmurkla očami
诈骗	podvod	Polícia rozbila prípad telefonického podvodu
摘要	abstrakt	Abstrakt článku je napísaný jasne
债券	dlhopis	Investori kupujú štátne dlhopisy
沾光	mať prospech	Tiež som mal prospech vďaka svojmu priateľovi
瞻仰	vzdať úctu	Turisti vzdávajú úctu pri pamätníku hrdinov
展示	ukázať	Firma ukázala svoj najnovší výrobok
展望	výhľad	Správa načrtáva výhľad budúcich trendov
展现	ukázať	Dielo ukazuje vidiecky život
崭新	úplne nový	Kúpil si úplne nový bicykel
斩钉截铁	rozhodne	Rozhodne odmietla
占据	zaberať	Reklama zabrala celú stranu
占领	obsadiť	Armáda obsadila horský priesmyk
战斗	bitka	Bitka trvala tri hodiny
战略	stratégia	Firma upravila svoju rozvojovú stratégiu
战术	taktika	Tréner zmenil zápasovú taktiku
战役	vojenská kampaň	Táto vojenská kampaň zmenila situáciu
章程	stanovy	Združenie prijalo nové stanovy
帐篷	stan	Postavili stany pri jazere
障碍	prekážka	Jazykové prekážky ovplyvňujú komunikáciu
招标	vyhlásiť tender	Inžiniersky projekt vyhlásil verejný tender
招收	prijímať	Škola tento rok prijíma nových študentov
朝气蓬勃	plný energie	Mladý tím je plný energie
着迷	byť fascinovaný	Dieťa je fascinované astronómiou
沼泽	močiar	Expedícia prešla cez močiar
照样	ako zvyčajne	Pršalo, ale tréning pokračoval ako zvyčajne
照耀	osvetľovať	Slnko osvetľuje námestie
折腾	otravovať	Prestaň sa trápiť s týmto starým počítačom
遮挡	zakrývať	Konáre zakrývali okno
折	zložiť	Zložil papier do lietadielka
折磨	trápiť	Dlhodobá nespavosť ju trápi
侦探	detektív	Detektív našiel kľúčovú stopu
斟酌	zvážiť	Prosím, starostlivo zvážte formuláciu
珍贵	vzácny	Tieto fotografie sú veľmi vzácne
珍稀	vzácny	Chráňme vzácne divoké zvieratá
珍珠	perla	Má na sebe perlové náušnice
真理	pravda	Prax preveruje pravdu
真相	skutočnosť	Reportér sa usiloval zistiť skutočnosť
真挚	úprimný	Vyjadrila úprimnú vďaku
枕头	vankúš	Tento vankúš je príliš vysoký
振奋	povzbudiť	Dobrá správa všetkých povzbudila
振兴	oživiť	Vláda podporuje oživenie vidieka
镇定	pokojný	V núdzovej situácii zostal pokojný
镇静	pokojný	Zdravotná sestra povedala pacientovi, aby zostal pokojný
阵地	pozícia	Vojaci udržali pozíciu
阵容	zostava	Tím oznámil základnú zostavu
震撼	ohromujúci	Tento film je mimoriadne ohromujúci
震惊	šokovať	Správa šokovala celú krajinu
争端	spor	Obe strany sa snažili vyriešiť hraničný spor
争夺	súperiť	Obe firmy súperia o trhový podiel
争气	robiť česť	Usilovne študuje, aby robil česť rodine
争先恐后	predbiehať sa	Turisti sa predháňali, kto skôr nastúpi do autobusu
争议	kontroverzia	Toto rozhodnutie vyvolalo kontroverziu
征服	zdolať	Horolezec zdolal vrchol
征收	vyberať	Vláda vyberá dane podľa zákona
挣扎	zápasiť	Vták zápasil v sieti
正月	prvý lunárny mesiac	Počas prvého lunárneho mesiaca sa príbuzní navštevujú
蒸发	vypariť sa	Vlhkosť sa rýchlo vyparila
整顿	reorganizovať	Firma začala reorganizovať riadenie
政策	politika	Nová politika podporuje malé podniky
政权	režim	Vojna zmenila miestny režim
正当	oprávnený	Podal oprávnenú žiadosť
正负	kladný a záporný	Prístroj ukazuje kladnú a zápornú chybu
正规	riadny	Dieťa nastúpilo do riadnej školy
正经	vážne	Napokon začal hovoriť vážne
正气	spravodlivosť	Spoločnosť potrebuje podporovať spravodlivosť
正义	spravodlivosť	Advokát bránil spravodlivosť
正宗	autentický	Táto reštaurácia predáva autentické sečuánske jedlo
症状	príznak	Horúčka je bežný príznak
证实	potvrdiť	Vyšetrovanie potvrdilo jeho výpoveď
证书	certifikát	Získala odborný certifikát
郑重	vážny	Slávnostne sľúbil, že prevezme zodpovednosť
之际	v čase	V čase blížiaceho sa Jarného sviatku sú všetci zaneprázdnení
支撑	podopierať	Stĺpy podopierajú strechu
支出	výdavok	Výdavky domácnosti výrazne vzrástli
支流	prítok	Táto rieka je prítokom Jang-c'-ťiangu
支配	ovládať	Emócie by nemali ovládať úsudok
支援	podpora	Lekári z mnohých miest prišli poskytnúť podporu
支柱	pilier	Výroba je pilierom miestnej ekonomiky
枝	konár	Odlomila konár kvetov
知觉	vedomie	Zranený postupne nadobudol vedomie
知足常乐	spokojnosť prináša radosť	Starý muž často hovorí, že spokojnosť prináša radosť
脂肪	tuk	Orechy obsahujú zdravé tuky
侄子	synovec	Môj synovec tento rok nastúpil do základnej školy
值班	mať službu	Zdravotná sestra má dnes večer službu
执行	vykonať	Súd vykonal rozsudok
执着	vytrvalý	Je veľmi vytrvalý vo svojich ideáloch
殖民地	kolónia	Tento ostrov bol kedysi kolóniou
直播	priamy prenos	Zápas sa dnes večer bude vysielať online v priamom prenose
直径	priemer	Priemer tohto kruhu je desať centimetrov
职能	funkcia	Funkcie oddelenia treba prerozdeliť
职位	pracovná pozícia	Uchádzala sa o manažérsku pozíciu
职务	funkcia	Jeho funkcia je projektový dozor
指标	ukazovateľ	Predajný ukazovateľ už bol splnený
指定	určiť	Učiteľ ho určil, aby odpovedal na otázku
指甲	necht	Ostrihala si nechty nakrátko
指令	príkaz	Počítač prijal nový príkaz
指南针	kompas	Horolezec si priniesol kompas
指示	pokyn	Manažér dal jasné pokyny
指望	spoliehať sa	Nespoliehaj sa na iných, že to dokončia za teba
指责	kritizovať	Verejnosť kritizovala firmu za znečisťovanie prostredia
制裁	sankcie	Medzinárodné spoločenstvo uvalilo ekonomické sankcie
制服	uniforma	Strážnik mal tmavomodrú uniformu
制约	obmedzovať	Nedostatok financií obmedzuje rozvoj
制止	zastaviť	Polícia včas zastavila konflikt
志气	ambícia	Mladí ľudia by mali mať ambíciu
智力	inteligencia	Hry môžu trénovať inteligenciu
智能	inteligentný	Inteligentné zariadenia sú čoraz bežnejšie
智商	IQ	IQ nemôže rozhodovať o všetkom
治安	verejná bezpečnosť	Verejná bezpečnosť v komunite sa zjavne zlepšila
治理	správa	Vláda posilnila správu riek
滞留	uviaznuť	Pasažieri uviazli na letisku pre silné sneženie
致辞	predniesť prejav	Riaditeľ predniesol prejav na ceremónii
致力	venovať sa	Tím sa venuje technologickým inováciám
致使	spôsobiť	Chyby v riadení spôsobili meškanie projektu
中断	prerušiť	Silný dážď spôsobil prerušenie komunikácie
中立	neutrálny	Tá krajina si udržiava neutrálny postoj
中央	stred	Fontána je v strede námestia
忠诚	lojálny	Zamestnanci sú lojálni firme
忠实	verný	Je verným čitateľom týchto novín
终点	cieľ	Cieľová čiara je hneď vpredu
终究	napokon	Problém sa napokon vyrieši
终身	celoživotný	Rozhodol sa celoživotne pracovať v školstve
终止	ukončiť	Zmluva sa končí na konci budúceho mesiaca
衷心	úprimne	Úprimne vám ďakujem za pomoc
种子	semeno	Roľníci zasiali nové semená
种族	rasa	Zákon zakazuje rasovú diskrimináciu
肿瘤	nádor	Lekár našiel nezhubný nádor
众所周知	ako každý vie	Ako každý vie, voda je dôležitá
种植	pestovať	Toto miesto je vhodné na pestovanie hrozna
重心	ťažisko	Ťažisko práce sa presunulo k službám
周边	okolie	Doprava v okolí školy je preťažená
周密	dôkladný	Vytvorili dôkladný plán
