simplified	LO	example_LO
柴油	ນ້ຳມັນດີເຊວ	ລົດບັນທຸກຄັນນີ້ໃຊ້ນ້ຳມັນດີເຊວ.
搀	ພະຍຸງ	ພະຍາບານພະຍຸງຜູ້ເຖົ້າເຂົ້າຫ້ອງຄົນເຈັບ.
缠绕	ພັນຮອບ	ເຄືອໄມ້ພັນຮອບກິ່ງໄມ້.
馋	ຢາກກິນ	ເຫັນເຄັກແລ້ວ ເດັກນ້ອຍຢາກກິນໜ້ອຍໜຶ່ງ.
产业	ອຸດສາຫະກຳ	ການທ່ອງທ່ຽວເປັນອຸດສາຫະກຳສຳຄັນຂອງທີ່ນີ້.
阐述	ອະທິບາຍລະອຽດ	ອາຈານອະທິບາຍທັດສະນະຂອງຕົນຢ່າງລະອຽດ.
颤抖	ສັ່ນ	ນາງໜາວຈົນທັງຕົວສັ່ນ.
昌盛	ຈະເລີນຮຸ່ງເຮືອງ	ພວກເຮົາຫວັງໃຫ້ປະເທດຈະເລີນຮຸ່ງເຮືອງ.
偿还	ຊຳລະຄືນ	ລາວຊຳລະເງິນກູ້ຄືນຕາມເວລາ.
尝试	ລອງ	ພວກເຮົາສາມາດລອງວິທີໃໝ່.
场合	ໂອກາດສະຖານະການ	ໂອກາດສະຖານະການແບບນີ້ບໍ່ເໝາະກັບການລໍ້ຫຼິ້ນ.
场面	ບັນຍາກາດເຫດການ	ບັນຍາກາດເຫດການແຕ່ງງານຄຶກຄື້ນຫຼາຍ.
场所	ສະຖານທີ່	ທີ່ນີ້ເປັນສະຖານທີ່ສາທາລະນະ ກະລຸນາຢ່າສູບຢາ.
敞开	ເປີດກວ້າງ	ກະລຸນາເປີດປ່ອງຢ້ຽມກວ້າງໄວ້ສັກຄູ່.
倡导	ສົ່ງເສີມ	ໂຮງຮຽນສົ່ງເສີມວິຖີຊີວິດສຸຂະພາບ.
倡议	ຂໍ້ລິເລີ່ມ	ຂໍ້ລິເລີ່ມດ້ານສິ່ງແວດລ້ອມນີ້ໄດ້ຮັບການສະໜັບສະໜູນ.
畅通	ໂລ່ງສະດວກ	ຫຼັງຝົນຢຸດ ຖະໜົນກັບມາໂລ່ງສະດວກ.
畅销	ຂາຍດີ	ນິຍາຍເຫຼັ້ມນີ້ຂາຍດີຫຼາຍ.
超越	ກ້າວຂ້າມ	ສຸດທ້າຍລາວກ້າວຂ້າມສະຖິຕິຂອງຕົນເອງ.
钞票	ທະນະບັດ	ໃນກະເປົາເງິນເຫຼືອທະນະບັດພຽງບໍ່ກີ່ໃບ.
嘲笑	ເຍາະເຍີ້ຍ	ຢ່າເຍາະເຍີ້ຍຂໍ້ບົກພ່ອງຂອງຄົນອື່ນ.
巢穴	ຮັງສັດ	ນາຍພານພົບຮັງສັດ.
朝代	ລາຊະວົງ	ລາຊະວົງຖັງເປັນລາຊະວົງໜຶ່ງໃນປະຫວັດສາດຈີນ.
潮流	ກະແສນິຍົມ	ຄົນໜຸ່ມສາວສົນໃຈກະແສນິຍົມແຟຊັນຫຼາຍ.
撤退	ຖອຍທັບ	ກອງທັບຖອຍທັບຫຼັງໄດ້ຮັບຄຳສັ່ງ.
撤销	ຍົກເລີກ	ສານໄດ້ຍົກເລີກຄຳຕັດສິນເດີມ.
沉淀	ຕົກຕະກອນ	ດິນຊາຍຈະຄ່ອຍໆຕົກຕະກອນລົງ.
沉闷	ອຶດອັດ	ອາກາດມື້ນີ້ທັງຮ້ອນແລະອຶດອັດ.
沉思	ຄິດເລິກ	ລາວນັ່ງຢູ່ຂ້າງປ່ອງຢ້ຽມແລ້ວຄິດເລິກ.
沉重	ໜັກໜ່ວງ	ຂ່າວນີ້ເຮັດໃຫ້ທຸກຄົນຮູ້ສຶກໜັກໜ່ວງ.
沉着	ສະຫງົບມັ່ນຄົງ	ເມື່ອພົບອັນຕະລາຍຕ້ອງຮັກສາຄວາມສະຫງົບມັ່ນຄົງ.
陈旧	ເກົ່າລ້າ	ເຄື່ອງຈັກນີ້ເກົ່າລ້າຫຼາຍແລ້ວ.
陈列	ຈັດສະແດງ	ໃນຫ້ອງສະແດງມີວັດຖຸໂບຮານຫຼາຍຢ່າງຈັດສະແດງຢູ່.
陈述	ກ່າວລາຍງານ	ກະລຸນາກ່າວລາຍງານຂໍ້ເທັດຈິງໃຫ້ຊັດເຈນ.
称心如意	ຖືກໃຈພໍໃຈ	ວຽກນີ້ເຮັດໃຫ້ລາວຖືກໃຈພໍໃຈຫຼາຍ.
衬托	ຂັບໃຫ້ເດັ່ນ	ຝາສີຂາວຂັບສີຂອງດອກໄມ້ໃຫ້ເດັ່ນ.
称号	ສະໝຍານາມ	ລາວໄດ້ຮັບສະໝຍານາມຄູດີເດັ່ນ.
乘	ຂຶ້ນໂດຍສານ	ຂ້ອຍຂຶ້ນໂດຍສານລົດໄຟໃຕ້ດິນໄປເຮັດວຽກທຸກມື້.
呈现	ປາກົດເປັນ	ທ້ອງຟ້າປາກົດເປັນສີແດງຈາງໆ.
城堡	ປາສາດ	ເທິງຍອດພູມີປາສາດເກົ່າຫຼັງໜຶ່ງ.
惩罚	ລົງໂທດ	ໂຮງຮຽນຈະລົງໂທດນັກຮຽນທີ່ທຸຈະລິດ.
成本	ຕົ້ນທຶນ	ລາຄາວັດຖຸດິບເພີ່ມຂຶ້ນເຮັດໃຫ້ຕົ້ນທຶນສູງຂຶ້ນ.
成交	ຕົກລົງຊື້ຂາຍສຳເລັດ	ທຸລະກິດນີ້ຕົກລົງຊື້ຂາຍສຳເລັດໃນທີ່ສຸດ.
成天	ທັງມື້	ລາວນັ່ງຢູ່ໜ້າຄອມພິວເຕີທັງມື້.
成效	ຜົນສຳເລັດ	ວິທີການຈັດການໃໝ່ເຫັນຜົນສຳເລັດໄວ.
成心	ໂດຍເຈດຕະນາ	ລາວບໍ່ໄດ້ເຮັດໃຫ້ເຈົ້າອາຍໂດຍເຈດຕະນາ.
成员	ສະມາຊິກ	ສະມາຊິກທຸກຄົນຕ້ອງເຂົ້າປະຊຸມ.
承办	ຮັບຈັດການ	ບໍລິສັດນີ້ຮັບຈັດການງານວາງສະແດງ.
承包	ຮັບເໝົາ	ພວກເຂົາຮັບເໝົາໂຄງການນີ້.
承诺	ສັນຍາຮັບປາກ	ລາວສັນຍາຮັບປາກວ່າຈະເຮັດວຽກໃຫ້ສຳເລັດຕາມເວລາ.
橙	ໝາກກ້ຽງ	ຂ້ອຍຊື້ໝາກກ້ຽງສົດມາຫຼາຍໜ່ວຍ.
澄清	ຊີ້ແຈງ	ຜູ້ຈັດການອອກມາຊີ້ແຈງຄວາມເຂົ້າໃຈຜິດ.
盛	ຕັກໃສ່	ນາງຕັກແກງໃສ່ຖ້ວຍໃຫ້ແຂກ.
诚挚	ຈິງໃຈ	ກະລຸນາຮັບຄຳຂອບໃຈຈິງໃຈຂອງຂ້ອຍ.
秤	ຕາຊັ່ງ	ຕາຊັ່ງນີ້ບໍ່ຄ່ອຍແມ່ນ.
吃苦	ທົນລຳບາກ	ຄົນໜຸ່ມຄວນຮຽນຮູ້ການທົນລຳບາກ.
吃力	ໃຊ້ແຮງຫຼາຍ	ຍ້າຍກ່ອງນີ້ໃຊ້ແຮງຫຼາຍ.
持久	ຍືນຍາວ	ຄວາມສຳເລັດຕ້ອງການຄວາມພະຍາຍາມຍືນຍາວ.
迟钝	ຊ້າຊາ	ຊ່ວງນີ້ປະຕິກິລິຍາຂອງລາວຊ້າຊາໜ້ອຍໜຶ່ງ.
迟缓	ຊັກຊ້າ	ຫຼັງຝົນຕົກ ການຈະລາຈອນກາຍເປັນຊັກຊ້າ.
迟疑	ລັງເລ	ນາງລັງເລຄູ່ໜຶ່ງແລ້ວຈຶ່ງຕອບ.
赤道	ເສັ້ນສູນສູດ	ໃກ້ເສັ້ນສູນສູດຮ້ອນຕະຫຼອດປີ.
赤字	ຂາດດຸນ	ບໍລິສັດມີການຂາດດຸນໃນປີນີ້.
充当	ຮັບບົດເປັນ	ລາວຮັບບົດເປັນຜູ້ປະສານງານໃນໂຄງການ.
充沛	ເຕັມໄປດ້ວຍພະລັງ	ເດັກນ້ອຍເຕັມໄປດ້ວຍພະລັງຫຼາຍ.
充实	ເຕັມຄຸນຄ່າ	ປະສົບການຊ່ວງນີ້ເຮັດໃຫ້ຊີວິດຂ້ອຍເຕັມຄຸນຄ່າຂຶ້ນ.
充足	ພຽງພໍ	ກ່ອນເດີນທາງຕ້ອງກຽມນ້ຳໃຫ້ພຽງພໍ.
冲动	ອາລົມຊົ່ວວູບ	ຢ່າຕັດສິນໃຈເພາະອາລົມຊົ່ວວູບ.
冲击	ກະທົບແຮງ	ເຕັກໂນໂລຊີໃໝ່ກະທົບແຮງຕໍ່ອຸດສາຫະກຳເກົ່າ.
冲突	ຂັດແຍ້ງ	ທັງສອງຝ່າຍພະຍາຍາມຫຼີກລ້ຽງຄວາມຂັດແຍ້ງ.
崇拜	ນັບຖືຊື່ນຊົມ	ຄົນໜຸ່ມຫຼາຍຄົນນັບຖືຊື່ນຊົມນັກວິທະຍາສາດຄົນນີ້.
崇高	ສູງສົ່ງ	ໜ້າທີ່ຂອງແພດສູງສົ່ງ.
崇敬	ເຄົາລົບຍົກຍ້ອງ	ນັກຮຽນທຸກຄົນເຄົາລົບຍົກຍ້ອງຄູຄົນນີ້ຫຼາຍ.
重叠	ຊ້ອນກັນ	ວຽກສອງຢ່າງນີ້ມີບາງສ່ວນຊ້ອນກັນ.
稠密	ໜາແໜ້ນ	ປະຊາກອນຢູ່ນີ້ໜາແໜ້ນຫຼາຍ.
筹备	ກຽມການ	ພວກເຂົາກຳລັງກຽມການງານແຕ່ງງານ.
丑恶	ຊົ່ວຮ້າຍນ່າກຽດ	ລາວເປີດເຜີຍຄວາມຈິງຊົ່ວຮ້າຍນ່າກຽດທີ່ຢູ່ຫຼັງເຫດການ.
出路	ທາງອອກ	ການຮຽນສາມາດໃຫ້ທາງອອກແກ່ຄົນໜຸ່ມຫຼາຍຂຶ້ນ.
出卖	ຫັກຫຼັງຂາຍ	ລາວຈະບໍ່ຫັກຫຼັງຂາຍໝູ່.
出身	ພື້ນຖານຄອບຄົວ	ລາວມີພື້ນຖານຄອບຄົວທຳມະດາ.
出神	ເພີດເພີນຈົນເຫມ່ອ	ນາງຟັງເພງຈົນເພີດເພີນເຫມ່ອ.
出息	ອະນາຄົດດີ	ເດັກຄົນນີ້ອະນາຄົດຈະດີ.
初步	ເບື້ອງຕົ້ນ	ພວກເຮົາໄດ້ບັນລຸຂໍ້ຕົກລົງເບື້ອງຕົ້ນແລ້ວ.
除	ນອກຈາກ	ນອກຈາກລາວແລ້ວ ທຸກຄົນມາຮອດແລ້ວ.
储备	ສຳຮອງ	ບໍລິສັດຕ້ອງສຳຮອງເງິນທຶນໃຫ້ຫຼາຍຂຶ້ນ.
储存	ເກັບຮັກສາ	ຂໍ້ມູນເຫຼົ່ານີ້ຈະຖືກເກັບຮັກສາໂດຍອັດຕະໂນມັດ.
储蓄	ອອມເງິນ	ລາວອອມເງິນສ່ວນໜຶ່ງຂອງເງິນເດືອນທຸກເດືອນ.
处分	ລົງໂທດທາງວິໄນ	ໂຮງຮຽນໃຫ້ລາວຖືກລົງໂທດທາງວິໄນຢ່າງຮ້າຍແຮງ.
处境	ສະພາບການ	ສະພາບການຂອງພວກເຂົາຕອນນີ້ຍາກລຳບາກຫຼາຍ.
处置	ຈັດການ	ອຸປະກອນເກົ່າເຫຼົ່ານີ້ຕ້ອງຖືກຈັດການຢ່າງເໝາະສົມ.
触犯	ລະເມີດ	ເຮັດແບບນີ້ຈະລະເມີດກົດໝາຍ.
川流不息	ໄຫຼບໍ່ຂາດສາຍ	ລົດຢູ່ຕາມຖະໜົນໄຫຼບໍ່ຂາດສາຍ.
穿越	ຜ່ານຂ້າມ	ລົດໄຟຜ່ານຂ້າມອຸໂມງຍາວ.
传达	ຖ່າຍທອດ	ກະລຸນາຖ່າຍທອດຂ່າວນີ້ໃຫ້ທຸກຄົນ.
传单	ໃບປິວ	ອາສາສະໝັກແຈກໃບປິວຢູ່ຕາມຖະໜົນ.
传授	ຖ່າຍທອດສອນ	ຄູຖ່າຍທອດປະສົບການໃຫ້ນັກຮຽນ.
船舶	ເຮືອ	ໃນທ່າເຮືອມີເຮືອຈອດຢູ່ຫຼາຍລຳ.
喘气	ຫອບຫາຍໃຈ	ຫຼັງແລ່ນເສັດ ລາວຫອບຫາຍໃຈບໍ່ຢຸດ.
串	ຮ້ອຍເປັນສາຍ	ນາງຮ້ອຍລູກປັດເປັນສາຍຄໍ.
床单	ຜ້າປູບ່ອນນອນ	ກະລຸນາປ່ຽນຜ້າປູບ່ອນນອນໃຫ້ໜ້ອຍ.
创立	ກໍ່ຕັ້ງ	ພວກເຂົາຮ່ວມກັນກໍ່ຕັ້ງບໍລິສັດນີ້.
创新	ນະວັດຕະກຳ	ການພັດທະນາທຸລະກິດຕ້ອງການນະວັດຕະກຳຢ່າງຕໍ່ເນື່ອງ.
创业	ເລີ່ມທຸລະກິດ	ຄົນໜຸ່ມຫຼາຍຄົນເລືອກເລີ່ມທຸລະກິດ.
创作	ສ້າງສັນຜົນງານ	ນັກຂຽນກຳລັງສ້າງສັນນິຍາຍຍາວເລື່ອງໜຶ່ງ.
吹牛	ໂອ້ອວດ	ຢ່າໂອ້ອວດ ເອົາຫຼັກຖານອອກມາ.
吹捧	ຍົກຍໍເກີນໄປ	ສື່ມວນຊົນຍົກຍໍຜະລິດຕະພັນນີ້ເກີນໄປ.
炊烟	ຄວັນຄົວ	ຕອນແລງ ຄວັນຄົວລອຍຂຶ້ນໃນບ້ານ.
垂直	ຕັ້ງສາກ	ເສັ້ນສອງເສັ້ນນີ້ຕັ້ງສາກກັນ.
锤	ຄ້ອນ	ຄົນງານໃຊ້ຄ້ອນຕີແຜ່ນເຫຼັກ.
纯粹	ບໍລິສຸດລ້ວນໆ	ການຊ່ວຍເຫຼືອຂອງລາວເກີດຈາກນ້ຳໃຈດີລ້ວນໆ.
纯洁	ບໍລິສຸດ	ຈິດໃຈຂອງເດັກນ້ອຍບໍລິສຸດຫຼາຍ.
慈善	ການກຸສົນ	ບໍລິສັດນີ້ມັກເຂົ້າຮ່ວມກິດຈະກຳການກຸສົນ.
慈祥	ໃຈດີອ່ອນໂຍນ	ຮອຍຍິ້ມຂອງແມ່ຕູ້ໃຈດີອ່ອນໂຍນຫຼາຍ.
磁带	ເທບບັນທຶກສຽງ	ເທບບັນທຶກສຽງເກົ່າມ້ວນນີ້ຍັງເປີດຟັງໄດ້.
雌雄	ເພດແມ່ແລະເພດຜູ້	ນົກຊະນິດນີ້ເພດແມ່ແລະເພດຜູ້ມີສີຕ່າງກັນ.
伺候	ດູແລຮັບໃຊ້	ພະຍາບານດູແລຮັບໃຊ້ຄົນເຈັບຢ່າງລະອຽດ.
刺	ໜາມ	ກິ່ງກຸຫຼາບມີໜາມຫຼາຍ.
次品	ສິນຄ້າບົກພ່ອງ	ສິນຄ້າບົກພ່ອງເຫຼົ່ານີ້ຂາຍບໍ່ໄດ້.
次序	ລຳດັບ	ກະລຸນາຕໍ່ແຖວຕາມລຳດັບ.
丛	ພຸ່ມ	ຂ້າງທາງມີດອກໄມ້ປ່າພຸ່ມໜຶ່ງ.
从容	ສະຫງົບບໍ່ລົນ	ນາງຕອບຄຳຖາມຢ່າງສະຫງົບບໍ່ລົນ.
凑合	ພໍຖູໄຖ	ຫ້ອງບໍ່ໃຫຍ່ ແຕ່ຍັງພໍຖູໄຖຢູ່ໄດ້.
粗鲁	ຫຍາບຄາຍ	ລາວເວົ້າຫຍາບຄາຍເກີນໄປ.
窜	ພຸ່ງເຂົ້າ	ແມວໂຕນັ້ນພຸ່ງເຂົ້າໄປໃນເຮືອນທັນທີ.
摧残	ທຳລາຍຢ່າງຮ້າຍແຮງ	ມົນລະພິດຍາວນານຈະທຳລາຍປ່ານີ້ຢ່າງຮ້າຍແຮງ.
脆弱	ບອບບາງ	ເຄື່ອງແກ້ວບອບບາງຫຼາຍ.
搓	ຖູ	ລາວຖູມືເຢັນໆຂອງຕົນ.
磋商	ປຶກສາຫາລື	ທັງສອງຝ່າຍຈະປຶກສາຫາລືຕໍ່ໄປ.
挫折	ອຸປະສັກລົ້ມເຫຼວ	ທຸກຄົນຈະພົບອຸປະສັກລົ້ມເຫຼວ.
搭	ຂຶ້ນໂດຍສານ	ພວກເຮົາຂຶ້ນໂດຍສານລົດເມໄປສະໜາມບິນ.
搭档	ຄູ່ຮ່ວມງານ	ລາວເປັນຄູ່ຮ່ວມງານຂອງຂ້ອຍມາຫຼາຍປີ.
搭配	ເຂົ້າກັນ	ເສື້ອຄຸມຕົວນີ້ກັບກາງເກງເຂົ້າກັນຫຼາຍ.
答辩	ປ້ອງກັນວິທະຍານິພົນ	ນັກສຶກສາປະລິນຍາໂທກຳລັງກຽມປ້ອງກັນວິທະຍານິພົນ.
答复	ຄຳຕອບ	ກະລຸນາໃຫ້ຄຳຕອບຂ້ອຍໂດຍໄວ.
达成	ບັນລຸ	ທັງສອງຝ່າຍບັນລຸຂໍ້ຕົກລົງໃນທີ່ສຸດ.
