simplified	HY	example_HY
崇拜	պաշտել; հիանալ	Շատ երիտասարդներ հիանում են այս գիտնականով։
崇高	վեհ; բարձր	Բժշկի պարտականությունը վեհ է։
崇敬	խորապես հարգել	Աշակերտները բոլորը խորապես հարգում են այս ուսուցչին։
重叠	համընկնել; իրար վրա դրվել	Այս երկու առաջադրանքները մասամբ համընկնում են։
稠密	խիտ	Այստեղ բնակչությունը շատ խիտ է։
筹备	նախապատրաստել; պատրաստվել	Նրանք հարսանիք են նախապատրաստում։
丑恶	տգեղ; նողկալի	Նա բացահայտեց դեպքի հետևում եղած նողկալի ճշմարտությունը։
出路	ելք; առաջ գնալու ճանապարհ	Կրթությունը երիտասարդներին ավելի շատ ելքեր է տալիս։
出卖	վաճառել; դավաճանել	Նա ընկերներին չի դավաճանի։
出身	ծագում; ընտանեկան ծագում	Նա սովորական ընտանիքից է ծագում։
出神	մտքով տարվել; խորասուզվել	Նա երաժշտություն լսելիս ամբողջովին խորասուզվել էր։
出息	ապագա; հեռանկար; հաջողության նշան	Այս երեխան ապագայում լավ հեռանկար կունենա։
初步	նախնական; սկզբնական	Մենք արդեն նախնական համաձայնության ենք հասել։
除	հանել; հեռացնել; բացի	Բացի նրանից, բոլորը եկել են։
储备	պահեստավորել; պահուստ	Ընկերությանը պետք է ավելի շատ միջոցներ պահուստավորել։
储存	պահել; պահեստավորել	Այս տվյալները ինքնաբերաբար կպահվեն։
储蓄	խնայել; խնայողություն	Նա ամեն ամիս աշխատավարձի մի մասը խնայում է։
处分	կարգապահական պատիժ; պատժել	Դպրոցը նրան խիստ կարգապահական պատիժ տվեց։
处境	վիճակ; ծանր դրություն	Նրանց ներկայիս վիճակը շատ դժվար է։
处置	վարվել; տնօրինել; մշակել	Այս հին սարքավորումները պետք է պատշաճ կերպով տնօրինել։
触犯	խախտել; վիրավորել	Այսպես վարվելը կխախտի օրենքը։
川流不息	անընդհատ հոսել; չդադարող հոսք	Փողոցի մեքենաները անընդհատ հոսում էին։
穿越	անցնել միջով; հատել	Գնացքը անցավ երկար թունելով։
传达	փոխանցել; հաղորդել	Խնդրում եմ այս լուրը փոխանցիր բոլորին։
传单	թռուցիկ	Կամավորները փողոցում թռուցիկներ էին բաժանում։
传授	փոխանցել; ուսուցանել	Ուսուցիչը փորձը փոխանցեց աշակերտներին։
船舶	նավեր; նավային փոխադրումներ	Նավահանգստում բազմաթիվ նավեր էին կանգնած։
喘气	հևալ; ծանր շնչել	Վազելուց հետո նա անընդհատ հևում էր։
串	շարել; իրար խառնել; դավադիր կապվել	Նա ուլունքները շարեց վզնոցի մեջ։
床单	սավան	Խնդրում եմ սավանը փոխիր։
创立	հիմնել; ստեղծել	Նրանք միասին հիմնեցին այս ընկերությունը։
创新	նորարարություն; նոր բան ստեղծել	Ձեռնարկության զարգացումը մշտական նորարարություն է պահանջում։
创业	գործ սկսել; ձեռնարկություն հիմնել	Շատ երիտասարդներ ընտրում են գործ սկսել։
创作	ստեղծագործել; ստեղծել	Գրողը երկար վեպ է ստեղծագործում։
吹牛	պարծենալ; գլուխ գովել	Մի պարծեցիր, ապացույց ցույց տուր։
吹捧	չափազանց գովաբանել; շողոքորթել	Մամուլը այս արտադրանքը չափազանց գովաբանեց։
炊烟	խոհանոցային ծուխ; օջախի ծուխ	Երեկոյան գյուղում օջախների ծուխ բարձրացավ։
垂直	ուղղահայաց	Այս երկու գծերը միմյանց ուղղահայաց են։
锤	մուրճ; մուրճով խփել	Բանվորը մուրճով խփեց երկաթե թիթեղին։
纯粹	մաքուր; զուտ	Նրա օգնությունը զուտ բարի կամքից էր։
纯洁	մաքուր; անաղարտ	Երեխայի հոգին շատ մաքուր է։
慈善	բարեգործական; գթասիրտ	Այս ընկերությունը հաճախ մասնակցում է բարեգործական միջոցառումների։
慈祥	բարի; գթասիրտ	Տատիկի ժպիտը շատ բարի էր։
磁带	մագնիսական ժապավեն; ձայներիզ	Այս հին ձայներիզը դեռ կարելի է նվագարկել։
雌雄	էգ և արու	Այս թռչնի էգի և արուի գույները տարբեր են։
伺候	խնամել; սպասարկել	Բուժքույրը ուշադիր խնամում էր հիվանդին։
刺	փուշ; ծակել	Վարդի ճյուղերի վրա շատ փշեր կան։
次品	անորակ ապրանք; թերի ապրանք	Այս անորակ ապրանքները չի կարելի վաճառել։
次序	հերթականություն; կարգ	Խնդրում եմ հերթականությամբ կանգնեք։
丛	խումբ; թուփ; հավաքածու	Ճանապարհի եզրին վայրի ծաղիկների մի խումբ կար։
从容	հանգիստ; անշտապ	Նա հարցին հանգիստ պատասխանեց։
凑合	յոլա գնալ; հարմարեցնել	Սենյակը մեծ չէ, բայց այնտեղ դեռ կարելի է յոլա գնալ։
粗鲁	կոպիտ; անքաղաքավարի	Նա չափազանց կոպիտ է խոսում։
窜	ներս նետվել; փախչել; սլանալ	Այդ կատուն հանկարծ սլացավ սենյակ։
摧残	ավերել; կործանել	Երկարատև աղտոտումը կկործանի այս անտառը։
脆弱	փխրուն; թույլ	Ապակյա իրերը շատ փխրուն են։
搓	շփել; ձեռքերով գլորել	Նա շփեց իր սառը ձեռքերը։
磋商	բանակցել; խորհրդակցել	Երկու կողմերը կշարունակեն բանակցել։
挫折	ձախողում; դժվարություն	Յուրաքանչյուր մարդ դժվարությունների է հանդիպում։
搭	նստել տրանսպորտ; կառուցել; կախել	Մենք ավտոբուսով գնում ենք օդանավակայան։
搭档	գործընկեր; համագործակցել	Նա իմ երկարամյա աշխատանքային գործընկերն է։
搭配	համադրել; զուգակցել	Այս վերարկուն և տաբատը լավ են համադրվում։
答辩	պաշտպանել աշխատանքը; պատասխանել	Ասպիրանտը պատրաստվում է թեզի պաշտպանությանը։
答复	պատասխանել; պատասխան	Խնդրում եմ որքան հնարավոր է շուտ պատասխան տուր ինձ։
达成	հասնել; իրականացնել	Երկու կողմերը վերջապես համաձայնության հասան։
打包	փաթեթավորել; հետը վերցնելու համար փաթեթավորել	Մատուցողը մեզ համար մնացած ուտելիքը փաթեթավորեց։
打官司	դատարան դիմել; դատական գործ վարել	Նրանք պայմանագրի հարցով դատարան դիմեցին։
打击	հարվածել; հարված; հարձակվել	Այս ձախողումը նրան մեծ հարված հասցրեց։
打架	կռվել; ծեծկռտուք անել	Դպրոցում կռվող աշակերտները կարգապահական պատիժ կստանան։
打量	աչքով չափել; զննել	Նա ինձ վերևից ներքև զննեց։
