hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
3813:创建	创建	创建	නිර්මාණය කරයි; පිහිටුවයි	කණ්ඩායම නව දත්ත සමුදායක් නිර්මාණය කරමින් සිටී.	உருவாக்கு; நிறுவு	குழு புதிய தரவுத்தளத்தை உருவாக்குகிறது.
3815:创意	创意	创意	නිර්මාණශීලී අදහස; නිර්මාණශීලීත්වය	මෙම දැන්වීම ඉතා නිර්මාණශීලීය.	படைப்பாற்றல்; படைப்புச் சிந்தனை	இந்த விளம்பரம் மிகவும் படைப்பாற்றலானது.
3817:纯	纯	纯	පිරිසිදු; මුළුමනින්ම	මෙම යුෂ බෝතලය පිරිසිදු ඇපල් යුෂකි.	தூய; முழுமையாக	இந்த பழச்சாறு பாட்டில் தூய ஆப்பிள் சாறு.
3818:瓷器	瓷器	瓷器	පෝසිලේන් භාණ්ඩ; චීන මැටි භාණ්ඩ	කෞතුකාගාරය පැරණි පෝසිලේන් භාණ්ඩ ප්‍රදර්ශනය කළේය.	பீங்கான் பொருட்கள்; சைனா மண் பொருட்கள்	அருங்காட்சியகம் பழமையான பீங்கான் பொருட்களை காட்சிப்படுத்தியது.
3819:此刻	此刻	此刻	මේ මොහොතේ	මේ මොහොතේ මට නිහඬව විවේක ගැනීමට පමණක් ඕනෑය.	இந்த தருணத்தில்	இந்த தருணத்தில் நான் அமைதியாக ஓய்வெடுக்க மட்டும் விரும்புகிறேன்.
3821:次数	次数	次数	වාර ගණන	කරුණාකර දිනපතා පුහුණු වන වාර ගණන සටහන් කරන්න.	முறை எண்ணிக்கை	தினமும் பயிற்சி செய்யும் முறை எண்ணிக்கையை தயவுசெய்து பதிவு செய்யுங்கள்.
3822:匆匆	匆匆	匆匆	හදිසියේ; ඉක්මනින්	ඔහු උදේ ආහාරය ඉක්මනින් අවසන් කර පිටතට ගියේය.	அவசரமாக; விரைவாக	அவர் காலை உணவை அவசரமாக முடித்து வெளியே சென்றார்.
3824:从未	从未	从未	කිසිදා නැත; කිසිවිටෙක නැත	ඇය තම සිහිනය කිසිදා අත්හැරියේ නැත.	ஒருபோதும் இல்லை	அவள் தன் கனவை ஒருபோதும் கைவிடவில்லை.
3825:从业	从业	从业	වෘත්තියක නියැලේ; ක්ෂේත්‍රයක වැඩ කරයි	ඔහු මූල්‍ය ක්ෂේත්‍රයේ වසර ගණනාවක් වැඩ කර ඇත.	ஒரு தொழிலில் பணியாற்று	அவர் நிதித் துறையில் பல ஆண்டுகளாக பணியாற்றியுள்ளார்.
3827:脆	脆	脆	කරකර; පහසුවෙන් කැඩෙන	මෙම බිස්කට් වර්ගය සුවඳත් කරකර ගතියත් ඇත.	முறுக்கு தன்மை உடைய; எளிதில் உடையும்	இந்த பிஸ்கட் வகை மணமும் முறுக்கு தன்மையும் உடையது.
3829:村庄	村庄	村庄	ගම්මානය	කන්ද පාමුල නිහඬ ගම්මානයක් ඇත.	கிராமம்	மலையின் அடிவாரத்தில் அமைதியான கிராமம் ஒன்று உள்ளது.
3830:存储	存储	存储	ගබඩා කරයි; ගබඩාව	මෙම ඡායාරූප වලාකුළු සේවාවේ ගබඩා කළ හැකිය.	சேமி; சேமிப்பு	இந்த புகைப்படங்களை மேக சேமிப்பில் சேமிக்கலாம்.
3831:寸	寸	寸	චුන්; දිග මිනුම් ඒකකයක්	මෙම ඡායාරූපය චුන් දෙකේ ප්‍රමාණයකි.	சுன்; நீள அளவுக் கூறு	இந்த புகைப்படம் இரண்டு சுன் அளவுடையது.
3837:打动	打动	打动	හදවත ස්පර්ශ කරයි; සංවේදී කරයි	ඔහුගේ අවංකකම සියලු දෙනාගේ හදවත් ස්පර්ශ කළේය.	மனதை நெகிழச் செய்; உணர்ச்சியால் தொடு	அவரின் நேர்மை அனைவரின் மனதையும் நெகிழச் செய்தது.
3840:打卡	打卡	打卡	පැමිණීම සටහන් කරයි	සේවකයන් සෑම උදෑසනකම නවයට පැමිණීම සටහන් කරති.	வருகையை பதிவு செய்	ஊழியர்கள் தினமும் காலை ஒன்பது மணிக்கு வருகையை பதிவு செய்கிறார்கள்.
