simplified	JA	example_JA
防守	守備	このチームの守備はとても安定しています。
防御	防御	城壁はかつて敵を防御するために使われました。
防止	防ぐ	けがを防ぐため、シートベルトを締めてください。
防治	予防と治療	医者は病気の予防と治療の方法を説明しました。
纺织	紡績	この都市は紡績業で有名です。
访问	訪問する	記者は明日この作家を訪問します。
放大	拡大する	画像を少し拡大してください。
放射	放射する	この材料は熱を放射します。
非法	違法な	違法取引は処罰されます。
飞禽走兽	鳥獣	森にはさまざまな鳥獣が生息しています。
飞翔	飛ぶ	カモメが海面の上を飛んでいます。
飞跃	飛躍	科学技術の発展は大きな飛躍を遂げました。
肥沃	肥沃な	この土地は非常に肥沃です。
诽谤	誹謗する	他人を誹謗すれば法的責任を負わなければなりません。
废除	廃止する	この古い規定はすでに廃止されました。
废寝忘食	寝食を忘れる	彼は研究のために寝食を忘れました。
废墟	廃墟	地震の後、そこは廃墟になりました。
沸腾	沸騰する	水はすでに沸騰しています。
肺	肺	喫煙は肺を傷つけます。
分辨	見分ける	私にはこの二つの色を見分けるのが難しいです。
分寸	節度	冗談を言うときも節度に注意すべきです。
分红	配当	株主は年末に配当を受け取れます。
分解	分解する	先生は複雑な問題をいくつかの段階に分解しました。
分裂	分裂する	内部の矛盾が組織の分裂を招きました。
分泌	分泌する	この腺はホルモンを分泌します。
分明	明らかな	事実はすでに非常に明らかです。
分歧	相違	双方は価格をめぐって相違があります。
分散	分散する	リスクを異なるプロジェクトに分散してください。
吩咐	言いつける	上司は私に書類を整理するよう言いつけました。
坟墓	墓	丘の上に古い墓があります。
粉末	粉末	錠剤を粉末にすりつぶしてください。
粉色	ピンク色	彼女はピンク色のスカーフを買いました。
粉碎	粉砕する	警察はこの犯罪組織を粉砕しました。
分量	重み	この言葉には大きな重みがあります。
愤怒	怒り	彼の口調には怒りが満ちていました。
丰满	充実した	この文章の内容はまだ十分に充実していません。
丰盛	豪華な	彼らは豪華な夕食を用意しました。
丰收	豊作	今年、農民たちは豊作を迎えました。
封闭	閉鎖する	工事期間中、この道路は閉鎖されます。
封建	封建的な	このような封建的な考え方はとっくに変えるべきです。
封锁	封鎖する	警察は事故現場を封鎖しました。
锋利	鋭い	この包丁は非常に鋭いです。
风暴	嵐	海上に突然嵐が現れました。
风度	風格	彼は舞台の上でとても風格があるように見えました。
风光	風景	ここの自然風景は美しいです。
风气	気風	学校には良い学習の気風が形成されました。
风趣	ユーモア	彼の話し方にはユーモアがあります。
风土人情	風土と人情	旅行は現地の風土と人情を理解する助けになります。
风味	風味	この店には濃い地方の風味があります。
逢	迎える	週末を迎えるたびに、公園はにぎやかになります。
奉献	ささげる	医者は患者のために多くの時間をささげました。
否决	否決する	取締役会はこの提案を否決しました。
夫妇	夫婦	この夫婦は小さな店を経営しています。
夫人	夫人	王さんは夫人と一緒に晩餐会に出席しました。
敷衍	おざなりにする	彼はただおざなりに数言答えただけでした。
俘虏	捕虜	戦争が終わった後、捕虜は解放されました。
幅度	幅	今回の値下げ幅は大きいです。
服从	従う	軍人は命令に従わなければなりません。
服气	納得する	彼は試合に負けましたが、内心では納得していませんでした。
福利	福利厚生	従業員は会社の福利厚生を重視しています。
福气	幸運	よい先生に出会えたのは彼の幸運です。
符号	記号	この記号は危険を表しています。
辐射	放射線	医者は彼に強い放射線から離れるよう注意しました。
俯视	見下ろす	山頂から街全体を見下ろせます。
抚摸	なでる	彼女は子どもの頭をそっとなでました。
抚养	育てる	祖父母が子どもを育てるのを手伝いました。
腐败	腐敗	政府は腐敗を取り締まっています。
腐烂	腐る	果物は長く置きすぎると腐ります。
腐蚀	腐食する	酸は金属の表面を腐食します。
腐朽	腐朽した	彼らは腐朽した制度を批判しました。
辅助	補助する	この道具は授業を補助できます。
副	副	彼女は副マネージャーに任命されました。
复活	復活する	この伝統的な祭りは復活しつつあります。
复兴	復興	文化の復興には長期的な努力が必要です。
富裕	裕福な	この村は今ますます裕福になっています。
