simplified	NL	example_NL
妥协	het compromis	De twee partijen bereikten uiteindelijk een compromis
椭圆	de ellips	De baan van de aarde ligt dicht bij een ellips
唾弃	verachten	De samenleving veracht dit soort fraude
哇	wauw	Wauw deze brug is echt indrukwekkend
挖掘	opgraven	Het archeologische team graaft een oud graf op
娃娃	de pop	Het kleine meisje houdt een pop vast
瓦解	uiteenvallen	Interne conflicten lieten de alliantie uiteenvallen
歪曲	verdraaien	Berichten mogen de feiten niet verdraaien
外表	het uiterlijk	Beoordeel mensen niet alleen op hun uiterlijk
外行	de leek	Op juridisch gebied ben ik een complete leek
外界	de buitenwereld	Het bedrijf reageert zelden op kritiek van de buitenwereld
外向	extravert	Zij heeft een extravert karakter en veel vrienden
丸	de pil	De arts schreef hem enkele pillen voor
完备	volledig	Deze verzameling materiaal is heel volledig
完毕	afgelopen	De vergadering is al afgelopen
玩弄	spelen met	Speel niet met gevoelens van anderen
玩意儿	het ding	Wat is dit voor nieuw ding
顽固	koppig	Zijn houding is heel koppig
顽强	taai	De gewonde toonde grote taaiheid
惋惜	spijt voelen	Iedereen voelde spijt over de mislukking
挽回	terugwinnen	Hij deed zijn best om het verlies van het bedrijf terug te winnen
挽救	redden	De arts redde met succes het leven van de patient
万分	uiterst	Ik ben je uiterst dankbaar voor je hulp
往常	gewoonlijk	Vandaag is het heter dan gewoonlijk
往事	het verleden	De oudere herinnert zich vaak gebeurtenissen uit het verleden
妄想	tevergeefs dromen	Hij droomt tevergeefs van rijk worden in een nacht
危机	de crisis	Het bedrijf staat voor een ernstige crisis
威风	imposant	De generaal zag er te paard imposant uit
威力	de kracht	Dit soort wapen heeft grote kracht
威望	het aanzien	Hij heeft veel aanzien in het dorp
威信	de geloofwaardigheid	Leiders moeten de geloofwaardigheid van de overheid behouden
微不足道	onbeduidend	Dit kleine verlies is onbeduidend
微观	micro-	Deze cursus introduceert micro-economie
为难	het moeilijk maken	Maak het de ober niet nog moeilijker
为期	duren	De training duurt drie maanden
唯独	behalve iedereen	Iedereen was aangekomen behalve hij
维持	handhaven	De politie handhaafde de orde ter plaatse
维护	beschermen	Wij moeten onze wettige rechten en belangen beschermen
维生素	de vitamine	Fruit bevat veel vitamines
违背	ingaan tegen	Dit besluit gaat in tegen de geest van het contract
伪造	vervalsen	Iemand vervalste zijn handtekening
委托	toevertrouwen	De klant vertrouwde de zaak toe aan een advocaat
委员	het commissielid	Elk commissielid gaf een mening
卫星	de satelliet	De satelliet kwam in de geplande baan
喂	voeren	Het kind voert het katje
慰问	medeleven betuigen	De leiders gingen naar het ziekenhuis om de gewonden medeleven te betuigen
未免	wel erg	Deze eis is wel erg hoog
畏惧	vrezen	Hij vreest moeilijkheden nooit
蔚蓝	hemelsblauw	De lucht had een hemelsblauwe kleur
温带	de gematigde zone	Deze plant past bij een gematigd klimaat
温和	gematigd	Zijn politieke standpunt is vrij gematigd
文凭	het diploma	Voor deze baan is een universitair diploma vereist
文物	het cultuurvoorwerp	Het museum toonde kostbare cultuurvoorwerpen
文献	de literatuur	Het artikel citeerde veel literatuur
文雅	verfijnd	Zij gedraagt zich verfijnd
文艺	literatuur en kunst	Deze stad heeft een sterke sfeer van literatuur en kunst
问世	uitkomen	Dit telefoonmodel komt binnenkort uit
窝	het nest	In de boom zit een vogelnest
乌黑	gitzwart	Zij heeft lang gitzwart haar
污蔑	belasteren	Hij ontkende dat hij zijn concurrent had belasterd
诬陷	erin luizen	Het bewijs toont aan dat hij erin is geluisd
无比	ongekend	Hij was ongekend opgewonden toen hij het nieuws hoorde
无偿	gratis	Vrijwilligers bieden gratis diensten aan
无耻	schaamteloos	Dit bedrog is zeer schaamteloos
无动于衷	onverschillig	Voor kritiek bleef hij onverschillig
无非	alleen maar	Hij deed dit alleen maar om geld te besparen
无辜	onschuldig	De rechtbank oordeelde dat hij onschuldig was
无精打采	lusteloos	Hij ziet er vandaag lusteloos uit
无赖	de schurk	De dorpsbewoners wilden niet met die schurk omgaan
无理取闹	zonder reden herrie schoppen	Maak hier alsjeblieft geen herrie zonder reden
无能为力	machteloos	Tegenover de overstroming waren de dorpsbewoners machteloos
无穷无尽	eindeloos	De woestijn leek eindeloos
无微不至	tot in elk detail	De verpleegkundige verzorgde de patient tot in elk detail
无忧无虑	zorgeloos	De kinderen speelden zorgeloos op het gras
无知	de onwetendheid	Onwetendheid is geen reden om leren te weigeren
侮辱	beledigen	Zijn woorden beledigden de ander
武器	het wapen	Deze wapens worden centraal bewaard
武侠	het wuxia-verhaal	Hij leest sinds zijn jeugd graag wuxia-verhalen
武装	de bewapening	Het grensgebied versterkte de bewapende patrouilles
舞蹈	de dans	Deze dans heeft sterke etnische kenmerken
务必	beslist	Kom beslist op tijd aan
物美价廉	goed en goedkoop	De goederen in deze winkel zijn goed en goedkoop
物业	het vastgoedbeheer	Het vastgoedbeheer is verantwoordelijk voor reparaties in de woonwijk
物资	de voorraden	De hulpvoorraden zijn al naar het rampgebied gebracht
误差	de meetfout	Er zit een kleine meetfout in het meetresultaat
误解	het misverstand	Beide partijen ruimden het misverstand door communicatie op
夕阳	de ondergaande zon	De ondergaande zon kleurde de hemel goud
昔日	vroeger	Het dorp van vroeger werd een stad
溪	de beek	Een kleine beek stroomt door de bergen
熄灭	doven	Doof alsjeblieft de kaars
牺牲	het offer	Zij brachten een offer om anderen te redden
膝盖	de knie	Zijn knie raakte gewond
习俗	de gewoonte	Het Lentefeest heeft veel traditionele gewoonten
媳妇	de vrouw	Zijn vrouw werkt in het ziekenhuis
袭击	de aanval	De storm viel de kuststad aan
喜闻乐见	geliefd	Dit soort programma is geliefd bij het publiek
喜悦	de vreugde	Er verscheen een vreugdevolle glimlach op haar gezicht
系列	de reeks	Het bedrijf lanceerde een reeks nieuwe producten
细菌	de bacterie	Hoge temperaturen kunnen bacterien doden
细胞	de cel	Het menselijk lichaam bestaat uit talloze cellen
细致	nauwkeurig	Haar observatie is zeer nauwkeurig
峡谷	de kloof	De rivier stroomt door een diepe kloof
狭隘	bekrompen	Deze bekrompen opvatting moet veranderen
狭窄	smal	Dit pad is erg smal
霞	de avondgloed	De avondgloed kleurde de hemel rood
下属	de ondergeschikte	De manager luisterde aandachtig naar de meningen van zijn ondergeschikten
先进	geavanceerd	De fabriek gebruikte geavanceerde apparatuur
先前	eerder	Het eerdere plan is al veranderd
掀起	op gang brengen	Dit boek bracht een golf van discussie op gang
纤维	de vezel	Deze stof bevat natuurlijke vezels
鲜明	duidelijk	Zijn standpunt is zeer duidelijk
嫌	een hekel hebben aan	Zij heeft een hekel aan de kleine kamer
嫌疑	de verdenking	Er rust een ernstige verdenking op deze man
弦	de snaar	Een snaar van de gitaar brak
衔接	aansluiten	De inhoud van de twee cursussen sluit goed op elkaar aan
贤惠	deugdzaam	Zij wordt als deugdzaam en bekwaam gezien
闲话	de roddel	Roddel niet achter iemands rug
显著	aanzienlijk	Het effect van de behandeling is aanzienlijk
宪法	de grondwet	De grondwet beschermt de basisrechten van burgers
现场	de plek	Verslaggevers zijn al op de plek van het ongeluk aangekomen
现成	kant-en-klaar	Er staat kant-en-klaar eten in de keuken
现状	de huidige toestand	We moeten de huidige toestand van de sector begrijpen
线索	de aanwijzing	De politie vond een nieuwe aanwijzing
陷害	vals beschuldigen	Hij beweerde dat iemand hem vals had beschuldigd
陷阱	de val	De jager zette een val
陷入	terechtkomen in	Het bedrijf kwam in financiele problemen terecht
馅儿	de vulling	De vulling van dit broodje ruikt erg lekker
乡镇	de plattelandsgemeente	De omstandigheden op scholen in plattelandsgemeenten verbeteren
相差	verschillen	De temperaturen van de twee plaatsen verschillen tien graden
相等	gelijk zijn	De oppervlakken van de twee driehoeken zijn gelijk
相辅相成	elkaar aanvullen	Theorie en praktijk vullen elkaar aan
相应	passend	Het bedrijf zal passende maatregelen nemen
镶嵌	inzetten	In de ring is een edelsteen ingezet
响亮	luid en duidelijk	Zijn antwoord klonk luid en duidelijk
响应	reageren op	Veel mensen reageerden op het milieu-initiatief
想方设法	alles proberen	Zij probeerden alles om de kosten te verlagen
向导	de gids	Een plaatselijke gids bracht ons de bergen in
向来	altijd al	Hij heeft altijd al veel waarde gehecht aan kredietwaardigheid
向往	verlangen naar	Zij verlangt naar een rustig leven
巷	de steeg	In de oude steeg zijn veel kleine winkels geopend
相声	de komische dialoog	Opa luistert graag naar traditionele komische dialogen
消除	wegnemen	Communicatie kan misverstanden wegnemen
消毒	ontsmetten	De arts ontsmette de wond
消防	de brandweer	De brandweer kwam snel op de plek aan
消耗	verbruiken	Een lange reis verbruikt veel lichamelijke energie
消灭	uitroeien	De medewerkers zijn bezig ongedierte uit te roeien
潇洒	stijlvol ontspannen	Hij loopt op een stijlvol ontspannen manier
销毁	vernietigen	De douane vernietigde de namaakgoederen
小心翼翼	uiterst voorzichtig	Zij opende de doos uiterst voorzichtig
效益	het rendement	De nieuwe apparatuur verhoogde het productierendement
肖像	het portret	Zijn portret hangt aan de muur
协会	de vereniging	Deze vereniging helpt jonge ondernemers
协商	overleggen	Beide partijen zijn bereid verder te overleggen
协调	afstemmen	De projectmanager is verantwoordelijk voor het afstemmen van middelen
协议	de overeenkomst	Beide partijen ondertekenden een samenwerkingsovereenkomst
协助	helpen	Vrijwilligers hielpen ouderen bij het oversteken van de straat
携带	meenemen	Passagiers mogen geen gevaarlijke goederen meenemen
屑	de spaander	Er liggen veel houtspaanders op tafel
泄露	lekken	Medewerkers mogen geen klantinformatie lekken
泄气	ontmoedigd raken	Raak niet ontmoedigd na een mislukking
谢绝	beleefd weigeren	Het hotel weigert beleefd eten van buitenaf
心得	de leerervaring	Zij deelde haar leerervaringen uit het studeren
心甘情愿	volkomen bereid	Hij bleef volkomen bereid om te helpen
心灵	de geest	Muziek troostte haar geest
心态	de instelling	Een positieve instelling behouden is belangrijk
心疼	meeleven met	De moeder leefde mee met haar gewonde kind
心血	de noeste inzet	Dit boek bevat de noeste inzet van de auteur
心眼儿	kleingeestigheid	Hij toont een beetje kleingeestigheid
新陈代谢	de stofwisseling	Beweging kan de stofwisseling bevorderen
新郎	de bruidegom	De bruidegom begroette gasten bij de deur
新娘	de bruid	De bruid droeg een witte trouwjurk
新颖	origineel	Dit ontwerp is zeer origineel
欣慰	opgelucht blij	Zij was opgelucht blij toen zij de vooruitgang van het kind zag
欣欣向荣	floreren	Het toerisme in het stadje floreert
薪水	het salaris	Zijn salaris is genoeg om het gezin te onderhouden
辛勤	ijverig	Boeren verbouwen ijverig hun gewassen
信赖	vertrouwen	Klanten vertrouwen dit bedrijf zeer
信念	de overtuiging	Een sterke overtuiging steunde hem
信仰	het geloof	Zij respecteert verschillende geloven
信誉	de reputatie	Een bedrijf moet zijn reputatie beschermen
兴高采烈	opgetogen	De kinderen renden opgetogen het klaslokaal binnen
兴隆	florerend	Deze oude winkel heeft een florerende zaak
兴旺	voorspoedig	De markteconomie wordt steeds voorspoediger
腥	visachtig	Deze vis ruikt een beetje visachtig
刑事	strafrechtelijk	De politie onderzoekt een strafrechtelijke zaak
形态	de vorm	De vorm van planten verandert met de omgeving
行政	administratief	De administratieve afdeling behandelt aanvragen
兴致勃勃	vol belangstelling	Iedereen besprak het plan vol belangstelling
性感	aantrekkelijk	Deze avondjurk oogt erg aantrekkelijk
性命	het leven	De dokter redde zijn leven
性能	de prestatie	Deze computer levert goede prestaties
凶恶	woest	Deze hond ziet er woest uit
凶手	de moordenaar	De politie pakte uiteindelijk de moordenaar
汹涌	turbulent	Turbulente golven sloegen tegen de kust
胸怀	de ruimdenkendheid	Hij heeft veel ruimdenkendheid
胸膛	de borst	De soldaat stak zijn borst vooruit
雄厚	sterk gefundeerd	Het bedrijf beschikt over sterk gefundeerde middelen
雄伟	majestueus	Deze brug is zeer majestueus
修复	herstellen	Ingenieurs herstellen het systeem
修建	bouwen	De regering is van plan een nieuwe luchthaven te bouwen
修养	de vorming	Goede vorming blijkt uit details
羞耻	de schaamte	Hij voelde schaamte nadat hij had gelogen
嗅觉	het reukvermogen	Het reukvermogen van een hond is zeer scherp
绣	borduren	Oma kan bloemen borduren
虚假	vals	De website plaatste valse informatie
虚荣	de ijdelheid	IJdelheid liet hem te veel geld uitgeven
虚伪	huichelachtig	Zij houdt niet van huichelachtige beleefdheid
需求	de vraag	De marktvraag neemt toe
须知	de instructies	Lees eerst de aanmeldinstructies
许可	de toestemming	Zonder toestemming mag je niet naar binnen
序言	het voorwoord	De auteur legt in het voorwoord de achtergrond uit
畜牧	de veeteelt	De grasvlakte is geschikt voor de ontwikkeling van veeteelt
酗酒	zwaar drinken	Langdurig zwaar drinken schaadt de gezondheid
喧哗	lawaai maken	In de bibliotheek is lawaai maken verboden
宣誓	de eed afleggen	Nieuwe leden legden tijdens de bijeenkomst de eed af
宣扬	uitdragen	De school draagt eerlijkheid en betrouwbaarheid uit
悬挂	hangen	Er hangt een schilderij aan de muur
悬念	de spanning	Het einde van de film laat spanning achter
悬殊	het grote verschil	Het krachtsverschil tussen de twee teams is groot
悬崖峭壁	de steile klif	Naast de bergweg liggen steile kliffen
旋律	de melodie	Dit lied heeft een mooie melodie
旋转	draaien	De windmolen draait in de wind
选拔	selecteren	De school selecteert sporters
选举	de verkiezing	Het dorp hield een verkiezing
选手	de deelnemer	Deze deelnemer presteerde stabiel
炫耀	opscheppen	Hij schept altijd op over zijn rijkdom
削	wegsnijden	Het bedrijf sneed enkele uitgaven weg
削弱	verzwakken	Vermoeidheid verzwakt het beoordelingsvermogen
学说	de leer	Deze leer heeft grote invloed
学位	de academische graad	Zij behaalde een mastergraad
雪上加霜	het nog erger maken	Werkloos worden en daarna ziek worden maakte het nog erger
血压	de bloeddruk	De dokter herinnerde hem eraan zijn bloeddruk onder controle te houden
熏陶	de vormende invloed	Zij kreeg van jongs af aan een vormende invloed van muziek
寻觅	zoeken	Zij zochten overal naar geschikte woonruimte
巡逻	patrouilleren	De politie patrouilleert 's nachts op straat
循环	circuleren	Water circuleert in het systeem
循序渐进	stapsgewijs vooruitgaan	Een taal leren moet stapsgewijs vooruitgaan
压迫	onderdrukken	Het oude systeem onderdrukte gewone mensen
压岁钱	nieuwjaarsgeld	Het kind kreeg nieuwjaarsgeld
压缩	comprimeren	De software kan afbeeldingen comprimeren
压抑	onderdrukken	Hij probeerde zijn innerlijke woede te onderdrukken
压榨	uitpersen	De machine perst suikerrietsap uit
压制	onderdrukken	Medicijnen kunnen pijn onderdrukken
鸦雀无声	muisstil	Nadat de leraar binnenkwam was het klaslokaal muisstil
亚军	de tweede plaats	Zij behaalde de tweede plaats in de wedstrijd
淹没	onder water zetten	De overstroming zette het laaggelegen dorp onder water
烟花爆竹	vuurwerk en knalvuurwerk	Tijdens de feestdag is vuurwerk en knalvuurwerk verboden
严峻	ernstig	De werkgelegenheidssituatie blijft ernstig
严寒	de bittere kou	Bittere kou beinvloedt het verkeer
严禁	strikt verboden	Roken is hier strikt verboden
严厉	streng	De leraar bekritiseerde hem streng
严密	strak	Het magazijn heeft strakke bewaking
岩石	de rots	De rotsen aan zee zijn zeer hard
延期	uitstellen	De vergadering werd uitgesteld tot volgende week
延伸	zich uitstrekken	De weg strekt zich naar het noorden uit
延续	voortduren	Deze traditie duurt al honderd jaar voort
沿海	kust-	Kuststeden hebben ontwikkelde handel
炎热	heet	Heet weer maakt mensen moe
言论	de uitspraak	Het publiek let op zijn uitspraken
掩盖	verdoezelen	Hij probeerde de fout te verdoezelen
掩护	dekken	Teamgenoten waren verantwoordelijk voor het dekken van de terugtrekking
掩饰	verbergen	Zij probeerde haar zenuwen hard te verbergen
演变	zich ontwikkelen	De stadsindeling blijft zich ontwikkelen
演习	de oefening	De school hield een brandoefening
演绎	afleiden	De leraar leidde deze stelling af
演奏	spelen	De band speelt klassieke muziek
眼光	het inzicht	Hij heeft goed investeringsinzicht
眼色	de blik	Zij gaf haar collega een blik
眼神	de oogopslag	Zijn oogopslag was zeer vastberaden
厌恶	een afkeer hebben van	Hij heeft een afkeer van bedrog
验收	de opleveringskeuring	Na voltooiing moet het project een opleveringskeuring krijgen
验证	verifieren	Het experiment verifieerde de hypothese
氧气	de zuurstof	De patient moet zuurstof inademen
样品	het monster	De klant ontving productmonsters
摇摆	schommelen	Het bootje schommelde in wind en golven
摇滚	de rockmuziek	Jongeren houden van rockmuziek
谣言	het gerucht	Verspreid geen onbevestigde geruchten
遥控	op afstand bedienen	Hij bediende de airco op afstand met zijn telefoon
遥远	ver weg	Dat dorp ligt ver van de stad
耀眼	verblindend	Het zonlicht was verblindend
要点	het kernpunt	Noteer alsjeblieft de kernpunten van de vergadering
要命	levensgevaarlijk	Deze bergweg is levensgevaarlijk
要素	de factor	Vertrouwen is een belangrijke factor in samenwerking
野蛮	bruut	Hij verzet zich tegen bruut optreden van handhavers
野心	de ambitie	Zijn politieke ambitie is duidelijk
液体	de vloeistof	Deze vloeistof heeft geen kleur
一流	eersteklas	Dit ziekenhuis heeft eersteklas apparatuur
一如既往	zoals altijd	Hij steunt ons zoals altijd
依旧	nog steeds	De regen stopte maar de straat was nog steeds nat
依据	de grondslag	Het vonnis moet op de wet zijn gebaseerd
依靠	afhankelijk zijn van	Zij zijn voor hun levensonderhoud afhankelijk van landbouw
依赖	te veel leunen op	Kinderen moeten niet te veel op hun ouders leunen
依托	steunen op	Het project ontwikkelt zich steunend op lokale middelen
衣裳	de kleren	Zij trok schone kleren aan
一度	ooit	Het bedrijf stond ooit voor faillissement
一贯	consequent	Hij is consequent tegen verspilling
一目了然	in een oogopslag duidelijk	De inhoud van de tabel is in een oogopslag duidelijk
一向	altijd	Zij is altijd stipt geweest
仪器	het instrument	Het laboratorium kocht nieuwe instrumenten
仪式	de ceremonie	De afstudeerceremonie vindt morgen plaats
疑惑	verward	De student was verward over het antwoord
遗产	het erfgoed	Deze oude stad is cultureel erfgoed
遗传	erfelijk zijn	Deze ziekte kan erfelijk zijn
遗留	achtergebleven	Problemen die uit de geschiedenis zijn achtergebleven moeten worden opgelost
遗失	verliezen	De reiziger verloor zijn paspoort
以便	zodat	Laat alsjeblieft een telefoonnummer achter zodat wij contact kunnen opnemen
以免	om te voorkomen	Vertrek wat eerder om te voorkomen dat je te laat komt
以往	vroeger	Vroegere ervaring is het raadplegen waard
以至	tot zelfs	De reikwijdte breidde zich uit tot de wijk en zelfs de hele stad
以致	zodat	De zware regen hield aan zodat wegen werden afgesloten
一帆风顺	soepel verlopen	Een bedrijf starten kan niet altijd soepel verlopen
一举两得	twee doelen tegelijk bereiken	Met de fiets naar het werk gaan kan twee doelen tegelijk bereiken
一丝不苟	uiterst nauwgezet	De ingenieur controleerde de bedrading uiterst nauwgezet
亦	ook	Hij stemde ook in met dit plan
异常	afwijkend	Er trad een afwijkende situatie op in het systeem
意料	verwachting	Het resultaat lag volledig buiten de verwachting
意识	beseffen	Hij besefte geleidelijk dat het probleem ernstig was
意图	de bedoeling	De politie doorzag zijn bedoeling
意味着	betekenen	Zwijgen betekent niet instemmen
意向	de intentie	Beide partijen spraken een intentie tot samenwerking uit
意志	de wil	Moeilijkheden testen iemands wil
毅力	het doorzettingsvermogen	Succes vereist langdurig doorzettingsvermogen
毅然	vastberaden	Zij verliet het bedrijf vastberaden
翼	de vleugel	De vleugel van het vliegtuig werd geinspecteerd
阴谋	het complot	Zij onthulden dit complot
音响	de geluidsinstallatie	De woonkamer heeft een goed geluidseffect
引导	begeleiden	De leraar begeleidde leerlingen bij het nadenken
引擎	de motor	De automotor sloeg plotseling af
引用	citeren	Het artikel citeerde veel materiaal
隐蔽	zich verschuilen	De soldaten verscholen zich in het bos
隐患	het verborgen risico	Oude bedrading vormt een verborgen veiligheidsrisico
隐瞒	verzwijgen	Hij verzweeg de waarheid niet
隐私	de privacy	Het bedrijf moet de privacy van gebruikers beschermen
隐约	vaag	In de verte was vaag gezang te horen
饮食	het dieet	Een gezond dieet helpt bij herstel
婴儿	de baby	De baby slaapt rustig
英明	wijs	De leider nam een wijs besluit
英勇	dapper	De brandweerman redde het kind dapper
盈利	winst maken	Het bedrijf begon dit jaar winst te maken
迎面	in het gezicht	Een koude wind blies ons in het gezicht
应酬	de sociale verplichting	Hij heeft vanavond veel sociale verplichtingen
应邀	op uitnodiging	De deskundige nam op uitnodiging deel aan het forum
庸俗	vulgair	De inhoud van deze advertentie is vulgair
拥护	steunen	Iedereen steunt het nieuwe beleid
拥有	bezitten	Hij bezit rijke ervaring
勇于	durven	Jongeren moeten durven proberen
永恒	eeuwig	Liefde is niet eeuwig onveranderlijk
涌现	opkomen	Overal komen uitstekende leraren op
踊跃	enthousiast	Bewoners meldden zich enthousiast aan voor de activiteit
用户	de gebruiker	Gebruikers kunnen hun wachtwoord wijzigen
优胜劣汰	selectie van de sterksten	Marktconcurrentie weerspiegelt selectie van de sterksten
优先	voorrang	Ouderen kunnen voorrang krijgen bij de afhandeling
优异	uitstekend	Zij behaalde uitstekende resultaten
优越	voordelig	Deze plaats heeft een voordelige ligging
忧郁	somber	Zijn uitdrukking leek somber
油腻	vettig	Dit gerecht is te vettig
油漆	de verf	Arbeiders verven de deur
犹如	als	Het meeroppervlak is als een spiegel
有条不紊	ordelijk	De vergadering verliep ordelijk
幼稚	naief	Dit idee is een beetje naief
诱惑	de verleiding	De advertentie zit vol consumptieverleidingen
愚蠢	dom	Dit besluit is uiterst dom
愚昧	onwetend	Onwetende ideeen belemmeren vooruitgang
渔民	de visser	Vissers gaan bij zonsopgang de zee op om te vissen
舆论	de publieke opinie	De publieke opinie heeft grote invloed op de zaak
与日俱增	met de dag toenemen	Het aantal toeristen neemt met de dag toe
宇宙	het heelal	De mensheid blijft het heelal verkennen
羽绒服	de donsjas	In de winter moet je een donsjas dragen
寓言	de fabel	Deze fabel heeft veel opvoedkundige betekenis
愈	steeds meer	De toestand wordt steeds beter
欲望	het verlangen	Hij hield zijn koopverlangen onder controle
熨	strijken	Zij streek het overhemd glad
玉	de jade	Dit stuk jade heeft een warme kleur
预料	de verwachting	De ontwikkeling van de zaak overtrof de verwachting
预期	de verwachting	De omzet bleef onder de verwachting
预算	het budget	Het projectbudget moet worden aangepast
预先	van tevoren	Bereid de materialen van tevoren voor
预言	de voorspelling	Zijn voorspelling kwam niet uit
预兆	het voorteken	Pijn kan een voorteken van ziekte zijn
冤枉	onrecht aandoen	Doe geen onschuldig mens onrecht aan
元首	het staatshoofd	De staatshoofden van beide landen hielden besprekingen
元素	het element	Zuurstof is een chemisch element
元宵节	het Lantaarnfeest	Tijdens het Lantaarnfeest bekijken mensen lantaarns
原告	de eiser	De eiser diende nieuw bewijs in
原理	het principe	De leraar legde het machineprincipe uit
原始	origineel	Zij bewaarden de originele gegevens
原先	oorspronkelijk	Het oorspronkelijke plan is al veranderd
园林	de tuin	De tuinen van Suzhou zijn zeer beroemd
圆满	volledig geslaagd	De vergadering was volledig geslaagd
源泉	de bron	Praktijk is de bron van kennis
缘故	de reden	Hij nam om gezondheidsredenen ontslag
约束	beperken	Het systeem beperkt het gedrag van medewerkers
乐谱	de bladmuziek	Zij las de bladmuziek aandachtig
岳母	de schoonmoeder	Hij bezocht zijn schoonmoeder in het weekend
孕育	voeden	De bodem voedt nieuw leven
蕴藏	bevatten	Het berggebied bevat rijke minerale hulpbronnen
运算	de bewerking	Studenten oefenen wiskundige bewerkingen
运行	draaien	Het systeem draait stabiel
酝酿	overwegen	Beide partijen overwegen een nieuw plan
杂技	de acrobatiek	Kinderen kijken graag naar acrobatiekvoorstellingen
杂交	de kruising	Wetenschappers bestuderen hybride rijst
砸	kapotslaan	De beker sloeg op de vloer kapot
咋	hoezo	Hoezo ben je nog niet terug
栽培	kweken	De tuinman kweekte veel bloemen
灾难	de ramp	Na de ramp begon de stad met wederopbouw
宰	slachten	Tijdens het feest slachten dorpelingen schapen
再接再厉	blijven doorgaan	Na het winnen van een prijs bleef het team doorgaan
在意	geven om	Zij geeft veel om de mening van anderen
攒	sparen	Hij spaart geld om een computer te kopen
暂且	voorlopig	Zet dit probleem voorlopig even opzij
赞叹	bewonderen	Het publiek bewonderde het optreden van de acteur
赞助	sponsoren	Het bedrijf sponsorde deze wedstrijd
糟蹋	verspillen	Verspil dit verse eten niet
遭受	lijden onder	De landbouwgrond leed onder ernstige droogte
遭殃	eronder lijden	Toen de brug instortte leden de omwonenden eronder
遭遇	tegenkomen	Zij kwamen onderweg een sneeuwstorm tegen
噪音	het lawaai	Bouwlawaai verstoort de rust
造型	de vormgeving	Dit automodel heeft een heel eigen vormgeving
责怪	de schuld geven	Geef het kind niet blindelings de schuld
贼	de dief	De politie pakte die dief
增添	toevoegen	Verse bloemen voegen kleur toe aan de kamer
赠送	cadeau geven	De winkel geeft kleine cadeaus
扎	prikken	De verpleegkundige gaf hem een prik
扎实	stevig	Zijn grammaticabasis is stevig
渣	het bezinksel	Er bleef koffiedik op de bodem van de beker liggen
眨	knipperen	Zij knipperde met haar ogen
诈骗	de fraude	De politie loste een telecomfraudezaak op
摘要	de samenvatting	De samenvatting van het artikel is duidelijk geschreven
债券	de obligatie	Beleggers kopen staatsobligaties
沾光	meeprofiteren	Ik profiteerde ook mee via mijn vriend
瞻仰	eerbied betonen	Toeristen betonen eerbied bij het heldenmonument
展示	tonen	Het bedrijf toonde zijn nieuwste product
展望	vooruitblikken	Het rapport blikt vooruit op toekomstige trends
展现	laten zien	Het werk laat het dorpsleven zien
崭新	gloednieuw	Hij kocht een gloednieuwe fiets
斩钉截铁	vastberaden	Zij weigerde vastberaden
占据	innemen	De advertentie nam de hele pagina in
占领	bezetten	Het leger bezette de bergpas
战斗	de strijd	De strijd duurde drie uur
战略	de strategie	Het bedrijf paste zijn ontwikkelingsstrategie aan
战术	de tactiek	De trainer veranderde de wedstrijdtactiek
战役	de veldtocht	Deze veldtocht veranderde de situatie
章程	het reglement	De vereniging keurde een nieuw reglement goed
帐篷	de tent	Zij zetten tenten op bij het meer
障碍	de hindernis	Taalhindernissen beinvloeden communicatie
招标	aanbesteden	Het bouwproject werd openbaar aanbesteed
招收	werven	De school werft dit jaar nieuwe leerlingen
朝气蓬勃	vol energie	Het jonge team is vol energie
着迷	gefascineerd zijn	Het kind is gefascineerd door astronomie
沼泽	het moeras	De expeditie trok door het moeras
照样	gewoon doorgaan	Het regende maar de training ging gewoon door
照耀	schijnen	Zonlicht schijnt op het plein
折腾	klooien	Klooi niet verder met deze oude computer
遮挡	blokkeren	Takken blokkeerden het raam
折	vouwen	Hij vouwde het papier tot een vliegtuig
折磨	kwellen	Langdurige slapeloosheid kwelt haar
侦探	de detective	De detective vond een belangrijke aanwijzing
斟酌	overwegen	Overweeg de formulering zorgvuldig
珍贵	kostbaar	Deze foto's zijn zeer kostbaar
珍稀	zeldzaam	Bescherm zeldzame wilde dieren
珍珠	de parel	Zij draagt pareloorbellen
真理	de waarheid	De praktijk toetst de waarheid
真相	de feitelijke waarheid	De verslaggever probeerde hard de feitelijke waarheid te achterhalen
真挚	oprecht	Zij uitte oprechte dank
枕头	het kussen	Dit kussen is te hoog
振奋	inspireren	Het goede nieuws inspireerde iedereen
振兴	nieuw leven inblazen	De regering blaast het platteland nieuw leven in
镇定	kalm	In een noodsituatie bleef hij kalm
镇静	rustig	De verpleegkundige zei tegen de patient dat hij rustig moest blijven
阵地	de stelling	De soldaten hielden de stelling vast
阵容	de opstelling	Het team maakte de basisopstelling bekend
震撼	indrukwekkend	Deze film is zeer indrukwekkend
震惊	schokken	Het nieuws schokte het hele land
争端	het geschil	Beide partijen probeerden het grensgeschil op te lossen
争夺	strijden om	De twee bedrijven strijden om marktaandeel
争气	zich bewijzen	Hij studeert hard om zich voor zijn familie te bewijzen
争先恐后	naar voren dringen	Toeristen drongen naar voren om in de bus te stappen
争议	de controverse	Dit besluit veroorzaakte controverse
征服	veroveren	De bergbeklimmer veroverde de top
