simplified	AZ	example_AZ
擅长	yaxşı bacarmaq	O, mürəkkəb problemləri həll etməyi yaxşı bacarır.
擅自	icazəsiz	İşçilər icazəsiz iş yerini tərk edə bilməzlər.
伤脑筋	baş ağrıdan	Bu problem həqiqətən baş ağrıdır.
商标	ticarət nişanı	Şirkət yeni ticarət nişanı qeydiyyatdan keçirdi.
上级	yuxarı rəhbərlik	O, vəziyyəti yuxarı rəhbərliyə bildirdi.
上进	inkişaf etməyə həvəsli	O, həmişə inkişaf etməyə həvəsli olub.
上任	vəzifəyə başlamaq	Yeni menecer gələn həftə vəzifəyə başlayacaq.
上瘾	asılı olmaq	Çox adam qısa videolardan asılı olur.
上游	yuxarı axar	Çirklənmə çayın yuxarı axarından gəlir.
尚且	hətta	Hətta böyüklər də səhv edə bilər.
捎	çatdırmaq	Zəhmət olmasa, mənim üçün bir mesaj çatdır.
梢	budaq ucu	Quş ağacın budaq ucunda dayandı.
哨	keşikçi	Qapıda bir keşikçi var.
奢侈	dəbdəbəli	Belə xərcləmə çox dəbdəbəlidir.
舌头	dil	O, dilini yandırdı.
摄氏度	dərəcə Selsi	Bu gün havanın temperaturu otuz dərəcə Selsidir.
涉及	əhatə etmək	Hesabat bir neçə şöbəni əhatə edir.
社区	icma	İcma sağlamlıq mövzusunda mühazirə təşkil etdi.
设立	təsis etmək	Məktəb təqaüd təsis etdi.
设想	fikir	Bu fikir hələ müzakirə edilməlidir.
设置	qurmaq	Zəhmət olmasa, parolu yenidən qur.
呻吟	inildəmək	Xəstə asta səslə inildədi.
深奥	dərin	Bu kitabın məzmunu çox dərindir.
深沉	dərin	Onun səsi alçaq və dərin idi.
深情厚谊	dərin dostluq	İki ölkənin xalqları dərin dostluq qurdu.
申报	bəyan etmək	Sərnişinlər əşyaları doğru şəkildə bəyan etməlidirlər.
绅士	centlmen	O, özünü centlmen kimi aparır.
神经	sinir	Stress sinir sisteminə təsir edə bilər.
神奇	sehrli	Buranın mənzərəsi çox sehrlidir.
神气	gümrah	O, bu gün xüsusilə gümrah görünürdü.
神圣	müqəddəs	Bu müqəddəs bir vəzifədir.
神态	ifadə	Onun üz ifadəsi çox sakit idi.
神仙	əfsanəvi ölməz	Rəvayətə görə, dağlarda əfsanəvi ölməzlər yaşayır.
审查	nəzərdən keçirmək	Platforma yayımlanan məzmunu nəzərdən keçirir.
审理	məhkəmədə baxmaq	Məhkəmə bu işə baxır.
审美	estetik zövq	Onun estetik zövqü çox fərqlidir.
审判	məhkəmə prosesi	Açıq məhkəmə prosesi medianın diqqətini çəkdi.
慎重	ehtiyatlı	Bu qərar ehtiyatla verilməlidir.
渗透	sızmaq	Yağış suyu torpağa yavaş-yavaş sızdı.
声明	bəyanat	Şirkət rəsmi bəyanat yaydı.
声势	güclü təsir	Bu təbliğat kampaniyasının güclü təsiri var.
声誉	nüfuz	Məhsulun keyfiyyəti brendin nüfuzuna təsir edir.
牲畜	mal-qara	Çobanlar mal-qaranı yenidən otlağa apardılar.
生存	sağ qalmaq	Vəhşi heyvanların sağ qalmaq üçün yaşayış sahəsinə ehtiyacı var.
生机	canlılıq	Yaz yağışı torpağı canlılıqla doldurur.
生理	fizioloji	Yuxu insanın fizioloji vəziyyətinə təsir edir.
生疏	yadırğamaq	İllərlə məşq etmədiyi üçün pianoda çalması bir az yadırğayıb.
生态	ekologiya	Meşələrin qorunması ekoloji tarazlıqla bağlıdır.
生物	canlı varlıq	Okeanda çoxlu qəribə canlı varlıqlar var.
生效	qüvvəyə minmək	Yeni qayda sabah rəsmi olaraq qüvvəyə minir.
生肖	Çin bürcü	Sənin Çin bürcün nədir?
生锈	paslanmaq	Velosipedin zənciri artıq paslanıb.
生育	doğum	Xəstəxana doğumla bağlı məsləhət xidməti göstərir.
省会	əyalət paytaxtı	Çendu qədimdən Sıçuanın əyalət paytaxtı olub.
盛产	bol istehsal etmək	Bura keyfiyyətli çayı bol istehsal edir.
盛开	tam çiçək açmaq	Parkdakı sakura ağacları tam çiçək açır.
盛情	səmimi qonaqpərvərlik	Ev sahibinin səmimi qonaqpərvərliyinə görə təşəkkür edirik.
盛行	geniş yayılmaq	Bu üslub bir vaxtlar çox geniş yayılmışdı.
胜负	nəticə	Oyunun son dəqiqəsi nəticəni müəyyən etdi.
失事	qəzaya uğramaq	Təyyarənin qəzaya uğrama səbəbi hələ araşdırılır.
失误	səhv etmək	Kiçik bir səhv layihənin gecikməsinə səbəb oldu.
失踪	itkin düşmək	Polis itkin düşən uşağı axtarır.
尸体	meyit	Xilasetmə qrupu qurbanın meyitini tapdı.
师范	müəllim hazırlığı	O, müəllim hazırlığı universitetini bitirib.
施加	tətbiq etmək	Valideynlər həddindən artıq təzyiq tətbiq etməməlidirlər.
施展	ortaya qoymaq	O, nəhayət istedadını ortaya qoymaq imkanı qazandı.
十足	tam	O, nəticəyə tam əmindir.
实惠	sərfəli	Bu mağazada qiymətlər çox sərfəlidir.
实力	güc	Komandanın ümumi gücü çox yüksəkdir.
实施	həyata keçirmək	Hökumət yeni planı həyata keçirməyə başladı.
实事求是	faktlara əsaslanmaq	Tədqiqat aparanda faktlara əsaslanmaq lazımdır.
实行	tətbiq etmək	Şirkət çevik iş rejimi tətbiq edir.
实质	mahiyyət	Problemin mahiyyəti dəyişməyib.
拾	götürmək	O, yerdəki açarı götürmək üçün əyildi.
时常	tez-tez	Babam gəncliyindəki hadisələri tez-tez danışır.
时而	bəzən	Hava bəzən günəşli, bəzən buludlu olur.
时光	vaxt	Gözəl vaxtlar həmişə qısa görünür.
时机	münasib vaxt	İndi danışıqlar üçün münasib vaxt deyil.
时事	cari hadisələr	Tələbələr hər həftə beynəlxalq cari hadisələri müzakirə edirlər.
石油	neft	Neft qiymətləri yenidən qalxdı.
识别	tanımaq	Sistem müxtəlif üzləri tanıya bilir.
使命	missiya	Ətraf mühiti qorumaq ortaq missiyadır.
世代	nəsildən-nəslə	Bu sənət ailədə nəsildən-nəslə ötürülüb.
事故	qəza	Bu qəzada insan itkisi olmadı.
事迹	əməllər	Onun qəhrəmanlıq əməlləri geniş yayıldı.
事件	hadisə	Bu hadisə cəmiyyətin diqqətini çəkdi.
事态	vəziyyət	Hökumət vəziyyətin inkişafını nəzarətdə saxlayır.
事务	işlər	O, şirkətin gündəlik işlərinə cavabdehdir.
事项	məsələ	Zəhmət olmasa müqavilədəki vacib məsələləri təsdiqləyin.
事业	karyera	O, təhsili ömürlük karyerası kimi görür.
势必	mütləq	Xərclərin artması qiymətlərə mütləq təsir edəcək.
势力	nüfuz	Yerli biznes dairələrinin nüfuzu güclüdür.
是非	mübahisə	O, ofisdəki mübahisələrə qarışmaq istəmir.
示范	nümayiş	Müəllim əvvəlcə bir nümayiş etdi.
示威	nümayiş	Şəhər mərkəzində dinc nümayiş keçirildi.
示意	işarə etmək	Menecer hamıya sakit olmağı işarə etdi.
视力	görmə	Uzun müddət ekrana baxmaq görməyə təsir edə bilər.
视频	video	Zəhmət olmasa videonu mənə göndər.
视线	görüş xətti	Qatı duman sürücünün görüş xəttini bağladı.
视野	dünyagörüş	Səyahət insanın dünyagörüşünü genişləndirə bilər.
试图	cəhd etmək	O, öz qərarını izah etməyə cəhd etdi.
试验	təcrübə	Alimlər çoxlu təcrübə apardılar.
适宜	uyğun	Buranın iqlimi yaşamaq üçün uyğundur.
逝世	vəfat etmək	Bu yazıçı keçən il vəfat etdi.
释放	azad etmək	Məhkəmə müttəhimi azad etmək qərarına gəldi.
收藏	toplamaq	O, çoxlu köhnə marka toplayıb.
收缩	yığılmaq	Soyuq hava metalın yığılmasına səbəb ola bilər.
收益	gəlir	İnvestisiya gəliri gözləniləndən yüksək oldu.
收音机	radio	Nənəm hər gün radio dinləyir.
守护	qorumaq	Həkimlər xəstələrin həyatını qoruyurlar.
手法	üsul	Rejissorun çəkiliş üsulu çox fərqlidir.
手势	jest	O, razılığını jestlə göstərdi.
手艺	ustalıq	Bu ustanın ustalığı çox yaxşıdır.
首饰	zərgərlik əşyası	O, sadə gümüş zərgərlik əşyaları taxmışdı.
首要	başlıca	Təhlükəsizlik başlıca vəzifədir.
受罪	əziyyət çəkmək	Xəstə əməliyyatdan sonra çox əziyyət çəkdi.
授予	təltif etmək	Məktəb onu fəxri dərəcə ilə təltif etdi.
书法	xəttatlıq	O, uşaqlıqdan xəttatlıqla məşğul olur.
书记	partiya katibi	Kənd partiya katibi iclasa sədrlik etdi.
书籍	kitablar	Kitabxanada çoxlu kitablar saxlanılır.
书面	yazılı	Zəhmət olmasa yazılı sübut təqdim edin.
疏忽	səhlənkarlıq	Bu səhv işdəki səhlənkarlıqdan yarandı.
疏远	uzaqlaşmaq	Anlaşılmazlıq iki nəfəri tədricən bir-birindən uzaqlaşdırdı.
舒畅	rahat	Gəzintidən sonra özümü çox rahat hiss etdim.
数额	məbləğ	Kompensasiya məbləği hələ müəyyən edilməyib.
束	dəstə	O, bir dəstə təzə gül aldı.
束缚	məhdudlaşdırmaq	Ənənəvi düşüncələr onun seçimlərini məhdudlaşdırdı.
树立	formalaşdırmaq	Şirkət yaxşı imic formalaşdırmalıdır.
竖	dik qoymaq	Zəhmət olmasa lövhəni dik qoyun.
耍	oynamaq	İş vaxtı telefonda oynama.
衰老	qocalma	İdman qocalmanı ləngidə bilər.
衰退	tənəzzül	İqtisadi tənəzzül məşğulluğa təsir etdi.
率领	rəhbərlik etmək	Kapitan komandaya irəli getməkdə rəhbərlik etdi.
涮火锅	Çin qaynar qazanı yemək	Qışda hamı Çin qaynar qazanı yeməyi sevir.
双胞胎	əkiz	Onlar bir cüt əkizdir.
爽快	açıq və səmimi	O, çox açıq və səmimi cavab verdi.
水利	su təsərrüfatı	Bu bölgə su təsərrüfatı tikintisinə önəm verir.
水龙头	kran	Mətbəxdəki kran su buraxır.
水泥	sement	Fəhlələr sementi tikinti sahəsinə daşıdılar.
瞬间	an	İşıqlar bir anda tam söndü.
司法	məhkəmə sistemi	Məhkəmə sisteminin müstəqilliyi institusional təminat tələb edir.
司令	komandir	Komandir geri çəkilmə əmri verdi.
思念	darıxmaq	O, tez-tez doğma yurdu üçün darıxır.
思索	dərindən düşünmək	O, başını aşağı salıb uzun müddət dərindən düşündü.
思维	düşüncə	Bu məşq məntiqi düşüncəni yaxşılaşdıra bilər.
斯文	nəzakətli	O, çox nəzakətli və yumşaq danışır.
私自	icazəsiz	Şagirdlər məktəbdən icazəsiz çıxa bilməzlər.
死亡	ölüm	Qəza bir neçə nəfərin ölümünə səbəb oldu.
四肢	ətraflar	İdmana başlamazdan əvvəl ətrafları hərəkət etdirmək lazımdır.
寺庙	məbəd	Dağın üstündə qədim bir məbəd var.
肆无忌惮	heç nədən çəkinmədən	O, qaydaları heç nədən çəkinmədən pozdu.
饲养	bəsləmək	Ferma çoxlu süd inəyi bəsləyir.
耸	çiyin çəkmək	O, bunu eşidəndən sonra sadəcə çiyinlərini çəkdi.
艘	gəmi üçün say sözü	Limanda üç yük gəmisi dayanıb.
苏醒	özünə gəlmək	Xəstə nəhayət özünə gəldi.
俗话	atalar sözü	Atalar sözündə deyilir ki, məşq ustalıq yaradır.
塑造	formalaşdırmaq	Mühit insanın xarakterini formalaşdıra bilər.
素食	vegetarian yemək	Bu restoran vegetarian yemək təklif edir.
素质	keyfiyyət	Xidmət personalının keyfiyyəti çox yüksəkdir.
诉讼	məhkəmə iddiası	Hər iki tərəf məsələni məhkəmə iddiası ilə həll etməyə qərar verdi.
算数	sözündə durmaq	Dediyin sözün üstündə durmalısan.
随即	dərhal	İclas bitəndən sonra o, dərhal getdi.
随意	özbaşına	Zəhmət olmasa parametrləri özbaşına dəyişməyin.
岁月	illər	Keçən illər onun simasını dəyişdi.
隧道	tunel	Qatar uzun tuneldən keçdi.
损坏	zədələmək	Güclü yağış yolu zədələdi.
索取	istəmək	Müştərilər nümunələri pulsuz istəyə bilərlər.
索性	sadəcə	Yağış çox güclü idi, ona görə sadəcə evdən çıxmadıq.
塌	uçmaq	Köhnə evin damı uçdu.
踏实	rahat olmaq	Tapşırığı bitirəndən sonra ürəyim rahat oldu.
塔	qüllə	Şəhərin mərkəzində hündür bir qüllə var.
台风	tayfun	Tayfunun sabah sahilə çıxacağı gözlənilir.
太空	kosmos	İnsanlıq daim kosmosu araşdırır.
泰斗	nüfuzlu alim	O, dilçilik sahəsində nüfuzlu alimdir.
摊	piştaxta	O, bazarda meyvə piştaxtası qurdu.
瘫痪	iflic olmaq	Yol qəzası onun aşağı ətraflarının iflic olmasına səbəb oldu.
贪婪	tamahkarlıq	Tamahkarlıq insanı məhv edə bilər.
贪污	korrupsiya	Məmur korrupsiya səbəbilə araşdırıldı.
弹性	elastiklik	Bu materialın elastikliyi yüksəkdir.
坦白	etiraf etmək	O, nəhayət həqiqəti etiraf etdi.
叹气	ah çəkmək	Nəticəni eşidəndə o, özünü saxlaya bilməyib ah çəkdi.
探测	aşkar etmək	Avadanlıq yeraltı suyu aşkar edə bilir.
探索	araşdırmaq	Alimlər kainatı araşdırmağa davam edirlər.
探讨	müzakirə etmək	Ekspertlər islahat planını müzakirə etdilər.
探望	ziyarət etmək	Həftəsonu dostumu ziyarət etmək üçün xəstəxanaya getdim.
倘若	əgər	Əgər yağış yağsa, tədbir təxirə salınacaq.
掏	çıxarmaq	O, cibindən açarı çıxardı.
滔滔不绝	dayanmadan danışmaq	Tarixdən danışanda o, dayanmadan danışır.
淘汰	kənarlaşdırmaq	Bu komanda erkən mərhələdə kənarlaşdırıldı.
陶瓷	keramika	Jingdezhen keramika ilə məşhurdur.
陶醉	valeh olmaq	Tamaşaçılar musiqiyə valeh oldular.
讨好	yaranmaq	O, rəhbərinə qəsdən yaranmaq istəmir.
特长	xüsusi bacarıq	Rəsm çəkmək onun xüsusi bacarığıdır.
特定	müəyyən	Zəhmət olmasa müraciəti müəyyən vaxt ərzində təqdim edin.
特意	xüsusi olaraq	Mən sənə təşəkkür etmək üçün xüsusi olaraq gəldim.
提拔	vəzifədə yüksəltmək	Şirkət onu şöbə müdiri vəzifəsinə yüksəltdi.
提炼	çıxarmaq	Zavod filizdən metal çıxarır.
提示	xatırlatma	Sistem parol daxil etməyi xatırladacaq.
提议	təklif etmək	O, müzakirəni sabah davam etdirməyi təklif etdi.
题材	mövzu	Bu filmin mövzusu yenidir.
体裁	janr	Roman və şeir fərqli janrlardır.
体积	həcm	Bu qutunun həcmi böyükdür.
体谅	anlayış göstərmək	Zəhmət olmasa onun çətinliklərinə anlayış göstərin.
体面	layiqli	O, layiqli bir iş tapmaq istəyir.
体系	sistem	Şirkət tam təlim sistemi qurdu.
天才	dahi	Bu uşaq musiqi dahisi hesab olunur.
天赋	istedad	Onun dil öyrənmək istedadı var.
天伦之乐	ailə səadəti	Yaşlı adam ailə səadətindən zövq alır.
天然气	təbii qaz	Şəhər sakinləri yemək bişirmək üçün təbii qazdan istifadə edirlər.
天生	anadangəlmə	O, anadangəlmə nikbindir.
天堂	cənnət	Bura yer üzündə cənnət kimidir.
天文	astronomiya	O, uşaqlıqdan astronomiyanı sevir.
田径	atletika	Məktəb atletika yarışı keçirdi.
田野	tarla	Yazda tarlalar başdan-başa yaşıl olur.
舔	yalamaq	Köpək sahibinin əlini yaladı.
挑剔	çox seçici	O, yeməkdə çox seçicidir.
条款	maddə	Müqavilə maddələrini diqqətlə oxumaq lazımdır.
条理	nizam	Onun çıxışı çox nizamlı idi.
条约	müqavilə	İki ölkə sülh müqaviləsi imzaladı.
调和	uyğunlaşmaq	Bu iki rəng yaxşı uyğunlaşır.
调剂	tarazlaşdırmaq	İdman gərgin həyatı tarazlaşdıra bilər.
调节	tənzimləmək	Kondisioner otaq temperaturunu tənzimləyə bilər.
调解	vasitəçilik etmək	İcma işçiləri tərəflər arasındakı mübahisədə vasitəçilik etdilər.
调料	ədviyyat	Şorbaya bir az ədviyyat əlavə etmək lazımdır.
挑拨	ara vurmaq	Həmkarlar arasında ara vurma.
挑衅	təxribat	Bu cür sözlərdə açıq təxribat var.
跳跃	tullanmaq	İdmançı ardıcıl üç dəfə tullandı.
亭子	pavilyon	Göl kənarında kiçik bir pavilyon var.
停泊	lövbər salmaq	Balıqçı qayıqları limanda lövbər salıb.
停顿	fasilə vermək	O, danışığın ortasında qısa fasilə verdi.
停滞	durğunluq	Layihə vəsait çatışmazlığı səbəbilə durğunluğa düşdü.
挺拔	dik və uca	Şam ağacları dik və uca böyüyür.
通货膨胀	inflyasiya	İnflyasiya yaşayış xərclərini artırdı.
通缉	axtarışa vermək	Polis bu şübhəlini axtarışa verib.
通俗	sadə və anlaşılan	Bu kitabın dili çox sadə və anlaşılandır.
通讯	rabitə	Müasir rabitə texnologiyaları sürətlə inkişaf edir.
通用	ümumi istifadə olunan	Bu cür şarj cihazı nisbətən ümumi istifadə olunur.
同胞	soydaş	Xaricdəki soydaşlar da doğma yurdun inkişafı ilə maraqlanırlar.
同志	yoldaş	Yaşlı yoldaş iş təcrübəsini bölüşdü.
童话	nağıl	Uşaq yatmazdan əvvəl nağıl dinləməyi sevir.
铜	mis	Bu heykəl misdən hazırlanıb.
统筹兼顾	hərtərəfli nəzərə almaq	Şəhər planlaması bütün tərəflərin maraqlarını hərtərəfli nəzərə almalıdır.
统计	saymaq	Biz qeydiyyatdan keçənlərin sayını saymalıyıq.
统统	hamısı	Bu köhnə sənədlərin hamısı arxivləşdirilməlidir.
统治	hakimiyyət sürmək	Bu sülalə üç yüz il hakimiyyət sürdü.
投机	möhtəkirlik	O, möhtəkirlik yolu ilə xeyli pul qazandı.
投票	səsvermə	Sakinlər sabah səsvermədə iştirak edəcəklər.
投诉	şikayət etmək	Müştəri platformaya satıcıdan şikayət etdi.
投降	təslim olmaq	Düşmən ordusu sonunda təslim olmağı seçdi.
投掷	atmaq	İdmançı nizə atmağı məşq etdi.
透露	açıqlamaq	O, iclasın təfərrüatlarını açıqlamadı.
秃	keçəl	O, gənc yaşında keçəl oldu.
突破	irəliləyiş	Tədqiqat böyük irəliləyiş əldə etdi.
图案	naxış	Bu parçanın naxışı çox gözəldir.
徒弟	şagird	Usta şagirdinə saat təmir etməyi öyrədir.
涂抹	sürtmək	Zəhmət olmasa məlhəmi yaranın ətrafına sürtün.
途径	yol	İnternet məlumat əldə etməyin vacib yoludur.
土壤	torpaq	Münbit torpaq tərəvəz yetişdirmək üçün uyğundur.
团结	birləşmək	Komanda birlikdə işləmək üçün birləşməlidir.
团体	qrup	Bu qrup müntəzəm olaraq tədbirlər keçirir.
团圆	qovuşma	Bahar bayramı ailə qovuşması günüdür.
推测	ehtimal etmək	Ekspertlər qiymətlərin hələ də qalxacağını ehtimal edirlər.
推翻	devirmək	Xalq köhnə sistemi devirdi.
推理	məntiqi nəticə	Bu roman məntiqi nəticə səhnələri ilə doludur.
推论	nəticə çıxarmaq	Bu nəticəni hələ sübutlarla dəstəkləmək lazımdır.
推销	təbliğ edib satmaq	O, yeni məhsulu təbliğ edib satmağa cavabdehdir.
吞吞吐吐	kəkələyərək danışmaq	O, suala cavab verəndə kəkələyərək danışdı.
托运	baqajı təhvil vermək	Sərnişinlər baqajı kassada təhvil verə bilərlər.
拖延	gecikdirmək	Ödəniş vaxtını daha gecikdirmə.
脱离	ayrılmaq	Nəzəriyyə reallıqdan ayrıla bilməz.
妥当	uyğun	Bu düzülüş çox uyğundur.
妥善	düzgün	Zəhmət olmasa vacib sənədləri düzgün saxlayın.
妥协	güzəştə getmək	Tərəflər sonda güzəştə getdilər.
椭圆	ellips	Yerin orbiti ellipsə yaxındır.
唾弃	rədd etmək	Cəmiyyət bu cür saxtakarlığı rədd edir.
哇	vay	Vay, bu körpü doğrudan möhtəşəmdir!
挖掘	qazmaq	Arxeologiya qrupu qədim məzarı qazır.
娃娃	kukla	Kiçik qız bir kukla qucaqlayıb.
瓦解	dağılmaq	Daxili ziddiyyətlər ittifaqın dağılmasına səbəb oldu.
歪曲	təhrif etmək	Xəbərlər faktları təhrif etməməlidir.
外表	xarici görünüş	İnsanları yalnız xarici görünüşə görə mühakimə etmə.
外行	qeyri-mütəxəssis	Hüquq məsələlərində mən tamamilə qeyri-mütəxəssisəm.
外界	xarici dünya	Şirkət xarici dünyanın tənqidlərinə nadir hallarda cavab verir.
外向	ünsiyyətcil	Onun xarakteri ünsiyyətcildir və dostları çoxdur.
丸	həb	Həkim ona bir neçə həb yazdı.
完备	tam	Bu materiallar toplusu çox tamdır.
完毕	başa çatmaq	İclas artıq başa çatıb.
玩弄	oynamaq	Başqalarının hissləri ilə oynama.
玩意儿	şey	Bu nə yeni şeydir?
顽固	inadkar	Onun mövqeyi çox inadkardır.
顽强	mətanətli	Yaralı adam böyük mətanət göstərdi.
惋惜	təəssüflənmək	Hamı uğursuzluğa görə təəssüfləndi.
挽回	bərpa etmək	O, şirkətin itkilərini bərpa etmək üçün çox çalışdı.
挽救	xilas etmək	Həkim xəstənin həyatını uğurla xilas etdi.
万分	son dərəcə	Sənin köməyinə görə son dərəcə minnətdaram.
往常	adi vaxtlar	Bu gün adi vaxtlardan daha istidir.
往事	keçmiş hadisələr	Yaşlı adam tez-tez keçmiş hadisələri xatırlayır.
妄想	boş xəyal qurmaq	O, bir gecədə varlanmağı boş yerə xəyal edir.
危机	böhran	Şirkət ciddi böhranla üzləşir.
威风	əzəmətli	General at üstündə çox əzəmətli görünürdü.
威力	güc	Bu silahın gücü çox böyükdür.
威望	nüfuz	Onun kənddə böyük nüfuzu var.
威信	etibar	Rəhbərlər hökumətin etibarını qorumalıdırlar.
微不足道	cüzi	Bu kiçik itki cüzidir.
微观	mikro	Bu dərs mikroiqtisadiyyatı təqdim edir.
为难	çətin vəziyyətə salmaq	Xidmətçini daha çətin vəziyyətə salma.
为期	davam etmək	Təlim üç ay davam edir.
唯独	təkcə	Hamı gəldi, təkcə o gəlmədi.
维持	qoruyub saxlamaq	Polis hadisə yerində nizamı qoruyub saxladı.
维护	müdafiə etmək	Biz qanuni hüquq və maraqlarımızı müdafiə etməliyik.
维生素	vitamin	Meyvədə bol vitamin var.
违背	zidd olmaq	Bu qərar müqavilənin ruhuna ziddir.
伪造	saxtalaşdırmaq	Kimsə onun imzasını saxtalaşdırıb.
委托	həvalə etmək	Müştəri işi aparmağı vəkilə həvalə etdi.
委员	komitə üzvü	Hər komitə üzvü öz fikrini bildirdi.
卫星	peyk	Peyk planlaşdırılmış orbitə daxil oldu.
喂	yedizdirmək	Uşaq pişik balasını yedizdirir.
慰问	baş çəkmək	Rəhbərlər yaralılara baş çəkmək üçün xəstəxanaya getdilər.
未免	bir az	Bu tələb bir az həddindən artıqdır.
畏惧	qorxmaq	O, çətinliklərdən heç vaxt qorxmur.
蔚蓝	gömgöy	Səma gömgöy rəng aldı.
温带	mülayim qurşaq	Bu bitki mülayim qurşaq iqliminə uyğundur.
温和	mülayim	Onun siyasi mövqeyi nisbətən mülayimdir.
文凭	diplom	Bu iş universitet diplomu tələb edir.
文物	tarixi abidə	Muzey qiymətli tarixi abidələri nümayiş etdirdi.
文献	ədəbiyyat	Məqalə çoxlu ədəbiyyata istinad etdi.
文雅	zərif	Onun davranışı zərifdir.
文艺	ədəbiyyat və incəsənət	Bu şəhərdə ədəbiyyat və incəsənət ab-havası güclüdür.
问世	bazara çıxmaq	Bu telefon modeli tezliklə bazara çıxacaq.
窝	yuva	Ağacda bir quş yuvası var.
乌黑	qapqara	Onun uzun qapqara saçları var.
污蔑	böhtan atmaq	O, rəqibinə böhtan atdığını inkar etdi.
诬陷	şər atmaq	Sübutlar ona şər atıldığını göstərir.
无比	son dərəcə	Xəbəri eşidəndə o, son dərəcə həyəcanlandı.
无偿	pulsuz	Könüllülər pulsuz xidmət göstərirlər.
无耻	utanmaz	Bu cür aldatma davranışı çox utanmazdır.
无动于衷	biganə	Tənqidlə üzləşəndə o, biganə qaldı.
无非	sadəcə	O bunu sadəcə pul qənaət etmək üçün etdi.
无辜	günahsız	Məhkəmə onun günahsız olduğunu müəyyən etdi.
无精打采	süst	O, bu gün çox süst görünür.
无赖	xuliqan	Kəndlilər o xuliqanla əlaqə saxlamaq istəmirlər.
无理取闹	səbəbsiz dava salmaq	Zəhmət olmasa burada səbəbsiz dava salma.
无能为力	əlindən heç nə gəlməmək	Daşqın qarşısında kəndlilərin əlindən heç nə gəlmədi.
无穷无尽	sonsuz	Səhra sonsuz görünürdü.
无微不至	çox qayğıkeş	Tibb bacısı xəstəyə çox qayğıkeş yanaşdı.
无忧无虑	qayğısız	Uşaqlar otluqda qayğısız oynayırdılar.
无知	cəhalət	Cəhalət öyrənməkdən imtina etmək üçün səbəb deyil.
侮辱	təhqir etmək	Onun sözləri qarşı tərəfi təhqir etdi.
武器	silah	Bu silahlar vahid qaydada saxlanılır.
武侠	döyüş sənəti romanı	O, uşaqlıqdan döyüş sənəti romanları oxumağı sevir.
武装	silahlı	Sərhəd bölgəsində silahlı patrullar gücləndirildi.
舞蹈	rəqs	Bu rəqsdə güclü milli xüsusiyyətlər var.
务必	mütləq	Zəhmət olmasa mütləq vaxtında çatın.
物美价廉	keyfiyyətli və ucuz	Bu mağazanın malları keyfiyyətli və ucuzdur.
物业	əmlak idarəsi	Əmlak idarəsi yaşayış kompleksinin təmirinə cavabdehdir.
物资	təchizat	Yardım təchizatı artıq fəlakət bölgəsinə çatdırılıb.
误差	xəta	Ölçmə nəticəsində cüzi xəta var.
误解	anlaşılmazlıq	Tərəflər ünsiyyət vasitəsilə anlaşılmazlığı aradan qaldırdılar.
夕阳	batan günəş	Batan günəş səmanı qızılı rəngə boyadı.
昔日	keçmişdəki	Keçmişdəki kiçik kənd şəhərə çevrildi.
溪	çaycıq	Kiçik çaycıq dağların arasından axır.
熄灭	söndürmək	Zəhmət olmasa şamı söndürün.
牺牲	fədakarlıq etmək	Onlar insanları xilas etmək üçün fədakarlıq etdilər.
膝盖	diz	Onun dizi yaralanıb.
习俗	adət	Bahar bayramının çoxlu ənənəvi adətləri var.
媳妇	həyat yoldaşı	Onun həyat yoldaşı xəstəxanada işləyir.
袭击	hücum etmək	Fırtına sahil şəhərinə hücum etdi.
喜闻乐见	sevilən	Bu cür proqram tamaşaçılar tərəfindən sevilir.
喜悦	sevinc	Onun üzündə sevincli təbəssüm yarandı.
系列	seriya	Şirkət yeni məhsullar seriyası təqdim etdi.
细菌	bakteriya	Yüksək temperatur bakteriyaları öldürə bilər.
细胞	hüceyrə	İnsan bədəni saysız-hesabsız hüceyrədən ibarətdir.
细致	diqqətli	Onun müşahidəsi çox diqqətlidir.
峡谷	kanyon	Çay dərin kanyondan keçir.
狭隘	dar düşüncəli	Bu dar düşüncəli baxış dəyişməlidir.
狭窄	dar	Bu kiçik yol çox dardır.
霞	şəfəq	Axşam şəfəqi səmanı qızartdı.
下属	tabe işçi	Menecer tabe işçilərin fikirlərini diqqətlə dinlədi.
先进	qabaqcıl	Zavod qabaqcıl avadanlıqdan istifadə etdi.
先前	əvvəlki	Əvvəlki plan artıq dəyişib.
掀起	dalğa yaratmaq	Bu kitab müzakirə dalğası yaratdı.
纤维	lif	Bu parçada təbii lif var.
鲜明	aydın	Onun mövqeyi çox aydındır.
嫌	bəyənməmək	O, otağın çox kiçik olduğunu bəyənmir.
嫌疑	şübhə	Bu kişi ciddi şübhə altındadır.
弦	sim	Gitara simlərindən biri qırıldı.
衔接	əlaqələndirmək	İki kursun məzmunu yaxşı əlaqələndirilib.
贤惠	mehriban və bacarıqlı	O, mehriban və bacarıqlı sayılır.
闲话	qeybət	Başqalarının arxasınca qeybət etmə.
显著	əhəmiyyətli	Müalicənin təsiri çox əhəmiyyətlidir.
宪法	konstitusiya	Konstitusiya vətəndaşların əsas hüquqlarını təmin edir.
现场	hadisə yeri	Jurnalistlər artıq qəza hadisəsi yerinə çatmışdılar.
