simplified	MY	example_MY
不免	ရှောင်လွှဲမရသော; မဖြစ်မနေ ဖြစ်သော	ပထမဆုံးစင်မြင့်ပေါ်တက်သောအခါ သူသည် နည်းနည်း စိတ်လှုပ်ရှားမိသည်မှာ ရှောင်လွှဲမရပါ။
不时	မကြာခဏ; အခါအားလျော်စွာ	သူသည် အခါအားလျော်စွာ ခေါင်းမော့ပြီး နာရီကို ကြည့်သည်။
不惜	မတွန့်ဆုတ်ဘဲ; မနှမြောဘဲ	လူကိုကယ်ရန် သူသည် အန္တရာယ်ခံရခြင်းကို မတွန့်ဆုတ်ခဲ့ပါ။
不相上下	အဆင့်တူနီးပါး; မကွာခြားလှသော	အသင်းနှစ်သင်း၏ အင်အားသည် အဆင့်တူနီးပါး ဖြစ်သည်။
不言而喻	ပြောစရာမလိုဘဲ သိသာသော	ရိုးသားမှု၏ အရေးပါမှုသည် ပြောစရာမလိုဘဲ သိသာသည်။
不由得	မထိန်းနိုင်ဘဲ; မိမိအလိုမရှိဘဲ	ဓာတ်ပုံဟောင်းကို မြင်သောအခါ ကျွန်တော် မထိန်းနိုင်ဘဲ ကလေးဘဝကို သတိရမိသည်။
不择手段	နည်းလမ်းမရွေး; အကျင့်မစာရိတ္တမရွေး	သူသည် ငွေရှာရန် နည်းလမ်းမရွေး လုပ်သည်။
不止	ထက်ပိုသော; ရပ်မနေသော	အစည်းအဝေးတက်သူသည် တစ်ရာထက်ပိုသည်။
布告	ကြေညာစာ; ကြေညာချက်	ကျောင်းတံခါးဝတွင် ကြေညာစာတစ်ရွက် ကပ်ထားသည်။
布局	ဖွဲ့စည်းပုံ; အပြင်အဆင်	ဤတိုက်ခန်း၏ ဖွဲ့စည်းပုံသည် အလွန်သင့်လျော်သည်။
布置	စီစဉ်သည်; အလှဆင်သည်; တာဝန်ပေးသည်	ဆရာသည် အိမ်စာအသစ် တာဝန်ပေးခဲ့သည်။
步伐	ခြေလှမ်း; လှုပ်ရှားမှုအရှိန်	အဖွဲ့သည် ညီညာသော ခြေလှမ်းများဖြင့် ရှေ့သို့ ဆက်သွားသည်။
部署	ဖြန့်ကျက်စီစဉ်သည်; ချထားသည်	ကုမ္ပဏီသည် အရောင်းအစီအစဉ်အသစ်ကို ဖြန့်ကျက်စီစဉ်နေသည်။
部位	နေရာ; အစိတ်အပိုင်း	ဆရာဝန်သည် ဒဏ်ရာရသော နေရာကို စစ်ဆေးခဲ့သည်။
才干	စွမ်းရည်; လုပ်ရည်ကိုင်ရည်	သူမသည် စီမံခန့်ခွဲမှုတွင် လုပ်ရည်ကိုင်ရည် အလွန်ရှိသည်။
裁缝	အပ်ချုပ်သမား	ဤအပ်ချုပ်သမား၏ လက်ရာသည် အလွန်ကောင်းသည်။
裁判	ဒိုင်လူကြီး; ဆုံးဖြတ်သည်	ဒိုင်လူကြီးသည် ပြိုင်ပွဲကို ခေတ္တရပ်နားကြောင်း ကြေညာခဲ့သည်။
裁员	ဝန်ထမ်းလျှော့ချသည်	ကုမ္ပဏီသည် ဆုံးရှုံးမှုများကြောင့် ဝန်ထမ်းလျှော့ချရန် ဆုံးဖြတ်ခဲ့သည်။
财富	ချမ်းသာမှု; ဥစ္စာဓန	အသိပညာသည်လည်း ချမ်းသာမှုတစ်မျိုး ဖြစ်သည်။
财务	ဘဏ္ဍာရေးကိစ္စ	ဘဏ္ဍာရေးဌာနသည် စာရင်းများကို စစ်ဆေးနေသည်။
财政	ပြည်သူ့ဘဏ္ဍာရေး; ဘဏ္ဍာရေး	ယခုနှစ် ပြည်သူ့ဘဏ္ဍာရေးဝင်ငွေ တိုးလာခဲ့သည်။
彩票	ထီလက်မှတ်	သူသည် အခါအားလျော်စွာ ထီလက်မှတ်တစ်စောင် ဝယ်တတ်သည်။
采购	ဝယ်ယူသည်; ပစ္စည်းဝယ်ယူသည်	ကုမ္ပဏီသည် စက်ပစ္စည်းဝယ်ယူရန် လူတစ်ယောက်ကို လွှတ်ခဲ့သည်။
采集	စုဆောင်းသည်; ကောက်ယူသည်	သုတေသနပညာရှင်များသည် တောထဲတွင် နမူနာများ စုဆောင်းခဲ့ကြသည်။
采纳	လက်ခံကျင့်သုံးသည်	ခေါင်းဆောင်သည် ကျွန်ုပ်တို့၏ အကြံပြုချက်ကို လက်ခံကျင့်သုံးခဲ့သည်။
参谋	အကြံပေးသည်; အကြံပေးပုဂ္ဂိုလ်	သူသည် မန်နေဂျာအား မကြာခဏ အကြံပေးသည်။
参照	ကိုးကားသည်; အတိုင်းလိုက်နာသည်	ကျေးဇူးပြု၍ ဤပုံစံကို ကိုးကားပြီး ဖောင်ဖြည့်ပါ။
残疾	မသန်စွမ်းသော; မသန်စွမ်းမှု	ဤဘူတာရုံသည် မသန်စွမ်းခရီးသည်များအတွက် အကူအညီ ပေးသည်။
残酷	ရက်စက်သော	စစ်ပွဲသည် အလွန်ရက်စက်သည်။
残留	ကျန်ရှိသည်; ကျန်ရစ်သော	ခွက်ထဲတွင် ကော်ဖီအနံ့ ကျန်ရှိနေသေးသည်။
残忍	ရက်စက်သော; သနားခြင်းမရှိသော	တိရစ္ဆာန်များကို ညှဉ်းပန်းခြင်းသည် ရက်စက်သော အပြုအမူ ဖြစ်သည်။
灿烂	တောက်ပသော; လှပထင်ရှားသော	သူမသည် တောက်ပသော အပြုံးကို ပြခဲ့သည်။
仓促	အလောတကြီးသော	ဤဆုံးဖြတ်ချက်ကို အလွန်အလောတကြီး ချခဲ့သည်။
仓库	ဂိုဒေါင်; ကုန်သိုလှောင်ရုံ	ကုန်ပစ္စည်းများကို ဂိုဒေါင်သို့ ပို့ပြီးပြီ။
舱	ခန်း; လေယာဉ်ခန်း	ခရီးသည်များသည် လေယာဉ်ခန်းထဲသို့ ဝင်နေကြသည်။
苍白	ဖျော့တော့သော	သူ၏မျက်နှာအရောင်သည် အလွန်ဖျော့တော့နေသည်။
操劳	အလုပ်များစွာ ကြိုးစားလုပ်ကိုင်သည်; ပင်ပန်းခံစောင့်ရှောက်သည်	မိခင်သည် ဤမိသားစုအတွက် နှစ်ပေါင်းများစွာ ပင်ပန်းခံစောင့်ရှောက်ခဲ့သည်။
操练	လေ့ကျင့်စစ်ရေးလုပ်သည်; လေ့ကျင့်သည်	စစ်သားများသည် နံနက်တိုင်း လေ့ကျင့်ကြသည်။
操纵	ထိန်းချုပ်မောင်းနှင်သည်; ခြယ်လှယ်သည်	ဤစက်ကို ကွန်ပျူတာဖြင့် ထိန်းချုပ်မောင်းနှင်သည်။
操作	လုပ်ဆောင်သည်; စက်ကို အသုံးပြုမောင်းနှင်သည်	ကျေးဇူးပြု၍ ညွှန်ကြားချက်အတိုင်း စက်ပစ္စည်းကို အသုံးပြုမောင်းနှင်ပါ။
