simplified	SW	example_SW
倾向	mwelekeo	Wateja vijana wana mwelekeo wa kununua mtandaoni.
倾斜	kuinama	Baada ya mvua kubwa, ukuta ulianza kuinama.
清澈	angavu na safi	Kijito mlimani ni angavu na safi sana.
清晨	asubuhi mapema	Hewa ya asubuhi mapema ni safi hasa.
清除	kuondoa	Wafanyakazi waliondoa theluji barabarani.
清洁	safi	Hospitali lazima zidumishe mazingira safi.
清理	kusafisha; kupanga	Tulisafisha ghala mwishoni mwa wiki.
清晰	wazi	Picha hii iko wazi sana.
清醒	macho na makini	Baada ya kunywa kahawa, alikuwa macho na makini zaidi.
清真	halali; ya Kiislamu	Kuna mgahawa wa halali karibu.
情报	taarifa za kijasusi	Mwandishi alipata taarifa muhimu za kijasusi.
情节	mtiririko wa hadithi	Mtiririko wa hadithi ya riwaya ni wa mvutano sana.
情理	busara; mantiki	Ombi lake halina mantiki.
情形	hali	Hali eneo la tukio ilikuwa tata kuliko ilivyotarajiwa.
晴朗	angavu bila mawingu	Anga la leo ni angavu bila mawingu.
请柬	kadi ya mwaliko	Walituma kadi za mwaliko wa harusi kwa jamaa na marafiki.
请教	kuomba ushauri	Ningependa kuomba ushauri wako kuhusu swali moja.
请示	kuomba maelekezo	Jambo hili linahitaji kwanza kuombewa maelekezo kwa kiongozi.
请帖	kadi ya mwaliko	Kadi ya mwaliko wa siku ya kuzaliwa ilikuwa mezani.
丘陵	vilima	Eneo hili lina vilima vingi.
区分	kutofautisha	Mtoto tayari anaweza kutofautisha kushoto na kulia.
区域	eneo	Maegesho yamepigwa marufuku katika eneo hili.
屈服	kusalimu amri	Hakusalimu amri mbele ya shinikizo.
曲折	tata; yenye mikunjo	Walipitia mazungumzo tata.
驱逐	kufukuza	Polisi waliwafukuza watu waliokuwa wakileta fujo.
渠道	njia; mfereji	Kampuni huuza bidhaa kupitia njia mpya.
取缔	kupiga marufuku	Serikali ilipiga marufuku soko haramu.
曲子	melodi	Melodi ya wimbo huu ni nzuri.
趣味	mvuto; furaha	Mchezo huu una mvuto sana.
圈套	mtego	Karibu aingie katika mtego wa tapeli.
全局	hali ya jumla	Viongozi lazima wazingatie maslahi ya hali ya jumla.
全力以赴	kujitahidi kwa nguvu zote	Tutajitahidi kwa nguvu zote kukamilisha kazi.
拳头	ngumi	Alikaza ngumi na kujiandaa kwa mechi.
权衡	kupima	Tunahitaji kupima gharama na athari.
权威	mamlaka; mtaalamu mwenye mamlaka	Profesa huyu ni mtaalamu mwenye mamlaka katika uwanja huu.
犬	mbwa	Aina hii ya mbwa inafaa kulinda nyumba.
缺口	pengo	Kuna pengo dogo ukutani.
缺席	kutokuwepo	Hakuhudhuria mkutano kwa sababu ya ugonjwa.
缺陷	kasoro	Muundo huu una kasoro dhahiri.
瘸	kuchechemea	Mguu wake wa kushoto unachechemea kidogo.
确保	kuhakikisha	Tafadhali hakikisha mlango umefungwa.
确立	kuanzisha	Kampuni ilianzisha malengo mapya ya maendeleo.
确切	sahihi	Sijui muda sahihi.
确信	kuwa na hakika	Nina hakika atafika kwa wakati.
群众	umma	Umma unaunga mkono sera mpya.
染	kupaka rangi	Alipaka nywele zake rangi nyeusi.
嚷	kupiga kelele	Usipige kelele kubwa koridoni.
让步	kutoa mwanya	Pande zote mbili zilitoa mwanya fulani.
饶恕	kusamehe	Hatimaye alichagua kumsamehe mtu mwingine.
扰乱	kuvuruga	Kelele zilivuruga utaratibu wa darasa.
惹祸	kusababisha shida	Kufanya mzaha bila uangalifu kunaweza kusababisha shida kwa urahisi.
热泪盈眶	macho kujaa machozi	Aliposikia habari njema, macho yake yalijaa machozi.
热门	maarufu	Akili bandia ni mada maarufu.
人道	ubinadamu	Operesheni ya uokoaji ilionyesha roho ya ubinadamu.
人格	utu; hadhi	Kuwatusi wengine huharibu hadhi ya mtu.
人工	bandia; kazi ya mikono	Mto huu ulichimbwa kwa kazi ya mikono.
人家	watu wengine	Usijilinganishe kila mara na watu wengine.
人间	ulimwengu wa binadamu	Msimu wa kuchipua hujaza ulimwengu wa binadamu nguvu ya uhai.
人士	watu wa sekta mbalimbali	Watu wa sekta mbalimbali walihudhuria jukwaa la majadiliano.
人为	sababu za kibinadamu	Ajali hii ilisababishwa na sababu za kibinadamu.
人性	asili ya binadamu	Filamu hii inajadili asili ya binadamu.
人质	mateka	Polisi waliwaokoa mateka kwa mafanikio.
仁慈	mwenye huruma	Daktari huyu ana huruma sana kwa wagonjwa.
忍耐	subira	Kusubiri kwenye foleni ndefu kunahitaji subira fulani.
忍受	kuvumilia	Siwezi kuvumilia kelele hapa.
任命	kuteua	Bodi ilimteua kuwa meneja.
任性	kichwa ngumu	Mtoto kuwa kichwa ngumu sana kunaweza kuathiri ukuaji.
任意	kiholela	Tafadhali usibadilishe data kiholela.
任重道远	jukumu zito na safari ndefu	Mageuzi ya elimu yana jukumu zito na safari ndefu.
认定	kubaini	Polisi walibaini kuwa hili lilikuwa ajali.
认可	idhini	Mpango wake ulipata idhini ya kila mtu.
仍旧	bado	Baada ya miaka mingi, bado aliishi hapa.
日新月异	maendeleo ya haraka	Teknolojia inaendelea kwa kasi siku baada ya siku.
日益	zaidi na zaidi	Matatizo ya mazingira yanazidi kuwa makubwa zaidi na zaidi.
容貌	sura	Miaka ilibadilisha sura yake.
容纳	kutosheleza	Ukumbi huu unaweza kutosheleza watu mia tano.
容器	chombo	Tafadhali mimina kioevu ndani ya chombo cha glasi.
容忍	kuvumilia	Kampuni haiwezi kuvumilia udanganyifu.
溶解	kuyeyuka	Chumvi huyeyuka ndani ya maji.
荣幸	heshima kubwa	Ni heshima kubwa kwangu kuhudhuria mkutano.
荣誉	heshima	Nishani hii inawakilisha heshima ya juu zaidi.
融化	kuyeyuka	Mwanga wa jua uliyeyusha barafu na theluji polepole.
融洽	maelewano	Uhusiano kati ya wafanyakazi wenzake una maelewano sana.
揉	kusugua; kukanda	Mama alinisugua mabega kwa upole.
柔和	laini; tulivu	Mwanga ni laini na hauumizi macho.
儒家	falsafa ya Kikonfusio	Falsafa ya Kikonfusio iliathiri utamaduni wa Asia Mashariki.
弱点	udhaifu	Kutokuwa makini ni udhaifu wake mkuu.
若干	kadhaa	Mkutano ulitoa mapendekezo kadhaa.
撒谎	kusema uongo	Watoto hawapaswi kusema uongo.
散文	nathari	Anapenda kusoma nathari ya kisasa.
散布	kusambaza	Mtu fulani alisambaza uvumi mtandaoni.
散发	kutoa; kusambaza	Bustani inatoa harufu safi.
丧失	kupoteza	Hakupoteza imani.
骚扰	kusumbua; kunyanyasa	Tafadhali usiwasumbue abiria wengine.
嫂子	shemeji	Mapishi ya shemeji yangu ni matamu.
刹车	kufunga breki	Dereva alifunga breki ghafla.
啥	nini	Umesema nini sasa hivi?
筛选	kuchuja	Mfumo utachuja wasifu kiotomatiki.
山脉	safu ya milima	Safu hii ya milima ni ndefu sana.
闪烁	kumeta	Taa za mbali ziliendelea kumeta.
擅长	kuwa hodari	Ana uhodari wa kushughulikia matatizo tata.
擅自	bila ruhusa	Wafanyakazi hawaruhusiwi kuondoka kazini bila ruhusa.
伤脑筋	kusumbua kichwa	Tatizo hili kweli linasumbua kichwa.
商标	alama ya biashara	Kampuni ilisajili alama mpya ya biashara.
上级	wakubwa	Aliripoti hali hiyo kwa wakubwa wake.
上进	kujitahidi kuendelea	Yeye daima hujitahidi kuendelea.
上任	kushika wadhifa	Meneja mpya atashika wadhifa wiki ijayo.
上瘾	kuwa mraibu	Watu wengi huwa waraibu wa video fupi.
上游	sehemu ya juu ya mto	Uchafuzi unatoka sehemu ya juu ya mto.
尚且	hata	Hata watu wazima wanaweza kufanya makosa.
捎	kufikisha	Tafadhali nifikishie ujumbe.
梢	ncha ya tawi	Ndege alitua kwenye ncha ya tawi.
哨	filimbi; mlinzi	Kuna mlinzi getini.
奢侈	anasa	Aina hii ya matumizi ni anasa kupita kiasi.
舌头	ulimi	Aliunguza ulimi wake.
摄氏度	nyuzi Selsiasi	Joto la leo ni nyuzi Selsiasi thelathini.
涉及	kuhusisha	Ripoti inahusisha idara kadhaa.
社区	jumuiya	Jumuiya iliandaa mhadhara wa afya.
设立	kuanzisha	Shule ilianzisha ufadhili wa masomo.
设想	wazo; kufikiria	Wazo hili bado linahitaji kujadiliwa.
设置	kuweka; kusanidi	Tafadhali weka upya nenosiri.
呻吟	kuguna	Mgonjwa aliguna kwa sauti ya chini.
深奥	ya kina na ngumu kuelewa	Maudhui ya kitabu hiki ni ya kina na magumu kuelewa.
深沉	nzito na ya kina	Sauti yake ilikuwa ya chini, nzito na ya kina.
深情厚谊	urafiki wa kina	Watu wa nchi hizo mbili waliunda urafiki wa kina.
申报	kutangaza; kuripoti	Abiria wanahitaji kutangaza vitu kwa ukweli.
绅士	muungwana	Anatenda kama muungwana.
神经	neva	Msongo unaweza kuathiri mfumo wa neva.
神奇	ya ajabu	Mandhari ya hapa ni ya ajabu sana.
神气	mwenye hamasa	Leo alionekana mwenye hamasa hasa.
神圣	takatifu	Hili ni jukumu takatifu.
神态	mwonekano wa uso	Mwonekano wa uso wake ulikuwa mtulivu sana.
神仙	kiumbe wa kiroho	Hadithi husema kuwa viumbe wa kiroho huishi milimani.
审查	kukagua; kuhakiki	Jukwaa hukagua maudhui yanayochapishwa.
审理	kusikiliza kesi	Mahakama inasikiliza kesi hii.
审美	ladha ya kisanaa	Ladha yake ya kisanaa ni ya kipekee sana.
审判	kesi; hukumu	Kesi ya wazi ilivutia vyombo vya habari.
慎重	makini; tahadhari	Uamuzi huu lazima ufanywe kwa makini.
渗透	kupenya	Maji ya mvua yalipenya polepole kwenye udongo.
声明	tamko	Kampuni ilitoa tamko rasmi.
声势	msukumo	Kampeni hii ya matangazo ina msukumo mkubwa.
声誉	sifa	Ubora wa bidhaa huathiri sifa ya chapa.
牲畜	mifugo	Wachungaji waliirudisha mifugo malishoni.
生存	kuishi; kunusurika	Wanyama pori wanahitaji nafasi ya kuishi.
生机	nguvu ya uhai	Mvua ya masika huijaza ardhi nguvu ya uhai.
生理	fiziolojia	Usingizi huathiri hali ya fiziolojia ya mtu.
生疏	kutozoea	Baada ya miaka bila mazoezi, upigaji wake wa piano umekuwa wa kutozoea kidogo.
生态	ikolojia	Ulinzi wa misitu unahusiana na usawa wa ikolojia.
生物	kiumbe hai	Kuna viumbe hai wengi wa ajabu baharini.
生效	kuanza kutumika	Kanuni mpya inaanza kutumika rasmi kesho.
生肖	mnyama wa zodiaki ya Kichina	Mnyama wako wa zodiaki ya Kichina ni yupi?
生锈	kushika kutu	Mnyororo wa baiskeli tayari umeshika kutu.
生育	kuzaa; uzazi	Hospitali inatoa huduma za ushauri wa uzazi.
省会	mji mkuu wa mkoa	Chengdu kwa muda mrefu imekuwa mji mkuu wa Mkoa wa Sichuan.
盛产	kuzalisha kwa wingi	Mahali hapa huzalisha chai bora kwa wingi.
盛开	kuchanua kikamilifu	Maua ya sakura bustanini yamechanua kikamilifu.
盛情	ukarimu mkubwa	Tunamshukuru mwenyeji kwa ukarimu mkubwa.
盛行	kuenea sana	Mtindo huu uliwahi kuenea sana.
胜负	ushindi au kushindwa	Dakika ya mwisho ya mechi iliamua ushindi au kushindwa.
失事	kupata ajali	Sababu ya ajali ya ndege bado inachunguzwa.
失误	kosa	Kosa dogo lilisababisha mradi kuchelewa.
失踪	kupotea	Polisi wanamtafuta mtoto aliyepotea.
尸体	maiti	Kikosi cha uokoaji kilipata maiti ya mwathiriwa.
师范	mafunzo ya ualimu	Alihitimu kutoka chuo kikuu cha mafunzo ya ualimu.
施加	kuweka; kushinikiza	Wazazi hawapaswi kuweka shinikizo kupita kiasi.
施展	kutumia kikamilifu	Hatimaye alipata nafasi ya kutumia kipaji chake kikamilifu.
十足	kamili kabisa	Ana uhakika kamili kabisa kuhusu matokeo.
实惠	nafuu; manufaa halisi	Bei za duka hili ni nafuu sana.
实力	nguvu	Uwezo wa jumla wa timu ni mkubwa sana.
实施	kutekeleza	Serikali ilianza kutekeleza mpango mpya.
实事求是	kutafuta ukweli kutokana na mambo halisi	Utafiti unapaswa kutafuta ukweli kutokana na mambo halisi.
实行	kuweka katika vitendo	Kampuni inatumia mfumo rahisi wa kazi.
实质	kiini	Kiini cha tatizo hakijabadilika.
拾	kuokota	Aliinama kuokota ufunguo ardhini.
时常	mara nyingi	Babu mara nyingi huzungumza kuhusu mambo ya ujana wake.
时而	mara kwa mara	Hali ya hewa huwa jua mara moja na mawingu mara nyingine.
时光	nyakati	Nyakati nzuri daima huonekana fupi.
时机	wakati mwafaka	Sasa si wakati mwafaka wa mazungumzo.
时事	mambo ya sasa	Wanafunzi hujadili mambo ya sasa ya kimataifa kila wiki.
石油	petroli; mafuta ghafi	Bei ya mafuta ghafi ilipanda tena.
识别	kutambua	Mfumo unaweza kutambua nyuso tofauti.
使命	dhamira	Kulinda mazingira ni dhamira ya pamoja.
世代	vizazi	Ufundi huu umerithishwa katika familia kwa vizazi.
事故	ajali	Ajali hii haikusababisha majeruhi.
事迹	matendo makubwa	Matendo yake ya kishujaa yalienea sana.
事件	tukio	Tukio hili lilivutia umakini wa umma.
事态	hali	Serikali inadhibiti maendeleo ya hali hiyo.
事务	shughuli	Anawajibika kwa shughuli za kila siku za kampuni.
事项	kifungu; jambo	Tafadhali thibitisha vipengele muhimu katika mkataba.
事业	kazi ya maisha	Anaichukulia elimu kama kazi yake ya maisha.
势必	bila shaka	Gharama kupanda bila shaka zitaathiri bei.
势力	nguvu ya ushawishi	Ushawishi wa biashara za eneo hilo ni mkubwa.
是非	haki na kosa; ugomvi	Hataki kujiingiza katika migogoro ya ofisini.
示范	kuonyesha mfano	Mwalimu kwanza alionyesha mfano.
示威	maandamano	Maandamano ya amani yalifanyika katikati ya jiji.
示意	kuashiria	Meneja aliwaashiria wote wakae kimya.
视力	uwezo wa kuona	Kutazama skrini kwa muda mrefu kunaweza kuathiri uwezo wa kuona.
视频	kanda ya picha	Tafadhali nitumie kanda ya picha.
视线	mstari wa kuona	Ukungu mzito ulizuia mstari wa kuona wa dereva.
视野	upeo wa macho; upeo wa fikra	Kusafiri kunaweza kupanua upeo wa fikra.
试图	kujaribu	Alijaribu kueleza uamuzi wake.
试验	jaribio	Wanasayansi walifanya majaribio mengi.
适宜	kufaa	Hali ya hewa hapa inafaa kuishi.
逝世	kufariki	Mwandishi huyu alifariki mwaka jana.
释放	kuachilia	Mahakama iliamua kumwachilia mshtakiwa.
收藏	kukusanya	Alikusanya stempu nyingi za zamani.
收缩	kusinyaa	Hewa baridi inaweza kusababisha metali kusinyaa.
收益	mapato	Faida za uwekezaji zilikuwa juu kuliko ilivyotarajiwa.
收音机	redio	Bibi husikiliza redio kila siku.
守护	kulinda	Madaktari hulinda maisha ya wagonjwa.
手法	mbinu	Mbinu ya upigaji picha ya mwongozaji ni ya kipekee sana.
手势	ishara ya mkono	Alitumia ishara ya mkono kuonyesha kukubali.
手艺	ufundi	Ufundi wa fundi huyu ni mzuri sana.
首饰	vito	Alivaa vito rahisi vya fedha.
首要	kipaumbele kikuu	Usalama ndio kipaumbele kikuu.
受罪	kuteseka	Mgonjwa aliteseka sana baada ya upasuaji.
授予	kutunuku	Shule ilimtunuku shahada ya heshima.
书法	kaligrafia	Amefanya mazoezi ya kaligrafia tangu utotoni.
书记	katibu	Katibu wa chama wa kijiji aliongoza mkutano.
书籍	vitabu	Maktaba ina idadi kubwa ya vitabu.
书面	kwa maandishi	Tafadhali toa uthibitisho kwa maandishi.
疏忽	uzembe	Kosa hili lilitokana na uzembe kazini.
疏远	kutengana	Kutoelewana kuliwafanya watu hao wawili watengane polepole.
舒畅	kutulia na kufurahi	Baada ya matembezi, nilihisi nimetulia na kufurahi.
数额	kiasi	Kiasi cha fidia bado hakijaamuliwa.
束	fungu	Alinunua fungu la maua.
束缚	kufunga; kuzuia	Mawazo ya jadi yalizuia uchaguzi wake.
树立	kujenga	Kampuni inahitaji kujenga taswira nzuri.
竖	kusimamisha wima	Tafadhali simamisha bango hilo wima.
耍	kuchezea	Usichezee simu yako wakati wa kazi.
衰老	kuzeeka	Mazoezi yanaweza kupunguza kasi ya kuzeeka.
衰退	kushuka	Mdororo wa uchumi uliathiri ajira.
率领	kuongoza	Nahodha aliiongoza timu mbele.
涮火锅	kula hot pot	Wakati wa baridi, kila mtu hupenda kula hot pot.
双胞胎	mapacha	Wao ni jozi ya mapacha.
爽快	wazi na mwepesi	Yeye alijibu kwa uwazi na bila kusita.
水利	miundombinu ya maji	Eneo hili linathamini ujenzi wa miundombinu ya maji.
水龙头	bomba la maji	Bomba la maji jikoni linavuja.
水泥	saruji	Wafanyakazi walipeleka saruji kwenye eneo la ujenzi.
瞬间	ghafla; papo hapo	Taa zote zilizimika papo hapo.
司法	mahakama; haki	Uhuru wa mahakama unahitaji ulinzi wa kitaasisi.
司令	kamanda	Kamanda alitoa amri ya kurudi nyuma.
思念	kumkumbuka	Mara nyingi humkumbuka mji wake wa nyumbani.
思索	kutafakari	Aliinamisha kichwa na kutafakari kwa muda mrefu.
思维	fikra	Mafunzo haya yanaweza kuboresha fikra za kimantiki.
斯文	mstaarabu	Anazungumza kwa namna ya kistaarabu na ya upole.
私自	bila ruhusa	Wanafunzi hawaruhusiwi kuondoka shuleni bila ruhusa.
死亡	kifo	Ajali hiyo ilisababisha vifo kadhaa.
四肢	viungo vinne	Kabla ya kufanya mazoezi, unapaswa kuvishughulisha viungo vyako.
寺庙	hekalu	Kuna hekalu la kale mlimani.
肆无忌惮	bila woga wala aibu	Alivunja sheria bila woga wala aibu.
饲养	kufuga	Shamba linafuga ng'ombe wengi wa maziwa.
耸	kunyanyua mabega	Baada ya kusikia, alinyanyua mabega tu.
艘	kihesabio cha meli	Meli tatu za mizigo zimetia nanga bandarini.
苏醒	kupata fahamu	Mgonjwa hatimaye alipata fahamu.
俗话	msemo wa kawaida	Kama msemo unavyosema, mazoezi huleta ukamilifu.
塑造	kuunda	Mazingira yanaweza kuunda tabia ya mtu.
素食	chakula cha mboga	Mgahawa huu hutoa chakula cha mboga.
素质	ubora wa ndani	Wafanyakazi wa huduma wana ubora wa juu.
诉讼	kesi ya madai	Pande zote mbili ziliamua kulitatua kwa kesi ya madai.
算数	kutimiza ahadi	Unapaswa kutimiza ahadi yako.
随即	mara moja	Baada ya mkutano kuisha, aliondoka mara moja.
随意	kiholela	Tafadhali usibadilishe mipangilio kiholela.
岁月	miaka inayopita	Miaka inayopita ilibadilisha sura yake.
隧道	handaki	Treni ilipita kwenye handaki refu.
损坏	kuharibu	Mvua kubwa iliharibu barabara.
索取	kuomba; kudai	Wateja wanaweza kuomba sampuli bila malipo.
索性	afadhali tu	Mvua ilikuwa kubwa sana, hivyo afadhali hatukutoka.
塌	kuporomoka	Paa la nyumba ya zamani liliporomoka.
踏实	kuwa na utulivu	Baada ya kumaliza kazi, nilihisi utulivu.
塔	mnara	Kuna mnara mrefu katikati ya jiji.
台风	kimbunga	Inatarajiwa kimbunga kitaingia nchi kavu kesho.
太空	anga za juu	Binadamu daima wamechunguza anga za juu.
泰斗	mtaalamu mkuu	Yeye ni mtaalamu mkuu wa isimu.
摊	kibanda cha kuuza	Aliweka kibanda cha matunda sokoni.
瘫痪	kupooza	Ajali ya barabarani iliacha viungo vyake vya chini vimepooza.
贪婪	ulafi	Tamaa ya ulafi inaweza kumwangamiza mtu.
贪污	ufisadi	Afisa huyo alichunguzwa kwa ufisadi.
弹性	unyoofu	Nyenzo hii ina unyoofu mkubwa.
坦白	kukiri ukweli	Hatimaye alikiri ukweli.
叹气	kupiga kite	Kusikia matokeo, hakuweza kujizuia kupiga kite.
探测	kuchunguza	Kifaa kinaweza kuchunguza maji ya chini ya ardhi.
探索	kuchunguza	Wanasayansi wanaendelea kuchunguza ulimwengu.
探讨	kujadili kwa kina	Wataalamu walijadili kwa kina mpango wa mageuzi.
探望	kutembelea	Mwishoni mwa wiki nilienda hospitalini kumtembelea rafiki.
倘若	ikiwa	Ikiwa mvua itanyesha, shughuli itaahirishwa.
掏	kutoa mfukoni	Alitoa ufunguo mfukoni.
滔滔不绝	kuzungumza bila kukoma	Akiwa anazungumzia historia, huzungumza bila kukoma.
淘汰	kuondolewa	Timu hii iliondolewa mapema.
陶瓷	kauri	Jingdezhen ni maarufu kwa kauri.
陶醉	kuvutiwa sana	Watazamaji walivutiwa sana na muziki.
讨好	kujipendekeza	Hataki kujipendekeza kwa makusudi kwa mkuu wake.
特长	uwezo maalumu	Uchoraji ni uwezo wake maalumu.
特定	maalumu	Tafadhali wasilisha ombi ndani ya muda maalumu.
特意	kwa makusudi	Nimekuja kwa makusudi kukushukuru.
提拔	kupandisha cheo	Kampuni ilimpandisha cheo kuwa msimamizi wa idara.
提炼	kusafisha; kuchimba	Kiwanda hutoa metali kutoka madini.
提示	kidokezo	Mfumo utakupa kidokezo cha kuingiza nenosiri.
提议	pendekezo	Alipendekeza kuendelea na mjadala kesho.
题材	mada	Mada ya filamu hii ni mpya.
体裁	aina ya maandishi	Riwaya na mashairi ni aina tofauti za maandishi.
体积	ujazo	Sanduku hili lina ujazo mkubwa.
体谅	kuelewa hali ya mtu	Tafadhali elewa hali ya matatizo yake.
体面	ya heshima	Anataka kupata kazi ya heshima.
体系	mfumo	Kampuni ilijenga mfumo kamili wa mafunzo.
天才	kiboko wa kipaji; jeniasi	Mtoto huyu anachukuliwa kuwa jeniasi wa muziki.
天赋	kipaji cha asili	Ana kipaji cha asili cha kujifunza lugha.
天伦之乐	furaha ya familia	Mzee anafurahia furaha ya familia.
天然气	gesi asilia	Wakazi wa jiji hutumia gesi asilia kupikia.
天生	kiasili	Yeye ni mwenye matumaini kiasili.
天堂	peponi	Mahali hapa ni kama peponi duniani.
天文	astronomia	Amependa astronomia tangu utotoni.
田径	riadha	Shule iliandaa mashindano ya riadha.
田野	mashamba	Mashamba ya masika yote ni ya kijani.
舔	kulamba	Mbwa mdogo alilamba mkono wa mmiliki wake.
挑剔	kuchagua sana	Yeye huchagua sana chakula.
条款	kifungu	Vifungu vya mkataba vinahitaji kusomwa kwa makini.
条理	mpangilio	Hotuba yake ilikuwa na mpangilio mzuri sana.
条约	mkataba	Nchi hizo mbili zilitia saini mkataba wa amani.
调和	kupatana	Rangi hizi mbili zinapatana vizuri.
调剂	kusawazisha	Mazoezi yanaweza kusawazisha maisha yenye shinikizo.
调节	kudhibiti	Kiyoyozi kinaweza kudhibiti joto la ndani.
调解	kupatanisha	Wafanyakazi wa jumuiya walisaidia kupatanisha mzozo kati ya pande hizo mbili.
调料	kiungo cha chakula	Supu inahitaji kuongezwa kiungo kidogo.
挑拨	kuchochea ugomvi	Usichochee ugomvi kati ya wafanyakazi wenzako.
挑衅	uchokozi	Kauli ya aina hii ina uchokozi dhahiri.
跳跃	kuruka	Mwanariadha aliruka mara tatu mfululizo.
亭子	kibanda cha bustani	Kuna kibanda kidogo cha bustani kando ya ziwa.
停泊	kutia nanga	Mashua za uvuvi zimetia nanga bandarini.
停顿	kusita	Alisita kwa muda mfupi alipokuwa akizungumza.
停滞	kwama	Mradi ulikwama kwa sababu ya ukosefu wa fedha.
挺拔	mrefu na wima	Misonobari hukua mirefu na wima.
通货膨胀	mfumuko wa bei	Mfumuko wa bei ulipandisha gharama za maisha.
通缉	kutafutwa na polisi	Polisi wamemtangaza mtuhumiwa huyu kuwa anatafutwa.
通俗	rahisi kueleweka	Lugha ya kitabu hiki ni rahisi kueleweka.
通讯	mawasiliano	Teknolojia ya kisasa ya mawasiliano inaendelea haraka.
通用	kutumiwa kwa wote	Aina hii ya chaja inaweza kutumiwa kwa wote kiasi.
同胞	wazalendo wenzetu	Wazalendo wenzetu walioko ng'ambo pia wanajali maendeleo ya nyumbani.
同志	komredi; mwenzetu	Komredi mzee alishiriki uzoefu wa kazi.
童话	hadithi za watoto	Mtoto hupenda kusikiliza hadithi za watoto kabla ya kulala.
铜	shaba	Sanamu hii imetengenezwa kwa shaba.
统筹兼顾	kupanga kwa ujumla	Mipango ya miji inapaswa kupanga kwa ujumla na kuzingatia maslahi yote.
统计	takwimu; kuhesabu	Tunahitaji kuhesabu idadi ya waliojiandikisha.
统统	zote kabisa	Nyaraka hizi za zamani zinahitaji kuhifadhiwa zote kabisa.
统治	kutawala	Nasaba hii ilitawala kwa miaka mia tatu.
投机	ubashiri wa faida	Alipata kiasi cha pesa kupitia ubashiri wa faida.
投票	kupiga kura	Wakazi watashiriki kupiga kura kesho.
投诉	malalamiko	Mteja aliwasilisha malalamiko dhidi ya mfanyabiashara kwenye jukwaa.
投降	kusalimu amri	Jeshi la adui hatimaye lilichagua kusalimu amri.
投掷	kurusha	Mwanariadha alifanya mazoezi ya kurusha mkuki.
透露	kufichua	Hakufichua maelezo ya mkutano.
秃	upara	Alipata upara akiwa bado kijana.
突破	mafanikio makubwa	Utafiti ulipata mafanikio makubwa.
图案	muundo	Muundo uliopo kwenye kitambaa hiki ni mzuri sana.
徒弟	mwanafunzi wa ufundi	Fundi mkuu anamfundisha mwanafunzi wa ufundi kutengeneza saa.
涂抹	kupaka	Tafadhali paka dawa ya mafuta kuzunguka jeraha.
途径	njia	Intaneti ni njia muhimu ya kupata taarifa.
土壤	udongo	Udongo wenye rutuba unafaa kupanda mboga.
团结	kuungana	Timu lazima iungane na kushirikiana.
团体	kikundi	Kikundi hiki huandaa shughuli mara kwa mara.
团圆	kuungana kwa familia	Sikukuu ya Mwaka Mpya wa Kichina ni wakati wa kuungana kwa familia.
推测	kukisia	Wataalamu wanakisia kuwa bei zitaendelea kupanda.
推翻	kupindua	Watu waliupindua mfumo wa zamani.
推理	hoja za kimantiki	Riwaya hii imejaa sehemu za hoja za kimantiki.
推论	hitimisho la hoja	Hitimisho hili bado linahitaji ushahidi wa kuliunga mkono.
推销	kutangaza bidhaa	Anawajibika kutangaza bidhaa mpya.
吞吞吐吐	kuongea kwa kusitasita	Alijibu swali kwa kuongea kwa kusitasita.
托运	kukabidhi mzigo	Abiria wanaweza kukabidhi mizigo kwenye kaunta.
拖延	kuchelewesha	Usicheleweshe tena muda wa malipo.
脱离	kujitenga	Nadharia haiwezi kujitenga na uhalisia.
妥当	mwafaka	Mpangilio huu ni mwafaka sana.
妥善	vizuri	Tafadhali hifadhi nyaraka muhimu vizuri.
妥协	makubaliano ya kati	Pande hizo mbili hatimaye zilifikia makubaliano ya kati.
椭圆	umbo la mviringo mrefu	Mzingo wa dunia kuzunguka jua uko karibu na umbo la mviringo mrefu.
唾弃	kuchukia na kukataa	Jamii huchukia na kukataa udanganyifu wa aina hii.
哇	jamani	Jamani, daraja hili ni la kuvutia kweli.
挖掘	kuchimba	Timu ya akiolojia inachimba kaburi la kale.
娃娃	mdoli; mtoto mdogo	Msichana mdogo ameshika mdoli.
瓦解	kusambaratika	Migogoro ya ndani ilisababisha muungano kusambaratika.
歪曲	kupotosha	Ripoti hazipaswi kupotosha ukweli.
外表	mwonekano wa nje	Usiwahukumu watu kwa mwonekano wa nje tu.
外行	asiye mtaalamu	Mimi si mtaalamu kabisa katika masuala ya sheria.
外界	ulimwengu wa nje	Kampuni mara chache hujibu ukosoaji kutoka ulimwengu wa nje.
外向	mchangamfu	Ana tabia ya uchangamfu na marafiki wengi.
丸	kidonge	Daktari alimwandikia vidonge kadhaa.
完备	kamili	Seti hii ya nyenzo ni kamili sana.
完毕	kumalizika	Mkutano tayari umemalizika.
玩弄	kuchezea	Usichezee hisia za wengine.
玩意儿	kitu	Hiki ni kitu gani kipya?
顽固	mkaidi	Msimamo wake ni mkaidi sana.
顽强	ustahimilivu	Mjeruhiwa alionyesha ustahimilivu mkubwa.
惋惜	kujuta kwa huzuni	Kila mtu alijuta kwa huzuni kuhusu kushindwa huko.
挽回	kurejesha	Alifanya kazi kwa bidii kurejesha hasara za kampuni.
