simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV
相反	супротан; супротно	Оно што си рекао управо је супротно од онога што сам ја разумео.	nasproten; nasprotno	To, kar si rekel, je ravno nasprotno od tega, kar sem razumel.	priešingas; priešingai	Tai, ką pasakei, yra visiškai priešinga tam, ką supratau.	pretējs; pretēji	Tas, ko tu teici, ir tieši pretējs tam, ko es sapratu.
相同	исти; једнак	Твој бицикл је потпуно исти као мој.	enak; isti	Tvoje kolo je popolnoma enako mojemu.	toks pats; vienodas	Tavo dviratis visiškai toks pat kaip mano.	tāds pats; vienāds	Tavs velosipēds ir pilnīgi tāds pats kā mans.
香	мирисан; укусан	Јело које си скувао дивно мирише!	dišeč; okusen	Jed, ki si jo skuhal, tako lepo diši!	kvapnus; skanus	Tavo pagamintas maistas taip skaniai kvepia!	smaržīgs	Tavs gatavotais ēdiens tik labi smaržo!
详细	детаљан	План који је направила веома је детаљан.	podroben	Načrt, ki ga je naredila, je zelo podroben.	išsamus; detalus	Jos parengtas planas labai išsamus.	detalizēts; sīks	Viņas sagatavotais plāns ir ļoti detalizēts.
响	звучати; звонити	Слушај, да ли је то телефон зазвонио?	zvoniti; zveneti	Poslušaj, ali je zazvonil telefon?	skambėti; suskambėti	Paklausyk, ar suskambo telefonas?	skanēt; zvanīt	Klausies, vai tas bija telefons, kas zvanīja?
橡皮	гумица	Могу ли накратко да позајмим твоју гумицу?	radirka	Ali si lahko za trenutek sposodim tvojo radirko?	trintukas	Ar galiu trumpam pasiskolinti tavo trintuką?	dzēšgumija	Vai es varu uz brīdi aizņemties tavu dzēšgumiju?
消息	вест; информација	Ова вест је заиста узбудљива.	novica; informacija	Ta novica je res vznemirljiva.	naujiena; informacija	Ši naujiena tikrai jaudinanti.	ziņa; informācija	Šī ziņa tiešām ir aizraujoša.
小吃	ужина; грицкалица	Када дођеш у Пекинг, обавезно пробај пекиншке грицкалице.	prigrizek	Ko prideš v Peking, moraš poskusiti pekinške prigrizke.	užkandis	Atvykęs į Pekiną būtinai paragauk Pekino užkandžių.	uzkoda	Atbraucot uz Pekinu, noteikti nogaršo Pekinas uzkodas.
小伙子	младић	Онај младић је веома срдачан.	mladenič; fant	Tisti mladenič je zelo prisrčen.	jaunuolis	Tas jaunuolis labai nuoširdus.	jaunietis	Tas jaunietis ir ļoti sirsnīgs.
小说	роман	Тренутно читам овај роман.	roman	Trenutno berem ta roman.	romanas	Šiuo metu skaitau šį romaną.	romāns	Es pašlaik lasu šo romānu.
效果	ефекат; резултат	Овај лек против прехладе има веома добар ефекат.	učinek; rezultat	To zdravilo proti prehladu ima zelo dober učinek.	poveikis; rezultatas	Šie vaistai nuo peršalimo labai gerai veikia.	iedarbība; rezultāts	Šīm saaukstēšanās zālēm ir ļoti laba iedarbība.
笑话	шала; подсмевати се	Молим те, немој да се подсмеваш другима.	šala; norčevati se	Prosim, ne norčuj se iz drugih.	pokštas; juoktis iš	Prašau nesijuokti iš kitų.	joks; smieties par	Lūdzu, nesmejies par citiem.
心情	расположење	Његово расположење се поправило.	razpoloženje	Njegovo razpoloženje se je izboljšalo.	nuotaika	Jo nuotaika pagerėjo.	noskaņojums	Viņa noskaņojums uzlabojās.
辛苦	напоран; тежак	Татин посао је веома напоран.	naporen; težak	Očetovo delo je zelo naporno.	sunkus; varginantis	Tėčio darbas labai sunkus.	grūts; nogurdinošs	Tēta darbs ir ļoti grūts.
信封	коверта	Ставио је написано писмо у коверту.	ovojnica	Napisano pismo je dal v ovojnico.	vokas	Parašytą laišką jis įdėjo į voką.	aploksne	Viņš ielika uzrakstīto vēstuli aploksnē.
信息	информација; подаци	Молим те, пошаљи ми своје контакт податке.	informacija; podatki	Prosim, pošlji mi svoje kontaktne podatke.	informacija; duomenys	Prašau atsiųsti man savo kontaktinę informaciją.	informācija; ziņa	Lūdzu, atsūti man savu kontaktinformāciju.
信心	поверење; самопоуздање	Имамо много поверења у тебе, сигурно ћеш успети.	zaupanje; samozavest	Vate imamo veliko zaupanja, zagotovo ti bo uspelo.	pasitikėjimas; pasitikėjimas savimi	Mes tavimi labai pasitikime, tau tikrai pavyks.	pārliecība; uzticēšanās	Mēs ļoti ticam tev, tev noteikti izdosies.
兴奋	узбуђен; узбуђење	Деца су, кад су чула да иду на пролећни излет, узбуђено поскочила.	navdušen; vznemirjen	Ko so otroci slišali, da gredo na spomladanski izlet, so navdušeno poskočili.	susijaudinęs; jaudulys	Vaikai, išgirdę, kad eis į pavasario išvyką, susijaudinę pašoko.	sajūsmināts; satraukums	Kad bērni dzirdēja, ka dosies pavasara ekskursijā, viņi sajūsmā palēcās.
行	у реду; може	Да ли је овако у реду?	v redu; sprejemljivo	Je tako v redu?	gerai; tinka	Ar taip gerai?	labi; der	Vai tā der?
醒	пробудити се; бити будан	Пробудио сам се већ у шест ујутру.	zbuditi se; biti buden	Zjutraj sem se zbudil že ob šestih.	pabusti; būti pabudusiam	Ryte pabudau jau šeštą valandą.	pamosties; būt nomodā	Es pamodos jau sešos no rīta.
幸福	срећа; срећан	Новац не може купити срећу.	sreča; srečen	Denar ne more kupiti sreče.	laimė; laimingas	Už pinigus laimės nenupirksi.	laime; laimīgs	Nauda nevar nopirkt laimi.
性别	пол	Молим вас, упишите пол у други ред обрасца.	spol	Prosimo, v drugo vrstico obrazca vpišite spol.	lytis	Prašome antroje formos eilutėje įrašyti lytį.	dzimums	Lūdzu, veidlapas otrajā rindā ierakstiet dzimumu.
性格	карактер; личност	Моја жена има веома добар карактер и никада не губи живце.	osebnost; značaj	Moja žena ima zelo dober značaj in nikoli ne izgubi živcev.	asmenybė; charakteris	Mano žmonos charakteris labai geras, ji niekada nesupyksta.	raksturs	Manai sievai ir ļoti labs raksturs, un viņa nekad nezaudē savaldību.
修理	поправити; поправка	После поправке, мој рачунар поново може нормално да ради.	popraviti; popravilo	Po popravilu lahko moj računalnik spet normalno dela.	taisyti; remontas	Po taisymo mano kompiuteris vėl gali normaliai veikti.	labot; remonts	Pēc remonta mans dators atkal var normāli strādāt.
许多	много	На улици има много канти за смеће.	mnogo	Na ulici je veliko košev za smeti.	daug	Gatvėje yra daug šiukšliadėžių.	daudz	Uz ielas ir daudz atkritumu tvertņu.
学期	семестар	Овог семестра сам изабрао много предмета, укључујући уметност, историју и економију.	semester	Ta semester sem izbral veliko predmetov, vključno z umetnostjo, zgodovino in ekonomijo.	semestras	Šį semestrą pasirinkau daug kursų, įskaitant meną, istoriją ir ekonomiką.	semestris	Šajā semestrī izvēlējos daudz kursu, tostarp mākslu, vēsturi un ekonomiku.
呀	узвик изненађења	Ах, пада снег!	vzklik presenečenja	O, sneži!	dalelytė nuostabai reikšti	O, sninga!	izsauksmes partikula	Ak, snieg!
压力	притисак	У последње време има велики притисак на послу.	pritisk	V zadnjem času ima v službi velik pritisk.	spaudimas	Pastaruoju metu darbe jis patiria didelį spaudimą.	spiediens	Pēdējā laikā viņam darbā ir liels spiediens.
牙膏	паста за зубе	Паста за зубе се потрошила, купимо је сутра.	zobna pasta	Zobne paste je zmanjkalo, kupimo jo jutri.	dantų pasta	Dantų pasta baigėsi, nupirkime rytoj.	zobu pasta	Zobu pasta ir beigusies, nopirksim rīt.
亚洲	Азија	Кина је азијска земља.	Azija	Kitajska je azijska država.	Azija	Kinija yra Azijos šalis.	Āzija	Ķīna ir Āzijas valsts.
严格	строг	Наставник има веома строге захтеве према нама.	strog	Učitelj je do nas zelo strog.	griežtas	Mokytojas mums kelia labai griežtus reikalavimus.	stingrs	Skolotāja prasības pret mums ir ļoti stingras.
严重	озбиљан; тежак	Његова болест је озбиљна.	resen; hud	Njegova bolezen je resna.	rimtas; sunkus	Jo liga rimta.	nopietns; smags	Viņa slimība ir nopietna.
盐	со	Стављено је превише соли, јело је помало слано.	sol	Dodali smo preveč soli, jed je malo slana.	druska	Įdėta per daug druskos, patiekalas šiek tiek sūrus.	sāls	Ir pielikts pārāk daudz sāls, ēdiens ir mazliet sāļš.
研究	истраживати; истраживање	Он тренутно истражује овај проблем.	raziskovati; raziskava	Trenutno raziskuje to težavo.	tyrinėti; tyrimas	Jis šiuo metu tyrinėja šią problemą.	pētīt; pētījums	Viņš pašlaik pēta šo problēmu.
演出	наступ; представа	На првом наступу био је веома нервозан.	nastop; predstava	Na prvem nastopu je bil zelo živčen.	pasirodymas; vaidinimas	Per pirmą pasirodymą jis labai jaudinosi.	uzstāšanās; izrāde	Pirmajā uzstāšanās reizē viņš ļoti nervozēja.
演员	глумац; извођач	Он је познат глумац.	igralec; nastopajoči	Je znan igralec.	aktorius; atlikėjas	Jis yra garsus aktorius.	aktieris; izpildītājs	Viņš ir slavens aktieris.
眼镜	наочаре	Носи црне наочаре.	očala	Nosi črna očala.	akiniai	Jis nešioja juodus akinius.	brilles	Viņš nēsā melnas brilles.
阳光	сунчева светлост	Сунчева светлост је ушла у собу кроз прозор.	sončna svetloba	Sončna svetloba je skozi okno prišla v sobo.	saulės šviesa	Saulės šviesa pro langą pateko į kambarį.	saules gaisma	Saules gaisma pa logu ienāca istabā.
养成	стећи навику; развити	Још од детињства сам стекао ову навику.	razviti; privzgojiti	To navado sem razvil že od otroštva.	išsiugdyti; suformuoti	Šį įprotį išsiugdžiau nuo vaikystės.	izveidot ieradumu	Šo ieradumu esmu izveidojis jau kopš bērnības.
样子	изглед; стил	Ова одећа веома лепо изгледа.	videz; slog	Ta obleka je videti zelo dobro.	išvaizda; stilius	Šis drabužis atrodo labai gerai.	izskats; stils	Šis apģērbs izskatās ļoti labi.
邀请	позвати; позив	Одбио је свачији позив.	povabiti; povabilo	Zavrnil je povabilo vseh.	kviesti; kvietimas	Jis atsisakė visų kvietimų.	aicināt; ielūgums	Viņš atteicās no visiem uzaicinājumiem.
要是	ако	Ако стигнеш први, сачекај ме мало.	če	Če prideš prvi, me malo počakaj.	jeigu	Jeigu ateisi pirmas, šiek tiek manęs palauk.	ja	Ja tu atnāksi pirmais, mazliet mani pagaidi.
钥匙	кључ	Данас сам заборавио да понесем кључ.	ključ	Danes sem pozabil vzeti ključ.	raktas	Šiandien pamiršau pasiimti raktą.	atslēga	Šodien aizmirsu paņemt atslēgu.
也许	можда	Можда више неће доћи.	morda; mogoče	Morda ne bo več prišel.	galbūt; gal	Galbūt jis nebeateis.	varbūt	Varbūt viņš vairs neatnāks.
叶子	лист	Дошло је пролеће и на младим стаблима су израсли нови листови.	list	Prišla je pomlad in mlada drevesa so pognala nove liste.	lapas	Atėjo pavasaris, ir jauni medžiai išleido naujus lapus.	lapa	Ir atnācis pavasaris, un jaunajiem kokiem izaugušas jaunas lapas.
页	страница	Молим вас, окрените на десету страницу.	stran	Prosimo, obrnite na deseto stran.	puslapis	Prašome atsiversti dešimtą puslapį.	lappuse	Lūdzu, atšķiriet desmito lappusi.
一切	све	За све кућне послове одговорна је мама.	vse	Za vse domače zadeve je odgovorna mama.	viskas	Už visus namų reikalus atsakinga mama.	viss	Par visām mājas lietām atbild mamma.
以	узети као; користити као	Молим вас, узмите ову реченицу као пример.	vzeti za; uporabiti kot	Prosimo, vzemite ta stavek za primer.	imti kaip; naudoti kaip	Prašome šį sakinį imti kaip pavyzdį.	ņemt par; izmantot kā	Lūdzu, ņemiet šo teikumu par piemēru.
以为	мислити; веровати	Мислио сам да си већ отишао.	misliti; verjeti	Mislil sem, da si že odšel.	manyti; galvoti	Maniau, kad tu jau išėjai.	domāt; uzskatīt	Es domāju, ka tu jau aizgāji.
意见	мишљење; предлог	Прихватам сва твоја мишљења.	mnenje; predlog	Sprejemam vsa tvoja mnenja.	nuomonė; pasiūlymas	Priimu visas tavo nuomones.	viedoklis; ieteikums	Es pieņemu visus tavus viedokļus.
艺术	уметност	Веома ме занима уметност.	umetnost	Umetnost me zelo zanima.	menas	Man labai įdomus menas.	māksla	Man ļoti interesē māksla.
因此	зато; стога	Био је болестан, зато није дошао на час.	zato; zaradi tega	Bil je bolan, zato ni prišel k pouku.	todėl; dėl to	Jis sirgo, todėl neatėjo į pamoką.	tāpēc; līdz ar to	Viņš bija slims, tāpēc neatnāca uz nodarbību.
引起	изазвати; довести до	Ова ствар је изазвала незадовољство свих.	povzročiti; sprožiti	Ta zadeva je povzročila nezadovoljstvo vseh.	sukelti; lemti	Šis dalykas sukėlė visų nepasitenkinimą.	izraisīt; radīt	Šī lieta izraisīja visu neapmierinātību.
印象	утисак	Оставио је на мене веома добар утисак.	vtis	Name je naredil zelo dober vtis.	įspūdis	Jis man paliko labai gerą įspūdį.	iespaids	Viņš uz mani atstāja ļoti labu iespaidu.
赢	победити	Ко је победио у јучерашњој фудбалској утакмици?	zmagati	Kdo je zmagal na včerajšnji nogometni tekmi?	laimėti	Kas laimėjo vakarykštes futbolo rungtynes?	uzvarēt	Kurš uzvarēja vakardienas futbola spēlē?
应聘	пријавити се за посао	Она жели да се пријави за овај посао.	prijaviti se za službo	Želi se prijaviti za to službo.	kandidatuoti į darbą	Ji nori kandidatuoti į šį darbą.	pieteikties darbam	Viņa vēlas pieteikties šim darbam.
勇敢	храбар	Мој старији брат је веома храбар човек.	pogumen	Moj starejši brat je zelo pogumen človek.	drąsus	Mano vyresnysis brolis yra labai drąsus žmogus.	drosmīgs	Mans vecākais brālis ir ļoti drosmīgs cilvēks.
永远	заувек; увек	Никада нећу заборавити твоју помоћ.	za vedno; nikoli	Ne bom nikoli pozabil tvoje pomoči.	amžinai; visada	Niekada nepamiršiu tavo pagalbos.	mūžīgi; vienmēr	Es nekad neaizmirsīšu tavu palīdzību.
优点	предност; врлина	Човек не треба да пореди своје мане са туђим врлинама.	prednost; dobra lastnost	Človek ne sme primerjati svojih pomanjkljivosti s prednostmi drugih.	privalumas; stiprioji pusė	Žmogus neturėtų lyginti savo trūkumų su kitų privalumais.	priekšrocība; stiprā puse	Cilvēkam nevajadzētu salīdzināt savus trūkumus ar citu priekšrocībām.
优秀	одличан; изузетан	Он је изузетан лекар.	odličen; izjemen	Je odličen zdravnik.	puikus; išskirtinis	Jis yra puikus gydytojas.	izcils; lielisks	Viņš ir izcils ārsts.
幽默	духовит; хумор	Професор Ли говори веома духовито.	duhovit; humor	Profesor Li govori zelo duhovito.	humoristiškas; humoras	Profesorius Li kalba labai humoristiškai.	humoristisks; humors	Profesors Li runā ļoti humoristiski.
尤其	нарочито; посебно	Воли да слика, нарочито кинеске слике.	še posebej; zlasti	Rad slika, še posebej kitajsko slikarstvo.	ypač; itin	Jis mėgsta tapyti, ypač kinų tapybą.	īpaši; sevišķi	Viņam patīk gleznot, īpaši ķīniešu glezniecību.
由	од стране; преко	Ову активност организујемо ми.	s strani; po	To dejavnost organiziramo mi.	per; pagal	Šį renginį organizuojame mes.	no; ar	Šo pasākumu organizējam mēs.
由于	због; услед	Због кише, утакмица је одложена.	zaradi	Zaradi dežja je bila tekma prestavljena.	dėl	Dėl lietaus varžybos atidėtos.	dēļ	Lietus dēļ spēle tika atlikta.
邮局	пошта	Пошта се отвара у девет ујутру.	pošta	Pošta se odpre ob devetih zjutraj.	paštas	Paštas atsidaro devintą ryto.	pasts	Pasts tiek atvērts deviņos no rīta.
友好	пријатељски; љубазан	Мој станодавац је веома љубазан и често ми помаже.	prijazen	Moj najemodajalec je zelo prijazen in mi pogosto pomaga.	draugiškas	Mano nuomotojas labai draugiškas ir dažnai man padeda.	draudzīgs	Mans saimnieks ir ļoti draudzīgs un bieži man palīdz.
友谊	пријатељство	Међу нама постоји дубоко пријатељство.	prijateljstvo	Med nami je globoko prijateljstvo.	draugystė	Tarp mūsų yra gili draugystė.	draudzība	Starp mums ir dziļa draudzība.
有趣	занимљив	Ово је заиста занимљив сан!	zanimiv	To so res zanimive sanje!	įdomus	Tai tikrai įdomus sapnas!	interesants	Tas tiešām ir interesants sapnis!
于是	зато; стога	Хтео сам нешто да га питам, зато сам га позвао телефоном.	zato; potem	Nekaj sem ga hotel vprašati, zato sem ga poklical.	todėl	Norėjau jo kai ko paklausti, todėl jam paskambinau.	tāpēc	Es gribēju viņam kaut ko pajautāt, tāpēc piezvanīju.
愉快	пријатан; весео	Желим ти пријатан викенд!	prijeten; vesel	Želim ti prijeten konec tedna!	malonus; linksmas	Linkiu tau malonaus savaitgalio!	patīkams; priecīgs	Novēlu tev patīkamu nedēļas nogali!
与	са	Веома је самоуверен и воли да се такмичи са другима.	z	Zelo je samozavesten in rad tekmuje z drugimi.	su	Jis labai pasitiki savimi ir mėgsta varžytis su kitais.	ar	Viņš ir ļoti pārliecināts par sevi un labprāt sacenšas ar citiem.
羽毛球	бадминтон	Да ли често играш бадминтон?	badminton	Ali pogosto igraš badminton?	badmintonas	Ar dažnai žaidi badmintoną?	badmintons	Vai tu bieži spēlē badmintonu?
语法	граматика	Научио сам нешто основног знања из граматике.	slovnica	Naučil sem se nekaj osnov slovnice.	gramatika	Išmokau šiek tiek pagrindinės gramatikos.	gramatika	Es apguvu dažas gramatikas pamatzināšanas.
语言	језик	За учење једног језика потребно је нешто разумевања његове граматике.	jezik	Pri učenju jezika je potrebno nekaj razumevanja njegove slovnice.	kalba	Mokantis kalbos reikia šiek tiek suprasti jos gramatiką.	valoda	Mācoties valodu, ir vajadzīga zināma izpratne par tās gramatiku.
预习	припремити лекцију	Молим вас, добро припремите текст унапред.	pripraviti se na učno snov	Prosimo, dobro se pripravite na besedilo.	pasiruošti pamokai	Prašome gerai iš anksto pasiruošti tekstui.	sagatavoties stundai	Lūdzu, rūpīgi sagatavojieties tekstam.
原来	првобитан; исти као раније	И даље живим на истом месту као раније.	prvoten; isti kot prej	Še vedno živim na istem kraju kot prej.	ankstesnis; toks kaip anksčiau	Aš vis dar gyvenu toje pačioje vietoje kaip anksčiau.	sākotnējais; tāds pats kā agrāk	Es joprojām dzīvoju tajā pašā vietā kā agrāk.
原谅	опростити	Молим те, опрости ми оно што сам малопре рекао.	oprostiti	Prosim, oprosti mi, kar sem pravkar rekel.	atleisti	Prašau atleisk man už tai, ką ką tik pasakiau.	piedot	Lūdzu, piedod man to, ko tikko teicu.
原因	разлог; узрок	Врло јасно је објаснио разлог.	razlog; vzrok	Razlog je razložil zelo jasno.	priežastis	Jis labai aiškiai paaiškino priežastį.	iemesls; cēlonis	Viņš ļoti skaidri izskaidroja iemeslu.
约会	састанак; излазак	Почела је да се забавља са Сјао Лијем.	zmenek; sestanek	Začela je hoditi z Xiaom Lijem.	pasimatymas; susitikimas	Ji pradėjo susitikinėti su Siao Li.	randiņš; tikšanās	Viņa sāka satikties ar Sjao Li.
阅读	читати; читање	Тренутно читам овај роман.	brati; branje	Trenutno berem ta roman.	skaityti; skaitymas	Šiuo metu skaitau šį romaną.	lasīt; lasīšana	Es pašlaik lasu šo romānu.
云	облак	На небу је све више облака.	oblak	Na nebu je vse več oblakov.	debesis	Danguje vis daugiau debesų.	mākonis	Debesīs ir arvien vairāk mākoņu.
允许	дозволити	Молим вас, дозволите ми да се представим.	dovoliti	Prosim, dovolite mi, da se predstavim.	leisti	Prašome leisti man prisistatyti.	atļaut	Lūdzu, atļaujiet man iepazīstināt ar sevi.
杂志	часопис	Сви чланци у овом часопису су добро написани.	revija	Vsi članki v tej reviji so dobro napisani.	žurnalas	Visi šio žurnalo straipsniai gerai parašyti.	žurnāls	Visi šajā žurnālā esošie raksti ir labi uzrakstīti.
咱们	ми; нас	Колики су наши трошкови живота овог месеца?	mi; nas	Koliko znašajo naši življenjski stroški ta mesec?	mes; mus	Kokios mūsų pragyvenimo išlaidos šį mėnesį?	mēs; mūs	Cik lieli ir mūsu dzīvošanas izdevumi šomēnes?
暂时	привремено	Привремено је паркирао ауто поред пута.	začasno	Avto je začasno parkiral ob cesti.	laikinai	Jis laikinai pastatė automobilį kelkraštyje.	uz laiku; pagaidām	Viņš uz laiku novietoja mašīnu ceļa malā.
脏	прљав	Случајно сам испрљао одећу.	umazan	Po nesreči sem umazal oblačila.	purvinas	Netyčia ištepiau drabužius.	netīrs	Es nejauši nosmērēju drēbes.
责任	одговорност; дужност	Сви смо одговорни за ову ствар.	odgovornost; dolžnost	Za to zadevo smo odgovorni vsi.	atsakomybė; pareiga	Už šį dalyką esame atsakingi visi.	atbildība; pienākums	Mēs visi esam atbildīgi par šo lietu.
增加	повећати се; повећати	Број ученика се ове године повећао.	povečati se; povečati	Število učencev se je letos povečalo.	padidėti; padidinti	Šiemet mokinių skaičius padidėjo.	palielināties; palielināt	Šogad skolēnu skaits ir palielinājies.
占线	заузето; заузета линија	Звао сам неколико пута заредом, али му је телефон сваки пут био заузет.	zasedeno; zasedena linija	Večkrat zapored sem poklical, vendar je bil njegov telefon ves čas zaseden.	užimta linija	Skambinau kelis kartus iš eilės, bet jo telefonas vis buvo užimtas.	aizņemta līnija	Es zvanīju vairākas reizes pēc kārtas, bet viņa telefons visu laiku bija aizņemts.
招聘	запошљавати; регрутација	Компанија тренутно запошљава нове раднике.	zaposlovati; zaposlovanje	Podjetje trenutno zaposluje nove delavce.	samdyti; įdarbinimas	Įmonė šiuo metu samdo naujus darbuotojus.	pieņemt darbā; personāla atlase	Uzņēmums pašlaik pieņem darbā jaunus darbiniekus.
照	према; пратити	Ради према овом плану.	po; slediti	Naredi po tem načrtu.	pagal; laikytis	Daryk pagal šį planą.	pēc; sekot	Dari pēc šī plāna.
真正	прави; истински	Прави пријатељ ће ти помоћи када наиђеш на тешкоће.	pravi; resničen	Pravi prijatelj ti bo pomagal, ko naletiš na težave.	tikras	Tikras draugas padės tau, kai susidursi su sunkumais.	īsts; patiess	Īsts draugs tev palīdzēs, kad sastapsies ar grūtībām.
整理	средити; уредити	Молим вас, средите књиге на столу.	pospraviti; urediti	Prosimo, pospravite knjige na mizi.	sutvarkyti; surikiuoti	Prašome sutvarkyti knygas ant stalo.	sakārtot	Lūdzu, sakārtojiet grāmatas uz galda.
正常	нормалан	После поправке, мој рачунар поново може нормално да ради.	normalen	Po popravilu lahko moj računalnik spet normalno dela.	normalus	Po taisymo mano kompiuteris vėl gali normaliai veikti.	normāls	Pēc remonta mans dators atkal var normāli strādāt.
正好	управо; баш	Оно што си рекао управо је супротно од онога што сам ја разумео.	ravno; točno	To, kar si rekel, je ravno nasprotno od tega, kar sem razumel.	kaip tik; tiksliai	Tai, ką pasakei, yra kaip tik priešinga tam, ką supratau.	tieši; kā reiz	Tas, ko tu teici, ir tieši pretējs tam, ko es sapratu.
正确	тачан; исправан	Твоја процена је потпуно тачна.	pravilen; točen	Tvoja presoja je popolnoma pravilna.	teisingas; tikslus	Tavo sprendimas visiškai teisingas.	pareizs	Tavs spriedums ir pilnīgi pareizs.
正式	званичан; формалан	Такмичење сада званично почиње.	uraden; formalen	Tekma se zdaj uradno začne.	oficialus; formalus	Dabar varžybos oficialiai prasideda.	oficiāls; formāls	Tagad sacensības oficiāli sākas.
证明	доказати; доказ	Чињенице доказују да је он у праву.	dokazati; dokaz	Dejstva dokazujejo, da ima prav.	įrodyti; įrodymas	Faktai įrodo, kad jis teisus.	pierādīt; pierādījums	Fakti pierāda, ka viņam ir taisnība.
之	од; један од	Ово је један део кинеске културе.	od; eden od	To je eden od delov kitajske kulture.	iš; vienas iš	Tai yra viena iš Kinijos kultūros dalių.	no; viens no	Tā ir viena no Ķīnas kultūras daļām.
支持	подржати; подршка	Нас двоје треба да подржавамо једно друго.	podpirati; podpora	Midva se morava medsebojno podpirati.	palaikyti; parama	Mes abu turime palaikyti vienas kitą.	atbalstīt; atbalsts	Mums abiem jāatbalsta vienam otrs.
知识	знање	Читањем сам стекао много знања.	znanje	Z branjem sem pridobil veliko znanja.	žinios	Skaitydamas įgijau daug žinių.	zināšanas	Lasot es ieguvu daudz zināšanu.
值得	вредети	Овај роман вреди прочитати.	biti vreden	Ta roman je vredno prebrati.	vertas; verta	Šį romaną verta perskaityti.	būt vērts	Šo romānu ir vērts izlasīt.
植物	биљка	Овој врсти биљке потребно је много сунчеве светлости.	rastlina	Ta vrsta rastline potrebuje veliko sončne svetlobe.	augalas	Šiai augalų rūšiai reikia daug saulės šviesos.	augs	Šai augu sugai vajag daudz saules gaismas.
直接	директан; право	После посла је отишао право кући.	neposreden; naravnost	Po službi je šel naravnost domov.	tiesioginis; tiesiai	Po darbo jis nuėjo tiesiai namo.	tiešs; taisni	Pēc darba viņš devās taisni mājās.
职业	занимање; професија	Које је твоје идеално занимање?	poklic; profesija	Kateri je tvoj idealni poklic?	profesija; karjera	Kokia yra tavo ideali profesija?	profesija; nodarbošanās	Kāda ir tava ideālā profesija?
只好	морати; немати избора	Киша је падала превише јако, па смо морали да останемо код куће.	morati; ne imeti izbire	Dež je bil premočan, zato smo morali ostati doma.	neturėti kitos išeities	Lietus buvo toks stiprus, kad turėjome likti namuose.	nebūt citas izvēles kā	Lietus lija tik stipri, ka mums nācās palikt mājās.
只要	све док; само ако	Све док се трудиш, сигурно ћеш добро урадити ову ствар.	dokler; če le	Dokler se trudiš, boš to zagotovo dobro opravil.	kol tik; jei tik	Jei tik stengsiesi, tikrai galėsi tai gerai padaryti.	ja vien; kamēr	Ja vien centīsies, tu noteikti spēsi to labi izdarīt.
指	показати; указати	Хвала ти што си указао на моју грешку.	pokazati; opozoriti	Hvala, ker si me opozoril na mojo napako.	parodyti; nurodyti	Ačiū, kad nurodei mano klaidą.	norādīt; rādīt	Paldies, ka norādīji uz manu kļūdu.
至少	најмање; бар	Ова зграда је висока најмање сто метара.	vsaj	Ta stavba je visoka vsaj sto metrov.	mažiausiai; bent	Šis pastatas yra bent šimto metrų aukščio.	vismaz	Šī ēka ir vismaz simt metru augsta.
质量	квалитет	Квалитет ових ципела је веома добар.	kakovost	Kakovost teh čevljev je zelo dobra.	kokybė	Šių batų kokybė labai gera.	kvalitāte	Šo apavu kvalitāte ir ļoti laba.
重	тежак	Ова кутија је веома тешка.	težek	Ta škatla je zelo težka.	sunkus	Ši dėžė labai sunki.	smags	Šī kaste ir ļoti smaga.
重点	суштина; главна тачка	Оно што је малопре рекао јесте суштина проблема.	glavna točka; bistvo	To, kar je pravkar povedal, je bistvo problema.	esmė; pagrindinis dalykas	Tai, ką jis ką tik pasakė, yra problemos esmė.	galvenais punkts; būtība	Tas, ko viņš tikko teica, ir problēmas būtība.
重视	ценити; придавати важност	Родитељи веома цене образовање своје деце.	ceniti; pripisovati pomen	Starši zelo cenijo izobrazbo svojih otrok.	vertinti; teikti svarbą	Tėvai labai vertina vaikų išsilavinimą.	novērtēt; piešķirt nozīmi	Vecāki ļoti novērtē bērnu izglītību.
周围	око; околина	Око школе има много продавница.	okoli; okolica	Okoli šole je veliko trgovin.	aplink; aplinka	Aplink mokyklą yra daug parduotuvių.	ap; apkārtne	Ap skolu ir daudz veikalu.
主意	идеја; план	Ако имаш добру идеју, реци да чујемо.	ideja; načrt	Če imaš dobro idejo, jo povej, da jo slišimo.	idėja; sumanymas	Jei turi gerą idėją, pasakyk, paklausysime.	ideja; plāns	Ja tev ir laba ideja, pastāsti, paklausīsimies.
祝贺	честитати; честитке	Честитам вам на добрим резултатима.	čestitati; čestitke	Čestitam vam za dobre rezultate.	sveikinti; sveikinimai	Sveikinu jus pasiekus gerų rezultatų.	apsveikt; apsveikumi	Apsveicu jūs ar labiem rezultātiem.
著名	познат; славан	Он је познат глумац.	znan; slaven	Je znan igralec.	žymus; garsus	Jis yra garsus aktorius.	slaven; pazīstams	Viņš ir slavens aktieris.
专门	посебно; нарочито	Дошао сам посебно да те видим.	posebej; namensko	Prišel sem posebej, da te vidim.	specialiai; konkrečiai	Atėjau specialiai tavęs pamatyti.	īpaši; speciāli	Es atnācu speciāli tevi apraudzīt.
专业	струка; смер	На универзитету студирам право.	smer; stroka	Na univerzi študiram pravo.	specialybė; studijų kryptis	Universitete studijuoju teisę.	specialitāte; studiju virziens	Universitātē studēju tiesību zinātni.
