simplified	VI	example_VI
生理	sinh lý	Giấc ngủ ảnh hưởng đến trạng thái sinh lý của con người.
生疏	lạ lẫm	Nhiều năm không luyện, đàn piano của anh ấy hơi lạ lẫm.
生态	sinh thái	Bảo vệ rừng liên quan đến cân bằng sinh thái.
生物	sinh vật	Trong đại dương có nhiều sinh vật kỳ lạ.
生效	có hiệu lực	Quy định mới chính thức có hiệu lực vào ngày mai.
生肖	con giáp	Con giáp của bạn là gì?
生锈	gỉ	Sợi xích xe đạp đã gỉ rồi.
生育	sinh sản	Bệnh viện cung cấp dịch vụ tư vấn sinh sản.
省会	thủ phủ tỉnh	Thành Đô từ xưa đã là thủ phủ tỉnh Tứ Xuyên.
盛产	sản xuất nhiều	Nơi này sản xuất nhiều trà chất lượng cao.
盛开	nở rộ	Hoa anh đào trong công viên đang nở rộ.
盛情	thịnh tình	Chúng tôi cảm ơn sự tiếp đãi thịnh tình của chủ nhà.
盛行	thịnh hành	Phong cách này từng rất thịnh hành.
胜负	thắng thua	Phút cuối của trận đấu quyết định thắng thua.
失事	gặp nạn	Nguyên nhân máy bay gặp nạn vẫn đang được điều tra.
失误	sai sót	Một sai sót nhỏ khiến dự án bị trì hoãn.
失踪	mất tích	Cảnh sát đang tìm kiếm đứa trẻ mất tích.
尸体	thi thể	Đội cứu hộ phát hiện thi thể nạn nhân.
师范	sư phạm	Cô ấy tốt nghiệp đại học sư phạm.
施加	gây	Cha mẹ không nên gây áp lực quá lớn.
施展	phát huy	Cuối cùng anh ấy có cơ hội phát huy tài năng.
十足	tràn đầy	Anh ấy tràn đầy tự tin về kết quả.
实惠	phải chăng	Giá ở cửa hàng này rất phải chăng.
实力	thực lực	Thực lực tổng thể của đội bóng rất mạnh.
实施	thực thi	Chính phủ bắt đầu thực thi phương án mới.
实事求是	thực sự cầu thị	Làm nghiên cứu phải thực sự cầu thị.
实行	thực hiện	Công ty thực hiện chế độ làm việc linh hoạt.
实质	thực chất	Thực chất của vấn đề chưa thay đổi.
拾	nhặt	Anh ấy cúi xuống nhặt chìa khóa trên mặt đất.
时常	thường xuyên	Ông nội thường xuyên kể chuyện thời trẻ.
时而	lúc thì	Thời tiết lúc thì nắng, lúc thì âm u.
时光	thời gian	Thời gian tốt đẹp luôn cảm thấy rất ngắn.
时机	thời cơ	Bây giờ không phải thời cơ tốt để đàm phán.
时事	thời sự	Học sinh thảo luận thời sự quốc tế mỗi tuần.
石油	dầu mỏ	Giá dầu mỏ lại tăng.
识别	nhận diện	Hệ thống có thể nhận diện các khuôn mặt khác nhau.
使命	sứ mệnh	Bảo vệ môi trường là sứ mệnh chung.
世代	đời đời	Nghề thủ công này được truyền đời trong gia tộc.
事故	tai nạn	Vụ tai nạn này không có thương vong.
事迹	sự tích anh hùng	Sự tích anh hùng của anh ấy được lưu truyền rộng rãi.
事件	sự kiện	Sự kiện lần này thu hút sự chú ý của xã hội.
事态	tình hình	Chính phủ đang kiểm soát diễn biến tình hình.
事务	công việc	Cô ấy phụ trách công việc hằng ngày của công ty.
事项	hạng mục	Vui lòng xác nhận các hạng mục quan trọng trong hợp đồng.
事业	sự nghiệp	Anh ấy xem giáo dục là sự nghiệp suốt đời.
势必	chắc chắn	Chi phí tăng chắc chắn sẽ ảnh hưởng đến giá cả.
势力	thế lực	Thế lực thương mại địa phương rất mạnh.
是非	thị phi	Anh ấy không muốn bị cuốn vào thị phi văn phòng.
示范	làm mẫu	Giáo viên làm mẫu một lần trước.
示威	biểu tình	Một cuộc biểu tình hòa bình diễn ra ở trung tâm thành phố.
示意	ra hiệu	Giám đốc ra hiệu mọi người yên lặng.
视力	thị lực	Nhìn màn hình lâu sẽ ảnh hưởng đến thị lực.
视频	video	Vui lòng gửi video cho tôi.
视线	tầm nhìn	Sương mù dày đặc che khuất tầm nhìn của tài xế.
视野	tầm mắt	Du lịch có thể mở rộng tầm mắt.
试图	cố gắng	Anh ấy cố gắng giải thích quyết định của mình.
试验	thí nghiệm	Các nhà khoa học đã tiến hành nhiều thí nghiệm.
适宜	thích hợp	Khí hậu ở đây thích hợp để sinh sống.
逝世	qua đời	Nhà văn này qua đời năm ngoái.
释放	trả tự do	Tòa án quyết định trả tự do cho bị cáo.
收藏	sưu tầm	Anh ấy sưu tầm rất nhiều tem cũ.
收缩	co lại	Không khí lạnh có thể làm kim loại co lại.
收益	lợi nhuận	Lợi nhuận đầu tư cao hơn dự kiến.
收音机	đài radio	Bà nội nghe đài radio mỗi ngày.
守护	bảo vệ	Bác sĩ bảo vệ sinh mạng của bệnh nhân.
手法	thủ pháp	Thủ pháp quay phim của đạo diễn rất độc đáo.
手势	cử chỉ	Anh ấy dùng cử chỉ để biểu thị đồng ý.
手艺	tay nghề	Tay nghề của người thợ này rất tốt.
首饰	trang sức	Cô ấy đeo trang sức bạc đơn giản.
首要	hàng đầu	An toàn là nhiệm vụ hàng đầu.
受罪	chịu khổ	Bệnh nhân chịu khổ nhiều sau ca phẫu thuật.
授予	trao	Trường trao cho anh ấy học vị danh dự.
书法	thư pháp	Anh ấy luyện thư pháp từ nhỏ.
书记	bí thư	Bí thư thôn chủ trì cuộc họp.
书籍	sách	Thư viện lưu giữ rất nhiều sách.
书面	bằng văn bản	Vui lòng cung cấp chứng minh bằng văn bản.
疏忽	sơ suất	Lỗi lần này bắt nguồn từ sơ suất trong công việc.
疏远	xa cách	Hiểu lầm khiến hai người dần xa cách.
舒畅	thư thái	Sau khi đi dạo, tâm trạng rất thư thái.
数额	số tiền	Số tiền bồi thường vẫn chưa được xác định.
束	bó	Cô ấy mua một bó hoa tươi.
束缚	trói buộc	Quan niệm truyền thống trói buộc lựa chọn của anh ấy.
树立	xây dựng	Công ty cần xây dựng hình ảnh tốt.
竖	dựng	Vui lòng dựng tấm biển lên.
耍	nghịch	Đừng nghịch điện thoại trong giờ làm việc.
衰老	lão hóa	Tập thể dục có thể làm chậm lão hóa.
衰退	suy thoái	Suy thoái kinh tế ảnh hưởng đến việc làm.
率领	dẫn dắt	Đội trưởng dẫn dắt đội tiến lên.
涮火锅	ăn lẩu	Mùa đông mọi người đều thích ăn lẩu.
双胞胎	sinh đôi	Họ là một cặp sinh đôi.
爽快	thẳng thắn	Cô ấy trả lời rất thẳng thắn.
水利	thủy lợi	Khu vực này coi trọng xây dựng thủy lợi.
水龙头	vòi nước	Vòi nước trong bếp đang bị rò.
水泥	xi măng	Công nhân vận chuyển xi măng đến công trường.
瞬间	khoảnh khắc	Đèn tắt hết trong một khoảnh khắc.
司法	tư pháp	Độc lập tư pháp cần được bảo vệ bằng thể chế.
司令	tư lệnh	Tư lệnh ra lệnh rút lui.
思念	nhớ nhung	Cô ấy thường nhớ nhung quê nhà.
思索	suy ngẫm	Anh ấy cúi đầu suy ngẫm rất lâu.
思维	tư duy	Việc huấn luyện này có thể nâng cao tư duy logic.
斯文	lịch sự	Anh ấy nói chuyện lịch sự và nhẹ nhàng.
私自	tự ý	Học sinh không được tự ý rời trường.
死亡	tử vong	Vụ tai nạn gây ra vài trường hợp tử vong.
四肢	tứ chi	Trước khi vận động nên cử động tứ chi.
寺庙	ngôi chùa	Trên núi có một ngôi chùa cổ.
肆无忌惮	không kiêng dè	Anh ấy phá vỡ quy tắc một cách không kiêng dè.
饲养	nuôi	Trang trại nuôi nhiều bò sữa.
耸	nhún vai	Nghe xong, anh ấy chỉ nhún vai.
艘	chiếc	Ba chiếc tàu hàng đang neo ở cảng.
苏醒	tỉnh lại	Bệnh nhân cuối cùng đã tỉnh lại.
俗话	tục ngữ	Tục ngữ nói rằng có công mài sắt có ngày nên kim.
塑造	định hình	Môi trường có thể định hình tính cách của một người.
素食	đồ chay	Nhà hàng này cung cấp đồ chay.
素质	tố chất	Nhân viên phục vụ có tố chất rất cao.
诉讼	kiện tụng	Hai bên quyết định giải quyết bằng kiện tụng.
算数	giữ lời	Bạn nên giữ lời.
随即	ngay lập tức	Sau khi cuộc họp kết thúc, anh ấy rời đi ngay lập tức.
随意	tùy ý	Vui lòng không tùy ý thay đổi cài đặt.
岁月	năm tháng	Năm tháng đã thay đổi dáng vẻ của anh ấy.
隧道	đường hầm	Tàu hỏa đi qua một đường hầm dài.
损坏	làm hỏng	Mưa lớn làm hỏng con đường.
索取	yêu cầu	Khách hàng có thể yêu cầu mẫu miễn phí.
索性	dứt khoát	Mưa quá to nên chúng tôi dứt khoát không ra ngoài.
塌	sập	Mái nhà cũ đã sập.
踏实	yên tâm	Sau khi hoàn thành nhiệm vụ, tôi cảm thấy yên tâm.
塔	tháp	Ở trung tâm thành phố có một tòa tháp cao.
台风	bão	Bão dự kiến đổ bộ vào ngày mai.
太空	vũ trụ	Con người luôn khám phá vũ trụ.
泰斗	bậc thầy	Ông ấy là bậc thầy trong ngành ngôn ngữ học.
摊	quầy	Cô ấy dựng một quầy trái cây ở chợ.
瘫痪	liệt	Vụ tai nạn giao thông khiến chi dưới của anh ấy bị liệt.
贪婪	tham lam	Lòng tham lam có thể hủy hoại một người.
贪污	tham ô	Quan chức đó bị điều tra vì tham ô.
弹性	độ đàn hồi	Chất liệu này có độ đàn hồi rất tốt.
坦白	thú nhận	Cuối cùng anh ấy đã thú nhận sự thật.
叹气	thở dài	Nghe kết quả, anh ấy không nhịn được mà thở dài.
探测	thăm dò	Thiết bị này có thể thăm dò nước ngầm.
探索	khám phá	Các nhà khoa học tiếp tục khám phá vũ trụ.
探讨	thảo luận	Các chuyên gia thảo luận về phương án cải cách.
探望	thăm	Cuối tuần tôi đến bệnh viện thăm một người bạn.
倘若	nếu	Nếu trời mưa, hoạt động sẽ bị hoãn.
掏	lấy ra	Anh ấy lấy chìa khóa ra khỏi túi.
滔滔不绝	nói không ngừng	Hễ nói về lịch sử, anh ấy nói không ngừng.
淘汰	bị loại	Đội này bị loại từ sớm.
陶瓷	gốm sứ	Cảnh Đức Trấn nổi tiếng về gốm sứ.
陶醉	say mê	Khán giả say mê trong âm nhạc.
讨好	lấy lòng	Anh ấy không muốn cố ý lấy lòng cấp trên.
特长	sở trường	Hội họa là sở trường của cô ấy.
特定	cụ thể	Vui lòng nộp đơn trong thời gian cụ thể.
特意	đặc biệt	Tôi đặc biệt đến để cảm ơn bạn.
提拔	đề bạt	Công ty đề bạt cô ấy làm trưởng bộ phận.
提炼	tinh luyện	Nhà máy tinh luyện kim loại từ quặng.
提示	nhắc	Hệ thống sẽ nhắc bạn nhập mật khẩu.
提议	đề nghị	Cô ấy đề nghị ngày mai tiếp tục thảo luận.
题材	đề tài	Đề tài của bộ phim này rất mới mẻ.
体裁	thể loại	Tiểu thuyết và thơ là những thể loại khác nhau.
体积	thể tích	Cái hộp này có thể tích rất lớn.
体谅	thông cảm	Vui lòng thông cảm cho khó khăn của anh ấy.
体面	đàng hoàng	Anh ấy muốn tìm một công việc đàng hoàng.
体系	hệ thống	Công ty xây dựng một hệ thống đào tạo hoàn chỉnh.
天才	thiên tài	Đứa trẻ này được xem là thiên tài âm nhạc.
天赋	thiên phú	Cô ấy có thiên phú học ngoại ngữ.
天伦之乐	niềm vui gia đình	Người cao tuổi tận hưởng niềm vui gia đình.
天然气	khí tự nhiên	Cư dân thành phố dùng khí tự nhiên để nấu ăn.
天生	bẩm sinh	Anh ấy bẩm sinh lạc quan.
天堂	thiên đường	Nơi này giống như thiên đường nơi trần thế.
天文	thiên văn	Anh ấy thích thiên văn từ nhỏ.
田径	điền kinh	Trường tổ chức cuộc thi điền kinh.
田野	cánh đồng	Cánh đồng mùa xuân đều xanh mướt.
舔	liếm	Chú chó con liếm tay chủ.
挑剔	kén chọn	Cô ấy rất kén chọn đồ ăn.
条款	điều khoản	Các điều khoản hợp đồng cần được đọc kỹ.
条理	mạch lạc	Bài phát biểu của anh ấy rất mạch lạc.
条约	hiệp ước	Hai nước ký hiệp ước hòa bình.
调和	hài hòa	Hai màu này phối hợp rất hài hòa.
调剂	cân bằng	Tập thể dục có thể cân bằng cuộc sống căng thẳng.
调节	điều chỉnh	Máy lạnh có thể điều chỉnh nhiệt độ trong phòng.
调解	hòa giải	Nhân viên cộng đồng giúp hòa giải tranh chấp giữa hai bên.
调料	gia vị	Cần thêm một chút gia vị vào súp.
挑拨	chia rẽ	Đừng chia rẽ đồng nghiệp.
挑衅	khiêu khích	Lời nói kiểu này mang tính khiêu khích rõ ràng.
跳跃	nhảy	Vận động viên nhảy liên tiếp ba lần.
亭子	đình	Bên hồ có một cái đình nhỏ.
停泊	neo đậu	Tàu cá neo đậu trong cảng.
停顿	tạm dừng	Khi nói, anh ấy tạm dừng một chút.
停滞	đình trệ	Dự án đình trệ vì thiếu vốn.
挺拔	cao thẳng	Những cây thông mọc cao thẳng.
通货膨胀	lạm phát	Lạm phát đẩy chi phí sinh hoạt tăng lên.
通缉	truy nã	Cảnh sát đang truy nã nghi phạm này.
通俗	dễ hiểu	Ngôn ngữ của cuốn sách này rất dễ hiểu.
通讯	truyền thông	Công nghệ truyền thông hiện đại phát triển rất nhanh.
通用	thông dụng	Loại sạc này khá thông dụng.
同胞	đồng bào	Đồng bào ở nước ngoài cũng quan tâm đến sự phát triển của quê hương.
同志	đồng chí	Đồng chí cao tuổi chia sẻ kinh nghiệm công tác.
童话	truyện cổ tích	Đứa trẻ thích nghe truyện cổ tích trước khi ngủ.
铜	đồng	Bức tượng này được làm bằng đồng.
统筹兼顾	tính toán toàn diện	Quy hoạch đô thị nên tính toán toàn diện các lợi ích.
统计	thống kê	Chúng ta cần thống kê số người đăng ký.
统统	tất cả	Tất cả những tài liệu cũ này cần được lưu trữ.
统治	thống trị	Triều đại này thống trị ba trăm năm.
投机	đầu cơ	Anh ấy kiếm được một khoản tiền nhờ đầu cơ.
投票	bỏ phiếu	Cư dân sẽ tham gia bỏ phiếu vào ngày mai.
投诉	khiếu nại	Khách hàng khiếu nại người bán với nền tảng.
投降	đầu hàng	Quân địch cuối cùng chọn đầu hàng.
投掷	ném	Vận động viên luyện ném lao.
透露	tiết lộ	Anh ấy không tiết lộ chi tiết cuộc họp.
秃	hói	Anh ấy bị hói khi còn trẻ.
突破	đột phá	Nghiên cứu đạt được một đột phá lớn.
图案	hoa văn	Hoa văn trên tấm vải này rất đẹp.
徒弟	học trò	Người thầy đang dạy học trò sửa đồng hồ.
涂抹	bôi	Vui lòng bôi thuốc mỡ quanh vết thương.
途径	kênh	Internet là một kênh quan trọng để thu thập thông tin.
土壤	đất	Đất màu mỡ thích hợp để trồng rau.
团结	đoàn kết	Đội ngũ phải đoàn kết và hợp tác.
团体	tổ chức	Tổ chức này thường xuyên tổ chức hoạt động.
团圆	đoàn tụ	Tết là thời điểm gia đình đoàn tụ.
推测	suy đoán	Chuyên gia suy đoán giá sẽ tiếp tục tăng.
推翻	lật đổ	Nhân dân lật đổ chế độ cũ.
推理	suy luận	Tiểu thuyết này đầy các tình tiết suy luận.
推论	kết luận suy ra	Kết luận suy ra này vẫn cần bằng chứng hỗ trợ.
推销	tiếp thị	Anh ấy phụ trách tiếp thị sản phẩm mới.
吞吞吐吐	ấp úng	Khi trả lời câu hỏi, anh ấy cứ ấp úng.
托运	ký gửi	Hành khách có thể ký gửi hành lý tại quầy.
拖延	trì hoãn	Đừng trì hoãn thời gian thanh toán nữa.
脱离	tách rời	Lý luận không thể tách rời thực tế.
妥当	thỏa đáng	Sự sắp xếp này rất thỏa đáng.
妥善	cẩn thận	Vui lòng cất giữ tài liệu quan trọng một cách cẩn thận.
妥协	thỏa hiệp	Hai bên cuối cùng đã đạt được thỏa hiệp.
椭圆	hình elip	Quỹ đạo Trái Đất gần với hình elip.
唾弃	phỉ nhổ	Xã hội phỉ nhổ kiểu lừa đảo này.
哇	oa	Oa, cây cầu này thật hùng vĩ.
挖掘	khai quật	Đội khảo cổ đang khai quật một ngôi mộ cổ.
娃娃	búp bê	Cô bé đang ôm một con búp bê.
瓦解	tan rã	Mâu thuẫn nội bộ khiến liên minh tan rã.
歪曲	xuyên tạc	Báo cáo không nên xuyên tạc sự thật.
外表	vẻ ngoài	Đừng đánh giá người khác chỉ bằng vẻ ngoài.
外行	người ngoài ngành	Tôi hoàn toàn là người ngoài ngành về pháp luật.
外界	bên ngoài	Công ty hiếm khi phản hồi chỉ trích từ bên ngoài.
外向	hướng ngoại	Tính cách cô ấy hướng ngoại và có nhiều bạn bè.
丸	viên	Bác sĩ kê cho anh ấy mấy viên thuốc.
完备	hoàn chỉnh	Bộ tài liệu này rất hoàn chỉnh.
完毕	kết thúc	Cuộc họp đã kết thúc.
玩弄	đùa giỡn	Đừng đùa giỡn với tình cảm của người khác.
玩意儿	thứ	Đây là thứ mới gì vậy?
顽固	cố chấp	Thái độ của anh ấy rất cố chấp.
顽强	kiên cường	Người bị thương thể hiện sự kiên cường lớn.
惋惜	tiếc	Mọi người đều tiếc về thất bại đó.
挽回	cứu vãn	Anh ấy nỗ lực cứu vãn tổn thất của công ty.
挽救	cứu	Bác sĩ đã cứu sống bệnh nhân thành công.
万分	vô cùng	Tôi vô cùng cảm ơn sự giúp đỡ của bạn.
往常	thường lệ	Hôm nay nóng hơn thường lệ.
往事	chuyện cũ	Người cao tuổi thường nhớ lại chuyện cũ.
妄想	ảo tưởng	Anh ấy ảo tưởng trở nên giàu có chỉ sau một đêm.
危机	khủng hoảng	Công ty đang đối mặt với khủng hoảng nghiêm trọng.
威风	oai phong	Vị tướng trông rất oai phong trên lưng ngựa.
威力	sức mạnh	Loại vũ khí này có sức mạnh rất lớn.
威望	uy tín	Ông ấy có uy tín lớn trong làng.
威信	niềm tin công chúng	Lãnh đạo phải duy trì niềm tin công chúng vào chính phủ.
微不足道	không đáng kể	Tổn thất nhỏ này không đáng kể.
微观	vi mô	Khóa học này giới thiệu kinh tế học vi mô.
为难	làm khó	Đừng làm khó người phục vụ nữa.
为期	kéo dài	Khóa đào tạo kéo dài ba tháng.
唯独	chỉ riêng	Mọi người đều đến, chỉ riêng anh ấy không đến.
维持	duy trì	Cảnh sát duy trì trật tự tại hiện trường.
维护	bảo vệ	Chúng ta phải bảo vệ quyền và lợi ích hợp pháp của mình.
维生素	vitamin	Trái cây chứa nhiều vitamin.
违背	trái với	Quyết định này trái với tinh thần của hợp đồng.
伪造	giả mạo	Có người giả mạo chữ ký của anh ấy.
委托	ủy thác	Khách hàng ủy thác luật sư xử lý vụ việc.
委员	ủy viên	Mỗi ủy viên đều phát biểu ý kiến.
卫星	vệ tinh	Vệ tinh đi vào quỹ đạo dự kiến.
喂	cho ăn	Đứa trẻ đang cho mèo con ăn.
慰问	thăm hỏi	Lãnh đạo đến bệnh viện thăm hỏi người bị thương.
未免	hơi	Yêu cầu này hơi quá cao.
畏惧	sợ hãi	Anh ấy chưa bao giờ sợ hãi khó khăn.
蔚蓝	xanh thẳm	Bầu trời hiện màu xanh thẳm.
温带	ôn đới	Loài cây này phù hợp với khí hậu ôn đới.
温和	ôn hòa	Lập trường chính sách của anh ấy tương đối ôn hòa.
文凭	bằng cấp	Công việc này yêu cầu bằng cấp đại học.
文物	di vật văn hóa	Bảo tàng trưng bày những di vật văn hóa quý giá.
文献	tài liệu	Bài luận trích dẫn rất nhiều tài liệu.
文雅	nhã nhặn	Cô ấy cư xử rất nhã nhặn.
文艺	văn nghệ	Thành phố này có bầu không khí văn nghệ rất đậm.
问世	ra mắt	Mẫu điện thoại này sắp ra mắt.
窝	tổ	Trên cây có một cái tổ chim.
乌黑	đen nhánh	Cô ấy có mái tóc dài đen nhánh.
污蔑	vu khống	Anh ấy phủ nhận việc vu khống đối thủ cạnh tranh.
诬陷	vu oan	Bằng chứng cho thấy anh ấy bị vu oan.
无比	vô cùng	Nghe tin đó, anh ấy cảm thấy vô cùng phấn khích.
无偿	miễn phí	Tình nguyện viên cung cấp dịch vụ miễn phí.
无耻	vô liêm sỉ	Hành vi gian lận kiểu này rất vô liêm sỉ.
无动于衷	thờ ơ	Đối mặt với phê bình, anh ấy vẫn thờ ơ.
无非	chẳng qua	Anh ấy làm việc này chẳng qua là để tiết kiệm tiền.
无辜	vô tội	Tòa án xác định anh ấy vô tội.
无精打采	uể oải	Hôm nay anh ấy trông rất uể oải.
无赖	kẻ vô lại	Dân làng không muốn giao thiệp với kẻ vô lại đó.
无理取闹	gây sự vô lý	Xin đừng gây sự vô lý ở đây.
无能为力	bất lực	Đối mặt với lũ lụt, dân làng bất lực.
无穷无尽	vô tận	Sa mạc trông như vô tận.
无微不至	chu đáo	Y tá chăm sóc bệnh nhân rất chu đáo.
无忧无虑	vô tư	Bọn trẻ vô tư chơi trên bãi cỏ.
无知	ngu dốt	Ngu dốt không phải là lý do để từ chối học hỏi.
侮辱	xúc phạm	Lời nói của anh ấy xúc phạm người kia.
武器	vũ khí	Những vũ khí này được quản lý thống nhất.
武侠	kiếm hiệp	Anh ấy thích đọc tiểu thuyết kiếm hiệp từ nhỏ.
武装	vũ trang	Khu vực biên giới tăng cường tuần tra vũ trang.
舞蹈	điệu múa	Điệu múa này có đặc trưng dân tộc rất rõ.
务必	nhất định	Vui lòng nhất định đến đúng giờ.
物美价廉	chất lượng tốt giá rẻ	Hàng hóa ở cửa hàng này chất lượng tốt giá rẻ.
物业	ban quản lý	Ban quản lý phụ trách sửa chữa trong khu dân cư.
物资	vật tư	Vật tư cứu trợ đã được chuyển đến vùng thiên tai.
误差	sai số	Kết quả đo có sai số nhỏ.
误解	hiểu lầm	Hai bên đã giải tỏa hiểu lầm qua giao tiếp.
夕阳	hoàng hôn	Ánh hoàng hôn nhuộm bầu trời thành màu vàng.
昔日	ngày xưa	Ngôi làng ngày xưa đã trở thành thành phố.
溪	suối	Một con suối nhỏ chảy qua vùng núi.
熄灭	dập tắt	Vui lòng dập tắt ngọn nến.
牺牲	hy sinh	Họ đã hy sinh để cứu người khác.
膝盖	đầu gối	Đầu gối của anh ấy bị thương.
习俗	phong tục	Tết có rất nhiều phong tục truyền thống.
媳妇	vợ	Vợ của anh ấy làm việc ở bệnh viện.
袭击	tấn công	Cơn bão tấn công thành phố ven biển.
喜闻乐见	được yêu thích	Loại chương trình này được khán giả yêu thích.
喜悦	vui mừng	Nụ cười vui mừng hiện trên khuôn mặt cô ấy.
系列	loạt	Công ty tung ra một loạt sản phẩm mới.
细菌	vi khuẩn	Nhiệt độ cao có thể tiêu diệt vi khuẩn.
细胞	tế bào	Cơ thể con người được tạo thành từ vô số tế bào.
细致	tỉ mỉ	Quan sát của cô ấy rất tỉ mỉ.
峡谷	hẻm núi	Con sông chảy qua một hẻm núi sâu.
狭隘	hẹp hòi	Quan điểm hẹp hòi này cần thay đổi.
狭窄	chật hẹp	Con đường này rất chật hẹp.
霞	ráng chiều	Ráng chiều nhuộm đỏ bầu trời.
下属	cấp dưới	Giám đốc lắng nghe kỹ ý kiến của cấp dưới.
先进	tiên tiến	Nhà máy sử dụng thiết bị tiên tiến.
先前	trước đó	Kế hoạch trước đó đã thay đổi.
掀起	dấy lên	Cuốn sách này dấy lên một làn sóng thảo luận.
纤维	sợi	Loại vải này chứa sợi tự nhiên.
鲜明	rõ ràng	Lập trường của anh ấy rất rõ ràng.
嫌	chê	Cô ấy chê căn phòng quá nhỏ.
嫌疑	nghi ngờ	Người đàn ông này có nghi ngờ lớn.
弦	dây	Một dây đàn guitar bị đứt.
衔接	kết nối	Nội dung của hai khóa học kết nối rất tốt.
贤惠	hiền thục	Cô ấy được xem là hiền thục và tháo vát.
闲话	chuyện phiếm	Đừng nói chuyện phiếm về người khác sau lưng họ.
显著	rõ rệt	Hiệu quả điều trị rất rõ rệt.
宪法	hiến pháp	Hiến pháp bảo đảm quyền cơ bản của công dân.
现场	hiện trường	Phóng viên đã đến hiện trường vụ tai nạn.
现成	có sẵn	Trong bếp có đồ ăn có sẵn.
现状	hiện trạng	Chúng ta cần hiểu hiện trạng của ngành này.
线索	manh mối	Cảnh sát tìm thấy một manh mối mới.
陷害	hãm hại	Anh ấy nói rằng có người hãm hại mình.
陷阱	bẫy	Người thợ săn đặt một cái bẫy.
陷入	rơi vào	Công ty rơi vào khó khăn tài chính.
馅儿	nhân	Nhân của chiếc bánh bao này thơm lắm.
乡镇	thị trấn	Điều kiện ở các trường thị trấn đang được cải thiện.
相差	chênh lệch	Nhiệt độ hai nơi chênh lệch mười độ.
相等	bằng nhau	Diện tích hai tam giác bằng nhau.
相辅相成	bổ sung cho nhau	Lý luận và thực tiễn bổ sung cho nhau.
相应	tương ứng	Công ty sẽ áp dụng biện pháp tương ứng.
镶嵌	khảm	Một viên đá quý được khảm trên chiếc nhẫn.
响亮	vang dội	Câu trả lời của anh ấy vang dội và rõ ràng.
响应	hưởng ứng	Nhiều người hưởng ứng sáng kiến bảo vệ môi trường.
想方设法	tìm mọi cách	Họ tìm mọi cách để giảm chi phí.
向导	hướng dẫn viên	Một hướng dẫn viên địa phương đưa chúng tôi vào núi.
向来	từ trước đến nay	Anh ấy từ trước đến nay luôn coi trọng chữ tín.
向往	khao khát	Cô ấy khao khát một cuộc sống yên tĩnh.
巷	ngõ	Nhiều cửa hàng nhỏ đã mở trong con ngõ cũ.
相声	tướng thanh	Ông nội thích nghe tướng thanh truyền thống.
消除	xóa bỏ	Giao tiếp có thể xóa bỏ hiểu lầm.
消毒	khử trùng	Bác sĩ khử trùng vết thương.
消防	phòng cháy chữa cháy	Lực lượng phòng cháy chữa cháy nhanh chóng đến hiện trường.
消耗	tiêu hao	Đi xa tiêu hao rất nhiều thể lực.
消灭	tiêu diệt	Công nhân đang tiêu diệt sâu bệnh.
潇洒	phóng khoáng	Dáng đi của anh ấy rất phóng khoáng.
销毁	tiêu hủy	Hải quan tiêu hủy hàng giả.
小心翼翼	cẩn thận	Cô ấy cẩn thận mở chiếc hộp.
效益	hiệu quả	Thiết bị mới nâng cao hiệu quả sản xuất.
肖像	chân dung	Chân dung của ông ấy treo trên tường.
协会	hiệp hội	Hiệp hội này giúp đỡ các doanh nhân trẻ.
协商	thương lượng	Hai bên sẵn sàng tiếp tục thương lượng.
协调	điều phối	Quản lý dự án phụ trách điều phối nguồn lực.
协议	thỏa thuận	Hai bên ký thỏa thuận hợp tác.
协助	hỗ trợ	Tình nguyện viên hỗ trợ người già qua đường.
携带	mang theo	Hành khách không được mang theo hàng nguy hiểm.
屑	mạt	Trên bàn có nhiều mạt gỗ.
泄露	tiết lộ	Nhân viên không được tiết lộ thông tin khách hàng.
泄气	nản lòng	Đừng nản lòng sau thất bại.
谢绝	từ chối lịch sự	Khách sạn từ chối lịch sự đồ ăn bên ngoài.
心得	kinh nghiệm học được	Cô ấy chia sẻ kinh nghiệm học được từ việc học.
心甘情愿	tự nguyện	Anh ấy ở lại giúp đỡ một cách hoàn toàn tự nguyện.
心灵	tâm hồn	Âm nhạc an ủi tâm hồn cô ấy.
心态	tâm thế	Giữ tâm thế tích cực là điều quan trọng.
心疼	xót xa	Người mẹ xót xa cho đứa con bị thương.
心血	tâm huyết	Cuốn sách này chứa đựng tâm huyết của tác giả.
心眼儿	tâm địa	Anh ấy hơi hẹp hòi về tâm địa.
新陈代谢	trao đổi chất	Tập thể dục có thể thúc đẩy trao đổi chất.
新郎	chú rể	Chú rể đón khách ở cửa.
新娘	cô dâu	Cô dâu mặc váy cưới màu trắng.
新颖	mới lạ	Thiết kế này rất mới lạ.
欣慰	vui mừng	Thấy sự tiến bộ của đứa trẻ khiến cô ấy vui mừng.
欣欣向荣	phát triển phồn vinh	Ngành du lịch của thị trấn đang phát triển phồn vinh.
薪水	lương	Lương của anh ấy đủ để nuôi gia đình.
辛勤	chăm chỉ	Nông dân chăm chỉ trồng trọt.
信赖	tin tưởng	Khách hàng rất tin tưởng công ty này.
信念	niềm tin	Niềm tin vững chắc đã nâng đỡ anh ấy.
信仰	tín ngưỡng	Cô ấy tôn trọng các tín ngưỡng khác nhau.
