simplified	DE	example_DE
忍受	ertragen	Ich kann den Lärm hier nicht ertragen.
任命	ernennen	Der Vorstand ernannte sie zur Managerin.
任性	eigensinnig	Ein zu eigensinniges Kind kann in seiner Entwicklung beeinträchtigt werden.
任意	beliebig	Bitte ändern Sie die Daten nicht beliebig.
任重道远	eine schwere und lange Aufgabe sein	Die Bildungsreform ist eine schwere und lange Aufgabe.
认定	feststellen	Die Polizei stellte fest, dass es ein Unfall war.
认可	anerkennen	Sein Plan wurde von allen anerkannt.
仍旧	weiterhin	Viele Jahre später wohnte er weiterhin hier.
日新月异	sich rasant entwickeln	Die Technologie entwickelt sich rasant.
日益	zunehmend	Umweltprobleme werden zunehmend ernst.
容貌	Aussehen	Die Jahre veränderten sein Aussehen.
容纳	aufnehmen	Dieser Saal kann fünfhundert Personen aufnehmen.
容器	Behälter	Bitte gießen Sie die Flüssigkeit in einen Glasbehälter.
容忍	tolerieren	Das Unternehmen kann Betrug nicht tolerieren.
溶解	sich auflösen	Salz löst sich in Wasser auf.
荣幸	geehrt	Ich fühle mich geehrt, an der Sitzung teilzunehmen.
荣誉	Ehre	Diese Medaille steht für höchste Ehre.
融化	schmelzen	Die Sonne ließ Eis und Schnee langsam schmelzen.
融洽	harmonisch	Die Beziehungen zwischen den Kollegen sind sehr harmonisch.
揉	reiben	Mama rieb mir sanft die Schultern.
柔和	sanft	Das Licht ist sanft und blendet nicht.
儒家	Konfuzianismus	Konfuzianisches Denken beeinflusste die ostasiatische Kultur.
弱点	Schwäche	Nachlässigkeit ist seine größte Schwäche.
若干	einige	Die Sitzung brachte einige Vorschläge vor.
撒谎	lügen	Kinder sollten nicht lügen.
散文	Prosa	Sie liest gern moderne Prosa.
散布	verbreiten	Im Internet verbreitete jemand Gerüchte.
散发	ausströmen	Im Garten strömte ein frischer Duft aus.
丧失	verlieren	Er verlor sein Vertrauen nicht.
骚扰	belästigen	Bitte belästigen Sie keine anderen Fahrgäste.
嫂子	Schwägerin	Das Essen meiner Schwägerin ist sehr lecker.
刹车	bremsen	Der Fahrer bremste plötzlich.
啥	was	Was hast du eben gesagt?
筛选	filtern	Das System filtert Lebensläufe automatisch.
山脉	Gebirgskette	Diese Gebirgskette ist sehr lang.
闪烁	flackern	Die Lichter in der Ferne flackerten ununterbrochen.
擅长	gut sein in	Er ist gut darin, komplexe Probleme zu lösen.
擅自	ohne Erlaubnis	Mitarbeiter dürfen ihren Posten nicht ohne Erlaubnis verlassen.
伤脑筋	Kopfzerbrechen bereiten	Dieses Problem bereitet wirklich Kopfzerbrechen.
商标	Marke; Warenzeichen	Das Unternehmen registrierte eine neue Marke.
上级	Vorgesetzte	Er berichtete die Lage seinen Vorgesetzten.
上进	ehrgeizig; nach Verbesserung strebend	Sie war immer sehr ehrgeizig.
上任	ein Amt antreten	Der neue Manager tritt nächste Woche sein Amt an.
上瘾	süchtig werden	Viele Menschen werden nach Kurzvideos süchtig.
上游	Oberlauf	Die Verschmutzung kommt aus dem Oberlauf des Flusses.
尚且	sogar	Sogar Erwachsene machen Fehler.
捎	mitbringen; ausrichten	Bitte richte mir eine Nachricht aus.
梢	Wipfel	Der Vogel saß auf dem Baumwipfel.
哨	Wache; Pfeife	Am Tor steht ein Wachposten.
奢侈	luxuriös; verschwenderisch	Diese Art von Konsum ist zu verschwenderisch.
舌头	Zunge	Er verbrannte sich die Zunge.
摄氏度	Grad Celsius	Die heutige Temperatur beträgt dreißig Grad Celsius.
涉及	betreffen	Der Bericht betrifft mehrere Abteilungen.
社区	Gemeinschaft; Wohnviertel	Das Wohnviertel organisierte einen Gesundheitsvortrag.
设立	einrichten	Die Schule richtete ein Stipendium ein.
设想	Vorstellung; Idee	Diese Idee muss noch besprochen werden.
设置	einstellen	Bitte setzen Sie das Passwort zurück.
呻吟	stöhnen	Der Patient stöhnte leise.
深奥	tiefgründig	Der Inhalt dieses Buches ist sehr tiefgründig.
深沉	tief	Seine Stimme war tief und dunkel.
深情厚谊	tiefe Freundschaft	Die Völker beider Länder schlossen tiefe Freundschaft.
申报	anmelden; deklarieren	Reisende müssen Gegenstände wahrheitsgemäß deklarieren.
绅士	Gentleman	Er benimmt sich wie ein Gentleman.
神经	Nerv	Stress kann das Nervensystem beeinflussen.
神奇	wunderbar; magisch	Die Landschaft hier ist sehr wunderbar.
神气	lebhaft; stolz	Er wirkte heute besonders lebhaft.
神圣	heilig	Das ist eine heilige Pflicht.
神态	Ausdruck; Haltung	Ihr Gesichtsausdruck war sehr ruhig.
神仙	Unsterblicher	Der Legende nach leben in den Bergen Unsterbliche.
审查	prüfen; kontrollieren	Die Plattform prüft veröffentlichte Inhalte.
审理	verhandeln	Das Gericht verhandelt diesen Fall.
审美	Ästhetik; Geschmack	Sein ästhetischer Geschmack ist sehr eigenständig.
审判	Gerichtsverfahren	Der öffentliche Prozess zog Medienaufmerksamkeit an.
慎重	vorsichtig	Diese Entscheidung muss vorsichtig getroffen werden.
渗透	eindringen	Regenwasser drang langsam in den Boden ein.
声明	Erklärung	Das Unternehmen veröffentlichte eine offizielle Erklärung.
声势	Schwung; Wirkung	Diese Werbekampagne hat großen Schwung.
声誉	Ruf	Die Produktqualität beeinflusst den Ruf der Marke.
牲畜	Nutztiere	Die Hirten trieben die Nutztiere zurück auf die Weide.
生存	überleben	Wildtiere brauchen Lebensraum zum Überleben.
生机	Lebenskraft	Der Frühlingsregen erfüllte die Erde mit Lebenskraft.
生理	physiologisch	Schlaf beeinflusst den physiologischen Zustand des Menschen.
生疏	eingerostet	Nach vielen Jahren ohne Übung war sein Klavierspiel etwas eingerostet.
生态	Ökologie	Der Schutz des Waldes hängt mit dem ökologischen Gleichgewicht zusammen.
生物	Organismus	Im Meer gibt es viele ungewöhnliche Organismen.
生效	in Kraft treten	Die neue Regelung tritt morgen offiziell in Kraft.
生肖	chinesisches Tierkreiszeichen	Was ist dein chinesisches Tierkreiszeichen?
生锈	rosten	Die Fahrradkette ist bereits verrostet.
生育	Fortpflanzung; Geburt	Das Krankenhaus bietet Beratung zur Geburt und Fruchtbarkeit an.
省会	Provinzhauptstadt	Chengdu ist seit alter Zeit die Hauptstadt der Provinz Sichuan.
盛产	in großer Menge produzieren	Hier wird hochwertiger Tee in großer Menge produziert.
盛开	in voller Blüte stehen	Die Kirschblüten im Park stehen gerade in voller Blüte.
盛情	große Gastfreundschaft	Wir danken dem Gastgeber für seine herzliche Gastfreundschaft.
盛行	verbreitet sein	Dieser Stil war eine Zeit lang sehr verbreitet.
胜负	Sieg oder Niederlage	Die letzte Minute des Spiels entschied über Sieg oder Niederlage.
失事	verunglücken	Die Ursache des Flugzeugunglücks wird noch untersucht.
失误	Fehler	Ein kleiner Fehler verzögerte das Projekt.
失踪	vermisst	Die Polizei sucht nach dem vermissten Kind.
尸体	Leiche	Das Rettungsteam fand die Leiche des Opfers.
师范	pädagogisch; Lehrerausbildung	Sie absolvierte eine pädagogische Universität.
施加	ausüben	Eltern sollten keinen übermäßigen Druck ausüben.
施展	entfalten	Er bekam endlich die Gelegenheit, sein Talent zu entfalten.
十足	voll; vollkommen	Er ist vom Ergebnis vollkommen überzeugt.
实惠	erschwinglich	Die Preise in diesem Laden sind sehr erschwinglich.
实力	Stärke	Die Gesamtstärke der Mannschaft ist sehr groß.
实施	umsetzen	Die Regierung begann, den neuen Plan umzusetzen.
实事求是	sachlich und realistisch sein	In der Forschung muss man sachlich und realistisch sein.
实行	umsetzen; praktizieren	Das Unternehmen führt flexible Arbeitszeiten ein.
实质	Wesen; Kern	Der Kern des Problems hat sich nicht verändert.
拾	aufheben	Er bückte sich und hob den Schlüssel vom Boden auf.
时常	oft	Der Großvater erzählt oft von seiner Jugend.
时而	manchmal	Das Wetter ist manchmal sonnig und manchmal bewölkt.
时光	Zeit	Schöne Zeiten wirken immer kurz.
时机	Gelegenheit; Zeitpunkt	Jetzt ist kein guter Zeitpunkt für Verhandlungen.
时事	aktuelle Ereignisse	Die Schüler besprechen jede Woche internationale aktuelle Ereignisse.
石油	Erdöl	Die Erdölpreise stiegen erneut.
识别	erkennen	Das System kann verschiedene Gesichter erkennen.
使命	Mission	Der Schutz der Umwelt ist eine gemeinsame Mission.
世代	Generation	Dieses Handwerk wird in der Familie seit Generationen weitergegeben.
事故	Unfall	Dieser Unfall verursachte keine Verletzten oder Toten.
事迹	Taten	Seine heldenhaften Taten verbreiteten sich weithin.
事件	Ereignis; Vorfall	Dieser Vorfall erregte gesellschaftliche Aufmerksamkeit.
事态	Lage	Die Regierung kontrolliert die Entwicklung der Lage.
事务	Angelegenheiten	Sie ist für die täglichen Angelegenheiten des Unternehmens verantwortlich.
事项	Punkt; Angelegenheit	Bitte bestätigen Sie die wichtigen Punkte im Vertrag.
事业	Karriere; Lebenswerk	Er betrachtet Bildung als sein Lebenswerk.
势必	unweigerlich	Steigende Kosten werden unweigerlich die Preise beeinflussen.
势力	Macht; Einfluss	Der lokale geschäftliche Einfluss ist stark.
是非	Streit; Recht und Unrecht	Er will nicht in Bürostreitigkeiten hineingezogen werden.
示范	Vorführung; demonstrieren	Der Lehrer gab zuerst eine Vorführung.
示威	Demonstration	In der Innenstadt fand eine friedliche Demonstration statt.
示意	signalisieren	Der Manager signalisierte allen, ruhig zu sein.
视力	Sehkraft	Langes Schauen auf Bildschirme kann die Sehkraft beeinträchtigen.
视频	Video	Bitte schick mir das Video.
视线	Sichtlinie	Dichter Nebel blockierte die Sicht des Fahrers.
视野	Horizont; Sichtfeld	Reisen kann den Horizont erweitern.
试图	versuchen	Er versuchte, seine Entscheidung zu erklären.
试验	Experiment	Wissenschaftler führten viele Experimente durch.
适宜	geeignet	Das Klima hier ist zum Wohnen geeignet.
逝世	sterben; versterben	Dieser Schriftsteller starb letztes Jahr.
释放	freilassen	Das Gericht beschloss, den Angeklagten freizulassen.
收藏	sammeln	Er sammelte viele alte Briefmarken.
收缩	sich zusammenziehen	Kalte Luft kann Metall zusammenziehen lassen.
收益	Ertrag	Die Investitionserträge waren höher als erwartet.
收音机	Radio	Die Großmutter hört jeden Tag Radio.
守护	beschützen	Ärzte schützen das Leben der Patienten.
手法	Technik	Die Filmtechnik des Regisseurs ist sehr eigenständig.
手势	Geste	Er zeigte mit einer Geste seine Zustimmung.
手艺	Handwerkskunst	Die Handwerkskunst dieses Meisters ist sehr gut.
首饰	Schmuck	Sie trug einfachen Silberschmuck.
首要	vorrangig	Sicherheit ist die vorrangige Aufgabe.
受罪	leiden	Der Patient litt nach der Operation sehr.
授予	verleihen	Die Schule verlieh ihm einen Ehrentitel.
书法	Kalligrafie	Er übt seit seiner Kindheit Kalligrafie.
书记	Sekretär	Der Dorfsekretär leitete die Sitzung.
书籍	Bücher	Die Bibliothek besitzt eine große Zahl von Büchern.
书面	schriftlich	Bitte legen Sie einen schriftlichen Nachweis vor.
疏忽	Nachlässigkeit	Dieser Fehler entstand durch Nachlässigkeit bei der Arbeit.
疏远	sich entfremden	Das Missverständnis entfremdete die beiden allmählich.
舒畅	entspannt und froh	Nach dem Spaziergang fühlte ich mich entspannt und froh.
数额	Betrag	Die Höhe der Entschädigung steht noch nicht fest.
束	Bund	Sie kaufte einen Blumenstrauß.
束缚	einschränken	Traditionelle Vorstellungen schränkten seine Wahl ein.
树立	aufbauen	Das Unternehmen muss ein gutes Image aufbauen.
竖	aufrecht stellen	Bitte stellen Sie das Schild aufrecht hin.
耍	herumspielen	Spiel während der Arbeitszeit nicht mit dem Handy herum.
衰老	altern	Bewegung kann das Altern verlangsamen.
衰退	Rezession; Rückgang	Die wirtschaftliche Rezession beeinflusste die Beschäftigung.
率领	anführen	Der Kapitän führte das Team vorwärts.
涮火锅	Hotpot essen	Im Winter essen alle gern Hotpot.
双胞胎	Zwillinge	Sie sind Zwillinge.
爽快	offen; unkompliziert	Sie antwortete sehr offen.
水利	Wasserbau	Diese Region legt Wert auf den Bau von Wasseranlagen.
水龙头	Wasserhahn	Der Wasserhahn in der Küche leckt.
水泥	Zement	Die Arbeiter brachten Zement zur Baustelle.
瞬间	Augenblick	Die Lichter gingen in einem Augenblick alle aus.
司法	Justiz	Unabhängige Justiz braucht institutionelle Sicherung.
司令	Befehlshaber	Der Befehlshaber gab den Rückzugsbefehl.
思念	vermissen	Sie vermisst oft ihre Heimat.
思索	nachdenken	Er senkte den Kopf und dachte lange nach.
思维	Denken	Dieses Training kann logisches Denken verbessern.
斯文	kultiviert	Er spricht sehr kultiviert.
私自	ohne Erlaubnis	Schüler dürfen die Schule nicht ohne Erlaubnis verlassen.
死亡	Tod	Der Unfall verursachte mehrere Todesfälle.
四肢	Gliedmaßen	Vor dem Sport sollte man die Gliedmaßen bewegen.
寺庙	Tempel	Auf dem Berg steht ein alter Tempel.
肆无忌惮	skrupellos	Er brach skrupellos die Regeln.
饲养	halten; züchten	Der Bauernhof hält viele Milchkühe.
耸	mit den Schultern zucken	Nachdem er es gehört hatte, zuckte er nur mit den Schultern.
艘	Zähleinheitswort für Schiffe	Im Hafen liegen drei Frachtschiffe.
苏醒	wieder zu Bewusstsein kommen	Der Patient kam endlich wieder zu Bewusstsein.
俗话	Sprichwort	Ein Sprichwort sagt: Übung macht den Meister.
塑造	formen	Die Umgebung kann den Charakter eines Menschen formen.
素食	vegetarisches Essen	Dieses Restaurant bietet vegetarisches Essen an.
素质	Qualität; Eignung	Das Servicepersonal hat eine hohe Qualität.
诉讼	Klage	Beide Parteien entschieden sich, den Streit durch eine Klage zu lösen.
算数	gelten; sein Wort halten	Was du gesagt hast, muss gelten.
随即	sofort	Nach dem Ende der Sitzung ging er sofort weg.
随意	beliebig	Bitte ändern Sie die Einstellungen nicht beliebig.
岁月	Jahre; vergehende Zeit	Die vergehenden Jahre veränderten sein Aussehen.
隧道	Tunnel	Der Zug fuhr durch einen langen Tunnel.
损坏	beschädigen	Der starke Regen beschädigte die Straße.
索取	anfordern	Kunden können kostenlos Muster anfordern.
索性	einfach	Der Regen war zu stark, also gingen wir einfach nicht hinaus.
塌	einstürzen	Das Dach des alten Hauses stürzte ein.
踏实	beruhigt; bodenständig	Nach Abschluss der Aufgabe fühlte ich mich beruhigt.
塔	Turm	Im Stadtzentrum steht ein hoher Turm.
台风	Taifun	Der Taifun wird voraussichtlich morgen an Land gehen.
太空	Weltraum	Die Menschheit erforscht seit jeher den Weltraum.
泰斗	führende Autorität	Er ist eine führende Autorität in der Linguistik.
摊	Stand	Sie baute auf dem Markt einen Obststand auf.
瘫痪	Lähmung	Der Verkehrsunfall lähmte seine unteren Gliedmaßen.
贪婪	Gier	Gier kann einen Menschen zugrunde richten.
贪污	Korruption	Der Beamte wurde wegen Korruption untersucht.
弹性	Elastizität	Dieses Material ist sehr elastisch.
坦白	gestehen	Er gestand schließlich die Wahrheit.
叹气	seufzen	Als er das Ergebnis hörte, musste er seufzen.
探测	aufspüren; messen	Das Gerät kann Grundwasser aufspüren.
探索	erforschen	Wissenschaftler erforschen weiter das Universum.
探讨	diskutieren	Experten diskutierten den Reformplan.
探望	besuchen	Am Wochenende besuchte ich einen Freund im Krankenhaus.
倘若	falls	Falls es regnet, wird die Veranstaltung verschoben.
掏	herausholen	Er holte den Schlüssel aus der Tasche.
滔滔不绝	unaufhörlich reden	Sobald er über Geschichte spricht, redet er unaufhörlich.
淘汰	ausscheiden	Diese Mannschaft schied früh aus.
陶瓷	Keramik	Jingdezhen ist für Keramik berühmt.
陶醉	verzaubert sein	Das Publikum war von der Musik verzaubert.
讨好	sich einschmeicheln	Er will sich nicht absichtlich beim Vorgesetzten einschmeicheln.
特长	besondere Stärke	Malen ist ihre besondere Stärke.
特定	bestimmt; spezifisch	Bitte reichen Sie den Antrag innerhalb der bestimmten Frist ein.
特意	eigens; absichtlich	Ich bin eigens gekommen, um dir zu danken.
提拔	befördern	Die Firma beförderte sie zur Abteilungsleiterin.
提炼	extrahieren; veredeln	Die Fabrik extrahiert Metall aus Erz.
提示	Hinweis; auffordern	Das System fordert zur Eingabe des Passworts auf.
提议	Vorschlag; vorschlagen	Sie schlug vor, morgen weiterzudiskutieren.
题材	Thema; Stoff	Das Thema dieses Films ist neuartig.
体裁	Gattung; Stil	Romane und Gedichte gehören zu verschiedenen Gattungen.
体积	Volumen; Rauminhalt	Diese Kiste hat ein großes Volumen.
体谅	Verständnis zeigen	Bitte zeigen Sie Verständnis für seine Schwierigkeiten.
体面	ehrenhaft; anständig	Er möchte eine anständige Arbeit finden.
体系	System	Das Unternehmen baute ein vollständiges Schulungssystem auf.
天才	Genie; Talent	Dieses Kind gilt als musikalisches Genie.
天赋	Begabung	Sie hat eine Begabung für das Lernen von Sprachen.
天伦之乐	Familienglück	Der alte Mann genießt sein Familienglück.
天然气	Erdgas	Stadtbewohner verwenden Erdgas zum Kochen.
天生	von Natur aus	Er ist von Natur aus sehr optimistisch.
天堂	Paradies; Himmel	Dieser Ort ist wie ein Paradies auf Erden.
天文	Astronomie	Er interessiert sich seit seiner Kindheit für Astronomie.
田径	Leichtathletik	Die Schule veranstaltete einen Leichtathletikwettbewerb.
田野	Feld; Flur	Die Felder sind im Frühling ganz grün.
舔	lecken	Der kleine Hund leckte die Hand seines Besitzers.
挑剔	wählerisch; pingelig	Sie ist beim Essen sehr wählerisch.
条款	Klausel; Bestimmung	Die Vertragsklauseln müssen sorgfältig gelesen werden.
条理	Ordnung; Struktur	Seine Rede war sehr gut strukturiert.
条约	Vertrag; Abkommen	Die beiden Länder unterzeichneten einen Friedensvertrag.
调和	harmonisch; abstimmen	Diese beiden Farben harmonieren gut.
调剂	ausgleichen; auflockern	Sport kann ein angespanntes Leben ausgleichen.
调节	regulieren; anpassen	Die Klimaanlage kann die Raumtemperatur regulieren.
调解	vermitteln; schlichten	Gemeindemitarbeiter halfen, den Streit zu schlichten.
调料	Gewürz; Würzmittel	In die Suppe muss etwas Gewürz gegeben werden.
挑拨	Zwietracht säen	Säen Sie keine Zwietracht unter Kollegen.
挑衅	Provokation; provozieren	Diese Äußerung enthält eine deutliche Provokation.
跳跃	springen; Sprung	Der Sportler sprang dreimal hintereinander.
亭子	Pavillon	Am See steht ein kleiner Pavillon.
停泊	ankern; festmachen	Die Fischerboote liegen im Hafen vor Anker.
停顿	Pause	Er machte mitten im Satz eine kurze Pause.
停滞	stagnieren; zum Stillstand kommen	Das Projekt kam wegen Geldmangels zum Stillstand.
挺拔	hoch und gerade	Die Kiefern wachsen hoch und gerade.
通货膨胀	Inflation	Die Inflation trieb die Lebenshaltungskosten in die Höhe.
通缉	zur Fahndung ausschreiben	Die Polizei hat diesen Verdächtigen zur Fahndung ausgeschrieben.
通俗	allgemeinverständlich	Die Sprache dieses Buches ist sehr allgemeinverständlich.
通讯	Kommunikation; Nachricht	Moderne Kommunikationstechnik entwickelt sich schnell.
通用	allgemein verwendbar; universell	Dieses Ladegerät ist ziemlich universell.
同胞	Landsmann; Landsleute	Auch Landsleute im Ausland achten auf die Entwicklung ihrer Heimat.
同志	Genosse; Kamerad	Der erfahrene Genosse teilte seine Arbeitserfahrungen.
童话	Märchen	Das Kind hört vor dem Schlafengehen gern Märchen.
铜	Kupfer	Diese Statue besteht aus Kupfer.
统筹兼顾	umfassend planen	Stadtplanung muss alle Interessen umfassend berücksichtigen.
统计	Statistik; zählen	Wir müssen die Zahl der Anmeldungen zählen.
统统	allesamt	Alle diese alten Dokumente müssen archiviert werden.
统治	herrschen; regieren	Diese Dynastie herrschte dreihundert Jahre lang.
投机	Spekulation; spekulieren	Er verdiente durch Spekulation eine größere Summe.
投票	abstimmen; Wahl	Die Einwohner nehmen morgen an der Abstimmung teil.
投诉	Beschwerde; Beschwerde einreichen	Der Kunde reichte bei der Plattform eine Beschwerde gegen den Händler ein.
投降	sich ergeben; Kapitulation	Die feindliche Armee entschied sich schließlich zur Kapitulation.
投掷	werfen; schleudern	Der Sportler übte das Werfen des Speers.
透露	offenlegen; durchsickern lassen	Er legte keine Einzelheiten der Sitzung offen.
秃	kahl; glatzköpfig	Er bekam schon in jungen Jahren eine Glatze.
突破	Durchbruch; durchbrechen	Die Forschung erzielte einen großen Durchbruch.
图案	Muster; Design	Das Muster auf diesem Stoff ist sehr schön.
徒弟	Lehrling; Schüler	Der Meister bringt dem Lehrling bei, Uhren zu reparieren.
涂抹	auftragen; verschmieren	Bitte tragen Sie die Salbe rund um die Wunde auf.
途径	Weg; Kanal	Das Internet ist ein wichtiger Weg, Informationen zu bekommen.
土壤	Boden; Erde	Fruchtbarer Boden eignet sich für den Gemüseanbau.
团结	Zusammenhalt; sich zusammenschließen	Das Team muss geschlossen zusammenarbeiten.
团体	Gruppe; Organisation	Diese Gruppe veranstaltet regelmäßig Aktivitäten.
团圆	Wiedersehen; Familienvereinigung	Das Frühlingsfest ist eine Zeit der Familienvereinigung.
推测	vermuten; Mutmaßung	Experten vermuten, dass die Preise weiter steigen werden.
推翻	stürzen	Das Volk stürzte das alte System.
推理	Schlussfolgerung; Krimi	Dieser Roman ist voller Krimielemente.
推论	Folgerung; ableiten	Diese Folgerung braucht noch Beweise.
推销	verkaufen; vermarkten	Er ist für die Vermarktung neuer Produkte verantwortlich.
吞吞吐吐	stammeln; herumdrucksen	Er druckste herum, als er die Frage beantwortete.
托运	aufgeben; versenden	Passagiere können ihr Gepäck am Schalter aufgeben.
拖延	verzögern; hinausschieben	Verzögern Sie die Zahlung nicht weiter.
脱离	sich lösen; trennen	Theorie darf sich nicht von der Wirklichkeit lösen.
妥当	angemessen; passend	Diese Regelung ist sehr angemessen.
妥善	ordnungsgemäß; sorgfältig	Bitte bewahren Sie wichtige Dokumente sorgfältig auf.
妥协	Kompromiss; sich einigen	Die beiden Seiten erzielten schließlich einen Kompromiss.
椭圆	Ellipse; oval	Die Erdbahn kommt einer Ellipse nahe.
唾弃	verachten; verstoßen	Die Gesellschaft verachtet solchen Betrug.
哇	wow	Wow, diese Brücke ist wirklich beeindruckend!
挖掘	ausgraben; erschließen	Das Archäologenteam gräbt ein altes Grab aus.
娃娃	Puppe; kleines Kind	Das kleine Mädchen hält eine Puppe im Arm.
瓦解	zerfallen; zusammenbrechen	Interne Konflikte ließen das Bündnis zerfallen.
歪曲	verdrehen; verzerren	Berichte sollten die Tatsachen nicht verdrehen.
外表	Äußeres; Erscheinung	Beurteilen Sie Menschen nicht nur nach dem Äußeren.
外行	Laie	Beim Thema Recht bin ich völlig Laie.
外界	Außenwelt; Öffentlichkeit	Das Unternehmen reagiert selten auf Kritik von außen.
外向	extrovertiert; aufgeschlossen	Sie ist extrovertiert und hat viele Freunde.
丸	Pille; Kügelchen	Der Arzt verschrieb ihm mehrere Pillen.
完备	vollständig; komplett	Diese Unterlagen sind sehr vollständig.
完毕	beendet; abgeschlossen	Die Sitzung ist bereits beendet.
玩弄	mit etwas spielen; ausnutzen	Spielen Sie nicht mit den Gefühlen anderer.
玩意儿	Ding; Spielzeug	Was ist denn das für ein neues Ding?
顽固	stur; hartnäckig	Seine Haltung ist äußerst stur.
顽强	zäh; widerstandsfähig	Der Verletzte zeigte große Zähigkeit.
惋惜	bedauern	Alle bedauerten das Scheitern.
挽回	wiedergutmachen; zurückgewinnen	Er bemühte sich, den Verlust der Firma auszugleichen.
挽救	retten; beheben	Der Arzt rettete erfolgreich das Leben des Patienten.
万分	äußerst; überaus	Ich bin dir für deine Hilfe äußerst dankbar.
往常	gewöhnlich; früher	Heute ist es heißer als gewöhnlich.
往事	Vergangenheit; frühere Ereignisse	Der alte Mensch erinnert sich oft an frühere Ereignisse.
妄想	vergeblich träumen; Wahnvorstellung	Er träumt vergeblich davon, über Nacht reich zu werden.
危机	Krise	Das Unternehmen steht vor einer schweren Krise.
威风	imposant; Autorität	Der General wirkte auf dem Pferd sehr imposant.
威力	Macht; Wirkungskraft	Diese Waffe hat große Wirkungskraft.
威望	Ansehen; Prestige	Er genießt im Dorf hohes Ansehen.
威信	Autorität; Glaubwürdigkeit	Die Führung muss die Glaubwürdigkeit der Regierung wahren.
微不足道	unbedeutend; geringfügig	Dieser kleine Verlust ist unbedeutend.
微观	mikroskopisch; Mikro-	Dieser Kurs führt in die Mikroökonomie ein.
为难	in Verlegenheit bringen; Schwierigkeiten machen	Machen Sie es dem Kellner nicht weiter schwer.
为期	dauern; auf eine Dauer von	Die Schulung dauert drei Monate.
唯独	nur; ausgerechnet	Alle sind angekommen, nur er nicht.
维持	aufrechterhalten; wahren	Die Polizei hielt die Ordnung am Ort aufrecht.
维护	schützen; wahren	Wir müssen unsere rechtmäßigen Rechte schützen.
维生素	Vitamin	Obst enthält viele Vitamine.
违背	verletzen; verstoßen gegen	Diese Entscheidung verstößt gegen den Geist des Vertrags.
伪造	fälschen	Jemand fälschte seine Unterschrift.
委托	beauftragen; anvertrauen	Der Mandant beauftragte einen Anwalt mit dem Fall.
委员	Ausschussmitglied	Jedes Ausschussmitglied äußerte eine Meinung.
卫星	Satellit	Der Satellit trat in die vorgesehene Umlaufbahn ein.
喂	füttern	Das Kind füttert gerade die kleine Katze.
慰问	Anteilnahme ausdrücken; besuchen	Die Führung besuchte die Verletzten im Krankenhaus.
未免	doch etwas; allzu	Diese Anforderung ist doch etwas zu hoch.
畏惧	fürchten	Er fürchtet Schwierigkeiten nie.
蔚蓝	himmelblau; azurblau	Der Himmel zeigte sich azurblau.
温带	gemäßigte Zone	Diese Pflanze eignet sich für ein gemäßigtes Klima.
温和	gemäßigt; mild	Seine politische Haltung ist eher gemäßigt.
文凭	Diplom; Abschlusszeugnis	Diese Stelle erfordert ein Hochschuldiplom.
文物	Kulturdenkmal; Kulturgut	Das Museum stellte wertvolle Kulturgüter aus.
文献	Literatur; Dokument	Die Arbeit zitierte umfangreiche Literatur.
文雅	elegant; kultiviert	Sie hat ein kultiviertes Auftreten.
文艺	Literatur und Kunst	Diese Stadt hat eine starke Kunst- und Kulturatmosphäre.
问世	erscheinen; auf den Markt kommen	Dieses Handymodell kommt bald auf den Markt.
窝	Nest; Höhle	Im Baum befindet sich ein Vogelnest.
乌黑	tiefschwarz	Sie hat langes, tiefschwarzes Haar.
污蔑	verleumden	Er bestritt, den Konkurrenten verleumdet zu haben.
诬陷	hereinlegen; fälschlich beschuldigen	Die Beweise zeigen, dass er fälschlich beschuldigt wurde.
无比	unvergleichlich; äußerst	Als er die Nachricht hörte, war er äußerst aufgeregt.
无偿	kostenlos; unentgeltlich	Freiwillige bieten unentgeltliche Dienste an.
无耻	schamlos	Dieser Betrug ist äußerst schamlos.
无动于衷	gleichgültig; ungerührt	Angesichts der Kritik blieb er gleichgültig.
无非	nichts weiter als	Er tat das nur, um Geld zu sparen.
无辜	unschuldig	Das Gericht stellte fest, dass er unschuldig war.
无精打采	lustlos; niedergeschlagen	Er sieht heute lustlos aus.
无赖	Schurke; Halunke	Die Dorfbewohner wollen mit diesem Schurken nichts zu tun haben.
无理取闹	grundlos Ärger machen	Bitte machen Sie hier nicht grundlos Ärger.
无能为力	machtlos	Angesichts der Flut waren die Dorfbewohner machtlos.
无穷无尽	endlos	Die Wüste sah endlos aus.
无微不至	äußerst fürsorglich	Die Krankenschwester kümmerte sich äußerst fürsorglich um den Patienten.
无忧无虑	sorgenfrei	Die Kinder spielten sorgenfrei auf der Wiese.
无知	Unwissenheit	Unwissenheit ist kein Grund, Lernen abzulehnen.
侮辱	beleidigen; demütigen	Seine Worte beleidigten die andere Person.
武器	Waffe	Diese Waffen werden zentral verwahrt.
武侠	Kampfkunstheld; Wuxia	Er liest seit seiner Kindheit gern Wuxia-Romane.
武装	Bewaffnung; bewaffnen	Das Grenzgebiet verstärkte bewaffnete Patrouillen.
舞蹈	Tanz	Dieser Tanz hat ausgeprägte ethnische Merkmale.
务必	unbedingt	Bitte kommen Sie unbedingt pünktlich an.
物美价廉	gut und preiswert	Die Waren in diesem Geschäft sind gut und preiswert.
