simplified	NO	example_NO
线索	et spor	Politiet fant et nytt spor
陷害	ramme; falskt anklage	Han hevdet at noen hadde rammet ham
陷阱	en felle	Jegeren satte opp en felle
陷入	havne i	Selskapet havnet i økonomiske problemer
馅儿	fyll	Fyllet i denne baozi-en lukter svært godt
乡镇	tettsted; kommune	Forholdene ved tettstedsskolene blir bedre
相差	skille seg; avvike	Temperaturen på de to stedene skiller seg med ti grader
相等	like	De to trekantene har like stort areal
相辅相成	utfylle hverandre	Teori og praksis utfyller hverandre
相应	tilsvarende	Selskapet vil treffe tilsvarende tiltak
镶嵌	felle inn; sette inn	En edelstein er satt inn i ringen
响亮	klar og høy	Svaret hans var klart og høyt
响应	svare på; følge opp	Mange svarte på miljøinitiativet
想方设法	prøve alle mulige måter	De prøvde alle mulige måter å redusere kostnadene på
向导	en guide	En lokal guide tok oss inn i fjellene
向来	alltid	Han har alltid verdsatt troverdighet
向往	lengte etter	Hun lengter etter et rolig liv
巷	et smug	Mange små butikker har åpnet i det gamle smuget
相声	tradisjonell komisk dialog	Bestefar liker å høre tradisjonell komisk dialog
消除	fjerne; eliminere	Kommunikasjon kan fjerne misforståelser
消毒	desinfisere	Legen desinfiserte såret
消防	brannvern	Brannmannskapene kom raskt til stedet
消耗	forbruke	Langdistansereiser forbruker mye fysisk energi
消灭	utrydde	Arbeiderne utrydder skadedyr
潇洒	ledig og stilsikker	Måten han går på er ledig og stilsikker
销毁	ødelegge	Tollvesenet ødela de forfalskede varene
小心翼翼	svært forsiktig	Hun åpnet esken svært forsiktig
效益	nytte; effektivitet	Det nye utstyret forbedret produksjonseffektiviteten
肖像	et portrett	Portrettet hans henger på veggen
协会	en forening	Denne foreningen hjelper unge gründere
协商	forhandle; rådføre seg	Begge sider er villige til å fortsette forhandlingene
协调	koordinere	Prosjektlederen har ansvar for å koordinere ressursene
协议	en avtale	De to sidene undertegnet en samarbeidsavtale
协助	bistå	Frivillige hjalp de eldre over veien
携带	bære med seg	Passasjerer får ikke ta med farlig gods
屑	spon; smuler	Det ligger mye trespon på bordet
泄露	lekke; røpe	Ansatte må ikke lekke kundeinformasjon
泄气	miste motet	Ikke mist motet etter et nederlag
谢绝	avslå høflig	Hotellet avslår høflig mat utenfra
心得	erfaring; lærdom	Hun delte lærdommen hun fikk av studiene
心甘情愿	helt frivillig	Han ble igjen for å hjelpe helt frivillig
心灵	sinn; ånd	Musikken trøstet sinnet hennes
心态	innstilling; tankegang	Det er viktig å beholde en positiv innstilling
心疼	ha vondt av; elske høyt	Moren hadde vondt av det skadde barnet
心血	hardt arbeid; møye	Denne boken inneholder forfatterens harde arbeid
心眼儿	sinnelag; baktanke	Han er litt smålig
新陈代谢	stoffskifte	Trening kan fremme stoffskiftet
新郎	brudgom	Brudgommen tok imot gjester ved døren
新娘	brud	Bruden hadde på seg en hvit brudekjole
新颖	nyskapende	Dette designet er svært nyskapende
欣慰	føle seg glad og lettet	Det gjorde henne glad og lettet å se barnets framgang
欣欣向荣	blomstrende	Turismen i byen blomstrer
薪水	lønn	Lønnen hans er nok til å forsørge familien
辛勤	flittig	Bønder arbeider flittig for å dyrke avlinger
信赖	stole på	Kunder stoler veldig på dette selskapet
信念	tro; overbevisning	En fast overbevisning støttet ham
信仰	trosretning; tro	Hun respekterer ulike trosretninger
信誉	omdømme	Et selskap må beskytte omdømmet sitt
兴高采烈	i strålende humør	Barna løp inn i klasserommet i strålende humør
兴隆	blomstrende; velstående	Denne gamle butikken har blomstrende virksomhet
兴旺	blomstre; være velstående	Markedsøkonomien blir stadig mer velstående
腥	fiskeluktende	Denne fisken lukter litt fisk
刑事	strafferettslig	Politiet etterforsker en straffesak
形态	form	En plantes form endrer seg med miljøet
行政	administrativ	Den administrative avdelingen behandler søknader
兴致勃勃	med stor interesse	Alle diskuterte planen med stor interesse
性感	sensuell	Denne aftenkjolen virker svært sensuell
性命	liv	Legen reddet livet hans
性能	ytelse	Denne datamaskinen har god ytelse
凶恶	ondskapsfull; voldsom	Denne hunden ser svært voldsom ut
凶手	en morder	Politiet tok endelig morderen
汹涌	opprørt; voldsomt bølgende	Opprørte bølger slo mot stranden
胸怀	sinnelag; vidsyn	Han har et vidsynt sinn
胸膛	bryst	Soldaten skjøv brystet fram
雄厚	sterk; solid	Selskapet har sterke økonomiske ressurser
雄伟	storslått	Denne broen er svært storslått
修复	reparere; restaurere	Ingeniører reparerer systemet
修建	bygge	Regjeringen planlegger å bygge en ny flyplass
修养	dannelse; selvkultivering	God dannelse viser seg i detaljene
羞耻	skam	Han følte skam etter å ha løyet
嗅觉	luktesans	En hunds luktesans er svært skarp
绣	brodere	Bestemor kan brodere blomster
虚假	falsk	Nettsiden la ut falsk informasjon
虚荣	forfengelighet	Forfengelighet fikk ham til å bruke for mye penger
虚伪	hyklersk	Hun misliker hyklersk høflighet
需求	etterspørsel; behov	Markedsetterspørselen øker
须知	viktig informasjon	Les først registreringsinformasjonen
许可	tillatelse	Du kan ikke gå inn uten tillatelse
序言	forord	Forfatteren forklarer bakgrunnen i forordet
畜牧	husdyrhold	Gresslandet egner seg til å utvikle husdyrhold
酗酒	alkoholmisbruk	Langvarig alkoholmisbruk skader helsen
喧哗	bråke; støy	Det er forbudt å bråke på biblioteket
宣誓	avlegge ed	Nye medlemmer avla ed på møtet
宣扬	fremme; forkynne	Skolen fremmer ærlighet og pålitelighet
悬挂	henge	Et maleri henger på veggen
悬念	spenning	Filmens slutt etterlater spenning
悬殊	stor forskjell	Forskjellen i styrke mellom de to lagene er enorm
悬崖峭壁	bratte klipper	Ved fjellveien ligger bratte klipper
旋律	melodi	Denne sangen har en vakker melodi
旋转	rotere; spinne	Vindmøllen roterer i vinden
选拔	velge ut	Skolen velger ut idrettsutøvere
选举	valg	Landsbyen holdt valg
选手	deltaker; utøver	Denne deltakeren presterte stabilt
炫耀	skryte av	Han liker alltid å skryte av rikdommen sin
削	kutte	Selskapet kuttet noen utgifter
削弱	svekke	Tretthet svekker dømmekraften
学说	teori	Denne teorien har stor innflytelse
学位	akademisk grad	Hun oppnådde en mastergrad
雪上加霜	gjøre vondt verre	Å miste jobben og så bli syk gjorde virkelig vondt verre
血压	blodtrykk	Legen minnet ham på å kontrollere blodtrykket
熏陶	påvirkning; prege	Hun ble preget av musikk fra barndommen av
寻觅	lete etter	De lette overalt etter passende bolig
巡逻	patruljere	Politiet patruljerer gatene om natten
循环	sirkulere; kretsløp	Vann sirkulerer i systemet
循序渐进	steg for steg	Språklæring bør gå fram steg for steg
压迫	undertrykke	Det gamle systemet undertrykte vanlige folk
压岁钱	nyttårspenger	Barnet fikk nyttårspenger
压缩	komprimere	Programvaren kan komprimere bildestørrelsen
压抑	undertrykke; kvele	Han prøvde hardt å undertrykke sitt indre sinne
压榨	presse; utnytte	Maskinen presser sukkerrørsaft
压制	dempe; undertrykke	Medisin kan dempe smerte
鸦雀无声	musende stille	Etter at læreren kom inn, ble klasserommet musende stille
亚军	andreplass	Hun tok andreplass i konkurransen
淹没	oversvømme	Flommen oversvømte den lavtliggende landsbyen
烟花爆竹	fyrverkeri og kinaputter	Fyrverkeri og kinaputter er forbudt i høytiden
严峻	alvorlig	Sysselsettingssituasjonen er fortsatt alvorlig
严寒	bitende kulde	Bitende kulde påvirker transporten
严禁	strengt forbudt	Røyking er strengt forbudt her
严厉	streng	Læreren kritiserte ham strengt
严密	tett; streng	Lageret har streng overvåking
岩石	stein; bergart	Steinene ved havet er svært harde
延期	utsette	Møtet ble utsatt til neste uke
延伸	strekke seg	Veien strekker seg nordover
延续	fortsette	Denne tradisjonen har fortsatt i hundre år
沿海	kyst-	Kystbyer har utviklet handel
炎热	svært varmt	Svært varmt vær gjør folk trøtte
言论	ytringer; uttalelser	Offentligheten følger med på uttalelsene hans
掩盖	skjule; dekke over	Han prøvde å dekke over feilen
掩护	dekke; beskytte	Lagkameratene hadde ansvar for å dekke tilbaketrekningen
掩饰	skjule; pynte på	Hun prøvde hardt å skjule nervøsiteten sin
演变	utvikle seg	Byens utforming fortsetter å utvikle seg
演习	øvelse	Skolen holdt en brannøvelse
演绎	utlede	Læreren utledet dette teoremet
演奏	spille; fremføre	Orkesteret fremfører klassisk musikk
眼光	dømmekraft; blikk	Han har god dømmekraft for investeringer
眼色	et blikk	Hun ga kollegaen et blikk
眼神	blikk	Blikket hans virket svært bestemt
厌恶	avsky	Han avskyr bedragersk oppførsel
验收	godkjenning; kontroll	Prosjektet trenger sluttkontroll etter ferdigstillelse
验证	bekrefte; verifisere	Eksperimentet bekreftet hypotesen
氧气	oksygen	Pasienten trenger å puste oksygen
样品	en prøve	Kunden mottok produktprøver
摇摆	vugge; svaie	Den lille båten vugget i vind og bølger
摇滚	rockemusikk	Unge mennesker liker rockemusikk
谣言	et rykte	Ikke spre ubekreftede rykter
遥控	fjernstyring	Han brukte telefonen til å fjernstyre klimaanlegget
遥远	fjern	Den landsbyen ligger langt fra byen
耀眼	blendende	Sollyset var blendende
要点	hovedpunkt	Skriv ned hovedpunktene fra møtet
要命	livsfarlig; veldig	Denne fjellveien er livsfarlig
要素	et element	Tillit er et viktig element i samarbeid
野蛮	brutal; usivilisert	Han er imot brutal håndheving av loven
野心	ambisjon	Den politiske ambisjonen hans er åpenbar
液体	væske	Denne væsken har ingen farge
一流	førsteklasses	Dette sykehuset har førsteklasses utstyr
一如既往	som alltid	Han støtter oss som alltid
依旧	fortsatt	Regnet stoppet, men gaten var fortsatt våt
依据	grunnlag; basert på	Dommen må bygge på loven
依靠	stole på; leve av	De lever av jordbruk
依赖	være avhengig av	Barn bør ikke være for avhengige av foreldrene sine
依托	bygge på	Prosjektet utvikles ved å bygge på lokale ressurser
衣裳	klær	Hun skiftet til rene klær
一度	en gang; for en tid	Selskapet sto en gang overfor konkurs
一贯	gjennomgående; konsekvent	Han har konsekvent motsatt seg sløsing
一目了然	klart ved første øyekast	Innholdet i tabellen er klart ved første øyekast
一向	alltid	Hun har alltid vært presis
仪器	et instrument	Laboratoriet kjøpte nye instrumenter
仪式	seremoni	Avslutningsseremonien holdes i morgen
疑惑	forvirret; tvil	Studenten var forvirret over svaret
遗产	arv; kulturarv	Denne gamle byen er kulturarv
遗传	arvelighet; arve	Denne sykdommen kan være arvelig
遗留	etterlate	Problemer som historien har etterlatt, må løses
遗失	miste	Den reisende mistet passet
以便	for å	Legg igjen et telefonnummer for at vi kan kontakte deg
以免	for å unngå	Dra tidligere for å unngå å komme for sent
以往	tidligere	Tidligere erfaring er verdt å rådføre seg med
以至	helt til; til og med	Omfanget utvidet seg til lokalsamfunnet og til og med hele byen
以致	føre til	Det kraftige regnet fortsatte og førte til at veiene ble stengt
一帆风顺	gå glatt	Å starte en bedrift kan ikke alltid gå glatt
一举两得	slå to fluer i ett smekk	Å sykle til jobben kan slå to fluer i ett smekk
一丝不苟	ytterst grundig	Ingeniøren kontrollerte ledningene ytterst grundig
亦	også	Han var også enig i denne planen
异常	unormal; avvik	Det oppsto en unormal situasjon i systemet
意料	forvente	Resultatet var helt uventet
意识	bevissthet; innse	Han innså gradvis at problemet var alvorlig
意图	hensikt	Politiet gjennomskuet hensikten hans
意味着	bety	Stillhet betyr ikke samtykke
意向	intensjon	Begge sider uttrykte en intensjon om å samarbeide
意志	vilje	Vanskeligheter tester en persons vilje
毅力	utholdenhet	Suksess krever langvarig utholdenhet
毅然	bestemt; resolutt	Hun forlot selskapet resolutt
翼	vinge	Flyvingen ble inspisert
阴谋	sammensvergelse	De avslørte sammensvergelsen
音响	akustikk; høyttalere	Stuen har god akustikk
引导	veilede	Læreren veiledet elevene til å tenke
引擎	motor	Bilmotoren stoppet plutselig
引用	sitere	Artikkelen siterte en stor mengde materiale
隐蔽	skjule seg; skjult	Soldatene skjulte seg i skogen
隐患	skjult fare	Gamle ledninger har skjulte sikkerhetsfarer
隐瞒	skjule; holde tilbake	Han skjulte ikke sannheten
隐私	personvern; privatliv	Selskapet må beskytte brukernes personvern
隐约	svakt; vagt	Sang kunne høres svakt i det fjerne
饮食	kosthold	Et sunt kosthold hjelper restitusjonen
婴儿	spedbarn	Spedbarnet sover stille
英明	klok	Lederen tok en klok beslutning
英勇	modig	Brannmannen reddet barnet modig
盈利	overskudd	Selskapet begynte å gå med overskudd i år
迎面	rett imot	En kald vind blåste rett mot oss
应酬	sosiale forpliktelser	Han har mange sosiale forpliktelser i kveld
应邀	på invitasjon	Eksperten deltok på forumet på invitasjon
庸俗	vulgær	Innholdet i denne reklamen er vulgært
拥护	støtte	Alle støtter den nye politikken
拥有	ha; eie	Han har rik erfaring
勇于	våge	Unge mennesker bør våge å prøve
永恒	evig	Kjærlighet er ikke evig uforanderlig
涌现	dukke opp i stort antall	Dyktige lærere dukker opp overalt
踊跃	ivrig	Beboerne meldte seg ivrig på aktiviteten
用户	bruker	Brukere kan endre passordene sine
优胜劣汰	de sterkeste overlever	Markedskonkurranse gjenspeiler at de sterkeste overlever
优先	prioritet	Eldre kan få betjening først
优异	fremragende	Hun oppnådde fremragende resultater
优越	overlegen; fordelaktig	Dette stedet har en fordelaktig beliggenhet
忧郁	melankolsk	Uttrykket hans så melankolsk ut
油腻	fet; oljete	Denne retten er for fet
油漆	male; maling	Arbeiderne maler døren
犹如	som	Innsjøens overflate er som et speil
有条不紊	metodisk	Møtet gikk metodisk fram
幼稚	barnslig; naiv	Denne ideen er litt naiv
诱惑	friste; fristelse	Reklamen er full av forbrukerfristelser
愚蠢	dum	Denne beslutningen er ekstremt dum
愚昧	uvitende	Uvitende ideer hindrer framgang
渔民	fisker	Fiskerne drar ut på havet ved daggry for å fiske
舆论	offentlig opinion	Offentlig opinion har stor innvirkning på saken
与日俱增	øke dag for dag	Antallet turister øker dag for dag
宇宙	universet	Menneskeheten fortsetter å utforske universet
羽绒服	dunjakke	Du må bruke dunjakke om vinteren
寓言	fabel	Denne fabelen er svært lærerik
愈	jo mer; bli bedre	Tilstanden blir bedre og bedre
欲望	begjær; ønske	Han kontrollerte lysten til å handle
熨	stryke	Hun strøk skjorten glatt
玉	en jade	Denne jaden har en varm farge
预料	forvente; forutse	Utviklingen i hendelsene overgikk forventningene
预期	forventning	Salget var under forventningene
预算	budsjett	Prosjektbudsjettet må justeres
预先	på forhånd	Forbered materialet på forhånd
预言	forutsi; spådom	Spådommen hans gikk ikke i oppfyllelse
预兆	varsel	Smerte kan være et varsel om sykdom
冤枉	gjøre urett	Ikke gjør en uskyldig person urett
元首	statsoverhode	Statsoverhodene i de to landene holdt samtaler
元素	grunnstoff; element	Oksygen er et kjemisk grunnstoff
元宵节	lanternefestival	Folk ser på lanterner under lanternefestivalen
原告	saksøker	Saksøkeren la fram nye bevis
原理	prinsipp	Læreren forklarte maskinens prinsipp
原始	opprinnelig; primitiv	De beholdt de opprinnelige opptegnelsene
原先	opprinnelig; tidligere	Den opprinnelige planen er allerede endret
园林	hageanlegg	Suzhous hageanlegg er svært berømte
圆满	vellykket	Møtet ble fullstendig vellykket
源泉	kilde	Praksis er kilden til kunnskap
缘故	grunn	Han sa opp av helsemessige grunner
约束	begrense; binde	Systemet begrenser ansattes oppførsel
乐谱	noter	Hun leste notene nøye
岳母	svigermor	Han dro for å besøke svigermoren sin i helgen
孕育	nære fram; bære fram	Jorden nærer fram nytt liv
蕴藏	inneholde	Fjellområdet inneholder rike mineralressurser
运算	regneoperasjon	Elevene øver på matematiske regneoperasjoner
运行	kjøre; være i drift	Systemet kjører stabilt
酝酿	overveie; være under utvikling	Begge sider overveier en ny plan
杂技	akrobatikk	Barn liker å se på akrobatikk
杂交	hybrid	Forskere studerer hybridris
砸	knuse	Koppen falt i gulvet og knuste
咋	hvordan; hvorfor	Hvordan har du fortsatt ikke kommet tilbake
栽培	dyrke	Gartneren dyrket mange blomster
灾难	katastrofe	Byen begynte gjenoppbygging etter katastrofen
宰	slakte	Landsbyboerne slakter sau under høytiden
再接再厉	fortsette innsatsen	Etter å ha vunnet en pris fortsatte laget innsatsen
在意	bry seg om	Hun bryr seg mye om andres meninger
攒	spare opp	Han sparer penger for å kjøpe en datamaskin
暂且	foreløpig	Legg denne saken til side foreløpig
赞叹	beundre	Publikum beundret skuespillerens opptreden
赞助	sponse	Selskapet sponset denne konkurransen
糟蹋	sløse bort	Ikke sløs bort denne ferske maten
遭受	lide under	Jordbrukslandet led under en alvorlig tørke
遭殃	rammes	Da broen kollapset, ble nærliggende beboere rammet
遭遇	møte; oppleve	De møtte en snøstorm på veien
噪音	støy	Byggestøy påvirker hvilen
造型	form; utforming	Denne bilmodellen har en svært særpreget form
责怪	klandre	Ikke klandre barnet blindt
贼	tyv	Politiet tok den tyven
增添	tilføre	Friske blomster tilfører rommet farge
赠送	gi som gave	Butikken gir små gaver
扎	stikke	Sykepleieren ga ham en sprøyte
扎实	solid	Grammatikkgrunnlaget hans er solid
渣	grut; slagg	Kaffegrut lå igjen i bunnen av koppen
眨	blunke	Hun blunket med øynene
诈骗	svindel	Politiet oppklarte en telekomsvindelsak
摘要	sammendrag	Sammendraget i artikkelen er klart skrevet
债券	obligasjon	Investorer kjøper statsobligasjoner
沾光	nyte godt av	Jeg nøt også godt av vennens hjelp
瞻仰	vise ærbødighet	Turister viser ærbødighet ved heltemonumentet
展示	vise fram	Selskapet viste fram sitt nyeste produkt
展望	utsyn; se framover	Rapporten ser framover mot framtidige trender
展现	vise	Verket viser livet på landsbygda
崭新	helt ny	Han kjøpte en helt ny sykkel
斩钉截铁	bestemt	Hun avslo bestemt
占据	oppta	Reklamen opptok hele siden
占领	okkupere	Hæren okkuperte fjellpasset
战斗	kamp	Kampen varte i tre timer
战略	strategi	Selskapet justerte utviklingsstrategien sin
战术	taktikk	Treneren endret kamptaktikken
战役	felttog	Dette felttoget endret situasjonen
章程	vedtekter	Foreningen vedtok nye vedtekter
帐篷	telt	De slo opp telt ved innsjøen
障碍	hindring	Språkhindringer påvirker kommunikasjonen
招标	innby til anbud	Ingeniørprosjektet innbød til offentlige anbud
招收	rekruttere	Skolen rekrutterer nye elever i år
朝气蓬勃	full av energi	Det unge laget er fullt av energi
着迷	bli fascinert	Barnet er fascinert av astronomi
沼泽	myr	Ekspedisjonen krysset myren
照样	som vanlig	Det regnet, men treningen fortsatte som vanlig
照耀	skinne	Sollyset skinner på torget
折腾	rote med	Slutt å rote med denne gamle datamaskinen
遮挡	blokkere	Grener blokkerte vinduet
折	brette; knekke	Han brettet papiret til et fly
折磨	plage	Langvarig søvnløshet plager henne
侦探	detektiv	Detektiven fant et viktig spor
斟酌	overveie	Overvei formuleringen nøye
珍贵	verdifull	Disse bildene er svært verdifulle
珍稀	sjelden	Beskytt sjeldne ville dyr
珍珠	perle	Hun har på seg perleøredobber
真理	sannhet	Praksis setter sannheten på prøve
真相	sannheten; faktiske forhold	Reporteren prøvde hardt å finne fram til sannheten
真挚	oppriktig	Hun uttrykte oppriktig takk
枕头	pute	Denne puten er for høy
振奋	løfte stemningen	Den gode nyheten løftet stemningen hos alle
振兴	gjenreise; revitalisere	Regjeringen fremmer revitalisering av landsbygda
镇定	rolig	Han holdt seg rolig i nødsituasjonen
镇静	holde seg rolig	Sykepleieren ba pasienten holde seg rolig
阵地	stilling	Soldatene holdt stillingen
阵容	oppstilling	Laget kunngjorde startoppstillingen
震撼	rystende; imponerende	Denne filmen er svært imponerende
震惊	sjokkere	Nyheten sjokkerte hele landet
争端	strid; konflikt	Begge sider prøvde å løse grensestriden
争夺	kjempe om	De to selskapene kjemper om markedsandeler
争气	gjøre en stolt	Han studerer hardt for å gjøre familien stolt
争先恐后	kappe om å være først	Turistene kappet om å komme først på bussen
争议	kontrovers	Denne beslutningen skapte kontrovers
征服	beseire; erobre	Klatreren erobret toppen
征收	kreve inn	Regjeringen krever inn skatt etter loven
挣扎	kjempe; streve	Fuglen kjempet i nettet
正月	første månemåned	Slektninger besøker hverandre i den første månemåneden
蒸发	fordampe	Fuktigheten fordampet raskt
整顿	omorganisere; rydde opp	Selskapet begynte å omorganisere ledelsen
政策	politikk	Den nye politikken støtter småbedrifter
政权	regime; styresmakt	Krigen endret det lokale regimet
正当	legitim; rimelig	Han kom med et legitimt krav
正负	positiv og negativ	Instrumentet viser positiv og negativ feilmargin
正规	formell; etter standard	Barnet begynte på en vanlig skole
正经	seriøs; ordentlig	Han begynte endelig å snakke seriøst
正气	rettskaffenhet	Samfunnet må fremme rettskaffenhet
正义	rettferdighet	Advokaten forsvarte rettferdigheten
正宗	ekte; autentisk	Denne restauranten selger autentisk Sichuan-mat
症状	et symptom	Feber er et vanlig symptom
证实	bekrefte	Undersøkelsen bekreftet forklaringen hans
证书	sertifikat	Hun fikk et profesjonelt sertifikat
郑重	alvorlig; høytidelig	Han lovet høytidelig å ta ansvar
之际	ved tiden for	Når vårfesten nærmer seg, er alle travle
支撑	støtte	Søylene støtter taket
支出	utgift	Husholdningsutgiftene har økt merkbart
支流	sideelv	Denne elven er en sideelv til Yangtze
支配	dominere; fordele	Følelser bør ikke dominere dømmekraften
支援	støtte	Leger fra mange steder kom for å gi støtte
支柱	bærebjelke	Industri er en bærebjelke i den lokale økonomien
枝	gren	Hun brøt av en blomstergren
知觉	bevissthet; sans	Den skadde personen gjenvant gradvis bevisstheten
知足常乐	nøysomhet gir glede	Den gamle mannen sier ofte at nøysomhet gir glede
脂肪	fett	Nøtter inneholder sunt fett
侄子	nevø	Nevøen min begynte på barneskolen i år
值班	ha vakt	Sykepleieren har vakt i kveld
执行	iverksette; utføre	Domstolen iverksatte dommen
执着	utholdende; besatt	Han er svært utholdende når det gjelder idealene sine
殖民地	koloni	Denne øya var en gang en koloni
直播	direktesending	Kampen sendes direkte på nettet i kveld
直径	en diameter	Diameteren på denne sirkelen er ti centimeter
职能	funksjon; rolle	Avdelingens funksjoner må fordeles på nytt
职位	stilling	Hun søkte på en lederstilling
职务	verv; stilling	Hans verv er prosjektleder
指标	mål; indikator	Salgsmålet er allerede nådd
指定	utpeke	Læreren utpekte ham til å svare på spørsmålet
指甲	fingernegl	Hun klippet neglene korte
指令	kommando	Datamaskinen mottok en ny kommando
指南针	kompass	Klatreren hadde med seg et kompass
指示	instruks; angi	Lederen ga klare instrukser
指望	regne med	Ikke regn med at andre skal gjøre det ferdig for deg
指责	kritisere	Offentligheten kritiserte selskapet for å forurense miljøet
制裁	sanksjon; straffe	Det internasjonale samfunnet innførte økonomiske sanksjoner
制服	tjenestedrakt	Vakten hadde på seg mørkeblå tjenestedrakt
制约	begrense	Utilstrekkelig finansiering begrenser utviklingen
制止	stanse	Politiet stanset konflikten i tide
志气	ambisjon; ryggrad	Unge mennesker bør ha ambisjoner
智力	intelligens	Spill kan trene intelligensen
智能	intelligent	Intelligente enheter blir stadig vanligere
智商	intelligenskvotient	Intelligenskvotient kan ikke avgjøre alt
治安	offentlig orden	Den offentlige sikkerheten i nabolaget har tydelig bedret seg
治理	styre; forvalte	Regjeringen styrket elveforvaltningen
滞留	strande	Passasjerene strandet på flyplassen på grunn av kraftig snø
致辞	holde tale	Rektoren holdt tale ved seremonien
致力	vie seg til	Laget vier seg til teknologisk innovasjon
致使	føre til	Ledelsesfeil førte til at prosjektet ble forsinket
中断	avbryte	Det kraftige regnet førte til at kommunikasjonen ble avbrutt
中立	nøytral	Det landet opprettholder en nøytral posisjon
中央	sentrum; sentral	Fontenen ligger i sentrum av torget
忠诚	lojal	De ansatte er lojale mot selskapet
忠实	trofast	Han er en trofast leser av denne avisen
终点	mål; endepunkt	Målstreken er rett foran oss
终究	til slutt	Problemet vil bli løst til slutt
终身	livslang; hele livet	Han bestemte seg for å arbeide med utdanning hele livet
终止	avslutte	Kontrakten avsluttes ved slutten av neste måned
衷心	oppriktig	Jeg takker deg oppriktig for hjelpen
种子	frø	Bøndene sådde nye frø
种族	rase; etnisitet	Loven forbyr rasediskriminering
肿瘤	svulst	Legen fant en godartet svulst
众所周知	som alle vet	Som alle vet, er vann viktig
种植	dyrke	Dette stedet egner seg til å dyrke druer
重心	tyngdepunkt; fokus	Arbeidets fokus flyttet seg mot service
周边	området rundt	Trafikken rundt skolen er tett
周密	grundig	De laget en grundig plan
周年	årsdag	Selskapet feiret tiårsjubileet sitt
周期	syklus	Produktets oppdateringssyklus er blitt kortere
周折	komplikasjoner	Å håndtere prosedyrene innebar mange komplikasjoner
周转	likviditet; omløp	Selskapet har problemer med likviditeten
州	delstat	Han bor i California i USA
粥	grøt	Pasienten spiste grøt om morgenen
舟	båt	Den lille båten nærmet seg langsomt bredden
昼夜	dag og natt	Arbeiderne reparerte veien dag og natt
皱纹	rynke	Bestemor har mange rynker i ansiktet
株	plante; tre	Det ble plantet tre trær i hagen
诸位	alle sammen	Takk til alle sammen for at dere kom i dag
逐年	år for år	Driftskostnadene stiger år for år
主办	arrangere	Skolen arrangerte kunstfestivalen
主导	lede; være styrende	Markedsetterspørselen styrer produktutformingen
主管	leder; ansvarlig	Lederen har ansvar for å godkjenne budsjettet
主流	hovedstrøm	Miljøtanker har blitt hovedstrøm
主权	suverenitet	Nasjonal suverenitet må respekteres
主义	doktrine; ideologi	Han studerer ulike politiske doktriner
嘱咐	formane; be noen om	Moren ba ham gjentatte ganger om å ta med paraply
拄	støtte seg på	Den gamle mannen går med stokk
住宅	bolig	Dette området er for det meste boligområde
助理	assistent	Assistenten ordnet møtematerialet
助手	hjelper	Roboten er en laboratoriehjelper
注射	injeksjon; injisere	Legen injiserte medisin i pasienten
注视	betrakte; stirre	Hun stirret ut i det fjerne
注释	merknad; annotasjon	Det er detaljerte merknader ved siden av teksten
注重	legge vekt på	Selskapet legger vekt på produktkvalitet
著作	verk	Dette verket har vidtrekkende innflytelse
铸造	støpe	Fabrikken støper store deler
驻扎	stasjonere	Troppene er stasjonert ved grensen
拽	dra	Han dro esken inn i rommet
专长	spesialfelt	Dataanalyse er spesialfeltet hennes
专程	spesiell tur	Han tok en egen tur for å besøke læreren
专利	et patent	Selskapet søkte om et nytt patent
专题	spesialtema	TV-stasjonen sendte et spesialprogram om miljøvern
砖	murstein	Arbeiderne kom med en vogn murstein
转达	videreformidle	Videreformidle min takk
转让	overføre	Han bestemte seg for å overføre butikken
转移	flytte; overføre	Sykepleieren flyttet de sårede
转折	vendepunkt	Et viktig vendepunkt dukket opp i historien
传记	biografi	Hun skriver farens biografi
庄稼	avling	Regnet næret avlingene
庄严	høytidelig	Seremonien hadde en høytidelig stemning
庄重	verdig	Han hadde på seg verdige formelle klær
装备	utstyr; utstyre	Laget er utstyrt med avansert utstyr
装卸	laste og losse	Havnearbeidere har ansvar for å laste og losse varer
壮观	spektakulær	Fossefallandskapet er svært spektakulært
壮丽	storslått	Her finnes storslåtte fjell og elver
壮烈	heroisk	Helten døde heroisk
幢	bygning	Det står et gammelt hus på hjørnet
追悼	minnehøytid	Folk deltok i minnehøytiden
追究	granske	Selskapet vil granske ansvaret
坠	falle	Bladene falt fra grenene
准则	rettesnor	Ærlighet er en rettesnor for samarbeid
卓越	fremragende	Hun oppnådde fremragende resultater
琢磨	gruble over	Han grublet gjentatte ganger over dette problemet
着手	ta fatt på	Laget tar fatt på undersøkelsen i morgen
着想	ta hensyn til	Foreldre tar alltid hensyn til barnas behov
着重	legge vekt på	Rapporten legger vekt på kostnadsanalyse
姿态	holdning; kroppsholdning	Hun beholdt en beskjeden holdning
滋润	fukte	Vårregnet fuktet jorden
滋味	smak; følelse	Følelsen av nederlag er vanskelig å bære
资本	kapital	Å starte en bedrift krever noe kapital
资产	eiendeler	Selskapets eiendeler fortsetter å vokse
资深	erfaren	En erfaren advokat håndterte denne saken
资助	gi økonomisk støtte	Stiftelsen gir fattige studenter økonomisk støtte
子弹	kule	Kulen traff veggen
自卑	mindreverdig	Han føler seg ikke lenger mindreverdig
自发	spontan	Beboerne ryddet gaten spontant
