simplified	LV	example_LV
逝世	aiziet mūžībā	Šis rakstnieks pagājušajā gadā aizgāja mūžībā.
释放	atbrīvot	Tiesa nolēma atbrīvot apsūdzēto.
收藏	kolekcionēt	Viņš kolekcionēja daudz vecu pastmarku.
收缩	sarauties	Auksts gaiss var likt metālam sarauties.
收益	peļņa	Ieguldījumu peļņa bija lielāka nekā gaidīts.
收音机	radio	Vecmāmiņa katru dienu klausās radio.
守护	sargāt	Ārsti sargā pacientu dzīvības.
手法	paņēmiens	Režisora filmēšanas paņēmiens ir ļoti savdabīgs.
手势	žests	Viņš ar žestu parādīja piekrišanu.
手艺	meistarība	Šim meistaram ir ļoti laba meistarība.
首饰	rotaslietas	Viņa valkāja vienkāršas sudraba rotaslietas.
首要	galvenais	Drošība ir galvenais uzdevums.
受罪	ciest	Pacients pēc operācijas daudz cieta.
授予	piešķirt	Skola viņam piešķīra goda grādu.
书法	kaligrāfija	Viņš kopš bērnības praktizē kaligrāfiju.
书记	sekretārs	Ciema partijas sekretārs vadīja sanāksmi.
书籍	grāmatas	Bibliotēkā glabājas liels daudzums grāmatu.
书面	rakstisks	Lūdzu, sniedz rakstisku apliecinājumu.
疏忽	nolaidība	Šī kļūda radās darba nolaidības dēļ.
疏远	attālināties	Pārpratums lika abiem cilvēkiem pakāpeniski attālināties.
舒畅	labi ap sirdi	Pēc pastaigas man bija labi ap sirdi.
数额	summa	Kompensācijas summa vēl nav noteikta.
束	pušķis	Viņa nopirka ziedu pušķi.
束缚	ierobežot	Tradicionālie priekšstati ierobežoja viņa izvēli.
树立	veidot	Uzņēmumam jāveido labs tēls.
竖	uzstādīt	Lūdzu, uzstādi zīmi vertikāli.
耍	spēlēties	Darba laikā nespēlējies ar telefonu.
衰老	novecošana	Fiziskās aktivitātes var palēnināt novecošanu.
衰退	recesija	Ekonomiskā recesija ietekmēja nodarbinātību.
率领	vadīt	Komandas kapteinis vadīja komandu uz priekšu.
涮火锅	ēst hotpot	Ziemā visiem patīk ēst hotpot.
双胞胎	dvīņi	Viņi ir dvīņu pāris.
爽快	tiešs	Viņa atbildēja ļoti tieši.
水利	ūdenssaimniecība	Šis reģions augstu vērtē ūdenssaimniecības būvniecību.
水龙头	krāns	Virtuves krāns tek.
水泥	cements	Strādnieki nogādāja cementu būvlaukumā.
瞬间	mirklis	Gaismas vienā mirklī visas nodzisa.
司法	tiesu vara	Tiesu varas neatkarībai vajadzīga institucionāla aizsardzība.
司令	komandieris	Komandieris izdeva atkāpšanās pavēli.
思念	ilgoties	Viņa bieži ilgojas pēc dzimtās puses.
思索	pārdomāt	Viņš nolieca galvu un ilgi pārdomāja.
思维	domāšana	Šis treniņš var uzlabot loģisko domāšanu.
斯文	izsmalcināts	Viņš runā izsmalcināti un maigi.
私自	bez atļaujas	Skolēni nedrīkst bez atļaujas pamest skolu.
死亡	nāve	Negadījums izraisīja vairāku cilvēku nāvi.
四肢	ekstremitātes	Pirms vingrošanas jāiekustina ekstremitātes.
寺庙	templis	Kalnā ir sens templis.
肆无忌惮	bez jebkādiem aizspriedumiem	Viņš bez jebkādiem aizspriedumiem pārkāpa noteikumus.
饲养	audzēt	Ferma audzē daudz piena govju.
耸	paraustīt plecus	Pēc noklausīšanās viņš tikai paraustīja plecus.
艘	kuģis	Trīs kravas kuģi stāv ostā.
苏醒	atgūt samaņu	Pacients beidzot atguva samaņu.
俗话	paruna	Kā saka paruna, prakse rada meistarību.
塑造	veidot	Vide var veidot cilvēka raksturu.
素食	veģetārs ēdiens	Šis restorāns piedāvā veģetāru ēdienu.
素质	kvalitāte	Apkalpojošajam personālam ir augsta kvalitāte.
诉讼	tiesvedība	Abas puses nolēma to atrisināt tiesvedībā.
算数	turēt vārdu	Tev jātur savs vārds.
随即	tūlīt	Pēc sanāksmes beigām viņš tūlīt aizgāja.
随意	patvaļīgi	Lūdzu, nemaini iestatījumus patvaļīgi.
岁月	gadi	Gadi mainīja viņa izskatu.
隧道	tunelis	Vilciens izbrauca cauri garam tunelim.
损坏	sabojāt	Spēcīgais lietus sabojāja ceļu.
索取	pieprasīt	Klienti var bez maksas pieprasīt paraugus.
索性	vienkārši	Lietus bija pārāk stiprs, tāpēc mēs vienkārši neizgājām ārā.
塌	sabrukt	Vecās mājas jumts sabruka.
踏实	mierīgs	Pēc uzdevuma pabeigšanas man sirdī bija mierīgi.
塔	tornis	Pilsētas centrā ir augsts tornis.
台风	taifūns	Paredzams, ka taifūns rīt sasniegs krastu.
太空	kosmoss	Cilvēce vienmēr ir pētījusi kosmosu.
泰斗	vadoša autoritāte	Viņš ir vadoša autoritāte valodniecībā.
摊	stends	Viņa tirgū uzstādīja augļu stendu.
瘫痪	paralīze	Satiksmes negadījums izraisīja viņa apakšējo ekstremitāšu paralīzi.
贪婪	alkatība	Alkatība var sagraut cilvēku.
贪污	korupcija	Ierēdni izmeklēja par korupciju.
弹性	elastība	Šim materiālam ir liela elastība.
坦白	atzīties	Viņš beidzot atzinās patiesībā.
叹气	nopūsties	Izdzirdot rezultātu, viņš nespēja atturēties no nopūtas.
探测	atklāt	Iekārta var atklāt pazemes ūdeni.
探索	pētīt	Zinātnieki turpina pētīt Visumu.
探讨	apspriest	Eksperti apsprieda reformas plānu.
探望	apciemot	Nedēļas nogalē es devos uz slimnīcu apciemot draugu.
倘若	ja	Ja līs, pasākums tiks pārcelts.
掏	izvilkt	Viņš izvilka atslēgu no kabatas.
滔滔不绝	runāt bez apstājas	Kad viņš sāk runāt par vēsturi, viņš runā bez apstājas.
淘汰	izslēgt	Šī komanda tika izslēgta priekšlaicīgi.
陶瓷	keramika	Dzjindežeņa ir slavena ar keramiku.
陶醉	apburt	Publiku apbūra mūzika.
讨好	izpatikt	Viņš nevēlas apzināti izpatikt priekšniekam.
特长	stiprā puse	Gleznošana ir viņas stiprā puse.
特定	konkrēts	Lūdzu, iesniedz pieteikumu konkrētajā laikā.
特意	īpaši	Es atnācu īpaši, lai tev pateiktos.
提拔	paaugstināt	Uzņēmums viņu paaugstināja par nodaļas vadītāju.
提炼	iegūt	Rūpnīca iegūst metālu no rūdas.
提示	atgādinājums	Sistēma parādīs atgādinājumu ievadīt paroli.
提议	priekšlikums	Viņa izteica priekšlikumu rīt turpināt diskusiju.
题材	tēma	Šīs filmas tēma ir jauna.
体裁	žanrs	Romāni un dzeja ir dažādi žanri.
体积	tilpums	Šai kastei ir liels tilpums.
体谅	izrādīt sapratni	Lūdzu, izrādi sapratni par viņa grūtībām.
体面	cienījams	Viņš vēlas atrast cienījamu darbu.
体系	sistēma	Uzņēmums izveidoja pilnīgu apmācību sistēmu.
天才	ģēnijs	Šo bērnu uzskata par mūzikas ģēniju.
天赋	talants	Viņai ir talants mācīties valodas.
天伦之乐	ģimenes laime	Vecais cilvēks bauda ģimenes laimi.
天然气	dabasgāze	Pilsētas iedzīvotāji ēdiena gatavošanai izmanto dabasgāzi.
天生	iedzimts	Viņš pēc dabas ir optimistisks.
天堂	paradīze	Šī vieta ir kā paradīze zemes virsū.
天文	astronomija	Viņam kopš bērnības patīk astronomija.
田径	vieglatlētika	Skola rīkoja vieglatlētikas sacensības.
田野	lauks	Pavasarī lauki ir pilnīgi zaļi.
舔	laizīt	Kucēns palaizīja saimnieka roku.
挑剔	izvēlīgs	Viņa ir ļoti izvēlīga ēdiena ziņā.
条款	punkts	Līguma punkti jāizlasa uzmanīgi.
条理	sakārtotība	Viņa runa bija ļoti labi sakārtota.
条约	līgums	Abas valstis parakstīja miera līgumu.
调和	saskanēt	Šīs divas krāsas labi saskan.
调剂	līdzsvarot	Sports var līdzsvarot saspringtu dzīvi.
调节	regulēt	Gaisa kondicionieris var regulēt iekštelpu temperatūru.
调解	starpniekot	Kopienas darbinieki palīdzēja starpniekot strīdā starp abām pusēm.
调料	garšviela	Zupai jāpievieno mazliet garšvielu.
挑拨	kūdīt	Nevajag kūdīt attiecības starp kolēģiem.
挑衅	provokācija	Šāds izteikums satur acīmredzamu provokāciju.
跳跃	lēkt	Sportists trīs reizes pēc kārtas lēca.
亭子	paviljons	Pie ezera ir mazs paviljons.
停泊	pietauvoties	Zvejas laivas ir pietauvotas ostā.
停顿	pauze	Runas vidū viņš uz brīdi ieturēja pauzi.
停滞	apstāties	Projekts apstājās nepietiekama finansējuma dēļ.
挺拔	taisns un stalts	Priedes aug garas, taisnas un staltas.
通货膨胀	inflācija	Inflācija paaugstināja dzīves dārdzību.
通缉	izsludināt meklēšanā	Policija šo aizdomās turēto izsludina meklēšanā.
通俗	vienkāršs	Šīs grāmatas valoda ir ļoti vienkārša.
通讯	sakari	Mūsdienu sakaru tehnoloģijas attīstās ātri.
通用	universāls	Šāda veida lādētājs ir diezgan universāls.
同胞	tautietis	Ārzemju tautieši arī interesējas par dzimtās vietas attīstību.
同志	biedrs	Vecais biedrs dalījās darba pieredzē.
童话	pasaka	Bērnam pirms miega patīk klausīties pasakas.
铜	varš	Šī statuja ir izgatavota no vara.
统筹兼顾	vispusīgi saskaņot	Pilsētplānošanā jāvispusīgi saskaņo visu pušu intereses.
统计	saskaitīt	Mums jāsaskaita reģistrēto cilvēku skaits.
统统	visi	Visi šie vecie dokumenti jāarhivē.
统治	valdīt	Šī dinastija valdīja trīs simtus gadu.
投机	spekulācija	Viņš nopelnīja naudu ar spekulāciju.
投票	balsošana	Iedzīvotāji rīt piedalīsies balsošanā.
投诉	sūdzība	Klients platformā iesniedza sūdzību par tirgotāju.
投降	padoties	Ienaidnieka armija beigās izvēlējās padoties.
投掷	mest	Sportists trenējās mest šķēpu.
透露	atklāt	Viņš neatklāja sanāksmes detaļas.
秃	pliks	Viņš kļuva plikpaurains jau jaunībā.
突破	izrāviens	Pētījumā panākts nozīmīgs izrāviens.
图案	raksts	Šī auduma raksts ir ļoti skaists.
徒弟	māceklis	Meistars māca māceklim remontēt pulksteņus.
涂抹	uzklāt	Lūdzu, uzklāj ziedi ap brūci.
途径	veids	Internets ir svarīgs veids, kā iegūt informāciju.
土壤	augsne	Auglīga augsne ir piemērota dārzeņu audzēšanai.
团结	vienoties	Komandai jāvienojas un jāsadarbojas.
团体	grupa	Šī grupa regulāri rīko pasākumus.
团圆	atkalapvienošanās	Pavasara svētki ir ģimenes atkalapvienošanās laiks.
推测	minēt	Eksperti min, ka cenas turpinās kāpt.
推翻	gāzt	Tauta gāza veco sistēmu.
推理	spriešana	Šis romāns ir pilns ar spriešanas sižetiem.
推论	secinājums	Šim secinājumam vēl vajadzīgi pierādījumi.
推销	tirgot	Viņš atbild par jaunā produkta tirdzniecību.
吞吞吐吐	stostīties	Atbildot uz jautājumu, viņš stostījās un vilcinājās.
托运	nodot bagāžu	Pasažieri var nodot bagāžu pie letes.
拖延	kavēt	Nevajag vairs kavēt maksājuma laiku.
脱离	atrauties	Teorija nedrīkst atrauties no realitātes.
妥当	piemērots	Šis izkārtojums ir ļoti piemērots.
妥善	pienācīgi	Lūdzu, pienācīgi glabā svarīgos dokumentus.
妥协	kompromiss	Abas puses beigās panāca kompromisu.
椭圆	elipse	Zemes orbīta ir tuva elipsei.
唾弃	nicināt	Sabiedrība nicina šādu krāpšanu.
哇	vau	Vau, šis tilts ir patiešām iespaidīgs!
挖掘	izrakt	Arheologu komanda izrok seno kapu.
娃娃	lelle	Mazā meitene tur lelli.
瓦解	sabrukt	Iekšējās pretrunas lika aliansei sabrukt.
歪曲	sagrozīt	Ziņojumiem nevajadzētu sagrozīt faktus.
外表	āriene	Nevērtē cilvēkus tikai pēc ārienes.
外行	nespeciālists	Tiesību jautājumos esmu pilnīgs nespeciālists.
外界	ārpasaule	Uzņēmums reti reaģē uz ārpasaules kritiku.
外向	ekstraverts	Viņai ir ekstraverta personība un daudz draugu.
丸	tablete	Ārsts viņam izrakstīja vairākas tabletes.
完备	pilnīgs	Šis materiālu komplekts ir ļoti pilnīgs.
完毕	beigties	Sanāksme jau ir beigusies.
玩弄	rotaļāties	Nerotaļājies ar citu cilvēku jūtām.
玩意儿	lieta	Kas tā ir par jaunu lietu?
顽固	stūrgalvīgs	Viņa attieksme ir ļoti stūrgalvīga.
顽强	sīksts	Ievainotais parādīja lielu sīkstumu.
惋惜	nožēlot	Visi nožēloja neveiksmi.
挽回	atgūt	Viņš centās atgūt uzņēmuma zaudējumus.
挽救	glābt	Ārsts veiksmīgi izglāba pacienta dzīvību.
万分	ļoti	Es esmu ļoti pateicīgs par tavu palīdzību.
往常	parasti	Šodien ir karstāks nekā parasti.
往事	pagātne	Vecais cilvēks bieži atceras pagātni.
妄想	veltīgi sapņot	Viņš veltīgi sapņo vienā naktī kļūt bagāts.
危机	krīze	Uzņēmums saskaras ar nopietnu krīzi.
威风	iespaidīgs	Ģenerālis zirga mugurā izskatījās iespaidīgs.
威力	spēks	Šim ieroča veidam ir liels spēks.
威望	prestižs	Viņam ciematā ir liels prestižs.
威信	uzticamība	Vadītājiem jāuztur valdības uzticamība.
微不足道	nenozīmīgs	Šis mazais zaudējums ir nenozīmīgs.
微观	mikro	Šis kurss iepazīstina ar mikroekonomiku.
为难	apgrūtināt	Beidz apgrūtināt viesmīli.
为期	ilgt	Apmācības ilgst trīs mēnešus.
唯独	vienīgi	Visi ieradās, vienīgi viņš neatnāca.
维持	uzturēt	Policija uzturēja kārtību notikuma vietā.
维护	aizsargāt	Mums jāaizsargā savas likumīgās tiesības un intereses.
维生素	vitamīns	Augļi satur daudz vitamīnu.
违背	pārkāpt	Šis lēmums pārkāpj līguma garu.
伪造	viltot	Kāds viltoja viņa parakstu.
委托	uzticēt	Klients uzticēja advokātam lietas izskatīšanu.
委员	komitejas loceklis	Katrs komitejas loceklis izteica viedokli.
卫星	satelīts	Satelīts iegāja paredzētajā orbītā.
喂	barot	Bērns baro kaķēnu.
慰问	paust līdzjūtību	Vadītāji devās uz slimnīcu paust līdzjūtību ievainotajiem.
未免	pārāk	Šī prasība ir mazliet pārāk augsta.
畏惧	baidīties	Viņš nekad nebaidās no grūtībām.
蔚蓝	debeszils	Debesis ieguva debeszilu krāsu.
温带	mērenā josla	Šis augs ir piemērots mērenās joslas klimatam.
温和	mērens	Viņa politiskā nostāja ir samērā mērena.
文凭	diploms	Šim darbam vajadzīgs universitātes diploms.
文物	kultūras relikvija	Muzejs izstādīja vērtīgas kultūras relikvijas.
文献	literatūra	Rakstā citēts liels daudzums literatūras.
文雅	elegants	Viņa uzvedas eleganti.
文艺	literatūra un māksla	Šajā pilsētā ir spēcīga literatūras un mākslas gaisotne.
问世	iznākt	Šis tālruņa modelis drīz iznāks.
窝	ligzda	Kokā ir putna ligzda.
乌黑	melns kā piķis	Viņai ir gari, melni kā piķis mati.
污蔑	apmelot	Viņš noliedza, ka būtu apmelojis konkurentu.
诬陷	ierāmēt	Pierādījumi rāda, ka viņš tika ierāmēts.
无比	ārkārtīgi	Izdzirdot ziņu, viņš jutās ārkārtīgi saviļņots.
无偿	bez maksas	Brīvprātīgie sniedz pakalpojumus bez maksas.
无耻	bezkaunīgs	Šāda krāpnieciska rīcība ir ļoti bezkaunīga.
无动于衷	vienaldzīgs	Saskaroties ar kritiku, viņš palika vienaldzīgs.
无非	tikai	Viņš to darīja tikai tāpēc, lai ietaupītu naudu.
无辜	nevainīgs	Tiesa noteica, ka viņš ir nevainīgs.
无精打采	bez enerģijas	Šodien viņš izskatās bez enerģijas.
无赖	blēdis	Ciema iedzīvotāji nevēlas saistīties ar to blēdi.
无理取闹	bez iemesla taisīt nepatikšanas	Lūdzu, netaisi šeit nepatikšanas bez iemesla.
无能为力	bezspēcīgs	Saskaroties ar plūdiem, ciema iedzīvotāji bija bezspēcīgi.
无穷无尽	bezgalīgs	Tuksnesis izskatījās bezgalīgs.
无微不至	ļoti rūpīgs	Medmāsa ļoti rūpīgi aprūpēja pacientu.
无忧无虑	bezrūpīgs	Bērni bezrūpīgi spēlējās zālē.
无知	nezināšana	Nezināšana nav iemesls atteikties mācīties.
侮辱	apvainot	Viņa vārdi apvainoja otru cilvēku.
武器	ierocis	Šie ieroči tiek glabāti vienotā uzraudzībā.
武侠	cīņas mākslu romāni	Viņam kopš bērnības patīk lasīt cīņas mākslu romānus.
武装	bruņots	Pierobežas rajons pastiprināja bruņotās patruļas.
舞蹈	deja	Šai dejai ir izteiktas etniskas iezīmes.
务必	obligāti	Lūdzu, obligāti ierodies laikā.
物美价廉	labs un lēts	Šī veikala preces ir labas un lētas.
物业	namu pārvaldnieks	Namu pārvaldnieks atbild par remontiem dzīvojamajā kopienā.
物资	krājumi	Glābšanas krājumi jau ir nogādāti katastrofas rajonā.
误差	kļūda	Mērījuma rezultātā ir neliela kļūda.
误解	pārpratums	Abas puses ar saziņu novērsa pārpratumu.
夕阳	rietējoša saule	Rietošā saule nokrāsoja debesis zeltainas.
昔日	agrākais	Agrākais mazais ciems kļuva par pilsētu.
溪	strauts	Mazs strauts plūst cauri kalniem.
熄灭	nodzēst	Lūdzu, nodzēs sveci.
牺牲	upuris	Viņi nesa upuri, lai glābtu citus.
膝盖	celis	Viņš savainoja celi.
习俗	paraža	Pavasara svētkos ir daudz tradicionālu paražu.
媳妇	sieva	Viņa sieva strādā slimnīcā.
袭击	uzbrukt	Vētra skāra piekrastes pilsētu.
喜闻乐见	iecienīts	Šāds raidījums skatītājiem ir iecienīts.
喜悦	prieks	Viņas sejā parādījās priecīgs smaids.
系列	sērija	Uzņēmums laida klajā jaunu produktu sēriju.
细菌	baktērijas	Augsta temperatūra var nogalināt baktērijas.
细胞	šūna	Cilvēka ķermenis sastāv no neskaitāmām šūnām.
细致	rūpīgs	Viņas novērojums ir ļoti rūpīgs.
峡谷	kanjons	Upe plūst cauri dziļam kanjonam.
狭隘	šaurs	Šāds šaurs skatījums jāmaina.
狭窄	šaurs	Šī taka ir ļoti šaura.
霞	vakara blāzma	Vakara blāzma nokrāsoja debesis sārtas.
下属	padotais	Vadītājs uzmanīgi uzklausīja padoto viedokļus.
先进	attīstīts	Rūpnīca izmantoja attīstītas iekārtas.
先前	iepriekšējs	Iepriekšējais plāns jau ir mainīts.
掀起	izraisīt	Šī grāmata izraisīja diskusiju vilni.
纤维	šķiedra	Šis audums satur dabisku šķiedru.
鲜明	skaidrs	Viņa nostāja ir ļoti skaidra.
嫌	nepatikt	Viņai nepatīk, ka istaba ir pārāk maza.
嫌疑	aizdomas	Šis vīrietis ir nopietnās aizdomās.
弦	stīga	Ģitārai pārtrūka viena stīga.
衔接	savienoties	Abu kursu saturs labi savienojas.
贤惠	tikls un spējīgs	Viņu uzskata par tiklu un spējīgu.
闲话	tenkas	Nerunā tenkas par citiem aiz muguras.
显著	ievērojams	Ārstēšanas efekts ir ļoti ievērojams.
宪法	konstitūcija	Konstitūcija garantē pilsoņu pamattiesības.
现场	notikuma vieta	Žurnālisti jau ieradušies negadījuma vietā.
现成	gatavs	Virtuvē ir gatavs ēdiens.
现状	pašreizējā situācija	Mums jāizprot nozares pašreizējā situācija.
线索	pavediens	Policija atrada jaunu pavedienu.
陷害	iegāzt	Viņš apgalvoja, ka kāds viņu iegāzis.
陷阱	lamatas	Mednieks uzstādīja lamatas.
陷入	nonākt	Uzņēmums nonāca finansiālās grūtībās.
馅儿	pildījums	Šī baozi pildījums ļoti labi smaržo.
乡镇	ciemi un pagasti	Apstākļi ciemu un pagastu skolās uzlabojas.
相差	atšķirties	Abu vietu temperatūra atšķiras par desmit grādiem.
相等	vienāds	Abiem trijstūriem ir vienāds laukums.
相辅相成	papildināt viens otru	Teorija un prakse papildina viena otru.
相应	atbilstošs	Uzņēmums veiks atbilstošus pasākumus.
镶嵌	iestrādāt	Gredzenā ir iestrādāts dārgakmens.
响亮	skaļš un skaidrs	Viņa atbilde bija skaļa un skaidra.
响应	atsaukties	Daudzi cilvēki atsaucās vides iniciatīvai.
想方设法	meklēt visus iespējamos veidus	Viņi meklēja visus iespējamos veidus, kā samazināt izmaksas.
向导	gids	Vietējais gids mūs ieveda kalnos.
向来	vienmēr	Viņš vienmēr ir augstu vērtējis uzticamību.
向往	ilgoties	Viņa ilgojas pēc klusas dzīves.
巷	aleja	Vecajā alejā atvērti daudzi mazi veikali.
相声	sjanshens	Vectēvam patīk klausīties tradicionālo sjanshenu.
消除	novērst	Saziņa var novērst pārpratumus.
消毒	dezinficēt	Ārsts dezinficēja brūci.
消防	ugunsdzēsība	Ugunsdzēsēji ātri ieradās notikuma vietā.
消耗	patērēt	Tāls ceļojums patērē daudz fiziskās enerģijas.
消灭	iznīcināt	Strādnieki iznīcina kaitēkļus.
潇洒	brīvs un elegants	Viņa gaita ir brīva un eleganta.
销毁	iznīcināt	Muita iznīcināja viltotās preces.
小心翼翼	ļoti uzmanīgi	Viņa ļoti uzmanīgi atvēra kasti.
效益	efektivitāte	Jaunā iekārta uzlaboja ražošanas efektivitāti.
肖像	portrets	Pie sienas karājas viņa portrets.
协会	asociācija	Šī asociācija palīdz jauniem uzņēmējiem.
协商	apspriest	Abas puses ir gatavas turpināt apspriedes.
协调	koordinēt	Projekta vadītājs atbild par resursu koordinēšanu.
协议	vienošanās	Abas puses parakstīja sadarbības vienošanos.
协助	palīdzēt	Brīvprātīgie palīdzēja vecajiem cilvēkiem šķērsot ceļu.
携带	nēsāt	Pasažieri nedrīkst nēsāt bīstamas preces.
屑	skaidas	Uz galda ir daudz koka skaidu.
泄露	nopludināt	Darbinieki nedrīkst nopludināt klientu informāciju.
泄气	zaudēt drosmi	Pēc neveiksmes nezaudē drosmi.
谢绝	pieklājīgi atteikt	Viesnīca pieklājīgi atsakās pieņemt līdzpaņemtu ēdienu.
心得	gūtā pieredze	Viņa dalījās savā mācībās gūtajā pieredzē.
心甘情愿	pilnīgi labprāt	Viņš pilnīgi labprāt palika palīdzēt.
心灵	dvēsele	Mūzika mierināja viņas dvēseli.
心态	attieksme	Pozitīvas attieksmes saglabāšana ir ļoti svarīga.
心疼	žēlot	Mātei bija žēl ievainotā bērna.
心血	rūpīgs ieguldījums	Šajā grāmatā ieguldīts autora rūpīgais darbs.
心眼儿	sīkumainība	Viņš ir mazliet sīkumains.
新陈代谢	vielmaiņa	Fiziskās aktivitātes var veicināt vielmaiņu.
新郎	līgavainis	Līgavainis pie durvīm sagaidīja viesus.
新娘	līgava	Līgava bija ģērbusies baltā kāzu kleitā.
新颖	novatorisks	Šis dizains ir ļoti novatorisks.
欣慰	gandarīts	Redzot bērna progresu, viņa jutās gandarīta.
欣欣向荣	plaukstošs	Mazpilsētas tūrisms plaukst.
薪水	alga	Viņa alga ir pietiekama ģimenes uzturēšanai.
辛勤	centīgs	Zemnieki centīgi audzē labību.
信赖	uzticēties	Klienti ļoti uzticas šim uzņēmumam.
信念	pārliecība	Stingra pārliecība viņu atbalstīja.
信仰	ticība	Viņa ciena dažādas ticības.
信誉	reputācija	Uzņēmumam jāaizsargā sava reputācija.
兴高采烈	ļoti pacilāts	Bērni ļoti pacilāti ieskrēja klasē.
兴隆	plaukstošs	Šim vecajam veikalam bizness plaukst.
兴旺	uzplaukt	Tirgus ekonomika kļūst arvien plaukstošāka.
腥	zivjains	Šī zivs mazliet ož pēc zivīm.
刑事	krimināls	Policija izmeklē krimināllietu.
形态	forma	Auga forma mainās atkarībā no vides.
行政	administratīvs	Administratīvā nodaļa apstrādā pieteikumus.
兴致勃勃	ar lielu interesi	Visi ar lielu interesi apsprieda plānu.
性感	seksīgs	Šī vakarkleita izskatās ļoti seksīga.
性命	dzīvība	Ārsts izglāba viņa dzīvību.
性能	veiktspēja	Šim datoram ir laba veiktspēja.
凶恶	mežonīgs	Šis suns izskatās ļoti mežonīgs.
凶手	slepkava	Policija beidzot noķēra slepkavu.
汹涌	trakojošs	Trakojoši viļņi sitās pret krastu.
胸怀	plašs prāts	Viņam ir plašs prāts.
胸膛	krūtis	Kareivis izslēja krūtis.
雄厚	spēcīgs	Uzņēmumam ir spēcīgi finanšu resursi.
雄伟	dižens	Šis tilts ir ļoti dižens.
修复	salabot	Inženieri labo sistēmu.
修建	būvēt	Valdība plāno būvēt jaunu lidostu.
修养	audzinātība	Laba audzinātība parādās detaļās.
羞耻	kauns	Pēc melošanas viņš juta kaunu.
嗅觉	oža	Suņa oža ir ļoti asa.
绣	izšūt	Vecmāmiņa prot izšūt ziedus.
虚假	nepatiess	Tīmekļa vietne publicēja nepatiesas ziņas.
虚荣	iedomība	Iedomība lika viņam tērēt pārāk daudz naudas.
虚伪	liekulīgs	Viņai nepatīk liekulīga pieklājība.
需求	pieprasījums	Tirgus pieprasījums pieaug.
须知	norādījumi	Lūdzu, vispirms izlasi reģistrācijas norādījumus.
许可	atļauja	Bez atļaujas ieiet nedrīkst.
序言	priekšvārds	Autors priekšvārdā izskaidro fonu.
畜牧	lopkopība	Stepes ir piemērotas lopkopības attīstībai.
酗酒	pārmērīga dzeršana	Ilgstoša pārmērīga dzeršana kaitē veselībai.
喧哗	trokšņot	Bibliotēkā ir aizliegts trokšņot.
宣誓	dot zvērestu	Jaunie locekļi sanāksmē deva zvērestu.
宣扬	popularizēt	Skola popularizē godīgumu un uzticamību.
悬挂	karāties	Pie sienas karājas glezna.
悬念	spriedze	Filmas beigas atstāj spriedzi.
悬殊	milzīga atšķirība	Abu komandu spēku atšķirība ir milzīga.
悬崖峭壁	stāvas klintis	Blakus kalnu ceļam ir stāvas klintis.
旋律	melodija	Šai dziesmai ir skaista melodija.
旋转	griezties	Vējdzirnavas griežas vējā.
选拔	atlasīt	Skola atlasa sportistus.
选举	vēlēšanas	Ciemā notika vēlēšanas.
选手	dalībnieks	Šis dalībnieks uzstājās stabili.
炫耀	lielīties	Viņš vienmēr mīl lielīties ar bagātību.
削	samazināt	Uzņēmums samazināja dažus izdevumus.
削弱	vājināt	Nogurums vājina spriestspēju.
学说	teorija	Šai teorijai ir liela ietekme.
学位	akadēmiskais grāds	Viņa ieguva maģistra grādu.
雪上加霜	pasliktināt situāciju	Darba zaudēšana un slimība vēl vairāk pasliktināja situāciju.
血压	asinsspiediens	Ārsts atgādināja viņam kontrolēt asinsspiedienu.
熏陶	ietekme	Viņa kopš bērnības ir bijusi mūzikas ietekmē.
寻觅	meklēt	Viņi visur meklēja piemērotu mājokli.
巡逻	patrulēt	Policija naktī patrulē ielās.
循环	cirkulēt	Ūdens cirkulē sistēmā.
循序渐进	soli pa solim	Valodu apguvei jāvirzās soli pa solim.
压迫	apspiest	Vecā sistēma apspieda parastos iedzīvotājus.
压岁钱	Jaungada nauda	Bērns saņēma Jaungada naudu.
压缩	saspiest	Programmatūra var saspiest attēla izmēru.
压抑	apspiest emocijas	Viņš centās apspiest iekšējās dusmas.
压榨	spiest	Mašīna spiež cukurniedru sulu.
压制	nomākt	Zāles var nomākt sāpes.
鸦雀无声	pilnīgs klusums	Pēc skolotāja ienākšanas klasē iestājās pilnīgs klusums.
亚军	otrā vieta	Viņa sacensībās ieguva otro vietu.
淹没	applūdināt	Plūdi applūdināja zemu esošo ciemu.
烟花爆竹	salūts un petardes	Svētku laikā salūts un petardes ir aizliegtas.
严峻	nopietns	Nodarbinātības situācija joprojām ir nopietna.
严寒	bargs sals	Bargs sals ietekmē satiksmi.
严禁	stingri aizliegt	Šeit smēķēt ir stingri aizliegts.
严厉	bargs	Skolotājs viņu bargi kritizēja.
严密	stingrs	Noliktavā ir stingra uzraudzība.
岩石	klints	Klints pie jūras ir ļoti cieta.
延期	atlikt	Sanāksme tika atlikta līdz nākamajai nedēļai.
延伸	stiepties	Ceļš stiepjas uz ziemeļiem.
延续	turpināties	Šī tradīcija turpinās jau simt gadus.
沿海	piekrastes	Piekrastes pilsētās ir attīstīta tirdzniecība.
炎热	karsts	Karsts laiks cilvēkus nogurdina.
言论	izteikumi	Sabiedrība pievērš uzmanību viņa izteikumiem.
掩盖	slēpt	Viņš mēģināja slēpt kļūdu.
