simplified	TH	example_TH	MS	example_MS	ID	example_ID
因此	ดังนั้น; เพราะฉะนั้น	เขาป่วย ดังนั้นจึงไม่ได้มาเรียน	oleh itu; kerana itu	Dia sakit, jadi dia tidak datang ke kelas.	oleh karena itu; jadi	Dia sakit, jadi tidak datang ke kelas.
引起	ก่อให้เกิด; ทำให้เกิด	เรื่องนี้ทำให้ทุกคนไม่พอใจ	menyebabkan; menimbulkan	Perkara ini menyebabkan semua orang tidak puas hati.	menyebabkan; menimbulkan	Hal ini membuat semua orang tidak puas.
印象	ความประทับใจ	เขาสร้างความประทับใจที่ดีมากให้ฉัน	kesan	Dia meninggalkan kesan yang sangat baik kepada saya.	kesan	Dia memberi kesan yang sangat baik kepada saya.
赢	ชนะ	เมื่อวานการแข่งขันฟุตบอล ใครชนะ?	menang	Dalam perlawanan bola sepak semalam, siapa menang?	menang	Dalam pertandingan sepak bola kemarin, siapa yang menang?
应聘	สมัครงาน	เธออยากสมัครงานนี้	memohon kerja	Dia mahu memohon kerja ini.	melamar pekerjaan	Dia ingin melamar pekerjaan ini.
勇敢	กล้าหาญ	พี่ชายของฉันเป็นคนกล้าหาญมาก	berani	Abang saya seorang yang sangat berani.	berani	Kakak laki-laki saya adalah orang yang sangat berani.
永远	ตลอดไป	ฉันจะไม่มีวันลืมความช่วยเหลือที่คุณให้ฉัน	selama-lamanya	Saya tidak akan lupa bantuan kamu kepada saya selama-lamanya.	selamanya	Saya tidak akan pernah melupakan bantuanmu kepada saya.
优点	ข้อดี; จุดแข็ง	คนเราไม่ควรเอาข้อเสียของตัวเองไปเปรียบกับข้อดีของคนอื่น	kelebihan; kekuatan	Seseorang tidak patut membandingkan kelemahan sendiri dengan kelebihan orang lain.	kelebihan; keunggulan	Orang tidak boleh membandingkan kekurangan diri sendiri dengan kelebihan orang lain.
优秀	ยอดเยี่ยม; ดีเด่น	เขาเป็นหมอที่ยอดเยี่ยมมาก	cemerlang; sangat baik	Dia seorang doktor yang sangat cemerlang.	unggul; luar biasa	Dia adalah dokter yang sangat hebat.
幽默	อารมณ์ขัน; ตลก	ศาสตราจารย์หลี่พูดอย่างมีอารมณ์ขันมาก	lucu; berjenaka	Profesor Li bercakap dengan penuh jenaka.	humoris; jenaka	Profesor Li berbicara dengan sangat humoris.
尤其	โดยเฉพาะ	เขาชอบวาดภาพ โดยเฉพาะวาดภาพจีน	terutamanya	Dia suka melukis, terutamanya lukisan Cina.	terutama	Dia suka melukis, terutama lukisan Tiongkok.
由	โดย; จาก	กิจกรรมนี้พวกเราเป็นผู้จัด	oleh	Aktiviti ini dianjurkan oleh kami.	oleh	Kegiatan ini diselenggarakan oleh kami.
由于	เนื่องจาก; เพราะ	เนื่องจากฝนตก การแข่งขันจึงเลื่อนออกไป	disebabkan; kerana	Disebabkan hujan, perlawanan ditangguhkan.	karena; disebabkan	Karena hujan, pertandingan ditunda.
邮局	ไปรษณีย์; ที่ทำการไปรษณีย์	ที่ทำการไปรษณีย์เปิดตอนเก้าโมงเช้า	pejabat pos	Pejabat pos dibuka pada pukul sembilan pagi.	kantor pos	Kantor pos buka pukul sembilan pagi.
友好	เป็นมิตร	เจ้าของบ้านของฉันเป็นมิตรมากและช่วยฉันบ่อย ๆ	mesra; ramah	Tuan rumah saya sangat mesra dan sering membantu saya.	ramah	Pemilik rumah saya sangat ramah dan sering membantu saya.
友谊	มิตรภาพ	ระหว่างพวกเรามีมิตรภาพที่ลึกซึ้ง	persahabatan	Ada persahabatan yang mendalam antara kami.	persahabatan	Ada persahabatan yang dalam di antara kami.
有趣	น่าสนใจ; สนุก	นี่เป็นความฝันที่น่าสนใจจริง ๆ!	menarik; menyeronokkan	Ini benar-benar mimpi yang menarik!	menarik; lucu	Ini benar-benar mimpi yang menarik!
于是	ดังนั้น; จึง	ฉันมีเรื่องอยากถามเขา จึงโทรหาเขา	lalu; maka	Saya ada hal yang mahu ditanya kepadanya, lalu saya menelefonnya.	lalu; maka	Saya punya sesuatu yang ingin kutanyakan kepadanya, jadi saya meneleponnya.
愉快	สุขสันต์; เบิกบาน	ขอให้สุดสัปดาห์ของคุณมีความสุข!	gembira; menyenangkan	Semoga hujung minggu kamu menyenangkan!	menyenangkan; bahagia	Semoga akhir pekanmu menyenangkan!
与	กับ; และ	เขามั่นใจในตัวเองมากและชอบแข่งขันกับคนอื่น	dengan; dan	Dia sangat yakin diri dan suka bersaing dengan orang lain.	dengan; dan	Dia sangat percaya diri dan suka bersaing dengan orang lain.
羽毛球	แบดมินตัน	คุณเล่นแบดมินตันบ่อยไหม?	badminton	Adakah kamu kerap bermain badminton?	bulu tangkis	Apakah kamu sering bermain bulu tangkis?
语法	ไวยากรณ์	ฉันเรียนไวยากรณ์พื้นฐานมาบ้าง	tatabahasa	Saya belajar sedikit tatabahasa asas.	tata bahasa	Saya mempelajari beberapa tata bahasa dasar.
语言	ภาษา	การเรียนภาษาหนึ่งภาษา จำเป็นต้องเข้าใจไวยากรณ์ของภาษานั้นบ้าง	bahasa	Mempelajari sesuatu bahasa memerlukan sedikit pemahaman tentang tatabahasanya.	bahasa	Mempelajari suatu bahasa memerlukan sedikit pemahaman tentang tata bahasanya.
预习	เตรียมบทเรียนล่วงหน้า	กรุณาเตรียมอ่านบทเรียนล่วงหน้าให้ดี	membuat persediaan awal; prabaca	Sila prabaca teks pelajaran dengan baik.	mempelajari lebih dulu	Tolong pelajari teks pelajaran lebih dulu dengan baik.
原来	เดิม; แต่เดิม	ฉันยังอาศัยอยู่ที่เดิม	asal; dahulu	Saya masih tinggal di tempat asal.	semula; dulu	Saya masih tinggal di tempat yang sama seperti dulu.
原谅	ให้อภัย	กรุณาให้อภัยคำพูดที่ฉันพูดไปเมื่อกี้	memaafkan	Sila maafkan kata-kata yang saya ucapkan tadi.	memaafkan	Tolong maafkan perkataan yang baru saja saya ucapkan.
原因	สาเหตุ; เหตุผล	เขาอธิบายสาเหตุได้ชัดเจนมาก	sebab; punca	Dia menjelaskan sebabnya dengan sangat jelas.	alasan; penyebab	Dia menjelaskan alasannya dengan sangat jelas.
约会	นัด; เดต	เธอเริ่มเดตกับเสี่ยวหลี่แล้ว	janji temu; temu janji	Dia mula keluar berjanji temu dengan Xiao Li.	kencan; janji	Dia mulai berkencan dengan Xiao Li.
阅读	อ่าน; การอ่าน	ฉันกำลังอ่านนิยายเล่มนี้	membaca; pembacaan	Saya sedang membaca novel ini.	membaca; bacaan	Saya sedang membaca novel ini.
云	เมฆ	เมฆบนฟ้ามีมากขึ้นเรื่อย ๆ	awan	Awan di langit semakin banyak.	awan	Awan di langit semakin banyak.
允许	อนุญาต	กรุณาอนุญาตให้ฉันแนะนำตัวเองสักหน่อย	membenarkan; mengizinkan	Sila benarkan saya memperkenalkan diri sebentar.	mengizinkan; memperbolehkan	Tolong izinkan saya memperkenalkan diri sebentar.
杂志	นิตยสาร	บทความในนิตยสารเล่มนี้เขียนได้ดีมาก	majalah	Artikel dalam majalah ini semuanya ditulis dengan baik.	majalah	Artikel-artikel dalam majalah ini ditulis dengan sangat baik.
咱们	พวกเรา	ค่าใช้จ่ายในชีวิตของพวกเราเดือนนี้เท่าไร?	kita	Berapakah perbelanjaan hidup kita bulan ini?	kita	Berapa biaya hidup kita bulan ini?
暂时	ชั่วคราว	เขาจอดรถไว้ริมถนนชั่วคราว	sementara	Dia meletakkan kereta sementara di tepi jalan.	sementara	Dia memarkir mobil sementara di pinggir jalan.
脏	สกปรก	ฉันเผลอทำเสื้อผ้าเปื้อน	kotor	Saya tidak sengaja mengotorkan pakaian.	kotor	Saya tidak sengaja mengotori pakaian.
责任	ความรับผิดชอบ	เรื่องนี้พวกเราทุกคนมีความรับผิดชอบ	tanggungjawab	Kita semua bertanggungjawab atas perkara ini.	tanggung jawab	Kita semua bertanggung jawab atas hal ini.
增加	เพิ่มขึ้น; เพิ่ม	ปีนี้จำนวนนักเรียนเพิ่มขึ้น	bertambah; menambah	Bilangan pelajar meningkat tahun ini.	meningkat; menambah	Jumlah siswa meningkat tahun ini.
占线	สายไม่ว่าง	ฉันโทรติดกันหลายครั้ง โทรศัพท์ของเขาก็สายไม่ว่างตลอด	talian sibuk	Saya menelefon beberapa kali berturut-turut, tetapi taliannya sibuk.	saluran sibuk	Saya menelepon beberapa kali berturut-turut, tetapi teleponnya selalu sibuk.
招聘	รับสมัครงาน; การสรรหา	บริษัทกำลังรับสมัครพนักงานใหม่	mengambil pekerja; pengambilan	Syarikat sedang mengambil pekerja baharu.	merekrut; lowongan kerja	Perusahaan sedang merekrut karyawan baru.
照	ตาม; ทำตาม	ทำตามแผนนี้เถอะ	menurut; mengikut	Ikut rancangan ini.	menurut; mengikuti	Ikuti rencana ini.
真正	แท้จริง; จริง	เพื่อนแท้จะช่วยคุณเมื่อคุณเจอความยากลำบาก	sebenar; benar	Sahabat sejati akan membantu kamu ketika kamu menghadapi kesukaran.	sejati; benar	Teman sejati akan membantumu saat kamu menghadapi kesulitan.
整理	จัดเรียง; เก็บให้เรียบร้อย	กรุณาจัดหนังสือบนโต๊ะให้เรียบร้อย	mengemas; menyusun	Sila kemaskan buku-buku di atas meja.	merapikan; menyusun	Tolong rapikan buku-buku di atas meja.
正常	ปกติ	หลังซ่อมแล้ว คอมพิวเตอร์ของฉันก็กลับมาทำงานได้ปกติอีกครั้ง	normal	Selepas dibaiki, komputer saya boleh berfungsi seperti biasa semula.	normal	Setelah diperbaiki, komputer saya bisa bekerja normal lagi.
正好	พอดี; บังเอิญพอดี	สิ่งที่คุณพูดตรงกันข้ามกับที่ฉันเข้าใจพอดี	tepat; kebetulan	Apa yang kamu katakan tepat bertentangan dengan pemahaman saya.	tepat; kebetulan	Apa yang kamu katakan justru berlawanan dengan pemahaman saya.
正确	ถูกต้อง	การตัดสินของคุณถูกต้องทั้งหมด	betul; tepat	Pertimbangan kamu sepenuhnya betul.	benar; tepat	Penilaianmu sepenuhnya benar.
正式	เป็นทางการ	ตอนนี้การแข่งขันเริ่มอย่างเป็นทางการแล้ว	rasmi	Sekarang pertandingan bermula secara rasmi.	resmi	Sekarang pertandingan resmi dimulai.
证明	พิสูจน์; หลักฐาน	ข้อเท็จจริงพิสูจน์แล้วว่าเขาถูก	membuktikan; bukti	Fakta membuktikan bahawa dia betul.	membuktikan; bukti	Fakta membuktikan bahwa dia benar.
之	ของ; หนึ่งใน	นี่เป็นหนึ่งในส่วนของวัฒนธรรมจีน	daripada; salah satu daripada	Ini adalah salah satu bahagian budaya Cina.	dari; salah satu	Ini adalah salah satu bagian dari budaya Tiongkok.
支持	สนับสนุน	พวกเราสองคนต้องสนับสนุนกันและกัน	menyokong	Kami berdua harus saling menyokong.	mendukung	Kami berdua harus saling mendukung.
知识	ความรู้	ฉันได้รับความรู้มากมายจากการอ่าน	pengetahuan	Saya memperoleh banyak pengetahuan melalui pembacaan.	pengetahuan	Saya memperoleh banyak pengetahuan dari membaca.
值得	คุ้มค่า; สมควร	นิยายเล่มนี้คุ้มค่าที่จะอ่านสักครั้ง	berbaloi; patut	Novel ini berbaloi untuk dibaca.	layak; sepadan	Novel ini layak dibaca.
植物	พืช	พืชชนิดนี้ต้องการแสงแดดมาก	tumbuhan	Tumbuhan jenis ini memerlukan banyak cahaya matahari.	tumbuhan	Tumbuhan jenis ini membutuhkan banyak sinar matahari.
直接	โดยตรง; ตรงไป	หลังเลิกงาน เขากลับบ้านไปเลย	terus; langsung	Selepas kerja, dia terus pulang ke rumah.	langsung	Setelah pulang kerja, dia langsung pulang ke rumah.
职业	อาชีพ	อาชีพในอุดมคติของคุณคืออะไร?	kerjaya; pekerjaan	Apakah kerjaya ideal kamu?	profesi; pekerjaan	Apa profesi idealmu?
只好	จำเป็นต้อง; ไม่มีทางเลือกอื่น	ฝนตกหนักมาก พวกเราจำเป็นต้องอยู่บ้าน	terpaksa	Kerana hujan terlalu lebat, kami terpaksa tinggal di rumah.	terpaksa	Hujannya terlalu deras, kami terpaksa tinggal di rumah.
只要	ตราบใดที่; ขอเพียง	ตราบใดที่คุณพยายาม คุณต้องทำเรื่องนี้ให้ดีได้แน่นอน	asalkan	Asalkan kamu berusaha, kamu pasti dapat melakukan perkara ini dengan baik.	asalkan	Asalkan kamu berusaha, kamu pasti bisa melakukan hal ini dengan baik.
指	ชี้; ระบุ	ขอบคุณที่ชี้ข้อผิดพลาดของฉัน	menunjuk; menunjukkan	Terima kasih kerana menunjukkan kesilapan saya.	menunjuk; menunjukkan	Terima kasih sudah menunjukkan kesalahan saya.
至少	อย่างน้อย	อาคารหลังนี้สูงอย่างน้อยหนึ่งร้อยเมตร	sekurang-kurangnya	Bangunan ini sekurang-kurangnya setinggi seratus meter.	setidaknya	Gedung ini setidaknya setinggi seratus meter.
质量	คุณภาพ	รองเท้าคู่นี้คุณภาพดีมาก	kualiti	Kualiti kasut ini sangat baik.	kualitas	Kualitas sepatu ini sangat bagus.
重	หนัก	กล่องใบนี้หนักมาก	berat	Kotak ini sangat berat.	berat	Kotak ini sangat berat.
重点	ประเด็นสำคัญ; จุดเน้น	สิ่งที่เขาพูดเมื่อกี้ต่างหากคือประเด็นสำคัญของปัญหา	fokus; perkara penting	Apa yang dia katakan tadi barulah fokus masalah ini.	poin utama; fokus	Apa yang baru saja dia katakan itulah poin utama masalahnya.
重视	ให้ความสำคัญ	พ่อแม่ให้ความสำคัญกับการศึกษาของลูกมาก	mementingkan; menghargai	Ibu bapa sangat mementingkan pendidikan anak-anak.	mementingkan; menghargai	Orang tua sangat mementingkan pendidikan anak-anak.
周围	รอบ ๆ; บริเวณรอบข้าง	รอบโรงเรียนมีร้านค้ามากมาย	sekeliling; sekitar	Ada banyak kedai di sekeliling sekolah.	sekitar; sekeliling	Di sekitar sekolah ada banyak toko.
主意	ความคิด; ไอเดีย	คุณมีความคิดดี ๆ อะไรไหม ลองพูดให้ฟังหน่อย	idea	Kalau kamu ada idea yang baik, cuba beritahu kami.	ide	Kalau kamu punya ide bagus, coba katakan.
祝贺	แสดงความยินดี	ขอแสดงความยินดีกับพวกคุณที่ได้ผลคะแนนดี	tahniah; mengucapkan tahniah	Tahniah kerana kamu semua memperoleh keputusan yang baik.	selamat; mengucapkan selamat	Selamat atas hasil baik yang kalian peroleh.
著名	มีชื่อเสียง	เขาเป็นนักแสดงที่มีชื่อเสียง	terkenal	Dia seorang pelakon terkenal.	terkenal	Dia adalah aktor terkenal.
专门	โดยเฉพาะ; เฉพาะทาง	ฉันมาเพื่อพบคุณโดยเฉพาะ	khas; khusus	Saya datang khas untuk berjumpa dengan kamu.	khusus	Saya datang khusus untuk menemuimu.
专业	สาขาวิชา; วิชาชีพ	ฉันเรียนสาขากฎหมายที่มหาวิทยาลัย	bidang pengajian; profesional	Saya belajar jurusan undang-undang di universiti.	jurusan; profesional	Saya belajar jurusan hukum di universitas.
转	เลี้ยว; หมุน; เปลี่ยน	เลี้ยวซ้ายที่สี่แยกแรกข้างหน้า แล้วคุณก็จะเห็นโรงพยาบาล	belok; berpusing	Belok kiri di persimpangan pertama di hadapan, kamu akan nampak hospital.	belok; berputar	Belok kiri di persimpangan pertama di depan, kamu akan melihat rumah sakit.
赚	หาเงิน; ทำกำไร	เขาทำธุรกิจแล้วหาเงินได้ไม่น้อย	memperoleh keuntungan; menjana	Dia berniaga dan memperoleh banyak wang.	menghasilkan; mendapat untung	Dia berbisnis dan menghasilkan cukup banyak uang.
准确	แม่นยำ; ถูกต้อง	คำตอบของคุณแม่นยำมาก	tepat; jitu	Jawapan kamu sangat tepat.	akurat; tepat	Jawabanmu sangat akurat.
准时	ตรงเวลา	การประชุมเริ่มตรงเวลา	tepat masa	Mesyuarat bermula tepat pada masanya.	tepat waktu	Rapat dimulai tepat waktu.
仔细	ละเอียด; รอบคอบ	เธอทำงานละเอียดรอบคอบมาก	teliti; cermat	Dia melakukan kerja dengan sangat teliti.	teliti; cermat	Dia mengerjakan sesuatu dengan sangat teliti.
自然	ธรรมชาติ; เป็นธรรมชาติ	พวกเราต้องปกป้องสิ่งแวดล้อมทางธรรมชาติ	alam semula jadi; semula jadi	Kita perlu melindungi alam sekitar semula jadi.	alam; alami	Kita perlu melindungi lingkungan alam.
自信	มั่นใจในตัวเอง	เขามั่นใจในตัวเองมากและชอบแข่งขันกับคนอื่น	yakin diri	Dia sangat yakin diri dan suka bersaing dengan orang lain.	percaya diri	Dia sangat percaya diri dan suka bersaing dengan orang lain.
总结	สรุป	กรุณาสรุปประสบการณ์ความสำเร็จของคุณให้พวกเราฟัง	merumuskan; kesimpulan	Sila rumuskan pengalaman kejayaan anda untuk kami.	merangkum; kesimpulan	Tolong rangkum pengalaman sukses Anda untuk kami.
租	เช่า	ฉันเช่าบ้านใกล้บริษัท	menyewa	Saya menyewa rumah berhampiran syarikat.	menyewa	Saya menyewa rumah di dekat perusahaan.
最好	ดีที่สุด; ควรจะ	เธอเป็นเพื่อนที่ดีที่สุดของฉัน	terbaik; sebaik-baiknya	Dia kawan terbaik saya.	terbaik; sebaiknya	Dia adalah teman terbaik saya.
尊重	เคารพ; ให้เกียรติ	คนซื่อสัตย์ควรค่าแก่การเคารพของเรา	menghormati	Orang yang jujur patut dihormati oleh kita.	menghormati	Orang jujur layak kita hormati.
左右	ประมาณ; ซ้ายขวา	เขาดูเหมือนอายุประมาณสี่สิบปี	kira-kira; sekitar	Dia kelihatan berumur sekitar empat puluh tahun.	sekitar; kira-kira	Dia terlihat berusia sekitar empat puluh tahun.
作家	นักเขียน	คุณเคยอ่านนิยายของนักเขียนท่านนี้ไหม?	penulis	Pernahkah kamu membaca novel penulis ini?	penulis	Apakah kamu pernah membaca novel karya penulis ini?
作用	ผล; บทบาท; หน้าที่	ยาแก้หวัดชนิดนี้แทบไม่มีผลกับฉัน	kesan; fungsi; peranan	Ubat selesema jenis ini hampir tiada kesan terhadap saya.	efek; fungsi; peran	Obat flu jenis ini hampir tidak berpengaruh pada saya.
作者	ผู้เขียน; นักเขียน	ผู้เขียนหนังสือเล่มนี้มีชื่อเสียงมาก	penulis; pengarang	Penulis buku ini sangat terkenal.	penulis; pengarang	Penulis buku ini sangat terkenal.
座	ที่นั่ง; ลักษณนามสำหรับสิ่งก่อสร้าง	มีสะพานเล็ก ๆ แห่งหนึ่งอยู่เหนือแม่น้ำ	penjodoh bilangan untuk bangunan; tempat duduk	Ada sebuah jambatan kecil di atas sungai.	kata ukur untuk bangunan; tempat duduk	Ada sebuah jembatan kecil di atas sungai.
座位	ที่นั่ง	เขาสละที่นั่งให้ผู้สูงอายุคนหนึ่ง	tempat duduk	Dia memberikan tempat duduknya kepada seorang warga tua.	tempat duduk	Dia memberikan tempat duduknya kepada seorang lansia.
