simplified	TE	example_TE	KN	example_KN	ML	example_ML
从来	ఎప్పుడూ; ఇంతకుముందు ఎప్పుడూ	నేను అతన్ని ఎప్పుడూ చూడలేదు.	ಎಂದಿಗೂ; ಹಿಂದೆಂದೂ	ನಾನು ಅವನನ್ನು ಎಂದಿಗೂ ನೋಡಿಲ್ಲ.	എപ്പോഴും; മുമ്പൊരിക്കലും	ഞാൻ അവനെ ഒരിക്കലും കണ്ടിട്ടില്ല.
粗心	అజాగ్రత్త; నిర్లక్ష్యం	నువ్వు నిజంగా చాలా అజాగ్రత్తగా ఉన్నావు.	ಅಜಾಗರೂಕ; ನಿರ್ಲಕ್ಷ್ಯ	ನೀನು ನಿಜವಾಗಿಯೂ ತುಂಬಾ ಅಜಾಗರೂಕನಾಗಿದ್ದೀಯ.	അശ്രദ്ധ; ശ്രദ്ധക്കുറവ്	നീ ശരിക്കും വളരെ അശ്രദ്ധനാണ്.
存	జమ చేయడం; భద్రపరచడం	నేను డబ్బును బ్యాంకులో జమ చేశాను.	ಠೇವಣಿ ಇಡುವುದು; ಸಂಗ್ರಹಿಸುವುದು	ನಾನು ಹಣವನ್ನು ಬ್ಯಾಂಕಿನಲ್ಲಿ ಠೇವಣಿ ಇಟ್ಟೆ.	നിക്ഷേപിക്കുക; സൂക്ഷിക്കുക	ഞാൻ പണം ബാങ്കിൽ നിക്ഷേപിച്ചു.
错误	తప్పు; పొరపాటు	నా తప్పును చూపించినందుకు ధన్యవాదాలు.	ತಪ್ಪು; ದೋಷ	ನನ್ನ ತಪ್ಪನ್ನು ತೋರಿಸಿದ್ದಕ್ಕೆ ಧನ್ಯವಾದಗಳು.	തെറ്റ്; പിശക്	എന്റെ തെറ്റ് ചൂണ്ടിക്കാട്ടിയതിന് നന്ദി.
答案	సమాధానం; జవాబు	నీ సమాధానం చాలా సరైనది.	ಉತ್ತರ; ಪರಿಹಾರ	ನಿನ್ನ ಉತ್ತರ ಸರಿಯಾಗಿದೆ.	ഉത്തരം; പരിഹാരം	നിന്റെ ഉത്തരം ശരിയാണ്.
打扮	అలంకరించుకోవడం; తయారవడం	ఆమె సాదాసీదాగా తయారై బయటకు వెళ్లింది.	ಅಲಂಕರಿಸಿಕೊಳ್ಳುವುದು; ಸಿದ್ಧಗೊಳ್ಳುವುದು	ಅವಳು ಸರಳವಾಗಿ ಸಿದ್ಧವಾಗಿ ಹೊರಗೆ ಹೋದಳು.	അണിഞ്ഞൊരുങ്ങുക; മേക്കപ്പ് ചെയ്യുക	അവൾ ലളിതമായി അണിഞ്ഞൊരുങ്ങി പുറത്തുപോയി.
打扰	అడ్డు కలిగించడం; ఇబ్బంది పెట్టడం	క్షమించండి, మీకు కాసేపు ఇబ్బంది పెడుతున్నాను.	ಅಡಚಣೆ ಮಾಡುವುದು; ತೊಂದರೆ ಕೊಡುವುದು	ಕ್ಷಮಿಸಿ, ನಿಮಗೆ ಸ್ವಲ್ಪ ತೊಂದರೆ ಕೊಡುತ್ತಿದ್ದೇನೆ.	ശല്യം ചെയ്യുക; ബുദ്ധിമുട്ടിക്കുക	ക്ഷമിക്കണം, ഒരു നിമിഷം നിങ്ങളെ ബുദ്ധിമുട്ടിക്കുന്നു.
打印	ముద్రించడం	ఈ పదార్థాలు ఇప్పటికే ముద్రించబడ్డాయి.	ಮುದ್ರಿಸುವುದು	ಈ ಸಾಮಗ್ರಿಗಳು ಈಗಾಗಲೇ ಮುದ್ರಿಸಲ್ಪಟ್ಟಿವೆ.	അച്ചടിക്കുക	ഈ സാമഗ്രികൾ ഇതിനകം അച്ചടിച്ചു കഴിഞ്ഞു.
打招呼	పలకరించడం	అతను నవ్వుతూ నన్ను పలకరించాడు.	ವಂದಿಸುವುದು; ನಮಸ್ಕರಿಸುವುದು	ಅವನು ನಗುತ್ತಾ ನನ್ನನ್ನು ವಂದಿಸಿದನು.	അഭിവാദ്യം ചെയ്യുക	അവൻ ചിരിച്ചുകൊണ്ട് എന്നെ അഭിവാദ്യം ചെയ്തു.
打折	డిస్కౌంట్ ఇవ్వడం; ధర తగ్గించడం	వసంతోత్సవానికి ముందు మాల్స్‌లో అన్నీ డిస్కౌంట్‌లో ఉంటాయి.	ರಿಯಾಯಿತಿ ಕೊಡುವುದು; ಬೆಲೆ ಕಡಿಮೆ ಮಾಡುವುದು	ವಸಂತೋತ್ಸವದ ಮೊದಲು ವ್ಯಾಪಾರ ಮಳಿಗೆಗಳಲ್ಲಿ ಎಲ್ಲವೂ ರಿಯಾಯಿತಿಯಲ್ಲಿ ಇರುತ್ತವೆ.	വിലക്കുറവ് നൽകുക; ഡിസ്കൗണ്ട് നൽകുക	വസന്തോത്സവത്തിന് മുമ്പ് കടകളിൽ എല്ലാം വിലക്കുറവിലായിരിക്കും.
打针	ఇంజెక్షన్ ఇవ్వడం; ఇంజెక్షన్ వేయించుకోవడం	కొడుకుకు ఇంజెక్షన్ అంటే చాలా భయం.	ಇಂಜೆಕ್ಷನ್ ಕೊಡುವುದು; ಇಂಜೆಕ್ಷನ್ ತೆಗೆದುಕೊಳ್ಳುವುದು	ಮಗನಿಗೆ ಇಂಜೆಕ್ಷನ್ ಎಂದರೆ ತುಂಬಾ ಭಯ.	കുത്തിവെപ്പ് നൽകുക; കുത്തിവെപ്പ് എടുക്കുക	മകനു കുത്തിവെപ്പ് വളരെ പേടിയാണ്.
大概	బహుశా; సుమారు	అతను బహుశా రాడు.	ಬಹುಶಃ; ಸುಮಾರು	ಅವನು ಬಹುಶಃ ಬರುವುದಿಲ್ಲ.	ബഹുശാ; ഏകദേശം	അവൻ ബഹുശാ വരില്ല.
大使馆	రాయబార కార్యాలయం	నేను రేపు వీసా కోసం రాయబార కార్యాలయానికి వెళ్లాలి.	ರಾಯಭಾರಿ ಕಚೇರಿ	ನಾನು ನಾಳೆ ವೀಸಾಗಾಗಿ ರಾಯಭಾರಿ ಕಚೇರಿಗೆ ಹೋಗಬೇಕು.	ദൂതാവാസം	വിസയ്ക്കായി ഞാൻ നാളെ ദൂതാവാസത്തിലേക്ക് പോകണം.
大约	సుమారు; దాదాపు	అతనికి దాదాపు ముప్పై ఏళ్లు దాటాయి.	ಸುಮಾರು; ಅಂದಾಜು	ಅವನಿಗೆ ಸುಮಾರು ಮೂವತ್ತಕ್ಕೂ ಹೆಚ್ಚು ವಯಸ್ಸು.	ഏകദേശം; ചുറ്റും	അവന് ഏകദേശം മുപ്പതിനു മേൽ വയസ്സുണ്ട്.
大夫	వైద్యుడు; డాక్టర్	లీ డాక్టర్ గారూ, మీరు రేపు ఉదయం ఆసుపత్రిలో ఉంటారా?	ವೈದ್ಯರು; ಡಾಕ್ಟರ್	ಲಿ ಡಾಕ್ಟರ್, ನೀವು ನಾಳೆ ಬೆಳಿಗ್ಗೆ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಇರುತ್ತೀರಾ?	ഡോക്ടർ; വൈദ്യൻ	ലി ഡോക്ടർ, നാളെ രാവിലെ താങ്കൾ ആശുപത്രിയിൽ ഉണ്ടാകുമോ?
戴	ధరించడం; పెట్టుకోవడం	అతను ఒక నల్ల కళ్లజోడు ధరించాడు.	ಧರಿಸುವುದು; ಹಾಕಿಕೊಳ್ಳುವುದು	ಅವನು ಒಂದು ಕಪ್ಪು ಕಣ್ಣಡಿಯನ್ನು ಧರಿಸಿದ್ದಾನೆ.	ധരിക്കുക; ഇടുക	അവൻ ഒരു കറുത്ത കണ്ണാടി ധരിച്ചിരിക്കുന്നു.
当	అవడం;గా పని చేయడం	నేను డాక్టర్ కావాలనుకుంటున్నాను.	ಆಗುವುದು; ಆಗಿ ಕೆಲಸ ಮಾಡುವುದು	ನಾನು ವೈದ್ಯನಾಗಲು ಬಯಸುತ್ತೇನೆ.	ആകുക; ആയി ജോലി ചെയ്യുക	എനിക്ക് ഡോക്ടറാകണം.
当时	అప్పుడు; ఆ సమయంలో	ఆ సమయంలో పరిస్థితి నాకు స్పష్టంగా గుర్తులేదు.	ಆಗ; ಆ ಸಮಯದಲ್ಲಿ	ಆ ಸಮಯದ ಪರಿಸ್ಥಿತಿ ನನಗೆ ಸ್ಪಷ್ಟವಾಗಿ ನೆನಪಿಲ್ಲ.	അപ്പോൾ; ആ സമയത്ത്	ആ സമയത്തെ സ്ഥിതി എനിക്ക് വ്യക്തമായി ഓർമ്മയില്ല.
刀	కత్తి	పండ్ల కత్తి వంటగదిలో ఉంది.	ಚಾಕು	ಹಣ್ಣಿನ ಚಾಕು ಅಡಿಗೆಮನೆಯಲ್ಲಿ ಇದೆ.	കത്തി	പഴക്കത്തി അടുക്കളയിലാണ്.
导游	టూర్ గైడ్; పర్యటనకు దారి చూపడం	నా అక్క ఒక టూర్ గైడ్.	ಪ್ರವಾಸ ಮಾರ್ಗದರ್ಶಿ; ಪ್ರವಾಸಕ್ಕೆ ದಾರಿ ತೋರಿಸುವುದು	ನನ್ನ ಅಕ್ಕ ಒಬ್ಬ ಪ್ರವಾಸ ಮಾರ್ಗದರ್ಶಿ.	ടൂർ ഗൈഡ്; വഴികാട്ടുക	എന്റെ ചേട്ടത്തി ഒരു ടൂർ ഗൈഡാണ്.
倒	పడిపోవడం; కూల్చివేయడం	బలమైన గాలి చెట్టును కూల్చేసింది.	ಬೀಳುವುದು; ಕೆಡವುವುದು	ಬಲವಾದ ಗಾಳಿ ಮರವನ್ನು ಕೆಡವಿತು.	വീഴുക; ഇടിച്ചിടുക	ശക്തമായ കാറ്റ് മരം വീഴ്ത്തി.
到处	ఎక్కడ చూసినా; అన్ని చోట్ల	పార్కులో ఎక్కడ చూసినా తాజా పూలే ఉన్నాయి.	ಎಲ್ಲೆಡೆ; ಎಲ್ಲ ಕಡೆ	ಉದ್ಯಾನದಲ್ಲಿ ಎಲ್ಲೆಡೆ ತಾಜಾ ಹೂಗಳು ಇವೆ.	എവിടെയും; എല്ലായിടത്തും	പാർക്കിൽ എല്ലായിടത്തും പൂക്കളുണ്ട്.
到底	చివరికి; అసలు	ఈ వాక్యానికి అసలు అర్థం ఏమిటి?	ಕೊನೆಗೂ; ನಿಖರವಾಗಿ	ಈ ವಾಕ್ಯದ ನಿಖರ ಅರ್ಥ ಏನು?	അവസാനം; യഥാർത്ഥത്തിൽ	ഈ വാക്യത്തിന്റെ യഥാർത്ഥ അർത്ഥം എന്താണ്?
道歉	క్షమాపణ చెప్పడం	నేను ఇప్పటికే అతనికి క్షమాపణ చెప్పాను.	ಕ್ಷಮೆ ಕೇಳುವುದು	ನಾನು ಈಗಾಗಲೇ ಅವನ ಬಳಿ ಕ್ಷಮೆ ಕೇಳಿದ್ದೇನೆ.	മാപ്പ് പറയുക	ഞാൻ ഇതിനകം അവനോട് മാപ്പ് പറഞ്ഞു.
得	తప్పనిసరిగా చేయాలి; చేయాల్సి ఉండడం	రేపు పరీక్ష ఉంది, నేను కొంచెం ముందే నిద్రపోవాలి.	ಮಾಡಲೇಬೇಕು; ಅಗತ್ಯವಿದೆ	ನಾಳೆ ಪರೀಕ್ಷೆ ಇದೆ, ನಾನು ಸ್ವಲ್ಪ ಬೇಗ ಮಲಗಬೇಕು.	വേണം; നിർബന്ധമായി ചെയ്യണം	നാളെ പരീക്ഷയുണ്ട്, ഞാൻ കുറച്ച് നേരത്തെ ഉറങ്ങണം.
得意	గర్వంగా ఉండడం; సంతోషంగా ఉండడం	పనిలో విజయం సాధించడంతో అందరూ చాలా గర్వంగా ఉన్నారు.	ಗರ್ವಪಡುವುದು; ಸಂತೋಷಪಡುವುದು	ಕೆಲಸದಲ್ಲಿ ಯಶಸ್ಸು ಸಿಕ್ಕಿದ್ದರಿಂದ ಎಲ್ಲರೂ ತುಂಬಾ ಗರ್ವಪಟ್ಟರು.	അഭിമാനിക്കുക; സന്തോഷിക്കുക	ജോലിയിൽ വിജയം നേടിയതിൽ എല്ലാവരും വളരെ അഭിമാനിച്ചു.
登机牌	బోర్డింగ్ పాస్	దయచేసి మీ బోర్డింగ్ పాస్‌ను బాగా పట్టుకొని విమానం ఎక్కేందుకు సిద్ధం కావండి.	ಬೋರ್ಡಿಂಗ್ ಪಾಸ್	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಬೋರ್ಡಿಂಗ್ ಪಾಸ್ ಹಿಡಿದುಕೊಂಡು ವಿಮಾನಕ್ಕೆ ಏರಲು ಸಿದ್ಧರಾಗಿ.	ബോർഡിംഗ് പാസ്	ദയവായി നിങ്ങളുടെ ബോർഡിംഗ് പാസ് കൈയിൽ എടുത്ത് വിമാനത്തിൽ കയറാൻ തയ്യാറാകൂ.
等	మొదలైనవి; లాంటివి	బల్లపై ఆపిల్, అరటి మొదలైన పండ్లు ఉన్నాయి.	ಇತ್ಯಾದಿ; ಮುಂತಾದವು	ಮೇಜಿನ ಮೇಲೆ ಸೇಬು, ಬಾಳೆಹಣ್ಣು ಮುಂತಾದ ಹಣ್ಣುಗಳಿವೆ.	മുതലായവ; തുടങ്ങിയവ	മേശപ്പുറത്ത് ആപ്പിൾ, വാഴപ്പഴം തുടങ്ങിയ പഴങ്ങൾ ഉണ്ട്.
低	తక్కువ; దిగువగా	ఇంకాస్త ఎత్తుగా పెట్టండి, ఇప్పుడు చాలా తక్కువగా ఉంది.	ಕಡಿಮೆ; ತಗ್ಗು	ಇನ್ನೂ ಸ್ವಲ್ಪ ಎತ್ತರಕ್ಕೆ ಇಡಿ, ಈಗ ತುಂಬಾ ಕಡಿಮೆ ಇದೆ.	താഴ്ന്ന; കുറവ്	ഇനി കുറച്ച് ഉയർത്തൂ, ഇപ്പോൾ വളരെ താഴെയാണ്.
底	అడుగు భాగం; పునాది	కప్పు అడుగు భాగం చాలా శుభ్రంగా ఉంది.	ಕೆಳಭಾಗ; ಅಡಿಪಾಯ	ಕಪ್‌ನ ಕೆಳಭಾಗ ತುಂಬಾ ಸ್ವಚ್ಛವಾಗಿದೆ.	അടിഭാഗം; അടിത്തട്ട്	കപ്പിന്റെ അടിഭാഗം വളരെ വൃത്തിയാണ്.
地点	స్థలం; ప్రదేశం	సమావేశ స్థలం మూడో అంతస్తు సమావేశ గదిలో ఉంది.	ಸ್ಥಳ; ಜಾಗ	ಸಭೆಯ ಸ್ಥಳ ಮೂರನೇ ಮಹಡಿಯ ಸಭಾ ಕೊಠಡಿಯಲ್ಲಿ ಇದೆ.	സ്ഥലം; ഇടം	യോഗത്തിന്റെ സ്ഥലം മൂന്നാം നിലയിലെ യോഗമുറിയിലാണ്.
地球	భూమి; భూగోళం	భూమి ఉపరితలంలో ఎక్కువ భాగం సముద్రం.	ಭೂಮಿ; ಭೂಗೋಳ	ಭೂಮಿಯ ಮೇಲ್ಮೈಯ ಹೆಚ್ಚಿನ ಭಾಗ ಸಮುದ್ರವಾಗಿದೆ.	ഭൂമി; ഭൂഗോളം	ഭൂമിയുടെ ഉപരിതലത്തിന്റെ ഭൂരിഭാഗവും സമുദ്രമാണ്.
地址	చిరునామా	దయచేసి మీ చిరునామాను రాసుకోండి.	ವಿಳಾಸ	ದಯವಿಟ್ಟು ನಿಮ್ಮ ವಿಳಾಸವನ್ನು ಬರೆದುಕೊಳ್ಳಿ.	വിലാസം	ദയവായി നിങ്ങളുടെ വിലാസം എഴുതിവെക്കൂ.
