simplified	TL	example_TL
深沉	malalim	Mababa at malalim ang kanyang boses.
深情厚谊	malalim na pagkakaibigan	Nabuo ang malalim na pagkakaibigan ng mga mamamayan ng dalawang bansa.
申报	ideklara	Kailangang tapat na ideklara ng mga pasahero ang mga dala nila.
绅士	ginoo	Kumikilos siya na parang isang ginoo.
神经	nerbiyo	Maaaring makaapekto ang stress sa sistema ng nerbiyo.
神奇	mahiwaga	Napakamahiwaga ng tanawin dito.
神气	masigla	Mukha siyang lalo pang masigla ngayon.
神圣	sagrado	Isang sagradong tungkulin ito.
神态	ekspresyon	Napakatahimik ng kanyang ekspresyon.
神仙	imortal	Sinasabi ng alamat na may mga imortal na nakatira sa bundok.
审查	suriin	Susuriin ng platform ang mga nilalamang inilalathala.
审理	dinggin	Dinidinig ng hukuman ang kasong ito.
审美	panlasa	Natatangi ang kanyang panlasa sa sining.
审判	paglilitis	Nakakuha ng pansin ng media ang pampublikong paglilitis.
慎重	maingat	Kailangang maging maingat sa desisyong ito.
渗透	tumagos	Dahan-dahang tumagos ang tubig-ulan sa lupa.
声明	pahayag	Naglabas ang kumpanya ng opisyal na pahayag.
声势	lakas	Napakalakas ng kampanyang ito.
声誉	reputasyon	Nakakaapekto ang kalidad ng produkto sa reputasyon ng brand.
牲畜	hayop sa bukid	Itinaboy ng pastol ang mga hayop sa bukid pabalik sa pastulan.
生存	mabuhay	Kailangan ng mga ligaw na hayop ng espasyo para mabuhay.
生机	sigla	Pinupuno ng ulan sa tagsibol ang lupa ng sigla.
生理	pisyolohiya	Nakakaapekto ang tulog sa pisyolohikal na kalagayan ng tao.
生疏	di sanay	Matagal siyang hindi nagsanay, kaya medyo di sanay na siya sa piano.
生态	ekolohiya	Mahalaga ang pangangalaga ng kagubatan sa balanse ng ekolohiya.
生物	organismo	Maraming kakaibang organismo sa karagatan.
生效	magkabisa	Opisyal na magkakabisa bukas ang bagong tuntunin.
生肖	zodiac	Tinanong niya kung ano ang iyong zodiac.
生锈	kalawangin	Kalawangin na ang kadena ng bisikleta.
生育	panganganak	Nagbibigay ang ospital ng serbisyo sa payo tungkol sa panganganak.
省会	kabisera ng lalawigan	Mula pa noong sinaunang panahon, Chengdu na ang kabisera ng lalawigan ng Sichuan.
盛产	sagana sa	Sagana sa mataas na kalidad na tsaa ang lugar na ito.
盛开	namumulaklak	Namumulaklak ngayon ang mga cherry blossom sa parke.
盛情	mainit na pagtanggap	Pinasasalamatan namin ang mainit na pagtanggap ng may-ari.
盛行	laganap	Minsang naging napakalaganap ang istilong ito.
胜负	panalo o talo	Napagpasyahan ang panalo o talo sa huling minuto ng laro.
失事	maaksidente	Iniimbestigahan pa rin ang dahilan ng pag-crash ng eroplano.
失误	pagkakamali	Nagdulot ng pagkaantala ng proyekto ang isang maliit na pagkakamali.
失踪	nawawala	Hinahanap ng pulisya ang nawawalang bata.
尸体	bangkay	Natagpuan ng rescue team ang bangkay ng biktima.
师范	pangguro	Nagtapos siya sa isang pamantasang pangguro.
施加	magpataw	Hindi dapat magpataw ng sobrang presyon ang mga magulang.
施展	maipamalas	Sa wakas, nagkaroon siya ng pagkakataong maipamalas ang talento.
十足	lubos	Lubos ang tiwala niya sa resulta.
实惠	sulit	Sulit ang mga presyo sa tindahang ito.
实力	lakas	Malakas ang kabuuang lakas ng koponan.
实施	ipatupad	Sinimulan ng pamahalaan na ipatupad ang bagong plano.
实事求是	makatotohanan	Kailangang maging makatotohanan sa pananaliksik.
实行	ipatupad	Nagpatupad ang kumpanya ng flexible na sistema ng trabaho.
实质	diwa	Hindi nagbago ang diwa ng problema.
拾	pulutin	Yumuko siya para pulutin ang susi sa sahig.
时常	madalas	Madalas ikuwento ni Lolo ang mga bagay noong kabataan niya.
时而	paminsan-minsan	Paminsan-minsan maaraw ang panahon, paminsan-minsan maulap.
时光	panahon	Laging maikli ang magagandang panahon.
时机	pagkakataon	Hindi ngayon ang magandang pagkakataon para sa negosasyon.
时事	kasalukuyang pangyayari	Tinatalakay ng mga estudyante ang kasalukuyang pangyayari sa mundo bawat linggo.
石油	petrolyo	Muling tumaas ang presyo ng petrolyo.
识别	kilalanin	Kayang kilalanin ng sistema ang iba't ibang mukha.
使命	misyon	Ang pangangalaga sa kapaligiran ay isang sama-samang misyon.
世代	salinlahi	Naipapasa sa salinlahi ang kasanayang ito sa pamilya.
事故	aksidente	Walang nasawi o nasugatan sa aksidenteng ito.
事迹	gawa	Malawak na kumalat ang kuwento tungkol sa kanyang kabayanihang gawa.
事件	pangyayari	Nagdulot ng pansin ng lipunan ang pangyayaring ito.
事态	kalagayan	Kinokontrol ng pamahalaan ang pag-unlad ng kalagayan.
事务	gawain	Siya ang responsable sa araw-araw na gawain ng kumpanya.
事项	bagay	Pakikumpirma ang mahahalagang bagay sa kontrata.
事业	karera	Itinuring niya ang edukasyon bilang panghabambuhay na karera.
势必	tiyak na	Tiyak na makakaapekto sa presyo ang pagtaas ng gastos.
势力	impluwensiya	Malakas ang lokal na impluwensiya sa negosyo.
是非	sigalot	Ayaw niyang masangkot sa sigalot sa opisina.
示范	demonstrasyon	Nagbigay muna ng demonstrasyon ang guro.
示威	protesta	Naganap ang mapayapang protesta sa sentro ng lungsod.
示意	senyasan	Sinenyasan ng manager ang lahat na tumahimik.
视力	paningin	Ang matagal na pagtingin sa screen ay makakaapekto sa paningin.
视频	video	Paki-send sa akin ang video.
视线	paningin	Hinarangan ng makapal na hamog ang paningin ng drayber.
视野	pananaw	Nakapagpapalawak ng pananaw ang paglalakbay.
试图	subukan	Sinubukan niyang ipaliwanag ang sariling desisyon.
试验	eksperimento	Nagsagawa ang mga siyentipiko ng maraming eksperimento.
适宜	angkop	Angkop tirhan ang klima rito.
逝世	pumanaw	Pumanaw noong nakaraang taon ang manunulat na ito.
释放	palayain	Nagpasya ang hukuman na palayain ang akusado.
收藏	mangolekta	Nangolekta siya ng maraming lumang selyo.
收缩	umurong	Pinapaurong ng malamig na hangin ang metal.
收益	kita	Mas mataas sa inaasahan ang kita sa investment.
收音机	radyo	Araw-araw nakikinig ng radyo si Lola.
守护	bantayan	Binabantayan ng doktor ang buhay ng pasyente.
手法	pamamaraan	Natatangi ang pamamaraan ng direktor sa pagkuha ng pelikula.
手势	kumpas	Ipinakita niya sa kumpas na sang-ayon siya.
手艺	kasanayan	Mahusay ang kasanayan ng artesanong ito.
首饰	alahas	Nakasuot siya ng simpleng pilak na alahas.
首要	pangunahin	Kaligtasan ang pangunahing tungkulin.
受罪	magdusa	Matinding nagdusa ang pasyente pagkatapos ng operasyon.
授予	igawad	Iginawad ng paaralan sa kanya ang honorary degree.
书法	kaligrapiya	Nagpraktis siya ng kaligrapiya mula pagkabata.
书记	kalihim	Pinamunuan ng kalihim ng nayon ang pulong.
书籍	aklat	Maraming aklat ang koleksyon ng silid-aklatan.
书面	nakasulat	Pakibigay ang nakasulat na patunay.
疏忽	kapabayaan	Nagmula sa kapabayaan sa trabaho ang pagkakamaling ito.
疏远	lumayo ang loob	Dahil sa hindi pagkakaunawaan, unti-unting lumayo ang loob ng dalawang tao.
舒畅	magaan ang loob	Gumaan ang loob niya pagkatapos maglakad.
数额	halaga	Hindi pa natitiyak ang halaga ng kabayaran.
束	bigkis	Bumili siya ng isang bigkis ng sariwang bulaklak.
束缚	limitahan	Nalimitahan ng tradisyonal na pananaw ang kanyang pagpili.
树立	magtatag	Kailangang magtatag ang kumpanya ng magandang imahe.
竖	itayo	Pakitayo nang patayo ang karatula.
耍	maglaro	Huwag maglaro sa cellphone habang oras ng trabaho.
衰老	pagtanda	Maaaring pabagalin ng ehersisyo ang pagtanda.
衰退	paghina	Nakaaapekto sa trabaho ang paghina ng ekonomiya.
率领	pangunahan	Pinangunahan ng kapitan ang pangkat pasulong.
涮火锅	kumain ng hotpot	Tuwing taglamig, mahilig ang lahat kumain ng hotpot.
双胞胎	kambal	Sila ay isang pares ng kambal.
爽快	diretsahan	Napakadiretsahan ng kanyang sagot.
水利	patubig	Pinahahalagahan ng rehiyong ito ang pagtatayo ng mga pasilidad sa patubig.
水龙头	gripo	Tumutulo ang gripo sa kusina.
水泥	semento	Dinala ng mga manggagawa ang semento sa construction site.
瞬间	sandali	Sa isang sandali, namatay ang lahat ng ilaw.
司法	hudikatura	Kailangan ng sistemang garantiya ang kalayaan ng hudikatura.
司令	kumander	Nagbigay ang kumander ng utos na umatras.
思念	ma-miss	Madalas niyang nami-miss ang sariling bayan.
思索	magmuni-muni	Matagal siyang yumuko at nagmuni-muni.
思维	pag-iisip	Mapapahusay ng pagsasanay na ito ang lohikal na pag-iisip.
斯文	magalang	Magalang siyang magsalita.
私自	palihim	Hindi maaaring palihim na umalis sa paaralan ang mga estudyante.
死亡	kamatayan	Nagdulot ng pagkamatay ng maraming tao ang aksidente.
四肢	mga kamay at paa	Kailangang igalaw ang mga kamay at paa bago mag-ehersisyo.
寺庙	templo	May isang sinaunang templo sa bundok.
肆无忌惮	walang pakundangan	Walang pakundangan niyang sinira ang mga patakaran.
饲养	mag-alaga	Maraming baka ang inaalagaan sa bukid.
耸	ikibit	Pagkatapos makinig, ikinibit lang niya ang kanyang balikat.
艘	pambilang sa barko	May tatlong cargo ship na nakadaong sa daungan.
苏醒	magkamalay	Sa wakas, nagkamalay ang pasyente.
俗话	salawikain	Sabi ng salawikain, gumagaling ang tao sa paulit-ulit na pagsasanay.
塑造	hubugin	Maaaring hubugin ng kapaligiran ang ugali ng tao.
素食	vegetarian na pagkain	Nag-aalok ng vegetarian na pagkain ang restawrang ito.
素质	kalidad	Mataas ang kalidad ng mga tauhan sa serbisyo.
诉讼	demanda	Nagpasya ang dalawang panig na lutasin ito sa pamamagitan ng demanda.
算数	tuparin	Kailangang tuparin mo ang sinabi mo.
随即	kaagad	Pagkatapos ng pulong, kaagad siyang umalis.
随意	basta-basta	Huwag basta-bastang baguhin ang settings.
岁月	panahon	Binago ng panahon ang kanyang anyo.
隧道	tunel	Dumaan ang tren sa mahabang tunel.
损坏	masira	Nasira ng malakas na ulan ang kalsada.
索取	hingin	Maaaring humingi ng libreng sample ang mga customer.
索性	minabuti na lang	Dahil napakalakas ng ulan, minabuti naming huwag na lang lumabas.
塌	gumuho	Gumuho ang bubong ng lumang bahay.
踏实	panatag	Panatag ang loob ko matapos makumpleto ang gawain.
塔	tore	May mataas na tore sa sentro ng lungsod.
台风	bagyo	Inaasahang tatama sa lupa bukas ang bagyo.
太空	kalawakan	Matagal nang ginagalugad ng sangkatauhan ang kalawakan.
泰斗	haligi	Isa siyang haligi sa larangan ng lingguwistika.
摊	puwesto	Nagtayo siya ng puwesto ng prutas sa palengke.
瘫痪	paralisado	Nagdulot ng pagkaparalisa ng ibabang bahagi ng katawan niya ang aksidente sa trapiko.
贪婪	sakim	Maaaring sirain ng kasakiman ang isang tao.
贪污	korapsyon	Inimbestigahan ang opisyal dahil sa korapsyon.
弹性	elastisidad	May elastisidad ang materyal na ito.
坦白	umamin	Sa wakas, inamin niya ang katotohanan.
叹气	bumuntong-hininga	Nang marinig ang resulta, hindi niya napigilang bumuntong-hininga.
探测	tuklasin	Kayang tuklasin ng kagamitan ang tubig sa ilalim ng lupa.
探索	galugarin	Patuloy na ginagalugad ng mga siyentipiko ang uniberso.
探讨	talakayin	Tinalakay ng mga eksperto ang plano sa reporma.
探望	dalawin	Sa weekend, dadalawin ko ang kaibigan ko sa ospital.
倘若	kung	Kung uulan, ipagpapaliban ang aktibidad.
掏	ilabas	Inilabas niya ang susi mula sa bulsa.
滔滔不绝	walang tigil magsalita	Kapag kasaysayan ang usapan, wala siyang tigil magsalita.
淘汰	matanggal	Maagang natanggal ang pangkat na ito sa kompetisyon.
陶瓷	seramika	Sikat ang Jingdezhen sa seramika.
陶醉	mabighani	Nabighani sa musika ang mga manonood.
讨好	magpalakas	Hindi niya gustong sadyang magpalakas sa boss.
特长	kahusayan	Pagpipinta ang kanyang kahusayan.
特定	partikular	Pakisumite ang aplikasyon sa loob ng partikular na oras.
特意	sinadya	Sinadya kong pumunta para magpasalamat sa iyo.
提拔	i-promote	Ipinromote siya ng kumpanya bilang department supervisor.
提炼	pinuhin	Pinipino ng pabrika ang metal mula sa mineral.
提示	pahiwatig	Magbibigay ang sistema ng pahiwatig na ilagay ang password.
提议	magmungkahi	Iminungkahi niyang ipagpatuloy ang talakayan bukas.
题材	paksa	Bago ang paksa ng pelikulang ito.
体裁	genre	Magkaibang genre ang nobela at tula.
体积	sukat	Malaki ang sukat ng kahong ito.
体谅	unawain	Pakiunawaan ang kanyang mga paghihirap.
体面	marangal	Gusto niyang makahanap ng marangal na trabaho.
体系	sistema	Nagtatag ang kumpanya ng kumpletong sistema ng pagsasanay.
天才	henyo	Itinuturing na henyo sa musika ang batang ito.
天赋	talento	May talento siya sa pag-aaral ng mga wika.
天伦之乐	kaligayahan ng pamilya	Tinatamasa ng matanda ang kaligayahan ng pamilya.
天然气	gas natural	Gumagamit ng gas natural sa pagluluto ang mga residente ng lungsod.
天生	likas	Likas siyang optimistiko.
天堂	paraiso	Parang paraiso sa lupa ang lugar na ito.
天文	astronomiya	Mula pagkabata ay mahilig siya sa astronomiya.
田径	athletics	Nagdaos ang paaralan ng athletics competition.
田野	parang	Berde ang mga parang sa tagsibol.
舔	dilaan	Dinilaan ng tuta ang kamay ng amo nito.
挑剔	mapili	Mapili siya sa pagkain.
条款	sugnay	Kailangang basahing mabuti ang mga sugnay ng kontrata.
条理	kaayusan	May malinaw na kaayusan ang kanyang pahayag.
条约	kasunduan	Lumagda ang dalawang bansa sa kasunduan sa kapayapaan.
调和	magkatugma	Magkatugma ang dalawang kulay na ito.
调剂	balansehin	Maaaring balansehin ng ehersisyo ang tensyonadong buhay.
调节	ayusin	Kayang ayusin ng air conditioner ang temperatura sa loob.
调解	mamagitan	Tumulong ang mga tauhan ng komunidad na mamagitan sa alitan ng dalawang panig.
调料	pampalasa	Kailangang magdagdag ng kaunting pampalasa sa sabaw.
挑拨	udyukan	Huwag udyukan ang alitan sa pagitan ng mga kasamahan.
挑衅	probokasyon	May malinaw na probokasyon ang pahayag na ito.
跳跃	tumalon	Tatlong sunod na beses tumalon ang atleta.
亭子	pabilyon	May maliit na pabilyon sa tabi ng lawa.
停泊	dumaong	Dumaong ang bangkang pangisda sa look.
停顿	pahinga	Huminto siya sandali sa gitna ng pagsasalita.
停滞	matigil	Natigil ang proyekto dahil kulang ang pondo.
挺拔	mataas at tuwid	Mataas at tuwid ang paglaki ng puno ng pino.
通货膨胀	implasyon	Itinulak pataas ng implasyon ang gastos sa pamumuhay.
通缉	hanapin ng pulisya	Hinahanap ng pulisya ang suspek na ito.
通俗	madaling maintindihan	Madaling maintindihan ang wika ng librong ito.
通讯	komunikasyon	Mabilis ang pag-unlad ng modernong teknolohiya sa komunikasyon.
通用	pangkaraniwan	Mas pangkaraniwan ang paggamit ng charger na ito.
同胞	kababayan	Minamasdan din ng mga kababayan sa ibang bansa ang pag-unlad ng sariling bayan.
同志	kasama	Ibinahagi ng matandang kasama ang karanasan sa trabaho.
童话	kuwentong pambata	Mahilig makinig ng kuwentong pambata ang bata bago matulog.
铜	tanso	Gawa sa tanso ang rebultong ito.
统筹兼顾	isaalang-alang ang lahat	Kailangang isaalang-alang ng pagpaplano ng lungsod ang interes ng lahat ng panig.
统计	bilangin	Kailangan nating bilangin ang bilang ng mga nagparehistro.
统统	lahat	Kailangang i-archive ang lahat ng lumang dokumentong ito.
统治	mamahala	Namahala ang dinastiyang ito sa loob ng tatlong daang taon.
投机	spekulasyon	Kumita siya ng pera sa pamamagitan ng spekulasyon.
投票	bumoto	Lalahok bukas sa pagboto ang mga residente.
投诉	reklamo	Nagreklamo ang customer sa platform tungkol sa tindero.
投降	sumuko	Sa huli, pinili ng hukbo ng kalaban na sumuko.
投掷	ihagis	Nagpraktis ang atleta ng paghagis ng sibat.
透露	ibunyag	Hindi niya ibinunyag ang mga detalye ng pulong.
秃	kalbo	Kalbo na siya kahit bata pa.
突破	pagsulong	Nakamit ng pananaliksik ang malaking pagsulong.
图案	pattern	Napakaganda ng pattern ng telang ito.
徒弟	aprentis	Tinuturuan ng maestro ang aprentis na mag-ayos ng relo.
涂抹	ipahid	Pakipahid ang ointment sa paligid ng sugat.
途径	paraan	Mahalagang paraan ang internet para makakuha ng impormasyon.
土壤	lupa	Ang matabang lupa ay angkop sa pagtatanim ng gulay.
团结	magkaisa	Kailangang magkaisa at magtulungan ang team.
团体	grupo	Regular na nagdaraos ng aktibidad ang grupong ito.
团圆	pagsasama-sama	Araw ng pagsasama-sama ng pamilya ang Spring Festival.
推测	hulaan	Hinuhulaan ng mga eksperto na tataas pa ang presyo.
推翻	ibagsak	Ibinagsak ng mamamayan ang lumang sistema.
推理	pangangatwiran	Puno ng pangangatwirang kuwento ang nobelang ito.
推论	konklusyon	Kailangan pa ng ebidensya para suportahan ang konklusyong ito.
推销	i-market	Siya ang responsable sa pag-market ng bagong produkto.
吞吞吐吐	paulit-ulit na mautal	Nang sumagot siya sa tanong, paulit-ulit siyang nautal.
托运	i-check in	Maaaring i-check in ng mga pasahero ang bagahe sa counter.
拖延	antalahin	Huwag nang antalahin ang oras ng pagbabayad.
脱离	mahiwalay	Hindi maaaring mahiwalay ang teorya sa realidad.
妥当	angkop	Angkop ang ayos na ito.
妥善	maayos	Pakiingatan nang maayos ang mahahalagang dokumento.
妥协	kompromiso	Sa huli, nagkaroon ng kompromiso ang dalawang panig.
椭圆	ellipse	Malapit sa ellipse ang orbit ng Daigdig.
唾弃	itakwil	Itinatakwil ng lipunan ang ganitong pandaraya.
哇	wow	Wow, napakaringal ng tulay na ito.
挖掘	hukayin	Hinahukay ng archaeological team ang sinaunang libingan.
娃娃	manika	May hawak na manika ang maliit na babae.
瓦解	gumuho	Dahil sa panloob na tunggalian, gumuho ang alyansa.
歪曲	baluktutin	Hindi dapat baluktutin ng ulat ang katotohanan.
外表	anyo	Huwag husgahan ang tao batay lamang sa anyo.
外行	hindi eksperto	Wala talaga akong alam sa batas, kaya hindi ako eksperto.
外界	labas na mundo	Bihirang tumugon ang kumpanya sa kritisismo ng labas na mundo.
外向	palakaibigan	Palakaibigan ang personalidad niya at marami siyang kaibigan.
丸	tableta	Binigyan siya ng doktor ng ilang tableta.
完备	kumpleto	Kumpleto ang set ng materyales na ito.
完毕	matapos	Tapos na ang pulong.
玩弄	paglaruan	Huwag paglaruan ang damdamin ng iba.
玩意儿	bagay	Sinuri niya kung anong bagong bagay ito.
顽固	matigas ang ulo	Napakatigas ng ulo ng kanyang saloobin.
顽强	matibay	Napakatibay ng loob na ipinakita ng sugatan.
惋惜	manghinayang	Nanghinayang ang lahat sa pagkabigo.
挽回	bawiin	Nagsikap siyang bawiin ang pagkalugi ng kumpanya.
挽救	iligtas	Matagumpay na nailigtas ng doktor ang buhay ng pasyente.
万分	labis	Labis akong nagpapasalamat sa iyong tulong.
往常	karaniwan	Mas mainit ngayon kaysa karaniwan.
往事	nakaraan	Madalas alalahanin ng matanda ang nakaraan.
妄想	mag-ilusyon	Nag-ilusyon siyang yayaman sa isang gabi.
危机	krisis	Nahaharap ang kumpanya sa seryosong krisis.
威风	maringal	Maringal tingnan ang heneral habang nakasakay sa kabayo.
威力	lakas	Napakalakas ng sandatang ito.
威望	prestihiyo	Mataas ang prestihiyo niya sa nayon.
威信	tiwala	Kailangang panatilihin ng lider ang tiwala sa pamahalaan.
微不足道	hindi mahalaga	Hindi mahalaga ang maliit na pagkaluging ito.
微观	mikro	Ipinapakilala ng kursong ito ang microeconomics.
为难	pahirapan	Huwag nang pahirapan ang waiter.
为期	tatagal	Tatagal ng tatlong buwan ang pagsasanay.
唯独	tanging	Dumating ang lahat, tanging siya lang ang hindi.
维持	panatilihin	Pinananatili ng pulis ang kaayusan sa lugar.
维护	ipagtanggol	Kailangan nating ipagtanggol ang legal na karapatan.
维生素	bitamina	Mayaman sa bitamina ang prutas.
违背	labag	Labag sa diwa ng kontrata ang desisyong ito.
伪造	peke	May taong pumeke sa kanyang pirma.
委托	ipagkatiwala	Ipinagkatiwala ng kliyente sa abogado ang paghawak ng kaso.
委员	miyembro ng komite	Nagpahayag ng opinyon ang bawat miyembro ng komite.
卫星	satellite	Pumasok ang satellite sa itinakdang orbit.
喂	pakainin	Pinakakain ng bata ang kuting.
慰问	dalawin	Pumunta ang lider sa ospital para dalawin ang mga sugatan.
未免	sobra naman	Sobra naman ang taas ng kahilingang ito.
畏惧	matakot	Hindi siya kailanman natakot sa kahirapan.
蔚蓝	asul na asul	Asul na asul ang kulay ng langit.
温带	klimang katamtaman; sonang katamtaman	Angkop ang halamang ito sa klimang katamtaman.
温和	katamtaman	Medyo katamtaman ang kanyang paninindigan sa patakaran.
文凭	diploma	Nangangailangan ng diploma sa kolehiyo ang trabahong ito.
文物	artifact	Nagpakita ang museo ng mahahalagang artifact.
文献	literatura	Maraming literatura ang sinipi ng papel.
文雅	pino	Pino ang kanyang kilos.
文艺	sining at panitikan	Masigla ang kapaligiran ng sining at panitikan sa lungsod na ito.
问世	lumabas	Malapit nang lumabas ang modelong ito ng cellphone.
窝	pugad	May isang pugad ng ibon sa puno.
乌黑	itim na itim	May mahaba siyang buhok na itim na itim.
污蔑	siraan	Itinanggi niyang siniraan niya ang kakompetensya.
诬陷	akusahan nang mali	Ipinakita ng ebidensya na inakusahan siya nang mali.
无比	walang kapantay	Nang marinig ang balita, naramdaman niya ang walang kapantay na tuwa.
无偿	libre	Nagbigay ng libreng serbisyo ang mga boluntaryo.
无耻	walanghiya	Napakawalanghiya ng ganitong pandaraya.
无动于衷	walang pakialam	Wala siyang pakialam sa harap ng kritisismo.
无非	wala kundi	Ginawa niya ito wala kundi para makatipid.
无辜	inosente	Itinuring ng hukuman na inosente siya.
无精打采	walang sigla	Mukha siyang walang sigla ngayon.
无赖	basagulero	Ayaw makipag-ugnayan ng mga taganayon sa basagulerong iyon.
无理取闹	gumawa ng gulo nang walang dahilan	Huwag gumawa ng gulo nang walang dahilan dito.
无能为力	walang magawa	Walang magawa ang mga taganayon sa harap ng baha.
无穷无尽	walang hanggan	Mukhang walang hanggan ang disyerto.
无微不至	maalaga sa bawat detalye	Maalaga sa bawat detalye ang nars sa pasyente.
无忧无虑	walang alalahanin	Naglalaro ang mga bata sa damuhan nang walang alalahanin.
无知	kamangmangan	Ang kamangmangan ay hindi dahilan para tumangging matuto.
侮辱	insultuhin	Ininsulto ng kanyang salita ang kabilang panig.
武器	sandata	Pinananatiling sama-sama ang mga sandatang ito.
武侠	wuxia	Mula pagkabata, mahilig siyang magbasa ng wuxia novel.
武装	armado	Pinalakas ang armadong patrol sa hangganan.
舞蹈	sayaw	May malinaw na katangiang etniko ang sayaw na ito.
务必	tiyaking	Pakitiyak na dumating sa oras.
物美价廉	mura at maganda	Mura at maganda ang mga produkto sa tindahang ito.
物业	property management	Responsable ang property management sa pagkukumpuni sa komunidad.
物资	suplay	Nakarating na sa disaster area ang mga suplay para sa relief.
误差	error	May bahagyang error sa resulta ng sukat.
误解	hindi pagkakaunawaan	Nawala ang hindi pagkakaunawaan ng dalawang panig sa pamamagitan ng komunikasyon.
夕阳	takipsilim	Kulay ginto ang langit dahil sa araw sa takipsilim.
昔日	noong araw	Ang maliit na nayon noong araw ay naging lungsod.
溪	sapa	Dumaan ang maliit na sapa sa pagitan ng mga bundok.
熄灭	patayin	Pakipatay ang kandila.
牺牲	sakripisyo	Gumawa sila ng sakripisyo upang makapagligtas ng tao.
膝盖	tuhod	Nasugatan ang kanyang tuhod.
习俗	kaugalian	Maraming tradisyonal na kaugalian ang Spring Festival.
媳妇	manugang na babae	Nagtatrabaho sa ospital ang kanyang manugang na babae.
袭击	atakihin	Inatake ng bagyo ang baybaying lungsod.
喜闻乐见	kinagigiliwan	Kinagigiliwan ng mga manonood ang ganitong programa.
喜悦	tuwa	Lumitaw sa kanyang mukha ang ngiti ng tuwa.
系列	serye	Naglunsad ang kumpanya ng serye ng bagong produkto.
细菌	bakterya	Kayang pumatay ng bakterya ang mataas na init.
细胞	selula	Binubuo ng napakaraming selula ang katawan ng tao.
细致	masinsin	Masinsin ang kanyang pagmamasid.
峡谷	kanyon	Dumaan ang ilog sa malalim na kanyon.
狭隘	makitid	Kailangang baguhin ang makitid na pananaw na ito.
狭窄	makitid	Napakasikip at makitid ng landas na ito.
霞	ulap sa dapithapon	Pinula ng ulap sa dapithapon ang langit.
下属	nasasakupan	Maingat na pinakinggan ng manager ang opinyon ng mga nasasakupan.
先进	advanced	Gumamit ang pabrika ng advanced na kagamitan.
先前	dati	Nagbago na ang dating plano.
掀起	magpasiklab	Nagpasiklab ng mainit na talakayan ang librong ito.
纤维	hibla	May natural na hibla ang telang ito.
鲜明	malinaw	Napakamalinaw ng kanyang paninindigan.
嫌	ayaw	Ayaw niya sa kuwarto dahil masyadong maliit.
嫌疑	hinala	May malaking hinala sa lalaking ito.
弦	kuwerdas	Naputol ang isang kuwerdas ng gitara.
衔接	pagdugtungin	Maayos ang pagdugtong ng nilalaman ng dalawang kurso.
贤惠	mabait at mahusay	Itinuturing siyang mabait at mahusay.
闲话	tsismis	Huwag magsabi ng tsismis tungkol sa iba sa likuran nila.
显著	kapansin-pansin	Kapansin-pansin ang epekto ng paggamot.
宪法	konstitusyon	Pinangangalagaan ng konstitusyon ang pangunahing karapatan ng mamamayan.
现场	lugar ng pangyayari	Nakarating na ang reporter sa lugar ng aksidente.
现成	handa	May handang pagkain sa kusina.
现状	kasalukuyang kalagayan	Kailangan nating maunawaan ang kasalukuyang kalagayan ng industriya.
线索	lead	Nakahanap ang pulisya ng bagong lead.
陷害	ipahamak	Sinabi niyang may taong gustong ipahamak siya.
陷阱	bitag	Nagtakda ang mangangaso ng bitag.
陷入	masadlak	Nasadlak sa suliranin sa pondo ang kumpanya.
馅儿	palaman	Mabango ang palaman ng baozi na ito.
乡镇	bayan	Unti-unting bumubuti ang kondisyon ng mga paaralan sa bayan.
相差	magkaiba	Magkaiba ng sampung digri ang temperatura sa dalawang lugar.
相等	pantay	Pantay ang lawak ng dalawang tatsulok.
相辅相成	magpuno sa isa't isa	Nagpupuno sa isa't isa ang teorya at praktika.
相应	naaangkop	Gagawa ang kumpanya ng naaangkop na hakbang.
镶嵌	ikabit	May nakabit na isang hiyas sa singsing.
响亮	malakas at malinaw	Malakas at malinaw ang boses ng kanyang sagot.
响应	tumugon	Maraming tao ang tumugon sa panawagan para sa kapaligiran.
想方设法	gumawa ng paraan	Gumawa sila ng paraan para mapababa ang gastos.
向导	gabay	Dinala kami ng lokal na gabay papasok sa bundok.
向来	palagi	Palagi niyang pinahahalagahan ang kredibilidad.
向往	hangarin	Hangad niya ang tahimik na buhay.
巷	eskinita	Maraming maliliit na tindahan ang nagbukas sa lumang eskinita.
相声	xiangsheng	Mahilig makinig si Lolo sa tradisyonal na xiangsheng.
消除	alisin	Kayang alisin ng komunikasyon ang hindi pagkakaunawaan.
消毒	disimpektahin	Dinisimpektahan ng doktor ang sugat.
消防	bumbero	Mabilis na dumating ang mga bumbero sa lugar.
消耗	ubusin	Maraming lakas ang inuubos ng mahabang biyahe.
消灭	puksain	Pinupuksa ng mga tauhan ang mga peste.
潇洒	maluwag at kumpiyansa	Mukha siyang maluwag at kumpiyansa habang naglalakad.
销毁	sirain	Sinira ng customs ang mga pekeng produkto.
小心翼翼	napakaingat	Maingat niyang binuksan ang kahon.
效益	benepisyo	Pinataas ng bagong kagamitan ang benepisyo sa produksyon.
肖像	larawan	Nakasabit sa dingding ang kanyang larawan.
协会	samahan	Tumutulong ang samahang ito sa mga batang entrepreneur.
协商	makipag-usap	Handang magpatuloy sa pakikipag-usap ang dalawang panig.
协调	i-coordinate	Responsable ang project manager sa pag-coordinate ng resources.
