simplified	TE	example_TE
正	సరైన	ఈ సమాధానం సరైనది.
证件	గుర్తింపు పత్రం	దయచేసి మీ గుర్తింపు పత్రాన్ని చూపండి.
证据	సాక్ష్యం	పోలీసులు కొత్త సాక్ష్యాన్ని కనుగొన్నారు.
支	పొడవైన వస్తువుల లెక్కపదం	బల్లపై ఒక పెన్ ఉంది.
支票	చెక్కు	అతను చెక్కుతో చెల్లించాడు.
执照	లైసెన్స్	వాహనం నడపడానికి డ్రైవింగ్ లైసెన్స్ అవసరం.
直	నేరుగా	ఈ రహదారిలో నేరుగా ముందుకు వెళ్లండి.
指导	మార్గనిర్దేశం చేయడం	ఉపాధ్యాయుడు పేపర్ రాయడంలో మాకు మార్గనిర్దేశం చేశాడు.
指挥	నిర్దేశించడం	ఈ చర్యను నిర్దేశించడం అతని బాధ్యత.
制定	రూపొందించడం	కంపెనీ కొత్త ప్రణాళికను రూపొందించింది.
制度	వ్యవస్థ	పాఠశాలకు కఠినమైన వ్యవస్థ ఉంది.
制造	తయారు చేయడం	ఈ కర్మాగారం యంత్రాలను తయారు చేస్తుంది.
制作	తయారు చేయడం	ఆమె పుట్టినరోజు కేక్ తయారు చేస్తోంది.
志愿者	స్వచ్ఛంద సేవకుడు	చాలా మంది స్వచ్ఛంద సేవకులు కార్యక్రమంలో చేరారు.
智慧	జ్ఞానం	ఈ వృద్ధుడికి గొప్ప జ్ఞానం ఉంది.
治疗	చికిత్స చేయడం	వైద్యుడు రోగికి చికిత్స చేస్తున్నాడు.
秩序	క్రమం	దయచేసి క్రమాన్ని కాపాడండి.
至今	ఇప్పటివరకు	ఈ సమస్య ఇప్పటివరకు పరిష్కరించబడలేదు.
至于	విషయానికి వస్తే	ఖర్చు విషయానికి వస్తే, మేము రేపు చర్చిస్తాము.
中介	మధ్యవర్తి	అతను మధ్యవర్తి ద్వారా అపార్ట్‌మెంట్ అద్దెకు తీసుకున్నాడు.
中心	కేంద్రం	ఆసుపత్రి నగర కేంద్రంలో ఉంది.
中旬	మధ్య పది రోజులు	సమావేశం మే మధ్య పది రోజుల్లో జరగనుంది.
种类	రకం	ఇక్కడ చాలా రకాల పండ్లు ఉన్నాయి.
重大	ముఖ్యమైన	ఇది ఒక ముఖ్యమైన నిర్ణయం.
重量	బరువు	ఈ పెట్టె బరువు ఎంత?
周到	శ్రద్ధగల	అతని సేవ చాలా శ్రద్ధగలది.
猪	పంది	ఫారంలో చాలా పందులు ఉన్నాయి.
竹子	వెదురు	పాండాలకు వెదురు తినడం ఇష్టం.
逐步	దశలవారీగా	ప్రణాళిక దశలవారీగా అమలు చేయబడుతుంది.
逐渐	క్రమంగా	వాతావరణం క్రమంగా చల్లబడింది.
主持	నిర్వహించడం	ఆమె ఈరోజు సమావేశాన్ని నిర్వహిస్తోంది.
主动	స్వయంగా ముందుకు రావడం	అతను స్వయంగా ముందుకు వచ్చి సహాధ్యాయుడికి సహాయం చేశాడు.
主观	వ్యక్తిగతమైన	ఈ మూల్యాంకనం కొంచెం వ్యక్తిగతంగా ఉంది.
主人	ఆతిథ్యుడు	ఆతిథ్యుడు మమ్మల్ని ఆత్మీయంగా స్వాగతించాడు.
主任	డైరెక్టర్	డైరెక్టర్ కార్యాలయంలో ఉన్నారు.
主题	విషయం	ఈరోజు చర్చ విషయం పర్యావరణ పరిరక్షణ.
主席	అధ్యక్షుడు	అధ్యక్షుడు సమావేశం ప్రారంభమైందని ప్రకటించాడు.
主张	వాదించడం	అతను ముందుగా ట్రాఫిక్ సమస్యను పరిష్కరించాలని వాదిస్తాడు.
煮	ఉడికించడం	అమ్మ నూడుల్స్ ఉడికిస్తోంది.
注册	నమోదు చేసుకోవడం	కొత్త వినియోగదారులు ముందుగా నమోదు చేసుకోవాలి.
祝福	శుభాకాంక్షలు	స్నేహితులు శుభాకాంక్షలు పంపారు.
抓	పట్టుకోవడం	పిల్లవాడు అమ్మ చేతిని పట్టుకున్నాడు.
抓紧	సమయాన్ని ఉపయోగించుకోవడం	మనం సమయాన్ని బాగా ఉపయోగించుకోవాలి.
专家	నిపుణుడు	నిపుణుడు సూచనలు ఇచ్చాడు.
专心	శ్రద్ధగా	తరగతిలో నువ్వు శ్రద్ధగా వినాలి.
转变	మార్పు చెందడం	అతని వైఖరి మారింది.
转告	తెలియజేయడం	రేపు సమావేశం ఉందని దయచేసి అతనికి తెలియజేయండి.
装	పెట్టడం	దయచేసి పుస్తకాలను బ్యాగులో పెట్టండి.
装饰	అలంకరించడం	వాళ్లు పూలతో గదిని అలంకరించారు.
装修	పునరుద్ధరించడం	కొత్త ఇల్లు పునరుద్ధరణలో ఉంది.
撞	ఢీకొనడం	కూడలిలో రెండు కార్లు ఢీకొన్నాయి.
状况	పరిస్థితి	ప్రస్తుత పరిస్థితి సాపేక్షంగా స్థిరంగా ఉంది.
状态	స్థితి	ఈ రోజు అతని స్థితి మంచిగా ఉంది.
追	తరుముకోవడం	పిల్లవాడు వెనుక నుంచి కుక్కపిల్లను తరుముకుంటున్నాడు.
追求	వెంటపడడం	అతను ఎప్పుడూ తన కల వెంటపడుతున్నాడు.
咨询	సలహా కోరడం	నువ్వు వృత్తిపరమైన వైద్యుడి సలహా కోరవచ్చు.
姿势	భంగిమ	దయచేసి సరైన భంగిమను ఉంచండి.
资格	అర్హత	పోటీలో పాల్గొనడానికి అతనికి అర్హత ఉంది.
资金	నిధులు	ప్రాజెక్టుకు మరిన్ని నిధులు అవసరం.
资料	సామగ్రి	దయచేసి సామగ్రిని నాకు పంపండి.
资源	వనరు	నీరు ఒక ముఖ్యమైన సహజ వనరు.
紫	ఊదా	ఆమెకు ఊదా రంగు ఇష్టం.
字母	అక్షరం	ఇంగ్లీషులో ఇరవై ఆరు అక్షరాలు ఉన్నాయి.
字幕	ఉపశీర్షికలు	ఈ సినిమాలో చైనీస్ ఉపశీర్షికలు ఉన్నాయి.
自从	నుంచి	పట్టా పొందినప్పటి నుంచి అతను అరుదుగానే తిరిగి వస్తాడు.
自动	ఆటోమేటిక్‌గా	ఈ తలుపు ఆటోమేటిక్‌గా తెరుచుకుంటుంది.
自豪	గర్వంగా	నా పురోగతి గురించి నాకు గర్వంగా ఉంది.
自觉	స్వయంగా	అతను హోంవర్క్‌ను స్వయంగా పూర్తి చేశాడు.
自私	స్వార్థపరుడు	మనిషి చాలా స్వార్థపరుడిగా ఉండకూడదు.
自由	స్వేచ్ఛ	ప్రతి ఒక్కరూ స్వేచ్ఛను విలువగా భావిస్తారు.
自愿	స్వచ్ఛందంగా	వాళ్లు స్వచ్ఛందంగా కార్యక్రమంలో పాల్గొన్నారు.
综合	సమగ్రంగా	మనం అన్ని రకాల కారకాలను సమగ్రంగా పరిగణించాలి.
总裁	ముఖ్య కార్యనిర్వాహకుడు	ఈ రోజు ముఖ్య కార్యనిర్వాహకుడు ప్రసంగించారు.
总共	మొత్తంగా	ఈ ప్రయాణానికి మొత్తం మూడు వేల యువాన్ ఖర్చయింది.
总理	ప్రధాన మంత్రి	ప్రధాన మంత్రి సమావేశంలో పాల్గొన్నారు.
总算	చివరికి	సమస్య చివరికి పరిష్కరించబడింది.
总统	అధ్యక్షుడు	అధ్యక్షుడు టెలివిజన్ ప్రసంగం ఇచ్చారు.
总之	సారాంశంగా	సారాంశంగా, మనం సమయానికి పూర్తి చేయాలి.
组	గుంపులుగా విభజించడం	ఉపాధ్యాయుడు మమ్మల్ని మూడు గుంపులుగా విభజించాడు.
组成	రూపొందించబడటం	నీరు హైడ్రోజన్ మరియు ఆక్సిజన్‌తో రూపొందించబడింది.
组合	కలయిక	ఈ రంగుల కలయిక బాగుంది.
组织	ఆయోజించడం	పాఠశాల ఒక ప్రయాణాన్ని ఆయోజించింది.
阻止	ఆపడం	పోలీసులు ప్రమాదకర ప్రవర్తనను ఆపారు.
最初	మొదట్లో	మొదట్లో నాకు బాగా అర్థం కాలేదు.
醉	మత్తుగా	అతను ఎక్కువ తాగి కొంచెం మత్తుగా ఉన్నాడు.
尊敬	గౌరవించడం	విద్యార్థులందరూ ఉపాధ్యాయుడిని గౌరవిస్తారు.
遵守	పాటించడం	మనం ట్రాఫిక్ నియమాలను పాటించాలి.
作品	కృతి	ఈ చిత్రం అతని కృతి.
作为	గా	ఉపాధ్యాయుడిగా అతను చాలా సహనంగా ఉంటాడు.
作文	వ్యాసం	ఉపాధ్యాయుడు మమ్మల్ని ఒక వ్యాసం రాయమన్నాడు.
