simplified	HU	example_HU
停滞	megrekedni	A projekt forráshiány miatt megrekedt.
挺拔	magas és egyenes	A fenyők magasra és egyenesre nőnek.
通货膨胀	infláció	Az infláció megemelte a megélhetési költségeket.
通缉	körözni	A rendőrség körözi ezt a gyanúsítottat.
通俗	közérthető	Ennek a könyvnek a nyelvezete nagyon közérthető.
通讯	kommunikáció	A modern kommunikációs technológia gyorsan fejlődik.
通用	általánosan használható	Ez a töltő viszonylag általánosan használható.
同胞	honfitárs	A külföldi honfitársak is figyelik szülőföldjük fejlődését.
同志	elvtárs	Az idős elvtárs megosztotta a munkatapasztalatát.
童话	mese	A gyerek lefekvés előtt szeret meséket hallgatni.
铜	réz	Ez a szobor rézből készült.
统筹兼顾	átfogóan összehangolni	A várostervezésnek átfogóan össze kell hangolnia minden fél érdekeit.
统计	összesíteni	Össze kell számolnunk a jelentkezők számát.
统统	mind	A régi dokumentumokat mind archiválni kell.
统治	uralkodni	Ez a dinasztia háromszáz évig uralkodott.
投机	spekuláció	Spekulációval keresett egy nagyobb összeget.
投票	szavazni	A lakosok holnap részt vesznek a szavazáson.
投诉	panaszt tenni	Az ügyfél panaszt tett a kereskedő ellen a platformon.
投降	megadni magát	Az ellenséges sereg végül megadta magát.
投掷	hajítani	A sportoló gerelyhajítást gyakorolt.
透露	felfedni	Nem fedte fel az értekezlet részleteit.
秃	kopasz	Fiatalon kopaszodni kezdett.
突破	áttörés	A kutatás jelentős áttörést ért el.
图案	minta	Ennek az anyagnak nagyon szép a mintája.
徒弟	tanítvány	A mester éppen órák javítására tanítja a tanítványát.
涂抹	felkenni	Kérjük, kenje fel a kenőcsöt a seb köré.
途径	módszer	Az internet fontos módszer az információ megszerzésére.
土壤	talaj	A termékeny talaj alkalmas zöldségtermesztésre.
团结	összefogni	A csapatnak össze kell fognia és együtt kell működnie.
团体	szervezet	Ez a szervezet rendszeresen rendez programokat.
团圆	családi újraegyesülés	A tavaszünnep a családi újraegyesülés ideje.
推测	feltételezni	A szakértők feltételezik, hogy az árak tovább emelkednek.
推翻	megdönteni	A nép megdöntötte a régi rendszert.
推理	következtetés	Ez a regény tele van következtetésre épülő cselekménnyel.
推论	következtetés	Ezt a következtetést még bizonyítékokkal kell alátámasztani.
推销	értékesíteni	Ő felel az új termék értékesítéséért.
吞吞吐吐	habozva beszélni	Habozva beszélt, amikor válaszolt a kérdésre.
托运	feladni	Az utasok a pultnál feladhatják a poggyászt.
拖延	késleltetni	Ne késleltesd tovább a fizetési időpontot.
脱离	elszakadni	Az elmélet nem szakadhat el a valóságtól.
妥当	megfelelő	Ez az elrendezés nagyon megfelelő.
妥善	gondosan	Kérjük, gondosan őrizze meg a fontos dokumentumokat.
妥协	kompromisszumot kötni	A két fél végül kompromisszumot kötött.
椭圆	ellipszis	A Föld pályája ellipszishez közeli.
唾弃	megvetni	A társadalom megveti az ilyen csalást.
哇	hű	Hű, ez a híd igazán látványos!
挖掘	feltárni	A régészcsoport éppen egy ősi sírt tár fel.
娃娃	baba	A kislány egy babát tart a karjában.
瓦解	szétesni	A belső ellentétek miatt a szövetség szétesett.
歪曲	eltorzítani	A tudósításoknak nem szabad eltorzítaniuk a tényeket.
外表	külső	Ne csak a külső alapján ítélj meg embereket.
外行	laikus	A joghoz teljesen laikus vagyok.
外界	külvilág	A vállalat ritkán reagál a külvilág bírálataira.
外向	nyitott	Személyisége nyitott, és sok barátja van.
丸	pirula	Az orvos néhány pirulát írt fel neki.
完备	teljes	Ez az anyaggyűjtemény nagyon teljes.
完毕	befejeződni	Az értekezlet már befejeződött.
玩弄	játszani valamivel	Ne játssz mások érzéseivel.
玩意儿	holmi	Miféle új holmi ez?
顽固	makacs	A hozzáállása nagyon makacs.
顽强	kitartó	A sérült nagyon kitartónak bizonyult.
惋惜	sajnálni	Mindenki sajnálta a kudarcot.
挽回	visszaszerezni	Keményen dolgozott, hogy visszaszerezze a vállalat veszteségeit.
挽救	megmenteni	Az orvos sikeresen megmentette a beteg életét.
万分	rendkívül	Rendkívül hálás vagyok a segítségedért.
往常	szokásosnál	Ma melegebb van a szokásosnál.
往事	múltbeli események	Az idős ember gyakran idézi fel a múltbeli eseményeket.
妄想	hiú ábrándot kerget	Hiú ábrándként egyik napról a másikra akar meggazdagodni.
危机	válság	A vállalat súlyos válsággal néz szembe.
威风	tekintélyt parancsoló	A tábornok lóháton tekintélyt parancsolóan nézett ki.
威力	erő	Ennek a fegyvernek nagy az ereje.
威望	tekintély	A faluban nagy tekintélye van.
威信	hitelesség	A vezetőknek fenn kell tartaniuk a kormány hitelességét.
微不足道	jelentéktelen	Ez a kis veszteség jelentéktelen.
微观	mikro-	Ez a kurzus mikroökonómiát mutat be.
为难	nehéz helyzetbe hozni	Ne hozd többé nehéz helyzetbe a pincért.
为期	tartamú	A képzés három hónapig tart.
唯独	egyedül	Mindenki megérkezett, egyedül ő nem jött el.
维持	fenntartani	A rendőrség fenntartotta a rendet a helyszínen.
维护	megvédeni	Meg kell védenünk törvényes jogainkat és érdekeinket.
维生素	vitamin	A gyümölcs sok vitamint tartalmaz.
违背	megsérteni	Ez a döntés megsértette a szerződés szellemét.
伪造	hamisítani	Valaki hamisította az aláírását.
委托	megbízni	Az ügyfél megbízott egy ügyvédet az ügy kezelésével.
委员	bizottsági tag	Minden bizottsági tag elmondta a véleményét.
卫星	műhold	A műhold belépett a tervezett pályára.
喂	etetni	A gyerek éppen eteti a kiscicát.
慰问	részvétet nyilvánítani	A vezetők kórházba mentek, hogy részvétüket fejezzék ki a sebesülteknek.
未免	túlságosan	Ez a követelmény túlságosan magas.
畏惧	félni	Soha nem fél a nehézségektől.
蔚蓝	azúrkék	Az ég azúrkék színben ragyogott.
温带	mérsékelt égöv	Ez a növény a mérsékelt égövi klímához illik.
温和	mérsékelt	Politikai álláspontja viszonylag mérsékelt.
文凭	diploma	Ehhez a munkához egyetemi diploma szükséges.
文物	kulturális ereklye	A múzeum értékes kulturális ereklyéket állított ki.
文献	szakirodalom	A tanulmány nagy mennyiségű szakirodalmat idézett.
文雅	elegáns	A viselkedése elegáns.
文艺	irodalom és művészet	Ebben a városban erős az irodalmi és művészeti légkör.
问世	megjelenni	Ez a telefonmodell hamarosan megjelenik.
窝	fészek	A fán van egy madárfészek.
乌黑	koromfekete	Hosszú, koromfekete haja van.
污蔑	rágalmazni	Tagadta, hogy rágalmazta volna a versenytársát.
诬陷	hamisan megvádolni	A bizonyítékok szerint hamisan vádolták meg.
无比	rendkívül	A hírt hallva rendkívül izgatott lett.
无偿	ingyenes	Az önkéntesek ingyenes szolgáltatást nyújtanak.
无耻	szégyentelen	Ez a csalás rendkívül szégyentelen.
无动于衷	közömbös	A kritikával szemben közömbös maradt.
无非	nem más, mint	Ezt nem másért tette, mint hogy pénzt takarítson meg.
无辜	ártatlan	A bíróság megállapította, hogy ártatlan.
无精打采	kedvetlen	Ma nagyon kedvetlennek tűnik.
无赖	gazember	A falusiak nem akarnak kapcsolatba kerülni azzal a gazemberrel.
无理取闹	ok nélkül bajt keverni	Kérlek, ne keverj itt ok nélkül bajt.
无能为力	tehetetlen	Az árvízzel szemben a falusiak tehetetlenek voltak.
无穷无尽	végtelen	A sivatag végtelennek tűnt.
无微不至	aprólékos	A nővér aprólékosan gondoskodott a betegről.
无忧无虑	gondtalan	A gyerekek gondtalanul játszottak a füvön.
无知	tudatlanság	A tudatlanság nem ok a tanulás elutasítására.
侮辱	megsérteni	A szavai megsértették a másik felet.
武器	fegyver	Ezeket a fegyvereket központilag őrzik.
武侠	harcművészeti kalandregény	Gyerekkora óta szeret harcművészeti kalandregényeket olvasni.
武装	fegyveres	A határvidéken megerősítették a fegyveres járőrözést.
舞蹈	tánc	Ez a tánc erős nemzeti jellegű.
务必	feltétlenül	Kérjük, feltétlenül érkezzen időben.
物美价廉	jó és olcsó	Ennek az üzletnek az árui jók és olcsók.
物业	ingatlankezelés	Az ingatlankezelés felel a lakópark javításaiért.
物资	ellátmány	A segélyellátmány már megérkezett a katasztrófa sújtotta területre.
误差	hiba	A mérési eredményben enyhe hiba van.
误解	félreértés	A két fél kommunikációval eloszlatta a félreértést.
夕阳	naplemente	A naplemente aranyszínűre festette az eget.
昔日	régi idők	A régi idők kis falva várossá változott.
溪	patak	Egy kis patak folyik át a hegyek között.
熄灭	eloltani	Kérjük, oltsa el a gyertyát.
牺牲	áldozatot hozni	Áldozatot hoztak mások megmentéséért.
膝盖	térd	Megsérült a térde.
习俗	szokás	A tavaszünnephez sok hagyományos szokás tartozik.
媳妇	feleség	A felesége a kórházban dolgozik.
袭击	megtámadni	A vihar megtámadta a tengerparti várost.
喜闻乐见	kedvelt	Ezt a műsort a közönség kedveli.
喜悦	öröm	Örömteli mosoly jelent meg az arcán.
系列	sorozat	A vállalat új terméksorozatot dobott piacra.
细菌	baktérium	A magas hőmérséklet elpusztíthatja a baktériumokat.
细胞	sejt	Az emberi test számtalan sejtből áll.
细致	alapos	A megfigyelése nagyon alapos.
峡谷	kanyon	A folyó mély kanyonon halad át.
狭隘	szűklátókörű	Ezt a szűklátókörű nézetet meg kell változtatni.
狭窄	szűk	Ez az ösvény nagyon szűk.
霞	alkonyi felhő	Az alkonyi felhők vörösre festették az eget.
下属	beosztott	A vezető figyelmesen meghallgatta a beosztottak véleményét.
先进	fejlett	A gyár fejlett berendezéseket alkalmazott.
先前	korábbi	A korábbi terv már megváltozott.
掀起	elindítani	Ez a könyv vitahullámot indított el.
纤维	rost	Ez a szövet természetes rostot tartalmaz.
鲜明	egyértelmű	Az álláspontja nagyon egyértelmű.
嫌	kifogásolni	Kifogásolja, hogy a szoba túl kicsi.
嫌疑	gyanú	Ez a férfi erős gyanú alatt áll.
弦	húr	A gitár egyik húrja elszakadt.
衔接	összekapcsolódni	A két kurzus tartalma jól összekapcsolódik.
贤惠	erényes	Erényesnek és rátermettnek tartják.
闲话	pletyka	Ne mondj pletykát másokról a hátuk mögött.
显著	jelentős	A kezelés hatása nagyon jelentős.
宪法	alkotmány	Az alkotmány biztosítja az állampolgárok alapvető jogait.
现场	helyszín	Az újságírók már megérkeztek a baleset helyszínére.
现成	kész	A konyhában van kész étel.
现状	jelenlegi helyzet	Meg kell értenünk az iparág jelenlegi helyzetét.
线索	nyom	A rendőrség új nyomot talált.
陷害	bemártani	Azt állította, hogy valaki bemártotta.
陷阱	csapda	A vadász csapdát állított.
陷入	belekerülni	A vállalat pénzügyi nehézségekbe került.
馅儿	töltelék	Ennek a baozi-nak nagyon illatos a tölteléke.
乡镇	település	A települési iskolák körülményei javulnak.
相差	eltérni	A két hely hőmérséklete tíz fokkal tér el.
相等	egyenlő	A két háromszög területe egyenlő.
相辅相成	kiegészítik egymást	Az elmélet és a gyakorlat kiegészítik egymást.
相应	megfelelő	A vállalat megfelelő intézkedéseket fog tenni.
镶嵌	berakni	A gyűrűbe egy drágakövet raktak.
响亮	hangos és tiszta	A válasza hangos és tiszta volt.
响应	reagálni	Sokan reagáltak a környezetvédelmi kezdeményezésre.
想方设法	minden módon próbálkozni	Minden módon próbálták csökkenteni a költségeket.
向导	idegenvezető	Egy helyi idegenvezető vitt minket a hegyekbe.
向来	mindig	Mindig nagyra értékelte a hitelességet.
向往	vágyik valamire	Csendes életre vágyik.
巷	sikátor	A régi sikátorban sok kis üzlet nyílt.
相声	komikus párbeszéd	A nagypapa szeret hagyományos komikus párbeszédet hallgatni.
消除	megszüntetni	A kommunikáció megszüntetheti a félreértéseket.
消毒	fertőtleníteni	Az orvos fertőtlenítette a sebet.
消防	tűzoltás	A tűzoltók gyorsan megérkeztek a helyszínre.
消耗	felhasználni	A hosszú utazás sok testi erőt használ fel.
消灭	kiirtani	A dolgozók éppen kártevőket irtanak ki.
潇洒	laza és elegáns	A járása laza és elegáns.
销毁	megsemmisíteni	A vámhatóság megsemmisítette a hamisított árukat.
小心翼翼	nagyon óvatosan	Nagyon óvatosan nyitotta ki a dobozt.
效益	haszon	Az új berendezés javította a termelési hatékonyságot.
肖像	portré	A falon az ő portréja függ.
协会	egyesület	Ez az egyesület fiatal vállalkozóknak segít.
协商	egyeztetni	A két fél hajlandó folytatni az egyeztetést.
协调	koordinálni	A projektvezető felel az erőforrások koordinálásáért.
协议	megállapodás	A két fél együttműködési megállapodást írt alá.
协助	segíteni	Az önkéntesek segítettek az időseknek átkelni az úton.
携带	magával vinni	Az utasok nem vihetnek magukkal veszélyes árut.
屑	forgács	Az asztalon sok faforgács van.
泄露	kiszivárogtatni	Az alkalmazottak nem szivárogtathatják ki az ügyféladatokat.
泄气	elcsüggedni	Kudarc után ne csüggedj el.
谢绝	udvariasan elutasítani	A hotel udvariasan elutasítja a kívülről hozott ételt.
心得	tapasztalat	Megosztotta a tanulási tapasztalatait.
心甘情愿	szívesen	Szívesen maradt, hogy segítsen.
心灵	lélek	A zene megnyugtatta a lelkét.
心态	hozzáállás	Fontos a pozitív hozzáállás megőrzése.
心疼	sajnálni	Az anya nagyon sajnálta a sérült gyereket.
心血	fáradságos munka	Ez a könyv a szerző fáradságos munkáját foglalja magában.
心眼儿	kicsinyes gondolkodás	Kissé kicsinyes gondolkodású.
新陈代谢	anyagcsere	A testmozgás serkentheti az anyagcserét.
新郎	vőlegény	A vőlegény az ajtónál fogadta a vendégeket.
新娘	menyasszony	A menyasszony fehér esküvői ruhát viselt.
新颖	újszerű	Ez a terv nagyon újszerű.
欣慰	megnyugvással tölti el	A gyerek fejlődése megnyugvással töltötte el.
欣欣向荣	virágzó	A kisváros idegenforgalma virágzik.
薪水	fizetés	A fizetése elég a család eltartásához.
辛勤	szorgalmas	A gazdák szorgalmasan termesztik a növényeket.
信赖	bízni	Az ügyfelek nagyon bíznak ebben a vállalatban.
信念	hit	Szilárd hite támogatta őt.
信仰	hit	Tiszteletben tartja a különböző hiteket.
信誉	hírnév	A vállalatnak meg kell őriznie a hírnevét.
兴高采烈	lelkes	A gyerekek lelkesen futottak be az osztályterembe.
兴隆	virágzó	Ennek a régi boltnak virágzik az üzlete.
兴旺	fellendülő	A piacgazdaság egyre inkább fellendül.
腥	halszagú	Ez a hal kissé halszagú.
刑事	büntetőjogi	A rendőrség büntetőügyben nyomoz.
形态	forma	A növény formája a környezettel változik.
行政	közigazgatási	A közigazgatási osztály kezeli a kérelmeket.
兴致勃勃	nagy érdeklődéssel	Mindenki nagy érdeklődéssel vitatta meg a tervet.
性感	szexi	Ez az estélyi ruha nagyon szexinek hat.
性命	élet	Az orvos megmentette az életét.
性能	teljesítmény	Ennek a számítógépnek jó a teljesítménye.
凶恶	vad	Ez a kutya nagyon vadnak tűnik.
凶手	gyilkos	A rendőrség végül elfogta a gyilkost.
汹涌	háborgó	A háborgó hullámok a partot verték.
胸怀	lelkület	Széles látókörű lelkülete van.
胸膛	mellkas	A katona kidüllesztette a mellkasát.
雄厚	erős	A vállalat erős pénzügyi háttérrel rendelkezik.
雄伟	fenséges	Ez a híd nagyon fenséges.
修复	javítani	A mérnökök éppen javítják a rendszert.
修建	építeni	A kormány új repülőtér építését tervezi.
修养	műveltség	A jó műveltség a részletekben mutatkozik meg.
羞耻	szégyen	Hazugság után szégyent érzett.
嗅觉	szaglás	A kutya szaglása nagyon éles.
绣	hímezni	A nagymama tud virágokat hímezni.
虚假	hamis	A weboldal hamis hírt tett közzé.
虚荣	hiúság	A hiúság miatt túl sok pénzt költött.
虚伪	képmutató	Nem szereti a képmutató udvariaskodást.
需求	kereslet	A piaci kereslet növekszik.
须知	tudnivaló	Kérjük, először olvassa el a jelentkezési tudnivalókat.
许可	engedély	Engedély nélkül nem lehet belépni.
序言	előszó	A szerző az előszóban magyarázza el a hátteret.
畜牧	állattenyésztés	A füves puszta alkalmas az állattenyésztés fejlesztésére.
酗酒	alkoholizálás	A hosszú távú alkoholizálás károsítja az egészséget.
喧哗	zajongás	A könyvtárban tilos a zajongás.
宣誓	esküt tenni	Az új tagok az ülésen esküt tettek.
宣扬	hirdetni	Az iskola az őszinteséget és a megbízhatóságot hirdeti.
悬挂	függ	A falon egy festmény függ.
悬念	feszültség	A film vége feszültséget hagy maga után.
悬殊	nagy különbség	A két csapat ereje között nagy a különbség.
悬崖峭壁	meredek sziklafal	A hegyi út mellett meredek sziklafal húzódik.
旋律	dallam	Ennek a dalnak szép a dallama.
旋转	forog	A szélmalom forog a szélben.
选拔	kiválogatni	Az iskola sportolókat válogat ki.
选举	választás	A faluban választást tartottak.
选手	versenyző	Ez a versenyző stabilan teljesített.
炫耀	felvágni	Mindig szeret a vagyonával felvágni.
削	csökkenteni	A vállalat csökkentett néhány kiadást.
削弱	gyengíteni	A fáradtság gyengíti az ítélőképességet.
学说	elmélet	Ez az elmélet nagy hatású.
学位	diploma	Mesterfokozatot szerzett.
雪上加霜	rontani a helyzeten	Az állás elvesztése és a betegség tovább rontotta a helyzetet.
血压	vérnyomás	Az orvos figyelmeztette, hogy tartsa kézben a vérnyomását.
熏陶	hatás alatt nevelődni	Gyerekkora óta a zene hatása alatt nevelődött.
寻觅	keresni	Mindenfelé megfelelő lakást kerestek.
巡逻	járőrözni	A rendőrök éjszaka az utcákon járőröznek.
循环	kering	A víz a rendszerben kering.
循序渐进	fokozatosan haladni	A nyelvtanulásban fokozatosan kell haladni.
压迫	elnyomni	A régi rendszer elnyomta az egyszerű embereket.
压岁钱	újévi pénz	A gyerek újévi pénzt kapott.
压缩	tömöríteni	A szoftver tömöríteni tudja a képek méretét.
压抑	elnyomni	Igyekezett elnyomni belső haragját.
压榨	kisajtolni	A gép éppen cukornádlevet sajtol ki.
压制	elfojtani	A gyógyszer el tudja fojtani a fájdalmat.
鸦雀无声	teljes csend	Miután a tanár belépett, teljes csend lett az osztályteremben.
亚军	második helyezett	A versenyen második helyezett lett.
淹没	elárasztani	Az árvíz elárasztotta az alacsonyan fekvő falut.
烟花爆竹	tűzijáték és petárda	Az ünnep alatt tilos tűzijátékot és petárdát használni.
严峻	súlyos	A foglalkoztatási helyzet továbbra is súlyos.
严寒	zord hideg	A zord hideg időjárás hatással van a közlekedésre.
严禁	szigorúan tilos	Itt szigorúan tilos dohányozni.
严厉	szigorú	A tanár szigorúan bírálta őt.
严密	szigorú	A raktárban szigorú megfigyelés van.
岩石	szikla	A tengerparti sziklák nagyon kemények.
延期	elhalasztani	Az értekezletet jövő hétre halasztották.
延伸	kiterjedni	Az út észak felé húzódik.
延续	folytatódni	Ez a hagyomány száz éve folytatódik.
沿海	part menti	A part menti városok kereskedelme fejlett.
炎热	forró	A forró időjárás fárasztó.
言论	nyilatkozat	A közvélemény figyel az ő nyilatkozataira.
掩盖	eltakarni	Megpróbálta eltakarni a hibát.
掩护	fedezni	A csapattársak feladata a visszavonulás fedezése volt.
掩饰	leplezni	Igyekezett leplezni az idegességét.
演变	fejlődni	A város szerkezete folyamatosan fejlődik.
演习	gyakorlat	Az iskola tűzvédelmi gyakorlatot tartott.
演绎	levezetni	A tanár levezette ezt a tételt.
演奏	előadni	A zenekar éppen klasszikus zenét ad elő.
眼光	érzék	Jó befektetési érzéke van.
眼色	pillantás	Egy pillantást vetett a kollégájára jelzésként.
眼神	tekintet	A tekintete nagyon határozott volt.
厌恶	utálni	Utálja a csaló magatartást.
验收	átvételi ellenőrzés	A projekt befejezése után átvételi ellenőrzés szükséges.
验证	igazolni	A kísérlet igazolta a feltételezést.
氧气	oxigén	A betegnek oxigént kell belélegeznie.
样品	minta	Az ügyfél megkapta a termékmintákat.
摇摆	ingadozni	A kis csónak ingadozott a szélben és a hullámokban.
摇滚	rockzene	A fiatalok szeretik a rockzenét.
谣言	pletyka	Ne terjessz ellenőrizetlen pletykákat.
遥控	távirányítás	Telefonnal távirányította a légkondicionálót.
遥远	távoli	Az a falu nagyon távol van a várostól.
耀眼	vakító	A napfény vakítóan sütött.
要点	fő pont	Kérjük, jegyezze fel az értekezlet fő pontjait.
要命	rendkívül	Ez a hegyi út rendkívül veszélyes.
要素	tényező	A bizalom az együttműködés fontos tényezője.
野蛮	brutális	Ellenzni kell a brutális jogalkalmazást.
野心	ambíció	Politikai ambíciója nyilvánvaló.
液体	folyadék	Ez a folyadék színtelen.
一流	elsőrangú	Ennek a kórháznak elsőrangú felszerelése van.
一如既往	mint mindig	Mint mindig, támogat minket.
依旧	továbbra is	Elállt az eső, de az utca továbbra is nedves.
依据	alapján	Az ítéletnek a törvényen kell alapulnia.
依靠	támaszkodni	Ők a mezőgazdaságból élnek.
依赖	függni	A gyerekeknek nem szabad túlságosan függniük a szüleiktől.
依托	támaszkodni	A projekt a helyi erőforrásokra támaszkodva fejlődik.
衣裳	ruha	Tiszta ruhát vett fel.
一度	egykor	A vállalat egykor csőd szélére került.
一贯	következetesen	Következetesen ellenezte a pazarlást.
一目了然	első pillantásra világos	A táblázat tartalma első pillantásra világos.
一向	mindig	Mindig pontos volt.
仪器	műszer	A laboratórium új műszereket vásárolt.
仪式	ünnepség	A diplomaosztó ünnepséget holnap tartják.
疑惑	zavarban lenni	A diák zavarban volt a válasz miatt.
遗产	örökség	Ez az ősi város kulturális örökség.
遗传	öröklődni	Ez a betegség öröklődhet.
遗留	hátramaradt	A történelemből hátramaradt problémákat meg kell oldani.
遗失	elveszíteni	Az utas elveszítette az útlevelét.
以便	annak érdekében	Kérjük, hagyjon telefonszámot, hogy felvehessük a kapcsolatot.
以免	nehogy	Indulj korábban, nehogy elkéss.
以往	korábbi	A korábbi tapasztalatokra érdemes támaszkodni.
以至	egészen odáig	A hatókör a közösségre, egészen az egész városra kiterjedt.
以致	odáig vezetett	A heves eső folytatódott, ami az utak lezárásához vezetett.
一帆风顺	zökkenőmentes	A vállalkozásindítás nem lehet mindig zökkenőmentes.
一举两得	két célt ér el egy csapásra	A kerékpáros munkába járás két célt ér el egy csapásra.
一丝不苟	aprólékos	A mérnök aprólékosan ellenőrizte a vezetékeket.
亦	is	Ő is egyetértett ezzel a tervvel.
异常	rendellenes	A rendszerben rendellenes helyzet jelent meg.
意料	várakozás	Az eredmény teljesen váratlan volt.
意识	felismerni	Fokozatosan felismerte, hogy a probléma súlyos.
意图	szándék	A rendőrség átlátta a szándékát.
意味着	jelenteni	A hallgatás nem jelent egyetértést.
意向	szándék	A két fél együttműködési szándékot fejezett ki.
意志	akarat	A nehézségek próbára teszik az ember akaratát.
毅力	kitartás	A sikerhez hosszú távú kitartás kell.
毅然	határozottan	Határozottan elhagyta a vállalatot.
翼	szárny	A repülőgép szárnyát ellenőrizték.
阴谋	összeesküvés	Leleplezték ezt az összeesküvést.
音响	hangrendszer	A nappaliban jó a hangrendszer hatása.
引导	irányítani	A tanár gondolkodásra irányította a diákokat.
引擎	motor	Az autó motorja hirtelen leállt.
引用	idézni	A tanulmány nagy mennyiségű anyagot idézett.
隐蔽	elrejtőzni	A katonák az erdőben rejtőztek el.
隐患	rejtett veszély	A régi vezetékek rejtett biztonsági veszélyt jelentenek.
隐瞒	eltitkolni	Nem titkolta el az igazságot.
隐私	magánélet	A vállalatnak védenie kell a felhasználók magánéletét.
隐约	halványan	A távolból halványan énekszó hallatszott.
饮食	étrend	Az egészséges étrend segíti a felépülést.
婴儿	csecsemő	A csecsemő csendesen alszik.
英明	bölcs	A vezető bölcs döntést hozott.
英勇	hősies	A tűzoltó hősiesen kimentette a gyereket.
盈利	nyereség	A vállalat idén kezdett nyereséget termelni.
迎面	szemből	A hideg szél szemből fújt.
应酬	társasági elfoglaltság	Ma este sok társasági elfoglaltsága van.
应邀	meghívásra	A szakértő meghívásra vett részt a fórumon.
庸俗	vulgáris	Ennek a reklámnak a tartalma vulgáris.
拥护	támogatni	Mindenki támogatja az új politikát.
拥有	birtokol	Gazdag tapasztalattal rendelkezik.
勇于	merni	A fiataloknak merniük kell próbálkozni.
永恒	örök	A szerelem nem örökké változatlan.
涌现	megjelenni	Kiváló tanárok jelennek meg mindenütt.
踊跃	lelkesen	A lakosok lelkesen jelentkeztek a programra.
用户	felhasználó	A felhasználók megváltoztathatják a jelszavukat.
优胜劣汰	a legerősebb fennmaradása	A piaci verseny a legerősebb fennmaradását tükrözi.
优先	elsőbbség	Az idősek elsőbbséggel intézhetik ügyeiket.
优异	kiváló	Kiváló eredményeket ért el.
优越	kedvező	Itt kedvező a földrajzi elhelyezkedés.
忧郁	melankolikus	Az arckifejezése melankolikusnak tűnt.
油腻	olajos	Ez az étel túl olajos.
油漆	festék	A munkások éppen festékkel kenik az ajtót.
犹如	olyan, mint	A tó felszíne olyan, mint egy tükör.
有条不紊	rendszeresen	Az értekezlet rendszeresen haladt.
幼稚	gyerekes	Ez az ötlet kissé gyerekes.
诱惑	kísértés	A reklám tele van fogyasztói kísértéssel.
愚蠢	ostoba	Ez a döntés rendkívül ostoba.
愚昧	tudatlan	A tudatlan nézetek akadályozzák a fejlődést.
渔民	halász	A halászok hajnalban mennek ki a tengerre halászni.
舆论	közvélemény	A közvélemény nagy hatással van az ügyre.
与日俱增	napról napra növekszik	A turisták száma napról napra növekszik.
宇宙	világegyetem	Az emberiség folyamatosan kutatja a világegyetemet.
羽绒服	pehelykabát	Télen pehelykabátot kell viselni.
寓言	mese	Ez a mese nagyon tanulságos.
愈	egyre	Az állapota egyre jobb.
欲望	vágy	Uralkodott a vásárlási vágyán.
熨	vasalni	Simára vasalta az inget.
玉	jáde	Ennek a jádénak meleg színe van.
预料	várakozás	Az események alakulása meghaladta a várakozásokat.
预期	várakozás	Az eladások a várakozások alatt maradtak.
预算	költségvetés	A projekt költségvetését módosítani kell.
预先	előre	Kérjük, előre készítse elő az anyagokat.
预言	jóslat	A jóslata nem vált valóra.
预兆	előjel	A fájdalom betegség előjele lehet.
冤枉	igazságtalanul vádolni	Ne vádolj igazságtalanul ártatlan embert.
元首	államfő	A két ország államfői tárgyalást tartottak.
元素	elem	Az oxigén kémiai elem.
元宵节	lámpásünnep	A lámpásünnepen az emberek lámpásokat néznek.
原告	felperes	A felperes új bizonyítékot nyújtott be.
原理	elv	A tanár elmagyarázta a gép működési elvét.
原始	eredeti	Megőrizték az eredeti feljegyzéseket.
原先	eredeti	Az eredeti terv már megváltozott.
园林	kert	Szucsou kertjei nagyon híresek.
圆满	teljes	A gyűlés teljes sikert ért el.
源泉	forrás	A gyakorlat a tudás forrása.
缘故	ok	Egészségi okból mondott fel.
约束	korlátozni	A rendszer korlátozza az alkalmazottak viselkedését.
乐谱	kotta	Gondosan olvasta a kottát.
岳母	anyós	Hétvégén meglátogatta az anyósát.
孕育	táplálni	A talaj új életet táplál.
蕴藏	tartalmaz	A hegyvidék gazdag ásványkincseket tartalmaz.
运算	számítás	A diákok matematikai számításokat gyakorolnak.
运行	működni	A rendszer stabilan működik.
酝酿	formálódik	A két fél új tervet formál.
杂技	akrobatika	A gyerekek szeretnek akrobatikai előadásokat nézni.
杂交	hibrid	A tudósok hibrid rizst kutatnak.
砸	összetörni	A pohár a földre esett és összetört.
咋	hogyhogy	Hogyhogy még nem jöttél vissza?
栽培	termeszteni	A kertész sok virágot termesztett.
灾难	katasztrófa	A katasztrófa után a város újjáépítésbe kezdett.
宰	levágni	Az ünnepen a falusiak birkát vágnak.
再接再厉	továbbra is erőfeszítést tenni	A díj elnyerése után a csapat továbbra is erőfeszítést tett.
在意	törődni	Nagyon törődik mások véleményével.
攒	összegyűjteni	Pénzt gyűjt számítógépre.
暂且	egyelőre	Ezt a kérdést egyelőre tegyük félre.
赞叹	csodálni	A közönség csodálta a színész előadását.
赞助	szponzorálni	A vállalat szponzorálta ezt a versenyt.
糟蹋	pazarolni	Ne pazarold el ezeket a friss ételeket.
遭受	elszenvedni	A termőföld súlyos aszályt szenvedett el.
遭殃	bajt szenvedni	A híd összeomlott, és a közeli lakosok bajt szenvedtek.
遭遇	találkozni valamivel	Útközben hóviharral találkoztak.
噪音	zaj	Az építkezési zaj zavarja a pihenést.
