simplified	TR	example_TR
驱逐	kovmak; sınır dışı etmek	Polis olay çıkaranları uzaklaştırdı.
渠道	kanal	Şirket ürünleri yeni bir kanal üzerinden satıyor.
取缔	yasaklamak; kapatmak	Hükümet yasa dışı pazarı kapattı.
曲子	melodi; parça	Bu melodinin ezgisi güzeldir.
趣味	ilgi; eğlence	Bu oyun çok eğlencelidir.
圈套	tuzak	Neredeyse dolandırıcının tuzağına düşüyordu.
全局	genel durum	Liderler genel çıkarları düşünmelidir.
全力以赴	tüm gücüyle çalışmak	Görevi tamamlamak için tüm gücümüzle çalışacağız.
拳头	yumruk	Yumruğunu sıkıp maça hazırlandı.
权衡	tartmak; değerlendirmek	Maliyet ile etkiyi tartmamız gerekiyor.
权威	otorite; yetkili	Bu profesör alanda bir otoritedir.
犬	köpek	Bu köpek türü evi korumaya uygundur.
缺口	boşluk; gedik	Duvarda küçük bir gedik var.
缺席	yokluk; devamsızlık	Hastalık nedeniyle toplantıya katılmadı.
缺陷	kusur; eksik	Bu tasarımda belirgin bir kusur var.
瘸	topal	Sol bacağı biraz topal.
确保	garanti etmek; sağlamak	Lütfen kapının kilitli olduğundan emin olun.
确立	kurmak; belirlemek	Şirket yeni gelişme hedefleri belirledi.
确切	kesin; tam	Kesin zamanı bilmiyorum.
确信	emin olmak	Onun zamanında varacağına eminim.
群众	halk; kitleler	Halk yeni politikayı destekliyor.
染	boyamak; bulaşmak	Saçını siyaha boyadı.
嚷	bağırmak	Koridorda yüksek sesle bağırma.
让步	taviz vermek	İki taraf da bazı tavizler verdi.
饶恕	affetmek	Sonunda karşı tarafı affetmeyi seçti.
扰乱	bozmak; rahatsız etmek	Gürültü sınıfın düzenini bozdu.
惹祸	başına iş açmak	Dikkatsiz şakalar kolayca sorun çıkarabilir.
热泪盈眶	gözleri yaşla dolmak	İyi haberi duyunca gözleri yaşla doldu.
热门	popüler; gözde	Yapay zekâ popüler bir konudur.
人道	insani; hümaniter	Kurtarma operasyonu insani bir ruhu yansıttı.
人格	kişilik; onur	Başkalarına hakaret etmek kişisel onura zarar verir.
人工	yapay; insan emeği	Bu nehir insan eliyle kazıldı.
人家	başkaları	Kendini sürekli başkalarıyla karşılaştırma.
人间	insan dünyası	Bahar insan dünyasını canlılıkla doldurur.
人士	kişi; çevrelerden insan	Her kesimden kişiler foruma katıldı.
人为	insan kaynaklı	Bu kaza insan kaynaklı nedenlerden doğdu.
人性	insan doğası	Bu film insan doğasını tartışıyor.
人质	rehine	Polis rehineyi başarıyla kurtardı.
仁慈	merhametli; iyi kalpli	Bu doktor hastalara karşı çok merhametlidir.
忍耐	sabretmek	Uzun kuyrukta beklemek biraz sabır gerektirir.
忍受	katlanmak	Buradaki gürültüye katlanamıyorum.
任命	atamak	Yönetim kurulu onu müdür olarak atadı.
任性	inatçı; başına buyruk	Çocuğun fazla başına buyruk olması gelişimi etkileyebilir.
任意	keyfi; rastgele	Lütfen verileri keyfi biçimde değiştirmeyin.
任重道远	sorumluluğu ağır, yolu uzun	Eğitim reformunun sorumluluğu ağır ve yolu uzundur.
认定	belirlemek; saptamak	Polis bunun bir kaza olduğunu belirledi.
认可	onaylamak; kabul etmek	Planı herkesin onayını aldı.
仍旧	hâlâ; eskisi gibi	Yıllar sonra hâlâ burada yaşıyordu.
日新月异	hızla gelişmek	Teknoloji günden güne hızla gelişiyor.
日益	giderek; gün geçtikçe	Çevre sorunları giderek ciddileşiyor.
容貌	görünüş; yüz	Zaman onun görünüşünü değiştirdi.
容纳	barındırmak; kapasitesi olmak	Bu salon beş yüz kişiyi alabilir.
容器	kap	Lütfen sıvıyı cam bir kaba dökün.
容忍	tahammül etmek; hoşgörmek	Şirket dolandırıcılığa tahammül edemez.
溶解	çözünmek	Tuz suda çözünür.
荣幸	onur duymak	Toplantıya katılmaktan onur duyuyorum.
荣誉	onur; şeref	Bu madalya en yüksek onuru temsil eder.
融化	erimek	Güneş ışığı buz ve karı yavaşça eritti.
融洽	uyumlu; samimi	Meslektaşlar arasındaki ilişkiler çok uyumludur.
揉	ovmak; yoğurmak	Annem omuzlarımı nazikçe ovdu.
柔和	yumuşak; nazik	Işık yumuşak ve göz almıyor.
儒家	Konfüçyüsçülük	Konfüçyüsçü düşünce Doğu Asya kültürünü etkiledi.
弱点	zayıf nokta	Dikkatsizlik onun başlıca zayıf noktasıdır.
若干	birkaç; belli miktarda	Toplantıda birkaç öneri sunuldu.
撒谎	yalan söylemek	Çocuklar yalan söylememelidir.
散文	nesir; deneme	Modern nesir okumayı sever.
散布	yaymak	Biri internette söylentiler yaydı.
散发	yaymak; dağıtmak	Bahçe ferah bir koku yayıyor.
丧失	kaybetmek	Özgüvenini kaybetmedi.
骚扰	rahatsız etmek; taciz etmek	Lütfen diğer yolcuları rahatsız etmeyin.
嫂子	yenge	Yengemin yemekleri lezzetlidir.
刹车	fren yapmak	Sürücü aniden fren yaptı.
啥	ne	Az önce ne söyledin?
筛选	elemek; filtrelemek	Sistem özgeçmişleri otomatik olarak filtreleyecek.
山脉	sıradağ	Bu sıradağ çok uzundur.
闪烁	titremek; parıldamak	Uzaktaki ışıklar durmadan parıldıyordu.
擅长	iyi olmak	Karmaşık sorunları çözmede iyidir.
擅自	izinsiz	Çalışanlar izinsiz görev yerinden ayrılamaz.
伤脑筋	baş ağrıtan; zor	Bu sorun gerçekten baş ağrıtıcı.
商标	marka; ticari marka	Şirket yeni bir ticari marka tescil ettirdi.
上级	üst makam; amir	Durumu amirlerine bildirdi.
上进	kendini geliştirmeye istekli	O her zaman kendini geliştirmeye isteklidir.
上任	göreve başlamak	Yeni müdür gelecek hafta göreve başlayacak.
上瘾	bağımlı olmak	Birçok kişi kısa videolara bağımlı hale geliyor.
上游	yukarı akım	Kirlilik nehrin yukarı akımından geliyor.
尚且	bile	Yetişkinler bile hata yapabilir.
捎	iletmek; beraberinde götürmek	Lütfen benim için bir mesaj ilet.
梢	dal ucu	Kuş ağacın tepesindeki dala kondu.
哨	nöbetçi; düdük	Kapıda bir nöbetçi var.
奢侈	lüks; savurgan	Bu tür harcama fazla savurgandır.
舌头	dil	Dilini yaktı.
摄氏度	santigrat derece	Bugünün sıcaklığı otuz santigrat derece.
涉及	içermek; ilgilendirmek	Rapor birkaç departmanı ilgilendiriyor.
社区	mahalle; topluluk	Mahalle bir sağlık semineri düzenledi.
设立	kurmak; oluşturmak	Okul bir burs kurdu.
设想	tasarlamak; varsaymak	Bu fikir hâlâ tartışılmalıdır.
设置	ayarlamak; kurmak	Lütfen şifreyi yeniden ayarlayın.
呻吟	inlemek	Hasta alçak sesle inledi.
深奥	derin; anlaşılması güç	Bu kitabın içeriği çok derindir.
深沉	derin; alçak	Onun sesi alçak ve derindi.
深情厚谊	derin dostluk	İki ülkenin halkları derin bir dostluk kurdu.
申报	beyan etmek	Yolcular eşyalarını doğru biçimde beyan etmelidir.
绅士	beyefendi	Bir beyefendi gibi davranıyor.
神经	sinir	Stres sinir sistemini etkileyebilir.
神奇	büyülü; mucizevi	Buradaki manzara çok büyüleyici.
神气	canlı; kendinden emin	Bugün özellikle canlı görünüyordu.
神圣	kutsal	Bu kutsal bir görevdir.
神态	ifade; tavır	Onun ifadesi çok sakindi.
神仙	ölümsüz varlık; efsanevi bilge	Efsaneye göre dağlarda ölümsüz varlıklar yaşar.
审查	incelemek; denetlemek; sansürlemek	Platform yayımlanan içerikleri inceler.
审理	davaya bakmak; yargılamak	Mahkeme bu davaya bakıyor.
审美	estetik; beğeni	Onun estetik beğenisi çok belirgindir.
审判	yargılama; dava; yargılamak	Açık yargılama medyanın ilgisini çekti.
慎重	ihtiyatlı; dikkatli	Bu karar dikkatle alınmalı.
渗透	sızmak; nüfuz etmek	Yağmur suyu toprağa yavaşça sızdı.
声明	açıklama; bildiri	Şirket resmi bir açıklama yayımladı.
声势	ivme; etki gücü	Bu tanıtım kampanyasının etkisi çok güçlü.
声誉	itibar; ün	Ürün kalitesi marka itibarını etkiler.
牲畜	çiftlik hayvanları; hayvan sürüsü	Çobanlar hayvanları meraya geri sürdü.
生存	hayatta kalmak; varlığını sürdürmek	Vahşi hayvanların hayatta kalmak için alana ihtiyacı vardır.
生机	canlılık; yaşam gücü	İlkbahar yağmuru toprağı canlılıkla doldurur.
生理	fizyoloji; bedensel	Uyku insanın fizyolojik durumunu etkiler.
生疏	yabancı; paslanmış; pratiği azalmış	Yıllarca çalışmayınca piyano çalması biraz paslandı.
生态	ekoloji; yaşam düzeni	Ormanları korumak ekolojik dengeyle ilgilidir.
生物	canlı; organizma	Okyanusta birçok sıra dışı canlı vardır.
生效	yürürlüğe girmek	Yeni düzenleme yarın resmen yürürlüğe giriyor.
生肖	Çin burcu	Senin Çin burcun nedir?
生锈	paslanmak	Bisiklet zinciri şimdiden paslanmış.
生育	doğurmak; üreme; çocuk sahibi olmak	Hastane doğurganlık danışmanlığı sunuyor.
省会	eyalet başkenti	Chengdu uzun zamandır Sichuan eyaletinin başkentidir.
盛产	bolca üretmek; bolca yetişmek	Bu bölge bol miktarda kaliteli çay üretir.
盛开	tam çiçek açmak	Parktaki kiraz çiçekleri tam açtı.
盛情	içten konukseverlik	Ev sahibinin içten misafirperverliği için teşekkür ederiz.
盛行	yaygın olmak; revaçta olmak	Bu tarz bir zamanlar çok yaygındı.
胜负	sonuç; galibiyet veya yenilgi	Maçın son dakikası sonucu belirledi.
失事	kaza yapmak; kazaya uğramak	Uçak kazasının nedeni hâlâ araştırılıyor.
失误	hata; yanlışlık	Küçük bir hata projenin gecikmesine yol açtı.
失踪	kaybolmak; kayıp	Polis kaybolan çocuğu arıyor.
尸体	ceset	Kurtarma ekibi kurbanın cesedini buldu.
师范	öğretmen yetiştirme; pedagojik	O, öğretmen yetiştiren bir üniversiteden mezun oldu.
施加	uygulamak; yüklemek	Ebeveynler aşırı baskı uygulamamalıdır.
施展	sergilemek; kullanmak	Sonunda yeteneğini sergileme fırsatı buldu.
十足	tam; eksiksiz; yüzde yüz	Sonuçtan tamamen emin.
实惠	uygun fiyatlı; pratik yarar	Bu dükkândaki fiyatlar çok uygun.
实力	güç; kapasite	Takımın genel gücü çok yüksek.
实施	uygulamak; yürürlüğe koymak	Hükümet yeni planı uygulamaya başladı.
实事求是	gerçeklerden hareket etmek; gerçekçi olmak	Araştırma gerçeklerden hareket etmelidir.
实行	uygulamak; hayata geçirmek	Şirket esnek çalışma sistemini uyguluyor.
实质	öz; esas	Sorunun özü değişmedi.
拾	almak; toplamak	Yerdeki anahtarı almak için eğildi.
时常	sık sık	Dedem gençlik günlerinden sık sık söz eder.
时而	ara sıra; bazen	Hava bazen güneşli, bazen bulutlu.
时光	zaman; dönem	Güzel zamanlar hep kısa gelir.
时机	zamanlama; fırsat	Şimdi müzakere için iyi bir zaman değil.
时事	güncel olaylar	Öğrenciler her hafta uluslararası güncel olayları tartışır.
石油	petrol	Petrol fiyatları yeniden yükseldi.
识别	tanımak; ayırt etmek	Sistem farklı yüzleri tanıyabilir.
使命	misyon; görev	Çevreyi korumak ortak bir misyondur.
世代	nesiller; kuşaklar	Bu zanaat ailede nesiller boyunca aktarılmıştır.
事故	kaza	Bu kazada can kaybı olmadı.
事迹	başarılar; kahramanca davranışlar	Onun kahramanca davranışları geniş çapta yayıldı.
事件	olay; hadise	Bu olay kamuoyunun dikkatini çekti.
事态	durum; olayların seyri	Hükümet durumun gelişimini kontrol altında tutuyor.
事务	işler; görevler	Şirketin günlük işlerinden o sorumlu.
事项	madde; konu	Lütfen sözleşmedeki önemli maddeleri onaylayın.
事业	kariyer; dava; iş	O, eğitimi ömür boyu sürecek kariyeri olarak görüyor.
势必	kaçınılmaz olarak	Artan maliyetler kaçınılmaz olarak fiyatları etkileyecek.
势力	güç; nüfuz	Yerel ticari nüfuz güçlüdür.
是非	doğru ve yanlış; anlaşmazlık	Ofisteki anlaşmazlıklara karışmak istemiyor.
示范	göstermek; örnek gösterim	Öğretmen önce bir örnek gösterim yaptı.
示威	gösteri yapmak; protesto	Şehir merkezinde barışçıl bir gösteri yapıldı.
示意	işaret etmek; ima etmek	Müdür herkesin sessiz olması için işaret etti.
视力	görme; görme gücü	Uzun süre ekrana bakmak görme gücünü etkileyebilir.
视频	video	Lütfen videoyu bana gönder.
视线	görüş hattı; bakış çizgisi	Yoğun sis sürücünün görüşünü kapattı.
视野	görüş alanı; ufuk	Seyahat insanın ufkunu genişletebilir.
试图	denemek; girişimde bulunmak	Kararını açıklamaya çalıştı.
试验	deney; test	Bilim insanları birçok deney yaptı.
适宜	uygun; elverişli	Buradaki iklim yaşamaya uygundur.
逝世	vefat etmek	Bu yazar geçen yıl vefat etti.
释放	serbest bırakmak; salıvermek	Mahkeme sanığı serbest bırakmaya karar verdi.
收藏	koleksiyon yapmak; toplamak	Birçok eski pul topladı.
收缩	büzülmek; küçülmek; kasılmak	Soğuk hava metalin büzülmesine neden olabilir.
收益	gelir; getiri; kâr	Yatırım getirisi beklenenden yüksekti.
收音机	radyo	Büyükannem her gün radyo dinler.
守护	korumak; gözetmek	Doktorlar hastaların hayatını korur.
手法	teknik; yöntem	Yönetmenin çekim tekniği çok belirgindir.
手势	el işareti; jest	Anlaştığını bir el işaretiyle gösterdi.
手艺	zanaat; el becerisi	Bu ustanın el becerisi çok iyidir.
首饰	takı; mücevher	Sade gümüş takılar taktı.
首要	başlıca; en önemli	Güvenlik başlıca önceliktir.
受罪	acı çekmek; sıkıntı çekmek	Hasta ameliyattan sonra çok acı çekti.
授予	vermek; tevcih etmek	Okul ona fahri derece verdi.
书法	hat sanatı; kaligrafi	Çocukluğundan beri hat sanatı çalışıyor.
书记	sekreter; parti sekreteri	Köy parti sekreteri toplantıya başkanlık etti.
书籍	kitaplar; eserler	Kütüphanede çok sayıda kitap bulunur.
书面	yazılı	Lütfen yazılı kanıt sunun.
疏忽	ihmal; gözden kaçırmak	Bu hata işteki ihmalden kaynaklandı.
疏远	uzaklaşmak; yabancılaşmak	Yanlış anlaşılma ikisinin giderek uzaklaşmasına neden oldu.
舒畅	rahat; ferah; mutlu	Yürüyüşten sonra kendimi çok rahat ve mutlu hissettim.
数额	tutar; miktar	Tazminat tutarı henüz belirlenmedi.
束	demet; bağlamak	Bir demet çiçek aldı.
束缚	kısıtlamak; bağlamak	Geleneksel düşünceler onun seçimlerini kısıtladı.
树立	kurmak; tesis etmek; oluşturmak	Şirketin iyi bir imaj oluşturması gerekiyor.
竖	dik; dikmek	Lütfen tabelayı dik koyun.
耍	oynamak; oyalanmak	Çalışma saatlerinde telefonla oyalanma.
衰老	yaşlanmak	Egzersiz yaşlanmayı yavaşlatabilir.
衰退	gerilemek; durgunlaşmak	Ekonomik gerileme istihdamı etkiledi.
率领	liderlik etmek; yönetmek	Kaptan ekibi ileriye götürdü.
涮火锅	hot potta yiyecek haşlamak	Kışın herkes hot pot yemeyi sever.
双胞胎	ikiz	Onlar bir çift ikiz.
爽快	açık sözlü; rahat; ferah	Çok açık sözlü cevap verdi.
水利	su işleri; sulama çalışmaları	Bu bölge su altyapısı çalışmalarına önem verir.
水龙头	musluk	Mutfak musluğu sızdırıyor.
水泥	çimento	İşçiler çimentoyu şantiyeye taşıdı.
瞬间	an; bir anda	Işıklar bir anda söndü.
司法	yargı; adli	Yargı bağımsızlığı kurumsal koruma gerektirir.
司令	komutan	Komutan geri çekilme emri verdi.
思念	özlemek	Memleketini sık sık özler.
思索	derin düşünmek; düşüncelere dalmak	Başını eğip uzun süre düşündü.
思维	düşünme; düşünce	Bu eğitim mantıksal düşünmeyi geliştirebilir.
斯文	nazik; kültürlü	Çok nazik ve yumuşak bir biçimde konuşur.
私自	izinsiz; gizlice	Öğrenciler izinsiz okuldan ayrılamaz.
死亡	ölüm; ölümcül	Kaza birkaç kişinin ölümüne yol açtı.
四肢	dört uzuv; kollar ve bacaklar	Egzersizden önce kollarınızı ve bacaklarınızı hareket ettirmelisiniz.
寺庙	tapınak; manastır	Dağda eski bir tapınak var.
肆无忌惮	pervasız; hiçbir çekince duymadan	Kuralları pervasızca çiğnedi.
饲养	yetiştirmek; beslemek	Çiftlikte birçok süt ineği yetiştiriliyor.
耸	omuz silkmek; yükseltmek	Bunu duyunca sadece omuz silkti.
艘	gemiler için ölçü sözü	Limanda üç yük gemisi demirli.
苏醒	ayılmak; bilincine kavuşmak	Hasta sonunda bilincine kavuştu.
俗话	atasözü; yaygın söz	Atasözünün dediği gibi, pratik ustalaştırır.
塑造	şekillendirmek; biçim vermek	Çevre bir kişinin karakterini şekillendirebilir.
素食	vejetaryen yemek	Bu restoran vejetaryen yemekler sunuyor.
素质	nitelik; temel kalite	Hizmet personelinin niteliği yüksektir.
诉讼	dava; hukuk davası	İki taraf bunu dava yoluyla çözmeye karar verdi.
算数	sözünde durmak; saymak	Sözünde durmalısın.
随即	hemen ardından; derhal	Toplantı bitince hemen ayrıldı.
随意	istediği gibi; rastgele	Lütfen ayarları rastgele değiştirmeyin.
岁月	yıllar; zaman	Geçen yıllar görünüşünü değiştirdi.
隧道	tünel	Tren uzun bir tünelden geçti.
损坏	zarar vermek; hasar görmek	Şiddetli yağmur yola zarar verdi.
索取	istemek; talep etmek	Müşteriler ücretsiz numune talep edebilir.
索性	en iyisi; bari; doğrudan	Yağmur çok şiddetliydi, bu yüzden hiç dışarı çıkmadık.
塌	çökmek	Eski evin çatısı çöktü.
踏实	ayakları yere basan; içi rahat	Görevi bitirince içim rahatladı.
塔	kule; pagoda	Şehir merkezinde yüksek bir kule var.
台风	tayfun	Tayfunun yarın karaya ulaşması bekleniyor.
太空	uzay	İnsanlık her zaman uzayı keşfetmiştir.
泰斗	üstat; alanında otorite	O, dilbilimde büyük bir otoritedir.
摊	tezgah; sermek	Pazarda bir meyve tezgahı açtı.
瘫痪	felç	Trafik kazası alt uzuvlarının felç olmasına yol açtı.
贪婪	açgözlü; hırslı	Açgözlülük insanı mahvedebilir.
贪污	yolsuzluk; zimmete geçirmek	Yetkili yolsuzluk nedeniyle soruşturuldu.
弹性	esneklik; elastikiyet	Bu malzeme çok esnektir.
坦白	açık sözlü; itiraf etmek	Sonunda gerçeği itiraf etti.
叹气	iç çekmek	Sonucu duyunca iç çekmeden edemedi.
探测	tespit etmek; araştırmak	Ekipman yer altı suyunu tespit edebilir.
探索	keşfetmek; araştırmak	Bilim insanları evreni keşfetmeye devam ediyor.
探讨	tartışmak; incelemek	Uzmanlar reform planını tartıştı.
探望	ziyaret etmek	Hafta sonu hastanede bir arkadaşımı ziyaret ettim.
倘若	eğer; şayet	Eğer yağmur yağarsa etkinlik ertelenecek.
掏	çıkarmak; cebinden almak	Anahtarı cebinden çıkardı.
滔滔不绝	durmadan konuşmak	Tarihten söz açılınca durmadan konuşur.
淘汰	elemek; elenmek	Bu takım erken elendi.
陶瓷	seramik; porselen	Jingdezhen seramikleriyle ünlüdür.
陶醉	büyülenmek; kendinden geçmek	Seyirciler müzikten büyülendi.
讨好	yaranmaya çalışmak; göze girmeye çalışmak	Patronunun gözüne bilerek girmeye çalışmak istemiyor.
特长	özel yetenek; güçlü yön	Resim yapmak onun özel yeteneğidir.
特定	belirli; özel	Lütfen başvuruyu belirlenen süre içinde gönderin.
特意	özellikle; bilhassa	Sana teşekkür etmek için özellikle geldim.
提拔	terfi ettirmek	Şirket onu bölüm yöneticiliğine terfi ettirdi.
提炼	çıkarmak; rafine etmek; arıtmak	Fabrika cevherden metal çıkarır.
提示	ipucu vermek; uyarı vermek	Sistem size şifre girmeniz için uyarı verecek.
提议	öneri; önermek	Tartışmaya yarın devam etmeyi önerdi.
题材	konu; tema	Bu filmin konusu özgündür.
体裁	tür; yazın biçimi	Romanlar ve şiirler farklı türlerdir.
体积	hacim	Bu kutunun hacmi büyük.
体谅	anlayış göstermek; empati kurmak	Lütfen onun zorluklarına anlayış gösterin.
体面	saygın; onurlu	Saygın bir iş bulmak istiyor.
体系	sistem	Şirket eksiksiz bir eğitim sistemi kurdu.
天才	deha; dahi; yetenek	Bu çocuk müzik dehası olarak görülüyor.
天赋	doğuştan yetenek	Dil öğrenmeye doğuştan yeteneği var.
天伦之乐	aile mutluluğu	Yaşlı kişi aile mutluluğunun tadını çıkarıyor.
天然气	doğal gaz	Şehir sakinleri yemek pişirmek için doğal gaz kullanır.
天生	doğuştan; doğal olarak	Doğuştan iyimserdir.
天堂	cennet	Burası yeryüzündeki cennet gibi.
天文	astronomi	Çocukluğundan beri astronomiyi seviyor.
田径	atletizm	Okul bir atletizm yarışması düzenledi.
田野	tarla; kır	İlkbaharda tarlalar yemyeşil olur.
舔	yalamak	Yavru köpek sahibinin elini yaladı.
挑剔	seçici; titiz; kusur arayan	Yemek konusunda çok seçicidir.
条款	madde; hüküm	Sözleşme maddeleri dikkatle okunmalı.
条理	düzen; mantık; tertip	Konuşması çok düzenliydi.
条约	antlaşma	İki ülke bir barış antlaşması imzaladı.
调和	uyum sağlamak; uyumlu	Bu iki renk iyi uyum sağlar.
调剂	dengelemek; ayarlamak; çeşitlendirmek	Egzersiz stresli yaşamı dengeleyebilir.
调节	düzenlemek; ayarlamak	Klima iç mekan sıcaklığını ayarlayabilir.
调解	arabuluculuk etmek	Mahalle görevlileri iki taraf arasındaki anlaşmazlıkta arabuluculuk etti.
调料	baharat; çeşni	Çorbaya biraz baharat eklemek gerekiyor.
挑拨	kışkırtmak; arayı bozmak	Meslektaşların arasını bozma.
挑衅	kışkırtmak; provokasyon	Bu tür sözler açık provokasyon taşır.
跳跃	sıçramak; atlamak	Sporcu art arda üç kez sıçradı.
亭子	köşk; kameriye	Göl kenarında küçük bir kameriye var.
停泊	demirlemek	Balıkçı tekneleri limanda demirli.
停顿	duraklama	Konuşurken kısa bir duraklama yaptı.
停滞	duraksama; durgunluk; tıkanmak	Proje yetersiz fon yüzünden duraksadı.
挺拔	dimdik; uzun ve dik	Çamlar dimdik büyüyor.
通货膨胀	enflasyon	Enflasyon yaşam maliyetini artırdı.
通缉	hakkında arama kararı çıkarmak	Polis bu şüpheliyi arananlar listesine aldı.
通俗	anlaşılır; halk diliyle	Bu kitabın dili çok anlaşılır.
通讯	iletişim; haber yazısı	Modern iletişim teknolojisi hızla gelişiyor.
通用	genel kullanımlı; uyumlu	Bu tür şarj cihazı oldukça geneldir.
同胞	yurttaş; soydaş	Yurt dışındaki yurttaşlar da memleketlerinin gelişimini önemser.
同志	yoldaş; aynı amaçtaki kişi	Kıdemli yoldaş iş deneyimini paylaştı.
童话	masal	Çocuk yatmadan önce masal dinlemeyi sever.
铜	bakır	Bu heykel bakırdan yapılmıştır.
统筹兼顾	bütüncül planlamak; tüm yönleri hesaba katmak	Kent planlaması tüm çıkarları birlikte dikkate almalıdır.
统计	istatistik; saymak	Kayıt sayısını saymamız gerekiyor.
统统	hepsi; tamamı	Bu eski belgelerin hepsi arşivlenmeli.
统治	yönetmek; hüküm sürmek	Bu hanedan üç yüz yıl hüküm sürdü.
投机	spekülasyon yapmak; fırsatçı	Spekülasyon yoluyla bir miktar para kazandı.
投票	oy vermek	Sakinler yarın oylamaya katılacak.
投诉	şikayet etmek	Müşteri platforma satıcı hakkında şikayette bulundu.
投降	teslim olmak	Düşman ordusu sonunda teslim olmayı seçti.
投掷	fırlatmak; atmak	Sporcu cirit atmayı çalıştı.
透露	açıklamak; ifşa etmek	Toplantının ayrıntılarını açıklamadı.
秃	kel; küt	Genç yaşta kel kaldı.
突破	atılım; aşmak	Araştırma büyük bir atılım sağladı.
图案	desen; motif	Bu kumaşın deseni çok güzel.
徒弟	çırak; öğrenci	Usta çırağa saat tamir etmeyi öğretiyor.
涂抹	sürmek; yaymak	Lütfen merhemi yaranın çevresine sürün.
途径	yol; kanal	İnternet bilgi edinmek için önemli bir kanaldır.
土壤	toprak	Verimli toprak sebze yetiştirmeye uygundur.
团结	birleşmek; dayanışma göstermek	Takım birlik olup iş birliği yapmalıdır.
团体	grup; kuruluş	Bu grup düzenli olarak etkinlik düzenler.
团圆	kavuşmak; ailece bir araya gelmek	Bahar Bayramı ailece kavuşma zamanıdır.
推测	tahmin etmek; varsaymak	Uzmanlar fiyatların yükselmeye devam edeceğini tahmin ediyor.
推翻	devirmek	Halk eski sistemi devirdi.
推理	akıl yürütme; çıkarım	Bu roman akıl yürütme sahneleriyle doludur.
推论	çıkarım; sonuç çıkarmak	Bu çıkarımı desteklemek için hâlâ kanıt gerekiyor.
推销	pazarlamak; satmaya çalışmak	Yeni ürünü pazarlamaktan o sorumlu.
吞吞吐吐	geveleyerek konuşmak	Soruyu yanıtlarken geveleyip durdu.
托运	bagaja vermek; sevk ettirmek	Yolcular bagajlarını gişede teslim edebilir.
拖延	geciktirmek	Ödeme zamanını artık geciktirme.
脱离	ayrılmak; kopmak	Teori gerçeklikten kopamaz.
妥当	uygun; yerinde	Bu düzenleme çok uygundur.
妥善	düzgün; uygun şekilde	Lütfen önemli belgeleri düzgün şekilde saklayın.
妥协	uzlaşmak; taviz vermek	İki taraf sonunda uzlaşmaya vardı.
椭圆	elips; oval	Dünya'nın yörüngesi elipse yakındır.
唾弃	tiksinerek reddetmek; dışlamak	Toplum bu tür dolandırıcılığı dışlar.
哇	vay; vaa	Vay, bu köprü gerçekten görkemli!
挖掘	kazmak; ortaya çıkarmak	Arkeoloji ekibi eski bir mezarı kazıyor.
娃娃	oyuncak bebek; küçük çocuk	Küçük kız bir oyuncak bebek tutuyor.
瓦解	dağılmak; çökertmek	İç çatışmalar ittifakın dağılmasına yol açtı.
歪曲	çarpıtmak; yanlış yansıtmak	Haberler gerçekleri çarpıtmamalıdır.
外表	dış görünüş	İnsanları yalnızca dış görünüşe göre yargılama.
外行	konuya yabancı kişi; amatör	Hukuk konusunda tamamen yabancıyım.
外界	dış dünya; dış çevre	Şirket dış eleştirilere nadiren yanıt verir.
外向	dışa dönük	Onun dışa dönük bir kişiliği ve çok arkadaşı var.
丸	hap	Doktor ona birkaç hap yazdı.
完备	eksiksiz; tam	Bu malzeme seti çok eksiksiz.
完毕	tamamlanmak; bitmek	Toplantı çoktan tamamlandı.
玩弄	oynamak; istismar etmek	Başkalarının duygularıyla oynama.
玩意儿	şey; oyuncak	Bu yeni şey de ne?
顽固	inatçı	Onun tavrı çok inatçıdır.
顽强	direngen; dirençli	Yaralı kişi büyük bir direnç gösterdi.
惋惜	üzülmek; yazık bulmak	Herkes başarısızlığa üzüldü.
挽回	telafi etmek; geri kazanmak	Şirketin kayıplarını telafi etmek için çok çalıştı.
挽救	kurtarmak	Doktor hastanın hayatını başarıyla kurtardı.
万分	son derece	Yardımınız için son derece minnettarım.
往常	her zamanki gibi; eskiden	Bugün hava her zamankinden daha sıcak.
往事	geçmiş olaylar	Yaşlı kişi sık sık geçmiş olayları hatırlar.
妄想	boş hayal kurmak	Bir gecede zengin olmayı boş yere hayal ediyor.
危机	kriz	Şirket ciddi bir krizle karşı karşıya.
威风	heybet; görkem	General at üzerinde heybetli görünüyordu.
威力	güç; etki gücü	Bu tür silahın gücü çok büyüktür.
威望	saygınlık	Köyde büyük saygınlığı vardır.
威信	itibar; güvenilirlik	Liderler hükümetin güvenilirliğini korumalıdır.
微不足道	önemsiz; kayda değmez	Bu küçük kayıp önemsizdir.
微观	mikro; mikro düzeyde	Bu ders mikroekonomiyi tanıtır.
为难	zor durumda bırakmak	Garsonu zor durumda bırakma.
为期	sürmek; süreli	Eğitim üç ay sürer.
唯独	yalnızca; sadece	Herkes geldi, yalnızca o gelmedi.
维持	sürdürmek; korumak	Polis olay yerinde düzeni sağladı.
维护	korumak; savunmak	Yasal hak ve çıkarlarımızı korumalıyız.
维生素	vitamin	Meyveler bol vitamin içerir.
违背	aykırı olmak; ihlal etmek	Bu karar sözleşmenin ruhuna aykırıdır.
伪造	sahte yapmak; taklit etmek	Biri onun imzasını taklit etti.
