simplified	KO	example_KO
踏实	마음이 놓이다	임무를 마친 뒤 마음이 매우 놓였습니다.
塔	탑	도시 중심에 높은 탑이 하나 있습니다.
台风	태풍	태풍은 내일 상륙할 것으로 예상됩니다.
太空	우주	인류는 줄곧 우주를 탐사해 왔습니다.
泰斗	대가	그는 언어학계의 대가입니다.
摊	노점	그녀는 시장에 과일 노점을 차렸습니다.
瘫痪	마비	교통사고로 그는 하반신이 마비되었습니다.
贪婪	탐욕스러운	탐욕은 한 사람을 망칠 수 있습니다.
贪污	횡령	그 관리는 횡령 혐의로 조사받았습니다.
弹性	탄력성	이 재료는 탄력성이 매우 좋습니다.
坦白	털어놓다	그는 마침내 진실을 털어놓았습니다.
叹气	한숨 쉬다	결과를 듣고 그는 한숨을 참을 수 없었습니다.
探测	탐지하다	장비는 지하수를 탐지할 수 있습니다.
探索	탐색하다	과학자들은 계속 우주를 탐색합니다.
探讨	논의하다	전문가들은 개혁 방안을 논의했습니다.
探望	문병하다	주말에 나는 병원에 친구를 문병하러 갔습니다.
倘若	만약	만약 비가 오면 행사는 연기됩니다.
掏	꺼내다	그는 주머니에서 열쇠를 꺼냈습니다.
滔滔不绝	끊임없이 말하다	그는 역사 이야기만 하면 끊임없이 말합니다.
淘汰	탈락시키다	이 팀은 일찍 탈락했습니다.
陶瓷	도자기	징더전은 도자기로 유명합니다.
陶醉	도취되다	관중은 음악에 도취되었습니다.
讨好	비위를 맞추다	그는 일부러 상사의 비위를 맞추고 싶어 하지 않습니다.
特长	특기	그림 그리기는 그녀의 특기입니다.
特定	특정한	정해진 시간 안에 신청서를 제출해 주세요.
特意	일부러	나는 일부러 당신에게 감사 인사를 하러 왔습니다.
提拔	승진시키다	회사는 그녀를 부서 책임자로 승진시켰습니다.
提炼	추출하다	공장은 광석에서 금속을 추출합니다.
提示	알리다	시스템이 비밀번호 입력을 알립니다.
提议	제안하다	그녀는 내일 계속 토론하자고 제안했습니다.
题材	소재	이 영화의 소재는 참신합니다.
体裁	장르	소설과 시는 서로 다른 장르입니다.
体积	부피	이 상자는 부피가 매우 큽니다.
体谅	이해하다	그의 어려움을 이해해 주세요.
体面	체면 있는	그는 체면 있는 일을 찾고 싶어 합니다.
体系	체계	회사는 완전한 교육 체계를 세웠습니다.
天才	천재	이 아이는 음악 천재로 여겨집니다.
天赋	재능	그녀는 언어를 배우는 재능이 있습니다.
天伦之乐	가족의 즐거움	노인은 가족의 즐거움을 누리고 있습니다.
天然气	천연가스	도시 주민들은 요리에 천연가스를 사용합니다.
天生	타고난	그는 타고나게 낙관적입니다.
天堂	천국	이곳은 인간 세상의 천국 같습니다.
天文	천문	그는 어릴 때부터 천문을 좋아했습니다.
田径	육상	학교는 육상 경기를 열었습니다.
田野	들판	봄의 들판은 온통 초록색입니다.
舔	핥다	강아지가 주인의 손을 핥았습니다.
挑剔	까다로운	그녀는 음식에 매우 까다롭습니다.
条款	조항	계약 조항은 자세히 읽어야 합니다.
条理	조리	그의 발언은 매우 조리가 있습니다.
条约	조약	두 나라는 평화 조약을 체결했습니다.
调和	조화롭다	이 두 색은 매우 조화롭습니다.
调剂	조절하다	운동은 긴장된 생활을 조절할 수 있습니다.
调节	조절하다	에어컨은 실내 온도를 조절할 수 있습니다.
调解	조정하다	지역사회 직원들이 양측의 분쟁을 조정하는 데 도움을 주었습니다.
调料	양념	국에 양념을 조금 넣어야 합니다.
挑拨	이간질하다	동료 사이를 이간질하지 마세요.
挑衅	도발	이런 발언에는 뚜렷한 도발성이 있습니다.
跳跃	뛰어오르다	선수는 연속으로 세 번 뛰어올랐습니다.
亭子	정자	호숫가에 작은 정자가 하나 있습니다.
停泊	정박하다	어선들이 항구에 정박해 있습니다.
停顿	멈춤	그는 말하는 도중 잠깐 멈췄습니다.
停滞	정체되다	프로젝트는 자금 부족으로 정체되었습니다.
挺拔	곧게 솟은	소나무가 크고 곧게 솟아 있습니다.
通货膨胀	인플레이션	인플레이션이 생활비를 끌어올렸습니다.
通缉	수배하다	경찰은 이 용의자를 수배하고 있습니다.
通俗	알기 쉬운	이 책의 언어는 매우 알기 쉽습니다.
通讯	통신	현대 통신 기술은 빠르게 발전하고 있습니다.
通用	범용의	이런 충전기는 비교적 범용적입니다.
同胞	동포	해외 동포들도 고향의 발전에 관심을 가집니다.
同志	동지	노년의 동지가 업무 경험을 공유했습니다.
童话	동화	아이는 잠자기 전에 동화를 듣는 것을 좋아합니다.
铜	구리	이 조각상은 구리로 만들었습니다.
统筹兼顾	전반적으로 조율하다	도시 계획은 각방의 이익을 전반적으로 조율해야 합니다.
统计	통계 내다	우리는 신청자 수를 통계 내야 합니다.
统统	모두	이 오래된 문서들은 모두 보관해야 합니다.
统治	통치하다	이 왕조는 300년 동안 통치했습니다.
投机	투기	그는 투기로 큰돈을 벌었습니다.
投票	투표하다	주민들은 내일 투표에 참여합니다.
投诉	민원을 제기하다	고객은 플랫폼에 상인에 대한 민원을 제기했습니다.
投降	항복하다	적군은 결국 항복하기로 선택했습니다.
投掷	던지다	선수는 창 던지기를 연습했습니다.
透露	밝히다	그는 회의 세부 사항을 밝히지 않았습니다.
秃	대머리가 되다	그는 젊은 나이에 대머리가 되었습니다.
突破	돌파	연구는 중대한 돌파를 이루었습니다.
图案	무늬	이 천의 무늬는 매우 아름답습니다.
徒弟	제자	스승은 제자에게 시계 수리를 가르치고 있습니다.
涂抹	바르다	상처 주변에 연고를 발라 주세요.
途径	경로	인터넷은 정보를 얻는 중요한 경로입니다.
土壤	토양	비옥한 토양은 채소를 심기에 적합합니다.
团结	단결하다	팀은 반드시 단결해 협력해야 합니다.
团体	단체	이 단체는 정기적으로 행사를 엽니다.
团圆	재회하다	춘절은 가족이 재회하는 날입니다.
推测	추측하다	전문가들은 가격이 더 오를 것이라고 추측합니다.
推翻	뒤엎다	민중은 낡은 제도를 뒤엎었습니다.
推理	추리	이 소설은 추리 줄거리로 가득합니다.
推论	추론	이 추론은 아직 증거의 뒷받침이 필요합니다.
推销	판매하다	그는 신제품 판매를 담당합니다.
吞吞吐吐	말을 더듬다	그는 질문에 답할 때 말을 더듬었습니다.
托运	위탁 운송하다	승객은 카운터에서 짐을 부칠 수 있습니다.
拖延	지연하다	더 이상 결제 시간을 지연하지 마세요.
脱离	벗어나다	이론은 현실에서 벗어날 수 없습니다.
妥当	적절한	이 배치는 매우 적절합니다.
妥善	적절히	중요한 문서를 적절히 보관해 주세요.
妥协	타협하다	양측은 결국 타협에 도달했습니다.
椭圆	타원	지구 궤도는 타원에 가깝습니다.
唾弃	경멸하다	사회는 이런 사기 행위를 경멸합니다.
哇	와	와, 이 다리는 정말 장관입니다!
挖掘	발굴하다	고고학팀은 고분을 발굴하고 있습니다.
娃娃	인형	어린 여자아이가 인형을 안고 있습니다.
瓦解	와해되다	내부 갈등이 동맹을 와해시켰습니다.
歪曲	왜곡하다	보도는 사실을 왜곡해서는 안 됩니다.
外表	외모	외모만 보고 사람을 판단하지 마세요.
外行	문외한	나는 법에 대해서는 완전히 문외한입니다.
外界	외부	회사는 외부의 비판에 거의 응답하지 않습니다.
外向	외향적인	그녀는 성격이 외향적이고 친구가 많습니다.
丸	알약	의사는 그에게 알약 몇 알을 처방했습니다.
完备	완비된	이 자료 세트는 매우 완비되어 있습니다.
完毕	끝나다	회의는 이미 끝났습니다.
玩弄	가지고 놀다	다른 사람의 감정을 가지고 놀지 마세요.
玩意儿	물건	이건 무슨 새로운 물건인가요?
顽固	완고한	그의 태도는 매우 완고합니다.
顽强	끈질긴	부상자는 매우 끈질긴 모습을 보였습니다.
惋惜	아쉬워하다	모두가 실패를 아쉬워했습니다.
挽回	만회하다	그는 회사의 손실을 만회하려고 노력했습니다.
挽救	구하다	의사는 환자의 생명을 성공적으로 구했습니다.
万分	대단히	당신의 도움에 대단히 감사드립니다.
往常	평소	오늘은 평소보다 더 덥습니다.
往事	지난 일	노인은 자주 지난 일을 회상합니다.
妄想	허황된 생각을 하다	그는 하루아침에 부자가 되겠다는 허황된 생각을 합니다.
危机	위기	회사는 심각한 위기에 직면해 있습니다.
威风	위풍당당한	장군은 말 위에서 매우 위풍당당했습니다.
威力	위력	이런 무기는 위력이 매우 큽니다.
威望	위망	그는 마을에서 위망이 높습니다.
威信	신뢰와 권위	지도자는 정부의 신뢰와 권위를 지켜야 합니다.
微不足道	하찮은	이 정도 손실은 하찮습니다.
微观	미시적	이 수업은 미시경제학을 소개합니다.
为难	곤란하게 하다	더 이상 종업원을 곤란하게 하지 마세요.
为期	기간이 되다	교육은 3개월 동안 진행됩니다.
唯独	유독	모두 도착했는데 유독 그만 오지 않았습니다.
维持	유지하다	경찰은 현장 질서를 유지했습니다.
维护	수호하다	우리는 합법적인 권익을 수호해야 합니다.
维生素	비타민	과일에는 풍부한 비타민이 들어 있습니다.
违背	위반하다	이 결정은 계약 정신을 위반했습니다.
伪造	위조하다	누군가 그의 서명을 위조했습니다.
委托	위탁하다	고객은 변호사에게 사건 처리를 위탁했습니다.
委员	위원	모든 위원이 의견을 발표했습니다.
卫星	위성	위성이 예정된 궤도에 진입했습니다.
喂	먹이를 주다	아이가 새끼 고양이에게 먹이를 주고 있습니다.
慰问	위문하다	지도부는 병원에 가서 부상자를 위문했습니다.
未免	너무	이 요구는 너무 높습니다.
畏惧	두려워하다	그는 결코 어려움을 두려워하지 않습니다.
蔚蓝	짙푸른	하늘은 짙푸른 색을 띠었습니다.
温带	온대	이 식물은 온대 기후에 적합합니다.
温和	온건한	그의 정책 입장은 비교적 온건합니다.
文凭	졸업장	이 일자리는 대학 졸업장을 요구합니다.
文物	문화재	박물관은 귀중한 문화재를 전시했습니다.
文献	문헌	논문은 많은 문헌을 인용했습니다.
文雅	우아한	그녀의 행동거지는 우아합니다.
文艺	문예	이 도시는 문예 분위기가 짙습니다.
问世	출시되다	이 휴대전화 모델은 곧 출시됩니다.
窝	둥지	나무 위에 새 둥지가 하나 있습니다.
乌黑	새까만	그녀는 새까만 긴 머리를 가지고 있습니다.
污蔑	중상하다	그는 경쟁자를 중상했다는 것을 부인했습니다.
诬陷	모함하다	증거는 그가 모함당했음을 보여 줍니다.
无比	비할 데 없는	소식을 듣고 그는 비할 데 없이 감격했습니다.
无偿	무상의	자원봉사자들은 무상 서비스를 제공합니다.
无耻	뻔뻔한	이런 사기 행위는 매우 뻔뻔합니다.
无动于衷	무관심하다	비판을 마주하고도 그는 무관심했습니다.
无非	그저	그가 이렇게 한 것은 그저 돈을 아끼려는 것입니다.
无辜	무고한	법원은 그가 무고하다고 판단했습니다.
无精打采	맥이 없다	그는 오늘 맥이 없어 보입니다.
无赖	불량배	마을 사람들은 그 불량배와 왕래하고 싶어 하지 않습니다.
无理取闹	괜히 소란을 피우다	여기서 괜히 소란을 피우지 마세요.
无能为力	어쩔 수 없다	홍수 앞에서 마을 사람들은 어쩔 수 없었습니다.
无穷无尽	끝없는	사막은 끝없이 펼쳐진 것처럼 보였습니다.
无微不至	세심한	간호사는 환자를 세심하게 돌보았습니다.
无忧无虑	근심 걱정 없는	아이들은 풀밭에서 근심 걱정 없이 놀았습니다.
无知	무지	무지는 배움을 거부할 이유가 아닙니다.
侮辱	모욕하다	그의 말은 상대방을 모욕했습니다.
武器	무기	이 무기들은 통합 보관됩니다.
武侠	무협	그는 어릴 때부터 무협 소설 읽기를 좋아했습니다.
武装	무장	국경 지역은 무장 순찰을 강화했습니다.
舞蹈	무용	이 무용은 민족적 특색이 강합니다.
务必	반드시	반드시 제시간에 도착해 주세요.
物美价廉	품질 좋고 저렴한	이 가게의 상품은 품질 좋고 저렴합니다.
物业	부동산 관리	부동산 관리팀은 단지 수리를 담당합니다.
物资	물자	구호 물자가 이미 재해 지역에 도착했습니다.
误差	오차	측정 결과에는 약간의 오차가 있습니다.
误解	오해	양측은 소통을 통해 오해를 풀었습니다.
夕阳	석양	석양이 하늘을 금빛으로 물들였습니다.
昔日	옛날	옛날의 작은 마을이 도시가 되었습니다.
溪	시내	작은 시내가 산 사이로 흐릅니다.
熄灭	끄다	촛불을 꺼 주세요.
牺牲	희생	그들은 사람을 구하기 위해 희생했습니다.
膝盖	무릎	그의 무릎이 다쳤습니다.
习俗	풍습	춘절에는 많은 전통 풍습이 있습니다.
媳妇	아내	그의 아내는 병원에서 일합니다.
袭击	습격하다	폭풍우가 해안 도시를 덮쳤습니다.
喜闻乐见	인기 있는	이런 프로그램은 관객들에게 인기가 있습니다.
喜悦	기쁨	그녀의 얼굴에 기쁜 미소가 떠올랐습니다.
系列	시리즈	회사는 신제품 시리즈를 출시했습니다.
细菌	세균	고온은 세균을 죽일 수 있습니다.
细胞	세포	인체는 수많은 세포로 이루어져 있습니다.
细致	세심한	그녀의 관찰은 매우 세심합니다.
峡谷	협곡	강물이 깊은 협곡을 지나갑니다.
狭隘	편협한	이런 편협한 관점은 바뀌어야 합니다.
狭窄	좁은	이 오솔길은 매우 좁습니다.
霞	노을	저녁노을이 하늘을 붉게 물들였습니다.
下属	부하	매니저는 부하들의 의견을 진지하게 들었습니다.
先进	선진적인	공장은 선진적인 설비를 도입했습니다.
先前	이전의	이전 계획은 이미 바뀌었습니다.
掀起	일으키다	이 책은 토론 열풍을 일으켰습니다.
纤维	섬유	이 천에는 천연 섬유가 들어 있습니다.
鲜明	분명한	그의 입장은 매우 분명합니다.
嫌	싫어하다	그녀는 방이 너무 작다고 싫어합니다.
嫌疑	혐의	이 남자는 중대한 혐의가 있습니다.
弦	현	기타 줄 하나가 끊어졌습니다.
衔接	이어지다	두 과정의 내용이 잘 이어집니다.
贤惠	어진	그녀는 어질고 유능하다고 여겨집니다.
闲话	뒷말	뒤에서 남의 뒷말을 하지 마세요.
显著	현저한	치료 효과가 매우 현저합니다.
宪法	헌법	헌법은 시민의 기본권을 보장합니다.
现场	현장	기자들은 이미 사고 현장에 도착했습니다.
现成	이미 마련된	부엌에는 이미 마련된 음식이 있습니다.
现状	현황	우리는 업계 현황을 이해해야 합니다.
线索	단서	경찰은 새로운 단서를 발견했습니다.
陷害	모함하다	그는 누군가가 자신을 모함했다고 주장했습니다.
陷阱	함정	사냥꾼은 함정을 설치했습니다.
陷入	빠지다	회사는 자금난에 빠졌습니다.
馅儿	소	이 만두의 소는 향이 좋습니다.
乡镇	향진	향진 학교의 조건이 개선되고 있습니다.
相差	차이가 나다	두 지역의 기온은 10도 차이가 납니다.
相等	같다	두 삼각형의 면적은 같습니다.
相辅相成	서로 보완하다	이론과 실천은 서로 보완합니다.
相应	상응하는	회사는 상응하는 조치를 취할 것입니다.
镶嵌	박아 넣다	반지에는 보석 하나가 박혀 있습니다.
响亮	우렁찬	그의 대답 소리는 매우 우렁찼습니다.
响应	호응하다	많은 사람들이 환경 보호 제안에 호응했습니다.
想方设法	온갖 방법을 생각하다	그들은 온갖 방법을 생각해 비용을 낮췄습니다.
向导	안내자	현지 안내자가 우리를 산으로 데려갔습니다.
向来	줄곧	그는 줄곧 신용을 중시했습니다.
向往	동경하다	그녀는 조용한 생활을 동경합니다.
巷	골목	오래된 골목에 작은 가게들이 많이 생겼습니다.
相声	샹성	할아버지는 전통 샹성을 듣는 것을 좋아합니다.
消除	해소하다	소통은 오해를 해소할 수 있습니다.
消毒	소독하다	의사는 상처를 소독했습니다.
消防	소방	소방대원들이 현장에 빠르게 도착했습니다.
消耗	소모하다	장거리 여행은 많은 체력을 소모합니다.
消灭	없애다	직원들이 해충을 없애고 있습니다.
潇洒	멋스러운	그가 걷는 모습은 매우 멋스럽습니다.
销毁	폐기하다	세관은 위조 상품을 폐기했습니다.
小心翼翼	조심스럽게	그녀는 조심스럽게 상자를 열었습니다.
效益	효율	새 설비는 생산 효율을 높였습니다.
肖像	초상화	벽에는 그의 초상화가 걸려 있습니다.
协会	협회	이 협회는 젊은 창업자들을 돕습니다.
协商	협상하다	양측은 계속 협상할 의향이 있습니다.
协调	조율하다	프로젝트 매니저는 자원 조율을 담당합니다.
协议	협의	양측은 협력 협의를 체결했습니다.
协助	협조하다	자원봉사자들이 노인의 길 건너기를 도왔습니다.
携带	휴대하다	승객은 위험물을 휴대할 수 없습니다.
屑	부스러기	탁자 위에 나무 부스러기가 많습니다.
泄露	누설하다	직원은 고객 정보를 누설해서는 안 됩니다.
泄气	낙담하다	실패한 뒤에도 낙담하지 마세요.
谢绝	정중히 거절하다	호텔은 외부 음식 반입을 정중히 거절합니다.
心得	깨달은 점	그녀는 공부하며 깨달은 점을 공유했습니다.
心甘情愿	기꺼이	그는 기꺼이 남아서 도왔습니다.
心灵	마음	음악은 그녀의 마음을 위로했습니다.
心态	마음가짐	긍정적인 마음가짐을 유지하는 것이 중요합니다.
心疼	가슴 아파하다	엄마는 다친 아이를 보고 가슴 아파했습니다.
心血	정성	이 책에는 작가의 정성이 담겨 있습니다.
心眼儿	속좁음	그는 조금 속이 좁습니다.
新陈代谢	신진대사	운동은 신진대사를 촉진할 수 있습니다.
新郎	신랑	신랑은 문 앞에서 손님을 맞이했습니다.
新娘	신부	신부는 흰 웨딩드레스를 입었습니다.
新颖	참신한	이 디자인은 매우 참신합니다.
欣慰	흐뭇하다	아이의 발전을 보고 그녀는 매우 흐뭇했습니다.
欣欣向荣	번창하다	작은 마을의 관광업이 번창하고 있습니다.
薪水	월급	그의 월급은 가족을 부양하기에 충분합니다.
辛勤	부지런한	농민들은 부지런히 농작물을 재배합니다.
信赖	신뢰하다	고객들은 이 회사를 매우 신뢰합니다.
信念	신념	확고한 신념이 그를 지탱했습니다.
信仰	신앙	그녀는 서로 다른 신앙을 존중합니다.
信誉	신용	기업은 반드시 신용을 지켜야 합니다.
兴高采烈	의기양양한	아이들은 의기양양하게 교실로 뛰어 들어갔습니다.
兴隆	번창하다	이 오래된 가게는 장사가 번창합니다.
兴旺	흥성하다	시장 경제가 점점 흥성하고 있습니다.
腥	비린	이 생선은 조금 비립니다.
刑事	형사	경찰은 형사 사건을 조사하고 있습니다.
形态	형태	식물의 형태는 환경에 따라 변합니다.
行政	행정	행정 부서가 신청을 처리합니다.
兴致勃勃	흥미진진하게	모두가 흥미진진하게 계획을 논의했습니다.
性感	섹시한	이 이브닝드레스는 매우 섹시해 보입니다.
性命	목숨	의사가 그의 목숨을 구했습니다.
性能	성능	이 컴퓨터는 성능이 좋습니다.
凶恶	사나운	이 개는 매우 사나워 보입니다.
凶手	범인	경찰은 마침내 범인을 붙잡았습니다.
汹涌	거세다	거센 파도가 해안을 때렸습니다.
胸怀	도량	그는 넓은 도량을 가지고 있습니다.
胸膛	가슴	군인은 가슴을 폈습니다.
雄厚	탄탄한	회사는 탄탄한 자금을 보유하고 있습니다.
雄伟	웅장한	이 다리는 매우 웅장합니다.
修复	복구	엔지니어들이 시스템을 복구하고 있습니다.
修建	건설하다	정부는 새 공항을 건설할 계획입니다.
修养	수양	좋은 수양은 세부 사항에서 드러납니다.
羞耻	수치심	그는 거짓말을 한 뒤 수치심을 느꼈습니다.
嗅觉	후각	개의 후각은 매우 예민합니다.
绣	수놓다	할머니는 꽃을 수놓을 줄 압니다.
虚假	허위의	웹사이트가 허위 정보를 게시했습니다.
虚荣	허영	허영 때문에 그는 돈을 지나치게 썼습니다.
虚伪	위선적인	그녀는 위선적인 겉치레를 좋아하지 않습니다.
需求	수요	시장 수요가 증가하고 있습니다.
须知	안내 사항	먼저 신청 안내 사항을 읽어 주세요.
许可	허가	허가 없이는 들어갈 수 없습니다.
序言	서문	작가는 서문에서 배경을 설명합니다.
畜牧	목축	초원은 목축업을 발전시키기에 적합합니다.
酗酒	과음	장기간 과음은 건강을 해칩니다.
喧哗	소란	도서관에서는 소란을 금합니다.
宣誓	선서하다	새 회원들이 회의에서 선서했습니다.
宣扬	선양하다	학교는 정직과 신용을 선양합니다.
悬挂	걸다	벽에 그림 한 폭이 걸려 있습니다.
悬念	긴장감	영화의 결말은 긴장감을 남깁니다.
悬殊	큰 차이	두 팀의 실력 차이가 큽니다.
悬崖峭壁	절벽	산길 옆에는 가파른 절벽이 있습니다.
旋律	선율	이 노래는 선율이 아름답습니다.
旋转	회전하다	풍차가 바람 속에서 회전합니다.
选拔	선발하다	학교는 운동선수를 선발하고 있습니다.
选举	선거	마을에서 선거가 열렸습니다.
选手	선수	이 선수는 안정적으로 경기했습니다.
炫耀	과시하다	그는 늘 재산을 과시하기 좋아합니다.
削	줄이다	회사는 일부 지출을 줄였습니다.
削弱	약화시키다	피로는 판단력을 약화시킵니다.
学说	학설	이 학설은 영향력이 큽니다.
学位	학위	그녀는 석사 학위를 받았습니다.
雪上加霜	설상가상	실직하고 또 병까지 나서 정말 설상가상이었습니다.
血压	혈압	의사는 그에게 혈압을 조절하라고 당부했습니다.
熏陶	영향을 받다	그녀는 어려서부터 음악의 영향을 받았습니다.
寻觅	찾아다니다	그들은 적합한 집을 사방으로 찾아다녔습니다.
巡逻	순찰하다	경찰은 밤에 거리에서 순찰합니다.
循环	순환하다	물이 시스템 안에서 순환합니다.
循序渐进	차근차근 나아가다	언어 학습은 차근차근 나아가야 합니다.
压迫	압박하다	낡은 제도는 평범한 백성을 압박했습니다.
压岁钱	세뱃돈	아이는 세뱃돈을 받았습니다.
压缩	압축하다	소프트웨어는 이미지 크기를 압축할 수 있습니다.
压抑	억누르다	그는 마음속 분노를 억누르려 애썼습니다.
压榨	짜내다	기계가 사탕수수즙을 짜내고 있습니다.
压制	억제하다	약은 통증을 억제할 수 있습니다.
鸦雀无声	쥐 죽은 듯 조용하다	선생님이 들어온 뒤 교실은 쥐 죽은 듯 조용했습니다.
亚军	준우승	그녀는 대회에서 준우승을 차지했습니다.
淹没	잠기다	홍수가 저지대 마을을 잠기게 했습니다.
烟花爆竹	폭죽	명절 기간에는 폭죽 사용이 금지됩니다.
严峻	엄중한	취업 상황은 여전히 엄중합니다.
严寒	혹한	혹한의 날씨가 교통에 영향을 주었습니다.
严禁	엄금하다	이곳에서는 흡연을 엄금합니다.
严厉	엄한	선생님은 그를 엄하게 비판했습니다.
严密	엄밀한	창고에는 엄밀한 감시가 있습니다.
岩石	암석	바닷가 암석은 매우 단단합니다.
延期	연기하다	회의는 다음 주로 연기되었습니다.
延伸	뻗다	도로는 북쪽으로 뻗어 있습니다.
延续	이어지다	이 전통은 백 년 동안 이어졌습니다.
沿海	연해	연해 도시는 무역이 발달했습니다.
炎热	무더운	무더운 날씨는 사람을 피곤하게 합니다.
言论	발언	대중은 그의 발언에 주목합니다.
掩盖	감추다	그는 실수를 감추려 했습니다.
掩护	엄호하다	동료들은 철수를 엄호하는 일을 맡았습니다.
掩饰	감추다	그녀는 긴장을 감추려고 애썼습니다.
演变	변화하다	도시 구조는 끊임없이 변화하고 있습니다.
演习	훈련	학교는 소방 훈련을 실시했습니다.
演绎	연역하다	선생님은 이 정리를 연역했습니다.
演奏	연주하다	악단은 클래식 음악을 연주하고 있습니다.
眼光	안목	그는 투자 안목이 좋습니다.
眼色	눈짓	그녀는 동료에게 눈짓을 보냈습니다.
眼神	눈빛	그의 눈빛은 매우 확고했습니다.
厌恶	혐오하다	그는 사기 행위를 혐오합니다.
验收	검수하다	공사가 끝난 뒤에는 검수해야 합니다.
验证	검증하다	실험은 가설을 검증했습니다.
氧气	산소	환자는 산소를 흡입해야 합니다.
样品	샘플	고객은 제품 샘플을 받았습니다.
摇摆	흔들리다	작은 배가 바람과 파도 속에서 흔들렸습니다.
摇滚	록 음악	젊은이들은 록 음악을 좋아합니다.
谣言	소문	확인되지 않은 소문을 퍼뜨리지 마세요.
遥控	원격 조종	그는 휴대폰으로 에어컨을 원격 조종했습니다.
遥远	먼	그 마을은 도시에서 매우 멉니다.
耀眼	눈부신	햇빛이 사람을 눈부시게 했습니다.
要点	요점	회의 요점을 기록해 주세요.
要命	몹시	이 산길은 몹시 위험합니다.
要素	요소	신뢰는 협력의 중요한 요소입니다.
野蛮	야만적인	그는 야만적인 법 집행에 반대합니다.
野心	야심	그의 정치적 야심은 뚜렷합니다.
液体	액체	이 액체는 색이 없습니다.
一流	일류의	이 병원은 설비가 일류입니다.
一如既往	변함없이	그는 변함없이 우리를 지지합니다.
依旧	여전히	비는 그쳤지만 거리는 여전히 젖어 있습니다.
依据	근거	판결은 반드시 법률에 근거해야 합니다.
依靠	의지하다	그들은 농업에 의지해 생활합니다.
依赖	의존하다	아이는 부모에게 지나치게 의존해서는 안 됩니다.
依托	기반으로 하다	프로젝트는 현지 자원을 기반으로 발전합니다.
衣裳	옷	그녀는 깨끗한 옷으로 갈아입었습니다.
一度	한때	회사는 한때 파산에 직면했습니다.
一贯	일관되게	그는 일관되게 낭비에 반대해 왔습니다.
一目了然	한눈에 분명하다	표의 내용은 한눈에 분명합니다.
一向	항상	그녀는 항상 시간을 잘 지킵니다.
仪器	기기	실험실은 새 기기를 구입했습니다.
仪式	의식	졸업식은 내일 열립니다.
疑惑	의아해하다	학생은 답에 대해 의아해했습니다.
遗产	유산	이 고대 도시는 문화유산입니다.
遗传	유전되다	이 병은 유전될 수 있습니다.
遗留	남겨지다	역사적으로 남겨진 문제는 해결해야 합니다.
遗失	잃어버리다	여행객은 여권을 잃어버렸습니다.
以便	하도록	연락할 수 있도록 전화번호를 남겨 주세요.
以免	피하기 위해	늦지 않도록 일찍 출발하세요.
以往	이전	이전 경험은 참고할 가치가 있습니다.
以至	나아가	범위가 지역사회, 나아가 전 도시로 확대되었습니다.
以致	그 결과	폭우가 계속되어 그 결과 도로가 끊겼습니다.
一帆风顺	순조롭다	창업이 늘 순조로울 수는 없습니다.
一举两得	일거양득	자전거로 출근하면 일거양득입니다.
一丝不苟	꼼꼼하다	엔지니어는 회로를 꼼꼼하게 점검했습니다.
亦	또한	그 또한 이 방안에 동의했습니다.
异常	이상	시스템에 이상 상황이 발생했습니다.
意料	예상하다	결과는 완전히 예상 밖이었습니다.
意识	의식하다	그는 점차 문제의 심각성을 의식했습니다.
意图	의도	경찰은 그의 의도를 간파했습니다.
意味着	의미하다	침묵이 동의를 의미하지는 않습니다.
意向	의향	양측은 협력 의향을 밝혔습니다.
意志	의지	어려움은 사람의 의지를 시험합니다.
毅力	끈기	성공에는 장기적인 끈기가 필요합니다.
毅然	단호히	그녀는 단호히 회사를 떠났습니다.
翼	날개	비행기의 날개가 점검을 받았습니다.
阴谋	음모	그들은 이 음모를 폭로했습니다.
音响	음향	거실의 음향 효과가 좋습니다.
引导	이끌다	선생님은 학생들이 생각하도록 이끌었습니다.
引擎	엔진	자동차 엔진이 갑자기 꺼졌습니다.
引用	인용하다	논문은 많은 자료를 인용했습니다.
隐蔽	숨다	병사들은 숲속에 숨었습니다.
隐患	숨은 위험	낡은 전선에는 안전상 숨은 위험이 있습니다.
隐瞒	숨기다	그는 진상을 숨기지 않았습니다.
隐私	사생활	회사는 사용자 사생활을 보호해야 합니다.
隐约	희미한	멀리서 노랫소리가 희미하게 들려왔습니다.
饮食	식생활	건강한 식생활은 회복에 도움이 됩니다.
婴儿	아기	아기가 조용히 자고 있습니다.
英明	현명한	지도자는 현명한 결정을 내렸습니다.
英勇	용감한	소방관은 용감하게 아이를 구했습니다.
盈利	이익을 내다	회사는 올해 이익을 내기 시작했습니다.
迎面	정면으로	찬바람이 정면으로 불어왔습니다.
应酬	사교 모임	그는 오늘 밤 사교 모임이 많습니다.
应邀	초청받아	전문가는 초청받아 포럼에 참석했습니다.
庸俗	저속한	이 광고 내용은 매우 저속합니다.
拥护	지지하다	모두가 새 정책을 지지합니다.
拥有	가지다	그는 풍부한 경험을 가지고 있습니다.
勇于	용감하게	젊은이는 용감하게 시도해야 합니다.
永恒	영원한	사랑은 영원히 변하지 않는 것이 아닙니다.
涌现	속속 나타나다	각지에서 훌륭한 교사들이 속속 나타나고 있습니다.
踊跃	적극적으로	주민들은 적극적으로 행사에 신청했습니다.
