simplified	PL	example_PL
团体	grupa	Ta grupa regularnie organizuje wydarzenia
团圆	zjednoczenie rodziny	Święto Wiosny to czas zjednoczenia rodziny
推测	przypuszczać	Eksperci przypuszczają, że ceny dalej wzrosną
推翻	obalić	Lud obalił stary system
推理	rozumowanie	Ta powieść jest pełna wątków rozumowania
推论	wniosek	Ten wniosek nadal wymaga poparcia dowodami
推销	sprzedawać	On odpowiada za sprzedaż nowych produktów
吞吞吐吐	jąkać się	Jąkał się przy odpowiadaniu na pytanie
托运	odprawić bagaż	Pasażerowie mogą odprawić bagaż przy stanowisku
拖延	opóźniać	Nie opóźniaj już terminu płatności
脱离	oderwać się	Teoria nie może oderwać się od rzeczywistości
妥当	właściwy	Ten układ jest bardzo właściwy
妥善	odpowiednio	Proszę odpowiednio przechowywać ważne dokumenty
妥协	kompromis	Obie strony ostatecznie osiągnęły kompromis
椭圆	elipsa	Orbita Ziemi jest zbliżona do elipsy
唾弃	potępiać	Społeczeństwo potępia takie oszustwa
哇	ach	Ach, ten most jest naprawdę imponujący
挖掘	wykopywać	Zespół archeologiczny wykopuje starożytny grobowiec
娃娃	lalka	Mała dziewczynka trzyma lalkę
瓦解	rozpaść się	Wewnętrzne konflikty sprawiły, że sojusz się rozpadł
歪曲	zniekształcać	Relacje nie powinny zniekształcać faktów
外表	wygląd	Nie oceniaj ludzi tylko po wyglądzie
外行	laik	W sprawach prawa jestem zupełnym laikiem
外界	świat zewnętrzny	Firma rzadko odpowiada na krytykę świata zewnętrznego
外向	towarzyski	Ma towarzyski charakter i wielu przyjaciół
丸	pigułka	Lekarz przepisał mu kilka pigułek
完备	kompletny	Ten zestaw materiałów jest bardzo kompletny
完毕	zakończyć	Spotkanie już się zakończyło
玩弄	bawić się	Nie baw się uczuciami innych ludzi
玩意儿	rzecz	Co to za nowa rzecz
顽固	uparty	Jego postawa jest bardzo uparta
顽强	wytrwały	Ranny wykazał się wielką wytrwałością
惋惜	żałować	Wszyscy żałowali tej porażki
挽回	odzyskać	Starał się odzyskać straty firmy
挽救	uratować	Lekarz skutecznie uratował życie pacjenta
万分	niezmiernie	Jestem niezmiernie wdzięczny za twoją pomoc
往常	zwykle	Dzisiaj jest goręcej niż zwykle
往事	przeszłość	Starszy człowiek często wspomina przeszłość
妄想	marzyć na próżno	Marzy na próżno, że wzbogaci się z dnia na dzień
危机	kryzys	Firma stoi przed poważnym kryzysem
威风	imponujący	Generał na koniu wyglądał imponująco
威力	siła	Ten rodzaj broni ma wielką siłę
威望	prestiż	Ma duży prestiż we wsi
威信	wiarygodność	Przywódcy muszą utrzymywać wiarygodność rządu
微不足道	nieistotny	Ta niewielka strata jest nieistotna
微观	mikro	Ten kurs przedstawia mikroekonomię
为难	utrudniać	Nie utrudniaj już pracy kelnerowi
为期	trwać	Szkolenie trwa trzy miesiące
唯独	tylko	Wszyscy przyszli, tylko jego nie było
维持	utrzymać	Policja utrzymała porządek na miejscu
维护	chronić	Musimy chronić swoje legalne prawa i interesy
维生素	witamina	Owoce zawierają dużo witamin
违背	naruszać	Ta decyzja narusza ducha umowy
伪造	sfałszować	Ktoś sfałszował jego podpis
委托	powierzyć	Klient powierzył prawnikowi prowadzenie sprawy
委员	członek komisji	Każdy członek komisji wyraził opinię
卫星	satelita	Satelita wszedł na zaplanowaną orbitę
喂	karmić	Dziecko karmi małego kota
慰问	odwiedzić z wyrazami wsparcia	Przywódcy poszli do szpitala odwiedzić rannych z wyrazami wsparcia
未免	zbyt	Ten wymóg jest trochę zbyt wysoki
畏惧	bać się	On nigdy nie boi się trudności
蔚蓝	lazurowy	Niebo przybrało lazurowy kolor
温带	strefa umiarkowana	Ta roślina nadaje się do klimatu strefy umiarkowanej
温和	umiarkowany	Jego stanowisko polityczne jest dość umiarkowane
文凭	dyplom	Ta praca wymaga dyplomu uniwersyteckiego
文物	zabytek	Muzeum wystawiło cenne zabytki
文献	literatura	Artykuł cytował dużą ilość literatury
文雅	elegancki	Ona zachowuje się elegancko
文艺	literatura i sztuka	To miasto ma silną atmosferę literatury i sztuki
问世	wejść na rynek	Ten model telefonu wkrótce wejdzie na rynek
窝	gniazdo	Na drzewie jest ptasie gniazdo
乌黑	kruczoczarny	Ma długie kruczoczarne włosy
污蔑	oszczerstwo	Zaprzeczył oszczerstwom wobec konkurenta
诬陷	wrobić	Dowody pokazują, że został wrobiony
无比	niezwykle	Na wieść o wiadomości poczuł się niezwykle poruszony
无偿	bezpłatny	Wolontariusze świadczą bezpłatne usługi
无耻	bezwstydny	Takie oszustwo jest bardzo bezwstydne
无动于衷	obojętny	Wobec krytyki pozostał obojętny
无非	nie więcej niż	Zrobił to nie więcej niż po to, żeby oszczędzić pieniądze
无辜	niewinny	Sąd uznał, że jest niewinny
无精打采	apatyczny	Dzisiaj wygląda apatycznie
无赖	łobuz	Mieszkańcy wsi nie chcą zadawać się z tym łobuzem
无理取闹	bez powodu robić awanturę	Proszę nie robić tutaj awantury bez powodu
无能为力	bezsilny	W obliczu powodzi mieszkańcy wsi byli bezsilni
无穷无尽	bezkresny	Pustynia wyglądała na bezkresną
无微不至	troskliwy	Pielęgniarka troskliwie opiekowała się pacjentem
无忧无虑	beztroski	Dzieci bawiły się beztrosko na trawie
无知	niewiedza	Niewiedza nie jest powodem, by odmawiać nauki
侮辱	obrażać	Jego słowa obraziły drugą osobę
武器	broń	Ta broń jest przechowywana wspólnie
武侠	powieści wuxia	Od dzieciństwa lubił czytać powieści wuxia
武装	uzbrojony	Region przygraniczny wzmocnił uzbrojone patrole
舞蹈	taniec	Ten taniec ma silne cechy etniczne
务必	koniecznie	Proszę koniecznie przybyć na czas
物美价廉	dobry i niedrogi	Towary w tym sklepie są dobre i niedrogie
物业	zarządzanie nieruchomością	Zarządzanie nieruchomością odpowiada za naprawy na osiedlu
物资	zaopatrzenie	Zaopatrzenie ratunkowe dotarło już do obszaru klęski
误差	błąd	Wynik pomiaru ma niewielki błąd
误解	nieporozumienie	Obie strony usunęły nieporozumienie przez komunikację
夕阳	zachodzące słońce	Zachodzące słońce zabarwiło niebo na złoto
昔日	dawny	Dawna mała wieś zmieniła się w miasto
溪	strumień	Mały strumień płynie przez góry
熄灭	zgasić	Proszę zgasić świecę
牺牲	poświęcenie	Ponieśli poświęcenie, aby ratować innych
膝盖	kolano	Jego kolano zostało zranione
习俗	zwyczaj	Święto Wiosny ma wiele tradycyjnych zwyczajów
媳妇	żona	Jego żona pracuje w szpitalu
袭击	zaatakować	Burza zaatakowała nadmorskie miasto
喜闻乐见	lubiany przez widzów	Tego rodzaju program jest lubiany przez widzów
喜悦	radość	Na jej twarzy pojawił się radosny uśmiech
系列	seria	Firma wprowadziła serię nowych produktów
细菌	bakteria	Wysoka temperatura może zabijać bakterie
细胞	komórka	Ciało człowieka składa się z niezliczonych komórek
细致	dokładny	Jej obserwacja jest bardzo dokładna
峡谷	kanion	Rzeka przepływa przez głęboki kanion
狭隘	wąski	Ten wąski pogląd trzeba zmienić
狭窄	wąski	Ta ścieżka jest bardzo wąska
霞	zorza	Wieczorna zorza zaczerwieniła niebo
下属	podwładny	Kierownik uważnie wysłuchał opinii podwładnych
先进	zaawansowany	Fabryka zastosowała zaawansowany sprzęt
先前	poprzedni	Poprzedni plan już się zmienił
掀起	wywołać	Ta książka wywołała falę dyskusji
纤维	włókno	Ta tkanina zawiera naturalne włókna
鲜明	wyraźny	Jego stanowisko jest bardzo wyraźne
嫌	nie lubić	Uważa, że pokój jest za mały
嫌疑	podejrzenie	Ten mężczyzna jest pod poważnym podejrzeniem
弦	struna	Jedna struna gitary pękła
衔接	łączyć się	Treści dwóch kursów dobrze się łączą
贤惠	cnotliwy	Uważa się ją za cnotliwą i zdolną
闲话	plotka	Nie opowiadaj plotek o innych za ich plecami
显著	znaczny	Efekt leczenia jest bardzo znaczny
宪法	konstytucja	Konstytucja gwarantuje podstawowe prawa obywateli
现场	miejsce zdarzenia	Reporterzy dotarli już na miejsce zdarzenia
现成	gotowy	W kuchni jest gotowe jedzenie
现状	obecny stan	Musimy zrozumieć obecny stan branży
线索	trop	Policja znalazła nowy trop
陷害	wrobić	Twierdził, że ktoś go wrobił
陷阱	pułapka	Myśliwy zastawił pułapkę
陷入	wpaść	Firma wpadła w trudności finansowe
馅儿	nadzienie	Nadzienie tej bułeczki pachnie bardzo dobrze
乡镇	miasteczko	Warunki w szkołach miasteczkowych się poprawiają
相差	różnić się	Temperatury w dwóch miejscach różnią się o dziesięć stopni
相等	równy	Pola dwóch trójkątów są równe
相辅相成	wzajemnie się uzupełniać	Teoria i praktyka wzajemnie się uzupełniają
相应	odpowiedni	Firma podejmie odpowiednie działania
镶嵌	osadzić	W pierścionku osadzono kamień szlachetny
响亮	donośny	Jego odpowiedź była donośna i wyraźna
响应	odpowiedzieć	Wiele osób odpowiedziało na inicjatywę ekologiczną
想方设法	szukać wszelkich sposobów	Szukali wszelkich sposobów, aby obniżyć koszty
向导	przewodnik	Lokalny przewodnik zaprowadził nas w góry
向来	zawsze	On zawsze cenił wiarygodność
向往	tęsknić	Ona tęskni za spokojnym życiem
巷	alejka	W starej alejce otwarto wiele małych sklepów
相声	dialog komiczny	Dziadek lubi słuchać tradycyjnych dialogów komicznych
消除	usunąć	Komunikacja może usunąć nieporozumienia
消毒	zdezynfekować	Lekarz zdezynfekował ranę
消防	straż pożarna	Strażacy szybko dotarli na miejsce
消耗	zużywać	Długa podróż zużywa dużo sił fizycznych
消灭	zwalczać	Pracownicy zwalczają szkodniki
潇洒	swobodny	Jego sposób chodzenia jest bardzo swobodny i stylowy
销毁	zniszczyć	Służba celna zniszczyła podrobione towary
小心翼翼	bardzo ostrożnie	Otworzyła pudełko bardzo ostrożnie
效益	wydajność	Nowy sprzęt poprawił wydajność produkcji
肖像	portret	Na ścianie wisi jego portret
协会	stowarzyszenie	To stowarzyszenie pomaga młodym przedsiębiorcom
协商	konsultacje	Obie strony są gotowe kontynuować konsultacje
协调	koordynować	Kierownik projektu odpowiada za koordynowanie zasobów
协议	porozumienie	Obie strony podpisały porozumienie o współpracy
协助	pomagać	Wolontariusze pomagali starszym przejść przez ulicę
携带	przenosić	Pasażerom nie wolno przenosić niebezpiecznych przedmiotów
屑	wióry	Na stole jest dużo wiórów drewnianych
泄露	ujawnić	Pracownikom nie wolno ujawniać informacji klientów
泄气	zniechęcić się	Nie zniechęcaj się po porażce
谢绝	grzecznie odmówić	Hotel grzecznie odmawia wnoszenia jedzenia z zewnątrz
心得	wnioski z doświadczenia	Podzieliła się wnioskami z nauki
心甘情愿	z własnej woli	Z własnej woli został, żeby pomóc
心灵	wnętrze człowieka	Muzyka ukoiła jej wnętrze
心态	nastawienie	Pozytywne nastawienie jest bardzo ważne
心疼	współczuć z bólem	Matka z bólem patrzyła na ranne dziecko
心血	żmudny wysiłek	Ta książka jest owocem żmudnej pracy autora
心眼儿	małostkowość	Bywa trochę małostkowy
新陈代谢	przemiana materii	Ćwiczenia mogą przyspieszać przemianę materii
新郎	pan młody	Pan młody witał gości przy wejściu
新娘	panna młoda	Panna młoda miała białą suknię ślubną
新颖	nowatorski	Ten projekt jest bardzo nowatorski
欣慰	odczuwać satysfakcję	Jej postępy dały matce satysfakcję
欣欣向荣	rozkwitać	Turystyka w miasteczku rozkwita
薪水	pensja	Jego pensja wystarcza na utrzymanie rodziny
辛勤	pracowity	Rolnicy pracowicie uprawiają zboże
信赖	ufać	Klienci bardzo ufają tej firmie
信念	przekonanie	Silne przekonanie dodawało mu sił
信仰	wiara	Szanuje różne wyznania i przekonania
信誉	reputacja	Firma musi chronić swoją reputację
兴高采烈	w świetnym nastroju	Dzieci wbiegły do klasy w świetnym nastroju
兴隆	dobrze prosperujący	Ten stary sklep dobrze prosperuje
兴旺	prosperować	Gospodarka rynkowa coraz lepiej prosperuje
腥	rybi	Ta ryba ma lekko rybi zapach
刑事	karny	Policja bada sprawę karną
形态	forma	Forma rośliny zmienia się wraz ze środowiskiem
行政	administracyjny	Dział administracyjny obsługuje wnioski
兴致勃勃	z wielkim zapałem	Wszyscy z wielkim zapałem omawiali plan
性感	zmysłowy	Ta suknia wieczorowa wygląda zmysłowo
性命	życie	Lekarz uratował mu życie
性能	wydajność	Ten komputer ma dobrą wydajność
凶恶	groźny	Ten pies wygląda bardzo groźnie
凶手	sprawca zabójstwa	Policja w końcu zatrzymała sprawcę zabójstwa
汹涌	wzburzony	Wzburzone fale uderzały o brzeg
胸怀	wielkoduszność	Wyróżnia go wielkoduszność
胸膛	klatka piersiowa	Żołnierz wypiął klatkę piersiową
雄厚	solidny	Firma ma solidne zaplecze finansowe
雄伟	majestatyczny	Ten most jest bardzo majestatyczny
修复	naprawiać	Inżynierowie naprawiają system
修建	budować	Rząd planuje budować nowe lotnisko
修养	kultura osobista	Dobrą kulturę osobistą widać w szczegółach
羞耻	wstyd	Po kłamstwie poczuł wstyd
嗅觉	węch	Psi węch jest bardzo czuły
绣	haftować	Babcia umie haftować kwiaty
虚假	fałszywy	Strona opublikowała fałszywe informacje
虚荣	próżność	Próżność sprawiła, że wydawał za dużo pieniędzy
虚伪	obłudny	Nie lubi obłudnych uprzejmości
需求	zapotrzebowanie	Zapotrzebowanie na rynku rośnie
须知	instrukcje wstępne	Najpierw przeczytaj instrukcje dotyczące zapisów
许可	pozwolenie	Bez pozwolenia nie wolno wchodzić
序言	przedmowa	Autor wyjaśnia tło w przedmowie
畜牧	hodowla zwierząt	Step nadaje się do rozwoju hodowli zwierząt
酗酒	nadużywanie alkoholu	Długotrwałe nadużywanie alkoholu szkodzi zdrowiu
喧哗	hałasować	W bibliotece nie wolno hałasować
宣誓	złożyć przysięgę	Nowi członkowie złożyli przysięgę na spotkaniu
宣扬	promować	Szkoła promuje uczciwość i dotrzymywanie słowa
悬挂	wisieć	Na ścianie wisi obraz
悬念	napięcie	Finał filmu zostawia napięcie
悬殊	ogromna różnica	Różnica sił między drużynami jest ogromna
悬崖峭壁	strome urwiska	Obok górskiej drogi są strome urwiska
旋律	melodia	Ta piosenka ma piękną melodię
旋转	obracać się	Wiatrak obraca się na wietrze
选拔	wybierać najlepszych	Szkoła wybiera najlepszych sportowców
选举	wybory	We wsi odbyły się wybory
选手	zawodnik	Ten zawodnik wystąpił stabilnie
炫耀	popisywać się	On ciągle lubi popisywać się majątkiem
削	ścinać	Firma ścięła część wydatków
削弱	osłabiać	Zmęczenie osłabia ocenę sytuacji
学说	doktryna	Ta doktryna ma duży wpływ
学位	stopień naukowy	Otrzymała stopień magistra
雪上加霜	pogorszyć złą sytuację	Utrata pracy i choroba jeszcze pogorszyły sytuację
血压	ciśnienie krwi	Lekarz przypomniał mu, by kontrolował ciśnienie krwi
熏陶	wpływ wychowawczy	Od dzieciństwa była pod wpływem muzyki
寻觅	poszukiwać	Szukali wszędzie odpowiedniego mieszkania
巡逻	patrolować	Policja patroluje ulice nocą
循环	krążyć	Woda krąży w systemie
循序渐进	krok po kroku	Języka trzeba uczyć się krok po kroku
压迫	uciskać	Stary system uciskał zwykłych ludzi
压岁钱	pieniądze noworoczne	Dziecko dostało pieniądze noworoczne
压缩	kompresować	Program potrafi kompresować obrazy
压抑	tłumić	Starał się tłumić wewnętrzny gniew
压榨	wyciskać	Maszyna wyciska sok z trzciny cukrowej
压制	stłumić	Lek może stłumić ból
鸦雀无声	cisza jak makiem zasiał	Po wejściu nauczyciela w klasie była cisza jak makiem zasiał
亚军	drugie miejsce	Zajęła drugie miejsce w zawodach
淹没	zalać	Powódź zalała nisko położoną wieś
烟花爆竹	fajerwerki i petardy	W święto zakazano fajerwerków i petard
严峻	poważny	Sytuacja na rynku pracy nadal jest poważna
严寒	silny mróz	Silny mróz wpływa na transport
严禁	surowo zakazać	Tutaj surowo zakazano palenia
严厉	surowy	Nauczyciel surowo go skrytykował
严密	ścisły	Magazyn ma ścisły monitoring
岩石	skała	Skały nad morzem są bardzo twarde
延期	przełożyć	Spotkanie przełożono na przyszły tydzień
延伸	ciągnąć się	Droga ciągnie się na północ
延续	trwać	Ta tradycja trwa od stu lat
沿海	nadmorski	Nadmorskie miasta mają rozwinięty handel
炎热	upaleny	Upalna pogoda męczy ludzi
言论	wypowiedź	Opinia publiczna śledzi jego wypowiedzi
掩盖	tuszować	Próbował tuszować błąd
掩护	osłaniać	Koledzy z drużyny mieli osłaniać odwrót
掩饰	ukrywać	Starała się ukryć zdenerwowanie
演变	ewoluować	Układ miasta stale ewoluuje
演习	ćwiczenia	Szkoła przeprowadziła ćwiczenia przeciwpożarowe
演绎	wyprowadzać wniosek	Nauczyciel wyprowadził ten wzór
演奏	wykonywać muzykę	Zespół wykonuje muzykę klasyczną
眼光	wyczucie	On ma dobre wyczucie inwestycyjne
眼色	znaczące spojrzenie	Dała koledze znaczące spojrzenie
眼神	spojrzenie	Jego spojrzenie było bardzo stanowcze
厌恶	brzydzić się	Brzydzi się oszustwem
验收	odbiór techniczny	Po zakończeniu prac potrzebny jest odbiór techniczny
验证	zweryfikować	Eksperyment zweryfikował hipotezę
氧气	tlen	Pacjent musi oddychać tlenem
样品	próbka	Klient otrzymał próbki produktu
摇摆	kołysać się	Łódka kołysała się na wietrze i falach
摇滚	rock	Młodzi ludzie lubią muzykę rockową
谣言	plotka	Nie rozpowszechniaj niepotwierdzonych plotek
遥控	zdalnie sterować	Steruje klimatyzacją z telefonu
遥远	odległy	Ta wieś leży daleko od miasta
耀眼	oślepiający	Słońce świeciło oślepiająco
要点	najważniejsze punkty	Proszę zapisać najważniejsze punkty spotkania
要命	śmiertelnie	Ta górska droga jest śmiertelnie niebezpieczna
要素	kluczowy czynnik	Zaufanie jest kluczowym czynnikiem współpracy
野蛮	brutalny	Sprzeciwia się brutalnemu egzekwowaniu prawa
野心	ambicja	Jego ambicje polityczne są oczywiste
液体	ciecz	Ta ciecz jest bezbarwna
一流	pierwszorzędny	Ten szpital ma pierwszorzędny sprzęt
一如既往	jak zawsze	On jak zawsze nas wspiera
依旧	nadal	Deszcz ustał, ale ulica nadal była mokra
依据	podstawa	Wyrok musi mieć podstawę w prawie
依靠	polegać na czymś	Utrzymują się, polegając na rolnictwie
依赖	zależeć od czegoś	Dzieci nie powinny za bardzo zależeć od rodziców
依托	opierać się na czymś	Projekt rozwija się w oparciu o lokalne zasoby
衣裳	ubranie	Przebrała się w czyste ubranie
一度	kiedyś	Firma kiedyś stanęła przed bankructwem
一贯	konsekwentny	On konsekwentnie sprzeciwia się marnotrawstwu
一目了然	jasny na pierwszy rzut oka	Treść tabeli jest jasna na pierwszy rzut oka
一向	zawsze	Ona zawsze jest punktualna
仪器	przyrząd	Laboratorium kupiło nowe przyrządy
仪式	uroczystość	Uroczystość ukończenia szkoły odbędzie się jutro
疑惑	wątpliwość	Uczeń miał wątpliwości co do odpowiedzi
遗产	dziedzictwo	To starożytne miasto jest dziedzictwem kulturowym
遗传	dziedziczyć	Ta choroba może być dziedziczona
遗留	pozostały po przeszłości	Problemy pozostałe po przeszłości trzeba rozwiązać
遗失	zgubić	Podróżny zgubił paszport
以便	żeby	Zostaw numer telefonu, żebyśmy mogli się skontaktować
以免	aby uniknąć	Wyjdź wcześniej, aby uniknąć spóźnienia
以往	dawny	Dawne doświadczenia są warte uwagi
以至	aż do	Zakres rozszerzył się na dzielnicę, aż do całego miasta
以致	wskutek czego	Ulewa trwała dalej, wskutek czego drogi zostały przerwane
一帆风顺	iść gładko	Prowadzenie firmy nie zawsze idzie gładko
一举两得	osiągnąć dwa cele naraz	Jazda rowerem do pracy pozwala osiągnąć dwa cele naraz
一丝不苟	skrupulatny	Inżynier skrupulatnie sprawdził przewody
亦	również	On również zgodził się na ten plan
异常	nieprawidłowość	W systemie wystąpiła nieprawidłowość
意料	przewidywanie	Wynik całkowicie przekroczył przewidywania
意识	uświadamiać sobie	Stopniowo uświadomił sobie powagę problemu
意图	zamiar	Policja przejrzała jego zamiar
意味着	oznaczać	Milczenie nie oznacza zgody
意向	intencja współpracy	Obie strony wyraziły intencję współpracy
意志	wola	Trudności wystawiają wolę człowieka na próbę
毅力	wytrwałość	Sukces wymaga długotrwałej wytrwałości
毅然	zdecydowanie	Zdecydowanie odeszła z firmy
翼	skrzydło	Sprawdzono skrzydło samolotu
阴谋	spisek	Ujawnili ten spisek
音响	nagłośnienie	Salon ma dobre nagłośnienie
引导	prowadzić	Nauczyciel prowadzi uczniów do samodzielnego myślenia
引擎	silnik	Silnik samochodu nagle zgasł
引用	cytować	Praca cytowała wiele materiałów
隐蔽	ukrywać się	Żołnierze ukryli się w lesie
隐患	ukryte zagrożenie	Stare przewody stwarzają ukryte zagrożenie
隐瞒	zatajać	Nie zataił prawdy
隐私	prywatność	Firma musi chronić prywatność użytkowników
隐约	niewyraźnie	Z daleka niewyraźnie dochodził śpiew
饮食	dieta	Zdrowa dieta pomaga w powrocie do zdrowia
婴儿	niemowlę	Niemowlę śpi spokojnie
英明	mądry	Przywódca podjął mądrą decyzję
英勇	bohaterski	Strażak bohatersko uratował dziecko
盈利	osiągać zysk	Firma w tym roku zaczęła osiągać zysk
迎面	prosto w twarz	Zimny wiatr wiał prosto w twarz
应酬	spotkania towarzysko-zawodowe	Dziś wieczorem ma wiele spotkań towarzysko-zawodowych
应邀	na zaproszenie	Ekspert uczestniczył w forum na zaproszenie
庸俗	wulgarny	Treść tej reklamy jest wulgarna
拥护	popierać	Wszyscy popierają nową politykę
拥有	posiadać	On posiada bogate doświadczenie
勇于	mieć odwagę	Młodzi ludzie powinni mieć odwagę próbować
永恒	wieczny	Miłość nie jest wiecznie niezmienna
涌现	pojawiać się licznie	W różnych miejscach pojawia się wielu świetnych nauczycieli
踊跃	chętnie	Mieszkańcy chętnie zapisali się na wydarzenie
用户	użytkownik	Użytkownicy mogą zmieniać hasła
优胜劣汰	dobór najlepszych	Konkurencja rynkowa pokazuje dobór najlepszych
优先	pierwszeństwo	Osoby starsze mogą być obsłużone z pierwszeństwem
优异	znakomity	Osiągnęła znakomite wyniki
优越	korzystny	To miejsce ma korzystne położenie
忧郁	melancholijny	Jego wyraz twarzy wyglądał melancholijnie
油腻	tłusty	To danie jest zbyt tłuste
油漆	farba	Robotnicy malują drzwi farbą
犹如	niczym	Powierzchnia jeziora była niczym lustro
有条不紊	uporządkowany	Spotkanie przebiegało w uporządkowany sposób
幼稚	naiwny	Ten pomysł jest trochę naiwny
诱惑	pokusa	Reklama jest pełna pokus konsumpcyjnych
愚蠢	głupi	Ta decyzja jest wyjątkowo głupia
愚昧	ciemnota	Ciemne poglądy hamują postęp
渔民	rybak	Rybacy o świcie wypływają na połów
舆论	opinia publiczna	Opinia publiczna mocno wpływa na sprawę
与日俱增	rosnąć z dnia na dzień	Liczba turystów rośnie z dnia na dzień
宇宙	wszechświat	Ludzkość nieustannie bada wszechświat
羽绒服	kurtka puchowa	Zimą trzeba nosić kurtkę puchową
寓言	bajka z morałem	Ta bajka ma duże znaczenie wychowawcze
愈	coraz bardziej	Stan zdrowia jest coraz lepszy
欲望	pragnienie	Opanował pragnienie zakupów
熨	prasować	Wyprasowała koszulę na gładko
玉	jadeit	Ten jadeit ma ciepły odcień
预料	przewidywanie	Rozwój sytuacji przekroczył przewidywania
预期	oczekiwania	Sprzedaż była niższa od oczekiwań
预算	budżet	Budżet projektu wymaga korekty
预先	zawczasu	Proszę zawczasu przygotować materiały
预言	przepowiednia	Jego przepowiednia się nie spełniła
预兆	zapowiedź	Ból może być zapowiedzią choroby
冤枉	krzywdzić	Nie krzywdź niewinnej osoby fałszywym oskarżeniem
元首	głowa państwa	Głowy obu państw przeprowadziły rozmowy
元素	pierwiastek	Tlen jest pierwiastkiem chemicznym
元宵节	Święto Lampionów	Podczas Święta Lampionów ludzie oglądają latarnie
原告	powód	Powód przedstawił nowe dowody
原理	zasada	Nauczyciel wyjaśnił zasadę działania maszyny
原始	pierwotny	Zachowali pierwotne zapisy
原先	pierwotnie	Pierwotny plan już się zmienił
园林	ogród krajobrazowy	Ogrody krajobrazowe Suzhou są bardzo słynne
圆满	pełny sukces	Spotkanie zakończyło się pełnym sukcesem
源泉	źródło	Praktyka jest źródłem wiedzy
缘故	powód	Zrezygnował z powodów zdrowotnych
约束	ograniczać	System ogranicza zachowanie pracowników
乐谱	nuty	Ona uważnie czytała nuty
岳母	teściowa	W weekend odwiedził teściową
孕育	wydać na świat	Ziemia wydaje na świat nowe życie
蕴藏	zawierać	Obszar górski zawiera bogate złoża
运算	działanie	Studenci ćwiczą działania matematyczne
运行	działać	System działa stabilnie
酝酿	przygotowywać w zamyśle	Obie strony przygotowują w zamyśle nowy plan
杂技	akrobatyka	Dzieci lubią oglądać pokazy akrobatyczne
杂交	krzyżówka	Naukowcy badają ryż krzyżówkowy
砸	rozbić	Kubek rozbił się o podłogę
咋	jak to	Jak to jeszcze nie wróciłeś
栽培	uprawiać	Ogrodnik uprawiał wiele kwiatów
灾难	katastrofa	Po katastrofie miasto zaczęło odbudowę
宰	zarżnąć	Podczas święta mieszkańcy wsi zarżnęli owcę
再接再厉	nie spoczywać na laurach	Po nagrodzie zespół nie spoczął na laurach
在意	przejmować się	Ona bardzo przejmuje się opinią innych
攒	oszczędzać	On oszczędza pieniądze na komputer
暂且	na razie	Na razie odłóżmy tę sprawę
赞叹	podziwiać	Widzowie podziwiali występ aktora
赞助	sponsorować	Firma sponsorowała te zawody
糟蹋	marnować	Nie marnuj tych świeżych produktów
遭受	doznać	Pola doznały ciężkiej suszy
遭殃	ucierpieć	Kiedy most się zawalił, pobliscy mieszkańcy ucierpieli
遭遇	napotkać	Po drodze napotkali śnieżycę
噪音	hałas	Hałas budowy przeszkadza w odpoczynku
造型	kształt	Ten model samochodu ma bardzo charakterystyczny kształt
责怪	obwiniać	Proszę nie obwiniać dziecka bez końca
贼	złodziej	Policja złapała tego złodzieja
增添	dodać	Świeże kwiaty dodały koloru pokojowi
赠送	podarować	Sklep podarował drobne upominki
扎	ukłuć	Pielęgniarka ukłuła go igłą
扎实	solidny	Jego podstawa gramatyczna jest solidna
渣	fusy	Na dnie filiżanki zostały fusy po kawie
眨	mrugać	Mrugnęła oczami
诈骗	oszustwo	Policja rozbiła sprawę oszustwa telefonicznego
摘要	streszczenie	Streszczenie pracy jest napisane jasno
债券	obligacja	Inwestorzy kupują obligacje rządowe
沾光	skorzystać dzięki komuś	Skorzystałem też dzięki znajomemu
瞻仰	oddać hołd	Turyści oddają hołd pod pomnikiem bohaterów
展示	prezentować	Firma prezentuje najnowsze produkty
展望	spojrzeć w przyszłość	Raport spogląda w przyszłe trendy
展现	ukazywać	Dzieło ukazuje życie wiejskie
崭新	zupełnie nowy	Kupił zupełnie nowy rower
斩钉截铁	stanowczy	Odmówiła bardzo stanowczo
占据	zajmować	Reklama zajęła całą stronę
占领	zająć	Wojsko zajęło przełęcz
战斗	walka	Walka trwała trzy godziny
战略	strategia	Firma zmieniła strategię rozwoju
战术	taktyka	Trener zmienił taktykę meczu
战役	kampania wojskowa	Ta kampania wojskowa zmieniła sytuację
章程	statut	Stowarzyszenie przyjęło nowy statut
帐篷	namiot	Rozbili namioty nad jeziorem
障碍	przeszkoda	Przeszkody językowe utrudniają komunikację
招标	przetarg	Projekt budowlany ogłosił publiczny przetarg
招收	przyjmować	Szkoła w tym roku przyjmuje nowych uczniów
朝气蓬勃	pełen energii	Młody zespół jest pełen energii
着迷	fascynować się	Dziecko fascynuje się astronomią
沼泽	bagno	Ekspedycja przeszła przez bagno
照样	jak zwykle	Spadł deszcz, ale trening odbył się jak zwykle
照耀	oświetlać	Słońce oświetla plac
折腾	ciągle majstrować	Nie majstruj już przy tym starym komputerze
遮挡	zasłaniać	Gałęzie zasłoniły okno
折	składać	Złożył papier w samolot
折磨	dręczyć	Długotrwała bezsenność ją dręczy
