simplified	DA	example_DA	FI	example_FI	CS	example_CS	SK	example_SK
吸引	at tiltrække	Denne film er meget fængende.	houkutella; vetää puoleensa	Tämä elokuva on todella mukaansatempaava.	přitahovat	Tento film je velmi poutavý.	priťahovať	Tento film je veľmi pútavý.
西红柿	en tomat	Jeg købte nogle tomater.	tomaatti	Ostin muutaman tomaatin.	rajče	Koupil jsem několik rajčat.	paradajka	Kúpil som niekoľko paradajok.
咸	salt	Der er kommet for meget salt i, maden er lidt salt.	suolainen	Suolaa tuli liikaa, ruoka on vähän suolaista.	slaný	Je tam příliš mnoho soli, jídlo je trochu slané.	slaný	Je tam priveľa soli, jedlo je trochu slané.
现金	kontanter	Jeg har ikke særlig mange kontanter med, men butikken tager kort.	käteinen	Minulla ei ole kovin paljon käteistä mukana, mutta kaupassa voi maksaa kortilla.	hotovost	Nemám u sebe moc hotovosti, ale v obchodě se dá platit kartou.	hotovosť	Nemám pri sebe veľa hotovosti, ale v obchode sa dá platiť kartou.
羡慕	at misunde; at beundre	Jeg misunder ham, at han har et godt arbejde.	kadehtia; ihailla	Kadehdin häntä, koska hänellä on hyvä työpaikka.	závidět; obdivovat	Závidím mu, že má dobrou práci.	závidieť; obdivovať	Závidím mu, že má dobrú prácu.
相反	modsat; det modsatte	Det, du siger, er lige det modsatte af det, jeg forstår.	vastakkainen; päinvastoin	Se, mitä sanot, on täysin päinvastaista kuin mitä ymmärrän.	opačný; naopak	To, co říkáš, je přesný opak toho, jak tomu rozumím.	opačný; naopak	To, čo hovoríš, je presný opak toho, ako tomu rozumiem.
相同	den samme; identisk	Din cykel er helt den samme som min.	sama; samanlainen	Polkupyöräsi on täsmälleen samanlainen kuin minun.	stejný; totožný	Tvoje kolo je úplně stejné jako moje.	rovnaký; totožný	Tvoj bicykel je úplne rovnaký ako môj.
香	duftende; velduftende	Den mad, du har lavet, dufter virkelig godt!	tuoksuva; hyvänhajuinen	Tekemäsi ruoka tuoksuu todella hyvältä!	voňavý; vonět	Jídlo, které jsi uvařil, opravdu krásně voní!	voňavý; voňať	Jedlo, ktoré si uvaril, naozaj krásne vonia!
详细	detaljeret; udførlig	Den plan, hun lavede, er meget detaljeret.	yksityiskohtainen	Hänen tekemänsä suunnitelma on erittäin yksityiskohtainen.	podrobný	Plán, který vytvořila, je velmi podrobný.	podrobný	Plán, ktorý vytvorila, je veľmi podrobný.
响	at ringe; at lyde	Hør, var det telefonen, der ringede?	soida; kuulua	Kuule, soiko puhelin?	zvonit; znít	Poslouchej, nezazvonil telefon?	zvoniť; znieť	Počúvaj, nezazvonil telefón?
橡皮	et viskelæder	Må jeg låne dit viskelæder et øjeblik?	pyyhekumi	Voinko lainata pyyhekumia hetkeksi?	guma	Můžu si na chvíli půjčit tvoji gumu?	guma	Môžem si na chvíľu požičať tvoju gumu?
消息	en nyhed; en besked	Denne nyhed er virkelig spændende.	uutinen; tieto	Tämä uutinen on todella innostava.	zpráva; novinka	Tahle zpráva je opravdu vzrušující.	správa; novinka	Táto správa je naozaj vzrušujúca.
小吃	en snack; småretter	Når man kommer til Beijing, skal man prøve Beijings snacks.	välipala; pikkuruoka	Kun tulee Pekingiin, täytyy maistaa Pekingin pikkuruokia.	občerstvení; malé jídlo	Když přijedete do Pekingu, musíte ochutnat pekingské občerstvení.	občerstvenie; malé jedlo	Keď prídete do Pekingu, musíte ochutnať pekinské občerstvenie.
小伙子	en ung mand	Den unge mand er meget hjertelig.	nuori mies	Tuo nuori mies on hyvin lämminhenkinen.	mladík; mladý muž	Ten mladík je velmi srdečný.	mladík; mladý muž	Ten mladík je veľmi srdečný.
小说	en roman	Jeg er ved at læse denne roman.	romaani	Luen parhaillaan tätä romaania.	román	Právě čtu tento román.	román	Práve čítam tento román.
效果	en virkning; en effekt	Denne forkølelsesmedicin virker godt.	vaikutus; teho	Tämä flunssalääke tehoaa hyvin.	účinek; efekt	Tento lék na nachlazení dobře účinkuje.	účinok; efekt	Tento liek na prechladnutie dobre účinkuje.
笑话	at grine ad; en vittighed	Lad være med at grine ad andre.	nauraa jollekin; vitsi	Älä naura muille.	smát se někomu; vtip	Prosím, nesmějte se ostatním.	smiať sa niekomu; vtip	Prosím, nesmejte sa ostatným.
心情	et humør	Hans humør blev bedre.	mieliala	Hänen mielialansa parani.	nálada	Jeho nálada se zlepšila.	nálada	Jeho nálada sa zlepšila.
辛苦	hård; anstrengende	Fars arbejde er meget hårdt.	raskas; vaivalloinen	Isän työ on hyvin raskasta.	těžký; namáhavý	Tátova práce je velmi namáhavá.	ťažký; namáhavý	Otcova práca je veľmi namáhavá.
信封	en kuvert	Han lagde det færdigskrevne brev i kuverten.	kirjekuori	Hän pani valmiiksi kirjoitetun kirjeen kirjekuoreen.	obálka	Vložil napsaný dopis do obálky.	obálka	Vložil napísaný list do obálky.
信息	information; en besked	Send mig venligst dine kontaktoplysninger.	tieto; viesti	Lähetä minulle yhteystietosi.	informace; zpráva	Pošlete mi prosím své kontaktní údaje.	informácia; správa	Pošlite mi, prosím, svoje kontaktné údaje.
信心	tillid; selvtillid	Vi har stor tillid til dig. Du kan helt sikkert klare det.	luottamus; itseluottamus	Meillä on paljon luottamusta sinuun. Pystyt siihen varmasti.	důvěra; sebedůvěra	Máme v tebe velkou důvěru. Určitě to zvládneš.	dôvera; sebavedomie	Máme v teba veľkú dôveru. Určite to zvládneš.
兴奋	begejstret; spænding	Børnene sprang begejstret op, da de hørte, at de skulle på forårstur.	innoissaan; innostus	Lapset hyppäsivät innoissaan kuultuaan, että he lähtevät kevätretkelle.	nadšený; vzrušení	Děti nadšeně vyskočily, když slyšely, že pojedou na jarní výlet.	nadšený; vzrušenie	Deti boli nadšené, keď počuli, že pôjdu na jarný výlet.
行	okay; i orden	Er det sådan okay?	ok; sopiva	Onko tämä näin ok?	v pořádku; přijatelné	Je to takhle v pořádku?	v poriadku; prijateľné	Je to takto v poriadku?
醒	at vågne; at være vågen	Jeg vågnede allerede klokken seks om morgenen.	herätä; olla hereillä	Heräsin aamulla jo kuudelta.	probudit se; být vzhůru	Probudil jsem se už v šest ráno.	zobudiť sa; byť hore	Zobudil som sa už o šiestej ráno.
幸福	lykke; lykkelig	Penge kan ikke købe lykke.	onni; onnellinen	Rahalla ei voi ostaa onnea.	štěstí; šťastný	Peníze si štěstí nekoupí.	šťastie; šťastný	Peniaze si šťastie nekúpia.
性别	køn	Udfyld venligst køn i formularens anden linje.	sukupuoli	Täytä sukupuoli lomakkeen toiselle riville.	pohlaví	Prosím, vyplňte pohlaví do druhého řádku formuláře.	pohlavie	Prosím, vyplňte pohlavie do druhého riadku formulára.
性格	personlighed; karakter	Min kone har en meget god personlighed og mister aldrig besindelsen.	persoonallisuus; luonne	Vaimollani on erittäin hyvä luonne eikä hän koskaan suutu.	povaha; osobnost	Moje žena má velmi dobrou povahu a nikdy se nerozčiluje.	povaha; osobnosť	Moja manželka má veľmi dobrú povahu a nikdy sa nerozčuľuje.
修理	at reparere; at fikse	Efter reparationen kan min computer igen fungere normalt.	korjata	Korjauksen jälkeen tietokoneeni toimii taas normaalisti.	opravit	Po opravě můj počítač zase funguje normálně.	opraviť	Po oprave môj počítač zasa funguje normálne.
许多	mange; en masse	Der er mange skraldespande på gaden.	moni; paljon	Kadulla on paljon roskakoreja.	mnoho; hodně	Na ulici je mnoho odpadkových košů.	mnoho; veľa	Na ulici je veľa odpadkových košov.
学期	et semester; en termin	Dette semester valgte jeg mange fag, blandt andet kunst, historie og økonomi.	lukukausi	Tällä lukukaudella valitsin monia kursseja, mukaan lukien taidetta, historiaa ja taloustiedettä.	semestr; pololetí	Tento semestr jsem si zapsal mnoho kurzů, včetně umění, historie a ekonomie.	semester; polrok	Tento semester som si zapísal veľa kurzov vrátane umenia, histórie a ekonómie.
呀	udråbspartikel	Åh, det sner!	yllätyspartikula	Ahaa, sataa lunta!	částice překvapení	Jé, sněží!	častica prekvapenia	Jéj, sneží!
压力	pres; stress	Han har haft meget arbejdspres på det seneste.	paine; stressi	Hänellä on viime aikoina ollut paljon työpaineita.	tlak; stres	V poslední době má v práci velký tlak.	tlak; stres	V poslednom čase má v práci veľký tlak.
牙膏	tandpasta	Tandpastaen er brugt op, lad os købe noget i morgen.	hammastahna	Hammastahna loppui, ostetaan sitä huomenna.	zubní pasta	Zubní pasta došla, zítra ji koupíme.	zubná pasta	Zubná pasta sa minula, zajtra ju kúpime.
亚洲	Asien	Kina er et asiatisk land.	Aasia	Kiina on aasialainen maa.	Asie	Čína je asijská země.	Ázia	Čína je ázijská krajina.
严格	streng	Læreren stiller meget strenge krav til os.	tiukka	Opettaja on meille vaatimuksissaan hyvin tiukka.	přísný	Učitel na nás má velmi přísné požadavky.	prísny	Učiteľ má na nás veľmi prísne požiadavky.
严重	alvorlig	Hans sygdom er alvorlig.	vakava	Hänen sairautensa on vakava.	vážný	Jeho nemoc je vážná.	vážny	Jeho choroba je vážna.
盐	salt	Der er kommet for meget salt i, maden er lidt salt.	suola	Suolaa tuli liikaa, ruoka on vähän suolaista.	sůl	Je tam příliš mnoho soli, jídlo je trochu slané.	soľ	Je tam priveľa soli, jedlo je trochu slané.
研究	at undersøge; forskning	Han undersøger dette problem.	tutkia; tutkimus	Hän tutkii tätä ongelmaa.	zkoumat; výzkum	Zkoumá tento problém.	skúmať; výskum	Skúma tento problém.
演出	en forestilling; at optræde	Ved den første forestilling var han meget nervøs.	esitys; esiintyä	Ensimmäisessä esityksessä hän oli hyvin hermostunut.	představení; vystoupit	Při prvním vystoupení byl velmi nervózní.	predstavenie; vystúpiť	Pri prvom vystúpení bol veľmi nervózny.
演员	en skuespiller	Han er en berømt skuespiller.	näyttelijä	Hän on kuuluisa näyttelijä.	herec; herečka	Je slavný herec.	herec; herečka	Je slávny herec.
眼镜	briller	Han har et par sorte briller på.	silmälasit	Hänellä on mustat silmälasit.	brýle	Má na sobě černé brýle.	okuliare	Má na sebe čierne okuliare.
阳光	sollys; solskin	Sollyset kom ind i rummet gennem vinduet.	auringonvalo	Auringonvalo tuli huoneeseen ikkunasta.	sluneční světlo	Sluneční světlo vešlo do pokoje oknem.	slnečné svetlo	Slnečné svetlo vošlo do izby cez okno.
养成	at danne; at udvikle	Jeg har haft denne vane siden barndommen.	muodostaa; kehittää	Olen kehittänyt tämän tavan jo lapsesta asti.	vypěstovat; vytvořit	Tento zvyk jsem si vypěstoval už od dětství.	vypestovať; vytvoriť	Tento zvyk som si vypestoval už od detstva.
样子	udseende; stil	Denne kjoles stil er ret god.	ulkonäkö; tyyli	Tämän vaatteen tyyli on oikein hyvä.	vzhled; styl	Styl těchto šatů je velmi dobrý.	vzhľad; štýl	Štýl týchto šiat je veľmi dobrý.
邀请	at invitere; en invitation	Han afslog alles invitation.	kutsua; kutsu	Hän kieltäytyi kaikkien kutsusta.	pozvat; pozvání	Odmítl pozvání všech.	pozvať; pozvanie	Odmietol pozvanie všetkých.
要是	hvis	Hvis du kommer først, så vent lidt på mig.	jos	Jos tulet ensin, odota minua hetki.	jestli; pokud	Pokud přijdeš první, chvíli na mě počkej.	ak; keby	Ak prídeš prvý, chvíľu ma počkaj.
钥匙	en nøgle	Jeg glemte at tage nøglen med i dag.	avain	Unohdin ottaa avaimen mukaan tänään.	klíč	Dnes jsem si zapomněl vzít klíč.	kľúč	Dnes som si zabudol vziať kľúč.
也许	måske	Han kommer måske ikke.	ehkä	Hän ei ehkä tule.	možná	Možná nepřijde.	možno	Možno nepríde.
叶子	et blad	Foråret er kommet, og de små træer har fået nye blade.	lehti	Kevät on tullut, ja pieniin puihin on kasvanut uusia lehtiä.	list	Jaro je tady a mladým stromům vyrostly nové listy.	list	Jar je tu a mladým stromom vyrástli nové listy.
页	en side	Slå venligst op på side ti.	sivu	Käännä sivulle kymmenen, ole hyvä.	strana	Prosím, nalistujte stranu deset.	strana	Prosím, nalistujte stranu desať.
一切	alt	Mor har ansvaret for alt derhjemme.	kaikki	Äiti vastaa kaikesta kotona.	všechno; vše	Mamka je doma zodpovědná za všechno.	všetko	Mama je doma zodpovedná za všetko.
以	at tage som; med	Tag venligst denne sætning som eksempel.	ottaa esimerkiksi; käyttäen	Ota tämä lause esimerkiksi.	brát jako; pomocí	Vezměte prosím tuto větu jako příklad.	brať ako; pomocou	Prosím, vezmite túto vetu ako príklad.
以为	at tro; at mene	Jeg troede, at du allerede var gået.	luulla; ajatella	Luulin, että olit jo lähtenyt.	myslet si; domnívat se	Myslel jsem, že už jsi odešel.	myslieť si; domnievať sa	Myslel som si, že si už odišiel.
意见	en mening; et forslag	Jeg accepterer alle dine meninger.	mielipide; ehdotus	Hyväksyn kaikki mielipiteesi.	názor; návrh	Přijímám všechny tvé názory.	názor; návrh	Prijímam všetky tvoje názory.
艺术	kunst	Jeg er meget interesseret i kunst.	taide	Olen hyvin kiinnostunut taiteesta.	umění	Mám velký zájem o umění.	umenie	Veľmi sa zaujímam o umenie.
因此	derfor; som følge deraf	Han var syg, så han kom ikke til timen.	siksi; sen vuoksi	Hän oli sairas, joten hän ei tullut tunnille.	proto; tudíž	Byl nemocný, proto nepřišel na hodinu.	preto; v dôsledku toho	Bol chorý, preto neprišiel na hodinu.
引起	at forårsage; at føre til	Denne sag gjorde alle utilfredse.	aiheuttaa; johtaa	Tämä asia aiheutti kaikissa tyytymättömyyttä.	způsobit; vyvolat	Tato věc vyvolala u všech nespokojenost.	spôsobiť; vyvolať	Táto vec vyvolala u všetkých nespokojnosť.
印象	et indtryk	Han gjorde et meget godt indtryk på mig.	vaikutelma	Hän teki minuun erittäin hyvän vaikutelman.	dojem	Udělal na mě velmi dobrý dojem.	dojem	Urobil na mňa veľmi dobrý dojem.
赢	at vinde	Hvem vandt fodboldkampen i går?	voittaa	Kuka voitti eilisen jalkapallo-ottelun?	vyhrát	Kdo včera vyhrál fotbalový zápas?	vyhrať	Kto včera vyhral futbalový zápas?
应聘	at søge et job	Hun vil søge dette job.	hakea työpaikkaa	Hän haluaa hakea tätä työpaikkaa.	ucházet se o práci	Chce se ucházet o tuto práci.	uchádzať sa o prácu	Chce sa uchádzať o túto prácu.
勇敢	modig	Min storebror er en meget modig person.	rohkea	Isoveljeni on hyvin rohkea ihminen.	statečný; odvážný	Můj starší bratr je velmi statečný člověk.	statočný; odvážny	Môj starší brat je veľmi odvážny človek.
永远	for evigt; altid	Jeg vil aldrig glemme din hjælp til mig.	ikuisesti; aina	En koskaan unohda apuasi.	navždy; vždycky	Nikdy nezapomenu na tvou pomoc.	navždy; vždy	Nikdy nezabudnem na tvoju pomoc.
优点	en fordel; en stærk side	Man kan ikke sammenligne sine egne mangler med andres stærke sider.	etu; vahvuus	Ihmisen ei pidä verrata omia puutteitaan muiden vahvuuksiin.	výhoda; silná stránka	Člověk nemůže srovnávat své nedostatky se silnými stránkami druhých.	výhoda; silná stránka	Človek nemôže porovnávať svoje nedostatky so silnými stránkami druhých.
优秀	fremragende	Han er en fremragende læge.	erinomainen	Hän on erinomainen lääkäri.	vynikající	Je to vynikající lékař.	vynikajúci	Je to vynikajúci lekár.
幽默	humoristisk; humor	Professor Li taler med stor humor.	humoristinen; huumori	Professori Li puhuu hyvin humoristisesti.	humorný; humor	Profesor Li mluví velmi humorně.	humorný; humor	Profesor Li hovorí veľmi humorne.
尤其	især; særligt	Han kan lide at male, især kinesisk maleri.	erityisesti; varsinkin	Hän pitää maalaamisesta, erityisesti kiinalaisesta maalauksesta.	zejména; zvlášť	Rád maluje, zejména čínskou malbu.	najmä; obzvlášť	Rád maľuje, najmä čínsku maľbu.
由	af; ved	Denne aktivitet bliver arrangeret af os.	toimesta; kautta	Tämän tapahtuman järjestämme me.	pomocí; od	Tuto akci pořádáme my.	pomocou; od	Toto podujatie organizujeme my.
由于	på grund af	På grund af regnen blev kampen udskudt.	koska; johtuen	Sateen vuoksi ottelua siirrettiin.	kvůli; z důvodu	Kvůli dešti byl zápas odložen.	kvôli; z dôvodu	Kvôli dažďu bol zápas odložený.
邮局	et posthus	Posthuset åbner klokken ni om morgenen.	postitoimisto	Posti avaa aamulla yhdeksältä.	pošta	Pošta otevírá v devět ráno.	pošta	Pošta otvára o deviatej ráno.
友好	venlig	Min udlejer er meget venlig og hjælper mig ofte.	ystävällinen	Vuokranantajani on hyvin ystävällinen ja auttaa minua usein.	přátelský	Můj domácí je velmi přátelský a často mi pomáhá.	priateľský	Môj prenajímateľ je veľmi priateľský a často mi pomáha.
友谊	venskab	Der er et dybt venskab mellem os.	ystävyys	Meidän välillämme on syvä ystävyys.	přátelství	Je mezi námi hluboké přátelství.	priateľstvo	Je medzi nami hlboké priateľstvo.
有趣	interessant	Det er virkelig en interessant drøm!	kiinnostava	Se on todella kiinnostava uni!	zajímavý	To je opravdu zajímavý sen!	zaujímavý	To je naozaj zaujímavý sen!
于是	så; derfor	Jeg ville spørge ham om noget, så jeg ringede til ham.	joten; siksi	Halusin kysyä häneltä jotain, joten soitin hänelle.	tak; proto	Chtěl jsem se ho na něco zeptat, tak jsem mu zavolal.	tak; preto	Chcel som sa ho na niečo spýtať, tak som mu zavolal.
愉快	behagelig; glad	God weekend!	miellyttävä; iloinen	Hyvää viikonloppua!	příjemný; veselý	Přeji ti příjemný víkend!	príjemný; veselý	Prajem ti príjemný víkend!
与	med	Han er meget selvsikker og kan lide at konkurrere med andre.	kanssa	Hän on hyvin itsevarma ja pitää muiden kanssa kilpailemisesta.	s; se	Je velmi sebevědomý a rád soutěží s ostatními.	s; so	Je veľmi sebavedomý a rád súťaží s ostatnými.
羽毛球	badminton	Spiller du ofte badminton?	sulkapallo	Pelaatko usein sulkapalloa?	badminton	Hraješ často badminton?	bedminton	Hrávaš často bedminton?
语法	grammatik	Jeg lærte noget grundlæggende grammatik.	kielioppi	Opin hieman peruskielioppia.	gramatika	Naučil jsem se nějakou základní gramatiku.	gramatika	Naučil som sa trochu základnej gramatiky.
语言	et sprog	At lære et sprog kræver en vis forståelse af dets grammatik.	kieli	Kielen oppiminen vaatii jonkin verran ymmärrystä sen kieliopista.	jazyk	Učení se jazyku vyžaduje určité porozumění jeho gramatice.	jazyk	Učenie sa jazyka si vyžaduje určité pochopenie jeho gramatiky.
预习	at forberede en lektion	Forbered venligst teksten grundigt.	valmistautua oppituntiin	Valmistautukaa tekstiin huolellisesti.	připravit se na hodinu	Prosím, dobře si připravte text.	pripraviť sa na hodinu	Prosím, dobre si pripravte text.
原来	oprindelig; som før	Jeg bor stadig samme sted som før.	alkuperäinen; sama kuin ennen	Asun edelleen samassa paikassa kuin ennen.	původní; jako dřív	Stále bydlím na stejném místě jako dřív.	pôvodný; ako predtým	Stále bývam na tom istom mieste ako predtým.
原谅	at tilgive	Tilgiv venligst det, jeg lige sagde.	antaa anteeksi	Anna anteeksi se, mitä juuri sanoin.	odpustit	Prosím, odpusť mi, co jsem právě řekl.	odpustiť	Prosím, odpusť mi, čo som práve povedal.
原因	en grund; en årsag	Han forklarede grunden meget klart.	syy; aihe	Hän selitti syyn hyvin selvästi.	důvod; příčina	Vysvětlil důvod velmi jasně.	dôvod; príčina	Vysvetlil dôvod veľmi jasne.
约会	en date; en aftale	Hun begyndte at date Xiao Li.	treffit; tapaaminen	Hän alkoi seurustella Xiao Lin kanssa.	rande; schůzka	Začala chodit s Xiao Lim.	rande; schôdzka	Začala chodiť s Xiao Lim.
阅读	at læse; læsning	Jeg er ved at læse denne roman.	lukea; lukeminen	Luen parhaillaan tätä romaania.	číst; čtení	Právě čtu tento román.	čítať; čítanie	Práve čítam tento román.
云	en sky	Der er flere og flere skyer på himlen.	pilvi	Taivaalla on yhä enemmän pilviä.	mrak	Na obloze je čím dál více mraků.	oblak	Na oblohe je čoraz viac oblakov.
允许	at tillade	Tillad mig venligst at præsentere mig selv.	sallia; antaa lupa	Sallikaa minun esitellä itseni.	dovolit	Prosím, dovolte mi se představit.	dovoliť	Prosím, dovoľte mi predstaviť sa.
杂志	et magasin; et blad	Artiklerne i dette magasin er alle godt skrevet.	lehti; aikakauslehti	Tämän lehden artikkelit on kaikki kirjoitettu hyvin.	časopis	Články v tomto časopise jsou všechny dobře napsané.	časopis	Články v tomto časopise sú všetky dobre napísané.
咱们	vi; os	Hvor store er vores leveomkostninger denne måned?	me; meidät	Kuinka suuret ovat meidän elinkustannuksemme tässä kuussa?	my; nás	Kolik jsou naše životní náklady tento měsíc?	my; nás	Aké sú naše životné náklady tento mesiac?
暂时	midlertidigt; foreløbig	Han parkerede bilen midlertidigt i vejkanten.	väliaikaisesti; toistaiseksi	Hän pysäköi auton väliaikaisesti tien laitaan.	dočasně; zatím	Dočasně zaparkoval auto u krajnice.	dočasne; zatiaľ	Dočasne zaparkoval auto pri krajnici.
脏	beskidt	Jeg kom ved et uheld til at gøre tøjet beskidt.	likainen	Vahingossa likaannutin vaatteeni.	špinavý	Nechtěně jsem si zašpinil oblečení.	špinavý	Nechtiac som si zašpinil oblečenie.
责任	et ansvar; en pligt	Vi har alle ansvar for denne sag.	vastuu; velvollisuus	Meillä kaikilla on vastuu tästä asiasta.	odpovědnost; povinnost	Za tuto věc jsme všichni zodpovědní.	zodpovednosť; povinnosť	Za túto vec sme všetci zodpovední.
增加	at øge; at stige	Antallet af studerende steg i år.	lisätä; kasvaa	Opiskelijoiden määrä kasvoi tänä vuonna.	zvýšit; zvýšit se	Počet studentů se letos zvýšil.	zvýšiť; zvýšiť sa	Počet študentov sa tento rok zvýšil.
占线	optaget på telefonen	Jeg ringede flere gange i træk, men hans telefon var optaget hver gang.	varattu puhelimessa	Soitin monta kertaa peräkkäin, mutta hänen puhelimensa oli aina varattu.	obsazeno na telefonu	Volal jsem několikrát po sobě, ale jeho telefon byl vždy obsazený.	obsadené na telefóne	Volal som niekoľkokrát po sebe, ale jeho telefón bol vždy obsadený.
招聘	at rekruttere; rekruttering	Virksomheden rekrutterer nye medarbejdere.	rekrytoida; rekrytointi	Yritys rekrytoi uusia työntekijöitä.	nabírat; nábor	Společnost nabírá nové zaměstnance.	nábor; prijímať zamestnancov	Spoločnosť prijíma nových zamestnancov.
照	ifølge; at følge	Følg denne plan.	mukaan; seurata	Toimi tämän suunnitelman mukaan.	podle; řídit se	Postupuj podle tohoto plánu.	podľa; riadiť sa	Postupuj podľa tohto plánu.
真正	ægte; sand	En ægte ven hjælper dig, når du møder vanskeligheder.	todellinen; aito	Todellinen ystävä auttaa sinua, kun kohtaat vaikeuksia.	skutečný; pravý	Opravdový přítel ti pomůže, když narazíš na potíže.	skutočný; pravý	Skutočný priateľ ti pomôže, keď narazíš na ťažkosti.
整理	at rydde op; at ordne	Ryd venligst op i bøgerne på bordet.	järjestää; siivota	Järjestä pöydällä olevat kirjat, ole hyvä.	uklidit; uspořádat	Prosím, ukliď knihy na stole.	upratať; usporiadať	Prosím, uprac knihy na stole.
正常	normal	Efter reparationen kan min computer igen fungere normalt.	normaali	Korjauksen jälkeen tietokoneeni toimii taas normaalisti.	normální	Po opravě můj počítač zase funguje normálně.	normálny	Po oprave môj počítač zasa funguje normálne.
正好	lige; præcis	Det, du siger, er lige det modsatte af det, jeg forstår.	juuri; täsmälleen	Se, mitä sanot, on juuri päinvastaista kuin mitä ymmärrän.	právě; přesně	To, co říkáš, je přesně opak toho, jak tomu rozumím.	práve; presne	To, čo hovoríš, je presný opak toho, ako tomu rozumiem.
正确	korrekt	Din vurdering er fuldstændig korrekt.	oikea	Arviosi on täysin oikea.	správný	Tvůj úsudek je zcela správný.	správny	Tvoj úsudok je úplne správny.
正式	officiel; formel	Nu begynder kampen officielt.	virallinen; muodollinen	Ottelu alkaa nyt virallisesti.	oficiální; formální	Zápas teď oficiálně začíná.	oficiálny; formálny	Zápas sa teraz oficiálne začína.
证明	at bevise; et bevis	Fakta beviser, at han har ret.	todistaa; todiste	Tosiasiat todistavat, että hän on oikeassa.	dokázat; důkaz	Fakta dokazují, že má pravdu.	dokázať; dôkaz	Fakty dokazujú, že má pravdu.
之	en af; af	Dette er en del af kinesisk kultur.	yksi jostakin; -n	Tämä on yksi osa kiinalaista kulttuuria.	jeden z; z	To je jedna ze součástí čínské kultury.	jeden z; z	Toto je jedna zo súčastí čínskej kultúry.
支持	at støtte	Vi to skal støtte hinanden.	tukea	Meidän kahden täytyy tukea toisiamme.	podporovat	My dva se musíme navzájem podporovat.	podporovať	My dvaja sa musíme navzájom podporovať.
知识	viden	Jeg har fået meget viden gennem læsning.	tieto; tietämys	Olen saanut paljon tietoa lukemalla.	znalosti	Čtením jsem získal mnoho znalostí.	vedomosti	Čítaním som získal veľa vedomostí.
值得	at være værd	Denne roman er værd at læse.	olla arvoinen	Tämä romaani kannattaa lukea.	stát za to	Tento román stojí za přečtení.	stáť za to	Tento román stojí za prečítanie.
植物	en plante	Denne slags plante har brug for meget sollys.	kasvi	Tämä kasvilaji tarvitsee paljon auringonvaloa.	rostlina	Tento druh rostliny potřebuje hodně slunečního světla.	rastlina	Tento druh rastliny potrebuje veľa slnečného svetla.
直接	direkte; lige	Efter arbejde tog han direkte hjem.	suoraan; välitön	Töiden jälkeen hän meni suoraan kotiin.	přímo	Po práci šel rovnou domů.	priamo	Po práci išiel rovno domov.
职业	et erhverv; en profession	Hvad er dit ideelle erhverv?	ammatti; ura	Mikä on ihanneammattisi?	povolání; profese	Jaké je tvoje ideální povolání?	povolanie; profesia	Aké je tvoje ideálne povolanie?
只好	ikke have andet valg end	Regnen var så kraftig, at vi måtte blive hjemme.	ei ole muuta vaihtoehtoa kuin	Sade oli niin rankkaa, että meidän oli pakko jäädä kotiin.	nemít jinou možnost než	Pršelo tak silně, že jsme museli zůstat doma.	nemať inú možnosť ako	Pršalo tak silno, že sme museli zostať doma.
只要	så længe	Så længe du arbejder hårdt, kan du helt sikkert gøre dette godt.	kunhan; niin kauan kuin	Kunhan teet kovasti töitä, pystyt varmasti hoitamaan tämän asian hyvin.	dokud; stačí když	Dokud budeš tvrdě pracovat, určitě to zvládneš dobře.	pokiaľ; stačí ak	Pokiaľ budeš usilovne pracovať, určite to zvládneš dobre.
指	at pege på; at påpege	Tak, fordi du påpegede min fejl.	osoittaa; huomauttaa	Kiitos, että huomautit virheestäni.	ukázat; upozornit	Děkuji, že jsi mě upozornil na mou chybu.	ukázať; upozorniť	Ďakujem, že si ma upozornil na moju chybu.
至少	mindst; i det mindste	Denne bygning er mindst hundrede meter høj.	ainakin; vähintään	Tämä rakennus on vähintään sata metriä korkea.	alespoň; nejméně	Tato budova je vysoká nejméně sto metrů.	aspoň; najmenej	Táto budova je vysoká najmenej sto metrov.
质量	kvalitet	Kvaliteten af disse sko er meget god.	laatu	Näiden kenkien laatu on erittäin hyvä.	kvalita	Kvalita těchto bot je velmi dobrá.	kvalita	Kvalita týchto topánok je veľmi dobrá.
重	tung	Denne kasse er meget tung.	raskas	Tämä laatikko on hyvin raskas.	těžký	Tato krabice je velmi těžká.	ťažký	Táto škatuľa je veľmi ťažká.
重点	hovedpunkt; fokus	Det, han lige sagde, er problemets hovedpunkt.	pääkohta; painopiste	Se, mitä hän juuri sanoi, on ongelman pääkohta.	hlavní bod; důraz	To, co právě řekl, je hlavní bod problému.	hlavný bod; dôraz	To, čo práve povedal, je hlavný bod problému.
重视	at værdsætte; at lægge vægt på	Forældre lægger stor vægt på deres børns uddannelse.	arvostaa; pitää tärkeänä	Vanhemmat pitävät lastensa koulutusta hyvin tärkeänä.	vážit si; přikládat důležitost	Rodiče přikládají velkou důležitost vzdělání dětí.	vážiť si; prikladať dôležitosť	Rodičia prikladajú veľkú dôležitosť vzdelaniu detí.
周围	omkring; omgivelser	Der er mange butikker omkring skolen.	ympärillä; ympäristö	Koulun ympärillä on paljon kauppoja.	kolem; okolí	Kolem školy je mnoho obchodů.	okolo; okolie	Okolo školy je veľa obchodov.
