simplified	TA	example_TA
讽刺	நையாண்டி செய்தல்	இந்த கட்டுரை சமூகப் பிரச்சினைகளை நையாண்டி செய்தது.
否定	மறுத்தல்	அவர் இந்த கூற்றை மறுத்தார்.
否认	மறுப்பது	தான் தவறு செய்ததாக அவர் மறுத்தார்.
幅	படத்திற்கான அளவுச்சொல்	சுவரில் ஒரு ஓவியம் தொங்குகிறது.
扶	தாங்கி உதவுதல்	தயவு செய்து முதியவரை சாலை கடக்கத் தாங்கி உதவுங்கள்.
服装	உடை	இந்த கடை குழந்தைகள் உடைகளை விற்கிறது.
辅导	துணை கற்பித்தல்	ஆசிரியர் வகுப்புக்குப் பிறகு மாணவர்களுக்கு துணை கற்பித்தார்.
复制	நகலெடுத்தல்	தயவு செய்து இந்த ஆவணத்தை நகலெடுக்கவும்.
妇女	பெண்கள்	இந்த மருத்துவமனை பெண்களுக்கு சேவை வழங்குகிறது.
改革	சீர்திருத்தம்	பள்ளி கற்பித்தல் சீர்திருத்தம் செய்து வருகிறது.
