simplified	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
信心	bizalom; önbizalom	Nagyon bízunk benned, biztosan menni fog.	încredere	Avem multă încredere în tine. Cu siguranță vei reuși.	увереност; доверие	Имаме голямо доверие в теб. Със сигурност ще се справиш.	povjerenje; samopouzdanje	Imamo puno povjerenja u tebe. Sigurno ćeš uspjeti.
兴奋	izgatott; izgalom	Amikor a gyerekek meghallották, hogy tavaszi kirándulásra mennek, izgatottan felugráltak.	entuziasmat; emoție	Când copiii au auzit că vor merge într-o excursie de primăvară, au sărit în sus de entuziasm.	развълнуван; вълнение	Когато децата чуха, че ще ходят на пролетна екскурзия, подскочиха развълнувано.	uzbuđen; uzbuđenje	Kad su djeca čula da idu na proljetni izlet, uzbuđeno su poskočila.
行	rendben; megfelelő	Ez így rendben van?	bine; acceptabil	Este bine așa?	става; добре	Така става ли?	u redu; prihvatljivo	Je li ovako u redu?
醒	felébredni; ébren lenni	Reggel hatkor már felébredtem.	a se trezi; a fi treaz	M-am trezit la șase dimineața.	събуждам се; буден съм	Събудих се още в шест сутринта.	probuditi se; biti budan	Probudio sam se u šest ujutro.
幸福	boldogság	Pénzen nem lehet boldogságot venni.	fericire	Banii nu pot cumpăra fericirea.	щастие	Парите не могат да купят щастие.	sreća	Novac ne može kupiti sreću.
性别	nem; biológiai nem	Kérjük, a nyomtatvány második sorába írja be a nemét.	gen; sex	Vă rugăm să completați sexul în al doilea rând al formularului.	пол	Моля, попълнете пола на втория ред във формуляра.	spol; rod	Molimo upišite spol u drugi redak obrasca.
性格	személyiség; jellem	A feleségemnek nagyon jó természete van, soha nem veszti el a türelmét.	personalitate; caracter	Soția mea are o fire foarte bună și nu își pierde niciodată cumpătul.	характер; личност	Съпругата ми има много добър характер и никога не избухва.	osobnost; karakter	Moja žena ima vrlo dobru narav i nikad ne gubi živce.
修理	javítani; megjavítás	A javítás után a számítógépem megint rendesen működik.	a repara; reparație	După reparație, calculatorul meu funcționează din nou normal.	поправям; ремонт	След ремонта компютърът ми отново работи нормално.	popraviti; popravak	Nakon popravka moje računalo opet radi normalno.
许多	sok; számos	Sok szemetes van az utcán.	mulți; multe	Pe stradă sunt multe coșuri de gunoi.	много; множество	На улицата има много кошчета за боклук.	mnogo; puno	Na ulici ima mnogo kanti za smeće.
学期	félév; szemeszter	Ebben a félévben sok kurzust vettem fel, köztük művészetet, történelmet és közgazdaságtant.	semestru	În acest semestru mi-am ales multe cursuri, inclusiv artă, istorie și economie.	семестър; учебен срок	Този семестър избрах много курсове, включително изкуство, история и икономика.	semestar; školsko polugodište	Ovaj sam semestar upisao mnogo kolegija, uključujući umjetnost, povijest i ekonomiju.
呀	ah; nahát	Nahát, esik a hó!	ah; vai	Vai, ninge!	ах; я	Ах, вали сняг!	ah; joj	Joj, pada snijeg!
压力	nyomás; stressz	Mostanában nagy rajta a munkahelyi nyomás.	presiune; stres	În ultima vreme are multă presiune la serviciu.	натиск; напрежение	Напоследък той е под голямо напрежение в работата.	pritisak; stres	U posljednje vrijeme ima velik pritisak na poslu.
牙膏	fogkrém	Elfogyott a fogkrém, vegyünk holnap.	pastă de dinți	Am rămas fără pastă de dinți, hai să cumpărăm mâine.	паста за зъби	Пастата за зъби свърши, хайде утре да купим.	pasta za zube	Potrošila se pasta za zube, kupimo je sutra.
亚洲	Ázsia	Kína ázsiai ország.	Asia	China este o țară asiatică.	Азия	Китай е азиатска държава.	Azija	Kina je azijska zemlja.
严格	szigorú	A tanár nagyon szigorú követelményeket támaszt velünk szemben.	strict	Profesorul are cerințe foarte stricte față de noi.	строг	Учителят има много строги изисквания към нас.	strog	Učitelj ima vrlo stroge zahtjeve prema nama.
严重	súlyos; komoly	A betegsége súlyos.	grav; serios	Boala lui este gravă.	сериозен; тежък	Болестта му е сериозна.	ozbiljan; težak	Njegova je bolest ozbiljna.
盐	só	Túl sok só került bele, az étel egy kicsit sós.	sare	S-a pus prea multă sare, mâncarea este puțin sărată.	сол	Сложена е твърде много сол, ястието е малко солено.	sol	Stavljeno je previše soli, jelo je malo slano.
研究	kutatni; kutatás	Éppen ezt a kérdést kutatja.	a cerceta; cercetare	El cercetează această problemă.	изследвам; изследване	Той изследва този въпрос.	istraživati; istraživanje	On istražuje taj problem.
演出	előadás; fellépés	Az első fellépésén nagyon izgult.	spectacol; reprezentație	La primul spectacol a fost foarte emoționat.	представление; изпълнение	При първото си представление той беше много притеснен.	nastup; predstava	Na prvom nastupu bio je vrlo nervozan.
演员	színész; előadó	Ő híres színész.	actor; interpret	El este un actor celebru.	актьор; изпълнител	Той е известен актьор.	glumac; izvođač	On je poznat glumac.
眼镜	szemüveg	Egy fekete szemüveget visel.	ochelari	El poartă o pereche de ochelari negri.	очила	Той носи чифт черни очила.	naočale	Nosi crne naočale.
阳光	napfény; napsütés	A napfény beáradt az ablakon át a szobába.	lumină solară; soare	Lumina soarelui a intrat în cameră pe fereastră.	слънчева светлина	Слънчевата светлина влезе в стаята през прозореца.	sunčeva svjetlost	Sunčeva svjetlost ušla je u sobu kroz prozor.
养成	kialakítani; szokássá tenni	Gyerekkorom óta kialakult bennem ez a szokás.	a forma; a dezvolta un obicei	Mi-am format acest obicei de mic.	изграждам; създавам навик	Още от малък съм изградил този навик.	razviti; steći naviku	Tu sam naviku stekao još odmalena.
样子	külső; fazon	Ennek a ruhának nagyon jó a fazonja.	aspect; model	Această haină arată foarte bine.	вид; фасон	Тази дреха има много хубав фасон.	izgled; kroj	Ovaj odjevni predmet ima vrlo lijep kroj.
邀请	meghívni; meghívás	Elutasította mindenki meghívását.	a invita; invitație	El a refuzat invitația tuturor.	каня; покана	Той отказа поканата на всички.	pozvati; poziv	Odbio je svačiji poziv.
要是	ha	Ha előbb érkezel, várj meg egy kicsit.	dacă	Dacă ajungi primul, așteaptă-mă puțin.	ако	Ако дойдеш пръв, почакай ме малко.	ako	Ako dođeš prvi, pričekaj me malo.
钥匙	kulcs	Ma elfelejtettem magammal vinni a kulcsot.	cheie	Astăzi am uitat să iau cheia.	ключ	Днес забравих да взема ключа.	ključ	Danas sam zaboravio ponijeti ključ.
也许	talán; lehet, hogy	Talán nem fog eljönni.	poate; probabil	Poate că nu va veni.	може би	Може би няма да дойде.	možda	Možda neće doći.
叶子	levél	Megjött a tavasz, és a kis fákon új levelek nőttek.	frunză	A venit primăvara, iar copăceii au făcut frunze noi.	листо	Дойде пролетта и по малките дървета пораснаха нови листа.	list	Došlo je proljeće i mladim su stablima izrasli novi listovi.
页	oldal	Kérem, lapozzon a tizedik oldalra.	pagină	Vă rog să deschideți la pagina a zecea.	страница	Моля, отворете на десета страница.	stranica	Molim vas, okrenite na desetu stranicu.
一切	minden	Otthon minden ügyért anya felel.	totul; toate	Mama este responsabilă de toate lucrurile din familie.	всичко	Мама отговаря за всичко вкъщи.	sve	Mama je odgovorna za sve stvari kod kuće.
以	valamiként venni; alapul venni	Kérem, vegye ezt a mondatot példának.	a lua drept; a folosi ca	Vă rog să luați această propoziție drept exemplu.	вземам за; използвам като	Моля, вземете това изречение за пример.	uzeti kao; koristiti kao	Molim vas, uzmite ovu rečenicu kao primjer.
以为	azt hinni; gondolni	Azt hittem, már elmentél.	a crede; a considera	Am crezut că ai plecat deja.	мисля; смятам	Мислех, че вече си тръгнал.	misliti; vjerovati	Mislio sam da si već otišao.
意见	vélemény; javaslat	Minden véleményedet elfogadom.	opinie; sugestie	Îți accept toate opiniile.	мнение; предложение	Приемам всички твои мнения.	mišljenje; prijedlog	Prihvaćam sva tvoja mišljenja.
艺术	művészet	Nagyon érdekel a művészet.	artă	Sunt foarte interesat de artă.	изкуство	Много се интересувам от изкуство.	umjetnost	Jako me zanima umjetnost.
因此	ezért; emiatt	Beteg volt, ezért nem jött órára.	prin urmare; de aceea	A fost bolnav, de aceea nu a venit la curs.	затова; следователно	Той беше болен, затова не дойде на час.	stoga; zato	Bio je bolestan, zato nije došao na nastavu.
引起	okozni; kiváltani	Ez az ügy mindenki elégedetlenségét kiváltotta.	a provoca; a cauza	Acest lucru a provocat nemulțumirea tuturor.	предизвиквам; причинявам	Това предизвика недоволството на всички.	izazvati; prouzročiti	Ta je stvar izazvala nezadovoljstvo svih.
印象	benyomás	Nagyon jó benyomást tett rám.	impresie	Mi-a lăsat o impresie foarte bună.	впечатление	Той ми остави много добро впечатление.	dojam	Ostavio je vrlo dobar dojam na mene.
赢	nyerni	Ki nyerte meg a tegnapi futballmérkőzést?	a câștiga	Cine a câștigat meciul de fotbal de ieri?	печеля; побеждавам	Кой спечели вчерашния футболен мач?	pobijediti; osvojiti	Tko je pobijedio u jučerašnjoj nogometnoj utakmici?
应聘	állásra jelentkezni	Erre az állásra szeretne jelentkezni.	a candida; a aplica pentru un post	Ea vrea să candideze pentru acest post.	кандидатствам за работа	Тя иска да кандидатства за тази работа.	prijaviti se za posao	Želi se prijaviti za taj posao.
勇敢	bátor	A bátyám nagyon bátor ember.	curajos	Fratele meu mai mare este un om foarte curajos.	смел	По-големият ми брат е много смел човек.	hrabar	Moj stariji brat vrlo je hrabar čovjek.
永远	örökké; mindig	Soha nem fogom elfelejteni, hogy segítettél nekem.	pentru totdeauna; mereu	Nu voi uita niciodată ajutorul tău.	завинаги; винаги	Никога няма да забравя помощта ти към мен.	zauvijek; uvijek	Nikada neću zaboraviti tvoju pomoć.
优点	előny; erősség	Az ember nem hasonlíthatja a saját hibáit mások erősségeihez.	avantaj; punct forte	Nu poți compara propriile lipsuri cu punctele forte ale altora.	предимство; силна страна	Човек не бива да сравнява своите недостатъци с предимствата на другите.	prednost; jaka strana	Čovjek ne može uspoređivati svoje nedostatke s tuđim prednostima.
优秀	kiváló; kitűnő	Ő kiváló orvos.	excelent; remarcabil	El este un medic excelent.	отличен; изключителен	Той е отличен лекар.	izvrstan; odličan	On je izvrstan liječnik.
幽默	humor; humoros	Li professzor nagyon humorosan beszél.	umor; umoristic	Profesorul Li vorbește cu mult umor.	хумор; хумористичен	Професор Ли говори с много чувство за хумор.	humor; duhovit	Profesor Li govori vrlo duhovito.
尤其	különösen; főleg	Szeret festeni, különösen kínai festményeket.	mai ales; în special	Îi place să picteze, mai ales pictură chineză.	особено; най-вече	Той обича да рисува, особено китайска живопис.	osobito; posebno	Voli slikati, osobito kinesko slikarstvo.
由	által; szervezésében	Ezt az eseményt mi szervezzük.	de către; prin	Acest eveniment este organizat de noi.	от; чрез	Това събитие се организира от нас.	od strane; u organizaciji	Taj događaj organiziramo mi.
由于	miatt; következtében	Az eső miatt a mérkőzést elhalasztották.	din cauza; datorită	Din cauza ploii, meciul a fost amânat.	поради; заради	Поради дъжда мачът беше отложен.	zbog; uslijed	Zbog kiše je utakmica odgođena.
邮局	posta; postahivatal	A posta reggel kilenckor nyit.	poștă; oficiu poștal	Oficiul poștal se deschide la ora nouă dimineața.	поща; пощенски клон	Пощата отваря в девет сутринта.	pošta	Pošta se otvara u devet ujutro.
友好	barátságos	A főbérlőm nagyon barátságos, és gyakran segít nekem.	prietenos	Proprietarul meu este foarte prietenos și mă ajută des.	приятелски; дружелюбен	Хазяинът ми е много дружелюбен и често ми помага.	prijateljski; ljubazan	Moj stanodavac je vrlo ljubazan i često mi pomaže.
友谊	barátság	Mély barátság van közöttünk.	prietenie	Între noi există o prietenie profundă.	приятелство	Между нас има дълбоко приятелство.	prijateljstvo	Među nama postoji duboko prijateljstvo.
有趣	érdekes	Ez igazán érdekes álom!	interesant	Acesta este într-adevăr un vis interesant!	интересен	Това наистина е интересен сън!	zanimljiv	Ovo je zaista zanimljiv san!
于是	így; ezért	Volt valami, amit meg akartam kérdezni tőle, ezért felhívtam.	așadar; deci	Aveam ceva să-l întreb, așa că l-am sunat.	затова; така че	Имах нещо да го питам, затова му се обадих.	stoga; zato	Htio sam ga nešto pitati, pa sam ga nazvao.
愉快	kellemes; vidám	Kellemes hétvégét kívánok!	plăcut; vesel	Îți doresc un weekend plăcut!	приятен; радостен	Пожелавам ти приятен уикенд!	ugodan; veseo	Želim ti ugodan vikend!
与	-val/-vel; együtt	Nagyon magabiztos, és szeret másokkal versenyezni.	cu	Este foarte încrezător și îi place să concureze cu alții.	с	Той е много уверен и обича да се състезава с други хора.	s; sa	Vrlo je samouvjeren i voli se natjecati s drugima.
羽毛球	tollaslabda	Gyakran tollaslabdázol?	badminton	Joci des badminton?	бадминтон	Често ли играеш бадминтон?	badminton	Igraš li često badminton?
语法	nyelvtan	Tanultam néhány alapvető nyelvtani ismeretet.	gramatică	Am învățat câteva cunoștințe de bază de gramatică.	граматика	Научих някои основни знания по граматика.	gramatika	Naučio sam neke osnove gramatike.
语言	nyelv	Egy nyelv tanulásához valamennyire érteni kell a nyelvtanát.	limbă	Pentru a învăța o limbă, este nevoie de o anumită înțelegere a gramaticii ei.	език	За да учиш един език, трябва да имаш известно разбиране за неговата граматика.	jezik	Za učenje jezika potrebno je donekle razumjeti njegovu gramatiku.
预习	előre átnézni; órára készülni	Kérem, mindenki alaposan készüljön fel előre a szövegből.	a pregăti lecția dinainte	Vă rog să pregătiți bine textul dinainte.	подготвям урок предварително	Моля, всички подгответе добре текста предварително.	pripremiti lekciju unaprijed	Molim vas, dobro unaprijed pripremite tekst.
原来	eredeti; korábbi	Még mindig a régi helyemen lakom.	inițial; de dinainte	Încă locuiesc în același loc ca înainte.	първоначален; предишен	Все още живея на предишното място.	prvotan; prijašnji	Još uvijek živim na istom mjestu kao prije.
原谅	megbocsátani	Kérlek, bocsásd meg, amit az előbb mondtam.	a ierta	Vă rog să iertați ce am spus adineauri.	прощавам	Моля, прости ми за думите, които казах преди малко.	oprostiti	Molim te, oprosti mi ono što sam maločas rekao.
原因	ok; indok	Nagyon világosan elmagyarázta az okot.	motiv; cauză	A explicat motivul foarte clar.	причина	Той обясни причината много ясно.	razlog; uzrok	Vrlo je jasno objasnio razlog.
约会	randevú; időpont	Elkezdett randizni Xiao Livel.	întâlnire; programare	Ea a început să se întâlnească cu Xiao Li.	среща; уговорка	Тя започна да излиза с Малкия Ли.	spoj; sastanak	Počela je izlaziti s Xiaom Lijem.
阅读	olvasni; olvasás	Éppen ezt a regényt olvasom.	a citi; lectură	Citesc acest roman.	чета; четене	В момента чета този роман.	čitati; čitanje	Upravo čitam ovaj roman.
云	felhő	Egyre több felhő van az égen.	nor	Pe cer sunt tot mai mulți nori.	облак	На небето има все повече облаци.	oblak	Na nebu je sve više oblaka.
允许	megengedni; engedélyezni	Kérem, engedje meg, hogy bemutatkozzam.	a permite; a îngădui	Vă rog să-mi permiteți să mă prezint.	позволявам; разрешавам	Моля, позволете ми да се представя.	dopustiti; omogućiti	Molim vas, dopustite mi da se predstavim.
杂志	magazin; folyóirat	A magazinban lévő cikkek mind nagyon jól vannak megírva.	revistă	Articolele din această revistă sunt toate bine scrise.	списание	Статиите в това списание са написани много добре.	časopis	Članci u ovom časopisu svi su dobro napisani.
咱们	mi; minket	Mennyi a megélhetési költségünk ebben a hónapban?	noi; nouă	Cât sunt cheltuielile noastre de trai luna aceasta?	ние; нас	Колко са нашите разходи за живот този месец?	mi; nas	Koliki su naši životni troškovi ovog mjeseca?
暂时	ideiglenesen; átmenetileg	Ideiglenesen az út szélén parkolta le az autót.	temporar; pentru moment	Și-a parcat temporar mașina pe marginea drumului.	временно; засега	Той временно паркира колата край пътя.	privremeno; zasad	Privremeno je parkirao auto uz cestu.
脏	piszkos; koszos	Véletlenül bepiszkítottam a ruhámat.	murdar	Din greșeală mi-am murdărit hainele.	мръсен	Без да искам изцапах дрехите си.	prljav	Slučajno sam zaprljao odjeću.
责任	felelősség; kötelesség	Ebben az ügyben mindannyian felelősek vagyunk.	responsabilitate; datorie	Toți suntem responsabili pentru această chestiune.	отговорност; задължение	Всички ние носим отговорност за този въпрос.	odgovornost; dužnost	Svi smo odgovorni za ovu stvar.
增加	növekedni; növelni	Idén nőtt a diákok száma.	a crește; a mări	Numărul elevilor a crescut anul acesta.	увеличавам; нараствам	Броят на учениците се увеличи тази година.	povećati; porasti	Broj učenika povećao se ove godine.
占线	foglalt telefonvonal	Többször egymás után hívtam, de a telefonja végig foglalt volt.	ocupat la telefon	Am sunat de câteva ori la rând, iar telefonul lui era mereu ocupat.	заето по телефона	Обадих се няколко пъти поред, но телефонът му все беше зает.	zauzeto na telefonu	Zvao sam nekoliko puta zaredom, ali telefon mu je stalno bio zauzet.
招聘	toborozni; munkaerő-felvétel	A cég új alkalmazottakat vesz fel.	a recruta; recrutare	Compania angajează noi salariați.	набирам персонал; подбор	Фирмата набира нови служители.	zapošljavati; regrutacija	Tvrtka zapošljava nove zaposlenike.
照	szerint; alapján	Csináld ezt a tervet követve.	după; conform	Urmează acest plan.	според; по	Действай според този план.	prema; po	Postupi prema ovom planu.
真正	igazi; valódi	Az igazi barát segít, amikor nehézségekbe ütközöl.	adevărat; real	Un prieten adevărat te va ajuta când întâmpini dificultăți.	истински; реален	Истинският приятел ще ти помогне, когато срещнеш трудности.	istinski; pravi	Pravi prijatelj pomoći će ti kad naiđeš na poteškoće.
整理	rendet rakni; rendezni	Kérem, rendezze el az asztalon lévő könyveket.	a aranja; a face ordine	Vă rog să aranjați cărțile de pe masă.	подреждам	Моля, подреди книгите на масата.	pospremiti; urediti	Molim te, pospremi knjige na stolu.
正常	normális; rendes	A javítás után a számítógépem megint rendesen működik.	normal	După reparație, calculatorul meu funcționează din nou normal.	нормален	След ремонта компютърът ми отново работи нормално.	normalan	Nakon popravka moje računalo opet radi normalno.
正好	pont; éppen	Amit mondtál, pont az ellenkezője annak, ahogy én értem.	exact; tocmai	Ceea ce ai spus este exact opusul a ceea ce înțeleg eu.	точно; тъкмо	Това, което каза, е точно обратното на това, което аз разбирам.	upravo; točno	Ono što si rekao upravo je suprotno od onoga što ja razumijem.
正确	helyes; pontos	A megítélésed teljesen helyes.	corect	Judecata ta este complet corectă.	правилен; точен	Преценката ти е напълно правилна.	točan; ispravan	Tvoja je procjena potpuno točna.
正式	hivatalos; formális	Most hivatalosan elkezdődik a mérkőzés.	oficial; formal	Acum meciul începe oficial.	официален; формален	Сега състезанието официално започва.	služben; formalan	Utakmica sada službeno počinje.
证明	bizonyítani; bizonyíték	A tények bizonyítják, hogy igaza van.	a dovedi; dovadă	Faptele dovedesc că el are dreptate.	доказвам; доказателство	Фактите доказват, че той е прав.	dokazati; dokaz	Činjenice dokazuju da je u pravu.
之	egyik; -nak/-nek	Ez a kínai kultúra egyik része.	unul dintre; al	Aceasta este una dintre părțile culturii chineze.	един от; на	Това е една част от китайската култура.	jedan od; od	To je jedan dio kineske kulture.
支持	támogatni; támogatás	Nekünk kettőnknek támogatnunk kell egymást.	a susține; sprijin	Noi doi trebuie să ne susținem reciproc.	подкрепям; подкрепа	Ние двамата трябва да се подкрепяме взаимно.	podržati; podrška	Nas dvoje moramo se međusobno podržavati.
知识	tudás; ismeret	Olvasás közben sok tudást szereztem.	cunoștințe; cunoaștere	Am dobândit multe cunoștințe prin lectură.	знание; знания	Получих много знания чрез четене.	znanje	Čitanjem sam stekao mnogo znanja.
值得	megéri; érdemes	Ezt a regényt érdemes elolvasni.	a merita	Acest roman merită citit.	струва си; заслужава	Този роман си струва да се прочете.	vrijediti; zaslužiti	Ovaj roman vrijedi pročitati.
植物	növény	Ennek a növénynek sok napfényre van szüksége.	plantă	Acest tip de plantă are nevoie de multă lumină solară.	растение	Този вид растение се нуждае от много слънчева светлина.	biljka	Ovoj vrsti biljke treba mnogo sunčeve svjetlosti.
直接	közvetlen; egyenesen	Munka után egyenesen hazament.	direct	După serviciu, a mers direct acasă.	пряк; директен	След работа той се прибра направо вкъщи.	izravan; direktan	Nakon posla otišao je ravno kući.
职业	foglalkozás; szakma	Mi az ideális foglalkozásod?	profesie; ocupație	Care este cariera ta ideală?	професия; занятие	Каква е идеалната ти професия?	zanimanje; profesija	Koje je tvoje idealno zanimanje?
只好	kénytelen; nincs más választása	Annyira erősen esett az eső, hogy kénytelenek voltunk otthon maradni.	a nu avea de ales decât	Ploua atât de tare încât nu am avut de ales decât să rămânem acasă.	нямам друг избор, освен да	Дъждът беше толкова силен, че нямахме друг избор, освен да останем вкъщи.	nemati izbora nego	Kiša je bila toliko jaka da nismo imali izbora nego ostati kod kuće.
只要	amíg; feltéve, hogy	Ha keményen dolgozol, biztosan jól meg tudod csinálni ezt.	atât timp cât	Atât timp cât muncești din greu, sigur vei putea face bine acest lucru.	стига да	Стига да се стараеш, със сигурност ще можеш да направиш това добре.	sve dok; pod uvjetom da	Sve dok se trudiš, sigurno ćeš to moći dobro napraviti.
指	rámutatni; mutatni	Köszönöm, hogy rámutattál a hibámra.	a indica; a arăta	Îți mulțumesc că mi-ai indicat greșeala.	посочвам; соча	Благодаря ти, че посочи грешката ми.	pokazati; uputiti	Hvala ti što si ukazao na moju pogrešku.
至少	legalább	Ez az épület legalább száz méter magas.	cel puțin	Această clădire are cel puțin o sută de metri înălțime.	поне; най-малко	Тази сграда е висока поне сто метра.	najmanje	Ova zgrada visoka je najmanje sto metara.
质量	minőség	Ennek a pár cipőnek nagyon jó a minősége.	calitate	Calitatea acestor pantofi este foarte bună.	качество	Качеството на тези обувки е много добро.	kvaliteta	Kvaliteta ovih cipela vrlo je dobra.
重	nehéz	Ez a doboz nagyon nehéz.	greu	Această cutie este foarte grea.	тежък	Тази кутия е много тежка.	težak	Ova kutija je vrlo teška.
重点	lényeg; fókusz	Amit az előbb mondott, az a probléma lényege.	punct principal; accent	Ceea ce a spus adineauri este punctul principal al problemei.	основна точка; фокус	Това, което той каза преди малко, е същността на проблема.	glavna točka; fokus	Ono što je maločas rekao srž je problema.
重视	nagyra értékelni; fontosnak tartani	A szülők nagy jelentőséget tulajdonítanak a gyermekeik oktatásának.	a prețui; a acorda importanță	Părinții acordă o mare importanță educației copiilor.	ценя; придавам значение на	Родителите отдават голямо значение на образованието на децата.	cijeniti; pridavati važnost	Roditelji pridaju veliku važnost obrazovanju djece.
周围	körül; környék	Az iskola körül sok bolt van.	în jur; împrejurimi	În jurul școlii sunt multe magazine.	около; околност	Около училището има много магазини.	oko; okolica	Oko škole ima mnogo trgovina.
主意	ötlet; terv	Ha van valamilyen jó ötleted, mondd el.	idee; plan	Dacă ai vreo idee bună, spune-ne-o.	идея; план	Ако имаш добра идея, кажи да я чуем.	ideja; plan	Ako imaš kakvu dobru ideju, reci da čujemo.
祝贺	gratulálni; gratuláció	Gratulálok a jó eredményeitekhez.	a felicita; felicitări	Felicitări pentru rezultatele voastre bune.	поздравявам; поздравления	Поздравления за добрите ви резултати.	čestitati; čestitke	Čestitam vam na dobrim rezultatima.
著名	híres; ismert	Ő híres színész.	celebru; renumit	El este un actor celebru.	известен; прочут	Той е известен актьор.	poznat; slavan	On je poznat glumac.
专门	kifejezetten; külön	Kifejezetten azért jöttem, hogy téged lássalak.	special; anume	Am venit special să te văd.	специално; нарочно	Дойдох специално да те видя.	posebno; naročito	Došao sam posebno da te vidim.
专业	szak; szakterület	Az egyetemen jog szakra járok.	specializare; domeniu de studiu	La universitate studiez dreptul ca specializare.	специалност; професионална област	В университета уча право като специалност.	studijski smjer; struka	Na sveučilištu studiram pravo kao smjer.
转	fordulni; kanyarodni	Az első útkereszteződésnél fordulj balra, és meglátod a kórházat.	a vira; a se întoarce	Virează la stânga la prima intersecție din față și vei vedea spitalul.	завивам; обръщам	На първото кръстовище отпред завий наляво и ще видиш болницата.	skrenuti; okrenuti	Na prvom raskrižju ispred skreni lijevo i vidjet ćeš bolnicu.
赚	keresni; profitot termelni	Sokat keresett az üzlettel.	a câștiga; a face profit	A câștigat mulți bani din afaceri.	печеля; изкарвам пари	Той спечели доста пари от бизнес.	zaraditi; ostvariti dobit	Zaradio je dosta novca u poslu.
准确	pontos; precíz	A válaszod nagyon pontos.	exact; precis	Răspunsul tău este foarte precis.	точен; прецизен	Отговорът ти е много точен.	precizan; točan	Tvoj odgovor je vrlo precizan.
准时	időben; pontosan	A megbeszélés pontosan kezdődött.	la timp; punctual	Ședința a început la timp.	навреме; точен	Събранието започна навреме.	na vrijeme; točan	Sastanak je počeo na vrijeme.
仔细	alapos; figyelmes	Nagyon alaposan végzi a dolgait.	atent; grijuliu	Ea face lucrurile foarte atent.	внимателен; старателен	Тя върши нещата много внимателно.	pažljiv; temeljit	Ona sve radi vrlo pažljivo.
自然	természet; természetes	Védenünk kell a természeti környezetet.	natură; natural	Trebuie să protejăm mediul natural.	природа; естествен	Трябва да защитаваме природната среда.	priroda; prirodan	Moramo štititi prirodni okoliš.
自信	önbizalom	Nagyon magabiztos, és szeret másokkal versenyezni.	încredere în sine	Este foarte încrezător și îi place să concureze cu alții.	самоувереност	Той е много уверен и обича да се състезава с други хора.	samopouzdanje	Vrlo je samouvjeren i voli se natjecati s drugima.
总结	összefoglalni; összegzés	Kérem, foglalja össze nekünk a sikerhez vezető tapasztalatait.	a rezuma; rezumat	Vă rugăm să ne rezumați experiența care v-a adus succesul.	обобщавам; обобщение	Моля, обобщете за нас своя успешен опит.	sažeti; sažetak	Molimo vas, sažmite nam iskustva koja su vas dovela do uspjeha.
租	bérelni	A cég közelében béreltem lakást.	a închiria	Am închiriat o locuință lângă companie.	наемам	Наех жилище близо до фирмата.	unajmiti	Unajmio sam stan blizu tvrtke.
最好	legjobb	Ő a legjobb barátom.	cel mai bun	Ea este cea mai bună prietenă a mea.	най-добър	Тя е най-добрата ми приятелка.	najbolji	Ona je moja najbolja prijateljica.
尊重	tisztelni; tisztelet	Az őszinte emberek megérdemlik a tiszteletünket.	a respecta; respect	Oamenii cinstiți merită respectul nostru.	уважавам; уважение	Честните хора заслужават нашето уважение.	poštovati; poštovanje	Pošteni ljudi zaslužuju naše poštovanje.
左右	körülbelül; nagyjából	Körülbelül negyvenévesnek néz ki.	aproximativ; cam	El pare să aibă cam patruzeci de ani.	около; приблизително	Той изглежда на около четиридесет години.	oko; približno	Izgleda kao da ima oko četrdeset godina.
作家	író; szerző	Olvastad már ennek az írónak a regényét?	scriitor; autor	Ai citit romanul acestui scriitor?	писател; автор	Чел ли си романа на този писател?	pisac; autor	Jesi li čitao roman ovog pisca?
作用	hatás; funkció	Ez a megfázás elleni gyógyszer rám nem nagyon hat.	efect; funcție	Acest medicament pentru răceală nu are prea mare efect asupra mea.	ефект; функция	Това лекарство за настинка няма особен ефект върху мен.	učinak; funkcija	Ovaj lijek protiv prehlade nema velik učinak na mene.
作者	szerző	A könyv szerzője nagyon híres.	autor	Autorul acestei cărți este foarte cunoscut.	автор	Авторът на тази книга е много известен.	autor	Autor ove knjige vrlo je poznat.
座	számlálószó épületekre és hidakra	Egy kis híd van a folyón.	clasificator pentru clădiri și poduri	Pe râu este un pod mic.	броителна дума за сгради и мостове	Над реката има малък мост.	klasifikator za zgrade i mostove	Preko rijeke je mali most.
座位	ülőhely; hely	Átadta a helyét egy idős embernek.	loc; scaun	El i-a cedat locul unui bătrân.	място; седалка	Той отстъпи мястото си на възрастен човек.	sjedalo; mjesto	Ustupio je svoje mjesto starijoj osobi.
