simplified	MS	example_MS
调剂	mengimbangi	Senaman boleh mengimbangi kehidupan yang tegang
调节	mengawal	Pendingin hawa boleh mengawal suhu dalaman
调解	menyelesaikan secara damai	Kakitangan komuniti membantu kedua-dua pihak menyelesaikan pertikaian secara damai
调料	perasa	Sup itu perlu ditambah sedikit perasa
挑拨	menghasut	Jangan menghasut hubungan antara rakan sekerja
挑衅	provokasi	Ucapan seperti ini jelas mengandungi provokasi
跳跃	melompat	Atlet itu melompat tiga kali berturut-turut
亭子	pondok	Di tepi tasik ada sebuah pondok kecil
停泊	berlabuh	Bot nelayan berlabuh di teluk
停顿	berhenti seketika	Dia berhenti seketika ketika bercakap
停滞	terhenti	Projek itu terhenti kerana kekurangan dana
挺拔	tinggi tegak	Pokok pain tumbuh tinggi tegak
通货膨胀	inflasi	Inflasi menaikkan kos sara hidup
通缉	dikehendaki	Polis sedang menyenaraikan suspek ini sebagai orang dikehendaki
通俗	mudah difahami	Bahasa buku ini sangat mudah difahami
通讯	komunikasi	Teknologi komunikasi moden berkembang dengan cepat
通用	serba guna	Pengecas jenis ini agak serba guna
同胞	saudara senegara	Saudara senegara di luar negara juga mengambil berat tentang pembangunan kampung halaman
同志	rakan seperjuangan	Rakan seperjuangan yang senior berkongsi pengalaman kerja
童话	cerita dongeng	Anak itu suka mendengar cerita dongeng sebelum tidur
铜	tembaga	Patung ini diperbuat daripada tembaga
统筹兼顾	menyelaraskan secara menyeluruh	Perancangan bandar perlu menyelaraskan kepentingan semua pihak secara menyeluruh
统计	mengira	Kami perlu mengira bilangan pendaftaran
统统	semuanya	Semua dokumen lama ini perlu diarkibkan
统治	memerintah	Dinasti ini memerintah selama tiga ratus tahun
投机	spekulasi	Dia memperoleh sejumlah wang melalui spekulasi
投票	mengundi	Penduduk akan mengambil bahagian dalam pengundian esok
投诉	membuat aduan	Pelanggan membuat aduan terhadap peniaga kepada platform
投降	menyerah kalah	Akhirnya tentera musuh memilih untuk menyerah kalah
投掷	melempar	Atlet itu berlatih melempar lembing
透露	mendedahkan	Dia tidak mendedahkan butiran mesyuarat
秃	botak	Dia sudah botak pada usia muda
突破	kejayaan besar	Penyelidikan itu mencapai kejayaan besar
图案	corak	Corak pada kain ini sangat cantik
徒弟	perantis	Guru itu sedang mengajar perantis membaiki jam
涂抹	menyapu	Sila sapukan salap di sekitar luka
途径	saluran	Internet ialah saluran penting untuk mendapatkan maklumat
土壤	tanah	Tanah yang subur sesuai untuk menanam sayur
团结	bersatu	Pasukan mesti bersatu dan bekerjasama
团体	kumpulan	Kumpulan ini kerap mengadakan aktiviti
团圆	berkumpul semula	Tahun Baru Cina ialah masa keluarga berkumpul semula
推测	menjangka	Pakar menjangka harga akan terus naik
推翻	menggulingkan	Rakyat menggulingkan sistem lama
推理	penaakulan	Novel ini penuh dengan plot penaakulan
推论	kesimpulan	Kesimpulan ini masih memerlukan bukti untuk menyokongnya
推销	memasarkan	Dia bertanggungjawab memasarkan produk baharu
吞吞吐吐	teragak-agak	Dia teragak-agak ketika menjawab soalan
托运	mendaftar masuk bagasi	Penumpang boleh mendaftar masuk bagasi di kaunter
拖延	menangguhkan	Jangan lagi menangguhkan masa pembayaran
脱离	terpisah	Teori tidak boleh terpisah daripada realiti
妥当	wajar	Susunan ini sangat wajar
妥善	dengan baik	Sila simpan dokumen penting dengan baik
妥协	kompromi	Kedua-dua pihak akhirnya mencapai kompromi
椭圆	elips	Orbit bumi hampir berbentuk elips
唾弃	mengecam	Masyarakat mengecam penipuan seperti ini
哇	wah	Wah, jambatan ini sungguh megah
挖掘	menggali	Pasukan arkeologi sedang menggali makam purba
娃娃	anak patung	Gadis kecil itu memegang sebuah anak patung
瓦解	runtuh	Percanggahan dalaman menyebabkan pakatan itu runtuh
歪曲	memutarbelitkan	Laporan tidak sepatutnya memutarbelitkan fakta
外表	penampilan	Jangan menilai orang hanya berdasarkan penampilan
外行	orang awam	Saya benar-benar orang awam dalam hal undang-undang
外界	dunia luar	Syarikat jarang membalas kritikan dunia luar
外向	peramah	Dia berperwatakan peramah dan mempunyai ramai kawan
丸	butir ubat	Doktor memberinya beberapa butir ubat
完备	lengkap	Set bahan ini sangat lengkap
完毕	selesai	Mesyuarat sudah selesai
玩弄	mempermainkan	Jangan mempermainkan perasaan orang lain
玩意儿	benda baharu	Apakah benda baharu ini
顽固	degil	Sikapnya sangat degil
顽强	tabah	Orang yang cedera itu menunjukkan ketabahan yang tinggi
惋惜	berasa sayang	Semua orang berasa sayang atas kegagalan itu
挽回	memulihkan	Dia berusaha memulihkan kerugian syarikat
挽救	menyelamatkan	Doktor berjaya menyelamatkan nyawa pesakit
万分	amat	Saya amat berterima kasih atas bantuan kamu
往常	biasa	Hari ini lebih panas daripada biasa
往事	peristiwa lalu	Orang tua itu sering mengenang peristiwa lalu
妄想	berangan-angan	Dia berangan-angan menjadi kaya dalam semalam
危机	krisis	Syarikat sedang menghadapi krisis serius
威风	gagah	Jeneral itu kelihatan gagah di atas kuda
威力	kuasa	Senjata jenis ini mempunyai kuasa yang besar
威望	wibawa	Dia mempunyai wibawa besar di kampung
威信	kredibiliti	Pemimpin mesti mengekalkan kredibiliti kerajaan
微不足道	tidak signifikan	Kerugian kecil ini tidak signifikan
微观	mikro	Kursus ini memperkenalkan ekonomi mikro
为难	menyusahkan	Jangan lagi menyusahkan pelayan itu
为期	berlangsung	Latihan itu berlangsung selama tiga bulan
唯独	hanya kecuali	Semua orang sudah tiba, hanya dia yang tidak datang
维持	mengekalkan	Polis mengekalkan ketertiban di tempat kejadian
维护	mempertahankan	Kita mesti mempertahankan hak dan kepentingan sah kita
维生素	vitamin	Buah-buahan mengandungi vitamin yang banyak
违背	melanggar	Keputusan ini melanggar semangat kontrak
伪造	memalsukan	Ada orang memalsukan tandatangannya
委托	mengamanahkan	Pelanggan mengamanahkan peguam menangani kes itu
委员	ahli jawatankuasa	Setiap ahli jawatankuasa menyatakan pendapat
卫星	satelit	Satelit itu memasuki orbit yang dirancang
喂	memberi makan	Anak itu sedang memberi makan anak kucing
慰问	menziarahi	Pemimpin pergi ke hospital untuk menziarahi orang yang cedera
未免	terlalu	Keperluan ini terlalu tinggi
畏惧	takut	Dia tidak pernah takut menghadapi kesukaran
蔚蓝	biru langit	Langit menampilkan warna biru langit
温带	zon sederhana	Tumbuhan ini sesuai dengan iklim zon sederhana
温和	sederhana	Pendirian dasarnya agak sederhana
文凭	diploma	Pekerjaan ini memerlukan diploma universiti
文物	artifak budaya	Muzium mempamerkan artifak budaya yang berharga
文献	literatur	Makalah itu memetik banyak literatur
文雅	anggun	Tingkah lakunya anggun
文艺	sastera dan seni	Bandar ini mempunyai suasana sastera dan seni yang kuat
问世	dilancarkan	Model telefon ini akan dilancarkan tidak lama lagi
窝	sarang	Di atas pokok ada sebuah sarang burung
乌黑	hitam pekat	Dia mempunyai rambut panjang yang hitam pekat
污蔑	memfitnah	Dia menafikan memfitnah pesaingnya
诬陷	difitnah	Bukti menunjukkan bahawa dia difitnah
无比	amat	Apabila mendengar berita itu, dia berasa amat teruja
无偿	percuma	Sukarelawan menyediakan perkhidmatan secara percuma
无耻	tidak tahu malu	Perbuatan menipu seperti ini sangat tidak tahu malu
无动于衷	tidak peduli	Menghadapi kritikan, dia tetap tidak peduli
无非	tidak lebih daripada	Dia berbuat begitu tidak lebih daripada mahu menjimatkan wang
无辜	tidak bersalah	Mahkamah menentukan bahawa dia tidak bersalah
无精打采	lesu	Hari ini dia kelihatan lesu
无赖	penyangak	Penduduk kampung tidak mahu berurusan dengan penyangak itu
无理取闹	membuat kacau tanpa alasan	Tolong jangan membuat kacau tanpa alasan di sini
无能为力	tidak berdaya	Menghadapi banjir, penduduk kampung tidak berdaya
无穷无尽	tiada penghujung	Gurun itu kelihatan tiada penghujung
无微不至	sangat teliti	Jururawat menjaga pesakit dengan sangat teliti
无忧无虑	tanpa risau	Kanak-kanak bermain tanpa risau di atas rumput
无知	kejahilan	Kejahilan bukan alasan untuk menolak pembelajaran
侮辱	menghina	Kata-katanya menghina pihak lain
武器	senjata	Senjata ini disimpan secara berpusat
武侠	sastera seni mempertahankan diri	Sejak kecil dia suka membaca novel seni mempertahankan diri
武装	bersenjata	Kawasan sempadan memperkuat rondaan bersenjata
舞蹈	tarian	Tarian ini mempunyai ciri etnik yang kuat
务必	mesti	Sila pastikan tiba tepat pada waktunya
物美价廉	berkualiti dan murah	Barang di kedai ini berkualiti dan murah
物业	pengurusan hartanah	Pengurusan hartanah bertanggungjawab atas pembaikan kawasan perumahan
物资	bekalan	Bekalan bantuan sudah dihantar ke kawasan bencana
误差	ralat	Hasil pengukuran mempunyai sedikit ralat
误解	salah faham	Kedua-dua pihak menghapuskan salah faham melalui komunikasi
夕阳	matahari terbenam	Matahari terbenam mewarnai langit menjadi keemasan
昔日	dahulu	Kampung kecil dahulu telah berubah menjadi bandar
溪	anak sungai	Anak sungai mengalir melalui pergunungan
熄灭	memadamkan	Sila padamkan lilin itu
牺牲	pengorbanan	Mereka membuat pengorbanan untuk menyelamatkan orang
膝盖	lutut	Lututnya cedera
习俗	adat	Tahun Baru Cina mempunyai banyak adat tradisional
媳妇	isteri	Isterinya bekerja di hospital
袭击	menyerang	Ribut menyerang bandar pesisir
喜闻乐见	disukai ramai	Rancangan seperti ini disukai ramai oleh penonton
喜悦	gembira	Senyuman gembira muncul di wajahnya
系列	siri	Syarikat melancarkan satu siri produk baharu
细菌	bakteria	Suhu tinggi boleh membunuh bakteria
细胞	sel	Tubuh manusia terdiri daripada sel yang tidak terkira banyaknya
细致	teliti	Pemerhatiannya sangat teliti
峡谷	ngarai	Sungai mengalir melalui ngarai yang dalam
狭隘	sempit	Pandangan sempit seperti ini perlu diubah
狭窄	sempit	Jalan kecil ini sangat sempit
霞	cahaya senja	Cahaya senja memerahkan langit
下属	bawahan	Pengurus mendengar pendapat bawahan dengan teliti
先进	maju	Kilang menggunakan peralatan maju
先前	sebelumnya	Rancangan sebelumnya sudah berubah
掀起	mencetuskan	Buku ini mencetuskan gelombang perbincangan
纤维	serat	Kain ini mengandungi serat semula jadi
鲜明	jelas	Pendiriannya sangat jelas
嫌	tidak suka	Dia tidak suka bilik itu terlalu kecil
嫌疑	syaki	Lelaki ini sangat disyaki
弦	tali	Satu tali gitar itu putus
衔接	bersambung	Kandungan dua kursus itu bersambung dengan baik
贤惠	berbudi dan cekap	Dia dianggap berbudi dan cekap
闲话	gosip	Jangan bergosip tentang orang lain di belakang mereka
显著	ketara	Kesan rawatan itu sangat ketara
宪法	perlembagaan	Perlembagaan menjamin hak asas warganegara
现场	tempat kejadian	Wartawan sudah tiba di tempat kejadian kemalangan
现成	siap sedia	Di dapur ada makanan siap sedia
现状	keadaan semasa	Kami perlu memahami keadaan semasa industri
线索	petunjuk	Polis menemukan petunjuk baharu
陷害	memerangkap	Dia mendakwa ada orang memerangkap dirinya
陷阱	perangkap	Pemburu memasang satu perangkap
陷入	terjerumus	Syarikat terjerumus ke dalam kesukaran kewangan
馅儿	inti	Inti pau ini sangat harum
乡镇	bandar kecil	Keadaan sekolah di bandar kecil sedang bertambah baik
相差	berbeza	Suhu dua tempat itu berbeza sepuluh darjah
相等	sama	Luas dua segi tiga itu sama
相辅相成	saling melengkapi	Teori dan amalan saling melengkapi
相应	sepadan	Syarikat akan mengambil langkah yang sepadan
镶嵌	bertatah	Sebentuk batu permata bertatah pada cincin itu
响亮	nyaring	Jawapannya kedengaran nyaring
响应	menyahut	Ramai orang menyahut inisiatif perlindungan alam sekitar
想方设法	berusaha dengan segala cara	Mereka berusaha dengan segala cara untuk mengurangkan kos
向导	pemandu	Pemandu tempatan membawa kami masuk ke gunung
向来	selalu	Dia selalu mementingkan kredibiliti
向往	mendambakan	Dia mendambakan kehidupan yang tenang
巷	lorong	Banyak kedai kecil telah dibuka di lorong lama
相声	crosstalk	Datuk suka mendengar crosstalk tradisional
消除	menghapuskan	Komunikasi dapat menghapuskan salah faham
消毒	membasmi kuman	Doktor membasmi kuman pada luka
消防	bomba	Anggota bomba cepat tiba di tempat kejadian
消耗	menghabiskan	Perjalanan jauh menghabiskan banyak tenaga fizikal
消灭	menghapuskan	Pekerja sedang menghapuskan perosak
潇洒	santai dan bergaya	Cara dia berjalan sangat santai dan bergaya
销毁	memusnahkan	Kastam memusnahkan barang tiruan
小心翼翼	dengan sangat berhati-hati	Dia membuka kotak itu dengan sangat berhati-hati
效益	kecekapan	Peralatan baharu meningkatkan kecekapan pengeluaran
肖像	potret	Di dinding tergantung potretnya
协会	persatuan	Persatuan ini membantu usahawan muda
协商	berunding	Kedua-dua pihak bersedia terus berunding
协调	menyelaras	Pengurus projek bertanggungjawab menyelaras sumber
协议	perjanjian	Kedua-dua pihak menandatangani perjanjian kerjasama
协助	membantu	Sukarelawan membantu warga tua menyeberang jalan
携带	membawa	Penumpang tidak boleh membawa barang berbahaya
屑	serpihan	Di atas meja ada banyak serpihan kayu
泄露	membocorkan	Pekerja tidak boleh membocorkan maklumat pelanggan
泄气	tawar hati	Jangan tawar hati selepas gagal
谢绝	menolak dengan sopan	Hotel menolak dengan sopan makanan dari luar
心得	pengalaman belajar	Dia berkongsi pengalaman belajarnya
心甘情愿	dengan rela hati	Dia tinggal untuk membantu dengan rela hati
心灵	jiwa	Muzik menenangkan jiwanya
心态	sikap	Mengekalkan sikap positif sangat penting
心疼	berasa sayang	Ibu berasa sayang terhadap anak yang cedera
心血	usaha gigih	Buku ini mengandungi usaha gigih penulis
心眼儿	berfikiran sempit	Dia agak berfikiran sempit
新陈代谢	metabolisme	Senaman boleh menggalakkan metabolisme
新郎	pengantin lelaki	Pengantin lelaki menyambut tetamu di pintu
新娘	pengantin perempuan	Pengantin perempuan memakai gaun pengantin putih
新颖	baharu dan asli	Reka bentuk ini sangat baharu dan asli
欣慰	berasa lega	Melihat kemajuan anak itu membuatnya berasa lega
欣欣向荣	berkembang maju	Pelancongan di pekan kecil itu berkembang maju
薪水	gaji	Gajinya cukup untuk menyara keluarga
辛勤	rajin	Petani rajin menanam tanaman
信赖	mempercayai	Pelanggan sangat mempercayai syarikat ini
信念	kepercayaan	Kepercayaan yang teguh menyokongnya
信仰	kepercayaan	Dia menghormati kepercayaan yang berbeza
信誉	reputasi	Perusahaan mesti menjaga reputasi
兴高采烈	riang gembira	Kanak-kanak berlari masuk ke bilik darjah dengan riang gembira
兴隆	maju	Perniagaan kedai lama ini maju
兴旺	makmur	Ekonomi pasaran semakin makmur
腥	hanyir	Ikan ini agak hanyir
刑事	jenayah	Polis sedang menyiasat kes jenayah
形态	bentuk	Bentuk tumbuhan berubah mengikut persekitaran
行政	pentadbiran	Jabatan pentadbiran mengurus permohonan
兴致勃勃	penuh minat	Semua orang membincangkan rancangan itu dengan penuh minat
性感	seksi	Gaun malam ini kelihatan sangat seksi
性命	nyawa	Doktor menyelamatkan nyawanya
性能	prestasi	Komputer ini mempunyai prestasi yang baik
凶恶	garang	Anjing ini kelihatan sangat garang
凶手	pembunuh	Polis akhirnya menangkap pembunuh itu
汹涌	bergelora	Ombak bergelora memukul pantai
胸怀	hati yang luas	Dia mempunyai hati yang luas
胸膛	dada	Askar itu menegakkan dadanya
雄厚	kukuh	Syarikat mempunyai sumber kewangan yang kukuh
雄伟	megah	Jambatan besar ini sangat megah
修复	membaiki	Jurutera sedang membaiki sistem
修建	membina	Kerajaan merancang membina lapangan terbang baharu
修养	pembentukan diri	Pembentukan diri yang baik terlihat dalam perincian
羞耻	malu	Selepas berbohong, dia berasa malu
嗅觉	deria bau	Deria bau anjing sangat tajam
绣	menyulam	Nenek pandai menyulam bunga
虚假	palsu	Laman web itu menyiarkan maklumat palsu
虚荣	kesombongan	Kesombongan membuatnya berbelanja berlebihan
虚伪	hipokrit	Dia tidak suka basa-basi yang hipokrit
需求	permintaan	Permintaan pasaran sedang meningkat
须知	arahan penting	Sila baca arahan penting pendaftaran terlebih dahulu
许可	kebenaran	Tanpa kebenaran tidak boleh masuk
序言	prakata	Penulis menjelaskan latar belakang dalam prakata
畜牧	penternakan	Padang rumput sesuai untuk membangunkan penternakan
酗酒	minum berlebihan	Minum berlebihan dalam jangka panjang merosakkan kesihatan
喧哗	bising	Dilarang bising di perpustakaan
宣誓	mengangkat sumpah	Ahli baharu mengangkat sumpah dalam mesyuarat
宣扬	mempromosikan	Sekolah mempromosikan kejujuran dan amanah
悬挂	tergantung	Di dinding tergantung sebuah lukisan
悬念	suspens	Akhir filem itu meninggalkan suspens
悬殊	jurang besar	Jurang kekuatan antara dua pasukan itu sangat besar
悬崖峭壁	tebing curam	Di sebelah jalan gunung terdapat tebing curam
旋律	melodi	Lagu ini mempunyai melodi yang indah
旋转	berputar	Kincir angin berputar dalam angin
选拔	memilih	Sekolah sedang memilih atlet
选举	pilihan raya	Kampung itu mengadakan pilihan raya
选手	peserta	Peserta ini menunjukkan prestasi yang stabil
炫耀	menunjuk-nunjuk	Dia selalu suka menunjuk-nunjuk kekayaan
削	memotong	Syarikat memotong beberapa perbelanjaan
削弱	melemahkan	Keletihan melemahkan pertimbangan
学说	teori	Teori ini mempunyai pengaruh besar
学位	ijazah	Dia memperoleh ijazah sarjana
雪上加霜	menambah buruk keadaan	Kehilangan kerja lalu jatuh sakit benar-benar menambah buruk keadaan
血压	tekanan darah	Doktor mengingatkannya supaya mengawal tekanan darah
熏陶	dipengaruhi	Sejak kecil dia dipengaruhi oleh muzik
寻觅	mencari	Mereka mencari rumah yang sesuai di merata tempat
巡逻	meronda	Polis meronda di jalan pada waktu malam
循环	beredar	Air beredar dalam sistem
循序渐进	beransur-ansur	Pembelajaran bahasa perlu maju beransur-ansur
压迫	menindas	Sistem lama menindas rakyat biasa
压岁钱	duit Tahun Baru	Anak itu menerima duit Tahun Baru
压缩	memampatkan	Perisian boleh memampatkan saiz gambar
压抑	menahan	Dia berusaha menahan kemarahan dalam hati
压榨	memerah	Mesin sedang memerah jus tebu
压制	menekan	Ubat boleh menekan rasa sakit
鸦雀无声	senyap sunyi	Selepas guru masuk, bilik darjah menjadi senyap sunyi
亚军	naib juara	Dia mendapat naib juara dalam pertandingan
淹没	menenggelamkan	Banjir menenggelamkan kampung rendah
烟花爆竹	bunga api dan mercun	Bunga api dan mercun dilarang semasa perayaan
严峻	serius	Keadaan pekerjaan masih serius
严寒	sejuk melampau	Cuaca sejuk melampau menjejaskan pengangkutan
严禁	dilarang keras	Merokok dilarang keras di sini
严厉	tegas	Guru menegurnya dengan tegas
严密	ketat	Gudang mempunyai pemantauan ketat
岩石	batu	Batu di tepi laut sangat keras
延期	ditangguhkan	Mesyuarat ditangguhkan ke minggu depan
延伸	memanjang	Jalan itu memanjang ke arah utara
延续	berterusan	Tradisi ini berterusan selama seratus tahun
沿海	pesisir	Bandar pesisir mempunyai perdagangan yang maju
炎热	panas	Cuaca panas membuat orang letih
言论	ucapan	Orang ramai memberi perhatian kepada ucapannya
掩盖	menutup	Dia cuba menutup kesilapan
掩护	melindungi	Rakan sepasukan bertanggungjawab melindungi pengunduran
掩饰	menyembunyikan	Dia berusaha menyembunyikan rasa gugup
演变	berubah	Bentuk bandar terus berubah
演习	latihan	Sekolah mengadakan latihan kebakaran
演绎	menghuraikan	Guru menghuraikan teorem ini
演奏	memainkan muzik	Kumpulan muzik sedang memainkan muzik klasik
眼光	pandangan	Pandangannya dalam pelaburan sangat baik
眼色	isyarat mata	Dia memberi isyarat mata kepada rakan sekerja
眼神	pandangan mata	Pandangan matanya sangat tegas
厌恶	membenci	Dia membenci perbuatan menipu
验收	pemeriksaan penerimaan	Projek perlu melalui pemeriksaan penerimaan selepas siap
验证	mengesahkan	Eksperimen itu mengesahkan hipotesis
氧气	oksigen	Pesakit perlu menyedut oksigen
样品	sampel	Pelanggan menerima sampel produk
摇摆	bergoyang	Bot kecil bergoyang dalam angin dan ombak
摇滚	rock	Golongan muda suka muzik rock
谣言	khabar angin	Jangan sebarkan khabar angin yang belum disahkan
遥控	kawalan jauh	Dia menggunakan telefon untuk mengawal pendingin hawa dari jauh
遥远	jauh	Kampung itu sangat jauh dari bandar
耀眼	menyilaukan	Cahaya matahari sangat menyilaukan
要点	perkara penting	Sila catat perkara penting mesyuarat
要命	teramat	Jalan gunung ini teramat berbahaya
要素	unsur penting	Kepercayaan ialah unsur penting dalam kerjasama
野蛮	kasar	Dia menentang penguatkuasaan undang-undang yang kasar
野心	cita-cita besar	Cita-cita politiknya sangat jelas
液体	cecair	Cecair ini tidak berwarna
一流	kelas pertama	Hospital ini mempunyai peralatan kelas pertama
一如既往	seperti biasa	Dia menyokong kami seperti biasa
依旧	masih	Hujan berhenti, tetapi jalan masih basah
依据	berdasarkan	Keputusan mesti berdasarkan undang-undang
依靠	bergantung pada	Mereka bergantung pada pertanian untuk hidup
依赖	bergantung	Anak-anak tidak boleh terlalu bergantung kepada ibu bapa
依托	berpaut pada	Projek berkembang dengan berpaut pada sumber tempatan
衣裳	pakaian	Dia menukar kepada pakaian bersih
一度	pernah	Syarikat pernah menghadapi kebankrapan
一贯	konsisten	Dia konsisten menentang pembaziran
一目了然	jelas sekali imbas	Kandungan jadual jelas sekali imbas
一向	selalu	Dia selalu menepati masa
仪器	peralatan	Makmal membeli peralatan baharu
仪式	upacara	Upacara tamat pengajian akan diadakan esok
疑惑	keliru	Pelajar berasa keliru tentang jawapan itu
遗产	warisan	Kota lama ini ialah warisan budaya
遗传	diwarisi	Penyakit ini mungkin diwarisi
遗留	tertinggal	Masalah yang tertinggal daripada sejarah perlu diselesaikan
遗失	hilang	Pengembara itu kehilangan pasport
以便	supaya	Sila tinggalkan nombor telefon supaya kami boleh menghubungi
以免	agar tidak	Bertolak lebih awal agar tidak lewat
以往	masa lalu	Pengalaman masa lalu patut dijadikan rujukan
以至	hingga	Skop meluas ke komuniti hingga seluruh bandar
以致	menyebabkan	Hujan lebat berterusan, menyebabkan jalan terputus
一帆风顺	lancar	Memulakan perniagaan tidak mungkin selalu lancar
一举两得	sekali jalan dua hasil	Berbasikal ke tempat kerja boleh mendapat sekali jalan dua hasil
一丝不苟	sangat teliti	Jurutera memeriksa pendawaian dengan sangat teliti
亦	juga	Dia juga bersetuju dengan rancangan ini
异常	luar biasa	Sistem mengalami keadaan luar biasa
意料	jangkaan	Hasilnya sama sekali di luar jangkaan
意识	menyedari	Dia beransur-ansur menyedari bahawa masalah itu serius
意图	niat	Polis dapat membaca niatnya
意味着	bermaksud	Diam tidak bermaksud setuju
意向	hasrat	Kedua-dua pihak menyatakan hasrat untuk bekerjasama
意志	kemahuan	Kesukaran menguji kemahuan seseorang
毅力	ketekunan	Kejayaan memerlukan ketekunan jangka panjang
毅然	dengan tegas	Dia meninggalkan syarikat dengan tegas
翼	sayap	Sayap pesawat diperiksa
阴谋	komplot	Mereka mendedahkan komplot ini
音响	sistem bunyi	Kesan sistem bunyi di ruang tamu sangat baik
引导	membimbing	Guru membimbing pelajar berfikir
引擎	enjin	Enjin kereta tiba-tiba mati
引用	memetik	Makalah itu memetik banyak bahan
隐蔽	bersembunyi	Askar bersembunyi di dalam hutan
隐患	risiko tersembunyi	Pendawaian lama mempunyai risiko keselamatan tersembunyi
隐瞒	menyembunyikan	Dia tidak menyembunyikan kebenaran
隐私	privasi	Syarikat mesti melindungi privasi pengguna
隐约	samar-samar	Nyanyian samar-samar kedengaran dari jauh
饮食	pemakanan	Pemakanan sihat membantu pemulihan
婴儿	bayi	Bayi sedang tidur dengan tenang
英明	bijaksana	Pemimpin membuat keputusan yang bijaksana
英勇	berani	Anggota bomba menyelamatkan anak itu dengan berani
盈利	untung	Syarikat mula untung tahun ini
迎面	terus ke muka	Angin sejuk bertiup terus ke muka
应酬	urusan sosial	Malam ini dia mempunyai banyak urusan sosial
应邀	atas jemputan	Pakar menghadiri forum atas jemputan
庸俗	vulgar	Kandungan iklan ini sangat vulgar
拥护	menyokong	Semua orang menyokong dasar baharu
拥有	memiliki	Dia memiliki pengalaman yang kaya
勇于	berani	Golongan muda harus berani mencuba
永恒	kekal	Cinta tidak kekal tidak berubah
涌现	muncul	Guru-guru cemerlang muncul di pelbagai tempat
踊跃	bersemangat	Penduduk bersemangat mendaftar untuk menyertai aktiviti
用户	pengguna	Pengguna boleh menukar kata laluan
优胜劣汰	yang kuat bertahan	Persaingan pasaran mencerminkan yang kuat bertahan
优先	keutamaan	Warga tua boleh mendapat perkhidmatan dengan keutamaan
优异	cemerlang	Dia mencapai keputusan yang cemerlang
优越	unggul	Lokasi tempat ini unggul
忧郁	murung	Ekspresinya kelihatan murung
油腻	berminyak	Hidangan ini terlalu berminyak
油漆	cat	Pekerja sedang mengecat pintu
犹如	seperti	Permukaan tasik seperti cermin
有条不紊	teratur	Mesyuarat berjalan dengan teratur
幼稚	naif	Idea ini agak naif
诱惑	godaan	Iklan penuh dengan godaan pengguna
愚蠢	bodoh	Keputusan ini sangat bodoh
愚昧	jahil	Pandangan jahil menghalang kemajuan
渔民	nelayan	Nelayan keluar ke laut menangkap ikan pada awal pagi
舆论	pendapat umum	Pendapat umum memberi kesan besar kepada kes itu
与日俱增	semakin meningkat	Bilangan pelancong semakin meningkat dari hari ke hari
宇宙	alam semesta	Manusia terus meneroka alam semesta
羽绒服	jaket bulu angsa	Musim sejuk perlu memakai jaket bulu angsa
寓言	fabel	Fabel ini sangat mendidik
愈	semakin	Keadaan penyakit semakin baik
欲望	keinginan	Dia mengawal keinginan untuk membeli-belah
熨	menggosok	Dia menggosok baju itu hingga licin
玉	jed	Jed ini mempunyai warna yang lembut
预料	jangkaan	Perkembangan perkara itu melampaui jangkaan
预期	jangkaan	Jualan lebih rendah daripada jangkaan
预算	bajet	Bajet projek perlu diselaraskan
预先	terlebih dahulu	Sila sediakan bahan terlebih dahulu
预言	ramalan	Ramalannya tidak menjadi kenyataan
预兆	tanda awal	Rasa sakit mungkin tanda awal penyakit
冤枉	menzalimi	Jangan menzalimi orang yang tidak bersalah
元首	ketua negara	Ketua negara kedua-dua negara mengadakan rundingan
元素	unsur	Oksigen ialah sejenis unsur kimia
元宵节	Pesta Tanglung	Orang menikmati tanglung semasa Pesta Tanglung
原告	plaintif	Plaintif mengemukakan bukti baharu
原理	prinsip	Guru menjelaskan prinsip mesin
原始	asal	Mereka menyimpan rekod asal
原先	asal	Rancangan asal sudah berubah
园林	taman	Taman Suzhou sangat terkenal
圆满	sempurna	Mesyuarat mencapai kejayaan yang sempurna
源泉	sumber	Amalan ialah sumber pengetahuan
缘故	sebab	Dia meletak jawatan atas sebab kesihatan
约束	mengekang	Sistem mengekang tingkah laku pekerja
乐谱	skor muzik	Dia membaca skor muzik dengan teliti
岳母	ibu mentua	Dia pergi melawat ibu mentua pada hujung minggu
孕育	memupuk	Tanah memupuk kehidupan baharu
蕴藏	mengandungi	Kawasan pergunungan mengandungi sumber mineral yang kaya
运算	operasi	Pelajar berlatih operasi matematik
运行	beroperasi	Sistem sedang beroperasi dengan stabil
酝酿	merancang	Kedua-dua pihak sedang merancang cadangan baharu
杂技	akrobatik	Kanak-kanak suka menonton persembahan akrobatik
杂交	hibrid	Saintis mengkaji padi hibrid
砸	terhempas	Cawan itu terhempas ke lantai dan pecah
咋	bagaimana	Bagaimana kamu masih belum pulang
栽培	menanam	Tukang kebun menanam banyak bunga
灾难	bencana	Selepas bencana, bandar mula dibina semula
宰	menyembelih	Penduduk kampung menyembelih kambing semasa perayaan
再接再厉	terus berusaha	Selepas memenangi anugerah, pasukan terus berusaha
在意	peduli	Dia sangat peduli pandangan orang lain
攒	menabung	Dia menabung untuk membeli komputer
暂且	buat sementara waktu	Isu ini diketepikan buat sementara waktu
赞叹	mengagumi	Penonton mengagumi persembahan pelakon
赞助	menaja	Syarikat menaja pertandingan ini
糟蹋	membazir	Jangan membazir makanan segar ini
