simplified	KN	example_KN
传播	ಹರಡುವುದು; ಪ್ರಸಾರ ಮಾಡುವುದು	ಈ ಸುದ್ದಿ ತುಂಬಾ ಬೇಗ ಹರಡಿತು.
传染	ಸೋಂಕು ಹರಡುವುದು; ಸೋಂಕು ತಗುಲುವುದು	ಜಲದೋಷ ಸುಲಭವಾಗಿ ಹರಡುತ್ತದೆ.
传说	ದಂತಕಥೆ; ಜನಪದ ಕಥೆ	ಇದು ಒಂದು ಹಳೆಯ ದಂತಕಥೆ.
传统	ಪರಂಪರೆ; ಪರಂಪರೆಯ	ವಸಂತೋತ್ಸವ ಚೀನಾದ ಪರಂಪರೆಯ ಹಬ್ಬ.
窗帘	ಕಿಟಕಿಯ ಪರದೆ	ದಯವಿಟ್ಟು ಪರದೆಗಳನ್ನು ತೆರೆಯಿರಿ.
闯	ನುಗ್ಗುವುದು; ದಾಟಿಹೋಗುವುದು	ಅವನು ತಪ್ಪಾಗಿ ಕೆಂಪು ದೀಪ ದಾಟಿದನು.
创造	ಸೃಷ್ಟಿಸುವುದು; ರಚಿಸುವುದು	ಜನರು ಹೊಸ ಉಪಕರಣಗಳನ್ನು ಸೃಷ್ಟಿಸಿದರು.
吹	ಬೀಸುವುದು; ಊದುವುದು	ಗಾಳಿ ಬಲವಾಗಿ ಬೀಸುತ್ತಿದೆ.
词汇	ಪದಸಂಪತ್ತು; ಪದಗಳ ಪಟ್ಟಿ	ಈ ಪದಸಂಪತ್ತಿನ ಪದವನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ಬಳಸುತ್ತಾರೆ.
辞职	ರಾಜೀನಾಮೆ ಕೊಡುವುದು	ಅವನು ರಾಜೀನಾಮೆ ಕೊಡಲು ನಿರ್ಧರಿಸಿದನು.
此外	ಇದಲ್ಲದೆ; ಜೊತೆಗೆ	ಇದಲ್ಲದೆ, ನನಗೆ ಇನ್ನೊಂದು ಪ್ರಶ್ನೆ ಇದೆ.
刺激	ಉತ್ತೇಜಕ; ಕೆರಳಿಸುವುದು	ಈ ಆಟ ತುಂಬಾ ಉತ್ತೇಜಕವಾಗಿದೆ.
次要	ದ್ವಿತೀಯ; ಅಷ್ಟೊಂದು ಮುಖ್ಯವಲ್ಲ	ಈ ಸಮಸ್ಯೆ ದ್ವಿತೀಯವಾಗಿದೆ.
匆忙	ಅವಸರ; ತುರ್ತು	ಅವನು ಅವಸರದಲ್ಲಿ ಮನೆಯಿಂದ ಹೊರಟನು.
从此	ಆ ದಿನದಿಂದ; ಇಂದಿನಿಂದ	ಆ ದಿನದಿಂದ ಅವನು ಪ್ರತಿದಿನ ವ್ಯಾಯಾಮ ಮಾಡಿದನು.
从而	ಹೀಗೆ; ಅದರ ಮೂಲಕ	ಅವನು ಕಷ್ಟಪಟ್ಟು ಓದಿದನು, ಹೀಗೆ ಪರೀಕ್ಷೆಯಲ್ಲಿ ಉತ್ತೀರ್ಣನಾದನು.
从前	ಹಿಂದೆ; ಒಂದು ಕಾಲದಲ್ಲಿ	ಹಿಂದೆ ಇಲ್ಲಿ ಮೆಟ್ರೋ ಇರಲಿಲ್ಲ.
从事	ತೊಡಗಿಸಿಕೊಳ್ಳುವುದು; ಕೆಲಸ ಮಾಡುವುದು	ಅವಳು ಶಿಕ್ಷಣ ಕ್ಷೇತ್ರದಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾಳೆ.
粗糙	ಒರಟು; ಕರಗಸಾದ	ಈ ಕಾಗದ ತುಂಬಾ ಒರಟಾಗಿದೆ.
促进	ಉತ್ತೇಜಿಸುವುದು; ಮುನ್ನಡೆಸುವುದು	ವ್ಯಾಯಾಮ ಆರೋಗ್ಯವನ್ನು ಉತ್ತೇಜಿಸಬಹುದು.
促使	ಪ್ರೇರೇಪಿಸುವುದು; ಒತ್ತಾಯಿಸುವುದು	ಈ ವಿಷಯ ಅವನ ಯೋಜನೆಯನ್ನು ಬದಲಿಸಲು ಪ್ರೇರೇಪಿಸಿತು.
醋	ವಿನಿಗರ್; ಹುಳಿ	ಆಹಾರಕ್ಕೆ ವಿನಿಗರ್ ಸೇರಿಸಲಾಯಿತು.
催	ಒತ್ತಾಯಿಸುವುದು; ಬೇಗ ಮಾಡಿಸುವುದು	ಅಮ್ಮ ಬೇಗ ಹೊರಡಲು ನನಗೆ ಒತ್ತಾಯಿಸಿದರು.
存在	ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದು	ಈ ಸಮಸ್ಯೆ ಇನ್ನೂ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ.
措施	ಕ್ರಮ; ಕ್ರಮಗಳು	ಶಾಲೆ ಸುರಕ್ಷತಾ ಕ್ರಮಗಳನ್ನು ತೆಗೆದುಕೊಂಡಿತು.
答应	ಒಪ್ಪುವುದು; ಮಾತುಕೊಡುವುದು	ಅವನು ನನಗೆ ಸಹಾಯ ಮಾಡಲು ಒಪ್ಪಿದನು.
达到	ತಲುಪುವುದು; ಸಾಧಿಸುವುದು	ಅವನ ಅಂಕಗಳು ಮಾನದಂಡವನ್ನು ತಲುಪಿದವು.
打工	ಅರೆಕಾಲಿಕ ಕೆಲಸ ಮಾಡುವುದು	ಬೇಸಿಗೆ ರಜೆಯಲ್ಲಿ ಅವನು ಊಟಮನೆಯಲ್ಲಿ ಅರೆಕಾಲಿಕ ಕೆಲಸ ಮಾಡುತ್ತಾನೆ.
打交道	ವ್ಯವಹರಿಸುವುದು; ಸಂಪರ್ಕದಲ್ಲಿರುವುದು	ನಾನು ಗ್ರಾಹಕರೊಂದಿಗೆ ಆಗಾಗ ವ್ಯವಹರಿಸುತ್ತೇನೆ.
打喷嚏	ಸೀನುವುದು	ಅವನಿಗೆ ಜಲದೋಷವಾಗಿದೆ, ಅವನು ಮತ್ತೆ ಮತ್ತೆ ಸೀನುತ್ತಿದ್ದಾನೆ.
打听	ವಿಚಾರಿಸುವುದು; ಕೇಳಿಹುಡುಕುವುದು	ನಾನು ರೈಲು ಟಿಕೆಟ್‌ಗಳ ಬಗ್ಗೆ ವಿಚಾರಿಸಲು ಬಯಸುತ್ತೇನೆ.
大方	ಉದಾರ; ಸೊಗಸಾದ	ಹಣದ ವಿಷಯದಲ್ಲಿ ಅವಳು ತುಂಬಾ ಉದಾರಳು.
大厦	ದೊಡ್ಡ ಕಟ್ಟಡ	ಆ ದೊಡ್ಡ ಕಟ್ಟಡ ತುಂಬಾ ಎತ್ತರವಾಗಿದೆ.
大象	ಆನೆ	ಮಕ್ಕಳು ಮೃಗಾಲಯದಲ್ಲಿ ಆನೆಗಳನ್ನು ನೋಡುತ್ತಿದ್ದಾರೆ.
大型	ದೊಡ್ಡ ಪ್ರಮಾಣದ; ದೊಡ್ಡ	ಇಲ್ಲಿ ದೊಡ್ಡ ವ್ಯಾಪಾರ ಮಳಿಗೆ ಕಟ್ಟಲಾಗುತ್ತದೆ.
呆	ಇರುವುದು; ಮೂರ್ಖ	ಅವನು ಮನೆಯಲ್ಲಿ ಇದ್ದು ಪುಸ್ತಕ ಓದುತ್ತಾನೆ.
代表	ಪ್ರತಿನಿಧಿ; ಪ್ರತಿನಿಧಿಸುವುದು	ಈ ಹೂವು ಸ್ನೇಹವನ್ನು ಪ್ರತಿನಿಧಿಸುತ್ತದೆ.
代替	ಬದಲಿಗೆ; ಸ್ಥಾನಕ್ಕೆ	ಇಂದು ಅವನ ಬದಲಿಗೆ ನಾನು ಸಭೆಗೆ ಹಾಜರಾಗುತ್ತೇನೆ.
待遇	ಸೌಲಭ್ಯ; ಸಂಬಳ	ಈ ಕಂಪನಿಯ ಸೌಲಭ್ಯಗಳು ಚೆನ್ನಾಗಿವೆ.
贷款	ಸಾಲ	ಅವರು ಮನೆ ಸಾಲಕ್ಕೆ ಅರ್ಜಿ ಹಾಕಿದರು.
单纯	ಸರಳ; ಶುದ್ಧ	ಅವಳ ಆಲೋಚನೆ ತುಂಬಾ ಸರಳವಾಗಿದೆ.
单调	ಏಕತಾನ; ಬದಲಾವಣೆಯಿಲ್ಲದ	ಈ ಕೆಲಸ ಸ್ವಲ್ಪ ಏಕತಾನವಾಗಿದೆ.
单独	ಒಂಟಿಯಾಗಿ; ಪ್ರತ್ಯೇಕವಾಗಿ	ನಾನು ನಿನ್ನೊಂದಿಗೆ ಒಂಟಿಯಾಗಿ ಮಾತನಾಡಲು ಬಯಸುತ್ತೇನೆ.
单位	ಘಟಕ; ಕೆಲಸದ ಸಂಸ್ಥೆ	ಅವನು ಸಾರ್ವಜನಿಕ ಸಂಸ್ಥೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾನೆ.
单元	ಘಟಕ; ಪಾಠ ಘಟಕ	ಇಂದು ನಾವು ಮೂರನೇ ಘಟಕವನ್ನು ಕಲಿಯುತ್ತಿದ್ದೇವೆ.
担任	ಹುದ್ದೆ ನಿರ್ವಹಿಸುವುದು; ಹೊಣೆ ವಹಿಸುವುದು	ಅವಳು ಈ ಕಾರ್ಯಕ್ರಮದ ಹೊಣೆಗಾರಿಯಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾಳೆ.
耽误	ವಿಳಂಬ ಮಾಡುವುದು; ಸಮಯ ವ್ಯರ್ಥ ಮಾಡುವುದು	ಎಲ್ಲರ ಸಮಯವನ್ನು ವ್ಯರ್ಥ ಮಾಡಬೇಡಿ.
胆小鬼	ಭಯಪಡುವವ; ಹೆದರಿಕೋರ	ಅವನನ್ನು ಹೆದರಿಕೋರ ಎಂದು ಕರೆಯಬೇಡಿ.
淡	ತೆಳು; ರುಚಿ ಕಡಿಮೆ	ಈ ಸೂಪಿಗೆ ಸ್ವಲ್ಪ ರುಚಿ ಕಡಿಮೆ.
当地	ಸ್ಥಳೀಯ	ಸ್ಥಳೀಯ ಜನರೆಲ್ಲ ಈ ಮಾರುಕಟ್ಟೆಯನ್ನು ಇಷ್ಟಪಡುತ್ತಾರೆ.
当心	ಜಾಗರೂಕರಾಗಿರಿ; ಎಚ್ಚರಿಕೆ	ರಸ್ತೆ ಜಾರುತ್ತದೆ, ಆದ್ದರಿಂದ ಜಾಗರೂಕರಾಗಿರಿ.
挡	ತಡೆಯುವುದು; ಅಡ್ಡಿಯಾಗುವುದು	ಈ ಕಾರು ಪ್ರವೇಶದ್ವಾರವನ್ನು ತಡೆದಿದೆ.
倒霉	ದುರದೃಷ್ಟ; ಅದೃಷ್ಟ ಕೆಟ್ಟಿರುವುದು	ಇಂದು ನಿಜಕ್ಕೂ ದುರದೃಷ್ಟ, ನನ್ನ ಫೋನ್ ಕಳೆದುಕೊಂಡೆ.
导演	ನಿರ್ದೇಶಕ; ನಿರ್ದೇಶಿಸುವುದು	ಈ ನಿರ್ದೇಶಕ ತುಂಬಾ ಪ್ರಸಿದ್ಧ.
导致	ಕಾರಣವಾಗುವುದು; ಉಂಟುಮಾಡುವುದು	ಭಾರೀ ಮಳೆಯಿಂದ ಸಂಚಾರ ದಟ್ಟಣೆ ಉಂಟಾಯಿತು.
岛屿	ದ್ವೀಪ	ಈ ದೇಶದಲ್ಲಿ ಅನೇಕ ದ್ವೀಪಗಳಿವೆ.
到达	ತಲುಪುವುದು; ಆಗಮಿಸುವುದು	ರೈಲು ಸಮಯಕ್ಕೆ ಶಾಂಘೈ ತಲುಪಿತು.
道德	ನೈತಿಕತೆ; ನೀತಿ	ಒಬ್ಬ ವ್ಯಕ್ತಿಗೆ ನೈತಿಕ ತತ್ವಗಳು ಇರಬೇಕು.
道理	ಅರ್ಥ; ತರ್ಕ	ಅವನು ಹೇಳಿದ ಮಾತಿನಲ್ಲಿ ತುಂಬಾ ಅರ್ಥವಿದೆ.
登记	ನೋಂದಾಯಿಸುವುದು; ಹೆಸರು ದಾಖಲಿಸುವುದು	ದಯವಿಟ್ಟು ಮೊದಲು ಮುಂಭಾಗದ ಮೇಜಿನಲ್ಲಿ ನೋಂದಾಯಿಸಿ.
等待	ಕಾಯುವುದು	ನಾವು ಫಲಿತಾಂಶಕ್ಕಾಗಿ ಕಾಯುತ್ತಿದ್ದೇವೆ.
等于	ಸಮನಾಗುವುದು	ಐದು ಜೊತೆಗೆ ಐದು ಹತ್ತುಕ್ಕೆ ಸಮ.
滴	ಹನಿ; ಹನಿಯುವುದು	ಒಂದು ಹನಿ ನೀರು ಮೇಜಿನ ಮೇಲೆ ಬಿತ್ತು.
敌人	ಶತ್ರು	ಅವರು ಶತ್ರುಗಳಲ್ಲ.
的确	ನಿಜವಾಗಿಯೂ; ಖಂಡಿತವಾಗಿ	ಈ ವಿಷಯ ನಿಜವಾಗಿಯೂ ತುಂಬಾ ಮುಖ್ಯ.
地道	ಅಸಲಿ; ನೈಜ	ಅವನು ಅಸಲಿ ಬೀಜಿಂಗ್ ಉಪಭಾಷೆಯಲ್ಲಿ ಮಾತನಾಡುತ್ತಾನೆ.
地理	ಭೂಗೋಳ	ನನಗೆ ಚೀನಾದ ಭೂಗೋಳದಲ್ಲಿ ತುಂಬಾ ಆಸಕ್ತಿ ಇದೆ.
地区	ಪ್ರದೇಶ	ಈ ಪ್ರದೇಶದಲ್ಲಿ ಚಳಿಗಾಲ ತುಂಬಾ ಚಳಿಯಾಗಿರುತ್ತದೆ.
地毯	ನೆಲಹಾಸು; ಕಾರ್ಪೆಟ್	ವಾಸದ ಕೊಠಡಿಯಲ್ಲಿ ನೆಲಹಾಸು ಹಾಸಲಾಗಿದೆ.
地位	ಸ್ಥಾನ; ಸ್ಥಾನಮಾನ	ಸಮಾಜದಲ್ಲಿ ಶಿಕ್ಷಣಕ್ಕೆ ಮುಖ್ಯ ಸ್ಥಾನವಿದೆ.
地震	ಭೂಕಂಪ	ನಿನ್ನೆ ರಾತ್ರಿ ಇಲ್ಲಿ ಭೂಕಂಪ ಸಂಭವಿಸಿತು.
递	ಕೈಗೆ ಕೊಡುವುದು; ಹಸ್ತಾಂತರಿಸುವುದು	ದಯವಿಟ್ಟು ಈ ಪತ್ರವನ್ನು ಶಿಕ್ಷಕರಿಗೆ ಕೊಡಿ.
点心	ತಿಂಡಿ; ಸಿಹಿತಿಂಡಿ	ಮಧ್ಯಾಹ್ನ ನಾವು ತಿಂಡಿ ತಿಂದೆವು.
电池	ಬ್ಯಾಟರಿ	ಈ ಆಟಿಕೆಗೆ ಎರಡು ಬ್ಯಾಟರಿಗಳು ಬೇಕು.
电台	ರೇಡಿಯೋ ಕೇಂದ್ರ	ಅವನು ರೇಡಿಯೋ ಕೇಂದ್ರದಲ್ಲಿ ಕಾರ್ಯಕ್ರಮ ನಡೆಸುತ್ತಾನೆ.
钓	ಮೀನು ಹಿಡಿಯುವುದು	ತಾತನಿಗೆ ನದಿಯ ಬಳಿಯಲ್ಲಿ ಮೀನು ಹಿಡಿಯಲು ಇಷ್ಟ.
顶	ಮೇಲುಭಾಗ; ತಲೆಮೇಲೆ	ಅವನು ಕಪ್ಪು ಟೋಪಿ ಧರಿಸಿದ್ದಾನೆ.
冻	ಹಿಮವಾಗುವುದು; ಚಳಿ ತಟ್ಟುವುದು	ಹೊರಗೆ ಅಷ್ಟು ಚಳಿ ಇದೆ, ನೀರು ಹಿಮವಾಗಿದೆ.
动画片	ಕಾರ್ಟೂನ್; ಅನಿಮೇಶನ್	ಮಕ್ಕಳು ಕಾರ್ಟೂನ್ ನೋಡುತ್ತಿದ್ದಾರೆ.
洞	ರಂಧ್ರ; ಗುಹೆ	ಗೋಡೆಯಲ್ಲಿ ಒಂದು ಸಣ್ಣ ರಂಧ್ರವಿದೆ.
豆腐	ಟೋಫು	ಈ ಟೋಫು ತಿನಿಸು ರುಚಿಯಾಗಿದೆ.
逗	ಕೆಣಕುವುದು; ನಗಿಸುವುದು	ಅವನ ಮಾತು ಎಲ್ಲರನ್ನೂ ನಗಿಸಿತು.
独立	ಸ್ವತಂತ್ರ; ಸ್ವತಂತ್ರವಾಗಿ	ಅವಳು ಸ್ವತಂತ್ರವಾಗಿ ಬದುಕಲು ಬಯಸುತ್ತಾಳೆ.
独特	ವಿಶಿಷ್ಟ; ಅನನ್ಯ	ಈ ನಗರಕ್ಕೆ ವಿಶಿಷ್ಟ ಸಂಸ್ಕೃತಿ ಇದೆ.
度过	ಕಳೆಯುವುದು; ದಾಟುವುದು	ನಾವು ರಜೆಯನ್ನು ಸಮುದ್ರ ತೀರದಲ್ಲಿ ಕಳೆಯಿದೆವು.
断	ಮುರಿಯುವುದು; ಕತ್ತರಿಸಿಹೋಗುವುದು	ಈ ಕಯ್ಯಿ ಮುರಿದುಹೋಯಿತು.
堆	ರಾಶಿ; ರಾಶಿ ಮಾಡುವುದು	ಮೇಜಿನ ಮೇಲೆ ಅನೇಕ ದಾಖಲೆಗಳು ರಾಶಿಯಾಗಿವೆ.
兑换	ವಿನಿಮಯ ಮಾಡುವುದು	ನಾನು ಸ್ವಲ್ಪ ರೆನ್‌ಮಿನ್‌ಬಿ ವಿನಿಮಯ ಮಾಡಿಕೊಳ್ಳಲು ಬಯಸುತ್ತೇನೆ.
对比	ಹೋಲಿಕೆ; ವ್ಯತ್ಯಾಸ ಹೋಲಿಕೆ	ದಯವಿಟ್ಟು ಈ ಎರಡು ಯೋಜನೆಗಳನ್ನು ಹೋಲಿಸಿ ನೋಡಿ.
对待	ವರ್ತಿಸುವುದು; ನೋಡಿಕೊಳ್ಳುವುದು	ನಾವು ಎಲ್ಲರೊಂದಿಗೆ ನ್ಯಾಯವಾಗಿ ವರ್ತಿಸಬೇಕು.
对方	ಮತ್ತೊಬ್ಬ ಪಕ್ಷ; ಎದುರಿನವರು	ದಯವಿಟ್ಟು ಮೊದಲು ಎದುರಿನವರ ಅಭಿಪ್ರಾಯವನ್ನು ಕೇಳಿ.
对手	ಪ್ರತಿಸ್ಪರ್ಧಿ; ಎದುರಾಳಿ	ಅವನ ಪ್ರತಿಸ್ಪರ್ಧಿ ತುಂಬಾ ಬಲವಂತ.
对象	ವಿಷಯ; ಗುರಿ	ಸಂಶೋಧನೆಯ ವಿಷಯಗಳು ವಿಶ್ವವಿದ್ಯಾಲಯದ ವಿದ್ಯಾರ್ಥಿಗಳು.
吨	ಟನ್	ಈ ಟ್ರಕ್ ಮೂರು ಟನ್ ಸರಕು ಹೊತ್ತುಕೊಳ್ಳಬಹುದು.
蹲	ಕುಕ್ಕರಿಸಿ ಕುಳಿತುಕೊಳ್ಳುವುದು	ಅವನು ನೆಲದಲ್ಲಿ ಕುಕ್ಕರಿಸಿ ಕೀಲಿಗಳನ್ನು ಹುಡುಕುತ್ತಿದ್ದಾನೆ.
顿	ಬಾರಿ; ವಿರಾಮ	ನಾವು ಒಟ್ಟಿಗೆ ರಾತ್ರಿ ಊಟ ಮಾಡಿದೆವು.
多亏	ಧನ್ಯವಾದದಿಂದ; ಅದೃಷ್ಟವಶಾತ್	ನಿನ್ನ ಸಹಾಯದಿಂದ ನಾನು ಕೆಲಸವನ್ನು ಪೂರ್ಣಗೊಳಿಸಿದೆ.
多余	ಅನಾವಶ್ಯಕ; ಹೆಚ್ಚುವರಿ	ಈ ವಾಕ್ಯ ಅನಾವಶ್ಯಕ.
朵	ಹೂವಿಗೆ ಎಣಿಕೆಪದ	ಮೇಜಿನ ಮೇಲೆ ಒಂದು ಹೂವಿದೆ.
躲藏	ಮರೆಮಾಡಿಕೊಳ್ಳುವುದು; ಅಡಗುವುದು	ಬೆಕ್ಕುಮರಿ ಹಾಸಿಗೆಯ ಕೆಳಗೆ ಅಡಗಿದೆ.
恶劣	ತುಂಬಾ ಕೆಟ್ಟ; ದುಸ್ಥಿತಿಯ	ಇಂದಿನ ಹವಾಮಾನ ತುಂಬಾ ಕೆಟ್ಟಿದೆ.
耳环	ಕಿವಿಯೋಲೆ	ಅವಳು ಒಂದು ಜೋಡಿ ಕಿವಿಯೋಲೆಗಳನ್ನು ಧರಿಸಿದ್ದಾಳೆ.
发表	ಪ್ರಕಟಿಸುವುದು; ಅಭಿಪ್ರಾಯ ವ್ಯಕ್ತಪಡಿಸುವುದು	ಅವನು ಸಭೆಯಲ್ಲಿ ತನ್ನ ಅಭಿಪ್ರಾಯವನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದನು.
发愁	ಚಿಂತಿಸುವುದು; ಕಳವಳಪಡುವುದು	ಈ ಸಣ್ಣ ವಿಷಯದ ಬಗ್ಗೆ ಚಿಂತಿಸಬೇಡಿ.
发达	ಅಭಿವೃದ್ಧಿಯಾದ; ವಿಕಸಿತ	ಈ ನಗರದಲ್ಲಿ ಸಾರಿಗೆ ಬಹಳ ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.
发抖	ನಡುಗುವುದು	ಚಳಿಯಿಂದ ಅವನು ನಡುಗುತ್ತಿದ್ದಾನೆ.
发挥	ಬಳಸುವುದು; ಹೊರತರುವುದು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಕಲ್ಪನಾಶಕ್ತಿಯನ್ನು ಬಳಸಿ.
发明	ಆವಿಷ್ಕಾರ; ಕಂಡುಹಿಡಿಯುವುದು	ವಿದ್ಯುತ್ ದೀಪ ಒಂದು ಮುಖ್ಯ ಆವಿಷ್ಕಾರ.
发票	ರಸೀದಿ; ಬಿಲ್	ದಯವಿಟ್ಟು ನನಗೆ ರಸೀದಿ ನೀಡಿ.
发言	ಮಾತನಾಡುವುದು; ಭಾಷಣ ಮಾಡುವುದು	ಅವನು ಸಭೆಯಲ್ಲಿ ಮಾತನಾಡಿದನು.
罚款	ದಂಡ	ಕಾನೂನುಬಾಹಿರ ಪಾರ್ಕಿಂಗ್‌ಗೆ ದಂಡ ವಿಧಿಸಲಾಗುತ್ತದೆ.
法院	ನ್ಯಾಯಾಲಯ	ಈ ಪ್ರಕರಣವನ್ನು ನ್ಯಾಯಾಲಯಕ್ಕೆ ಒಪ್ಪಿಸಲಾಯಿತು.
翻	ತಿರುಗಿಸುವುದು; ಮಗುಚುವುದು	ದಯವಿಟ್ಟು ಪುಸ್ತಕವನ್ನು ಹತ್ತನೇ ಪುಟಕ್ಕೆ ತಿರುಗಿಸಿ.
繁荣	ಸಮೃದ್ಧ; ಅಭಿವೃದ್ಧಿಯಾಗುತ್ತಿರುವ	ಆರ್ಥಿಕತೆ ನಿಧಾನವಾಗಿ ಸಮೃದ್ಧವಾಗುತ್ತಿದೆ.
反而	ಬದಲಾಗಿ; ವಿರೋಧವಾಗಿ	ಅವನು ಕೋಪಗೊಳ್ಳಲಿಲ್ಲ, ಬದಲಾಗಿ ನಗಿದನು.
反复	ಮರುಮರು; ಮತ್ತೆಮತ್ತೆ	ಈ ವಾಕ್ಯವನ್ನು ಮರುಮರು ಅಭ್ಯಾಸ ಮಾಡಬೇಕು.
反应	ಪ್ರತಿಕ್ರಿಯೆ	ಅವನ ಪ್ರತಿಕ್ರಿಯೆ ವೇಗವಾಗಿದೆ.
反映	ಪ್ರತಿಬಿಂಬಿಸುವುದು; ತೋರಿಸುವುದು	ಈ ವರದಿ ನಿಜವಾದ ಸ್ಥಿತಿಯನ್ನು ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ.
反正	ಹೇಗಾದರೂ; ಏನೇ ಆಗಲಿ	ಹೇಗಾದರೂ ನಾಳೆ ನನಗೆ ಸಮಯವಿದೆ.
范围	ವ್ಯಾಪ್ತಿ; ಮಿತಿ	ದಯವಿಟ್ಟು ಈ ವ್ಯಾಪ್ತಿಯನ್ನು ಮೀರಬೇಡಿ.
方	ಚೌಕ; ದಿಕ್ಕು	ದಯವಿಟ್ಟು ಕಾಗದದ ಮೇಲೆ ಒಂದು ಚೌಕ ಬಿಡಿಸಿ.
方案	ಯೋಜನೆ; ಪ್ರಸ್ತಾವ	ಈ ಯೋಜನೆ ಸಾಕಷ್ಟು ಸಮಂಜಸವಾಗಿದೆ.
方式	ವಿಧಾನ; ರೀತಿ	ಈ ಅಧ್ಯಯನ ವಿಧಾನ ತುಂಬಾ ಪರಿಣಾಮಕಾರಿ.
妨碍	ಅಡ್ಡಿಪಡಿಸುವುದು; ತಡೆಯುವುದು	ದಯವಿಟ್ಟು ಇತರರ ಕೆಲಸಕ್ಕೆ ಅಡ್ಡಿಪಡಿಸಬೇಡಿ.
仿佛	ಹಾಗೆ ಕಾಣುವುದು; ಇದ್ದಂತೆ	ಅವನಿಗೆ ಎಲ್ಲವೂ ಗೊತ್ತಿರುವಂತೆ ಕಾಣುತ್ತದೆ.
非	ಇಲ್ಲದೆ ಸಾಧ್ಯವಿಲ್ಲ; ಅಲ್ಲ	ಈ ಕೆಲಸ ನಿನ್ನಿಲ್ಲದೆ ಸಾಧ್ಯವಿಲ್ಲ.
肥皂	ಸಾಬೂನು	ಕೈ ತೊಳೆಯುವಾಗ ಸಾಬೂನು ಬಳಸಿ.
废话	ಅರ್ಥವಿಲ್ಲದ ಮಾತು; ಅನಾವಶ್ಯಕ ಮಾತು	ಅರ್ಥವಿಲ್ಲದ ಮಾತು ಬಿಡಿ, ಬೇಗ ಪ್ರಾರಂಭಿಸಿ.
分别	ಬೇರ್ಪಡುವುದು; ವಿಭೇದಿಸುವುದು	ಅವರು ನಿಲ್ದಾಣದಲ್ಲಿ ಬೇರ್ಪಟ್ಟರು.
分布	ಹಂಚಿಕೊಂಡಿರುವುದು; ವಿತರಣೆ	ಈ ಅಂಗಡಿಗಳು ನಗರದ ಎಲ್ಲೆಡೆ ಹಂಚಿಕೊಂಡಿವೆ.
分配	ಹಂಚುವುದು; ನಿಯೋಜಿಸುವುದು	ಶಿಕ್ಷಕರು ಹೊಸ ಕೆಲಸವನ್ನು ನಿಯೋಜಿಸಿದರು.
分手	ಬೇರ್ಪಡುವುದು; ಸಂಬಂಧ ಮುರಿಯುವುದು	ಅವರು ಕಳೆದ ವರ್ಷ ಬೇರ್ಪಟ್ಟರು.
分析	ವಿಶ್ಲೇಷಣೆ; ವಿಶ್ಲೇಷಿಸುವುದು	ನಾವು ಕಾರಣಗಳನ್ನು ವಿಶ್ಲೇಷಿಸಬೇಕು.
纷纷	ಒಬ್ಬೊಬ್ಬರಾಗಿ; ಕ್ರಮವಾಗಿ	ಎಲ್ಲರೂ ಒಬ್ಬೊಬ್ಬರಾಗಿ ಒಪ್ಪಿಗೆ ವ್ಯಕ್ತಪಡಿಸಿದರು.
奋斗	ಪ್ರಯತ್ನಿಸುವುದು; ಹೋರಾಡುವುದು	ಯುವಕರು ತಮ್ಮ ಕನಸುಗಳಿಗಾಗಿ ಪ್ರಯತ್ನಿಸಬೇಕು.
疯狂	ಹುಚ್ಚು; ಉನ್ಮಾದದ	ಅಭಿಮಾನಿಗಳು ಹುಚ್ಚೆದ್ದು ಕೂಗಿದರು.
风格	ಶೈಲಿ	ಈ ಊಟಮನೆಯ ಶೈಲಿ ತುಂಬಾ ವಿಶಿಷ್ಟವಾಗಿದೆ.
风景	ದೃಶ್ಯ; ಪ್ರಕೃತಿ ದೃಶ್ಯ	ಬೆಟ್ಟದ ಮೇಲಿನ ದೃಶ್ಯ ಸುಂದರವಾಗಿದೆ.
风俗	ಸಂಪ್ರದಾಯ	ಪ್ರತಿ ಸ್ಥಳಕ್ಕೂ ತನ್ನದೇ ಸಂಪ್ರದಾಯಗಳಿವೆ.
风险	ಅಪಾಯ; ರಿಸ್ಕ್	ಹೂಡಿಕೆಯಲ್ಲಿ ಒಂದು ಮಟ್ಟದ ಅಪಾಯ ಇರುತ್ತದೆ.
讽刺	ವ್ಯಂಗ್ಯ; ವ್ಯಂಗ್ಯವಾಗಿ ಟೀಕಿಸುವುದು	ಈ ಲೇಖನ ಸಮಾಜದ ಸಮಸ್ಯೆಗಳನ್ನು ವ್ಯಂಗ್ಯವಾಗಿ ಟೀಕಿಸಿದೆ.
