simplified	SI	example_SI
展览	ප්‍රදර්ශනය	කෞතුකාගාරයේ නව ප්‍රදර්ශනයක් ඇත.
占	ඉඩ ගැනීම	මේ මේසය ඉඩ ගනී.
战争	යුද්ධය	යුද්ධය ජනතාවට වේදනාව ගෙන එයි.
掌握	ප්‍රගුණ කිරීම	ඔහු මූලික ව්‍යාකරණ දැනටමත් ප්‍රගුණ කර ඇත.
涨	ඉහළ යාම	මෑතකදී නිවාස කුලිය නැවත ඉහළ ගියේය.
长辈	වැඩිහිටියන්	නව වසරේදී වැඩිහිටියන්ට සුබ පැතිය යුතුය.
账户	ගිණුම	කරුණාකර ඔබේ බැංකු ගිණුම පරීක්ෂා කරන්න.
招待	ආගන්තුක සත්කාර කිරීම	සත්කාරකයා අමුත්තන් උණුසුම් ලෙස පිළිගත්තේය.
着火	ගිනි ගැනීම	කුස්සිය හදිසියේ ගිනි ගත්තේය.
着凉	සෙම්ප්‍රතිශ්‍යාව වැළඳීම	සීතලයි, සෙම්ප්‍රතිශ්‍යාව වැළඳෙන්න දෙන්න එපා.
召开	රැස්වීමක් පැවැත්වීම	පාසල හෙට රැස්වීමක් පවත්වයි.
照常	පුරුදු පරිදි	වෙළඳසැල හෙට පුරුදු පරිදි විවෘත වේ.
哲学	දර්ශනය	ඔහු විශ්වවිද්‍යාලයේදී දර්ශනය හැදෑරීය.
珍惜	අගය කර රැකගැනීම	අපි කාලය අගය කර රැකගත යුතුය.
真实	සැබෑ	මේ කතාව සැබෑය.
针对	ඉලක්ක කර	මේ යෝජනාව නව සිසුන් ඉලක්ක කර ඇත.
诊断	රෝග විනිශ්චය	වෛද්‍යවරයා ඉක්මනින් රෝග විනිශ්චයක් කළේය.
振动	කම්පනය	දුරකථනය මේසය මත කම්පනය වෙමින් තිබේ.
阵	කෙටි වාරයක්	පිටත කෙටි වැසි වාරයක් වැටුණි.
争论	වාද කිරීම	ඔවුන් මේ ප්‍රශ්නය ගැන දිගු වේලාවක් වාද කළහ.
争取	උත්සාහ කර ලබා ගැනීම	අපි තවත් අවස්ථා ලබා ගැනීමට උත්සාහ කළ යුතුය.
征求	අදහස් විමසීම	ගුරුවරයා හැමෝගේම අදහස් විමසුවේය.
挣	මිදී යාමට පොර වීම	කුඩා පක්ෂියා කඹයෙන් මිදී යාමට පොර විය.
睁	ඇස් ඇරීම	කරුණාකර ඇස් ටිකක් වැඩිපුර ඇරන්න.
整个	සම්පූර්ණ	සම්පූර්ණ නගරයම ඉතා නිහඬය.
整齐	පිළිවෙළට	පොත් ඉතා පිළිවෙළට තබා ඇත.
整体	සමස්ත	අපි සමස්ත බලපෑම සලකා බැලිය යුතුය.
政府	රජය	රජය නව දැනුම්දීමක් නිකුත් කළේය.
政治	දේශපාලනය	ඔහුට දේශපාලනය ගැන මහත් උනන්දුවක් ඇත.
正	නිවැරදි	මේ පිළිතුර නිවැරදිය.
证件	හැඳුනුම් ලේඛනය	කරුණාකර ඔබේ හැඳුනුම් ලේඛනය පෙන්වන්න.
证据	සාක්ෂිය	පොලිසිය නව සාක්ෂි සොයා ගත්තේය.
支	දිගු දේවල් ගණන් කරන පදය	මේසය මත පෑනක් ඇත.
支票	චෙක්පත	ඔහු චෙක්පතකින් ගෙවීය.
执照	බලපත්‍රය	වාහනයක් ධාවනය කිරීමට රියදුරු බලපත්‍රයක් අවශ්‍යය.
直	කෙළින්	මේ පාර දිගේ කෙළින් ඉදිරියට යන්න.
指导	මාර්ගෝපදේශනය කිරීම	ගුරුවරයා අපට නිබන්ධනය ලිවීමට මාර්ගෝපදේශනය කළේය.
指挥	මෙහෙයවීම	ඔහු මේ ක්‍රියාව මෙහෙයවීම සඳහා වගකිව යුතුය.
制定	සකස් කිරීම	සමාගම නව සැලැස්මක් සකස් කළේය.
制度	ක්‍රමවේදය	පාසලට දැඩි ක්‍රමවේදයක් ඇත.
制造	නිෂ්පාදනය කිරීම	මේ කර්මාන්ත ශාලාව යන්ත්‍ර නිෂ්පාදනය කරයි.
制作	සෑදීම	ඇය උපන් දින කේක් එකක් සාදමින් සිටී.
志愿者	ස්වේච්ඡා සේවකයා	ස්වේච්ඡා සේවකයන් බොහෝ දෙනෙක් ක්‍රියාකාරකමට සහභාගී වූහ.
智慧	ප්‍රඥාව	මේ මහලු පුද්ගලයාට විශාල ප්‍රඥාවක් ඇත.
治疗	ප්‍රතිකාර කිරීම	වෛද්‍යවරයා රෝගියාට ප්‍රතිකාර කරමින් සිටී.
秩序	පිළිවෙළ	කරුණාකර පිළිවෙළ පවත්වා ගන්න.
至今	මේ දක්වා	මේ ප්‍රශ්නය මේ දක්වා විසඳී නැත.
至于	සම්බන්ධයෙන් නම්	වියදම් සම්බන්ධයෙන් නම්, අපි හෙට නැවත කතා කරමු.
中介	මැදිහත් ආයතනය	ඔහු මැදිහත් ආයතනයක් හරහා නිවසක් කුලියට ගත්තේය.
中心	මධ්‍යස්ථානය	රෝහල නගර මධ්‍යස්ථානයේ ඇත.
中旬	මාසයේ මැද දින	රැස්වීම මැයි මාසයේ මැද දිනවලට සැලසුම් කර ඇත.
种类	වර්ගය	මෙහි පලතුරු වර්ග බොහෝ ඇත.
重大	වැදගත්	මෙය වැදගත් තීරණයකි.
重量	බර	මේ පෙට්ටියේ බර කීයද?
周到	සැලකිලිමත්	ඔහුගේ සේවය ඉතා සැලකිලිමත්ය.
猪	ඌරා	ගොවිපළේ ඌරන් බොහෝ ඇති කර ඇත.
竹子	බම්බු	පැන්ඩා බම්බු කෑමට කැමතියි.
逐步	පියවරෙන් පියවර	සැලැස්ම පියවරෙන් පියවර ක්‍රියාත්මක වනු ඇත.
逐渐	ක්‍රමයෙන්	කාලගුණය ක්‍රමයෙන් සීතල විය.
主持	මෙහෙයවීම	ඇය අද රැස්වීම මෙහෙයවයි.
主动	මුල් වී	ඔහු මුල් වී සහපන්තිකයාට උදව් කළේය.
主观	විෂයපක්ෂ	මේ ඇගයීම ටිකක් විෂයපක්ෂය.
主人	සත්කාරකයා	සත්කාරකයා අපව උණුසුම් ලෙස පිළිගත්තේය.
主任	අධ්‍යක්ෂවරයා	අධ්‍යක්ෂවරයා කාර්යාලයේ සිටී.
主题	තේමාව	අද සාකච්ඡාවේ තේමාව පරිසර ආරක්ෂාවයි.
主席	සභාපති	සභාපති රැස්වීම ආරම්භ වූ බව නිවේදනය කළේය.
主张	මතයක් දැරීම	ඔහු ප්‍රථමයෙන් ගමනාගමන ප්‍රශ්නය විසඳිය යුතු බව කියයි.
煮	තම්බීම	අම්මා නූඩ්ල්ස් තම්බමින් සිටී.
注册	ලියාපදිංචි වීම	නව පරිශීලකයන් මුලින් ලියාපදිංචි විය යුතුය.
祝福	සුබ පැතුම්	මිතුරන් සුබ පැතුම් එවා ඇත.
抓	අල්ලා ගැනීම	දරුවා අම්මාගේ අත අල්ලා ගත්තේය.
抓紧	කාලය හොඳින් භාවිතා කිරීම	අපි කාලය හොඳින් භාවිතා කළ යුතුය.
专家	විශේෂඥයා	විශේෂඥයා යෝජනා ඉදිරිපත් කළේය.
专心	අවධානය යොමු කිරීම	පන්තියේදී අවධානයෙන් අසා සිටිය යුතුය.
转变	වෙනස් වීම	ඔහුගේ ආකල්පය වෙනස් විය.
转告	දන්වා යැවීම	කරුණාකර හෙට රැස්වීමක් ඇති බව ඔහුට දන්වා යවන්න.
装	දමා ගැනීම	කරුණාකර පොත් බෑගයට දමන්න.
装饰	අලංකාර කිරීම	ඔවුන් මල්වලින් කාමරය අලංකාර කළහ.
装修	අලුත්වැඩියා කිරීම	නව නිවස අලුත්වැඩියා කරමින් පවතී.
撞	ගැටීම	මංසන්ධියේදී මෝටර් රථ දෙකක් ගැටුණි.
状况	තත්ත්වය	වත්මන් තත්ත්වය සාපේක්ෂව ස්ථාවරය.
状态	තත්ත්වය	ඔහු අද ඉතා හොඳ තත්ත්වයක සිටී.
追	පසුපස හඹා යාම	දරුවා පිටුපසින් කුඩා බල්ලා පසුපස හඹා යයි.
追求	හඹා යාම	ඔහු නිතරම තම සිහිනය හඹා ගියේය.
咨询	උපදෙස් ලබා ගැනීම	ඔබට වෘත්තීය වෛද්‍යවරයෙකුගෙන් උපදෙස් ලබා ගත හැක.
姿势	ඉරියව්ව	කරුණාකර නිවැරදි ඉරියව්ව පවත්වා ගන්න.
资格	සුදුසුකම	ඔහුට තරගයට සහභාගී වීමේ සුදුසුකම ඇත.
资金	අරමුදල්	ව්‍යාපෘතියට තවත් අරමුදල් අවශ්‍යය.
资料	ද්‍රව්‍ය	කරුණාකර ද්‍රව්‍ය මට එවන්න.
资源	සම්පත්	ජලය වැදගත් ස්වභාවික සම්පතකි.
紫	දම්	ඇය දම් පැහැයට කැමතියි.
字母	අකුර	ඉංග්‍රීසි භාෂාවේ අකුරු විසි හයක් ඇත.
字幕	උපසිරැසි	මේ චිත්‍රපටයට චීන උපසිරැසි ඇත.
自从	සිට	උපාධිය ලබාගත් පසු සිට ඔහු ඉතා කලාතුරකින් ආපසු එයි.
自动	ස්වයංක්‍රීයව	මේ දොර ස්වයංක්‍රීයව විවෘත වේ.
自豪	ආඩම්බර වීම	මගේ ප්‍රගතිය ගැන මට ආඩම්බරය.
自觉	තමන්ම දැනුවත්ව	ඔහු තමන්ම දැනුවත්ව ගෙදර වැඩ අවසන් කළේය.
自私	ස්වාර්ථකාමී	මිනිසෙකු ඉතා ස්වාර්ථකාමී විය යුතු නැත.
自由	නිදහස	සෑම කෙනෙකුම නිදහස අගය කරයි.
自愿	ස්වේච්ඡාවෙන්	ඔවුන් ස්වේච්ඡාවෙන් ක්‍රියාකාරකමට සහභාගී වූහ.
综合	සමස්ත ලෙස සලකා බැලීම	අපි විවිධ සාධක සමස්ත ලෙස සලකා බැලිය යුතුය.
总裁	ප්‍රධාන විධායක නිලධාරියා	ප්‍රධාන විධායක නිලධාරියා අද කථාවක් කළේය.
总共	මුළු එකතුව	මේ සංචාරයට මුළු එකතුවෙන් යුවාන් තුන් දහසක් වැය විය.
总理	අග්‍රාමාත්‍යවරයා	අග්‍රාමාත්‍යවරයා රැස්වීමට සහභාගී විය.
总算	අවසානයේ	ප්‍රශ්නය අවසානයේ විසඳුණි.
总统	ජනාධිපතිවරයා	ජනාධිපතිවරයා රූපවාහිනී කථාවක් කළේය.
总之	සාරාංශයෙන්	සාරාංශයෙන්, අපි නියමිත වේලාවට අවසන් කළ යුතුය.
组	කණ්ඩායම	ගුරුවරයා අපව කණ්ඩායම් තුනකට බෙදුවේය.
组成	සෑදී තිබීම	ජලය හයිඩ්‍රජන් සහ ඔක්සිජන්වලින් සෑදී ඇත.
组合	සංයෝජනය	මේ වර්ණ සංයෝජනය ඉතා ලස්සනය.
组织	සංවිධානය කිරීම	පාසල සංචාරයක් සංවිධානය කළේය.
阻止	නවතා දැමීම	පොලිසිය අනතුරුදායක හැසිරීම නවතා දැමීය.
最初	මුලදී	මුලදී මට එතරම් තේරුණේ නැත.
醉	මත් වූ	ඔහු බොහෝ පානය කර ටිකක් මත් වී ඇත.
尊敬	ගෞරව කිරීම	සිසුන් හැමෝම ගුරුවරයාට ගෞරව කරති.
遵守	පිළිපැදීම	අපි ගමනාගමන නීති පිළිපැදිය යුතුය.
作品	කෘතිය	මේ චිත්‍රය ඔහුගේ කෘතියකි.
作为	ලෙස	ගුරුවරයෙකු ලෙස, ඔහු ඉතා ඉවසිලිවන්තය.
作文	රචනාව	ගුරුවරයා අපට රචනාවක් ලියන්නැයි කීවේය.
