simplified	LT	example_LT
台风	taifūnas	Prognozuojama, kad taifūnas rytoj pasieks krantą.
太空	kosmosas	Žmonija nuolat tyrinėja kosmosą.
泰斗	autoritetas	Jis yra kalbotyros autoritetas.
摊	prekystalis	Ji turguje pasistatė vaisių prekystalį.
瘫痪	paralyžius	Eismo avarija sukėlė jam apatinių galūnių paralyžių.
贪婪	godus	Godumas gali sunaikinti žmogų.
贪污	korupcija	Pareigūnas buvo tiriamas dėl korupcijos.
弹性	elastingumas	Ši medžiaga turi daug elastingumo.
坦白	prisipažinti	Galiausiai jis prisipažino tiesą.
叹气	atsidusti	Išgirdęs rezultatą jis negalėjo neatsidusti.
探测	aptikti	Įranga gali aptikti požeminį vandenį.
探索	tyrinėti	Mokslininkai toliau tyrinėja visatą.
探讨	aptarti	Ekspertai aptarė reformos planą.
探望	aplankyti	Savaitgalį eisiu į ligoninę aplankyti draugo.
倘若	jeigu	Jeigu lis, renginys bus atidėtas.
掏	ištraukti	Jis iš kišenės ištraukė raktą.
滔滔不绝	nesustodamas kalbėti	Pradėjęs kalbėti apie istoriją, jis kalba nesustodamas.
淘汰	pašalinti	Ši komanda buvo pašalinta anksčiau laiko.
陶瓷	keramika	Dzingdedženas garsėja keramika.
陶醉	susižavėti	Publika susižavėjo muzika.
讨好	įsiteikti	Jis nenori tyčia įsiteikti viršininkui.
特长	stiprybė	Piešimas yra jos stiprybė.
特定	konkretus	Prašome pateikti paraišką per konkretų laiką.
特意	specialiai	Specialiai atėjau tau padėkoti.
提拔	paaukštinti	Įmonė paaukštino ją į skyriaus vadovę.
提炼	išgauti	Gamykla iš rūdos išgauna metalą.
提示	paraginti	Sistema paragins įvesti slaptažodį.
提议	pasiūlyti	Ji pasiūlė rytoj tęsti diskusiją.
题材	tema	Šio filmo tema nauja.
体裁	žanras	Romanas ir poezija yra skirtingi žanrai.
体积	tūris	Šios dėžės tūris labai didelis.
体谅	suprasti	Prašome suprasti jo sunkumus.
体面	orus	Jis nori rasti orų darbą.
体系	sistema	Įmonė sukūrė išsamią mokymo sistemą.
天才	genijus	Šis vaikas laikomas muzikos genijumi.
天赋	talentas	Ji turi talentą mokytis kalbų.
天伦之乐	šeimos džiaugsmas	Senoliai mėgaujasi šeimos džiaugsmu.
天然气	gamtinės dujos	Miesto gyventojai gamina maistą naudodami gamtines dujas.
天生	įgimtas	Jis iš prigimties labai optimistiškas.
天堂	rojus	Ši vieta tarsi rojus žemėje.
天文	astronomija	Jis nuo vaikystės mėgsta astronomiją.
田径	lengvoji atletika	Mokykla surengė lengvosios atletikos varžybas.
田野	laukas	Pavasarį laukai buvo žali.
舔	laižyti	Šuniukas palaižė šeimininko ranką.
挑剔	išrankus	Ji labai išranki maistui.
条款	sąlyga	Sutarties sąlygas reikia atidžiai perskaityti.
条理	nuoseklumas	Jo kalba buvo labai nuosekli.
条约	sutartis	Dvi šalys pasirašė taikos sutartį.
调和	derėti	Šios dvi spalvos gerai dera.
调剂	paįvairinti	Sportas gali paįvairinti įtemptą gyvenimą.
调节	reguliuoti	Oro kondicionierius gali reguliuoti kambario temperatūrą.
调解	tarpininkauti	Bendruomenės darbuotojai padėjo tarpininkauti ginče.
调料	prieskoniai	Į sriubą reikia įdėti šiek tiek prieskonių.
挑拨	kurstyti	Nekurstykite santykių tarp kolegų.
挑衅	provokacija	Šie žodžiai turi aiškią provokaciją.
跳跃	šokinėti	Sportininkas pašoko tris kartus iš eilės.
亭子	paviljonas	Prie ežero yra mažas paviljonas.
停泊	švartuotis	Žvejybos laivas švartavosi uoste.
停顿	pauzė	Kalbėdamas jis padarė trumpą pauzę.
停滞	sustoti	Projektas sustojo dėl lėšų trūkumo.
挺拔	tiesus	Pušys auga aukštos ir tiesios.
通货膨胀	infliacija	Infliacija padidino pragyvenimo išlaidas.
通缉	ieškoti kaip įtariamojo	Policija ieško šio įtariamojo.
通俗	paprastas	Šios knygos kalba labai paprasta.
通讯	ryšiai	Šiuolaikinės ryšių technologijos sparčiai vystosi.
通用	universalus	Šis įkroviklis gana universalus.
同胞	tėvynainis	Užsienio tėvynainiai taip pat rūpinasi gimtinės raida.
同志	bendražygis	Senas bendražygis pasidalijo darbo patirtimi.
童话	pasaka	Vaikai prieš miegą mėgsta klausytis pasakų.
铜	varis	Ši statula pagaminta iš vario.
统筹兼顾	visapusiškai suderinti	Miesto planavimas turi visapusiškai suderinti visų šalių interesus.
统计	skaičiuoti	Mums reikia suskaičiuoti užsiregistravusiųjų skaičių.
统统	visi	Visi šie seni dokumentai turi būti archyvuoti.
统治	valdyti	Ši dinastija valdė tris šimtus metų.
投机	spekuliuoti	Jis uždirbo pinigų spekuliuodamas.
投票	balsuoti	Gyventojai rytoj dalyvaus balsavime.
投诉	skundas	Klientas pateikė platformai skundą dėl pardavėjo.
投降	pasiduoti	Priešo kariuomenė galiausiai pasirinko pasiduoti.
投掷	mesti	Sportininkas treniruojasi mesti ietį.
透露	atskleisti	Jis neatskleidė susitikimo detalių.
秃	plikas	Jis dar jaunas, bet jau nupliko.
突破	proveržis	Tyrime pasiektas didelis proveržis.
图案	raštas	Šio audinio raštas labai gražus.
徒弟	mokinys	Meistras moko mokinį taisyti laikrodžius.
涂抹	tepti	Prašome tepti tepalą aplink žaizdą.
途径	būdas	Internetas yra svarbus būdas gauti informaciją.
土壤	dirvožemis	Derlingas dirvožemis tinka daržovėms auginti.
团结	vienytis	Komanda turi vienytis ir bendradarbiauti.
团体	organizacija	Ši organizacija reguliariai rengia veiklas.
团圆	susivienyti	Pavasario šventė yra šeimos susivienijimo diena.
推测	spėti	Ekspertai spėja, kad kainos dar kils.
推翻	nuversti	Žmonės nuvertė seną santvarką.
推理	dedukcija	Šiame romane gausu dedukcinių siužetų.
推论	išvada	Šiai išvadai dar reikia įrodymų.
推销	reklamuoti	Jis atsakingas už naujų produktų reklamavimą.
吞吞吐吐	kalbėti neryžtingai	Atsakydamas į klausimą jis kalbėjo neryžtingai.
托运	registruoti bagažą	Keleiviai gali registruoti bagažą prie langelio.
拖延	atidėlioti	Nebeatidėliok mokėjimo laiko.
脱离	atsiskirti	Teorija negali atsiskirti nuo praktikos.
妥当	tinkamas	Šis susitarimas labai tinkamas.
妥善	tinkamai	Prašome tinkamai saugoti svarbius dokumentus.
妥协	kompromisas	Abi šalys galiausiai pasiekė kompromisą.
椭圆	elipsė	Žemės orbita artima elipsei.
唾弃	niekinti	Visuomenė niekina tokį sukčiavimą.
哇	vau	Vau, šis tiltas tikrai įspūdingas!
挖掘	kasti	Archeologų komanda kasa senovinį kapą.
娃娃	lėlė	Maža mergaitė laikė lėlę.
瓦解	suirti	Vidiniai prieštaravimai privertė sąjungą suirti.
歪曲	iškraipyti	Pranešimai neturėtų iškraipyti faktų.
外表	išvaizda	Nespręsk apie žmogų vien pagal išvaizdą.
外行	neišmanėlis	Teisės srityje esu visiškas neišmanėlis.
外界	išorinis pasaulis	Įmonė retai atsako į išorinio pasaulio kritiką.
外向	ekstravertiškas	Ji ekstravertiška ir turi daug draugų.
丸	tabletė	Gydytojas paskyrė jam kelias tabletes.
完备	išsamus	Ši medžiaga labai išsami.
完毕	baigti	Susitikimas jau baigtas.
玩弄	žaisti	Nežaisk kitų žmonių jausmais.
玩意儿	daikčiukas	Kas čia per naujas daikčiukas?
顽固	užsispyręs	Jo požiūris labai užsispyręs.
顽强	atkaklus	Sužeistasis pasirodė labai atkaklus.
惋惜	apgailestauti	Visi apgailestavo dėl nesėkmės.
挽回	susigrąžinti	Jis stengėsi susigrąžinti įmonės nuostolius.
挽救	išgelbėti	Gydytojai sėkmingai išgelbėjo paciento gyvybę.
万分	nepaprastai	Esu nepaprastai dėkingas už tavo pagalbą.
往常	įprastai	Šiandien karščiau nei įprastai.
往事	praeitis	Senolis dažnai prisimena praeities įvykius.
妄想	tuščiai svajoti	Jis tuščiai svajoja praturtėti per vieną naktį.
危机	krizė	Įmonė susiduria su rimta krize.
威风	įspūdingas	Generolas ant arklio atrodė labai įspūdingai.
威力	galia	Šio ginklo galia labai didelė.
威望	prestižas	Jis turi didelį prestižą kaime.
威信	autoritetas	Vadovai turi išlaikyti vyriausybės autoritetą.
微不足道	menkas	Šis nuostolis menkas.
微观	mikroekonominis	Šis kursas supažindina su mikroekonomika.
为难	sudaryti sunkumų	Nebesudaryk sunkumų padavėjui.
为期	trukti	Mokymai truks tris mėnesius.
唯独	tik	Visi atėjo, tik jis neatėjo.
维持	palaikyti	Policija palaiko tvarką įvykio vietoje.
维护	ginti	Turime ginti teisėtas teises ir interesus.
维生素	vitaminas	Vaisiuose gausu vitaminų.
违背	pažeisti	Šis sprendimas pažeidžia sutarties dvasią.
伪造	suklastoti	Kažkas suklastojo jo parašą.
委托	pavesti	Klientas pavedė advokatui tvarkyti bylą.
委员	komiteto narys	Kiekvienas komiteto narys išsakė nuomonę.
卫星	palydovas	Palydovas įskrido į numatytą orbitą.
喂	maitinti	Vaikas maitina kačiuką.
慰问	aplankyti	Vadovai nuvyko į ligoninę aplankyti sužeistųjų.
未免	pernelyg	Šis reikalavimas pernelyg aukštas.
畏惧	bijoti	Jis niekada nebijo sunkumų.
蔚蓝	žydras	Dangus tapo žydras.
温带	vidutinio klimato juosta	Šis augalas tinka vidutinio klimato juostai.
温和	nuosaikus	Jo politinė pozicija gana nuosaiki.
文凭	diplomas	Šiam darbui reikia universiteto diplomo.
文物	kultūros vertybė	Muziejus eksponavo brangias kultūros vertybes.
文献	literatūra	Straipsnyje cituojama daug literatūros.
文雅	elegantiškas	Jos elgesys elegantiškas.
文艺	menas ir literatūra	Šiame mieste stipri meno ir literatūros atmosfera.
问世	pasirodyti	Šis telefonas netrukus pasirodys rinkoje.
窝	lizdas	Medžyje yra paukščio lizdas.
乌黑	juodutėlis	Ji turi ilgus juodutėlius plaukus.
污蔑	šmeižti	Jis neigė šmeižęs konkurentą.
诬陷	apšmeižti	Įrodymai rodo, kad jis buvo apšmeižtas.
无比	nepaprastai	Išgirdęs žinią, jis jautėsi nepaprastai susijaudinęs.
无偿	neatlygintinas	Savanoriai teikia neatlygintinas paslaugas.
无耻	begėdiškas	Toks sukčiavimas yra labai begėdiškas.
无动于衷	abejingas	Susidūręs su kritika, jis liko abejingas.
无非	tiesiog	Jis tai daro tiesiog norėdamas sutaupyti pinigų.
无辜	nekaltas	Teismas pripažino jį nekaltu.
无精打采	be energijos	Šiandien jis atrodo visai be energijos.
无赖	chuliganas	Kaimo gyventojai nenori bendrauti su tuo chuliganu.
无理取闹	kelti triukšmą be priežasties	Prašome čia nekelti triukšmo be priežasties.
无能为力	bejėgis	Susidūrę su potvyniu, kaimo gyventojai buvo bejėgiai.
无穷无尽	begalinis	Dykuma atrodo begalinė.
无微不至	labai rūpestingas	Slaugytoja labai rūpestingai prižiūrėjo pacientą.
无忧无虑	be rūpesčių	Vaikai be rūpesčių žaidė ant pievos.
无知	neišmanymas	Neišmanymas nėra priežastis atsisakyti mokytis.
侮辱	įžeisti	Jo žodžiai įžeidė kitą pusę.
武器	ginklas	Šie ginklai saugomi centralizuotai.
武侠	kovos menų nuotykiai	Jis nuo mažens mėgo skaityti kovos menų nuotykių romanus.
武装	ginkluotas	Pasienio rajone sustiprintas ginkluotas patruliavimas.
舞蹈	šokis	Šis šokis turi ryškių tautinių bruožų.
务必	būtinai	Prašome būtinai atvykti laiku.
物美价廉	geras ir nebrangus	Šios parduotuvės prekės geros ir nebrangios.
物业	namo administracija	Namo administracija atsakinga už kvartalo remontą.
物资	atsargos	Pagalbos atsargos jau pristatytos į nelaimės zoną.
误差	paklaida	Matavimo rezultatuose yra nedidelė paklaida.
误解	nesusipratimas	Abi pusės per bendravimą pašalino nesusipratimą.
夕阳	saulėlydis	Saulėlydis nudažė dangų auksine spalva.
昔日	praeityje	Praeityje buvęs mažas kaimas virto miestu.
溪	upelis	Upelis teka iš kalnų.
熄灭	užgesinti	Prašome užgesinti žvakę.
牺牲	auka	Jie, gelbėdami žmones, paaukojo daug.
膝盖	kelis	Jis susižeidė kelį.
习俗	paprotys	Pavasario šventė turi daug tradicinių papročių.
媳妇	žmona	Jo žmona dirba ligoninėje.
袭击	užpulti	Audra užpuolė pakrantės miestą.
喜闻乐见	mėgstamas	Tokia programa yra mėgstama žiūrovų.
喜悦	džiaugsmas	Jos veide pasirodė džiaugsmo šypsena.
系列	serija	Įmonė pristatė naujų produktų seriją.
细菌	bakterija	Aukšta temperatūra gali naikinti bakterijas.
细胞	ląstelė	Žmogaus kūnas sudarytas iš daugybės ląstelių.
细致	kruopštus	Jos stebėjimas labai kruopštus.
峡谷	kanjonas	Upė teka per gilų kanjoną.
狭隘	siaurakaktis	Tokį siaurakaktį požiūrį reikia keisti.
狭窄	siauras	Šis takelis labai siauras.
霞	žara	Vakaro žara nudažė dangų raudonai.
下属	pavaldinys	Vadovas atidžiai išklausė pavaldinių nuomones.
先进	pažangus	Gamykla naudoja pažangią įrangą.
先前	ankstesnis	Ankstesnis planas jau pakeistas.
掀起	sukelti	Ši knyga sukėlė diskusijų bangą.
纤维	pluoštas	Šiame audinyje yra natūralaus pluošto.
鲜明	aiškus	Jo pozicija labai aiški.
嫌	nemėgti	Ji mano, kad kambarys per mažas.
嫌疑	įtarimas	Šis vyras kelia rimtą įtarimą.
弦	styga	Nutrūko viena gitaros styga.
衔接	susieti	Dviejų kursų turinys gerai susietas.
贤惠	rūpestinga	Ji laikoma rūpestinga ir darbščia.
闲话	apkalbos	Nekalbėk apkalbų kitiems už nugaros.
显著	reikšmingas	Gydymo poveikis labai reikšmingas.
宪法	konstitucija	Konstitucija saugo pagrindines piliečių teises.
现场	įvykio vieta	Žurnalistai jau atvyko į įvykio vietą.
现成	paruoštas	Virtuvėje yra paruošto maisto.
现状	dabartinė padėtis	Mums reikia suprasti dabartinę sektoriaus padėtį.
线索	užuomina	Policija rado naujų užuominų.
陷害	pakišti	Jis teigė, kad kažkas bandė jam pakišti.
陷阱	spąstai	Medžiotojas pastatė spąstus.
陷入	patekti	Įmonė pateko į finansinius sunkumus.
馅儿	įdaras	Šios bandelės įdaras labai kvapnus.
乡镇	miestelis	Miestelių mokyklų sąlygos gerėja.
相差	skirtis	Dviejų vietovių temperatūra skiriasi dešimčia laipsnių.
相等	lygus	Dviejų trikampių plotai lygūs.
相辅相成	papildyti vienas kitą	Teorija ir praktika papildo viena kitą.
相应	atitinkamas	Įmonė imsis atitinkamų priemonių.
镶嵌	inkrustuoti	Žiede inkrustuotas brangakmenis.
响亮	skambus	Jo atsakymas nuskambėjo skambiai.
响应	atsiliepti	Daug žmonių atsiliepė į aplinkosaugos iniciatyvą.
想方设法	visais būdais stengtis	Jie visais būdais stengėsi sumažinti sąnaudas.
向导	gidas	Vietinis gidas nuvedė mus į kalnus.
向来	visada	Jis visada vertino patikimumą.
向往	trokšti	Ji trokšta ramaus gyvenimo.
巷	skersgatvis	Sename skersgatvyje atsidarė daug mažų parduotuvių.
相声	komiškas dialogas	Senelis mėgsta klausytis tradicinių komiškų dialogų.
消除	pašalinti	Bendravimas gali pašalinti nesusipratimus.
消毒	dezinfekuoti	Gydytojas dezinfekuoja žaizdą.
消防	ugniagesyba	Ugniagesiai greitai atvyko į vietą.
消耗	eikvoti	Ilga kelionė eikvoja daug jėgų.
消灭	sunaikinti	Darbuotojai naikina kenkėjus.
潇洒	atsipalaidavęs	Jo eisena atrodo atsipalaidavusi ir pasitikinti.
销毁	sunaikinti	Muitinė sunaikino padirbtas prekes.
小心翼翼	labai atsargiai	Ji labai atsargiai atidarė dėžutę.
效益	nauda	Nauja įranga padidino gamybos naudą.
肖像	portretas	Ant sienos kabo jo portretas.
协会	asociacija	Ši asociacija padeda jauniems verslininkams.
协商	derėtis	Abi pusės nori toliau derėtis.
协调	koordinuoti	Projekto vadovas atsakingas už išteklių koordinavimą.
协议	susitarimas	Abi pusės pasirašė bendradarbiavimo susitarimą.
协助	padėti	Savanoriai padėjo senoliams pereiti gatvę.
携带	neštis	Keleiviams draudžiama neštis pavojingus daiktus.
屑	drožlės	Ant stalo yra daug medžio drožlių.
泄露	nutekinti	Darbuotojams draudžiama nutekinti klientų informaciją.
泄气	nusiminti	Po nesėkmės nenusimink.
谢绝	mandagiai atsisakyti	Viešbutis mandagiai atsisako įleisti išsineštinį maistą.
心得	įžvalgos	Ji pasidalijo mokymosi įžvalgomis.
心甘情愿	savo noru	Jis savo noru liko padėti.
心灵	siela	Muzika paguodė jos sielą.
心态	požiūris	Svarbu išlaikyti teigiamą požiūrį.
心疼	gailėti	Mama gailėjo sužeisto vaiko.
心血	pastangos	Šioje knygoje sutelktos autoriaus pastangos.
心眼儿	smulkmeniškumas	Jis šiek tiek smulkmeniškas.
新陈代谢	medžiagų apykaita	Sportas gali skatinti medžiagų apykaitą.
新郎	jaunikis	Jaunikis prie durų pasitiko svečius.
新娘	nuotaka	Nuotaka vilkėjo baltą vestuvinę suknelę.
新颖	novatoriškas	Šis dizainas labai novatoriškas.
欣慰	džiaugtis	Matydama vaiko pažangą, ji labai džiaugėsi.
欣欣向荣	klestintis	Miestelio turizmas klesti.
薪水	alga	Jo algos pakanka šeimai išlaikyti.
辛勤	darbštus	Ūkininkai darbščiai augina javus.
信赖	pasitikėti	Klientai labai pasitiki šia įmone.
信念	įsitikinimas	Tvirtas įsitikinimas jį palaikė.
信仰	tikėjimas	Ji gerbia skirtingus tikėjimus.
信誉	reputacija	Įmonė privalo saugoti reputaciją.
兴高采烈	labai džiugus	Vaikai labai džiugiai įbėgo į klasę.
兴隆	klestintis	Šios senos parduotuvės verslas klesti.
兴旺	klestėti	Rinkos ekonomika vis labiau klesti.
腥	žuviškas	Ši žuvis turi šiek tiek žuvišką kvapą.
刑事	baudžiamasis	Policija tiria baudžiamąją bylą.
形态	forma	Augalų forma keičiasi pagal aplinką.
行政	administracinis	Administracinis skyrius tvarko paraiškas.
兴致勃勃	su užsidegimu	Visi su užsidegimu aptarinėjo planą.
性感	seksualus	Ši vakarinė suknelė atrodo seksualiai.
性命	gyvybė	Gydytojas išgelbėjo jo gyvybę.
性能	našumas	Šio kompiuterio našumas geras.
凶恶	nuožmus	Šis šuo atrodo labai nuožmus.
凶手	žudikas	Policija pagaliau sučiupo žudiką.
汹涌	audringas	Audringos bangos daužė krantą.
胸怀	platus požiūris	Jis turi platų požiūrį.
胸膛	krūtinė	Kareivis iškėlė krūtinę.
雄厚	stiprus	Įmonė turi stiprų kapitalą.
雄伟	didingas	Šis tiltas labai didingas.
修复	atkurti	Inžinieriai atkuria sistemą.
修建	statyti	Vyriausybė planuoja statyti naują oro uostą.
修养	išprusimas	Geras išprusimas matomas smulkmenose.
羞耻	gėda	Pamelavęs jis pajuto gėdą.
嗅觉	uoslė	Šuns uoslė labai jautri.
绣	siuvinėti	Močiutė moka siuvinėti gėles.
虚假	melagingas	Svetainė paskelbė melagingą informaciją.
虚荣	tuštybė	Tuštybė privertė jį per daug išlaidauti.
虚伪	veidmainiškas	Jai nepatinka veidmainiški mandagumai.
需求	paklausa	Rinkos paklausa didėja.
须知	taisyklės	Prašome pirmiausia perskaityti registracijos taisykles.
许可	leidimas	Be leidimo įeiti negalima.
序言	pratarmė	Autorius pratarmėje paaiškino kontekstą.
畜牧	gyvulininkystė	Stepės tinka gyvulininkystei plėtoti.
酗酒	girtuokliavimas	Ilgalaikis girtuokliavimas kenkia sveikatai.
喧哗	triukšmauti	Bibliotekoje draudžiama triukšmauti.
宣誓	prisiekti	Nauji nariai susirinkime prisiekė.
宣扬	skelbti	Mokykla skelbia sąžiningumo ir patikimumo vertybes.
悬挂	kabėti	Ant sienos kabo paveikslas.
悬念	intriga	Filmo pabaigoje liko intriga.
悬殊	didelis skirtumas	Abiejų komandų pajėgumas labai skiriasi.
悬崖峭壁	status skardis	Šalia kalnų kelio yra status skardis.
旋律	melodija	Šios dainos melodija graži.
旋转	suktis	Vėjo malūnas sukasi vėjyje.
选拔	atrinkti	Mokykla atrenka sportininkus.
选举	rinkimai	Kaime vyko rinkimai.
选手	dalyvis	Šis dalyvis pasirodė stabiliai.
炫耀	girtis	Jis visada mėgsta girtis turtais.
削	mažinti	Įmonė sumažino kai kurias išlaidas.
削弱	susilpninti	Nuovargis susilpnina sprendimų priėmimą.
学说	teorija	Ši teorija turi didelę įtaką.
学位	laipsnis	Ji gavo magistro laipsnį.
雪上加霜	dar labiau pabloginti	Nedarbas ir liga dar labiau pablogino padėtį.
血压	kraujospūdis	Gydytojas priminė jam kontroliuoti kraujospūdį.
熏陶	ugdanti įtaka	Ją nuo mažens veikė ugdanti muzikos įtaka.
寻觅	ieškoti	Jie visur ieško tinkamo būsto.
巡逻	patruliuoti	Policija naktį patruliuoja gatvėse.
循环	cirkuliuoti	Vanduo cirkuliuoja sistemoje.
循序渐进	nuosekliai	Mokantis kalbos reikia judėti nuosekliai.
压迫	priespauda	Senoji santvarka engė paprastus žmones.
压岁钱	naujametiniai pinigai	Vaikas gavo naujametinių pinigų.
压缩	suspausti	Programinė įranga gali suspausti paveikslėlio dydį.
压抑	slopinti	Jis stengėsi slopinti vidinį pyktį.
压榨	spausti	Mašina spaudžia cukranendrių sultis.
压制	numalšinti	Vaistai gali numalšinti skausmą.
鸦雀无声	visiška tyla	Mokytojui įėjus, klasėje stojo visiška tyla.
亚军	antroji vieta	Ji varžybose užėmė antrąją vietą.
淹没	užlieti	Potvynis užliejo žemai esančius kaimus.
烟花爆竹	fejerverkai	Per šventes draudžiama leisti fejerverkus.
严峻	rimtas	Užimtumo padėtis vis dar rimta.
严寒	stiprus šaltis	Stiprus šaltis paveikė eismą.
严禁	griežtai drausti	Čia griežtai draudžiama rūkyti.
严厉	griežtas	Mokytojas jį griežtai sukritikavo.
严密	griežtas	Sandėlyje įrengta griežta stebėsena.
岩石	uola	Pajūrio uolos labai kietos.
延期	atidėti	Posėdis atidėtas iki kitos savaitės.
延伸	tęstis	Kelias tęsiasi į šiaurę.
延续	tęsti	Ši tradicija tęsiama šimtą metų.
沿海	pakrantės	Pakrantės miestuose prekyba išsivysčiusi.
炎热	kaitrus	Kaitrus oras vargina žmones.
言论	pasisakymas	Visuomenė atkreipė dėmesį į jo pasisakymus.
掩盖	slėpti	Jis bandė slėpti klaidą.
掩护	pridengti	Komandos draugai pridengė atsitraukimą.
掩饰	maskuoti	Ji stengėsi maskuoti nervingumą.
演变	keistis	Miesto struktūra nuolat keičiasi.
演习	pratybos	Mokykloje vyko priešgaisrinės pratybos.
演绎	išvesti	Mokytojas išvedė šią teoremą.
演奏	groti	Orkestras groja klasikinę muziką.
眼光	įžvalga	Jis turi gerą investavimo įžvalgą.
眼色	akių ženklas	Ji davė kolegai akių ženklą.
眼神	žvilgsnis	Jo žvilgsnis buvo labai ryžtingas.
厌恶	bjaurėtis	Jis bjaurisi apgaule.
验收	priėmimo patikra	Baigus projektą reikia atlikti priėmimo patikrą.
验证	patvirtinti	Eksperimentas patvirtino hipotezę.
氧气	deguonis	Pacientui reikia kvėpuoti deguonimi.
样品	pavyzdys	Klientas gavo produkto pavyzdį.
摇摆	svyruoti	Mažas laivas svyravo vėjyje ir bangose.
摇滚	rokenrolas	Jaunimas mėgsta rokenrolo muziką.
谣言	gandas	Neskleisk nepatvirtintų gandų.
遥控	valdyti nuotoliniu būdu	Jis telefonu nuotoliniu būdu valdo oro kondicionierių.
遥远	tolimas	Tas kaimas labai toli nuo miesto.
耀眼	akinantis	Saulės šviesa buvo labai akinanti.
要点	esminis punktas	Prašome užrašyti susitikimo esminius punktus.
要命	mirtinai	Šis kalnų kelias mirtinai pavojingas.
要素	veiksnys	Pasitikėjimas yra svarbus bendradarbiavimo veiksnys.
野蛮	žiaurus	Jis priešinasi žiauriam teisės taikymui.
野心	ambicija	Jo politinės ambicijos labai akivaizdžios.
液体	skystis	Šis skystis neturi spalvos.
一流	aukščiausios klasės	Šios ligoninės įranga aukščiausios klasės.
一如既往	kaip visada	Jis kaip visada mus palaiko.
依旧	vis dar	Lietus liovėsi, bet gatvės vis dar drėgnos.
依据	pagrindas	Nuosprendis turi remtis įstatymu.
依靠	remtis	Jie gyvena remdamiesi žemės ūkiu.
依赖	priklausyti	Vaikai negali per daug priklausyti nuo tėvų.
依托	remtis	Projektas vystomas remiantis vietiniais ištekliais.
衣裳	drabužiai	Ji persirengė švariais drabužiais.
一度	kadaise	Įmonė kadaise susidūrė su bankrotu.
一贯	nuoseklus	Jis nuosekliai priešinasi švaistymui.
一目了然	aišku iš pirmo žvilgsnio	Lentelės turinys aiškus iš pirmo žvilgsnio.
一向	visada	Ji visada punktuali.
仪器	prietaisas	Laboratorija nupirko naujų prietaisų.
仪式	ceremonija	Baigimo ceremonija vyks rytoj.
疑惑	abejonė	Studentams kilo abejonių dėl atsakymo.
遗产	paveldas	Šis senovinis miestas yra kultūros paveldas.
遗传	paveldėti	Ši liga gali būti paveldima.
遗留	palikti	Istorijos paliktas problemas reikia spręsti.
遗失	pamesti	Keleivis pametė pasą.
以便	kad	Prašome palikti telefono numerį, kad galėtume susisiekti.
以免	kad išvengtum	Išvyk anksčiau, kad išvengtum vėlavimo.
以往	ankstesnis	Ankstesnė patirtis verta dėmesio.
以至	iki	Apimtis išsiplėtė iki bendruomenės, net iki viso miesto.
以致	dėl to	Lietus nesiliovė, dėl to kelias buvo uždarytas.
一帆风顺	sklandus	Verslo pradžia negali visada būti sklandi.
一举两得	vienu šūviu du zuikiai	Važiuoti į darbą dviračiu reiškia vienu šūviu du zuikiai.
一丝不苟	kruopštus	Inžinierius kruopščiai tikrino laidus.
亦	taip pat	Jis taip pat pritarė šiam planui.
异常	nenormalus	Sistemoje atsirado nenormali situacija.
意料	lūkestis	Rezultatas visiškai pranoko lūkesčius.
意识	suvokti	Jis pamažu suvokė problemos rimtumą.
意图	ketinimas	Policija perprato jo ketinimą.
意味着	reikšti	Tyla nereiškia sutikimo.
意向	ketinimas	Abi pusės išreiškė ketinimą bendradarbiauti.
意志	valia	Sunkumai išbando žmogaus valią.
毅力	atkaklumas	Sėkmei reikia ilgalaikio atkaklumo.
毅然	ryžtingai	Ji ryžtingai paliko įmonę.
翼	sparnas	Buvo patikrintas lėktuvo sparnas.
阴谋	sąmokslas	Jie atskleidė šį sąmokslą.
音响	garso sistema	Svetainės garso sistema veikia gerai.
引导	vesti	Mokytojas veda mokinius mąstyti.
引擎	variklis	Automobilio variklis staiga užgeso.
引用	cituoti	Straipsnyje cituojama daug medžiagos.
隐蔽	pasislėpti	Kariai pasislėpė miške.
隐患	paslėptas pavojus	Senuose laiduose yra paslėptas saugumo pavojus.
隐瞒	nuslėpti	Jis nenuslėpė tiesos.
隐私	privatumas	Įmonė privalo saugoti vartotojų privatumą.
隐约	neryškus	Iš toli neryškiai girdėjosi daina.
饮食	mityba	Sveika mityba padeda atsigauti.
婴儿	kūdikis	Kūdikis ramiai miega.
英明	išmintingas	Vadovas priėmė išmintingą sprendimą.
英勇	drąsus	Ugniagesiai drąsiai išgelbėjo vaiką.
盈利	pelnas	Įmonė šiemet pradėjo gauti pelną.
迎面	priešais	Šaltas vėjas pūtė tiesiai į veidą.
应酬	socialiniai įsipareigojimai	Šį vakarą jis turi daug socialinių įsipareigojimų.
应邀	pakviestas	Ekspertas buvo pakviestas dalyvauti forume.
庸俗	vulgarus	Šios reklamos turinys labai vulgarus.
拥护	palaikyti	Visi palaiko naują politiką.
拥有	turėti	Jis turi daug patirties.
勇于	drįsti	Jauni žmonės turi drįsti bandyti.
永恒	amžinas	Meilė nėra amžinai nekintama.
涌现	atsirasti	Įvairiose vietose atsirado daug puikių mokytojų.
踊跃	aktyviai	Gyventojai aktyviai registravosi dalyvauti veikloje.
用户	vartotojas	Vartotojas gali pakeisti slaptažodį.
