simplified	KK	example_KK
颠倒	кері айналдыру	Сен екі санның ретін кері айналдырып жібердің.
典礼	рәсім	Бітіру рәсімі акт залында өтеді.
典型	типтік	Бұл типтік табыс мысалы.
点缀	сәндеу	Бірнеше кішкентай гүл ас үстелін сәндеп тұрды.
垫	төсеніш	Мына қағазды кесенің астына төсеніш етіп қойыңыз.
奠定	негіз қалау	Бұл ынтымақтастық ұзақ мерзімді қатынасқа негіз қалады.
惦记	уайымдау	Анасы алыстағы баласын үнемі уайымдайды.
电源	қуат көзі	Шығар алдында қуат көзін өшіріңіз.
叼	ауызға тістеу	Ит аузына бір сүйек тістеп алған.
雕刻	ою	Ол ағашқа өрнек ойғанды ұнатады.
雕塑	мүсін	Алаңның ортасында бір мүсін бар.
吊	көтеру	Жұмысшылар машинамен болат арқалықты көтерді.
调动	ауыстыру	Компания оны Шанхайға жұмысқа ауыстырды.
跌	түсу	Акция бағасы бүгін тағы түсті.
丁	текше	Рецептте картопты текше етіп турау жазылған.
叮嘱	қайта-қайта ескерту	Мұғалім бізге қауіпсіздікке көңіл бөлуді қайта-қайта ескертті.
盯	тесіле қарау	Басқаларға үнемі тесіле қарамаңыз.
定期	тұрақты түрде	Дәрігер оған денсаулығын тұрақты түрде тексеруге кеңес берді.
定义	анықтама	Алдымен осы ұғымның анықтамасын түсіндіріңіз.
丢人	ұят болу	Көпшілік алдында өтірік айту өте ұят.
丢三落四	ұмытшақ	Ол үнемі ұмытшақ, үйден шыққанда кілтін жиі ұмытады.
东道主	қабылдаушы	Қабылдаушы ретінде біз қонақтарға жақсы қарауымыз керек.
东张西望	жан-жаққа алаңдау	Сабақ кезінде жан-жаққа алаңдама.
董事长	директорлар кеңесінің төрағасы	Директорлар кеңесінің төрағасы бүгін жиналысқа қатысты.
冻结	бұғаттау	Банк бұл шотты уақытша бұғаттады.
动荡	тұрақсыздық	Соғыс бұл аймақты ұзақ уақыт тұрақсыз етті.
动机	уәж	Полиция оның уәжін тергеп жатыр.
动静	дыбыс	Бөлмеде ешқандай дыбыс жоқ еді.
动力	ынта	Қызығушылық - оқудың ынтасы.
动脉	артерия	Дәрігер оның артериясын тексерді.
动身	жолға шығу	Біз ертең таңертең әуежайға жолға шығамыз.
动手	қол көтеру	Іс анықталмайынша, ешкім қол көтермесін.
动态	барыс	Жобаның барысын үнемі бақылап отырыңыз.
动员	жұмылдыру	Мектеп оқушыларды еріктілік шараларына жұмылдырды.
栋	ғимарат өлшемі	Бұл ғимарат жиырма қабатты.
兜	қалта	Ол кілттерді пальтосының қалтасына салды.
陡峭	тік	Бұл тау жолы өте тік.
斗争	күрес	Олар қоршаған ортаны қорғау үшін күреседі.
督促	қадағалап талап ету	Менеджер бәрінен тапсырманы уақытында аяқтауды қадағалап талап етті.
毒品	есірткі	Кеден бір топ есірткіні тәркіледі.
独裁	диктатура	Адамдар диктатуралық билікке қарсы.
堵塞	бітелу	Қоқыс кәрізді бітеп тастады.
赌博	құмар ойын ойнау	Құмар ойын ауыр зардап әкелуі мүмкін.
杜绝	түбегейлі тоқтату	Компания ысырапты түбегейлі тоқтатуды талап етеді.
端	ұстау	Ол бір кесе ыстық шай ұстап кірді.
端午节	Дуаньу мерекесі	Дуаньу мерекесінде біз цзунцзы жейміз.
端正	түзету	Оқушылар оқу көзқарасын түзетуі керек.
短促	қысқа	Ол қысқа күрсініп қойды.
断定	қорытынды жасау	Қазір кім дұрыс, кім бұрыс екенін қорытынды жасауға болмайды.
