simplified	CS	example_CS
兴隆	dařit se	Tento starý obchod má velmi dobrý obchod
兴旺	rozkvétat	Tržní ekonomika stále více rozkvétá
腥	rybí	Tato ryba trochu rybinou páchne
刑事	trestní	Policie vyšetřuje trestní případ
形态	podoba	Podoba rostliny se mění podle prostředí
行政	správní	Správní oddělení vyřizuje žádosti
兴致勃勃	s velkým zájmem	Všichni s velkým zájmem diskutovali o plánu
性感	sexy	Tyto večerní šaty vypadají velmi sexy
性命	život	Lékař mu zachránil život
性能	výkon	Tento počítač má dobrý výkon
凶恶	divoký	Tento pes vypadá velmi divoce
凶手	vrah	Policie nakonec chytila vraha
汹涌	rozbouřený	Rozbouřené vlny narážely na břeh
胸怀	široká mysl	Má širokou mysl
胸膛	hruď	Voják vypjal hruď
雄厚	silný	Firma má silné finanční zdroje
雄伟	velkolepý	Tento most je velmi velkolepý
修复	opravovat	Inženýři opravují systém
修建	postavit	Vláda plánuje postavit nové letiště
修养	kultivovanost	Dobrá kultivovanost se ukazuje v detailech
羞耻	stud	Po lži pocítil stud
嗅觉	čich	Psí čich je velmi ostrý
绣	vyšívat	Babička umí vyšívat květiny
虚假	falešný	Web zveřejnil falešné informace
虚荣	marnivost	Marnivost ho přiměla utratit příliš mnoho peněz
虚伪	pokrytecký	Nemá ráda pokryteckou zdvořilost
需求	poptávka	Tržní poptávka roste
须知	pokyny	Prosím nejprve si přečtěte registrační pokyny
许可	povolení	Bez povolení nemůžete vstoupit
序言	předmluva	Autor v předmluvě vysvětluje pozadí
畜牧	chov zvířat	Pastvina je vhodná pro rozvoj chovu zvířat
酗酒	nadměrné pití	Dlouhodobé nadměrné pití škodí zdraví
喧哗	hluk	V knihovně je zakázáno dělat hluk
宣誓	přísahat	Noví členové na schůzi složili přísahu
宣扬	propagovat	Škola propaguje poctivost a důvěryhodnost
悬挂	viset	Na zdi visí obraz
悬念	napětí	Konec filmu zanechává napětí
悬殊	velký rozdíl	Rozdíl v síle obou týmů je obrovský
悬崖峭壁	strmé útesy	U horské silnice jsou strmé útesy
旋律	melodie	Tato píseň má krásnou melodii
旋转	točit se	Větrný mlýn se točí ve větru
选拔	vybrat	Škola vybírá sportovce
选举	volby	Vesnice uspořádala volby
选手	soutěžící	Tento soutěžící podal stabilní výkon
炫耀	chlubit se	Vždy se rád chlubí svým bohatstvím
削	snížit	Firma snížila některé výdaje
削弱	oslabit	Únava oslabuje úsudek
学说	teorie	Tato teorie má velký vliv
学位	titul	Získala magisterský titul
雪上加霜	zhoršit situaci	Ztratit práci a pak onemocnět opravdu zhoršilo situaci
血压	krevní tlak	Lékař mu připomněl, aby kontroloval krevní tlak
熏陶	ovlivnění	Od dětství byla ovlivněna hudbou
寻觅	hledat	Všude hledali vhodné bydlení
巡逻	hlídkovat	Policie v noci hlídkuje v ulicích
循环	obíhat	Voda v systému obíhá
循序渐进	postupovat krok za krokem	Učení jazyka by mělo postupovat krok za krokem
压迫	utlačovat	Starý systém utlačoval obyčejné lidi
压岁钱	novoroční peníze	Dítě dostalo novoroční peníze
压缩	komprimovat	Software dokáže komprimovat velikost obrázku
压抑	potlačit	Snažil se potlačit vnitřní hněv
压榨	lisovat	Stroj lisuje šťávu z cukrové třtiny
压制	potlačit	Lék může potlačit bolest
鸦雀无声	naprosté ticho	Po příchodu učitele bylo ve třídě naprosté ticho
亚军	druhé místo	V soutěži získala druhé místo
淹没	zaplavit	Povodeň zaplavila nízko položenou vesnici
烟花爆竹	ohňostroje a petardy	Během svátku jsou ohňostroje a petardy zakázány
严峻	vážný	Situace na trhu práce zůstává vážná
严寒	třeskutý mráz	Třeskutý mráz ovlivňuje dopravu
严禁	přísně zakázat	Kouření je zde přísně zakázáno
严厉	přísný	Učitel ho přísně kritizoval
严密	přísný	Sklad má přísný dohled
岩石	skála	Skály u moře jsou velmi tvrdé
延期	odložit	Schůze byla odložena na příští týden
延伸	táhnout se	Silnice se táhne na sever
延续	pokračovat	Tato tradice pokračuje už sto let
沿海	pobřežní	Pobřežní města rozvinula obchod
炎热	horký	Horké počasí lidi unavuje
言论	výroky	Veřejnost věnuje pozornost jeho výrokům
掩盖	zakrýt	Pokusil se zakrýt chybu
掩护	krýt	Spoluhráči měli na starosti krýt ústup
掩饰	skrývat	Usilovně se snažila skrýt nervozitu
演变	vyvíjet se	Uspořádání města se stále vyvíjí
演习	cvičení	Škola uspořádala požární cvičení
演绎	odvodit	Učitel odvodil tuto větu
演奏	hrát	Kapela hraje klasickou hudbu
眼光	vize	Má dobrou investiční vizi
眼色	pohled	Vrhne na kolegu pohled
眼神	pohled	Jeho pohled vypadal velmi odhodlaně
厌恶	nenávidět	Nenávidí klamavé chování
验收	přejímka	Po dokončení projekt potřebuje přejímku
验证	ověřit	Experiment ověřil hypotézu
氧气	kyslík	Pacient potřebuje dýchat kyslík
样品	vzorek	Klient obdržel vzorky výrobku
摇摆	houpat se	Loďka se houpala ve větru a vlnách
摇滚	rock	Mladí lidé mají rádi rockovou hudbu
谣言	fáma	Nešiřte neověřené fámy
遥控	dálkově ovládat	Pomocí telefonu dálkově ovládal klimatizaci
遥远	vzdálený	Ta vesnice je daleko od města
耀眼	oslnivý	Sluneční světlo bylo oslnivé
要点	hlavní body	Prosím zapište hlavní body schůze
要命	strašně	Tato horská cesta je strašně nebezpečná
要素	prvek	Důvěra je důležitý prvek spolupráce
野蛮	brutální	Staví se proti brutálnímu prosazování práva
野心	ambice	Jeho politická ambice je zřejmá
液体	kapalina	Tato kapalina nemá barvu
一流	prvotřídní	Tato nemocnice má prvotřídní vybavení
一如既往	jako vždy	Podporuje nás jako vždy
依旧	stále	Déšť ustal, ale ulice byla stále mokrá
依据	základ	Rozsudek musí být založen na zákoně
依靠	spoléhat se	Živí se tím, že se spoléhají na zemědělství
依赖	záviset	Děti by neměly příliš záviset na rodičích
依托	opírat se	Projekt se rozvíjí s oporou o místní zdroje
衣裳	oblečení	Převlékla se do čistého oblečení
一度	kdysi	Firma kdysi čelila bankrotu
一贯	soustavně	Vždy soustavně odporoval plýtvání
一目了然	na první pohled jasný	Obsah tabulky je na první pohled jasný
一向	vždy	Vždy chodila včas
仪器	přístroj	Laboratoř koupila nové přístroje
仪式	obřad	Promoce se bude konat zítra
疑惑	zmatený	Student byl z odpovědi zmatený
遗产	dědictví	Toto staré město je kulturní dědictví
遗传	dědit	Tato nemoc se může dědit
遗留	zanechaný	Problémy zanechané historií je třeba vyřešit
遗失	ztratit	Cestující ztratil pas
以便	aby	Prosím zanechte telefonní číslo, abychom vás mohli kontaktovat
以免	aby se předešlo	Odejděte dříve, aby se předešlo zpoždění
以往	minulý	Minulé zkušenosti stojí za konzultaci
以至	až do	Rozsah se rozšířil až na komunitu a dokonce celé město
以致	způsobit	Silný déšť pokračoval a způsobil přerušení silnic
一帆风顺	jít hladce	Začít podnikat nemůže vždy jít hladce
一举两得	dosáhnout dvou cílů najednou	Jízda do práce na kole může dosáhnout dvou cílů najednou
一丝不苟	pečlivý	Inženýr pečlivě zkontroloval kabeláž
亦	také	Také souhlasil s tímto plánem
异常	abnormální	V systému nastala abnormální situace
意料	očekávání	Výsledek byl zcela mimo očekávání
意识	uvědomit si	Postupně si uvědomil, že problém je vážný
意图	záměr	Policie prohlédla jeho záměr
意味着	znamenat	Mlčení neznamená souhlas
意向	úmysl	Obě strany vyjádřily úmysl spolupracovat
意志	vůle	Potíže prověřují vůli člověka
毅力	vytrvalost	Úspěch vyžaduje dlouhodobou vytrvalost
毅然	rozhodně	Rozhodně odešla z firmy
翼	křídlo	Křídlo letadla bylo zkontrolováno
阴谋	spiknutí	Odhalili spiknutí
音响	akustika	Obývací pokoj má dobrou akustiku
引导	vést	Učitel vedl studenty k přemýšlení
引擎	motor	Motor auta náhle zhasl
引用	citovat	Článek citoval velké množství materiálu
隐蔽	skrýt	Vojáci se skryli v lese
隐患	skryté riziko	Staré rozvody mají skrytá bezpečnostní rizika
隐瞒	zatajovat	Nezatajil pravdu
隐私	soukromí	Firma musí chránit soukromí uživatelů
隐约	matně	V dálce bylo matně slyšet zpěv
饮食	strava	Zdravá strava pomáhá zotavení
婴儿	kojenec	Kojenec klidně spí
英明	moudrý	Vedoucí učinil moudré rozhodnutí
英勇	statečný	Hasič statečně zachránil dítě
盈利	zisk	Firma začala letos vytvářet zisk
迎面	do tváře	Studený vítr nám foukal do tváře
应酬	společenské povinnosti	Dnes večer má mnoho společenských povinností
应邀	na pozvání	Odborník se zúčastnil fóra na pozvání
庸俗	vulgární	Obsah této reklamy je vulgární
拥护	podporovat	Všichni podporují novou politiku
拥有	mít	Má bohaté zkušenosti
勇于	odvážit se	Mladí lidé by se měli odvážit zkoušet
永恒	věčný	Láska není věčně neměnná
涌现	objevovat se	Všude se objevují vynikající učitelé
踊跃	nadšeně	Obyvatelé se nadšeně přihlásili k aktivitě
用户	uživatel	Uživatelé si mohou změnit heslo
优胜劣汰	přežití nejschopnějších	Tržní soutěž odráží přežití nejschopnějších
优先	přednost	Starší lidé mohou být obslouženi přednostně
优异	vynikající	Dosáhla vynikajících výsledků
优越	výhodný	Toto místo má výhodnou polohu
忧郁	melancholický	Jeho výraz vypadal melancholicky
油腻	mastný	Toto jídlo je příliš mastné
油漆	natírat	Dělníci natírají dveře
犹如	jako	Hladina jezera je jako zrcadlo
有条不紊	uspořádaně	Schůze probíhala uspořádaně
幼稚	naivní	Tato myšlenka je trochu naivní
诱惑	pokušení	Reklama je plná spotřebitelských pokušení
愚蠢	hloupý	Toto rozhodnutí je nesmírně hloupé
愚昧	nevědomý	Nevědomé představy brzdí pokrok
渔民	rybář	Rybáři za úsvitu vyplouvají na moře lovit ryby
舆论	veřejné mínění	Veřejné mínění má na případ velký vliv
与日俱增	den ode dne růst	Počet turistů den ode dne roste
宇宙	vesmír	Lidstvo neustále zkoumá vesmír
羽绒服	péřová bunda	V zimě je potřeba nosit péřovou bundu
寓言	bajka	Tato bajka je velmi poučná
愈	zlepšovat se	Stav se stále více zlepšuje
欲望	touha	Ovládl svou touhu nakupovat
熨	žehlit	Vyžehlila košili dohladka
玉	jadeit	Tento kus jadeitu má teplou barvu
预料	očekávání	Vývoj událostí překonal očekávání
预期	očekávání	Prodej byl pod očekáváním
预算	rozpočet	Rozpočet projektu potřebuje úpravu
预先	předem	Prosím připravte materiály předem
预言	předpověď	Jeho předpověď se nenaplnila
预兆	varovný signál	Bolest může být varovným signálem nemoci
冤枉	křivdit	Nekřivděte nevinnému člověku
元首	hlava státu	Hlavy obou států vedly jednání
元素	prvek	Kyslík je chemický prvek
元宵节	Svátek lampionů	Během Svátku lampionů se lidé dívají na lampiony
原告	žalobce	Žalobce předložil nové důkazy
原理	princip	Učitel vysvětlil princip stroje
原始	původní	Uchovali původní záznamy
原先	původní	Původní plán se už změnil
园林	zahrady	Sučouské zahrady jsou velmi slavné
圆满	úspěšný	Schůze dosáhla úplného úspěchu
源泉	zdroj	Praxe je zdrojem poznání
缘故	důvod	Rezignoval ze zdravotních důvodů
约束	omezovat	Systém omezuje chování zaměstnanců
乐谱	notový zápis	Pečlivě četla notový zápis
岳母	tchyně	O víkendu navštívil tchyni
孕育	vyživovat	Půda vyživuje nový život
蕴藏	obsahovat	Horská oblast obsahuje bohaté nerostné zdroje
运算	výpočet	Studenti procvičují matematické výpočty
运行	běžet	Systém běží stabilně
酝酿	zvažovat	Obě strany zvažují nový plán
杂技	akrobacie	Děti rády sledují akrobacii
杂交	hybridní	Vědci studují hybridní rýži
砸	rozbít	Šálek spadl na zem a rozbil se
咋	jak to	Jak to, že ses ještě nevrátil
栽培	pěstovat	Zahradník pěstoval mnoho květin
灾难	katastrofa	Město po katastrofě začalo s obnovou
宰	porazit	Vesničané během svátku porážejí ovce
再接再厉	pokračovat v úsilí	Po získání ceny tým pokračoval v úsilí
在意	záležet	Jí velmi záleží na názorech druhých
攒	šetřit	Šetří peníze na počítač
暂且	prozatím	Prozatím tuto otázku odložme
赞叹	obdivovat	Publikum obdivovalo hercův výkon
赞助	sponzorovat	Firma sponzorovala tuto soutěž
糟蹋	plýtvat	Neplýtvejte tímto čerstvým jídlem
遭受	utrpět	Pole utrpěla vážné sucho
遭殃	doplatit	Když se most zřítil, doplatili na to okolní obyvatelé
遭遇	narazit	Cestou narazili na sněhovou bouři
噪音	hluk	Stavební hluk ovlivňuje odpočinek
造型	tvar	Tento model auta má velmi osobitý tvar
责怪	obviňovat	Prosím neobviňujte dítě naslepo
贼	zloděj	Policie chytila toho zloděje
增添	přidat	Čerstvé květiny přidávají pokoji barvu
赠送	darovat	Obchod daruje malé dárky
扎	píchnout	Sestra mu píchla injekci
扎实	pevný	Jeho gramatické základy jsou pevné
渣	sedlina	Na dně šálku zůstala kávová sedlina
眨	mrknout	Mrkla očima
诈骗	podvod	Policie rozbila případ telefonního podvodu
摘要	abstrakt	Abstrakt článku je napsán jasně
债券	dluhopis	Investoři kupují státní dluhopisy
沾光	těžit	Také jsem z toho díky příteli těžil
瞻仰	vzdát úctu	Turisté vzdávají úctu u památníku hrdinů
展示	vystavit	Firma vystavila svůj nejnovější výrobek
展望	výhled	Zpráva nabízí výhled na budoucí trendy
展现	ukázat	Dílo ukazuje venkovský život
崭新	zbrusu nový	Koupil si zbrusu nové kolo
斩钉截铁	rozhodně	Rozhodně odmítla
占据	zabrat	Reklama zabrala celou stránku
占领	obsadit	Armáda obsadila horský průsmyk
战斗	bitva	Bitva trvala tři hodiny
战略	strategie	Firma upravila svou rozvojovou strategii
战术	taktika	Trenér změnil zápasovou taktiku
战役	tažení	Toto tažení změnilo situaci
章程	stanovy	Asociace přijala nové stanovy
帐篷	stan	U jezera postavili stany
障碍	překážka	Jazykové překážky ovlivňují komunikaci
招标	vypsat tendr	Stavební projekt vypsal veřejný tendr
招收	přijímat	Škola letos přijímá nové studenty
朝气蓬勃	plný energie	Mladý tým je plný energie
着迷	být fascinován	Dítě je fascinováno astronomií
沼泽	bažina	Expedice překročila bažinu
照样	jako obvykle	Pršelo, ale trénink pokračoval jako obvykle
照耀	osvětlovat	Sluneční světlo osvětluje náměstí
折腾	trápit se	Přestaň se trápit s tím starým počítačem
遮挡	zakrývat	Větve zakrývaly okno
折	složit	Složil papír do letadla
折磨	trápit	Dlouhodobá nespavost ji trápí
侦探	detektiv	Detektiv našel klíčovou stopu
斟酌	zvážit	Prosím pečlivě zvažte formulaci
珍贵	vzácný	Tyto fotografie jsou velmi vzácné
珍稀	vzácný	Chraňte vzácná divoká zvířata
珍珠	perla	Má perlové náušnice
真理	pravda	Praxe prověřuje pravdu
真相	skutečnost	Reportér se usilovně snažil zjistit skutečnost
真挚	upřímný	Vyjádřila upřímné poděkování
枕头	polštář	Tento polštář je příliš vysoký
振奋	povzbudit	Dobrá zpráva všechny povzbudila
振兴	oživit	Vláda podporuje oživení venkova
镇定	klidný	V nouzové situaci zůstal klidný
镇静	zachovat klid	Zdravotní sestra řekla pacientovi, aby zachoval klid
阵地	pozice	Vojáci udrželi pozici
阵容	sestava	Tým oznámil základní sestavu
震撼	ohromující	Tento film je mimořádně ohromující
震惊	šokovat	Tato zpráva šokovala celou zemi
争端	spor	Obě strany se snažily vyřešit hraniční spor
争夺	soutěžit o	Dvě firmy soutěží o podíl na trhu
争气	dělat čest	Pilně studuje, aby dělal rodině čest
争先恐后	předhánět se	Turisté se předháněli při nastupování do autobusu
争议	kontroverze	Toto rozhodnutí vyvolalo kontroverzi
征服	dobýt	Horolezec dobyl vrchol
征收	vybírat	Vláda vybírá daně podle zákona
挣扎	zápasit	Pták zápasil v síti
正月	první lunární měsíc	Během prvního lunárního měsíce se příbuzní navštěvují
蒸发	vypařit se	Vlhkost se rychle vypařila
整顿	reorganizovat	Firma začala reorganizovat řízení
政策	politika	Nová politika podporuje malé podniky
政权	režim	Válka změnila místní režim
正当	oprávněný	Vznesl oprávněný požadavek
正负	kladný a záporný	Přístroj ukazuje kladnou a zápornou chybu
正规	řádný	Dítě nastoupilo do řádné školy
正经	vážně	Nakonec začal mluvit vážně
正气	spravedlnost	Společnost potřebuje podporovat spravedlnost
正义	spravedlnost	Právník hájil spravedlnost
正宗	autentický	Tato restaurace prodává autentické sečuánské jídlo
症状	příznak	Horečka je běžný příznak
证实	potvrdit	Vyšetřování potvrdilo jeho výpověď
证书	certifikát	Získala odborný certifikát
郑重	vážný	Slavnostně slíbil, že převezme odpovědnost
之际	v době	V době blížícího se Svátku jara jsou všichni zaneprázdnění
支撑	podpírat	Sloupy podpírají střechu
支出	výdaj	Výdaje domácnosti se znatelně zvýšily
支流	přítok	Tato řeka je přítokem Jang-c’-ťiangu
支配	ovládat	Emoce by neměly ovládat úsudek
支援	podpora	Lékaři z mnoha míst přijeli poskytnout podporu
支柱	pilíř	Výroba je pilířem místní ekonomiky
枝	větev	Ulomila větev květin
知觉	vědomí	Zraněný postupně nabyl vědomí
知足常乐	spokojenost přináší štěstí	Stařec často říká, že spokojenost přináší štěstí
脂肪	tuk	Ořechy obsahují zdravé tuky
侄子	synovec	Můj synovec letos nastoupil do základní školy
值班	mít službu	Zdravotní sestra má dnes večer službu
执行	vykonat	Soud vykonal rozsudek
执着	vytrvalý	Ve svých ideálech je velmi vytrvalý
殖民地	kolonie	Tento ostrov byl kdysi kolonií
直播	živý přenos	Zápas bude dnes večer živě přenášen online
直径	průměr	Průměr tohoto kruhu je deset centimetrů
职能	funkce	Funkce oddělení je třeba znovu rozdělit
职位	pozice	Ucházela se o manažerskou pozici
职务	funkce	Jeho funkcí je dohled nad projektem
指标	cíl	Prodejní cíl už byl splněn
指定	určit	Učitel ho určil, aby odpověděl na otázku
指甲	nehet	Ostříhala si nehty nakrátko
指令	příkaz	Počítač obdržel nový příkaz
指南针	kompas	Horolezec si vzal kompas
指示	pokyn	Manažer dal jasné pokyny
指望	spoléhat se	Nespoléhej na druhé, že to dokončí za tebe
指责	kritizovat	Veřejnost kritizovala firmu za znečišťování životního prostředí
制裁	sankce	Mezinárodní společenství uvalilo ekonomické sankce
制服	uniforma	Strážný měl tmavě modrou uniformu
制约	omezovat	Nedostatek financí omezuje rozvoj
制止	zastavit	Policie konflikt včas zastavila
志气	ambice	Mladí lidé by měli mít ambice
智力	inteligence	Hry mohou rozvíjet inteligenci
智能	chytrý	Chytrá zařízení jsou stále běžnější
智商	IQ	IQ nemůže rozhodovat o všem
治安	veřejný pořádek	Veřejný pořádek v komunitě se výrazně zlepšil
治理	správa	Vláda posílila správu řek
滞留	uvíznout	Cestující uvázli na letišti kvůli silnému sněžení
致辞	proslov	Ředitel měl na slavnosti proslov
致力	věnovat se	Tým se věnuje technologickým inovacím
致使	způsobit	Chyby v řízení způsobily zpoždění projektu
中断	přerušit	Silný déšť způsobil přerušení komunikace
中立	neutrální	Tato země zachovává neutrální postoj
中央	střed	Fontána je ve středu náměstí
忠诚	loajální	Zaměstnanci jsou loajální vůči firmě
忠实	věrný	Je věrným čtenářem těchto novin
终点	cíl	Cíl je už těsně před námi
终究	nakonec	Problém bude nakonec vyřešen
终身	celoživotní	Rozhodl se celoživotně pracovat ve vzdělávání
终止	ukončit	Smlouva bude ukončena na konci příštího měsíce
衷心	upřímně	Upřímně vám děkuji za pomoc
种子	semeno	Zemědělci zaseli nová semena
种族	rasa	Zákon zakazuje rasovou diskriminaci
肿瘤	nádor	Lékař našel nezhoubný nádor
众所周知	jak všichni vědí	Jak všichni vědí, voda je důležitá
种植	pěstovat	Toto místo je vhodné pro pěstování hroznů
重心	těžiště	Těžiště práce se přesunulo ke službám
周边	okolí	Doprava v okolí školy je přetížená
周密	důkladný	Vypracovali důkladný plán
周年	výročí	Firma oslavila desáté výročí
周期	cyklus	Cyklus aktualizace produktu se zkrátil
周折	komplikace	Vyřízení formalit přineslo mnoho komplikací
周转	obrat	Firma má potíže s obratem hotovosti
州	stát	Žije v Kalifornii ve Spojených státech
粥	kaše	Pacient ráno jedl kaši
舟	loďka	Malá loďka se pomalu přiblížila ke břehu
昼夜	dnem i nocí	Dělníci opravovali silnici dnem i nocí
皱纹	vráska	Babička má na tváři mnoho vrásek
株	rostlina	Na dvoře byly vysazeny tři stromy
诸位	vážení	Děkuji vám všem, že jste dnes přišli
逐年	rok od roku	Provozní náklady rok od roku rostou
主办	pořádat	Škola pořádala festival umění
主导	vést	Tržní poptávka vede návrh produktu
主管	vedoucí	Vedoucí odpovídá za schválení rozpočtu
主流	hlavní proud	Ekologické myšlenky se staly hlavním proudem
主权	suverenita	Národní suverenita musí být respektována
主义	doktrína	Studuje různé politické doktríny
嘱咐	připomenout	Matka mu opakovaně připomínala, aby si vzal deštník
拄	opírat se	Stařec chodí s holí
住宅	obytný dům	Tato oblast je převážně obytná
助理	asistent	Asistent uspořádal materiály na schůzi
助手	pomocník	Robot je pomocníkem v laboratoři
注射	injekce	Lékař pacientovi aplikoval lék injekcí
注视	upřeně hledět	Upřeně hleděla do dálky
注释	poznámka	Vedle textu jsou podrobné poznámky
注重	klást důraz	Firma klade důraz na kvalitu produktů
著作	dílo	Toto dílo má dalekosáhlý vliv
铸造	odlévat	Továrna odlévá velké součásti
驻扎	rozmístěný	Jednotky jsou rozmístěny na hranici
拽	táhnout	Odtáhl krabici do pokoje
专长	specializace	Analýza dat je její specializace
专程	jet zvlášť	Udělal zvláštní cestu, aby navštívil učitele
专利	patent	Firma požádala o nový patent
专题	speciální téma	Televizní stanice odvysílala speciální pořad o ochraně životního prostředí
砖	cihla	Dělníci přivezli vozík cihel
转达	vyřídit	Prosím vyřiďte mé poděkování
转让	převést	Rozhodl se převést obchod
转移	přesunout	Zdravotní sestra přesunula raněné
转折	obrat	V příběhu se objevil zásadní obrat
传记	životopis	Píše životopis svého otce
庄稼	plodiny	Déšť vyživil plodiny
庄严	slavnostní	Obřad měl slavnostní atmosféru
庄重	důstojný	Měl na sobě důstojný společenský oděv
装备	vybavení	Tým je vybaven pokročilým vybavením
装卸	nakládka a vykládka	Přístavní dělníci odpovídají za nakládku a vykládku zboží
壮观	velkolepý	Scenérie vodopádu je velmi velkolepá
壮丽	majestátní	Zdejší hory a řeky jsou majestátní
壮烈	hrdinsky	Hrdina hrdinsky zemřel
幢	dům	Na rohu stojí starý dům
追悼	pietní	Lidé se zúčastnili pietního obřadu
追究	vyšetřit	Firma vyšetří odpovědnost
坠	spadnout	Listy spadly z větví
准则	zásada	Poctivost je zásadou spolupráce
卓越	vynikající	Dosáhla vynikajících výsledků
琢磨	přemýšlet	Opakovaně přemýšlel o tomto problému
着手	začít	Tým zítra začne vyšetřování
着想	brát ohled	Rodiče vždy berou ohled na potřeby svých dětí
着重	zdůrazňovat	Zpráva zdůrazňuje analýzu nákladů
姿态	postoj	Zachovala skromný postoj
滋润	zvlhčit	Jarní déšť zvlhčil zemi
滋味	pocit	Pocit neúspěchu je těžké snést
资本	kapitál	Začít podnikat vyžaduje určitý kapitál
资产	aktiva	Aktiva firmy neustále rostou
资深	zkušený	Tento případ řešil zkušený právník
资助	finančně podporovat	Nadace finančně podporuje chudé studenty
子弹	kulka	Kulka zasáhla zeď
自卑	méněcenný	Už se necítí méněcenně
自发	spontánní	Obyvatelé spontánně uklidili ulici
自力更生	soběstačnost	Vesničané trvají na soběstačnosti
自满	samolibý	Po úspěchu by člověk neměl být samolibý
自主	samostatný	Studenti si musí rozvíjet schopnost samostatného učení
宗教	náboženství	Studuje světová náboženství
宗旨	cíl	Cílem organizace je sloužit komunitě
棕色	hnědý	Koupila si hnědé kožené boty
踪迹	stopy	Policie našla stopy podezřelého
总而言之	stručně řečeno	Stručně řečeno, plán je proveditelný
总和	součet	Zisk je rozdíl mezi celkovými příjmy a náklady
纵横	křižovat se	Řeky křižují rovinu
走廊	chodba	Děti se seřadily na chodbě
走漏	uniknout	Zpráva nesmí uniknout ven
走私	pašovat	Celníci zabavili pašované zboží
揍	zbít	Zbilo ho několik opilých mužů
租赁	pronajmout	Firma si pronajala novou kancelář
足以	dostačující	Tento důkaz je dostačující k vysvětlení problému
祖父	dědeček	Dědeček rád vypráví staré příběhy
祖国	vlast	Hluboce miluje svou vlast
祖先	předkové	Uctívají své předky
阻碍	bránit	Nedostatek financí brání postupu projektu
阻拦	zabránit	Stráž zabránila cizím lidem ve vstupu
阻挠	mařit	Někdo úmyslně mařil vyšetřování
钻研	studovat do hloubky	Do hloubky studuje starověkou literaturu
钻石	diamant	V prstenu je zasazen diamant
嘴唇	ret	Studený vítr popraskal rty
罪犯	zločinec	Policie zatkla uprchlého zločince
尊严	důstojnost	Každý by měl mít důstojnost
遵循	dodržovat	Lékaři dodržují přísné normy
作弊	podvádět	Podvádění u zkoušek bude potrestáno
作废	neplatný	Stará vstupenka je už neplatná
作风	pracovní styl	Pracovní styl vedoucího je praktický
作息	režim práce a odpočinku	Pravidelný režim práce a odpočinku prospívá zdraví
做主	rozhodnout	O této věci rozhodni ty
座右铭	životní motto	Jeho životním mottem je nikdy se nevzdávat
