simplified	UZ	example_UZ	KK	example_KK	AZ	example_AZ
预习	darsga oldindan tayyorlanmoq	Iltimos, matnni yaxshilab oldindan tayyorlab kelinglar.	алдын ала оқу; дайындалу	Мәтінді жақсылап алдын ала оқып келіңіздер.	öncədən hazırlaşmaq	Zəhmət olmasa, mətni yaxşıca öncədən oxuyun.
原来	avvalgi; asl	Men hali ham avvalgi joyda yashayman.	бұрынғы; бастапқы	Мен әлі де бұрынғы жерде тұрамын.	əvvəlki; ilkin	Mən hələ də əvvəlki yerdə yaşayıram.
原谅	kechirmoq	Iltimos, hozirgina aytgan gapimni kechiring.	кешіру	Жаңа ғана айтқан сөзімді кешіріңіз.	bağışlamaq	Zəhmət olmasa, indicə dediyim sözləri bağışlayın.
原因	sabab	U sababini juda aniq tushuntirdi.	себеп	Ол себебін өте анық түсіндірді.	səbəb	O səbəbi çox aydın izah etdi.
约会	uchrashuv; romantik uchrashuv	U Kichik Li bilan uchrasha boshladi.	кездесу; романтикалық кездесу	Ол Кіші Лимен кездесе бастады.	görüş; romantik görüş	O, Kiçik Li ilə görüşməyə başladı.
阅读	o'qimoq; o'qish	Men bu romanni o'qiyapman.	оқу	Мен бұл романды оқып жатырмын.	oxumaq; mütaliə etmək	Mən bu romanı oxuyuram.
云	bulut	Osmondagi bulutlar tobora ko'paymoqda.	бұлт	Аспандағы бұлттар көбейіп барады.	bulud	Göydə buludlar getdikcə çoxalır.
允许	ruxsat bermoq	Iltimos, o'zimni tanishtirishga ruxsat bering.	рұқсат ету	Өзімді таныстыруға рұқсат етіңіз.	icazə vermək	Zəhmət olmasa, özümü təqdim etməyə icazə verin.
杂志	jurnal	Bu jurnaldagi maqolalarning hammasi yaxshi yozilgan.	журнал	Бұл журналдағы мақалалардың бәрі жақсы жазылған.	jurnal	Bu jurnaldakı məqalələrin hamısı yaxşı yazılıb.
咱们	biz	Bizning bu oydagi yashash xarajatimiz qancha?	біз	Біздің осы айдағы тұрмыс шығынымыз қанша?	biz	Bu ay yaşayış xərclərimiz nə qədərdir?
暂时	vaqtincha	U mashinani vaqtincha yo'l chetiga qo'ydi.	уақытша	Ол көлікті уақытша жол шетіне қойды.	müvəqqəti	O maşını müvəqqəti yol kənarında saxladı.
脏	iflos	Men ehtiyotsizlik bilan kiyimimni iflos qildim.	лас	Мен байқамай киімімді ластап алдым.	çirkli	Mən təsadüfən paltarımı çirkləndirdim.
责任	mas'uliyat; burch	Bu ishda hammamizning mas'uliyatimiz bor.	жауапкершілік; міндет	Бұл істе бәріміздің жауапкершілігіміз бар.	məsuliyyət; vəzifə	Bu məsələdə hamımızın məsuliyyəti var.
增加	ko'paymoq; oshirmoq	Bu yil o'quvchilar soni ko'paydi.	көбею; арттыру	Биыл оқушылар саны көбейді.	artmaq; artırmaq	Bu il şagirdlərin sayı artdı.
占线	band bo'lmoq; liniya band	Men ketma-ket bir necha marta qo'ng'iroq qildim, uning telefoni band edi.	желі бос емес; телефон бос емес	Мен бірнеше рет қатарынан қоңырау шалдым, оның телефоны бос емес болды.	xətt məşğul olmaq	Bir neçə dəfə ard-arda zəng etdim, onun telefonu məşğul idi.
招聘	ishga qabul qilmoq; rekrutment	Kompaniya yangi xodimlarni ishga qabul qilyapti.	жұмысқа алу; қабылдау	Компания жаңа қызметкерлерді жұмысқа алып жатыр.	işə qəbul etmək; işə qəbul	Şirkət yeni işçilər işə götürür.
照	bo'yicha; amal qilmoq	Shu rejaga amal qilib bajaring.	бойынша; орындау	Осы жоспар бойынша істеңіз.	uyğun; əməl etmək	Bu plana əməl edin.
真正	haqiqiy; chinakam	Haqiqiy do'st qiyinchilikka duch kelganingizda yordam beradi.	шын; нағыз	Нағыз дос қиындыққа кездескенде көмектеседі.	əsl; həqiqi	Əsl dost çətinliklə qarşılaşanda sənə kömək edər.
整理	tartibga keltirmoq; yig'ishtirmoq	Iltimos, stol ustidagi kitoblarni tartibga keltiring.	реттеу; жинастыру	Үстелдегі кітаптарды реттеп қойыңыз.	səliqəyə salmaq; düzəltmək	Zəhmət olmasa, masanın üstündəki kitabları səliqəyə salın.
正常	normal; odatiy	Ta'mirdan keyin kompyuterim yana normal ishlay boshladi.	қалыпты	Жөндегеннен кейін компьютерім қайтадан қалыпты жұмыс істей алды.	normal	Təmirdən sonra kompüterim yenə normal işləyə bildi.
正好	aynan; to'g'ri	Siz aytgan narsa men tushunganimning aynan aksi.	дәл; тура	Сен айтқан нәрсе мен түсінгеннің дәл керісінше.	tam; məhz	Sənin dediyin mənim başa düşdüyümün tam əksidir.
正确	to'g'ri	Sizning hukmingiz butunlay to'g'ri.	дұрыс	Сіздің пайымыңыз толық дұрыс.	düzgün	Sizin mühakiməniz tamamilə doğrudur.
正式	rasmiy	Endi o'yin rasman boshlanadi.	ресми	Енді жарыс ресми түрде басталады.	rəsmi	İndi oyun rəsmi olaraq başlayır.
证明	isbotlamoq; dalil	Faktlar uning haq ekanini isbotladi.	дәлелдеу; дәлел	Деректер оның дұрыс екенін дәлелдейді.	sübut etmək; sübut	Faktlar onun haqlı olduğunu sübut edir.
之	...dan biri; ...ning	Bu Xitoy madaniyatining bir qismidir.	бірі; -ның	Бұл Қытай мәдениетінің бірі.	biri; -ın	Bu Çin mədəniyyətinin bir hissəsidir.
支持	qo'llab-quvvatlamoq	Ikkalamiz bir-birimizni qo'llab-quvvatlashimiz kerak.	қолдау	Екеуміз бір-бірімізді қолдауымыз керек.	dəstəkləmək	İkimiz bir-birimizi dəstəkləməliyik.
知识	bilim	Men o'qish orqali ko'p bilim oldim.	білім	Мен оқу арқылы көп білім алдым.	bilik	Mən oxumaqdan çox bilik əldə etdim.
值得	arziydigan; munosib	Bu roman o'qishga arziydi.	тұрарлық; лайық	Бұл роман оқуға тұрарлық.	dəyər; layiq olmaq	Bu roman oxumağa dəyər.
植物	o'simlik	Bu turdagi o'simlikka ko'p quyosh nuri kerak.	өсімдік	Бұл өсімдікке көп күн сәулесі керек.	bitki	Bu növ bitkiyə çox günəş işığı lazımdır.
直接	bevosita; to'g'ridan-to'g'ri	Ishdan keyin u to'g'ridan-to'g'ri uyga qaytdi.	тікелей	Жұмыстан кейін ол тікелей үйге қайтты.	birbaşa	İşdən sonra o birbaşa evə getdi.
职业	kasb; mutaxassislik	Sizning orzuingizdagi kasb nima?	кәсіп; мамандық	Арманыңдағы мамандық қандай?	peşə; sənət	Sənin ideal peşən nədir?
只好	majbur bo'lmoq	Yomg'ir juda kuchli yog'di, biz uyda qolishga majbur bo'ldik.	амалсыз; мәжбүр болу	Жаңбыр қатты жауды, біз амалсыз үйде қалдық.	məcbur olmaq	Yağış çox güclü yağdı, evdə qalmağa məcbur olduq.
只要	faqat ... bo'lsa; agar	Faqat harakat qilsangiz, bu ishni albatta yaxshi bajarasiz.	тек ... болса; егер	Тек еңбектенсең, бұл істі міндетті түрде жақсы істей аласың.	yetər ki; əgər	Yetər ki çalışasan, bu işi mütləq yaxşı görə biləcəksən.
指	ko'rsatmoq; ishora qilmoq	Xatomni ko'rsatganingiz uchun rahmat.	көрсету; нұсқау	Қатемді көрсеткеніңіз үшін рақмет.	göstərmək; işarə etmək	Səhvimi göstərdiyiniz üçün təşəkkür edirəm.
至少	kamida	Bu bino kamida yuz metr baland.	кемінде	Бұл ғимарат кемінде жүз метр биік.	ən azı	Bu bina ən azı yüz metr hündürdür.
质量	sifat	Bu juft oyoq kiyimning sifati juda yaxshi.	сапа	Бұл аяқ киімнің сапасы өте жақсы.	keyfiyyət	Bu ayaqqabının keyfiyyəti çox yaxşıdır.
重	og'ir	Bu quti juda og'ir.	ауыр	Бұл жәшік өте ауыр.	ağır	Bu qutu çox ağırdır.
重点	asosiy nuqta; diqqat markazi	U hozir aytgan narsa muammoning asosiy nuqtasi.	негізгі түйін; басты назар	Оның жаңа айтқаны мәселенің негізгі түйіні.	əsas məqam; diqqət mərkəzi	Onun indicə dediyi problemin əsas məqamıdır.
重视	qadrlamoq; muhim deb bilmoq	Ota-onalar bolalarning ta'limiga katta ahamiyat beradi.	маңыз беру; қадірлеу	Ата-аналар балалардың біліміне үлкен мән береді.	dəyər vermək; əhəmiyyət vermək	Valideynlər uşaqların təhsilinə böyük əhəmiyyət verirlər.
周围	atrof; atrofida	Maktab atrofida ko'p do'konlar bor.	айналасы; төңірек	Мектептің айналасында көп дүкен бар.	ətraf; ətrafında	Məktəbin ətrafında çoxlu mağaza var.
主意	fikr; g'oya	Yaxshi fikringiz bo'lsa, ayting, eshitaylik.	ой; идея	Жақсы ойың болса, айт, тыңдайық.	fikir; ideya	Yaxşı fikrin varsa, de, eşidək.
祝贺	tabriklamoq; tabrik	Yaxshi natijaga erishganingiz bilan tabriklayman.	құттықтау	Жақсы нәтижеге жеткендеріңізбен құттықтаймын.	təbrik etmək; təbrik	Yaxşı nəticələr qazandığınız üçün sizi təbrik edirəm.
著名	mashhur; taniqli	U mashhur aktyor.	әйгілі; танымал	Ол әйгілі актер.	məşhur; tanınmış	O məşhur aktyordur.
专门	maxsus; aynan	Men aynan sizni ko'rgani keldim.	арнайы; әдейі	Мен арнайы сені көруге келдім.	xüsusi; məhz	Mən xüsusi olaraq səni görməyə gəldim.
专业	mutaxassislik; soha	Men universitetda huquq yo'nalishida o'qiyman.	мамандық; сала	Мен университетте заң мамандығын оқимын.	ixtisas; sahə	Mən universitetdə hüquq ixtisası üzrə oxuyuram.
转	burilmoq	Oldindagi birinchi chorrahada chapga buriling, shunda kasalxonani ko'rasiz.	бұрылу	Алдыңғы бірінші қиылыста солға бұрылсаң, аурухананы көресің.	dönmək	Qarşıdakı ilk kəsişmədə sola dön, xəstəxananı görəcəksən.
赚	pul topmoq; foyda qilmoq	U biznes qilib ancha pul topdi.	ақша табу; пайда табу	Ол бизнес жасап көп ақша тапты.	qazanmaq; mənfəət etmək	O biznesdən çox pul qazandı.
准确	aniq; to'g'ri	Javobingiz juda aniq.	дәл; анық	Жауабың өте дәл.	dəqiq	Cavabınız çox dəqiqdir.
准时	o'z vaqtida; punktual	Yig'ilish o'z vaqtida boshlandi.	уақытында; дәл уақытында	Жиналыс дәл уақытында басталды.	vaxtında; dəqiq vaxtında	İclas vaxtında başladı.
仔细	diqqatli; sinchkov	U ishlarni juda diqqat bilan qiladi.	мұқият; ұқыпты	Ол істі өте мұқият істейді.	diqqətli; səliqəli	O işləri çox diqqətlə görür.
自然	tabiat; tabiiy	Biz tabiiy muhitni himoya qilishimiz kerak.	табиғат; табиғи	Біз табиғи ортаны қорғауымыз керек.	təbiət; təbii	Biz təbii mühiti qorumalıyıq.
自信	o'ziga ishonch	U juda o'ziga ishongan va boshqalar bilan raqobatlashishni yoqtiradi.	өзіне сенім	Ол өзіне өте сенімді және басқалармен бәсекелескенді ұнатады.	özünə inam	O çox özünə güvənir və başqaları ilə rəqabət aparmağı sevir.
总结	xulosa qilmoq; xulosa	Iltimos, muvaffaqiyatli tajribangizni biz uchun xulosa qilib bering.	қорытындылау; қорытынды	Сәтті тәжірибеңізді бізге қорытындылап беріңіз.	yekunlaşdırmaq; xülasə	Zəhmət olmasa, uğurlu təcrübənizi bizim üçün yekunlaşdırın.
租	ijaraga olmoq	Men kompaniya yaqinidan uy ijaraga oldim.	жалға алу	Мен компанияның жанынан үй жалға алдым.	kirayə götürmək	Mən şirkətin yaxınlığında ev kirayə götürdüm.
最好	eng yaxshi	U mening eng yaxshi do'stim.	ең жақсы	Ол менің ең жақсы досым.	ən yaxşı	O mənim ən yaxşı dostumdur.
尊重	hurmat qilmoq; hurmat	Halol odamlar hurmatimizga loyiq.	құрметтеу; құрмет	Адал адамдар біздің құрметімізге лайық.	hörmət etmək; hörmət	Dürüst insanlar bizim hörmətimizə layiqdir.
左右	taxminan; atrofida	U taxminan qirq yoshga o'xshaydi.	шамамен; жуық	Ол шамамен қырық жаста көрінеді.	təxminən; yaxın	O təxminən qırx yaşında görünür.
作家	yozuvchi	Bu yozuvchining romanini o'qiganmisiz?	жазушы	Бұл жазушының романын оқыдың ба?	yazıçı	Bu yazıçının romanını oxumusan?
作用	ta'sir; vazifa	Bu shamollash dorisi menga unchalik ta'sir qilmaydi.	әсер; қызмет	Бұл суық тиюге арналған дәрінің маған әсері жоқ.	təsir; funksiya	Bu soyuqdəymə dərmanının mənə elə bir təsiri yoxdur.
作者	muallif	Bu kitobning muallifi juda mashhur.	автор	Бұл кітаптың авторы өте танымал.	müəllif	Bu kitabın müəllifi çox məşhurdur.
座	bino va ko'priklar uchun hisob so'zi	Daryo ustida kichik ko'prik bor.	ғимарат пен көпір санау сөзі	Өзен үстінде кішкентай көпір бар.	bina və körpü üçün say sözü	Çayın üstündə kiçik körpü var.
座位	o'rindiq	U o'z o'rnini bir keksa odamga berdi.	орын; орындық	Ол орнын бір қарт адамға берді.	oturacaq	O öz yerini yaşlı bir adama verdi.
