simplified	PT	example_PT
新郎	noivo	O noivo recebeu os convidados na entrada.
新娘	noiva	A noiva usava um vestido de casamento branco.
新颖	original	Este design é muito original.
欣慰	satisfeito	Ao ver o progresso da criança, ela ficou satisfeita.
欣欣向荣	próspero	O turismo da pequena cidade está prosperando.
薪水	salário	O salário dele é suficiente para sustentar a família.
辛勤	trabalhador	Os agricultores trabalham duro no cultivo das lavouras.
信赖	confiar	Os clientes confiam muito nesta empresa.
信念	crença	Uma crença firme o sustentava.
信仰	fé	Ela respeita diferentes crenças.
信誉	reputação	A empresa precisa proteger sua reputação.
兴高采烈	animado	As crianças correram animadas para a sala de aula.
兴隆	próspero	Esta loja antiga tem negócios prósperos.
兴旺	próspero	A economia de mercado está ficando cada vez mais próspera.
腥	cheiro de peixe	Este peixe tem um pouco de cheiro de peixe.
刑事	criminal	A polícia está investigando um caso criminal.
形态	forma	A forma das plantas muda com o ambiente.
行政	administrativo	O departamento administrativo processa os pedidos.
兴致勃勃	com grande interesse	Todos discutiram o plano com grande interesse.
性感	sexy	Este vestido de gala parece muito sexy.
性命	vida	O médico salvou a vida dele.
性能	desempenho	Este computador tem bom desempenho.
凶恶	feroz	Este cachorro parece muito feroz.
凶手	assassino	A polícia finalmente prendeu o assassino.
汹涌	turbulento	As ondas turbulentas batiam na margem.
胸怀	mente ampla	Ele tem uma mente ampla.
胸膛	peito	O soldado estufou o peito.
雄厚	forte	A empresa possui recursos financeiros fortes.
雄伟	majestoso	Esta ponte é muito majestosa.
修复	reparar	Os engenheiros estão reparando o sistema.
修建	construir	O governo planeja construir um novo aeroporto.
修养	cultivo pessoal	O bom cultivo pessoal aparece nos detalhes.
羞耻	vergonha	Ele sentiu vergonha depois de mentir.
嗅觉	olfato	O olfato dos cães é muito aguçado.
绣	bordar	A avó sabe bordar flores.
虚假	falso	O site publicou informações falsas.
虚荣	vaidade	A vaidade fez com que ele gastasse demais.
虚伪	hipócrita	Ela não gosta de cortesias hipócritas.
需求	demanda	A demanda do mercado está aumentando.
须知	instruções	Leia primeiro as instruções de inscrição.
许可	permissão	Não é permitido entrar sem permissão.
序言	prefácio	O autor explica o contexto no prefácio.
畜牧	pecuária	A pradaria é adequada para desenvolver a pecuária.
酗酒	beber em excesso	Beber em excesso por muito tempo prejudica a saúde.
喧哗	fazer barulho	É proibido fazer barulho na biblioteca.
宣誓	prestar juramento	Os novos membros prestaram juramento na reunião.
宣扬	promover	A escola promove honestidade e confiança.
悬挂	pendurar	Um quadro está pendurado na parede.
悬念	suspense	O final do filme deixa suspense.
悬殊	disparidade	A disparidade de força entre as duas equipes é enorme.
悬崖峭壁	penhasco	À beira da estrada de montanha há penhascos íngremes.
旋律	melodia	Esta canção tem uma melodia bonita.
旋转	girar	O moinho de vento gira ao vento.
选拔	selecionar	A escola está selecionando atletas.
选举	eleição	A aldeia realizou uma eleição.
选手	competidor	Este competidor teve um desempenho estável.
炫耀	exibir	Ele sempre gosta de exibir sua riqueza.
削	cortar	A empresa cortou algumas despesas.
削弱	enfraquecer	O cansaço enfraquece o julgamento.
学说	teoria	Esta teoria tem grande influência.
学位	grau acadêmico	Ela obteve um grau de mestre.
雪上加霜	piorar a situação	Perder o emprego e ainda ficar doente piorou muito a situação.
血压	pressão arterial	O médico o lembrou de controlar a pressão arterial.
熏陶	influência	Ela recebeu influência da música desde pequena.
寻觅	procurar	Eles procuraram por toda parte uma moradia adequada.
巡逻	patrulhar	A polícia patrulha as ruas à noite.
循环	circular	A água circula no sistema.
循序渐进	passo a passo	O aprendizado de línguas deve avançar passo a passo.
压迫	oprimir	O antigo sistema oprimia as pessoas comuns.
压岁钱	dinheiro de Ano Novo	A criança recebeu dinheiro de Ano Novo.
压缩	comprimir	O software consegue comprimir o tamanho das imagens.
压抑	reprimir	Ele tentou reprimir a raiva interior.
压榨	espremer	A máquina está espremendo caldo de cana.
压制	suprimir	O remédio consegue suprimir a dor.
鸦雀无声	silêncio absoluto	Depois que o professor entrou, a sala ficou em silêncio absoluto.
亚军	vice-campeão	Ela ficou em segundo lugar na competição.
淹没	submergir	A enchente submergiu a aldeia baixa.
烟花爆竹	fogos de artifício	Fogos de artifício são proibidos durante o feriado.
严峻	severo	A situação do emprego continua severa.
严寒	frio intenso	O frio intenso afeta o transporte.
严禁	proibir rigorosamente	É rigorosamente proibido fumar aqui.
严厉	rigoroso	O professor o criticou com rigor.
严密	rigoroso	O armazém tem vigilância rigorosa.
岩石	rocha	As rochas à beira-mar são muito duras.
延期	adiar	A reunião foi adiada para a próxima semana.
延伸	estender-se	A estrada se estende para o norte.
延续	continuar	Esta tradição continuou por cem anos.
沿海	litorâneo	As cidades litorâneas têm comércio desenvolvido.
炎热	calor intenso	O calor intenso deixa as pessoas cansadas.
言论	declaração	O público presta atenção às declarações dele.
掩盖	encobrir	Ele tentou encobrir o erro.
掩护	cobrir	Os companheiros ficaram responsáveis por cobrir a retirada.
掩饰	disfarçar	Ela se esforçou para disfarçar o nervosismo.
演变	evoluir	O desenho urbano continua evoluindo.
演习	exercício	A escola realizou um exercício de combate a incêndio.
演绎	deduzir	O professor deduziu este teorema.
演奏	tocar	A banda está tocando música clássica.
眼光	visão	Ele tem boa visão para investimentos.
眼色	olhar	Ela lançou um olhar para o colega.
眼神	olhar	O olhar dele era muito determinado.
厌恶	detestar	Ele detesta comportamentos enganosos.
验收	inspeção de aceitação	A obra precisa passar por inspeção de aceitação após a conclusão.
验证	verificar	O experimento verificou a hipótese.
氧气	oxigênio	O paciente precisa respirar oxigênio.
样品	amostra	O cliente recebeu amostras do produto.
摇摆	balançar	O pequeno barco balançava no vento e nas ondas.
摇滚	rock	Os jovens gostam de música rock.
谣言	rumor	Não espalhe rumores não verificados.
遥控	controlar remotamente	Ele usou o celular para controlar remotamente o ar-condicionado.
遥远	distante	Aquela aldeia fica distante da cidade.
耀眼	ofuscante	A luz do sol estava ofuscante.
要点	ponto principal	Registre os pontos principais da reunião.
要命	extremamente	Esta estrada de montanha é extremamente perigosa.
要素	elemento	A confiança é um elemento importante da cooperação.
野蛮	brutal	Ele se opõe à aplicação brutal da lei.
野心	ambição	A ambição política dele é evidente.
液体	líquido	Este líquido não tem cor.
一流	de primeira	Este hospital tem equipamentos de primeira.
一如既往	como sempre	Ele nos apoia como sempre.
依旧	ainda	A chuva parou, mas a rua ainda estava molhada.
依据	base	A decisão judicial deve ter base na lei.
依靠	depender	Eles dependem da agricultura para viver.
依赖	depender	As crianças não devem depender demais dos pais.
依托	apoiar-se	O projeto se desenvolve apoiando-se nos recursos locais.
衣裳	roupas	Ela vestiu roupas limpas.
一度	por um tempo	A empresa enfrentou falência por um tempo.
一贯	consistentemente	Ele sempre se opôs ao desperdício.
一目了然	claro de imediato	O conteúdo da tabela fica claro de imediato.
一向	sempre	Ela sempre foi pontual.
仪器	instrumento	O laboratório comprou novos instrumentos.
仪式	cerimônia	A cerimônia de formatura será realizada amanhã.
疑惑	perplexo	O estudante ficou perplexo com a resposta.
遗产	patrimônio	Esta cidade antiga é patrimônio cultural.
遗传	herdar	Esta doença pode ser herdada.
遗留	deixar pendente	Problemas deixados pela história precisam ser resolvidos.
遗失	perder	O viajante perdeu o passaporte.
以便	para que	Deixe um telefone para que possamos entrar em contato.
以免	para evitar	Saia mais cedo para evitar atraso.
以往	passado	A experiência passada merece consulta.
以至	e até	O escopo se expandiu para a comunidade e até para toda a cidade.
以致	resultando em	A chuva forte continuou, resultando na interrupção das estradas.
一帆风顺	correr bem	Empreender não pode correr bem o tempo todo.
一举两得	alcançar dois objetivos	Ir de bicicleta ao trabalho pode alcançar dois objetivos ao mesmo tempo.
一丝不苟	meticuloso	O engenheiro verificou a fiação de modo meticuloso.
亦	também	Ele também concordou com este plano.
异常	anormal	Uma situação anormal ocorreu no sistema.
意料	expectativa	O resultado ficou totalmente fora das expectativas.
意识	perceber	Ele percebeu gradualmente que o problema era sério.
意图	intenção	A polícia percebeu a intenção dele.
意味着	significar	O silêncio não significa concordância.
意向	intenção	As duas partes expressaram intenção de cooperar.
意志	vontade	As dificuldades testam a vontade de uma pessoa.
毅力	perseverança	O sucesso exige perseverança de longo prazo.
毅然	resolutamente	Ela deixou a empresa resolutamente.
翼	asa	A asa da aeronave foi inspecionada.
阴谋	conspiração	Eles revelaram esta conspiração.
音响	acústica	A sala de estar tem boa acústica.
引导	guiar	O professor guiou os alunos a pensar.
引擎	motor	O motor do carro apagou de repente.
引用	citar	O artigo citou uma grande quantidade de materiais.
隐蔽	esconder	Os soldados se esconderam na mata.
隐患	risco oculto	A fiação antiga tem riscos de segurança ocultos.
隐瞒	ocultar	Ele não ocultou a verdade.
隐私	privacidade	A empresa precisa proteger a privacidade dos usuários.
隐约	vagamente	Podia-se ouvir uma canção vagamente ao longe.
饮食	alimentação	Uma alimentação saudável ajuda na recuperação.
婴儿	bebê	O bebê está dormindo tranquilamente.
英明	sábio	O líder tomou uma decisão sábia.
英勇	bravo	O bombeiro resgatou a criança bravamente.
盈利	lucrar	A empresa começou a lucrar este ano.
迎面	de frente	Um vento frio soprou de frente.
应酬	compromissos sociais	Ele tem muitos compromissos sociais esta noite.
应邀	a convite	O especialista participou do fórum a convite.
庸俗	vulgar	O conteúdo deste anúncio é vulgar.
拥护	apoiar	Todos apoiam a nova política.
拥有	possuir	Ele possui rica experiência.
勇于	ousar	Os jovens devem ousar experimentar.
永恒	eterno	O amor não permanece eternamente imutável.
涌现	surgir em grande número	Professores excelentes estão surgindo em grande número em vários lugares.
踊跃	entusiasmado	Os moradores se inscreveram entusiasmados para a atividade.
用户	usuário	Os usuários podem alterar suas senhas.
优胜劣汰	seleção dos melhores	A competição de mercado reflete a seleção dos melhores.
优先	prioridade	Os idosos podem ser atendidos com prioridade.
优异	excelente	Ela obteve resultados excelentes.
优越	superior	Este lugar tem uma localização superior.
忧郁	melancólico	A expressão dele parecia melancólica.
油腻	gorduroso	Este prato está gorduroso demais.
油漆	tinta	Os trabalhadores estão pintando a porta com tinta.
犹如	como	A superfície do lago é como um espelho.
有条不紊	metódico	A reunião prosseguiu de forma metódica.
幼稚	ingênuo	Esta ideia é um pouco ingênua.
诱惑	tentação	O anúncio está cheio de tentações de consumo.
愚蠢	tolo	Esta decisão é extremamente tola.
愚昧	ignorante	Ideias ignorantes impedem o progresso.
渔民	pescador	Os pescadores saem ao mar de madrugada para pescar.
舆论	opinião pública	A opinião pública tem grande impacto no caso.
与日俱增	aumentar a cada dia	O número de turistas aumenta a cada dia.
宇宙	universo	A humanidade continua explorando o universo.
羽绒服	jaqueta de plumas	No inverno é preciso usar jaqueta de plumas.
寓言	fábula	Esta fábula tem grande valor educativo.
愈	cada vez mais	O estado de saúde está ficando cada vez melhor.
欲望	desejo	Ele controlou o desejo de fazer compras.
熨	passar	Ela passou a camisa até deixá-la lisa.
玉	jade	Esta peça de jade tem uma cor suave.
预料	expectativa	O desenvolvimento dos acontecimentos superou as expectativas.
预期	expectativa	As vendas ficaram abaixo das expectativas.
预算	orçamento	O orçamento do projeto precisa de ajuste.
预先	antecipadamente	Prepare os materiais antecipadamente.
预言	previsão	A previsão dele não se realizou.
预兆	sinal	A dor pode ser sinal de doença.
冤枉	injustiçar	Não acuse injustamente uma pessoa inocente.
元首	chefe de Estado	Os chefes de Estado dos dois países realizaram conversas.
元素	elemento	O oxigênio é um elemento químico.
元宵节	Festival das Lanternas	As pessoas apreciam lanternas durante o Festival das Lanternas.
原告	autor	O autor apresentou novas evidências.
原理	princípio	O professor explicou o princípio da máquina.
原始	original	Eles guardaram os registros originais.
原先	original	O plano original já mudou.
园林	jardins	Os jardins de Suzhou são muito famosos.
圆满	completo	A reunião alcançou completo sucesso.
源泉	fonte	A prática é a fonte do conhecimento.
缘故	motivo	Ele se demitiu por motivos de saúde.
约束	restringir	O sistema restringe o comportamento dos funcionários.
乐谱	partitura	Ela leu a partitura com atenção.
岳母	sogra	Ele foi visitar a sogra no fim de semana.
孕育	nutrir	O solo nutre nova vida.
蕴藏	conter	A região montanhosa contém ricos recursos minerais.
运算	operação	Os alunos praticam operações matemáticas.
运行	funcionar	O sistema está funcionando de forma estável.
酝酿	planejar	As duas partes estão planejando uma nova proposta.
杂技	acrobacia	As crianças gostam de assistir a apresentações de acrobacia.
杂交	híbrido	Os cientistas estudam arroz híbrido.
砸	quebrar	O copo caiu no chão e quebrou.
咋	como	Como você ainda não voltou?
栽培	cultivar	O jardineiro cultivou muitas flores.
灾难	desastre	A cidade começou a reconstrução depois do desastre.
宰	abater	Os moradores abatem ovelhas durante o festival.
再接再厉	continuar se esforçando	Depois de ganhar o prêmio, a equipe continuou se esforçando.
在意	importar-se	Ela se importa muito com a opinião dos outros.
攒	juntar	Ele junta dinheiro para comprar um computador.
暂且	por enquanto	Deixe este problema de lado por enquanto.
赞叹	admirar	O público admirou a atuação do ator.
赞助	patrocinar	A empresa patrocinou esta competição.
糟蹋	desperdiçar	Não desperdice estes alimentos frescos.
遭受	sofrer	As terras agrícolas sofreram uma seca severa.
遭殃	ser prejudicado	Quando a ponte desabou, os moradores próximos foram prejudicados.
遭遇	encontrar	Eles encontraram uma tempestade de neve no caminho.
噪音	ruído	O ruído da construção afeta o descanso.
造型	formato	Este modelo de carro tem um formato muito distinto.
责怪	culpar	Por favor, não culpe a criança cegamente.
贼	ladrão	A polícia prendeu aquele ladrão.
增添	acrescentar	Flores frescas acrescentam cor ao quarto.
赠送	presentear	A loja presenteia pequenos brindes.
扎	aplicar	A enfermeira aplicou uma injeção nele.
扎实	sólido	A base gramatical dele é sólida.
渣	borra	Ficou borra de café no fundo da xícara.
眨	piscar	Ela piscou os olhos.
诈骗	fraude	A polícia solucionou um caso de fraude telefônica.
摘要	resumo	O resumo do artigo está escrito com clareza.
债券	título	Os investidores compram títulos do governo.
沾光	beneficiar-se	Eu também me beneficiei graças ao meu amigo.
瞻仰	prestar homenagem	Os turistas prestam homenagem ao monumento dos heróis.
展示	exibir	A empresa exibiu seus produtos mais recentes.
展望	perspectiva	O relatório projeta as tendências futuras.
展现	mostrar	A obra mostra a vida rural.
崭新	novo em folha	Ele comprou uma bicicleta nova em folha.
斩钉截铁	decisivamente	Ela recusou decisivamente.
占据	ocupar	O anúncio ocupou a página inteira.
占领	ocupar	O exército ocupou a passagem da montanha.
战斗	batalha	A batalha durou três horas.
战略	estratégia	A empresa ajustou sua estratégia de desenvolvimento.
战术	tática	O treinador mudou a tática da partida.
战役	campanha	Esta campanha mudou a situação.
章程	regulamento	A associação adotou um novo regulamento.
帐篷	tenda	Eles armaram tendas à beira do lago.
障碍	barreira	Barreiras linguísticas afetam a comunicação.
招标	abrir licitação	O projeto de engenharia abriu licitação pública.
招收	recrutar	A escola está recrutando novos alunos este ano.
朝气蓬勃	cheio de energia	A equipe jovem está cheia de energia.
着迷	fascinado	A criança é fascinada por astronomia.
沼泽	pântano	A expedição atravessou o pântano.
照样	como de costume	Choveu, mas o treino continuou como de costume.
照耀	brilhar	A luz do sol brilha sobre a praça.
折腾	mexer	Pare de mexer neste computador antigo.
遮挡	bloquear	Os galhos bloquearam a janela.
折	dobrar	Ele dobrou o papel em forma de avião.
折磨	torturar	A insônia prolongada a tortura.
侦探	detetive	O detetive encontrou uma pista-chave.
斟酌	ponderar	Por favor, pondere cuidadosamente a escolha das palavras.
珍贵	precioso	Estas fotos são muito preciosas.
珍稀	raro	Proteja animais selvagens raros.
珍珠	pérola	Ela usa brincos de pérola.
真理	verdade	A prática testa a verdade.
真相	verdade	O repórter se esforçou para descobrir a verdade.
真挚	sincero	Ela expressou agradecimento sincero.
枕头	travesseiro	Este travesseiro é alto demais.
振奋	animar	A boa notícia animou todos.
振兴	revitalizar	O governo promove a revitalização rural.
镇定	calmo	Ele se manteve calmo na emergência.
镇静	calmo	A enfermeira pediu ao paciente que se mantivesse calmo.
阵地	posição	Os soldados mantiveram a posição.
阵容	escalação	A equipe anunciou a escalação inicial.
震撼	impactante	Este filme é extremamente impactante.
震惊	chocar	A notícia chocou o país inteiro.
争端	disputa	As duas partes tentaram resolver a disputa de fronteira.
争夺	disputar	As duas empresas disputam participação de mercado.
争气	dar orgulho	Ele estuda muito para dar orgulho à família.
争先恐后	correr para ser o primeiro	Os turistas correram para entrar no ônibus.
争议	controvérsia	Esta decisão causou controvérsia.
征服	conquistar	O alpinista conquistou o pico.
征收	cobrar	O governo cobra impostos conforme a lei.
挣扎	lutar	O pássaro lutou dentro da rede.
正月	primeiro mês lunar	No primeiro mês lunar, os parentes se visitam para cumprimentos de Ano Novo.
蒸发	evaporar	A umidade evaporou rapidamente.
整顿	reorganizar	A empresa começou a reorganizar a gestão.
政策	política	A nova política apoia pequenas empresas.
政权	regime	A guerra mudou o regime local.
正当	legítimo	Ele apresentou uma exigência legítima.
正负	positivo e negativo	O instrumento mostra erro positivo e negativo.
正规	regular	A criança entrou em uma escola regular para estudar.
正经	sério	Ele finalmente começou a falar sério.
正气	retidão	A sociedade precisa promover a retidão.
正义	justiça	O advogado defendeu a justiça.
正宗	autêntico	Este restaurante vende comida autêntica de Sichuan.
症状	sintoma	Febre é um sintoma comum.
证实	confirmar	A investigação confirmou a declaração dele.
证书	certificado	Ela obteve um certificado profissional.
郑重	solene	Ele prometeu solenemente que assumiria a responsabilidade.
之际	por ocasião de	Por ocasião da chegada do Festival da Primavera, todos ficam ocupados.
支撑	sustentar	As colunas sustentam o telhado.
支出	despesa	As despesas domésticas aumentaram claramente.
支流	afluente	Este rio é um afluente do Yangtzé.
支配	dominar	As emoções não devem dominar o julgamento.
支援	apoiar	Médicos de vários lugares vieram oferecer apoio.
支柱	pilar	A indústria manufatureira é um pilar da economia local.
枝	ramo	Ela quebrou um ramo de flores.
知觉	consciência	A pessoa ferida recuperou a consciência gradualmente.
知足常乐	contentamento traz felicidade	O idoso costuma dizer que contentamento traz felicidade.
脂肪	gordura	Nozes contêm gorduras saudáveis.
侄子	sobrinho	Meu sobrinho entrou na escola primária este ano.
值班	estar de plantão	A enfermeira está de plantão esta noite.
执行	executar	O tribunal executou a sentença.
执着	persistente	Ele é muito persistente em relação aos seus ideais.
殖民地	colônia	Esta ilha já foi uma colônia.
直播	transmissão ao vivo	A partida será transmitida ao vivo pela internet esta noite.
直径	diâmetro	O diâmetro deste círculo é de dez centímetros.
职能	função	As funções do departamento precisam ser redistribuídas.
职位	cargo	Ela se candidatou a um cargo de gestão.
职务	função	A função dele é supervisor de projeto.
指标	meta	A meta de vendas já foi cumprida.
指定	designar	O professor o designou para responder à pergunta.
指甲	unha	Ela cortou as unhas curtas.
指令	comando	O computador recebeu um novo comando.
指南针	bússola	O alpinista levou uma bússola.
指示	instrução	O gerente deu instruções claras.
指望	contar com	Não conte com os outros para terminar isso por você.
指责	criticar	O público criticou a empresa por poluir o ambiente.
制裁	sanção	A comunidade internacional impôs sanções econômicas.
制服	uniforme	O guarda usava uniforme azul-escuro.
制约	restringir	A falta de fundos restringe o desenvolvimento.
制止	impedir	A polícia impediu o conflito a tempo.
志气	ambição	Os jovens devem ter ambição.
智力	inteligência	Jogos podem treinar a inteligência.
智能	inteligente	Dispositivos inteligentes estão se tornando cada vez mais comuns.
智商	QI	O QI não pode determinar tudo.
治安	segurança pública	A segurança pública da comunidade melhorou claramente.
治理	gerir	O governo reforçou a gestão dos rios.
滞留	ficar retido	Os passageiros ficaram retidos no aeroporto por causa da neve forte.
致辞	fazer discurso	O diretor fez um discurso na cerimônia.
致力	dedicar-se	A equipe se dedica à inovação tecnológica.
致使	causar	Erros de gestão causaram o adiamento do projeto.
中断	interromper	A chuva forte causou a interrupção das comunicações.
中立	neutro	Esse país mantém uma posição neutra.
中央	centro	A fonte fica no centro da praça.
忠诚	leal	Os funcionários são leais à empresa.
忠实	fiel	Ele é um leitor fiel deste jornal.
终点	linha de chegada	A linha de chegada está logo à frente.
终究	no fim	O problema será resolvido no fim.
终身	por toda a vida	Ele decidiu trabalhar na educação por toda a vida.
终止	terminar	O contrato termina no fim do próximo mês.
衷心	sincero	Agradeço sinceramente pela sua ajuda.
种子	semente	Os agricultores semearam novas sementes.
种族	raça	A lei proíbe discriminação racial.
肿瘤	tumor	O médico encontrou um tumor benigno.
众所周知	como todos sabem	Como todos sabem, a água é importante.
种植	cultivar	Este lugar é adequado para cultivar uvas.
重心	foco	O foco do trabalho mudou para o serviço.
周边	arredores	O trânsito nos arredores da escola está congestionado.
周密	minucioso	Eles elaboraram um plano minucioso.
周年	aniversário	A empresa celebrou seu décimo aniversário.
周期	ciclo	O ciclo de atualização do produto encurtou.
周折	complicação	Resolver os procedimentos envolveu muitas complicações.
周转	fluxo de caixa	A empresa tem dificuldades de fluxo de caixa.
州	estado	Ele mora no estado da Califórnia, nos Estados Unidos.
粥	papa de arroz	O paciente tomou papa de arroz de manhã.
舟	barco	O pequeno barco aproximou-se lentamente da margem.
昼夜	dia e noite	Os trabalhadores repararam a estrada dia e noite.
皱纹	ruga	A avó tem muitas rugas no rosto.
株	planta	Três árvores foram plantadas no quintal.
诸位	todos	Agradeço a todos por terem vindo hoje.
逐年	ano após ano	Os custos operacionais sobem ano após ano.
主办	organizar	A escola organizou o festival de artes.
主导	liderar	A demanda do mercado lidera o design dos produtos.
主管	supervisor	O supervisor é responsável por aprovar o orçamento.
主流	corrente principal	Ideias ambientais tornaram-se corrente principal.
主权	soberania	A soberania nacional deve ser respeitada.
主义	doutrina	Ele estuda diferentes doutrinas políticas.
嘱咐	recomendar	A mãe recomendou repetidamente que ele levasse guarda-chuva.
拄	apoiar-se	O idoso anda apoiando-se em uma bengala.
住宅	residência	Esta área é principalmente residencial.
助理	assistente	O assistente organizou os materiais da reunião.
助手	auxiliar	O robô é auxiliar de laboratório.
注射	injetar	O médico injetou medicamento no paciente.
注视	olhar fixamente	Ela olhava fixamente para longe.
注释	nota	Há notas detalhadas ao lado do texto.
注重	enfatizar	A empresa enfatiza a qualidade do produto.
著作	obra	Esta obra tem influência profunda.
铸造	fundir	A fábrica funde peças grandes.
驻扎	estacionar	As tropas estão estacionadas na fronteira.
拽	arrastar	Ele arrastou a caixa para dentro da casa.
专长	especialidade	Análise de dados é a especialidade dela.
专程	viagem especial	Ele fez uma viagem especial para visitar o professor.
专利	patente	A empresa solicitou uma nova patente.
专题	tópico especial	A emissora transmitiu um programa especial sobre proteção ambiental.
砖	tijolo	Os trabalhadores trouxeram um carrinho de tijolos.
转达	transmitir	Por favor, transmita meus agradecimentos.
转让	transferir	Ele decidiu transferir a loja.
转移	transferir	A enfermeira transferiu os feridos.
转折	virada	A história teve uma grande virada.
传记	biografia	Ela está escrevendo a biografia do pai.
庄稼	lavoura	A chuva nutriu as lavouras.
庄严	solene	A cerimônia teve uma atmosfera solene.
庄重	digno	Ele usava roupa formal digna.
装备	equipamento	A equipe está equipada com equipamentos avançados.
装卸	carregar e descarregar	Os trabalhadores do cais são responsáveis por carregar e descarregar mercadorias.
壮观	espetacular	A paisagem da cascata é muito espetacular.
壮丽	majestoso	Aqui há montanhas e rios majestosos.
壮烈	heroico	O herói morreu de forma heroica.
幢	edifício	Há uma casa antiga na esquina.
追悼	memorial	As pessoas participaram da cerimônia memorial.
追究	investigar	A empresa investigará a responsabilidade.
坠	cair	As folhas caíram dos galhos.
准则	princípio	A honestidade é um princípio da cooperação.
卓越	excelente	Ela alcançou realizações excelentes.
琢磨	ponderar	Ele ponderou repetidamente este problema.
着手	começar	A equipe começará a investigação amanhã.
着想	considerar	Os pais sempre consideram as necessidades dos filhos.
着重	enfatizar	O relatório enfatiza a análise de custos.
姿态	atitude	Ela manteve uma atitude modesta.
滋润	umedecer	A chuva de primavera umedeceu a terra.
滋味	sensação	A sensação do fracasso é difícil de suportar.
资本	capital	Começar um negócio exige algum capital.
资产	ativos	Os ativos da empresa continuam crescendo.
资深	sênior	Um advogado sênior cuidou deste caso.
资助	apoiar financeiramente	A fundação apoia financeiramente estudantes pobres.
子弹	bala	A bala atingiu a parede.
自卑	inferior	Ele já não se sente inferior.
自发	espontâneo	Os moradores limparam a rua espontaneamente.
自力更生	autossuficiência	Os moradores insistem na autossuficiência.
自满	complacente	Não se deve ficar complacente depois do sucesso.
自主	autônomo	Os estudantes precisam desenvolver capacidade de aprendizagem autônoma.
宗教	religião	Ele estuda religiões do mundo.
宗旨	objetivo	O objetivo da instituição é servir a comunidade.
棕色	castanho	Ela comprou sapatos de couro castanho.
踪迹	rastro	A polícia encontrou rastros do suspeito.
总而言之	em resumo	Em resumo, o plano é viável.
总和	soma	O lucro é a diferença entre a soma das receitas e os custos.
纵横	cruzar-se	Os rios cruzam-se pela planície.
走廊	corredor	As crianças fizeram fila no corredor.
走漏	vazar	A notícia não pode vazar.
走私	contrabandear	A alfândega apreendeu mercadorias contrabandeadas.
揍	espancar	Ele foi espancado por vários bêbados.
租赁	alugar	A empresa alugou um novo escritório.
足以	suficiente	Estas evidências são suficientes para explicar o problema.
祖父	avô	O avô gosta de contar histórias antigas.
祖国	pátria	Ele ama profundamente a pátria.
祖先	ancestral	Eles prestam culto aos seus ancestrais.
阻碍	impedir	A falta de fundos impede o progresso do projeto.
阻拦	barrar	O guarda barrou a entrada de estranhos.
阻挠	obstruir	Alguém obstruiu deliberadamente a investigação.
钻研	estudar a fundo	Ela estuda literatura antiga a fundo.
钻石	diamante	Um diamante está cravado no anel.
嘴唇	lábio	O vento frio rachou os lábios.
罪犯	criminoso	A polícia prendeu o criminoso fugitivo.
尊严	dignidade	Todos devem ter dignidade.
遵循	seguir	Os médicos seguem padrões rigorosos.
作弊	copiar	Copiar em exames será punido.
作废	invalidar	O bilhete antigo já foi invalidado.
作风	estilo de trabalho	O estilo de trabalho do líder é prático.
作息	rotina de trabalho e descanso	Uma rotina regular de trabalho e descanso beneficia a saúde.
做主	decidir	Você decide sobre este assunto.
座右铭	lema	O lema dele é nunca desistir.
