simplified	NE	example_NE	SI	example_SI	TA	example_TA
等	आदि	टेबलमा स्याउ, केरा आदि फलफूल छन्.	ආදිය	මේසය මත ඇපල්, කෙසෙල් ආදී පලතුරු ඇත.	முதலியவை	மேசையில் ஆப்பிள், வாழைப்பழம் முதலிய பழங்கள் உள்ளன.
低	होचो; कम	अझ अलि माथि पार, अहिले धेरै होचो छ.	පහත්; අඩු	තව ටිකක් ඉහළට කරන්න, දැන් ඉතා පහත්ය.	தாழ்ந்த; குறைந்த	இன்னும் கொஞ்சம் உயர்த்துங்கள், இப்போது மிகவும் தாழ்ந்துள்ளது.
底	तल; आधार	कपको तल सफा छ.	පතුල; පාදම	කෝප්පයේ පතුල පිරිසිදුයි.	அடி; அடிப்பகம்	கோப்பையின் அடிப்பகுதி சுத்தமாக உள்ளது.
地点	ठाउँ; स्थान	बैठकको ठाउँ तेस्रो तल्लाको बैठक कोठामा छ.	ස්ථානය; තැන	රැස්වීමේ ස්ථානය තුන්වන මහලේ රැස්වීම් කාමරයේය.	இடம்	கூட்டத்தின் இடம் மூன்றாம் மாடி கூட்டறையில் உள்ளது.
地球	पृथ्वी	पृथ्वीको धेरैजसो सतह समुद्र हो.	පෘථිවිය	පෘථිවියේ මතුපිටින් වැඩි කොටස සාගරයයි.	பூமி	பூமியின் மேற்பரப்பின் பெரும்பகுதி கடல்.
地址	ठेगाना	कृपया आफ्नो ठेगाना लेख्नुहोस्.	ලිපිනය	කරුණාකර ඔබේ ලිපිනය ලියා තබන්න.	முகவரி	தயவுசெய்து உங்கள் முகவரியை எழுதுங்கள்.
掉	झर्नु; खस्नु	चाबी भुइँमा खस्यो.	වැටෙනවා; අතහැරෙනවා	යතුර බිමට වැටුණි.	விழு; கீழே போடு	சாவி தரையில் விழுந்தது.
调查	अनुसन्धान; जाँच गर्नु	प्रहरीले अनुसन्धान गरिरहेको छ.	පරීක්ෂණය; විමර්ශනය කරනවා	පොලිසිය විමර්ශනය කරමින් සිටී.	விசாரணை; ஆய்வு செய்	போலீசார் விசாரணை நடத்திக்கொண்டிருக்கிறார்கள்.
丢	हराउनु	तिम्रो झोला हरायो?	නැති වෙනවා	ඔබේ පාසල් බෑගය නැති වුණාද?	இழந்து விடு	உன் பள்ளிப்பை தொலைந்துவிட்டதா?
动作	चाल; क्रिया	म तिमीलाई नाच्न सिकाउँछु, चालहरू धेरै सजिला छन्.	චලනය; ක්‍රියාව	මම ඔබට නටන්න උගන්වන්නම්, චලන ඉතා සරලයි.	அசைவு; செயல்	நான் உனக்கு நடனம் கற்றுக்கொடுக்கிறேன், அசைவுகள் மிகவும் எளிது.
