simplified	DA	example_DA
信赖	stole på	Kunderne stoler meget på denne virksomhed
信念	overbevisning	En fast overbevisning støttede ham
信仰	tro	Hun respekterer forskellige trosretninger
信誉	omdømme	En virksomhed skal beskytte sit omdømme
兴高采烈	i højt humør	Børnene løb ind i klasseværelset i højt humør
兴隆	blomstrende	Denne gamle butik har blomstrende forretning
兴旺	blomstre	Markedsøkonomien blomstrer mere og mere
腥	fiskelugtende	Denne fisk lugter lidt fisket
刑事	strafferetlig	Politiet efterforsker en strafferetlig sag
形态	form	Plantens form ændrer sig med miljøet
行政	administrativ	Den administrative afdeling behandler ansøgninger
兴致勃勃	med stor interesse	Alle diskuterede planen med stor interesse
性感	sensuel	Denne aftenkjole ser meget sensuel ud
性命	liv	Lægen reddede hans liv
性能	ydelse	Denne computer har god ydelse
凶恶	voldsom	Denne hund ser meget voldsom ud
凶手	en morder	Politiet fangede endelig morderen
汹涌	voldsomt bølgende	Voldsomme bølger slog mod kysten
胸怀	vidsyn	Han har et stort vidsyn
胸膛	bryst	Soldaten skød brystet frem
雄厚	stærk	Virksomheden har stærke finansielle ressourcer
雄伟	storslået	Denne bro er meget storslået
修复	reparere	Ingeniørerne er ved at reparere systemet
修建	bygge	Regeringen planlægger at bygge en ny lufthavn
修养	dannelse	God dannelse viser sig i detaljerne
羞耻	skam	Han følte skam efter at have løjet
嗅觉	lugtesans	En hunds lugtesans er meget skarp
绣	brodere	Bedstemor kan brodere blomster
虚假	falsk	Hjemmesiden offentliggjorde falske oplysninger
虚荣	forfængelighed	Forfængelighed fik ham til at bruge for mange penge
虚伪	hyklersk	Hun kan ikke lide hyklersk høflighed
需求	efterspørgsel	Markedets efterspørgsel stiger
须知	vigtig information	Læs venligst først tilmeldingsinformationen
许可	tilladelse	Man kan ikke komme ind uden tilladelse
序言	forord	Forfatteren forklarer baggrunden i forordet
畜牧	husdyrhold	Græslandet er egnet til at udvikle husdyrhold
酗酒	alkoholmisbrug	Langvarigt alkoholmisbrug skader helbredet
喧哗	lave støj	Det er forbudt at lave støj på biblioteket
宣誓	aflægge ed	Nye medlemmer aflagde ed på mødet
宣扬	fremme	Skolen fremmer ærlighed og troværdighed
悬挂	hænge	Der hænger et billede på væggen
悬念	spænding	Filmens slutning efterlader spænding
悬殊	stor forskel	Styrkeforskellen mellem de to hold er enorm
悬崖峭壁	bratte klipper	Ved siden af bjergvejen er der bratte klipper
旋律	melodi	Denne sang har en smuk melodi
旋转	rotere	Vindmøllen roterer i vinden
选拔	udvælge	Skolen er ved at udvælge atleter
选举	et valg	Landsbyen holdt et valg
选手	en deltager	Denne deltager præsterede stabilt
炫耀	prale	Han kan altid lide at prale med sin rigdom
削	skære ned	Virksomheden skar nogle udgifter ned
削弱	svække	Træthed svækker dømmekraften
学说	en teori	Denne teori har stor indflydelse
学位	en akademisk grad	Hun opnåede en kandidatgrad
雪上加霜	gøre ondt værre	At miste jobbet og derefter blive syg gjorde ondt værre
血压	blodtryk	Lægen mindede ham om at kontrollere blodtrykket
熏陶	prægning	Hun blev præget af musik fra barndommen
寻觅	lede efter	De ledte overalt efter en passende bolig
巡逻	patruljere	Politiet patruljerer gaderne om natten
循环	cirkulere	Vandet cirkulerer i systemet
循序渐进	trin for trin	Sprogindlæring bør gå frem trin for trin
压迫	undertrykke	Det gamle system undertrykte almindelige mennesker
压岁钱	nytårspenge	Barnet modtog nytårspenge
压缩	komprimere	Softwaren kan komprimere billedstørrelsen
压抑	undertrykke	Han forsøgte hårdt at undertrykke sin indre vrede
压榨	presse	Maskinen presser sukkerrørssaft
压制	dæmpe	Medicin kan dæmpe smerte
鸦雀无声	musende stille	Efter læreren kom ind var klasseværelset musende stille
亚军	andenplads	Hun vandt andenpladsen i konkurrencen
淹没	oversvømme	Oversvømmelsen dækkede den lavtliggende landsby
烟花爆竹	fyrværkeri og knaldperler	Fyrværkeri og knaldperler er forbudt i ferien
严峻	alvorlig	Beskæftigelsessituationen er stadig alvorlig
严寒	bidende kulde	Bidende kulde påvirker trafikken
严禁	strengt forbudt	Rygning er strengt forbudt her
严厉	streng	Læreren kritiserede ham strengt
严密	tæt	Lageret har tæt overvågning
岩石	klipper	Klipperne ved havet er meget hårde
延期	udsætte	Mødet blev udsat til næste uge
延伸	strække sig	Vejen strækker sig mod nord
延续	fortsætte	Denne tradition har fortsat i hundrede år
沿海	kyst-	Kystbyer har udviklet handel
炎热	meget varmt	Meget varmt vejr gør folk trætte
言论	udtalelser	Offentligheden lægger mærke til hans udtalelser
掩盖	dække over	Han forsøgte at dække over fejlen
掩护	dække	Holdkammeraterne havde ansvar for at dække tilbagetrækningen
掩饰	skjule	Hun forsøgte hårdt at skjule sin nervøsitet
演变	udvikle sig	Byens struktur bliver ved med at udvikle sig
演习	en øvelse	Skolen holdt en brandøvelse
演绎	udlede	Læreren udledte denne sætning
演奏	spille	Orkestret spiller klassisk musik
眼光	dømmekraft	Han har god dømmekraft ved investeringer
眼色	et blik	Hun sendte sin kollega et blik
眼神	blik	Hans blik var meget beslutsomt
厌恶	afsky	Han afskyr bedragerisk adfærd
验收	godkendelseskontrol	Projektet skal gennem godkendelseskontrol efter færdiggørelsen
验证	verificere	Eksperimentet verificerede hypotesen
氧气	ilt	Patienten har brug for at indånde ilt
样品	en prøve	Kunden modtog produktprøver
摇摆	vugge	Den lille båd vuggede i vinden og bølgerne
摇滚	rockmusik	Unge mennesker kan lide rockmusik
谣言	et rygte	Spred ikke ubekræftede rygter
遥控	fjernstyre	Han brugte telefonen til at fjernstyre klimaanlægget
遥远	fjern	Den landsby ligger meget langt fra byen
耀眼	blændende	Sollyset var blændende
要点	hovedpunkt	Skriv venligst mødets hovedpunkter ned
要命	livsfarlig	Denne bjergvej er livsfarlig
要素	et element	Tillid er et vigtigt element i samarbejde
野蛮	brutal	Han er imod brutal håndhævelse af loven
野心	ambition	Hans politiske ambition er tydelig
液体	væske	Denne væske har ingen farve
一流	førsteklasses	Dette hospital har førsteklasses udstyr
一如既往	som altid	Han støtter os som altid
依旧	stadig	Regnen stoppede men gaden var stadig våd
依据	grundlag	Dommen skal bygge på loven
依靠	stole på	De lever af og stoler på landbruget
依赖	være afhængig af	Børn bør ikke være for afhængige af deres forældre
依托	bygge på	Projektet udvikler sig ved at bygge på lokale ressourcer
衣裳	tøj	Hun skiftede til rent tøj
一度	en overgang	Virksomheden stod en overgang over for konkurs
一贯	konsekvent	Han har konsekvent været imod spild
一目了然	klart ved første øjekast	Tabellens indhold er klart ved første øjekast
一向	altid	Hun har altid været punktlig
仪器	et instrument	Laboratoriet købte nye instrumenter
仪式	ceremoni	Dimissionsceremonien holdes i morgen
疑惑	forvirret	Eleven var forvirret over svaret
遗产	kulturarv	Denne gamle by er kulturarv
遗传	arvelig	Denne sygdom kan være arvelig
遗留	efterladt	Problemer efterladt af historien skal løses
遗失	miste	Den rejsende mistede passet
以便	for at	Efterlad venligst et telefonnummer for at vi kan kontakte dig
以免	for at undgå	Tag af sted tidligere for at undgå at komme for sent
以往	tidligere	Tidligere erfaring er værd at bruge som reference
以至	helt til	Omfanget voksede til lokalsamfundet og helt til hele byen
以致	føre til	Den kraftige regn fortsatte og førte til afbrudte veje
一帆风顺	gå glat	At starte virksomhed kan ikke altid gå glat
一举两得	slå to fluer med et smæk	At cykle på arbejde kan slå to fluer med et smæk
一丝不苟	yderst grundig	Ingeniøren kontrollerede ledningerne yderst grundigt
亦	også	Han var også enig i denne plan
异常	unormal	Systemet fik en unormal situation
意料	forventning	Resultatet var helt uden for forventning
意识	indse	Han indså gradvist at problemet var alvorligt
意图	hensigt	Politiet gennemskuede hans hensigt
意味着	betyde	Tavshed betyder ikke samtykke
意向	intention	Begge sider udtrykte intention om samarbejde
意志	vilje	Vanskeligheder tester et menneskes vilje
毅力	udholdenhed	Succes kræver langvarig udholdenhed
毅然	beslutsomt	Hun forlod beslutsomt virksomheden
翼	vinge	Flyets vinge blev inspiceret
阴谋	sammensværgelse	De afslørede denne sammensværgelse
音响	lydanlæg	Stuen har god akustik fra lydanlægget
引导	vejlede	Læreren vejledte eleverne til at tænke
引擎	motor	Bilens motor gik pludselig ud
引用	citere	Afhandlingen citerede en stor mængde materiale
隐蔽	skjule sig	Soldaterne skjulte sig i skoven
隐患	skjult fare	Gamle ledninger udgør en skjult sikkerhedsfare
隐瞒	skjule	Han skjulte ikke sandheden
隐私	privatliv	Virksomheden skal beskytte brugernes privatliv
隐约	svagt	Sang kunne svagt høres i det fjerne
饮食	kost	Sund kost hjælper med restitution
婴儿	spædbarn	Spædbarnet sover stille
英明	klog	Lederen traf en klog beslutning
英勇	modig	Brandmanden reddede modigt barnet
盈利	gå med overskud	Virksomheden begyndte at gå med overskud i år
迎面	rettet mod ansigtet	En kold vind blæste rettet mod ansigtet
应酬	sociale forpligtelser	Han har mange sociale forpligtelser i aften
应邀	på invitation	Eksperten deltog i forummet på invitation
庸俗	vulgær	Indholdet i denne reklame er vulgært
拥护	støtte	Alle støtter den nye politik
拥有	have	Han har rig erfaring
勇于	turde	Unge mennesker bør turde prøve
永恒	evig	Kærlighed er ikke evigt uforanderlig
涌现	dukke op i stort antal	Fremragende lærere dukker op i stort antal overalt
踊跃	ivrig	Beboerne meldte sig ivrigt til aktiviteten
用户	bruger	Brugere kan ændre deres adgangskoder
优胜劣汰	de stærkeste overlever	Markedskonkurrence afspejler at de stærkeste overlever
优先	prioritet	Ældre mennesker kan få prioritet i betjeningen
优异	fremragende	Hun opnåede fremragende resultater
优越	fordelagtig	Dette sted har en fordelagtig geografisk placering
忧郁	melankolsk	Hans udtryk virkede melankolsk
油腻	fed	Denne ret er for fed
油漆	maling	Arbejderne maler døren med maling
犹如	som	Søens overflade er som et spejl
有条不紊	metodisk	Mødet forløb metodisk
幼稚	naiv	Denne ide er lidt naiv
诱惑	friste	Reklamen er fuld af forbrugsfristelser
愚蠢	dum	Denne beslutning er ekstremt dum
愚昧	uvidende	Uvidende ideer hindrer fremskridt
渔民	fisker	Fiskerne sejler ud ved daggry for at fiske
舆论	offentlig opinion	Offentlig opinion har stor indflydelse på sagen
与日俱增	øge dag for dag	Antallet af turister øges dag for dag
宇宙	universet	Menneskeheden bliver ved med at udforske universet
羽绒服	dunjakke	Man skal have dunjakke på om vinteren
寓言	fabel	Denne fabel er meget lærerig
愈	blive bedre	Tilstanden bliver bedre og bedre
欲望	begær	Han kontrollerede sit begær efter at shoppe
熨	stryge	Hun strøg skjorten glat
玉	jadesten	Denne jadesten har en varm farve
预料	forudse	Sagens udvikling oversteg forventningerne
预期	forventning	Salget lå under forventningerne
预算	budgetramme	Projektets budgetramme skal justeres
预先	på forhånd	Forbered venligst materialerne på forhånd
预言	forudsigelse	Hans forudsigelse gik ikke i opfyldelse
预兆	varsel	Smerte kan være et varsel om sygdom
冤枉	gøre uret	Gør ikke et uskyldigt menneske uret
元首	statsoverhoved	De to landes statsoverhoveder holdt samtaler
元素	grundstof	Ilt er et kemisk grundstof
元宵节	lanternefestival	Folk ser på lanterner under lanternefestivalen
原告	sagsøger	Sagsøgeren fremlagde nye beviser
原理	princip	Læreren forklarede maskinens princip
原始	oprindelig	De bevarede de oprindelige optegnelser
原先	oprindelig	Den oprindelige plan er allerede ændret
园林	haveanlæg	Suzhous haveanlæg er meget berømte
圆满	fuldt vellykket	Mødet opnåede fuld succes
源泉	kilde	Praksis er kilden til viden
缘故	grund	Han sagde op af helbredsmæssige grunde
约束	begrænse	Systemet begrænser medarbejdernes adfærd
乐谱	noder	Hun læste noderne omhyggeligt
岳母	svigermor	Han besøgte sin svigermor i weekenden
孕育	nære frem	Jorden nærer nyt liv frem
蕴藏	indeholde	Bjergområdet indeholder rige mineralressourcer
运算	regneoperation	Eleverne øver matematiske regneoperationer
运行	køre	Systemet kører stabilt
酝酿	overveje	Begge sider overvejer en ny plan
杂技	akrobatik	Børnene kan lide at se akrobatik
杂交	hybrid	Forskere studerer hybridris
砸	knuse	Koppen knustes mod gulvet og gik i stykker
咋	hvordan	Hvordan kan det være at du ikke er kommet tilbage endnu
栽培	dyrke	Gartneren dyrkede mange blomster
灾难	katastrofe	Byen begyndte at genopbygge efter katastrofen
宰	slagte	Landsbyboerne slagter får under højtiden
再接再厉	fortsætte indsatsen	Efter at have vundet prisen fortsatte holdet indsatsen
在意	bryde sig om	Hun går meget op i andres meninger
攒	spare op	Han sparer penge op for at købe en computer
暂且	foreløbig	Lad dette spørgsmål ligge foreløbig
赞叹	beundre	Publikum beundrede skuespillerens optræden
赞助	sponsorere	Virksomheden sponsorerede denne konkurrence
糟蹋	sløse bort	Spild ikke denne friske mad
遭受	lide under	Landbrugsjorden led under en alvorlig tørke
遭殃	blive ramt	Da broen styrtede sammen blev de nærliggende beboere ramt
遭遇	møde	De mødte en snestorm undervejs
噪音	støj	Byggestøj påvirker hvilen
造型	udformning	Denne bils udformning er meget særpræget
责怪	bebrejde	Bebrejd venligst ikke barnet blindt
贼	tyv	Politiet fangede den tyv
增添	tilføre	Friske blomster tilfører rummet farve
赠送	give som gave	Butikken giver små gaver
扎	stikke	Sygeplejersken gav ham en indsprøjtning
扎实	solid	Hans grammatiske grundlag er solidt
渣	grums	Der lå kaffegrums tilbage i bunden af koppen
眨	blinke	Hun blinkede med øjnene
诈骗	svindel	Politiet opklarede en sag om telefonsvindel
摘要	resume	Artiklens resume er skrevet meget klart
债券	obligation	Investorer køber statsobligationer
沾光	nyde godt af	Jeg nød også godt af min ven
瞻仰	vise ærbødighed	Turister viser ærbødighed ved heltemonumentet
展示	vise frem	Virksomheden viser de nyeste produkter frem
展望	se fremad	Rapporten ser fremad mod fremtidige tendenser
展现	vise	Værket viser livet på landet
崭新	helt ny	Han købte en helt ny cykel
斩钉截铁	beslutsomt	Hun afviste det beslutsomt
占据	optage	Reklamen optog hele siden
占领	okkupere	Hæren okkuperede bjergpasset
战斗	kamp	Kampen varede tre timer
战略	strategi	Virksomheden justerede sin udviklingsstrategi
战术	taktik	Træneren ændrede kampens taktik
战役	felttog	Dette felttog ændrede situationen
章程	vedtægter	Foreningen vedtog nye vedtægter
帐篷	telt	De slog telte op ved søen
障碍	hindring	Sproglige hindringer påvirker kommunikationen
招标	indbyde til udbud	Byggeprojektet indbød offentligt til udbud
招收	rekruttere	Skolen rekrutterer nye elever i år
朝气蓬勃	fuld af energi	Det unge hold er fuldt af energi
着迷	fascineret	Barnet er meget fascineret af astronomi
沼泽	mose	Ekspeditionen krydsede mosen
照样	som sædvanligt	Det regnede men træningen fortsatte som sædvanligt
照耀	skinne	Sollyset skinner på pladsen
折腾	rode med	Hold op med at rode med denne gamle computer
遮挡	blokere	Grenene blokerede vinduet
折	folde	Han foldede papiret til et fly
折磨	plage	Langvarig søvnløshed plager hende
侦探	detektiv	Detektiven fandt et vigtigt spor
斟酌	overveje	Overvej venligst ordvalget grundigt
珍贵	værdifuld	Disse billeder er meget værdifulde
珍稀	sjælden	Beskyt sjældne vilde dyr
珍珠	perle	Hun har perleøreringe på
真理	sandhed	Praksis afprøver sandheden
真相	faktisk sandhed	Journalisten forsøgte hårdt at finde den faktiske sandhed
真挚	oprigtig	Hun udtrykte oprigtig tak
枕头	pude	Denne pude er for høj
振奋	løfte stemningen	Den gode nyhed løftede stemningen hos alle
振兴	genoplive	Regeringen fremmer genoplivning af landsbyerne
镇定	rolig	Han bevarede roen i nødsituationen
镇静	bevare roen	Sygeplejersken bad patienten om at bevare roen
阵地	stilling	Soldaterne holdt stillingen
阵容	opstilling	Holdet offentliggjorde startopstillingen
震撼	rystende	Denne film er meget rystende
震惊	chokere	Nyheden chokerede hele landet
争端	strid	Begge sider forsøgte at løse grænsestriden
争夺	kæmpe om	De to virksomheder kæmper om markedsandele
争气	gøre familien stolt	Han studerer hårdt for at gøre familien stolt
争先恐后	kappes om at komme først	Turisterne kappedes om at komme først på bussen
争议	kontrovers	Denne beslutning skabte kontrovers
征服	erobre	Bjergbestigeren erobrede toppen
征收	opkræve	Regeringen opkræver skat efter loven
挣扎	kæmpe	Den lille fugl kæmpede i nettet
正月	første månemåned	Slægtninge besøger hinanden i den første månemåned
蒸发	fordamper	Fugten fordampede hurtigt
整顿	omorganisere	Virksomheden begyndte at omorganisere ledelsen
政策	en politik	Den nye politik støtter små virksomheder
政权	regime	Krigen ændrede det lokale regime
正当	legitim	Han fremsatte et legitimt krav
正负	plus og minus	Instrumentet viser plus- og minusfejl
正规	regulær	Barnet begyndte på en regulær skole
正经	seriøs	Han begyndte endelig at tale seriøst
正气	retskaffenhed	Samfundet skal fremme retskaffenhed
正义	retfærdighed	Advokaten forsvarede retfærdigheden
正宗	autentisk	Denne restaurant sælger autentisk Sichuanmad
症状	et symptom	Feber er et almindeligt symptom
证实	bekræfte	Undersøgelsen bekræftede hans udsagn
证书	certifikat	Hun opnåede et professionelt certifikat
郑重	højtidelig	Han lovede højtideligt at tage ansvar
之际	ved tiden for	Ved tiden for forårsfestivalens ankomst har alle travlt
支撑	støtte	Søjlerne støtter taget
支出	udgift	Husholdningens udgifter er steget tydeligt
支流	sideflod	Denne flod er en sideflod til Yangtze
支配	dominere	Følelser bør ikke dominere dømmekraften
支援	yde støtte	Læger fra mange steder kom for at yde støtte
支柱	bærebjælke	Fremstillingsindustrien er en bærebjælke i den lokale økonomi
枝	gren	Hun brækkede en blomstergren af
知觉	bevidsthed	Den sårede genvandt gradvist bevidstheden
知足常乐	tilfredshed giver lykke	Den gamle mand siger ofte at tilfredshed giver lykke
脂肪	fedt	Nødder indeholder sundt fedt
侄子	nevø	Min nevø begyndte i grundskole i år
值班	have vagt	Sygeplejersken har vagt i aften
执行	udføre	Retten udførte dommen
执着	vedholdende	Han er meget vedholdende med sine idealer
殖民地	koloni	Denne ø var engang en koloni
直播	direktesending	Kampen sendes direkte online i aften
直径	en diameter	Denne cirkels diameter er ti centimeter
职能	funktion	Afdelingens funktioner skal fordeles på ny
职位	stilling	Hun søgte en lederstilling
职务	embede	Hans embede er projektleder
指标	mål	Salgsmålet er allerede nået
指定	udpege	Læreren udpegede ham til at svare på spørgsmålet
指甲	fingernegl	Hun klippede sine fingernegle korte
指令	kommando	Computeren modtog en ny kommando
指南针	kompas	Bjergbestigeren havde et kompas med
指示	instruks	Lederen gav klare instrukser
指望	regne med	Regn ikke med at andre færdiggør det for dig
指责	kritisere	Offentligheden kritiserede virksomheden for at forurene miljøet
制裁	sanktion	Det internationale samfund indførte økonomiske sanktioner
制服	uniform	Vagten bar en mørkeblå uniform
制约	begrænse	Utilstrækkelig finansiering begrænser udviklingen
制止	standse	Politiet standsede konflikten i tide
志气	ambition	Unge mennesker bør have ambition
智力	intelligens	Spil kan træne intelligensen
智能	smart	Smarte enheder bliver mere og mere udbredte
智商	intelligenskvotient	Intelligenskvotient kan ikke afgøre alt
治安	offentlig orden	Den offentlige orden i lokalsamfundet er tydeligt forbedret
治理	forvalte	Regeringen styrkede forvaltningen af floderne
滞留	strande	Passagererne strandede i lufthavnen på grund af kraftig sne
致辞	holde tale	Rektoren holdt tale ved ceremonien
致力	vie sig til	Holdet vier sig til teknologisk innovation
致使	føre til	Ledelsesfejl førte til at projektet blev forsinket
中断	afbryde	Den kraftige regn afbrød kommunikationen
中立	neutral stilling	Dette land opretholder en neutral stilling
中央	centrum	Springvandet ligger i pladsens centrum
忠诚	loyal	Medarbejderne er loyale over for virksomheden
忠实	trofast	Han er en trofast læser af denne avis
终点	mållinje	Mållinjen ligger lige foran
终究	til sidst	Problemet vil blive løst til sidst
终身	livslang	Han besluttede at arbejde med uddannelse hele livet
终止	afslutte	Kontrakten afsluttes ved udgangen af næste måned
衷心	oprigtigt	Jeg takker dig oprigtigt for din hjælp
种子	frø	Landmændene såede nye frø
种族	etnicitet	Loven forbyder racediskrimination
肿瘤	svulst	Lægen fandt en godartet svulst
众所周知	som alle ved	Som alle ved er vand vigtigt
种植	dyrke	Dette sted egner sig til at dyrke druer
重心	fokus	Arbejdets fokus skiftede mod service
周边	området omkring	Trafikken omkring skolen er tæt
周密	grundig	De lavede en grundig plan
周年	årsdag	Virksomheden fejrede sin tiårsdag
周期	cyklus	Produktets opdateringscyklus er blevet kortere
周折	komplikationer	Behandlingen af procedurerne bød på mange komplikationer
周转	likviditet	Virksomheden har problemer med likviditeten
州	delstat	Han bor i Californien i USA
粥	grød	Patienten spiste grød om morgenen
舟	båd	Den lille båd nærmede sig langsomt kysten
昼夜	dag og nat	Arbejderne reparerede vejen dag og nat
皱纹	rynke	Bedstemor har mange rynker i ansigtet
株	plante	Der blev plantet tre træer i gården
诸位	alle sammen	Tak til alle sammen for at komme i dag
逐年	år for år	Driftsomkostningerne stiger år for år
主办	arrangere	Skolen arrangerede kunstfestivalen
主导	lede	Markedsefterspørgslen leder produktdesignet
主管	leder	Lederen har ansvar for at godkende budgettet
主流	hovedstrøm	Miljøtanker er blevet hovedstrøm
主权	suverenitet	National suverenitet skal respekteres
主义	ideologi	Han studerer forskellige politiske ideologier
嘱咐	formane	Moderen formanede ham gentagne gange til at tage paraply med
拄	støtte sig til	Den gamle mand går med støtte fra en stok
住宅	bolig	Dette område består mest af boliger
助理	assistent	Assistenten organiserede mødematerialerne
助手	hjælper	Robotten er laboratoriets hjælper
注射	indsprøjtning	Lægen gav patienten en indsprøjtning med medicin
注视	stirre	Hun stirrede ud i det fjerne
注释	kommentar	Der er detaljerede kommentarer ved siden af teksten
注重	lægge vægt på	Virksomheden lægger vægt på produktkvalitet
著作	et værk	Dette værk har vidtrækkende indflydelse
铸造	støbe	Fabrikken støber store dele
驻扎	stationere	Tropperne er stationeret ved grænsen
拽	trække	Han trak kassen ind i huset
专长	speciale	Dataanalyse er hendes speciale
专程	særlig tur	Han tog en særlig tur for at besøge læreren
专利	patentrettighed	Virksomheden ansøgte om en ny patentrettighed
专题	særligt tema	TV-stationen sendte et særligt tema om miljøbeskyttelse
砖	mursten	Arbejderne kom med en vognfuld mursten
转达	viderebringe	Viderebring venligst min tak
转让	overdrage	Han besluttede at overdrage butikken
转移	overføre	Sygeplejersken overførte de sårede
转折	vendepunkt	Historien fik et stort vendepunkt
传记	levnedsskildring	Hun skriver en levnedsskildring om sin far
庄稼	afgrøder	Regnen nærede afgrøderne
庄严	højtidelig	Ceremonien havde en højtidelig stemning
庄重	værdig	Han bar værdigt festtøj
装备	udstyr	Holdet er udstyret med avanceret udstyr
装卸	laste og losse	Havnearbejdere har ansvar for at laste og losse varer
壮观	spektakulær	Vandfaldets udsigt er meget spektakulær
壮丽	storslået	Her er der storslåede bjerge og floder
壮烈	heroisk	Helten døde heroisk
幢	bygning	Der står en gammel bygning på hjørnet
追悼	mindeceremoni	Folk deltog i mindeceremonien
追究	granske	Virksomheden vil granske ansvaret
坠	falde	Blade faldt ned fra grenene
准则	rettesnor	Ærlighed er en rettesnor for samarbejde
卓越	fremragende	Hun opnåede fremragende resultater
琢磨	gruble over	Han grublede gentagne gange over dette problem
着手	gå i gang med	Holdet går i gang med undersøgelsen i morgen
着想	tage hensyn til	Forældre tager altid hensyn til deres børn
着重	lægge vægt på	Rapporten lægger vægt på omkostningsanalyse
姿态	holdning	Hun bevarede en ydmyg holdning
滋润	fugte	Forårsregnen fugtede jorden
滋味	følelse	Følelsen af nederlag er svær at bære
资本	kapital	At starte virksomhed kræver en vis kapital
资产	aktiver	Virksomhedens aktiver fortsætter med at vokse
资深	erfaren	En erfaren advokat håndterede sagen
资助	økonomisk støtte	Fonden yder økonomisk støtte til fattige studerende
子弹	kugle	Kuglen ramte væggen
自卑	mindreværdig	Han føler sig ikke længere mindreværdig
自发	spontan	Beboerne ryddede spontant gaden
自力更生	klare sig selv	Landsbyboerne holder fast i at klare sig selv
自满	selvtilfreds	Man bør ikke blive selvtilfreds efter succes
自主	selvstændig	Studerende skal udvikle selvstændig læringsevne
宗教	en trosretning	Han studerer verdens trosretninger
宗旨	formål	Organisationens formål er at tjene lokalsamfundet
棕色	brun	Hun købte brune lædersko
踪迹	spor	Politiet fandt spor efter den mistænkte
总而言之	kort sagt	Kort sagt er planen gennemførlig
总和	samlet sum	Fortjeneste er forskellen mellem de samlede indtægter og omkostninger
纵横	på kryds og tværs	Floder krydser sletten på kryds og tværs
走廊	korridor	Børnene stod i kø på korridoren
走漏	lække	Nyheden må ikke lække ud
走私	smugle	Toldvæsenet beslaglagde smuglergods
揍	banke	Han blev banket af flere fulde mænd
租赁	leje	Virksomheden lejede et nyt kontor
足以	tilstrækkelig	Disse beviser er tilstrækkelige til at forklare problemet
祖父	farfar	Farfar kan lide at fortælle gamle historier
祖国	fædreland	Han elsker sit fædreland dybt
祖先	forfædre	De tilbeder deres forfædre
阻碍	hindre	Mangel på penge hindrer projektets fremskridt
阻拦	standse	Vagten standsede fremmede fra at gå ind
阻挠	forhindre med vilje	Nogen forhindrede undersøgelsen med vilje
钻研	studere grundigt	Hun studerer oldtidens litteratur grundigt
钻石	ædelsten	Ringen er indfattet med en ædelsten
嘴唇	læbe	Den kolde vind sprækkede læberne
罪犯	forbryder	Politiet anholdt den flygtede forbryder
尊严	værdighed	Alle bør have værdighed
遵循	følge	Læger følger strenge standarder
作弊	snyde	Snyd ved eksamen bliver straffet
作废	ugyldiggøre	Den gamle billet er allerede ugyldiggjort
作风	arbejdsstil	Lederens arbejdsstil er praktisk
作息	arbejde og hvile	En regelmæssig rytme for arbejde og hvile gavner helbredet
做主	bestemme	Du bestemmer i denne sag
座右铭	livsmotto	Hans livsmotto er aldrig at give op
