simplified	ET	example_ET
微观	mikro	Selles kursuses tutvustatakse mikroökonoomikat.
为难	raskesse olukorda panema	Ära pane teenindajat enam raskesse olukorda.
为期	kestma	Koolitus kestab kolm kuud.
唯独	ainult	Kõik jõudsid kohale, ainult tema ei tulnud.
维持	hoidma	Politsei hoidis sündmuskohal korda.
维护	kaitsma	Peame kaitsma seaduslikke õigusi ja huve.
维生素	vitamiin	Puuviljad sisaldavad rohkelt vitamiine.
违背	vastuolus olema	See otsus on lepingu vaimuga vastuolus.
伪造	võltsima	Keegi võltsis tema allkirja.
委托	volitama	Klient volitas advokaati juhtumit käsitlema.
委员	komitee liige	Iga komitee liige avaldas arvamust.
卫星	satelliit	Satelliit jõudis ettenähtud orbiidile.
喂	toitma	Laps toidab väikest kassi.
慰问	külastama	Juht läks haiglasse vigastatuid külastama.
未免	liiga	See nõue on liiga kõrge.
畏惧	kartma	Ta ei karda kunagi raskusi.
蔚蓝	sügavsinine	Taevas oli sügavsinine.
温带	parasvööde	See taim sobib parasvöötme kliimasse.
温和	mõõdukas	Tema poliitiline seisukoht on üsna mõõdukas.
文凭	diplom	See töö nõuab ülikoolidiplomit.
文物	kultuuriväärtus	Muuseum näitas väärtuslikke kultuuriväärtusi.
文献	kirjandus	Artikkel tsiteeris suurt hulka kirjandust.
文雅	elegantne	Tema käitumine on elegantne.
文艺	kunstiloominguline	Selles linnas on tugev kunstiloominguline õhkkond.
问世	ilmuma	See telefon jõuab peagi turule.
窝	pesa	Puus on linnupesa.
乌黑	süsimust	Tal on pikad süsimustad juuksed.
污蔑	laimama	Ta eitas konkurendi laimamist.
诬陷	valesüüdistama	Tõendid näitasid, et teda oli valesüüdistatud.
无比	äärmiselt	Ta oli uudist kuuldes äärmiselt elevil.
无偿	tasuta	Vabatahtlikud pakkusid tasuta teenust.
无耻	häbitu	Selline petmine oli väga häbitu.
无动于衷	ükskõikseks jääma	Kriitika ees jäi ta ükskõikseks.
无非	ei midagi muud kui	Ta tegi seda ei millegi muu kui raha säästmise pärast.
无辜	süütu	Kohus leidis, et ta on süütu.
无精打采	loid	Ta paistis täna loid ja väsinud.
无赖	jõhkard	Külaelanikud ei tahtnud selle jõhkardiga suhelda.
无理取闹	põhjendamatult tüli tegema	Palun ära hakka siin põhjendamatult tüli tegema.
无能为力	võimetu olema	Üleujutuse ees olid külaelanikud võimetud.
无穷无尽	lõputu	Kõrb näis lõputu.
无微不至	äärmiselt hoolikas	Õde hoolitses patsiendi eest äärmiselt hoolikalt.
无忧无虑	muretu	Lapsed mängisid murul muretult.
无知	teadmatus	Teadmatus ei ole põhjus õppimisest keelduda.
侮辱	solvama	Tema sõnad solvasid teist poolt.
武器	relv	Neid relvi hoiti ühise valve all.
武侠	võitluskunstikangelaste kirjandus	Talle meeldis lapsest saadik võitluskunstikangelaste romaane lugeda.
武装	relvastatud	Piirkonnas tugevdati relvastatud patrulle.
舞蹈	tants	See tants on tugeva rahvusliku eripäraga.
务必	tingimata	Palun jõua tingimata õigel ajal kohale.
物美价廉	hea ja odav	Selle poe kaubad on head ja odavad.
物业	kinnisvarahaldus	Kinnisvarahaldus vastutab elurajooni remondi eest.
物资	varud	Abivarud on juba katastroofipiirkonda jõudnud.
误差	mõõteviga	Mõõtmistulemustes oli väike mõõteviga.
误解	arusaamatus	Pooled kõrvaldasid arusaamatuse suhtlemisega.
夕阳	loojangupäike	Loojangupäike värvis taeva kuldseks.
昔日	endine	Endisest väikesest külast sai linn.
溪	oja	Oja voolas mägede vahelt läbi.
熄灭	kustutama	Palun kustuta küünal ära.
牺牲	ohverdus	Nad tõid inimese päästmiseks suure ohverduse.
膝盖	põlv	Ta vigastas põlve.
习俗	komme	Kevadpühaga on seotud palju traditsioonilisi kombeid.
媳妇	naine	Tema naine töötab haiglas.
袭击	ründama	Torm ründas rannikulinna.
喜闻乐见	populaarne	Selline saade on vaatajate seas populaarne.
喜悦	rõõm	Ta näole ilmus rõõmus naeratus.
系列	seeria	Ettevõte tõi turule seeria uusi tooteid.
细菌	bakter	Kõrge temperatuur võib baktereid hävitada.
细胞	rakk	Inimkeha koosneb lugematutest rakkudest.
细致	üksikasjalik	Tema tähelepanekud olid väga üksikasjalikud.
峡谷	kanjon	Jõgi voolas läbi sügava kanjoni.
狭隘	kitsarinnaline	Sellist kitsarinnalist vaadet tuleb muuta.
狭窄	kitsas	See väike tee on väga kitsas.
霞	punapuna	Õhtupuna värvis taeva punaseks.
下属	alluv	Juht kuulas alluvate arvamusi tähelepanelikult.
先进	edasijõudnud	Tehas kasutab edasijõudnud seadmeid.
先前	varasem	Varasem plaan on juba muutunud.
掀起	esile kutsuma	See raamat kutsus esile arutelulaine.
纤维	kiud	See kangas sisaldab looduslikke kiude.
鲜明	selge	Tema seisukoht oli väga selge.
嫌	rahulolematu olema	Talle tundus tuba liiga väike.
嫌疑	kahtlus	Selle mehe suhtes on tugev kahtlus.
弦	keel	Kitarril katkes üks keel.
衔接	ühendama	Kahe kursuse sisu ühendub väga hästi.
贤惠	vooruslik	Teda peeti vooruslikuks ja võimekaks.
闲话	klatš	Ära räägi teiste selja taga klatši.
显著	märkimisväärne	Ravi mõju oli väga märkimisväärne.
宪法	põhiseadus	Põhiseadus kaitseb kodanike põhiõigusi.
现场	sündmuskoht	Ajakirjanik jõudis juba õnnetuse sündmuskohta.
现成	valmis	Köögis oli valmis toit olemas.
现状	praegune olukord	Peame mõistma valdkonna praegust olukorda.
线索	vihje	Politsei leidis uue vihje.
陷害	raamima	Ta väitis, et keegi raamib teda.
陷阱	lõks	Jahimees seadis üles lõksu.
陷入	sattuma	Ettevõte sattus rahalistesse raskustesse.
馅儿	täidis	Selle aurukukli täidis lõhnab hästi.
乡镇	alevik	Alevikoolide tingimused paranevad.
相差	erinema	Kahe koha temperatuur erineb kümne kraadi võrra.
相等	võrdne	Kahe kolmnurga pindala on võrdne.
相辅相成	üksteist täiendama	Teooria ja praktika täiendavad üksteist.
相应	vastav	Ettevõte võtab vastavad meetmed.
镶嵌	inkrusteerima	Sõrmusesse oli inkrusteeritud kalliskivi.
响亮	vali	Tema vastus kõlas valjult.
响应	reageerima	Paljud inimesed reageerisid keskkonnaalgatusele.
想方设法	kõiki viise otsima	Nad otsisid kõiki viise kulude vähendamiseks.
向导	teejuht	Kohalik teejuht viis meid mägedesse.
向来	alati	Ta on alati usaldusväärsust tähtsaks pidanud.
向往	igatsema	Ta igatseb rahulikku elu.
巷	allee	Vanas allees avati palju väikseid poode.
相声	koomiline dialoog	Vanaisale meeldib kuulata traditsioonilist koomilist dialoogi.
消除	kõrvaldama	Suhtlemine võib arusaamatuse kõrvaldada.
消毒	desinfitseerima	Arst desinfitseeris haava.
消防	tuletõrje	Tuletõrjujad jõudsid kiiresti sündmuskohale.
消耗	kulutama	Pikk reis kulutab palju jõudu.
消灭	hävitama	Töötajad hävitavad kahjureid.
潇洒	vabalt elegantne	Tema kõnnak on vabalt elegantne.
销毁	hävitama	Toll hävitas võltskauba.
小心翼翼	ettevaatlikult	Ta avas karbi ettevaatlikult.
效益	tõhusus	Uus seade suurendas tootmise tõhusust.
肖像	portree	Seinal rippus tema portree.
协会	ühing	See ühing aitab noori ettevõtjaid.
协商	läbi rääkima	Pooled on valmis jätkama läbirääkimisi.
协调	koordineerima	Projektijuht vastutab ressursside koordineerimise eest.
协议	leping	Pooled allkirjastasid koostöölepingu.
协助	abistama	Vabatahtlik abistas vanainimest üle tee.
携带	kaasas kandma	Reisijad ei tohi ohtlikke esemeid kaasas kanda.
屑	puru	Laual oli palju puidupuru.
泄露	lekitama	Töötaja ei tohi kliendiandmeid lekitada.
泄气	julgust kaotama	Ära kaota pärast ebaõnnestumist julgust.
谢绝	keelduma	Hotell keeldub väljast toodud toidu lubamisest.
心得	kogemus	Ta jagas oma õppimiskogemust.
心甘情愿	meeleldi	Ta jäi meeleldi appi.
心灵	hing	Muusika lohutas tema hinge.
心态	hoiak	Positiivse hoiaku hoidmine on väga tähtis.
心疼	kaasa tundma	Ema tundis vigastatud lapsele kaasa.
心血	südameveri	Selles raamatus on autori südameveri.
心眼儿	väiklane	Ta on natuke väiklane.
新陈代谢	ainevahetus	Liikumine võib ainevahetust kiirendada.
新郎	peigmees	Peigmees tervitas külalisi ukse juures.
新娘	pruut	Pruut kandis valget pulmakleiti.
新颖	uudne	See disain on väga uudne.
欣慰	rõõmsalt rahul	Oma lapse arengut nähes oli ta rõõmsalt rahul.
欣欣向荣	õitsev	Väikelinna turism on õitsev.
薪水	palk	Tema palk on pere ülalpidamiseks piisav.
辛勤	töökas	Põllumehed kasvatavad vilja töökalt.
信赖	usaldama	Kliendid usaldavad seda ettevõtet väga.
信念	veendumus	Tugev veendumus toetas teda.
信仰	usk	Ta austab erinevaid uske.
信誉	maine	Ettevõte peab oma mainet hoidma.
兴高采烈	rõõmsalt	Lapsed jooksid rõõmsalt klassiruumi.
兴隆	jõudsalt edenema	Selle vana poe äri edeneb jõudsalt.
兴旺	õitsema	Turumajandus õitseb üha rohkem.
腥	kalalõhnaline	See kala on veidi kalalõhnaline.
刑事	kriminaal-	Politsei uurib kriminaalasja.
形态	vorm	Taime vorm muutub keskkonna järgi.
行政	haldus	Haldusosakond tegeleb taotlustega.
兴致勃勃	suure huviga	Kõik arutasid plaani suure huviga.
性感	seksikas	See õhtukleit näeb seksikas välja.
性命	elu	Arst päästis tema elu.
性能	jõudlus	Selle arvuti jõudlus on hea.
凶恶	raevukas	See koer näeb raevukas välja.
凶手	mõrvar	Politsei tabas lõpuks mõrvari.
汹涌	tormiline	Lained lõid tormiliselt vastu kallast.
胸怀	avar meel	Tal on avar meel.
胸膛	rind	Sõdur ajas rinna ette.
雄厚	tugev	Ettevõttel on tugev rahaline baas.
雄伟	majesteetlik	See sild on väga majesteetlik.
修复	parandama	Insener parandab süsteemi.
修建	ehitama	Valitsus plaanib ehitada uue lennujaama.
修养	kombeoskus	Hea kombeoskus ilmneb detailides.
羞耻	häbi	Pärast valetamist tundis ta häbi.
嗅觉	haistmismeel	Koera haistmismeel on väga tundlik.
绣	tikkima	Vanaema oskab lilli tikkida.
虚假	vale	Veebisait avaldas valeuudise.
虚荣	edev	Edvus pani teda liiga palju raha kulutama.
虚伪	silmakirjalik	Talle ei meeldi silmakirjalik viisakus.
需求	nõudlus	Turunõudlus kasvab.
须知	juhised	Palun loe enne registreerimisjuhiseid.
许可	luba	Ilma loata ei tohi siseneda.
序言	eessõna	Autor selgitas tausta eessõnas.
畜牧	karjakasvatus	Rohumaa sobib karjakasvatuse arendamiseks.
酗酒	alkoholi kuritarvitama	Pikaajaline alkoholi kuritarvitamine kahjustab tervist.
喧哗	lärmama	Raamatukogus on lärmamine keelatud.
宣誓	vannet andma	Uued liikmed andsid koosolekul vande.
宣扬	propageerima	Kool propageerib ausust ja usaldusväärsust.
悬挂	rippuma	Seinal rippus maal.
悬念	põnevus	Filmi lõpp jättis põnevuse õhku.
悬殊	suur erinevus	Kahe meeskonna jõudude vahe on väga suur.
悬崖峭壁	järsk kaljusein	Mägitee kõrval oli järsk kaljusein.
旋律	meloodia	Selle laulu meloodia on kaunis.
旋转	pöörlema	Tuuleveski pöörleb tuules.
选拔	valima	Kool valib praegu sportlasi.
选举	valimised	Külas toimusid valimised.
选手	võistleja	See võistleja esines stabiilselt.
炫耀	uhkustama	Ta armastab alati rikkusega uhkustada.
削	kärpima	Ettevõte kärpis mõningaid kulusid.
削弱	nõrgendama	Väsimus nõrgendab otsustusvõimet.
学说	õpetus	Sellel õpetusel on suur mõju.
学位	akadeemiline kraad	Ta sai magistrikraadi.
雪上加霜	halba hullemaks tegema	Töö kaotus ja haigus tegid halva veel hullemaks.
血压	vererõhk	Arst soovitas tal vererõhku kontrollida.
熏陶	kujundav mõju	Ta kasvas üles muusika kujundava mõju all.
寻觅	otsima	Nad otsisid igalt poolt sobivat eluaset.
巡逻	patrullima	Politsei patrullib öösel tänavatel.
循环	ringlema	Vesi ringleb süsteemis.
循序渐进	järk-järgult edasi liikuma	Keelt tuleb õppida järk-järgult edasi liikudes.
压迫	rõhuma	Vana süsteem rõhus tavalisi inimesi.
压岁钱	uusaastaraha	Laps sai uusaastaraha.
压缩	tihendama	Tarkvara saab pildi suurust tihendada.
压抑	maha suruma	Ta püüdis sisemist viha maha suruda.
压榨	pressima	Masin pressib suhkruroost mahla.
压制	allasuruma	Ravim võib valu alla suruda.
鸦雀无声	haudvaikne	Pärast õpetaja sisenemist oli klass haudvaikne.
亚军	teine koht	Ta sai võistlusel teise koha.
淹没	üle ujutama	Üleujutus mattis madalad külad vee alla.
烟花爆竹	ilutulestik	Pühade ajal on ilutulestiku laskmine keelatud.
严峻	tõsine	Tööhõive olukord on endiselt tõsine.
严寒	karm külm	Karm külm mõjutas liiklust.
严禁	rangelt keelatud	Siin on suitsetamine rangelt keelatud.
严厉	karm	Õpetaja kritiseeris teda karmilt.
严密	range	Laos on range valve.
岩石	kivim	Mereäärsed kivimid on väga kõvad.
延期	edasi lükkama	Koosolek lükati järgmisesse nädalasse.
延伸	ulatuma	Tee ulatub põhja poole.
延续	jätkuma	See traditsioon on jätkunud sada aastat.
沿海	ranniku-	Rannikulinnades on kaubandus arenenud.
炎热	palav	Palav ilm väsitab inimesi.
言论	avaldus	Avalikkus jälgib tema avaldusi.
掩盖	varjama	Ta püüdis viga varjata.
掩护	katma	Meeskonnakaaslane kattis taganemist.
掩饰	varjama	Ta püüdis närvilisust varjata.
演变	arenema	Linna struktuur areneb pidevalt.
演习	õppus	Kool korraldas tuletõrjeõppuse.
演绎	tõlgendama	Õpetaja tõlgendas seda teoreemi.
演奏	esitama	Orkester esitab klassikalist muusikat.
眼光	vaist	Tal on hea investeerimisvaist.
眼色	märk	Ta andis kolleegile silmadega märku.
眼神	pilk	Tema pilk oli väga kindel.
厌恶	jälestama	Ta jälestab petmist.
验收	vastu võtma	Pärast töö valmimist tuleb projekt vastu võtta.
验证	kinnitama	Katse kinnitas hüpoteesi.
氧气	hapnik	Patsient peab hapnikku hingama.
样品	näidis	Klient sai tootenäidise.
摇摆	kõikuma	Väike paat kõikus tuules ja lainetes.
摇滚	rokk	Noortele meeldib rokkmuusika.
谣言	kuulujutt	Ära levita kinnitamata kuulujutte.
遥控	kaugjuhtima	Ta juhtis konditsioneeri telefoniga kaugjuhtimise teel.
遥远	kauge	See küla on linnast väga kaugel.
耀眼	pimestav	Päike oli pimestavalt ere.
要点	põhipunkt	Palun pane koosoleku põhipunktid kirja.
要命	surmavalt	See mägitee on surmavalt ohtlik.
要素	element	Usaldus on koostöö tähtis element.
野蛮	jõhker	Ta on jõhkra õiguskaitse vastu.
野心	ambitsioon	Tema poliitiline ambitsioon on ilmne.
液体	vedelik	See vedelik on värvitu.
一流	esmaklassiline	Selle haigla varustus on esmaklassiline.
一如既往	nagu alati	Ta toetab meid nagu alati.
依旧	endiselt	Vihm jäi üle, kuid tänavad olid endiselt niisked.
依据	lähtuma	Otsus peab lähtuma seadusest.
依靠	toetuma	Nad toetuvad elatuses põllumajandusele.
依赖	sõltuma	Lapsed ei tohiks vanematest liigselt sõltuda.
依托	tuginema	Projekt areneb kohalikele ressurssidele tuginedes.
衣裳	rõivad	Ta pani selga puhtad rõivad.
一度	kunagi	Ettevõte seisis kunagi pankroti äärel.
一贯	järjekindlalt	Ta on järjekindlalt raiskamise vastu.
一目了然	selgesti arusaadav	Tabeli sisu on selgesti arusaadav.
一向	alati	Ta on alati täpne.
仪器	seade	Labor ostis uue seadme.
仪式	tseremoonia	Lõputseremoonia toimub homme.
疑惑	kahtlus	Õpilasel tekkis vastuse suhtes kahtlus.
遗产	pärand	See iidne linn on kultuuripärand.
遗传	päranduma	See haigus võib päranduda.
遗留	maha jäänud	Ajalooliselt maha jäänud probleem tuleb lahendada.
遗失	kaotama	Reisija kaotas passi.
以便	et oleks võimalik	Palun jäta telefoninumber, et oleks võimalik ühendust võtta.
以免	et mitte	Välju varem, et mitte hilineda.
以往	varasem	Varasem kogemus väärib arvesse võtmist.
以至	kuni	Ulatus laienes kogukonnani ja kuni kogu linnani.
以致	nii et	Paduvihm jätkus, nii et tee suleti.
一帆风顺	libedalt minema	Ettevõtlus ei saa alati libedalt minna.
一举两得	kaks kärbest ühe hoobiga	Tööle rattaga sõitmine võtab kaks kärbest ühe hoobiga.
一丝不苟	ülitäpne	Insener kontrollis juhtmeid ülitäpselt.
亦	samuti	Ka tema nõustus selle kavaga.
异常	ebanormaalne	Süsteemis tekkis ebanormaalne olukord.
意料	ootus	Tulemus oli täiesti ootamatu.
意识	mõistma	Ta hakkas tasapisi probleemi tõsidust mõistma.
意图	kavatsus	Politsei nägi tema kavatsuse läbi.
意味着	tähendama	Vaikus ei tähenda nõusolekut.
意向	kavatsus	Pooled väljendasid koostöökavatsust.
意志	tahtejõud	Raskused panevad inimese tahtejõu proovile.
毅力	püsivus	Edu nõuab pikaajalist püsivust.
毅然	otsustavalt	Ta lahkus ettevõttest otsustavalt.
翼	tiib	Lennuki tiib kontrolliti üle.
阴谋	vandenõu	Nad paljastasid selle vandenõu.
音响	helitehnika	Elutoa helitehnika kõlab hästi.
引导	juhendama	Õpetaja juhendab õpilasi mõtlema.
引擎	mootor	Auto mootor seiskus äkki.
引用	tsiteerima	Artikkel tsiteeris palju allikaid.
隐蔽	varjuma	Sõdurid varjusid metsa.
隐患	varjatud oht	Vanades juhtmetes on varjatud ohte.
隐瞒	varjama	Ta ei varjanud tõde.
隐私	privaatsus	Ettevõte peab kasutajate privaatsust kaitsma.
隐约	ähmaselt	Kaugelt kostis ähmaselt laulu.
饮食	toitumine	Tervislik toitumine aitab taastuda.
婴儿	imik	Imik magab rahulikult.
英明	tark	Juht tegi targa otsuse.
英勇	vapper	Tuletõrjuja päästis lapse vapralt.
盈利	kasumit teenima	Ettevõte hakkas sel aastal kasumit teenima.
迎面	vastu	Külm tuul puhus vastu.
应酬	seltskondlik kohustus	Tal on täna õhtul palju seltskondlikke kohustusi.
应邀	kutse peale	Ekspert osales foorumil kutse peale.
庸俗	labane	Selle reklaami sisu on labane.
拥护	toetama	Kõik toetavad uut poliitikat.
拥有	omama	Tal on rikkalik kogemus.
勇于	julgema	Noored peaksid julgema proovida.
永恒	igavene	Armastus ei ole alati muutumatult igavene.
涌现	esile kerkima	Üle kogu riigi kerkib esile suurepäraseid õpetajaid.
踊跃	innukalt	Elanikud registreerusid tegevusse innukalt.
用户	kasutaja	Kasutaja saab parooli muuta.
优胜劣汰	tugevam jääb ellu	Turukonkurents näitab põhimõtet, et tugevam jääb ellu.
优先	eelisjärjekorras	Eakad saavad teenust eelisjärjekorras.
优异	suurepärane	Ta saavutas suurepäraseid tulemusi.
优越	soodne	Siinne geograafiline asukoht on soodne.
忧郁	melanhoolne	Tema ilme paistis melanhoolne.
油腻	rasvane	See roog on liiga rasvane.
油漆	värv	Töölised värvivad ust värviga.
犹如	justkui	Järvepind oli justkui peegel.
有条不紊	korrakalt	Koosolek kulges korrakalt.
幼稚	lapsik	See mõte on natuke lapsik.
诱惑	kiusatus	Reklaam on täis tarbimiskiusatusi.
愚蠢	rumal	See otsus oli väga rumal.
愚昧	võhiklik	Võhiklikud arusaamad takistavad arengut.
渔民	kalur	Kalurid lähevad varahommikul merele kala püüdma.
舆论	avalik arvamus	Avalik arvamus mõjutab kohtuasja tugevalt.
与日俱增	päev-päevalt kasvama	Turistide arv kasvab päev-päevalt.
宇宙	universum	Inimkond uurib pidevalt universumit.
羽绒服	sulejope	Talvel tuleb kanda sulejopet.
寓言	valm	Sellel valmil on õpetlik tähendus.
愈	üha	Haigus läheb üha paremaks.
欲望	iha	Ta hoidis ostuiha kontrolli all.
熨	triikima	Ta triikis särgi siledaks.
玉	jadeiit	Selle jadeiidi värv on pehme ja soe.
预料	ootus	Asjade areng ületas ootusi.
预期	ootus	Müük jäi ootustele alla.
预算	eelarve	Projekti eelarvet tuleb kohandada.
预先	ette	Palun valmista materjalid ette.
预言	ennustus	Tema ennustus ei täitunud.
预兆	ennustusmärk	Valu võib olla haiguse ennustusmärk.
冤枉	ebaõiglaselt süüdistama	Ära süüdista süütut inimest ebaõiglaselt.
元首	riigipea	Kahe riigi riigipead pidasid kõnelusi.
元素	element	Hapnik on keemiline element.
元宵节	laternate püha	Laternate pühal vaadatakse laternaid.
原告	hageja	Hageja esitas uued tõendid.
原理	põhimõte	Õpetaja selgitas masina tööpõhimõtet.
原始	algne	Nad säilitasid algsed dokumendid.
原先	esialgne	Esialgne plaan on juba muutunud.
园林	aed	Suzhou aiad on väga kuulsad.
圆满	edukas	Koosolek lõppes edukalt.
源泉	allikas	Praktika on teadmiste allikas.
缘故	põhjus	Ta lahkus tervislikel põhjustel töölt.
约束	piirama	Süsteem piirab töötajate käitumist.
乐谱	noodid	Ta luges noote tähelepanelikult.
岳母	ämm	Ta läheb nädalavahetusel ämma vaatama.
孕育	sünnitama	Muld sünnitab uut elu.
蕴藏	sisaldama	Mägedes leidub rikkalikke maavarasid.
运算	arvutus	Õpilased harjutavad matemaatilisi arvutusi.
运行	töötama	Süsteem töötab stabiilselt.
酝酿	kavandama	Pooled kavandavad uut lahendust.
杂技	akrobaatika	Lastele meeldib akrobaatikaetendusi vaadata.
杂交	hübriidne	Teadlased uurivad hübriidriisi.
砸	puruks lööma	Tass kukkus põrandale ja läks puruks.
咋	kuidas	Kuidas sa ikka veel tagasi ei ole?
栽培	kasvatama	Aednik kasvatas palju lilli.
灾难	katastroof	Pärast katastroofi hakkas linn taastuma.
宰	tapma	Pühade ajal tapsid külaelanikud lamba.
再接再厉	jõupingutusi jätkama	Pärast auhinna saamist jätkas meeskond jõupingutusi.
在意	hoolima	Ta hoolib väga teiste arvamusest.
攒	koguma	Ta kogub raha arvuti ostmiseks.
暂且	ajutiselt	Jätame selle küsimuse ajutiselt kõrvale.
赞叹	imetlema	Publik imetles näitleja esitust.
赞助	sponsoreerima	Ettevõte sponsoreeris seda võistlust.
糟蹋	raiskama	Ära raiska neid värskeid toiduaineid.
遭受	kannatama	Põllud kannatasid ränga põua all.
遭殃	kannatada saama	Sild varises kokku ja lähedased elanikud said kannatada.
遭遇	kohtama	Nad kohtasid teel lumetormi.
噪音	müra	Ehitusmüra segab puhkamist.
造型	kujundus	Selle auto kujundus on väga eriline.
责怪	süüdistama	Palun ära süüdista last pidevalt.
贼	varas	Politsei tabas selle varga.
增添	lisama	Lilled lisasid toale värvi.
赠送	kingituseks andma	Pood andis kaasa väikese kingituse.
扎	torkama	Õde torkas talle süsti.
扎实	tugev	Tema grammatika alus on tugev.
渣	paks	Kruusi põhja jäi kohvipaks.
眨	pilgutama	Ta pilgutas silmi.
诈骗	pettus	Politsei lahendas telefonipettuse juhtumi.
摘要	kokkuvõte	Artikli kokkuvõte on selgelt kirjutatud.
债券	võlakiri	Investorid ostsid riigivõlakirju.
沾光	kasu saama	Ka mina sain sõbra kaudu kasu.
瞻仰	austusega vaatama	Turistid vaatasid kangelaste mälestusmärki austusega.
展示	näitama	Ettevõte näitas uusimaid tooteid.
展望	väljavaade	Aruanne käsitles tuleviku väljavaateid.
展现	esile tooma	Teos tõi esile maaelu.
崭新	täiesti uus	Ta ostis täiesti uue jalgratta.
斩钉截铁	kategooriliselt	Ta keeldus kategooriliselt.
占据	hõivama	Reklaam hõivas kogu lehekülje.
占领	vallutama	Sõjavägi vallutas mäekuru.
战斗	lahing	Lahing kestis kolm tundi.
战略	strateegia	Ettevõte muutis arengustrateegiat.
战术	taktika	Treener muutis mängutaktikat.
战役	sõjakäik	See sõjakäik muutis olukorda.
章程	põhikiri	Ühing võttis vastu uue põhikirja.
帐篷	telk	Nad püstitasid järve äärde telgi.
障碍	takistus	Keeletakistus mõjutab suhtlemist.
招标	hange	Ehitusprojekt läks avalikule hankele.
招收	vastu võtma	Kool võtab sel aastal vastu uusi õpilasi.
朝气蓬勃	elujõuline	Noor meeskond on elujõuline.
着迷	vaimustuses olema	Laps on astronoomiast vaimustuses.
沼泽	soo	Ekspeditsioon läbis soo.
照样	ikka	Vihmast hoolimata toimus treening ikka.
照耀	valgustama	Päike valgustas väljakut.
折腾	jändama	Ära selle vana arvutiga enam jända.
遮挡	varjama	Puuoksad varjasid akent.
折	voltima	Ta voltis paberi lennukiks.
折磨	piinama	Pikaajaline unetus piinas teda.
侦探	detektiiv	Detektiiv leidis olulise vihje.
斟酌	kaaluma	Palun kaalu sõnastust hoolikalt.
珍贵	väärtuslik	Need fotod on väga väärtuslikud.
珍稀	haruldane	Kaitse haruldasi metsloomi.
珍珠	pärl	Ta kandis pärlkõrvarõngaid.
真理	tõde	Praktika kontrollib tõde.
真相	tõde	Ajakirjanik püüdis tõde välja selgitada.
真挚	siiras	Ta väljendas siirast tänu.
枕头	padi	See padi on liiga kõrge.
振奋	innustama	Hea uudis innustas kõiki.
振兴	elavdama	Valitsus edendab maaelu elavdamist.
镇定	rahulik	Kriisi ajal jäi ta rahulikuks.
镇静	rahunema	Õde palus patsiendil rahuneda.
阵地	positsioon	Sõdurid hoidsid positsiooni.
阵容	koosseis	Meeskond avaldas algkoosseisu.
震撼	raputav	See film oli väga raputav.
震惊	šokeerima	Uudis šokeeris kogu riiki.
争端	vaidlus	Pooled püüdsid piirivaidlust lahendada.
争夺	võistlema	Kaks ettevõtet võistlevad turuosa pärast.
争气	au tegema	Ta õpib kõvasti, et perele au teha.
争先恐后	tormi jooksma	Turistid jooksid bussi peale tormi.
争议	vaidlus	See otsus tekitas vaidlust.
征服	vallutama	Mägironijad vallutasid tipu.
征收	sisse nõudma	Valitsus nõuab makse sisse seaduse järgi.
挣扎	rabelema	Väike lind rabeles võrgus.
正月	esimene kuukuu	Esimesel kuukuul külastavad sugulased üksteist.
蒸发	aurustuma	Vesi aurustus kiiresti.
整顿	korrastama	Ettevõte hakkas juhtimist korrastama.
政策	poliitika	Uus poliitika toetab väikeettevõtteid.
政权	võim	Sõda muutis kohalikku võimu.
正当	õigustatud	Ta esitas õigustatud nõudmise.
正负	pluss-miinus	Mõõdik näitas pluss-miinus viga.
正规	ametlik	Laps läks ametlikku kooli õppima.
正经	tõsine	Ta hakkas lõpuks tõsiselt rääkima.
正气	õiglustunne	Ühiskond peab õiglustunnet edendama.
正义	õiglus	Advokaat kaitses õiglust.
正宗	ehtne	See pood müüb ehtsat Sichuani toitu.
症状	sümptom	Palavik on tavaline sümptom.
证实	kinnitama	Uurimine kinnitas tema väidet.
证书	tunnistus	Ta sai kutsetunnistuse.
郑重	tõsiselt	Ta lubas tõsiselt, et võtab vastutuse.
之际	ajal	Kevadpüha saabumise ajal on kõigil kiire.
支撑	toetama	Sambad toetavad katust.
支出	kulud	Pere kulud kasvasid märgatavalt.
支流	lisajõgi	See jõgi on Jangtse lisajõgi.
支配	valitsema	Emotsioonid ei tohiks otsustamist valitseda.
支援	toetama	Arstid tulid eri paikadest appi.
支柱	tugisammas	Tööstus on kohaliku majanduse tugisammas.
枝	oks	Ta murdis ühe lilleoksa.
知觉	teadvus	Vigastatu teadvus taastus tasapisi.
知足常乐	rahulolu toob rõõmu	Vana inimene ütleb tihti, et rahulolu toob rõõmu.
脂肪	rasv	Pähklid sisaldavad tervislikku rasva.
侄子	vennapoeg	Minu vennapoeg käib sel aastal algkoolis.
值班	valves olema	Õde on täna õhtul valves.
执行	täitma	Kohus täitis otsuse.
执着	pühendunud	Ta on oma ideaalile väga pühendunud.
殖民地	koloonia	See saar oli kunagi koloonia.
直播	otseülekanne	Võistlus on täna õhtul veebis otseülekandes.
直径	diameeter	Selle ringi diameeter on kümme sentimeetrit.
职能	funktsioon	Osakonna funktsioonid tuleb ümber jagada.
职位	ametikoht	Ta kandideeris juhtivale ametikohale.
职务	amet	Tema amet on projektijuht.
