simplified	UZ	example_UZ
认定	aniqlamoq	Politsiya buni baxtsiz hodisa deb aniqladi.
认可	tan olmoq	Uning rejasi hamma tomonidan tan olindi.
仍旧	hanuz	Ko'p yillardan keyin ham u hanuz shu yerda yashardi.
日新月异	tez sur'atda o'zgarmoq	Texnologiya tez sur'atda o'zgarib bormoqda.
日益	tobora	Atrof-muhit muammolari tobora jiddiylashmoqda.
容貌	tashqi qiyofa	Yillar uning tashqi qiyofasini o'zgartirdi.
容纳	sig'dirmoq	Bu zal besh yuz kishini sig'dira oladi.
容器	idish	Iltimos, suyuqlikni shisha idishga quying.
容忍	toqat qilmoq	Kompaniya firibgarlikka toqat qila olmaydi.
溶解	erimoq	Tuz suvda eriydi.
荣幸	sharaf	Yig'ilishda qatnashish men uchun sharaf.
荣誉	faxr	Bu medal eng oliy faxrni ifodalaydi.
融化	erib ketmoq	Quyosh nuri muz va qorni sekin eritdi.
融洽	ahil	Hamkasblar o'rtasidagi munosabatlar juda ahil.
揉	uqalamoq	Onam yelkalarimni ohista uqaladi.
柔和	muloyim	Chiroq nuri muloyim va ko'zni qamashtirmaydi.
儒家	Konfutsiy ta'limoti	Konfutsiy ta'limoti Sharqiy Osiyo madaniyatiga ta'sir ko'rsatdi.
弱点	zaif tomon	Ehtiyotsizlik uning asosiy zaif tomoni.
若干	bir necha	Yig'ilishda bir necha taklif ilgari surildi.
撒谎	yolg'on gapirmoq	Bolalar yolg'on gapirmasligi kerak.
散文	nasr	U zamonaviy nasr o'qishni yoqtiradi.
散布	tarqatmoq	Internetda kimdir mish-mish tarqatmoqda.
散发	taratmoq	Bog'dan yoqimli hid taralmoqda.
丧失	yo'qotmoq	U ishonchini yo'qotmadi.
骚扰	bezovta qilmoq	Iltimos, boshqa yo'lovchilarni bezovta qilmang.
嫂子	kelinoyi	Kelinoyim pishirgan ovqat juda mazali.
刹车	tormoz bermoq	Haydovchi birdan tormoz berdi.
啥	nima	Hozir nima deding?
筛选	saralamoq	Tizim rezyumelarni avtomatik saralaydi.
山脉	tog' tizmasi	Bu tog' tizmasi juda uzun.
闪烁	miltillamoq	Uzoqdagi chiroqlar tinmay miltilladi.
擅长	usta bo'lmoq	U murakkab muammolarni hal qilishda usta.
擅自	ruxsatsiz	Xodimlar ruxsatsiz ish joyidan ketmasligi kerak.
伤脑筋	bosh qotirmoq	Bu muammo haqiqatan bosh qotiradi.
商标	savdo belgisi	Kompaniya yangi savdo belgisini ro'yxatdan o'tkazdi.
上级	yuqori rahbar	U holatni yuqori rahbarga xabar qildi.
上进	rivojlanishga intilmoq	U doim rivojlanishga intilgan.
上任	lavozimga kirishmoq	Yangi menejer kelasi hafta lavozimga kirishadi.
上瘾	qaram bo'lib qolmoq	Ko'p odamlar qisqa videolarga qaram bo'lib qoladi.
上游	yuqori oqim	Ifloslanish daryoning yuqori oqimidan kelmoqda.
尚且	hatto	Hatto kattalar ham xato qilishi mumkin.
捎	yetkazib qo'ymoq	Iltimos, menga bir og'iz xabar yetkazib qo'ying.
梢	daraxt uchi	Qush daraxt uchiga qo'ndi.
哨	soqchi	Darvoza oldida bir soqchi bor.
奢侈	hashamatli	Bunday sarf-xarajat juda hashamatli.
舌头	til	U tilini kuydirib oldi.
摄氏度	Selsiy darajasi	Bugungi harorat o'ttiz Selsiy darajasi.
涉及	qamrab olmoq	Hisobot bir nechta bo'limni qamrab oladi.
社区	mahalla	Mahalla sog'liq bo'yicha ma'ruza tashkil qildi.
设立	tashkil etmoq	Maktab stipendiya tashkil etdi.
设想	tasavvur	Bu tasavvur hali muhokama qilinishi kerak.
设置	sozlamoq	Iltimos, parolni qayta sozlang.
呻吟	ingramoq	Bemor past ovozda ingradi.
深奥	chuqur mazmunli	Bu kitobning mazmuni juda chuqur.
深沉	past va chuqur	Uning ovozi past va chuqur edi.
深情厚谊	samimiy do'stlik	Ikki mamlakat xalqlari samimiy do'stlik o'rnatdi.
申报	deklaratsiya qilmoq	Yo'lovchilar buyumlarini rost deklaratsiya qilishi kerak.
绅士	olijanob erkak	U o'zini olijanob erkak kabi tutadi.
神经	asab	Bosim asab tizimiga ta'sir qilishi mumkin.
神奇	mo'jizaviy	Bu yerning manzarasi juda mo'jizaviy.
神气	tetik	U bugun ayniqsa tetik ko'rindi.
神圣	muqaddas	Bu muqaddas burchdir.
神态	chehra holati	Uning chehra holati juda sokin edi.
神仙	afsonaviy mavjudot	Rivoyatga ko'ra, tog'da afsonaviy mavjudotlar yashaydi.
审查	tekshirmoq	Platforma e'lon qilingan kontentni tekshiradi.
审理	sudda ko'rib chiqmoq	Sud bu ishni ko'rib chiqmoqda.
审美	estetik did	Uning estetik didi juda o'ziga xos.
审判	sud jarayoni	Ochiq sud jarayoni OAV e'tiborini tortdi.
慎重	ehtiyotkor	Bu qaror ehtiyotkorlik bilan qabul qilinishi kerak.
渗透	singib kirmoq	Yomg'ir suvi tuproqqa sekin singib kirdi.
声明	bayonot	Kompaniya rasmiy bayonot chiqardi.
声势	keng ko'lamli shiddat	Bu targ'ibot kampaniyasi keng ko'lamli shiddatga ega.
声誉	obro'	Mahsulot sifati brend obro'siga ta'sir qiladi.
牲畜	chorva mollari	Cho'ponlar chorva mollarini yaylovga qaytardi.
生存	yashab qolmoq	Yovvoyi hayvonlarga yashab qolish uchun makon kerak.
生机	hayotiylik	Bahor yomg'iri yer yuzini hayotiylikka to'ldirdi.
生理	fiziologik	Uyqu insonning fiziologik holatiga ta'sir qiladi.
生疏	yoddan chiqqan	Ko'p yillar mashq qilmagani uchun uning pianino chalishi biroz yoddan chiqqan.
生态	ekologiya	O'rmonlarni himoya qilish ekologik muvozanatga bog'liq.
生物	jonzot	Okeanda ko'plab g'alati jonzotlar bor.
生效	kuchga kirmoq	Yangi qoida ertaga rasman kuchga kiradi.
生肖	xitoy burji	Sizning xitoy burjingiz nima?
生锈	zanglamoq	Velosiped zanjiri allaqachon zanglagan.
生育	farzand ko'rish	Kasalxona farzand ko'rish bo'yicha maslahat xizmati beradi.
省会	viloyat markazi	Chengdu qadimdan Sichuan viloyati markazi bo'lgan.
盛产	mo'l yetishtirmoq	Bu yerda sifatli choy mo'l yetishtiriladi.
盛开	gullamoq	Bog'dagi sakura gullari ayni gullamoqda.
盛情	iliq mehmondo'stlik	Mezbonning iliq mehmondo'stligi uchun minnatdormiz.
盛行	keng tarqalmoq	Bu uslub bir vaqtlar juda keng tarqalgan edi.
胜负	g'alaba yoki mag'lubiyat	O'yinning oxirgi daqiqasi g'alaba yoki mag'lubiyatni hal qildi.
失事	halokatga uchramoq	Samolyot halokati sababi hali tekshirilmoqda.
失误	xato	Bitta kichik xato loyiha kechikishiga sabab bo'ldi.
失踪	bedarak yo'qolgan	Politsiya bedarak yo'qolgan bolani qidirmoqda.
尸体	murdasi	Qutqaruv guruhi jabrlanuvchining murdasini topdi.
师范	pedagogik	U pedagogika universitetini bitirgan.
施加	ta'sir o'tkazmoq	Ota-onalar haddan tashqari bosim o'tkazmasligi kerak.
施展	ishga solmoq	U nihoyat iste'dodini ishga solish imkoniyatiga ega bo'ldi.
十足	to'liq	U natijaga to'liq ishonadi.
实惠	hamyonbop	Bu do'konda narxlar juda hamyonbop.
实力	kuch	Jamoaning umumiy kuchi juda yuqori.
实施	amalga oshirmoq	Hukumat yangi rejani amalga oshira boshladi.
实事求是	haqiqatga tayangan holda ish yuritmoq	Tadqiqotda haqiqatga tayangan holda ish yuritish kerak.
实行	joriy etmoq	Kompaniya moslashuvchan ish tartibini joriy etdi.
实质	mohiyat	Muammoning mohiyati o'zgarmadi.
拾	terib olmoq	U egilib yerdagi kalitni terib oldi.
时常	tez-tez	Bobom yoshligidagi voqealarni tez-tez aytib beradi.
时而	goh-goh	Havo goh ochiq, goh bulutli bo'ladi.
时光	vaqt	Yaxshi vaqt doim qisqa tuyuladi.
时机	fursat	Hozir muzokara uchun yaxshi fursat emas.
时事	joriy voqealar	Talabalar har hafta xalqaro joriy voqealarni muhokama qiladi.
石油	neft	Neft narxi yana oshdi.
识别	tanib olmoq	Tizim turli yuzlarni tanib oladi.
使命	missiya	Atrof-muhitni himoya qilish umumiy missiyadir.
世代	avloddan avlodga	Bu hunar oilada avloddan avlodga o'tib kelgan.
事故	baxtsiz hodisa	Bu baxtsiz hodisada jarohatlanganlar bo'lmadi.
事迹	jasoratli ishlar	Uning jasoratli ishlari keng tarqaldi.
事件	voqea	Bu voqea jamiyat e'tiborini tortdi.
事态	vaziyat rivoji	Hukumat vaziyat rivojini nazorat qilmoqda.
事务	ishlar	U kompaniyaning kundalik ishlariga mas'ul.
事项	band	Iltimos, shartnomadagi muhim bandlarni tasdiqlang.
事业	karyera	U ta'limni umrboqiy karyera deb biladi.
势必	albatta	Narxlarning oshishi albatta narxlarga ta'sir qiladi.
势力	ta'sir kuchi	Mahalliy biznesning ta'sir kuchi katta.
是非	mojaro	U ofis mojarolariga aralashishni istamaydi.
示范	namoyish qilmoq	O'qituvchi avval bir marta namoyish qildi.
示威	namoyish	Shahar markazida tinch namoyish bo'lib o'tdi.
示意	ishora qilmoq	Menejer hammaga jim turishni ishora qildi.
视力	ko'rish qobiliyati	Ekranga uzoq qarash ko'rish qobiliyatiga ta'sir qiladi.
视频	videolavha	Iltimos, videolavhani menga yuboring.
视线	ko'rish chizig'i	Qalin tuman haydovchining ko'rish chizig'ini to'sdi.
视野	dunyoqarash	Sayohat dunyoqarashni kengaytiradi.
试图	urinmoq	U o'z qarorini tushuntirishga urindi.
试验	tajriba	Olimlar ko'p marta tajriba o'tkazdi.
适宜	mos	Bu yerning iqlimi yashashga mos.
逝世	vafot etmoq	Bu yozuvchi o'tgan yili vafot etdi.
释放	ozod qilmoq	Sud ayblanuvchini ozod qilishga qaror qildi.
收藏	yig'moq	U ko'plab eski markalarni yig'gan.
收缩	qisqarmoq	Sovuq havo metallni qisqartirishi mumkin.
收益	daromad	Sarmoya daromadi kutilganidan yuqori bo'ldi.
收音机	radio qabul qilgich	Buvim har kuni radio qabul qilgichni tinglaydi.
守护	himoya qilmoq	Shifokorlar bemorlarning hayotini himoya qiladi.
手法	uslub	Rejissyorning suratga olish uslubi juda o'ziga xos.
手势	imo-ishora	U roziligini imo-ishora bilan bildirdi.
手艺	hunar	Bu ustaning hunari juda yaxshi.
首饰	taqinchoq	U oddiy kumush taqinchoq taqqan edi.
首要	eng muhim	Xavfsizlik eng muhim vazifa.
受罪	azob chekmoq	Bemor operatsiyadan keyin ko'p azob chekdi.
授予	taqdim etmoq	Maktab unga faxriy daraja taqdim etdi.
书法	xattotlik	U bolaligidan xattotlik bilan shug'ullanadi.
书记	kotib	Qishloq kotibi yig'ilishni olib bordi.
书籍	kitoblar	Kutubxonada juda ko'p kitoblar bor.
书面	yozma	Iltimos, yozma dalil taqdim eting.
疏忽	beparvolik	Bu xato ishdagi beparvolikdan kelib chiqdi.
疏远	uzoqlashmoq	Tushunmovchilik ikki odamni asta-sekin uzoqlashtirdi.
舒畅	yengil tortgan	Sayrdan keyin kayfiyatim yengil tortdi.
数额	miqdor	Tovon miqdori hali aniqlanmadi.
束	dasta	U bir dasta gul sotib oldi.
束缚	cheklamoq	An'anaviy qarashlar uning tanlovini chekladi.
树立	o'rnatmoq	Kompaniya yaxshi imidj o'rnatishi kerak.
竖	tik qo'ymoq	Iltimos, belgini tik qo'ying.
耍	o'ynamoq	Ish vaqtida telefon bilan o'ynamang.
衰老	qarimoq	Mashq qarishni sekinlashtirishi mumkin.
衰退	pasayish	Iqtisodiy pasayish bandlikka ta'sir qildi.
率领	boshchilik qilmoq	Sardor jamoaga boshchilik qilib oldinga yurdi.
涮火锅	xotpot yeyish	Qishda hamma xotpot yeyishni yoqtiradi.
双胞胎	egizak	Ular bir juft egizak.
爽快	ochiqchasiga	U juda ochiqchasiga javob berdi.
水利	suv xo'jaligi	Bu hudud suv xo'jaligi qurilishiga ahamiyat beradi.
水龙头	jo'mrak	Oshxonadagi jo'mrakdan suv oqmoqda.
水泥	tsement	Ishchilar tsementni qurilish maydoniga olib bordi.
瞬间	lahza	Chiroqlar bir lahzada butunlay o'chdi.
司法	sud-huquq	Sud-huquq mustaqilligi institutsional kafolat talab qiladi.
司令	qo'mondon	Qo'mondon chekinish buyrug'ini berdi.
思念	sog'inmoq	U ko'pincha tug'ilgan yurtini sog'inadi.
思索	chuqur o'ylamoq	U boshini egib uzoq chuqur o'yladi.
思维	tafakkur	Bu mashg'ulot mantiqiy tafakkurni oshiradi.
斯文	madaniyatli	U juda madaniyatli va muloyim gapiradi.
私自	ruxsatsiz	O'quvchilar ruxsatsiz maktabdan ketmasligi kerak.
死亡	o'lim	Hodisa bir necha kishining o'limiga sabab bo'ldi.
四肢	oyoq-qo'llar	Mashqdan oldin oyoq-qo'llarni harakatlantirish kerak.
寺庙	ibodatxona	Tog'da qadimiy ibodatxona bor.
肆无忌惮	hech narsadan tap tortmay	U hech narsadan tap tortmay qoidalarni buzdi.
饲养	boqmoq	Fermada ko'p sut sigirlari boqiladi.
耸	yelka qisimoq	U eshitgach faqat yelka qisdi.
艘	kema sanog'i	Portda uchta yuk kemasi turibdi.
苏醒	hushiga kelmoq	Bemor nihoyat hushiga keldi.
俗话	maqol	Maqolda aytilishicha, mashq mahorat keltiradi.
塑造	shakllantirmoq	Muhit inson xarakterini shakllantiradi.
素食	vegetarian taom	Bu restoran vegetarian taomlar taklif qiladi.
素质	sifat	Xizmat xodimlarining sifati yuqori.
诉讼	sud da'vosi	Ikki tomon masalani sud da'vosi orqali hal qilishga qaror qildi.
算数	so'zida turmoq	Aytgan gapingizda turishingiz kerak.
随即	darhol	Yig'ilish tugagach, u darhol ketdi.
随意	ixtiyoricha	Iltimos, sozlamalarni ixtiyoricha o'zgartirmang.
岁月	yillar	Yillar uning tashqi qiyofasini o'zgartirdi.
隧道	yerosti yo'li	Poyezd uzun yerosti yo'lidan o'tdi.
损坏	shikastlamoq	Kuchli yomg'ir yo'lni shikastladi.
索取	so'ramoq	Mijozlar namunalarni bepul so'rashi mumkin.
索性	shunchaki	Yomg'ir juda kuchli edi, shuning uchun shunchaki tashqariga chiqmadi.
塌	qulamoq	Eski uyning tomi qulab tushdi.
踏实	xotirjam	Vazifani tugatgach, ko'nglim xotirjam bo'ldi.
塔	minora	Shahar markazida baland minora bor.
台风	tayfun	Tayfun ertaga quruqlikka chiqishi kutilmoqda.
太空	koinot	Insoniyat doimo koinotni o'rganib kelgan.
泰斗	yetakchi alloma	U tilshunoslik sohasining yetakchi allomasi.
摊	rasta	U bozorda meva rastasi ochdi.
瘫痪	falaj	Yo'l hodisasi uning pastki tanasini falaj qildi.
贪婪	ochko'z	Ochko'zlik odamni halok qilishi mumkin.
贪污	korrupsiya	Amaldor korrupsiya uchun tekshirildi.
弹性	elastiklik	Bu materialda elastiklik bor.
坦白	rostini aytmoq	U nihoyat haqiqatni rostini aytdi.
叹气	xo'rsinmoq	Natijani eshitib, u beixtiyor xo'rsindi.
探测	aniqlamoq	Uskuna yerosti suvlarini aniqlay oladi.
探索	tadqiq qilmoq	Olimlar koinotni tadqiq qilishda davom etmoqda.
探讨	muhokama qilmoq	Mutaxassislar islohot rejasini muhokama qildi.
探望	xabar olmoq	Dam olish kunida kasalxonaga do'stimdan xabar olgani bordim.
倘若	agar	Agar yomg'ir yog'sa, tadbir qoldiriladi.
掏	chiqarib olmoq	U cho'ntagidan kalitni chiqarib oldi.
滔滔不绝	to'xtamay gapirmoq	U tarix haqida gapirsa, to'xtamay gapiradi.
淘汰	chiqarib yuborilmoq	Bu jamoa erta chiqarib yuborildi.
陶瓷	keramika	Jingdezhen keramika bilan mashhur.
陶醉	maftun bo'lmoq	Tomoshabinlar musiqaga maftun bo'ldi.
讨好	xushomad qilmoq	U rahbariga ataylab xushomad qilishni istamaydi.
特长	alohida qobiliyat	Rasm chizish uning alohida qobiliyati.
特定	muayyan	Iltimos, arizani muayyan vaqt ichida topshiring.
特意	maxsus	Men sizga rahmat aytish uchun maxsus keldim.
提拔	lavozimga ko'tarmoq	Kompaniya uni bo'lim boshlig'i lavozimiga ko'tardi.
提炼	ajratib olmoq	Zavod rudan metalni ajratib oladi.
提示	eslatma bermoq	Tizim parol kiritishni eslatadi.
提议	taklif qilmoq	U ertaga muhokamani davom ettirishni taklif qildi.
题材	mavzu	Bu filmning mavzusi yangi.
体裁	janr	Roman va she'r turli janrlardir.
体积	hajm	Bu qutining hajmi katta.
体谅	tushunish	Iltimos, uning qiyinchiliklarini tushuning.
体面	orzuli	U munosib ish topishni xohlaydi.
体系	tizim	Kompaniya to'liq o'quv tizimini yaratdi.
天才	daho	Bu bola musiqiy daho deb hisoblanadi.
天赋	tug'ma qobiliyat	Unda tillarni o'rganishga tug'ma qobiliyat bor.
天伦之乐	oilaviy baxt	Keksa kishi oilaviy baxtdan bahramand.
天然气	tabiiy gaz	Shahar aholisi ovqat tayyorlashda tabiiy gazdan foydalanadi.
天生	tug'ma	U tug'ma ravishda juda nekbin.
天堂	jannat	Bu joy yer yuzidagi jannatga o'xshaydi.
天文	astronomiya	U bolaligidan astronomiyani yoqtiradi.
田径	yengil atletika	Maktab yengil atletika musobaqasini o'tkazdi.
田野	dala	Bahorgi dalalar yam-yashil.
舔	yalamoq	Kuchuk egasining qo'lini yaladi.
挑剔	injiq	U ovqat borasida juda injiq.
条款	band	Shartnoma bandlarini diqqat bilan o'qish kerak.
条理	tartib	Uning nutqi juda tartibli edi.
条约	shartnoma	Ikki davlat tinchlik shartnomasini imzoladi.
调和	uyg'un	Bu ikki rang yaxshi uyg'unlashadi.
调剂	muvozanatlamoq	Mashq tarang hayotni muvozanatlay oladi.
调节	tartibga solmoq	Konditsioner xona haroratini tartibga soladi.
调解	vositachilik qilmoq	Mahalla xodimlari ikki tomon nizosida vositachilik qildi.
调料	ziravor	Sho'rvaga ozgina ziravor qo'shish kerak.
挑拨	nizo qo'zg'atmoq	Hamkasblar orasida nizo qo'zg'atmang.
挑衅	provokatsiya qilmoq	Bunday gapda ochiq provokatsiya bor.
跳跃	sakramoq	Sportchi ketma-ket uch marta sakradi.
亭子	ayvoncha	Ko'l bo'yida kichik ayvoncha bor.
停泊	langar tashlamoq	Baliqchi kemalari ko'rfazda langar tashlagan.
停顿	to'xtalish	U gap orasida bir oz to'xtaldi.
停滞	to'xtab qolmoq	Loyiha mablag' yetishmagani uchun to'xtab qoldi.
挺拔	tik va baland	Qarag'aylar tik va baland o'sgan.
通货膨胀	inflyatsiya	Inflyatsiya yashash xarajatlarini oshirdi.
通缉	qidiruvga bermoq	Politsiya gumonlanuvchini qidiruvga berdi.
通俗	sodda va tushunarli	Bu kitobning tili sodda va tushunarli.
通讯	aloqa	Zamonaviy aloqa texnologiyasi tez rivojlanmoqda.
通用	umumiy qo'llaniladigan	Bu zaryadlagich umumiy qo'llaniladigan turga kiradi.
同胞	vatandosh	Chet eldagi vatandoshlar ham yurt rivojiga qiziqadi.
同志	safdosh	Keksa safdosh ish tajribasi bilan bo'lishdi.
童话	ertak	Bola uxlashdan oldin ertak tinglashni yaxshi ko'radi.
铜	mis	Bu haykal misdan yasalgan.
统筹兼顾	har tomonlama muvofiqlashtirmoq	Shahar rejasida barcha tomonlar manfaatini muvofiqlashtirish kerak.
统计	hisoblamoq	Ro'yxatdan o'tganlar sonini hisoblashimiz kerak.
统统	barchasi	Bu eski hujjatlarning barchasi arxivga topshiriladi.
统治	hukmronlik qilmoq	Bu sulola uch yuz yil hukmronlik qildi.
投机	spekulyatsiya qilmoq	U spekulyatsiya orqali katta pul topdi.
投票	ovoz bermoq	Aholi ertaga ovoz berishda qatnashadi.
投诉	shikoyat qilmoq	Xaridor platformaga sotuvchidan shikoyat qildi.
投降	taslim bo'lmoq	Dushman qo'shini oxir-oqibat taslim bo'ldi.
投掷	uloqtirmoq	Sportchi nayza uloqtirishni mashq qildi.
透露	oshkor qilmoq	U yig'ilish tafsilotlarini oshkor qilmadi.
秃	kal	U yoshligidayoq kal bo'lib qoldi.
突破	katta yutuq	Tadqiqotda katta yutuqqa erishildi.
图案	naqsh	Bu matoning naqshi juda chiroyli.
徒弟	shogird	Usta shogirdiga soat tuzatishni o'rgatmoqda.
涂抹	surtmoq	Malhamni yara atrofiga surting.
途径	yo'l	Internet ma'lumot olishning muhim yo'lidir.
土壤	tuproq	Unumdor tuproq sabzavot ekishga mos.
团结	birlashmoq	Jamoa birlashib ishlashi kerak.
团体	guruh	Bu guruh muntazam tadbirlar o'tkazadi.
团圆	diydorlashish	Bahor bayrami oila diydorlashadigan kundir.
推测	taxmin qilmoq	Mutaxassislar narx yana oshishini taxmin qilmoqda.
推翻	ag'darmoq	Xalq eski tuzumni ag'dardi.
推理	mantiqiy fikrlash	Bu romanda mantiqiy fikrlash sahnalari ko'p.
推论	xulosa chiqarmoq	Bu xulosani dalillar bilan qo'llab-quvvatlash kerak.
推销	targ'ib qilib sotmoq	U yangi mahsulotni targ'ib qilib sotish uchun javobgar.
吞吞吐吐	tutilib gapirmoq	U savolga javob berayotganda tutilib gapirdi.
托运	yukni topshirmoq	Yo'lovchilar yuklarini peshtaxtada topshirishi mumkin.
拖延	kechiktirmoq	To'lov muddatini boshqa kechiktirmang.
脱离	ajralmoq	Nazariya amaliyotdan ajralmasligi kerak.
妥当	munosib	Bu tartib juda munosib.
妥善	puxta	Muhim hujjatlarni puxta saqlang.
妥协	kelishuvga bormoq	Ikki tomon oxirida kelishuvga bordi.
椭圆	ellips	Yer orbitasi ellipsga yaqin.
唾弃	nafrat bilan rad etmoq	Jamiyat bunday firibgarlikni nafrat bilan rad etadi.
哇	voy	Voy, bu ko'prik juda haybatli!
挖掘	qazimoq	Arxeologlar qadimiy qabrni qazimoqda.
娃娃	qo'g'irchoq	Qizcha qo'lida qo'g'irchoq ushlab turibdi.
瓦解	parchalanmoq	Ichki ziddiyatlar ittifoqni parchaladi.
歪曲	buzib ko'rsatmoq	Xabarlar haqiqatni buzib ko'rsatmasligi kerak.
外表	tashqi ko'rinish	Odamni faqat tashqi ko'rinishiga qarab baholamang.
外行	havaskor	Men huquq masalasida butunlay havaskorman.
外界	tashqi dunyo	Kompaniya tashqi dunyo tanqidiga kam javob beradi.
外向	ochiqko'ngil	U ochiqko'ngil, do'stlari juda ko'p.
丸	hapdori	Shifokor unga bir necha dona hapdori yozib berdi.
完备	to'liq	Bu ma'lumotlar to'plami juda to'liq.
完毕	tugamoq	Yig'ilish allaqachon tugadi.
玩弄	o'yin qilmoq	Boshqalarning his-tuyg'ularini o'yin qilmang.
玩意儿	narsa	Bu qanday yangi narsa?
顽固	o'jar	Uning munosabati juda o'jar.
顽强	matonatli	Yarador kishi juda matonatli bo'ldi.
惋惜	achinmoq	Hamma muvaffaqiyatsizlikka achindi.
挽回	qaytarib tiklamoq	U kompaniya zararini qaytarib tiklashga harakat qildi.
挽救	qutqarib qolmoq	Shifokor bemorning hayotini qutqarib qoldi.
万分	nihoyatda	Yordamingiz uchun nihoyatda minnatdorman.
往常	odatdagidan	Bugun havo odatdagidan issiqroq.
往事	o'tmish voqealari	Keksa odam ko'pincha o'tmish voqealarini eslaydi.
妄想	behuda orzu qilmoq	U bir kechada boyib ketishni behuda orzu qiladi.
危机	inqiroz	Kompaniya jiddiy inqirozga duch kelmoqda.
威风	salobat	General ot ustida juda salobatli ko'rindi.
威力	qudrat	Bu qurolning qudrati katta.
威望	obro'-e'tibor	U qishloqda katta obro'-e'tiborga ega.
威信	ishonch va obro'	Rahbarlar hukumat ishonchi va obro'sini saqlashi kerak.
微不足道	arzimas	Bu kichik zarar arzimas.
微观	mikro darajadagi	Bu dars mikro darajadagi iqtisodiyotni tanishtiradi.
为难	qiynab qo'ymoq	Ofitsiantni boshqa qiynab qo'ymang.
为期	davom etadigan	O'quv kursi uch oy davom etadigan bo'ladi.
唯独	faqatgina	Hamma keldi, faqatgina u kelmadi.
维持	saqlab turmoq	Politsiya voqea joyida tartibni saqlab turdi.
维护	himoya qilmoq	Biz qonuniy huquqlarimizni himoya qilishimiz kerak.
维生素	darmondori	Mevalarda ko'p darmondori bor.
违背	zid kelmoq	Bu qaror shartnoma ruhiga zid keladi.
伪造	soxtalashtirmoq	Kimdir uning imzosini soxtalashtirdi.
委托	vakolat bermoq	Mijoz ishni yuristga topshirib vakolat berdi.
委员	qo'mita a'zosi	Har bir qo'mita a'zosi fikr bildirdi.
卫星	sun'iy yo'ldosh	Sun'iy yo'ldosh belgilangan orbitaga kirdi.
喂	ovqatlantirmoq	Bola mushukchani ovqatlantiryapti.
慰问	hol so'ramoq	Rahbarlar kasalxonaga borib yaradorlarning holini so'radi.
未免	haddan tashqari	Bu talab haddan tashqari yuqori.
畏惧	qo'rqmoq	U qiyinchiliklardan hech qachon qo'rqmaydi.
蔚蓝	moviy	Osmon moviy tusga kirdi.
温带	mo'tadil mintaqa	Bu o'simlik mo'tadil mintaqa iqlimiga mos.
温和	muloyim	Uning siyosiy pozitsiyasi ancha muloyim.
文凭	diplom	Bu ish universitet diplomini talab qiladi.
文物	madaniy yodgorlik	Muzey qimmatbaho madaniy yodgorliklarni namoyish qildi.
文献	adabiyotlar	Maqola ko'p adabiyotlarga tayanadi.
文雅	nazokatli	Uning xatti-harakati nazokatli.
文艺	adabiyot va san'at	Bu shaharda adabiyot va san'at muhiti kuchli.
问世	chiqmoq	Bu telefon modeli yaqinda chiqadi.
窝	in	Daraxtda qush ini bor.
乌黑	qop-qora	Uning uzun sochi qop-qora.
污蔑	tuhmat qilmoq	U raqibiga tuhmat qilganini rad etdi.
诬陷	soxta ayb qo'ymoq	Dalillar unga soxta ayb qo'yilganini ko'rsatadi.
无比	nihoyatda	Xabarni eshitib, u nihoyatda hayajonlandi.
无偿	bepul	Ko'ngillilar bepul xizmat ko'rsatadi.
无耻	uyatsiz	Bunday aldov juda uyatsiz.
无动于衷	beparvo qolmoq	Tanqid qarshisida u beparvo qoldi.
无非	faqat xolos	U buni faqat pul tejash uchun qildi, xolos.
无辜	aybsiz	Sud uni aybsiz deb topdi.
无精打采	lanj	U bugun lanj ko'rinadi.
无赖	bezori	Qishloq aholisi o'sha bezori bilan aloqada bo'lishni istamaydi.
无理取闹	asossiz janjal qilmoq	Iltimos, bu yerda asossiz janjal qilmang.
无能为力	qo'lidan hech narsa kelmaslik	Suv toshqiniga qarshi qishloq ahlining qo'lidan hech narsa kelmadi.
无穷无尽	cheksiz	Cho'l cheksiz ko'rinardi.
无微不至	nihoyatda g'amxo'r	Hamshira bemorga nihoyatda g'amxo'r bo'ldi.
无忧无虑	beg'am	Bolalar maysazorda beg'am o'ynadi.
无知	bilimsizlik	Bilimsizlik o'qishdan bosh tortishga sabab bo'la olmaydi.
侮辱	haqorat qilmoq	Uning so'zlari boshqa odamni haqorat qildi.
武器	qurol	Bu qurollar bir joyda saqlanadi.
武侠	jang san'ati sarguzashti	U bolaligidan jang san'ati sarguzashti romanlarini yaxshi ko'radi.
武装	qurolli	Chegara hududida qurolli patrul kuchaytirildi.
舞蹈	raqs	Bu raqs milliy xususiyatlarga boy.
务必	albatta	Iltimos, albatta vaqtida yetib keling.
物美价廉	arzon va sifatli	Bu do'kondagi mahsulotlar arzon va sifatli.
物业	uy-joy boshqaruvi	Uy-joy boshqaruvi mahalla ta'miri uchun javobgar.
物资	ashyolar	Qutqaruv ashyolari ofat hududiga yetkazildi.
误差	xatolik	O'lchov natijasida kichik xatolik bor.
误解	tushunmovchilik	Ikki tomon muloqot orqali tushunmovchilikni bartaraf etdi.
夕阳	botayotgan quyosh	Botayotgan quyosh osmonni oltin rangga bo'yadi.
昔日	ilgari	Ilgarigi kichik qishloq shaharga aylandi.
溪	jilg'a	Tog' orasidan kichik jilg'a oqib o'tadi.
熄灭	o'chirmoq	Iltimos, shamni o'chiring.
