simplified	HR	example_HR
同胞	sunarodnjak	Sunarodnjaci u inozemstvu također brinu o razvoju rodnog kraja.
同志	drug	Stariji drug podijelio je radno iskustvo.
童话	bajka	Dijete voli slušati bajke prije spavanja.
铜	bakar	Ovaj je kip izrađen od bakra.
统筹兼顾	sveobuhvatno uskladiti	Urbanističko planiranje treba sveobuhvatno uskladiti sve interese.
统计	prebrojati	Moramo prebrojati broj prijava.
统统	sve	Svi ti stari dokumenti trebaju biti arhivirani.
统治	vladati	Ova je dinastija vladala tristo godina.
投机	špekulacija	Zaradio je novac špekulacijom.
投票	glasati	Stanovnici će sutra sudjelovati u glasovanju.
投诉	pritužba	Kupac je platformi podnio pritužbu protiv trgovca.
投降	predati se	Neprijateljska vojska na kraju se odlučila predati.
投掷	bacati	Sportaš je vježbao bacanje koplja.
透露	otkriti	Nije otkrio pojedinosti sastanka.
秃	ćelav	Postao je ćelav u mladosti.
突破	proboj	Istraživanje je postiglo velik proboj.
图案	uzorak	Uzorak na ovoj tkanini vrlo je lijep.
徒弟	šegrt	Majstor uči šegrta popravljati satove.
涂抹	namazati	Molim vas namažite mast oko rane.
途径	kanal	Internet je važan kanal za dobivanje informacija.
土壤	tlo	Plodno tlo prikladno je za uzgoj povrća.
团结	ujediniti se	Tim se mora ujediniti i surađivati.
团体	grupa	Ova grupa redovito održava aktivnosti.
团圆	ponovno okupljanje	Proljetni festival vrijeme je obiteljskog ponovnog okupljanja.
推测	pretpostaviti	Stručnjaci pretpostavljaju da će cijene nastaviti rasti.
推翻	srušiti	Narod je srušio stari sustav.
推理	zaključivanje	Ovaj je roman pun zapleta zaključivanja.
推论	zaključak	Ovaj zaključak još treba potporu dokaza.
推销	prodavati	On je odgovoran za prodaju novog proizvoda.
吞吞吐吐	mucati	Mucao je dok je odgovarao na pitanje.
托运	predati prtljagu	Putnici mogu predati prtljagu na šalteru.
拖延	odgađati	Nemoj više odgađati vrijeme plaćanja.
脱离	odvojiti se	Teorija se ne može odvojiti od stvarnosti.
妥当	prikladan	Ovaj je raspored vrlo prikladan.
妥善	na odgovarajući način	Molim vas čuvajte važne dokumente na odgovarajući način.
妥协	kompromis	Dvije su strane na kraju postigle kompromis.
椭圆	elipsa	Zemljina orbita bliska je elipsi.
唾弃	prezirati	Društvo prezire takvu prijevaru.
哇	vau	Vau, ovaj je most doista veličanstven!
挖掘	iskapati	Arheološki tim iskapa drevnu grobnicu.
娃娃	lutka	Djevojčica drži lutku.
瓦解	raspasti se	Unutarnji sukobi uzrokovali su raspad saveza.
歪曲	iskriviti	Izvješća ne bi smjela iskriviti činjenice.
外表	izgled	Nemoj suditi ljudima samo po izgledu.
外行	laik	Kad je riječ o pravu, potpuni sam laik.
外界	vanjski svijet	Tvrtka rijetko odgovara na kritike iz vanjskog svijeta.
外向	otvoren	Ona ima otvorenu osobnost i mnogo prijatelja.
丸	pilula	Liječnik mu je propisao nekoliko pilula.
完备	potpun	Ovaj skup materijala vrlo je potpun.
完毕	završiti	Sastanak je već završio.
玩弄	poigravati se	Nemoj se poigravati osjećajima drugih ljudi.
玩意儿	stvar	Kakva je ovo nova stvar?
顽固	tvrdoglav	Njegov je stav vrlo tvrdoglav.
顽强	žilav	Ozlijeđena osoba pokazala je veliku žilavost.
惋惜	žaliti	Svima je bilo žao zbog neuspjeha.
挽回	nadoknaditi	Naporno je radio kako bi nadoknadio gubitke tvrtke.
挽救	spasiti	Liječnik je uspješno spasio pacijentov život.
万分	iznimno	Iznimno sam zahvalan na vašoj pomoći.
往常	obično	Danas je toplije nego obično.
往事	prošli događaji	Starija osoba često se prisjeća prošlih događaja.
妄想	uzalud sanjati	Uzalud sanja da će se obogatiti preko noći.
危机	kriza	Tvrtka se suočava s ozbiljnom krizom.
威风	impozantan	General je na konju izgledao impozantno.
威力	moć	Ova vrsta oružja ima veliku moć.
威望	ugled	On ima velik ugled u selu.
威信	vjerodostojnost	Vođe moraju održavati vjerodostojnost vlade.
微不足道	beznačajan	Ovaj mali gubitak je beznačajan.
微观	mikro	Ovaj kolegij uvodi u mikroekonomiju.
为难	otežavati	Nemoj otežavati stvari konobaru.
为期	trajati	Obuka traje tri mjeseca.
唯独	jedino	Svi su stigli osim njega.
维持	održavati	Policija je održavala red na mjestu događaja.
维护	štititi	Moramo štititi svoja zakonita prava i interese.
维生素	vitamin	Voće sadrži obilje vitamina.
违背	prekršiti	Ova odluka krši duh ugovora.
伪造	krivotvoriti	Netko je krivotvorio njegov potpis.
委托	povjeriti	Klijent je povjerio odvjetniku vođenje slučaja.
委员	član odbora	Svaki član odbora izrazio je mišljenje.
卫星	satelit	Satelit je ušao u planiranu orbitu.
喂	hraniti	Dijete hrani mačića.
慰问	izraziti suosjećanje	Vođe su otišle u bolnicu izraziti suosjećanje ranjenima.
未免	pomalo	Ovaj je zahtjev pomalo previsok.
畏惧	bojati se	Nikada se ne boji teškoća.
蔚蓝	azuran	Nebo je poprimilo azurnu boju.
温带	umjereni pojas	Ova biljka odgovara umjerenoj klimi.
温和	umjeren	Njegov politički stav relativno je umjeren.
文凭	diploma	Ovaj posao zahtijeva sveučilišnu diplomu.
文物	kulturna baština	Muzej je prikazao dragocjenu kulturnu baštinu.
文献	literatura	Rad je citirao veliku količinu literature.
文雅	elegantan	Ona se ponaša elegantno.
文艺	književnost i umjetnost	Ovaj grad ima snažnu atmosferu književnosti i umjetnosti.
问世	izaći	Ovaj model telefona uskoro će izaći.
窝	gnijezdo	Na stablu je ptičje gnijezdo.
乌黑	gavran crn	Ima dugu gavran crnu kosu.
污蔑	oklevetati	Nijekao je da je oklevetao konkurenta.
诬陷	namjestiti	Dokazi pokazuju da mu je bilo namješteno.
无比	neusporediv; izuzetno	Kad je čuo vijest, osjećao je izuzetno uzbuđenje.
无偿	besplatan; bez naknade	Volonteri pružaju usluge bez naknade.
无耻	bestidan	Takvo varanje je vrlo bestidno.
无动于衷	ravnodušan	Suočen s kritikama, ostao je ravnodušan.
无非	ništa drugo nego	To je učinio ni zbog čega drugog nego radi uštede novca.
无辜	nevin	Sud je utvrdio da je nevin.
无精打采	bezvoljan	Danas izgleda bezvoljno.
无赖	prostak; nitkov	Seljani ne žele imati posla s tim nitkovom.
无理取闹	praviti probleme bez razloga	Molim te, nemoj ovdje praviti probleme bez razloga.
无能为力	nemoćan	Suočeni s poplavom, seljani su bili nemoćni.
无穷无尽	beskrajan	Pustinja je izgledala beskrajno.
无微不至	pažljiv do najsitnijih detalja	Medicinska sestra brinula se o pacijentu do najsitnijih detalja.
无忧无虑	bezbrižan	Djeca su se bezbrižno igrala na travi.
无知	neznanje	Neznanje nije razlog za odbijanje učenja.
侮辱	uvrijediti	Njegove riječi uvrijedile su drugu osobu.
武器	oružje	To se oružje čuva pod zajedničkim nadzorom.
武侠	viteški borilački roman	Od djetinjstva voli čitati viteške borilačke romane.
武装	naoružanje; naoružati	Pogranično područje pojačalo je naoružane patrole.
舞蹈	ples	Taj ples ima snažna etnička obilježja.
务必	obavezno	Molimo vas da obavezno stignete na vrijeme.
物美价廉	dobar i povoljan	Roba u ovoj trgovini dobra je i povoljna.
物业	upravljanje nekretninama	Upravljanje nekretninama odgovorno je za popravke u stambenom naselju.
物资	zalihe; materijalna sredstva	Humanitarne zalihe već su dostavljene u pogođeno područje.
误差	pogreška	U rezultatu mjerenja postoji mala pogreška.
误解	nesporazum	Dvije su strane komunikacijom razjasnile nesporazum.
夕阳	zalazeće sunce	Zalazeće sunce obojilo je nebo zlatnom bojom.
昔日	nekadašnji	Nekadašnje selo postalo je grad.
溪	potok	Mali potok teče kroz planine.
熄灭	ugasiti	Molim te, ugasi svijeću.
牺牲	žrtva	Oni su se žrtvovali kako bi spasili druge.
膝盖	koljeno	Ozlijedio je koljeno.
习俗	običaj	Proljetni festival ima mnogo tradicionalnih običaja.
媳妇	supruga; snaha	Njegova supruga radi u bolnici.
袭击	napad; napasti	Oluja je pogodila obalni grad.
喜闻乐见	omiljen; rado viđen	Takva emisija omiljena je među publikom.
喜悦	radost	Na licu joj se pojavio radostan osmijeh.
系列	niz; serija	Tvrtka je lansirala niz novih proizvoda.
细菌	bakterija	Visoka temperatura može ubiti bakterije.
细胞	stanica	Ljudsko tijelo sastoji se od bezbroj stanica.
细致	pažljiv; detaljan	Njezino opažanje vrlo je detaljno.
峡谷	kanjon	Rijeka prolazi kroz dubok kanjon.
狭隘	uskogrudan	Takav uskogrudan pogled treba promijeniti.
狭窄	uzak	Ova staza je vrlo uska.
霞	večernje rumenilo	Večernje rumenilo zacrvenjelo je nebo.
下属	podređeni	Upravitelj je pažljivo saslušao mišljenja podređenih.
先进	napredan	Tvornica je uvela naprednu opremu.
先前	prethodan	Prethodni plan već se promijenio.
掀起	pokrenuti	Ova knjiga pokrenula je val rasprava.
纤维	vlakno	Ova tkanina sadrži prirodna vlakna.
鲜明	jasan; izrazit	Njegov stav je vrlo jasan.
嫌	ne voljeti	Njoj smeta što je soba premala.
嫌疑	sumnja	Taj je čovjek pod velikom sumnjom.
弦	žica	Na gitari je pukla jedna žica.
衔接	povezati	Sadržaj dvaju kolegija vrlo se dobro povezuje.
贤惠	čestit i sposoban	Smatraju je čestitom i sposobnom.
闲话	ogovaranje	Nemoj ogovarati druge iza leđa.
显著	znatan; značajan	Učinak liječenja vrlo je značajan.
宪法	ustav	Ustav jamči osnovna prava građana.
现场	mjesto događaja	Novinari su već stigli na mjesto nesreće.
现成	gotov	U kuhinji ima gotove hrane.
现状	trenutačno stanje	Moramo razumjeti trenutačno stanje industrije.
线索	trag	Policija je pronašla novi trag.
陷害	podmetnuti	Tvrdio je da mu je netko podmetnuo.
陷阱	zamka	Lovac je postavio zamku.
陷入	upasti	Tvrtka je upala u financijske poteškoće.
馅儿	nadjev	Nadjev ovog baoza jako dobro miriše.
乡镇	općina; naselje	Uvjeti u školama u općinama se poboljšavaju.
相差	razlikovati se	Temperature dvaju mjesta razlikuju se za deset stupnjeva.
相等	jednak	Ta dva trokuta imaju jednake površine.
相辅相成	nadopunjavati se	Teorija i praksa međusobno se nadopunjuju.
相应	odgovarajući	Tvrtka će poduzeti odgovarajuće mjere.
镶嵌	ugraditi	Dragi kamen ugrađen je u prsten.
响亮	glasan i jasan	Njegov odgovor bio je glasan i jasan.
响应	odazvati se	Mnogi su se ljudi odazvali ekološkoj inicijativi.
想方设法	na sve načine pokušati	Oni su na sve načine pokušali smanjiti troškove.
向导	vodič	Lokalni vodič odveo nas je u planine.
向来	oduvijek	On je oduvijek cijenio pouzdanost.
向往	čeznuti	Ona čezne za mirnim životom.
巷	uličica	U staroj uličici otvorilo se mnogo malih trgovina.
相声	tradicionalni komični dijalog	Djed voli slušati tradicionalne komične dijaloge.
消除	ukloniti	Komunikacija može ukloniti nesporazume.
消毒	dezinficirati	Liječnik je dezinficirao ranu.
消防	vatrogasni	Vatrogasci su brzo stigli na mjesto događaja.
消耗	trošiti	Dugo putovanje troši mnogo fizičke energije.
消灭	istrijebiti	Radnici istrjebljuju štetočine.
潇洒	opušten i samouvjeren	Način na koji hoda djeluje opušteno i samouvjereno.
销毁	uništiti	Carina je uništila krivotvorenu robu.
小心翼翼	vrlo oprezno	Ona je vrlo oprezno otvorila kutiju.
效益	korist; učinkovitost	Nova oprema poboljšala je proizvodnu učinkovitost.
肖像	portret	Njegov portret visi na zidu.
协会	udruga	Ova udruga pomaže mladim poduzetnicima.
协商	pregovarati	Obje strane spremne su nastaviti pregovore.
协调	koordinirati	Voditelj projekta odgovoran je za koordiniranje resursa.
协议	sporazum	Dvije su strane potpisale sporazum o suradnji.
协助	pomoći	Volonteri su pomogli starijim osobama prijeći cestu.
携带	nositi	Putnici ne smiju nositi opasnu robu.
屑	strugotina	Na stolu ima mnogo drvenih strugotina.
泄露	odati	Zaposlenici ne smiju odavati podatke o klijentima.
泄气	obeshrabriti se	Nemoj se obeshrabriti nakon neuspjeha.
谢绝	ljubazno odbiti	Hotel ljubazno odbija hranu donesenu izvana.
心得	stečeno iskustvo	Ona je podijelila što je naučila tijekom učenja.
心甘情愿	drage volje	Ostao je pomoći potpuno drage volje.
心灵	duh; duša	Glazba je utješila njezin duh.
心态	mentalni sklop	Važno je zadržati pozitivan mentalni sklop.
心疼	boljeti za nekim	Majku je boljelo zbog ozlijeđenog djeteta.
心血	mukotrpan trud	Ova knjiga sadrži autorov mukotrpan trud.
心眼儿	sitničavost	On je pomalo sitničav.
新陈代谢	metabolizam	Vježbanje može potaknuti metabolizam.
新郎	mladoženja	Mladoženja je pozdravljao goste na vratima.
新娘	mladenka	Mladenka je nosila bijelu vjenčanicu.
新颖	nov i originalan	Ovaj dizajn je vrlo originalan.
欣慰	biti zadovoljan	Napredak djeteta ispunio ju je zadovoljstvom.
欣欣向荣	procvjetati	Turizam u gradu procvjetava.
薪水	plaća	Njegova plaća dovoljna je za uzdržavanje obitelji.
辛勤	marljiv	Poljoprivrednici marljivo rade kako bi uzgojili usjeve.
信赖	vjerovati	Kupci jako vjeruju ovoj tvrtki.
信念	uvjerenje	Čvrsto uvjerenje ga je održalo.
信仰	vjera	Ona poštuje različite vjere.
信誉	ugled	Tvrtka mora štititi svoj ugled.
兴高采烈	ushićen	Djeca su ushićeno utrčala u učionicu.
兴隆	prosperitetan	Ova stara trgovina ima prosperitetan posao.
兴旺	procvjetati	Tržišno gospodarstvo sve više procvjetava.
腥	riblji	Ova riba malo miriše po ribi.
刑事	kazneni	Policija istražuje kazneni slučaj.
形态	oblik	Oblik biljke mijenja se s okolišem.
行政	administrativni	Administrativni odjel obrađuje prijave.
兴致勃勃	s velikim zanimanjem	Svi su s velikim zanimanjem raspravljali o planu.
性感	seksi	Ova večernja haljina izgleda vrlo seksi.
性命	život	Liječnik mu je spasio život.
性能	performanse	Ovo računalo ima dobre performanse.
凶恶	žestok; opasan	Taj pas izgleda vrlo opasno.
凶手	ubojica	Policija je napokon uhvatila ubojicu.
汹涌	buran	Burni valovi udarali su o obalu.
胸怀	širokogrudnost	On je širokogrudna osoba.
胸膛	prsa	Vojnik je izbacio prsa.
雄厚	snažan	Tvrtka ima snažne financijske resurse.
雄伟	veličanstven	Ovaj most je vrlo veličanstven.
修复	popravak	Inženjeri popravljaju sustav.
修建	izgraditi	Vlada planira izgraditi novu zračnu luku.
修养	kultura; samodisciplina	Dobra kultura vidi se u detaljima.
羞耻	sram	Osjetio je sram nakon što je lagao.
嗅觉	njuh	Pseći njuh vrlo je oštar.
绣	vesti	Baka zna vesti cvijeće.
虚假	lažan	Web-stranica je objavila lažne informacije.
虚荣	taština	Taština ga je natjerala da potroši previše novca.
虚伪	licemjeran	Ona ne voli licemjernu pristojnost.
需求	potražnja	Tržišna potražnja raste.
须知	upute koje treba znati	Molimo vas da prvo pročitate upute za registraciju.
许可	dopuštenje	Ne možeš ući bez dopuštenja.
序言	predgovor	Autor u predgovoru objašnjava pozadinu.
畜牧	stočarstvo	Travnjaci su pogodni za razvoj stočarstva.
酗酒	pretjerano pijenje	Dugotrajno pretjerano pijenje šteti zdravlju.
喧哗	buka	U knjižnici je zabranjeno praviti buku.
宣誓	položiti prisegu	Novi članovi položili su prisegu na sastanku.
宣扬	promicati	Škola promiče poštenje i pouzdanost.
悬挂	visjeti	Slika visi na zidu.
悬念	neizvjesnost	Završetak filma ostavlja neizvjesnost.
悬殊	velika razlika	Razlika u snazi između dviju ekipa je ogromna.
悬崖峭壁	strme litice	Uz planinsku cestu nalaze se strme litice.
旋律	melodija	Ova pjesma ima lijepu melodiju.
旋转	okretati se	Vjetrenjača se okreće na vjetru.
选拔	odabrati najbolje	Škola odabire sportaše.
选举	izbori	Selo je održalo izbore.
选手	natjecatelj	Ovaj natjecatelj nastupio je stabilno.
炫耀	hvalisati se	On se uvijek voli hvalisati bogatstvom.
削	smanjiti	Tvrtka je smanjila neke troškove.
削弱	oslabiti	Umor slabi prosudbu.
学说	teorija	Ova teorija ima velik utjecaj.
学位	akademski stupanj	Ona je stekla magisterij.
雪上加霜	pogoršati lošu situaciju	Gubitak posla, a zatim bolest, stvarno su pogoršali situaciju.
血压	krvni tlak	Liječnik ga je podsjetio da kontrolira krvni tlak.
熏陶	utjecaj	Ona je od djetinjstva bila pod utjecajem glazbe.
寻觅	tražiti	Tražili su svuda prikladan smještaj.
巡逻	patrolirati	Policija noću patrolira ulicama.
循环	kruženje	Voda kruži u sustavu.
循序渐进	korak po korak	Učenje jezika treba napredovati korak po korak.
压迫	potlačiti	Stari sustav potlačio je obične ljude.
压岁钱	novogodišnji novac	Dijete je dobilo novogodišnji novac.
压缩	komprimirati	Softver može komprimirati veličinu slike.
压抑	potisnuti	On je nastojao potisnuti unutarnji bijes.
压榨	cijediti	Stroj cijedi sok od šećerne trske.
压制	suzbiti	Lijek može suzbiti bol.
鸦雀无声	potpuna tišina	Nakon što je učitelj ušao, u učionici je zavladala potpuna tišina.
亚军	drugo mjesto	Ona je osvojila drugo mjesto na natjecanju.
淹没	potopiti	Poplava je potopila nisko selo.
烟花爆竹	vatromet i petarde	Tijekom blagdana zabranjeni su vatromet i petarde.
严峻	ozbiljan	Situacija na tržištu rada i dalje je ozbiljna.
严寒	jaka hladnoća	Jaka hladnoća utječe na promet.
严禁	strogo zabraniti	Ovdje je pušenje strogo zabranjeno.
严厉	strog	Učitelj ga je strogo kritizirao.
严密	strog; gust	Skladište ima strog nadzor.
岩石	stijena	Stijene uz more vrlo su tvrde.
延期	odgoditi	Sastanak je odgođen do sljedećeg tjedna.
延伸	protezati se	Cesta se proteže prema sjeveru.
延续	nastaviti se	Ova se tradicija nastavila sto godina.
沿海	obalni	Obalni gradovi razvili su trgovinu.
炎热	vruć	Vruće vrijeme umara ljude.
言论	izjava	Javnost obraća pozornost na njegove izjave.
掩盖	prikriti	Pokušao je prikriti pogrešku.
掩护	pokrivati	Suigrači su bili zaduženi za pokrivanje povlačenja.
掩饰	prikriti	Ona je snažno pokušavala prikriti nervozu.
演变	razvijati se	Raspored grada stalno se razvija.
演习	vježba	Škola je održala vatrogasnu vježbu.
演绎	izvesti zaključak	Učitelj je izveo ovaj teorem.
演奏	izvoditi glazbu	Orkestar izvodi klasičnu glazbu.
眼光	vizija	On ima dobru investicijsku viziju.
眼色	pogledom dati znak	Dala je kolegi znak pogledom.
眼神	pogled	Njegov pogled izgledao je vrlo odlučno.
厌恶	mrziti	On mrzi obmanjujuće ponašanje.
验收	primopredajna provjera	Projekt nakon završetka treba proći primopredajnu provjeru.
验证	provjeriti	Eksperiment je provjerio hipotezu.
氧气	kisik	Pacijent treba udisati kisik.
样品	uzorak	Klijent je primio uzorke proizvoda.
摇摆	ljuljati se	Mali se brod ljuljao na vjetru i valovima.
摇滚	rock	Mladi vole rock-glazbu.
谣言	glasina	Nemoj širiti neprovjerene glasine.
遥控	daljinsko upravljanje	On je telefonom daljinski upravljao klima-uređajem.
遥远	udaljen	To selo je udaljeno od grada.
耀眼	blistav	Sunčeva svjetlost bila je blistava.
要点	ključna točka	Molimo zabilježite ključne točke sastanka.
要命	iznimno; smrtonosno	Ova planinska cesta iznimno je opasna.
要素	ključni element	Povjerenje je važan element suradnje.
野蛮	brutalan	On se protivi brutalnoj provedbi zakona.
野心	ambicija	Njegova politička ambicija je očita.
液体	tekućina	Ova tekućina nema boju.
一流	prvorazredan	Ova bolnica ima prvorazrednu opremu.
一如既往	kao i uvijek	On nas podržava kao i uvijek.
依旧	i dalje	Kiša je prestala, ali je ulica i dalje bila mokra.
依据	osnova	Presuda se mora temeljiti na zakonu.
依靠	oslanjati se	Oni se za život oslanjaju na poljoprivredu.
依赖	ovisiti o	Djeca ne bi trebala previše ovisiti o roditeljima.
依托	osloniti se na	Projekt se razvija oslanjajući se na lokalne resurse.
衣裳	odjeća	Presvukla se u čistu odjeću.
一度	nekoć	Tvrtka je nekoć bila suočena sa stečajem.
一贯	dosljedan	On se dosljedno protivio rasipanju.
一目了然	jasno na prvi pogled	Sadržaj tablice jasan je na prvi pogled.
一向	oduvijek	Ona je oduvijek bila točna.
仪器	instrument	Laboratorij je kupio nove instrumente.
仪式	ceremonija	Ceremonija dodjele diploma održat će se sutra.
疑惑	zbunjenost	Student je bio zbunjen odgovorom.
遗产	baština	Ovaj drevni grad je kulturna baština.
遗传	nasljeđivanje	Ova bolest može biti nasljedna.
遗留	ostaviti u nasljeđe	Probleme koje je ostavila povijest treba riješiti.
遗失	izgubiti	Putnik je izgubio putovnicu.
以便	kako bi	Molimo ostavite telefonski broj kako bismo vas mogli kontaktirati.
以免	kako ne bi	Kreni ranije kako ne bi zakasnio.
以往	prijašnji	Prijašnje iskustvo vrijedi uzeti u obzir.
以至	do te mjere da	Opseg se proširio na zajednicu, pa čak i na cijeli grad.
以致	tako da	Obilna kiša se nastavila, tako da su ceste bile prekinute.
一帆风顺	ići glatko	Pokretanje posla ne može uvijek ići glatko.
一举两得	jednim potezom postići dvije koristi	Vožnja biciklom na posao može jednim potezom postići dvije koristi.
一丝不苟	pedantan	Inženjer je pedantno provjerio ožičenje.
亦	također	On je također pristao na ovaj plan.
异常	nenormalan	U sustavu se pojavila nenormalna situacija.
意料	očekivanje	Rezultat je bio potpuno izvan očekivanja.
意识	svijest	On je postupno postao svjestan da je problem ozbiljan.
意图	namjera	Policija je prozrela njegovu namjeru.
意味着	značiti	Šutnja ne znači slaganje.
意向	namjera	Obje su strane izrazile namjeru za suradnju.
意志	volja	Teškoće iskušavaju čovjekovu volju.
毅力	ustrajnost	Uspjeh zahtijeva dugoročnu ustrajnost.
毅然	odlučno	Ona je odlučno napustila tvrtku.
翼	krilo	Pregledano je krilo zrakoplova.
阴谋	urota	Oni su razotkrili urotu.
音响	ozvučenje	Dnevna soba ima dobro ozvučenje.
引导	voditi	Učitelj je vodio učenike prema razmišljanju.
引擎	motor	Motor automobila iznenada se ugasio.
引用	citirati	Rad je citirao veliku količinu materijala.
隐蔽	skriti se	Vojnici su se sakrili u šumi.
隐患	skrivena opasnost	Staro ožičenje nosi skrivene sigurnosne opasnosti.
隐瞒	prikrivati	Nije prikrivao istinu.
隐私	privatnost	Tvrtka mora štititi privatnost korisnika.
隐约	nejasan	Iz daljine se nejasno čulo pjevanje.
饮食	prehrana	Zdrava prehrana pomaže oporavku.
婴儿	dojenče	Dojenče mirno spava.
英明	mudar	Vođa je donio mudru odluku.
英勇	hrabar	Vatrogasac je hrabro spasio dijete.
盈利	dobit	Tvrtka je ove godine počela ostvarivati dobit.
迎面	u lice	Hladan vjetar puhao nam je u lice.
应酬	društvene obaveze	Večeras ima mnogo društvenih obaveza.
应邀	na poziv	Stručnjak je na poziv sudjelovao na forumu.
庸俗	vulgaran	Sadržaj ove reklame je vulgaran.
拥护	podržavati	Svi podržavaju novu politiku.
拥有	imati	On ima bogato iskustvo.
勇于	usuditi se	Mladi bi se trebali usuditi pokušati.
永恒	vječan	Ljubav nije vječno nepromjenjiva.
涌现	pojavljivati se u velikom broju	Izvrsni učitelji pojavljuju se posvuda.
踊跃	oduševljeno	Stanovnici su se oduševljeno prijavili za aktivnost.
用户	korisnik	Korisnici mogu promijeniti lozinku.
优胜劣汰	opstanak najsposobnijih	Tržišno natjecanje odražava opstanak najsposobnijih.
优先	prioritet	Starije osobe mogu imati prioritet pri usluzi.
优异	izvrstan	Ona je postigla izvrsne rezultate.
优越	izvrstan; nadmoćan	Ovo mjesto ima izvrstan položaj.
忧郁	melankoličan	Njegov izraz izgledao je melankolično.
油腻	masan	Ovo jelo je previše masno.
油漆	boja; lak	Radnici boje vrata.
犹如	kao	Površina jezera je kao ogledalo.
有条不紊	metodičan	Sastanak je tekao metodično.
幼稚	naivan	Ova ideja je pomalo naivna.
诱惑	iskušenje	Reklama je puna potrošačkih iskušenja.
愚蠢	glup	Ova odluka je krajnje glupa.
愚昧	neuk	Neuka shvaćanja koče napredak.
渔民	ribar	Ribari u zoru isplovljavaju loviti ribu.
舆论	javno mnijenje	Javno mnijenje ima velik utjecaj na slučaj.
与日俱增	rasti iz dana u dan	Broj turista raste iz dana u dan.
宇宙	svemir	Čovječanstvo stalno istražuje svemir.
羽绒服	pernata jakna	Zimi treba nositi pernatu jaknu.
寓言	basna	Ova basna je vrlo poučna.
愈	ozdravljati	Stanje postaje sve bolje.
欲望	želja	On je obuzdao želju za kupovanjem.
熨	glačati	Ona je izglačala košulju.
玉	žad	Ovaj komad žada ima toplu boju.
预料	očekivati	Razvoj događaja premašio je očekivanja.
预期	očekivanje	Prodaja je bila ispod očekivanja.
预算	proračun	Proračun projekta treba prilagoditi.
预先	unaprijed	Molimo pripremite materijale unaprijed.
预言	predvidjeti	Njegovo se predviđanje nije ostvarilo.
预兆	znak upozorenja	Bol može biti znak upozorenja bolesti.
冤枉	nepravedno optužiti	Nemoj nepravedno optužiti nevinu osobu.
元首	šef države	Šefovi država dviju zemalja održali su razgovore.
元素	element	Kisik je kemijski element.
元宵节	Festival lampiona	Ljudi tijekom Festivala lampiona gledaju lampione.
原告	tužitelj	Tužitelj je podnio nove dokaze.
原理	načelo	Učitelj je objasnio načelo rada stroja.
原始	izvoran	Oni su sačuvali izvorne zapise.
原先	prvotni	Prvotni plan već se promijenio.
园林	vrtovi	Sudžouski vrtovi vrlo su poznati.
圆满	potpun; uspješan	Sastanak je postigao potpun uspjeh.
源泉	izvor	Praksa je izvor znanja.
缘故	razlog	On je dao otkaz iz zdravstvenih razloga.
约束	ograničiti	Sustav ograničava ponašanje zaposlenika.
乐谱	notni zapis	Ona je pažljivo čitala notni zapis.
岳母	punica	Vikendom je otišao posjetiti punicu.
孕育	njegovati	Tlo njeguje novi život.
蕴藏	sadržavati	Planinsko područje sadrži bogate mineralne resurse.
运算	računska operacija	Učenici vježbaju računske operacije.
运行	raditi	Sustav radi stabilno.
酝酿	razmatrati	Obje strane razmatraju novi plan.
杂技	akrobatika	Djeca vole gledati akrobatiku.
杂交	hibrid	Znanstvenici proučavaju hibridnu rižu.
砸	razbiti se	Šalica je pala na pod i razbila se.
咋	kako to	Kako to da se još nisi vratio?
栽培	uzgajati	Vrtlar je uzgojio mnogo cvijeća.
灾难	katastrofa	Grad je počeo obnovu nakon katastrofe.
宰	zaklati	Seljani tijekom festivala kolju ovce.
再接再厉	nastaviti s trudom	Nakon osvajanja nagrade, tim je nastavio s trudom.
在意	mariti	Ona jako mari za mišljenja drugih.
攒	štedjeti	On štedi novac za kupnju računala.
暂且	zasad	Zasad ostavi ovo pitanje po strani.
赞叹	diviti se	Publika se divila glumčevoj izvedbi.
赞助	sponzorirati	Tvrtka je sponzorirala ovo natjecanje.
糟蹋	rasipati	Nemoj rasipati ovu svježu hranu.
遭受	pretrpjeti	Poljoprivredno zemljište pretrpjelo je jaku sušu.
遭殃	nastradati	Kada se most srušio, nastradali su obližnji stanovnici.
遭遇	naići na	Na putu su naišli na snježnu oluju.
噪音	buka	Buka s gradilišta utječe na odmor.
造型	oblik	Ovaj model automobila ima vrlo prepoznatljiv oblik.
责怪	kriviti	Molim te, nemoj slijepo kriviti dijete.
贼	lopov	Policija je uhvatila tog lopova.
增添	dodati	Svježe cvijeće dodaje boju sobi.
赠送	pokloniti	Trgovina poklanja male darove.
扎	ubosti	Medicinska sestra dala mu je injekciju.
扎实	čvrst	Njegovi gramatički temelji su čvrsti.
渣	talog	Na dnu šalice ostao je talog kave.
眨	trepnuti	Ona je trepnula očima.
诈骗	prijevara	Policija je riješila slučaj telefonske prijevare.
摘要	sažetak	Sažetak rada jasno je napisan.
债券	obveznica	Ulagači kupuju državne obveznice.
沾光	imati koristi	I ja sam imao koristi zahvaljujući prijatelju.
瞻仰	odati počast	Turisti odaju počast kod spomenika herojima.
展示	prikazati	Tvrtka je prikazala svoj najnoviji proizvod.
展望	pogled u budućnost	Izvješće daje pogled na buduće trendove.
展现	prikazati	Djelo prikazuje seoski život.
