simplified	ML	example_ML
电台	റേഡിയോ സ്റ്റേഷൻ	അവൻ റേഡിയോ സ്റ്റേഷനിൽ ഒരു പരിപാടി അവതരിപ്പിക്കുന്നു.
钓	മീൻപിടിക്കുക	അപ്പൂപ്പന് നദിക്കരയിൽ മീൻപിടിക്കാൻ ഇഷ്ടമാണ്.
顶	മുകളിലെ ഭാഗം; തലപ്പാവ്	അവൻ കറുത്ത തൊപ്പി ധരിച്ചിരിക്കുന്നു.
冻	മഞ്ഞുകെട്ടുക; തണുത്തുപോകുക	പുറത്ത് അത്ര തണുപ്പാണ്, വെള്ളം മഞ്ഞുകെട്ടി.
动画片	കാർട്ടൂൺ; ആനിമേഷൻ	കുട്ടികൾ കാർട്ടൂൺ കാണുന്നു.
洞	തുള; ഗുഹ	ഭിത്തിയിൽ ഒരു ചെറിയ തുളയുണ്ട്.
豆腐	ടോഫു	ഈ ടോഫു വിഭവം രുചികരമാണ്.
逗	ചിരിപ്പിക്കുക; കളിയാക്കുക	അവന്റെ വാക്കുകൾ എല്ലാവരെയും ചിരിപ്പിച്ചു.
独立	സ്വതന്ത്രം	അവൾ സ്വതന്ത്രമായി ജീവിക്കാൻ ആഗ്രഹിക്കുന്നു.
独特	പ്രത്യേകമായ; സവിശേഷമായ	ഈ നഗരത്തിന് സവിശേഷമായ സംസ്കാരമുണ്ട്.
度过	കഴിഞ്ഞുകൂടുക; ചെലവഴിക്കുക	ഞങ്ങൾ അവധി കടൽത്തീരത്ത് ചെലവഴിച്ചു.
断	പൊട്ടുക; മുറിയുക	ഈ കയർ പൊട്ടി.
堆	കൂമ്പാരം; കൂമ്പാരമാക്കുക	മേശപ്പുറത്ത് പല രേഖകളും കൂമ്പാരമായി കിടക്കുന്നു.
兑换	മാറ്റുക; വിനിമയം ചെയ്യുക	എനിക്ക് കുറച്ച് റെൻമിൻബി മാറ്റണം.
对比	താരതമ്യം ചെയ്യുക	ദയവായി ഈ രണ്ട് പദ്ധതികളും താരതമ്യം ചെയ്യൂ.
对待	പെരുമാറുക; സമീപിക്കുക	നാം എല്ലാവരോടും നീതിപൂർവ്വം പെരുമാറണം.
对方	മറ്റേ വശം; മറ്റേയാൾ	ദയവായി ആദ്യം മറ്റേയാളുടെ അഭിപ്രായം കേൾക്കൂ.
对手	എതിരാളി	അവന്റെ എതിരാളി വളരെ ശക്തനാണ്.
对象	ലക്ഷ്യം; വിഷയവസ്തു	ഗവേഷണവിഷയങ്ങൾ സർവകലാശാല വിദ്യാർത്ഥികളാണ്.
吨	ടൺ	ഈ ലോറിയിൽ മൂന്ന് ടൺ ചരക്ക് കൊണ്ടുപോകാം.
蹲	കുത്തിയിരിക്കുക	അവൻ താക്കോൽ അന്വേഷിച്ച് നിലത്ത് കുത്തിയിരിക്കുന്നു.
顿	ഭക്ഷണത്തിനുള്ള എണ്ണംപദം; ഇടവേള	ഞങ്ങൾ ഒത്തു ചേർന്ന് രാത്രിഭക്ഷണം കഴിച്ചു.
多亏	നന്ദി പറയേണ്ടത്; ഭാഗ്യമായി	നിന്റെ സഹായം കൊണ്ടാണ് ഞാൻ ജോലി പൂർത്തിയാക്കിയത്.
多余	അനാവശ്യമായ; അധികം	ഈ വാക്യം അനാവശ്യമാണ്.
朵	പൂവിന്റെ എണ്ണംപദം	മേശപ്പുറത്ത് ഒരു പൂവ് ഉണ്ട്.
躲藏	ഒളിക്കുക	പൂച്ചക്കുഞ്ഞ് കിടക്കയുടെ കീഴിൽ ഒളിച്ചിരിക്കുന്നു.
恶劣	വളരെ മോശമായ	ഇന്നത്തെ കാലാവസ്ഥ വളരെ മോശമാണ്.
耳环	കാതുകമ്മൽ	അവൾ ഒരു ജോഡി കാതുകമ്മൽ ധരിച്ചിരിക്കുന്നു.
发表	പ്രസിദ്ധീകരിക്കുക; പ്രകടിപ്പിക്കുക	യോഗത്തിൽ അവൻ തന്റെ അഭിപ്രായം പ്രകടിപ്പിച്ചു.
发愁	വിഷമിക്കുക	ഈ ചെറിയ കാര്യം കുറിച്ച് വിഷമിക്കേണ്ട.
发达	വികസിതമായ	ഈ നഗരത്തിലെ ഗതാഗതം നന്നായി വികസിച്ചിരിക്കുന്നു.
发抖	വിറയ്ക്കുക	തണുപ്പിൽ അവൻ വിറയ്ക്കുന്നു.
发挥	പ്രയോജനപ്പെടുത്തുക; പ്രകടിപ്പിക്കുക	ദയവായി നിങ്ങളുടെ സങ്കൽപ്പശക്തി ഉപയോഗിക്കൂ.
发明	ആവിഷ്കാരം; കണ്ടുപിടിക്കുക	വൈദ്യുത വിളക്ക് ഒരു പ്രധാന ആവിഷ്കാരമാണ്.
发票	ബിൽ; ഇൻവോയ്സ്	ദയവായി എനിക്ക് ബിൽ നൽകൂ.
发言	സംസാരിക്കുക; പ്രസംഗിക്കുക	അവൻ യോഗത്തിൽ സംസാരിച്ചു.
罚款	പിഴ	നിയമവിരുദ്ധ പാർക്കിംഗിന് പിഴ ചുമത്തും.
法院	കോടതി	ഈ കേസ് കോടതിയിലേക്ക് കൈമാറി.
翻	മറിക്കുക; തിരിക്കുക	ദയവായി പുസ്തകം പത്താം പേജിലേക്ക് തിരിക്കൂ.
繁荣	സമൃദ്ധമായ; വികസിച്ച	സാമ്പത്തികം ക്രമേണ സമൃദ്ധമാകുന്നു.
反而	മറിച്ച്	അവൻ കോപിച്ചില്ല; മറിച്ച് ചിരിച്ചു.
反复	വീണ്ടും വീണ്ടും	ഈ വാക്യം വീണ്ടും വീണ്ടും അഭ്യസിക്കണം.
反应	പ്രതികരണം	അവന്റെ പ്രതികരണം വേഗത്തിലാണ്.
反映	പ്രതിഫലിപ്പിക്കുക	ഈ റിപ്പോർട്ട് യഥാർത്ഥ സാഹചര്യം പ്രതിഫലിപ്പിക്കുന്നു.
反正	എന്തായാലും	എന്തായാലും എനിക്ക് നാളെ സമയം ഉണ്ട്.
范围	പരിധി	ദയവായി ഈ പരിധിക്ക് പുറത്തേക്ക് പോകരുത്.
方	ചതുരം; ദിശ	ദയവായി പേപ്പറിൽ ഒരു ചതുരം വരയ്ക്കൂ.
方案	പദ്ധതി; നിർദ്ദേശം	ഈ പദ്ധതി വളരെ യുക്തിസഹമാണ്.
方式	രീതി	ഈ പഠനരീതി വളരെ ഫലപ്രദമാണ്.
妨碍	തടസ്സപ്പെടുത്തുക	മറ്റുള്ളവരുടെ ജോലി തടസ്സപ്പെടുത്തരുത്.
仿佛	പോലെ തോന്നുക	അവന് എല്ലാം അറിയുന്നതുപോലെ തോന്നുന്നു.
非	ഇല്ലാതെ പറ്റാത്ത; അല്ലാത്ത	ഈ കാര്യം നിന്നില്ലാതെ ചെയ്യാൻ കഴിയില്ല.
肥皂	സോപ്പ്	കൈ കഴുകുമ്പോൾ സോപ്പ് ഉപയോഗിക്കൂ.
废话	വ്യർത്ഥവാക്ക്; അർത്ഥമില്ലാത്തത്	വ്യർത്ഥവാക്കുകൾ നിർത്തി വേഗം തുടങ്ങൂ.
分别	പിരിയുക; വേർതിരിക്കുക	അവർ സ്റ്റേഷനിൽ പിരിഞ്ഞു.
分布	വിതരണം; പരക്കുക	ഈ കടകൾ നഗരമൊട്ടാകെ പരന്നുകിടക്കുന്നു.
分配	വിതരിക്കുക; ചുമതല നൽകുക	അധ്യാപകൻ പുതിയ ജോലി നൽകി.
分手	വേർപിരിയുക	അവർ കഴിഞ്ഞ വർഷം വേർപിരിഞ്ഞു.
分析	വിശകലനം ചെയ്യുക	നാം കാരണങ്ങൾ വിശകലനം ചെയ്യണം.
纷纷	ഒന്നിന് പിന്നാലെ ഒന്ന്	എല്ലാവരും ഒന്നിന് പിന്നാലെ ഒന്ന് സമ്മതം അറിയിച്ചു.
奋斗	പോരാടുക; പരിശ്രമിക്കുക	യുവാക്കൾ സ്വപ്നങ്ങൾക്കായി പരിശ്രമിക്കണം.
疯狂	ഭ്രാന്തമായ; അതിവേഗ ആവേശം	ആരാധകർ ഭ്രാന്തമായി ആഹ്ലാദിച്ചു.
风格	ശൈലി	ഈ റെസ്റ്റോറന്റിന്റെ ശൈലി വളരെ പ്രത്യേകമാണ്.
风景	ദൃശ്യം; പ്രകൃതിദൃശ്യം	മലമുകളിലെ ദൃശ്യം മനോഹരമാണ്.
风俗	ആചാരം	ഓരോ സ്ഥലത്തിനും സ്വന്തം ആചാരങ്ങളുണ്ട്.
风险	അപകടസാധ്യത	നിക്ഷേപത്തിൽ ഒരു പരിധി അപകടസാധ്യത ഉണ്ട്.
讽刺	പരിഹസിക്കുക; പരിഹാസം	ഈ ലേഖനം സാമൂഹിക പ്രശ്നങ്ങളെ പരിഹസിച്ചു.
否定	നിഷേധിക്കുക	അവൻ ഈ വാദം നിഷേധിച്ചു.
否认	നിഷേധിക്കുക; സമ്മതിക്കാതിരിക്കുക	താൻ തെറ്റ് ചെയ്തിട്ടില്ലെന്ന് അവൻ നിഷേധിച്ചു.
幅	ചിത്രത്തിനുള്ള എണ്ണംപദം	ഭിത്തിയിൽ ഒരു ചിത്രം തൂങ്ങുന്നു.
扶	കൈപിടിച്ചു സഹായിക്കുക	ദയവായി വയോധികരെ റോഡ് കടക്കാൻ സഹായിക്കൂ.
服装	വസ്ത്രം	ഈ കടയിൽ കുട്ടികളുടെ വസ്ത്രങ്ങൾ വിൽക്കുന്നു.
辅导	പാഠസഹായം നൽകുക	അധ്യാപകൻ ക്ലാസിനു ശേഷം വിദ്യാർത്ഥികൾക്ക് പാഠസഹായം നൽകുന്നു.
复制	പകർത്തുക	ദയവായി ഈ രേഖ പകർത്തൂ.
妇女	സ്ത്രീകൾ	ഈ ആശുപത്രി സ്ത്രീകൾക്കായി സേവനങ്ങൾ നൽകുന്നു.
改革	പരിഷ്കാരം	സ്കൂൾ അധ്യാപനപരിഷ്കാരം നടപ്പാക്കുന്നു.
改进	മെച്ചപ്പെടുത്തുക	സേവനത്തിന്റെ ഗുണമേന്മ നാം മെച്ചപ്പെടുത്തണം.
改善	മെച്ചപ്പെടുത്തുക	വ്യായാമം ഉറക്കം മെച്ചപ്പെടുത്താം.
