simplified	RO	example_RO
文艺	literatură și artă	Acest oraș are o atmosferă bogată de literatură și artă.
问世	a apărea	Acest model de telefon urmează să apară curând.
窝	cuib	În copac este un cuib de pasăre.
乌黑	negru ca pana corbului	Ea are păr lung, negru ca pana corbului.
污蔑	a calomnia	El a negat că și-a calomniat concurentul.
诬陷	a înscena	Dovezile arată că i s-a înscenat totul.
无比	extrem de	Când a auzit vestea, s-a simțit extrem de emoționat.
无偿	gratuit	Voluntarii oferă servicii gratuite.
无耻	nerușinat	Acest tip de înșelăciune este foarte nerușinat.
无动于衷	indiferent	În fața criticilor, el a rămas indiferent.
无非	nimic altceva	El a făcut asta pentru nimic altceva decât să economisească bani.
无辜	nevinovat	Instanța a stabilit că el este nevinovat.
无精打采	lipsit de vlagă	Astăzi el arată lipsit de vlagă.
无赖	derbedeu	Sătenii nu vor să aibă de-a face cu acel derbedeu.
无理取闹	a face scandal fără motiv	Te rog să nu faci scandal fără motiv aici.
无能为力	neputincios	În fața inundației, sătenii au fost neputincioși.
无穷无尽	fără sfârșit	Deșertul părea fără sfârșit.
无微不至	cu grijă minuțioasă	Asistenta a avut grijă minuțioasă de pacient.
无忧无虑	fără griji	Copiii se jucau fără griji pe iarbă.
无知	ignoranță	Ignoranța nu este un motiv pentru a refuza învățarea.
侮辱	a insulta	Cuvintele lui au insultat cealaltă persoană.
武器	armă	Aceste arme sunt păstrate sub control unificat.
武侠	literatură de arte marțiale	De mic îi place să citească literatură de arte marțiale.
武装	înarmat	În zona de frontieră au fost întărite patrulele înarmate.
舞蹈	dans	Acest dans are trăsături etnice puternice.
务必	neapărat	Te rog să ajungi neapărat la timp.
物美价廉	bun și ieftin	Produsele acestui magazin sunt bune și ieftine.
物业	administrația imobilului	Administrația imobilului răspunde de reparațiile din cartier.
物资	provizii	Proviziile de ajutor au ajuns deja în zona afectată.
误差	eroare	Rezultatul măsurătorii are o mică eroare.
误解	neînțelegere	Cele două părți au eliminat neînțelegerea prin comunicare.
夕阳	apus	Soarele la apus a colorat cerul în auriu.
昔日	de altădată	Satul de altădată s-a transformat în oraș.
溪	pârâu	Un pârâu curge printre munți.
熄灭	a stinge	Te rog să stingi lumânarea.
牺牲	sacrificiu	Ei au făcut un sacrificiu pentru a salva oameni.
膝盖	genunchi	Genunchiul lui a fost rănit.
习俗	obicei	Sărbătoarea Primăverii are multe obiceiuri tradiționale.
媳妇	soție	Soția lui lucrează la spital.
袭击	a ataca	Furtuna a atacat orașele de coastă.
喜闻乐见	îndrăgit	Acest tip de program este îndrăgit de public.
喜悦	bucurie	Pe fața ei a apărut un zâmbet plin de bucurie.
系列	serie	Compania a lansat o serie de produse noi.
细菌	bacterie	Temperaturile ridicate pot ucide bacteriile.
细胞	celulă	Corpul uman este alcătuit din nenumărate celule.
细致	minuțios	Observația ei este foarte minuțioasă.
峡谷	canion	Râul trece printr-un canion adânc.
狭隘	îngust	Această perspectivă îngustă trebuie schimbată.
狭窄	îngust	Această potecă este foarte îngustă.
霞	nori roșii	Norii roșii de seară au colorat cerul.
下属	subordonat	Managerul a ascultat cu atenție opiniile subordonaților.
先进	avansat	Fabrica a adoptat echipamente avansate.
先前	anterior	Planul anterior s-a schimbat deja.
掀起	a declanșa	Această carte a declanșat un val de discuții.
纤维	fibră	Această țesătură conține fibre naturale.
鲜明	clar	Poziția lui este foarte clară.
嫌	a-i displăcea	Ei îi displace faptul că încăperea este prea mică.
嫌疑	suspiciune	Acest bărbat este sub suspiciune majoră.
弦	coardă	O coardă a chitarei s-a rupt.
衔接	a se lega	Conținutul celor două cursuri se leagă foarte bine.
贤惠	virtuos	Ea este considerată virtuoasă și capabilă.
闲话	bârfă	Nu spune bârfe despre alții pe la spate.
显著	semnificativ	Efectul tratamentului este foarte semnificativ.
宪法	constituție	Constituția garantează drepturile fundamentale ale cetățenilor.
现场	locul incidentului	Reporterii au ajuns deja la locul incidentului.
现成	gata făcut	În bucătărie este mâncare gata făcută.
现状	situație actuală	Trebuie să înțelegem situația actuală a industriei.
线索	indiciu	Poliția a găsit un indiciu nou.
陷害	a înscena	El susține că cineva i-a înscenat totul.
陷阱	capcană	Vânătorul a întins o capcană.
陷入	a cădea în	Compania a căzut în dificultăți financiare.
馅儿	umplutură	Umplutura acestui baozi miroase foarte bine.
乡镇	comună	Condițiile școlilor din comune se îmbunătățesc.
相差	a diferi	Temperaturile celor două locuri diferă cu zece grade.
相等	egal	Cele două triunghiuri au arii egale.
相辅相成	a se completa reciproc	Teoria și practica se completează reciproc.
相应	corespunzător	Compania va lua măsuri corespunzătoare.
镶嵌	a încrusta	În inel este încrustată o piatră prețioasă.
响亮	puternic și clar	Răspunsul lui a sunat puternic și clar.
响应	a răspunde	Mulți oameni au răspuns inițiativei de protecție a mediului.
想方设法	a căuta toate metodele	Ei au căutat toate metodele pentru a reduce costurile.
向导	ghid	Ghidul local ne-a dus în munți.
向来	întotdeauna	El a prețuit întotdeauna credibilitatea.
向往	a tânji după	Ea tânjește după o viață liniștită.
巷	alee	În aleea veche s-au deschis multe magazine mici.
相声	dialog comic	Bunicului îi place să asculte dialog comic tradițional.
消除	a elimina	Comunicarea poate elimina neînțelegerile.
消毒	a dezinfecta	Doctorul a dezinfectat rana.
消防	pompieri	Pompierii au ajuns rapid la fața locului.
消耗	a consuma	Călătoria lungă consumă multă energie.
消灭	a extermina	Muncitorii extermină dăunătorii.
潇洒	dezinvolt	Felul în care merge este dezinvolt și elegant.
销毁	a distruge	Vama a distrus mărfurile contrafăcute.
小心翼翼	foarte atent	Ea a deschis cutia foarte atent.
效益	eficiență	Noul echipament a îmbunătățit eficiența producției.
肖像	portret	Portretul lui este agățat pe perete.
协会	asociație	Această asociație îi ajută pe tinerii antreprenori.
协商	a negocia	Cele două părți sunt dispuse să continue negocierile.
协调	a coordona	Managerul de proiect este responsabil de coordonarea resurselor.
协议	acord	Cele două părți au semnat un acord de cooperare.
协助	a ajuta	Voluntarii i-au ajutat pe vârstnici să traverseze strada.
携带	a transporta	Pasagerii nu au voie să transporte obiecte periculoase.
屑	așchii	Pe masă sunt multe așchii de lemn.
泄露	a divulga	Angajații nu au voie să divulge informațiile clienților.
泄气	a se descuraja	Nu te descuraja după eșec.
谢绝	a refuza politicos	Hotelul refuză politicos mâncarea adusă din exterior.
心得	învățăminte	Ea a împărtășit învățămintele din studiu.
心甘情愿	de bunăvoie	El a rămas de bunăvoie să ajute.
心灵	suflet	Muzica i-a alinat sufletul.
心态	mentalitate	Este important să păstrezi o mentalitate pozitivă.
心疼	a suferi pentru	Mama suferă pentru copilul rănit.
心血	efort susținut	Această carte concentrează efortul susținut al autorului.
心眼儿	mesquin	El este puțin meschin.
新陈代谢	metabolism	Sportul poate stimula metabolismul.
新郎	mire	Mirele a întâmpinat oaspeții la ușă.
新娘	mireasă	Mireasa purta o rochie de mireasă albă.
新颖	original	Acest design este foarte original.
欣慰	mulțumit	Văzând progresul copilului, ea s-a simțit mulțumită.
欣欣向荣	înfloritor	Turismul din orășel este înfloritor.
薪水	salariu	Salariul lui este suficient pentru a întreține familia.
辛勤	harnic	Țăranii muncesc harnic la cultivarea recoltelor.
信赖	a avea încredere	Clienții au multă încredere în această companie.
信念	convingere	O convingere fermă l-a susținut.
信仰	credință	Ea respectă credințe diferite.
信誉	reputație	O întreprindere trebuie să își protejeze reputația.
兴高采烈	foarte vesel	Copiii au alergat foarte veseli în clasă.
兴隆	prosper	Această prăvălie veche are afaceri prospere.
兴旺	prosper	Economia de piață devine tot mai prosperă.
腥	miros de pește	Acest pește are puțin miros de pește.
刑事	penal	Poliția investighează un caz penal.
形态	formă	Forma plantei se schimbă odată cu mediul.
行政	administrativ	Departamentul administrativ procesează cererile.
兴致勃勃	cu mare interes	Toți au discutat planul cu mare interes.
性感	sexy	Această rochie de seară arată foarte sexy.
性命	viață	Doctorul i-a salvat viața.
性能	performanță	Acest computer are performanță bună.
凶恶	fioros	Câinele acesta pare foarte fioros.
凶手	ucigaș	Poliția l-a prins în cele din urmă pe ucigaș.
汹涌	tumultuos	Valurile tumultuoase loveau țărmul.
胸怀	spirit larg	El are un spirit larg.
胸膛	piept	Soldatul și-a scos pieptul înainte.
雄厚	puternic	Compania are resurse financiare puternice.
雄伟	maiestuos	Acest pod este foarte maiestuos.
修复	a repara	Inginerii repară sistemul.
修建	a construi	Guvernul plănuiește să construiască un aeroport nou.
修养	cultură personală	Buna cultură personală se vede în detalii.
羞耻	rușine	După ce a mințit, a simțit rușine.
嗅觉	miros	Mirosul câinelui este foarte ascuțit.
绣	a broda	Bunica știe să brodeze flori.
虚假	fals	Site-ul a publicat informații false.
虚荣	vanitate	Vanitatea l-a făcut să cheltuiască prea mult.
虚伪	ipocrit	Ea nu suportă politețea ipocrită.
需求	cerere	Cererea de pe piață crește.
须知	instrucțiuni	Te rog să citești mai întâi instrucțiunile de înscriere.
许可	permisiune	Fără permisiune nu poți intra.
序言	prefață	Autorul explică fundalul în prefață.
畜牧	creșterea animalelor	Pajiștea este potrivită pentru dezvoltarea creșterii animalelor.
酗酒	consum excesiv de alcool	Consumul excesiv de alcool pe termen lung dăunează sănătății.
喧哗	gălăgie	În bibliotecă este interzisă gălăgia.
宣誓	a depune jurământ	Noii membri au depus jurământ la ședință.
宣扬	a promova	Școala promovează cinstea și respectarea promisiunilor.
悬挂	a atârna	Pe perete atârnă un tablou.
悬念	suspans	Finalul filmului lasă suspans.
悬殊	diferență mare	Diferența de forță dintre cele două echipe este mare.
悬崖峭壁	stânci abrupte	Lângă drumul de munte sunt stânci abrupte.
旋律	melodie	Acest cântec are o melodie frumoasă.
旋转	a se roti	Moara de vânt se rotește în vânt.
选拔	a selecta	Școala selectează sportivi.
选举	alegeri	Satul a organizat alegeri.
选手	concurent	Acest concurent a avut o prestație stabilă.
炫耀	a se lăuda	Lui îi place mereu să se laude cu averea.
削	a reduce	Compania a redus unele cheltuieli.
削弱	a slăbi	Oboseala slăbește judecata.
学说	teorie	Această teorie are mare influență.
学位	diplomă universitară	Ea a obținut o diplomă universitară de master.
雪上加霜	a înrăutăți situația	Pierderea locului de muncă și apoi boala au înrăutățit situația.
血压	tensiune arterială	Doctorul i-a amintit să își controleze tensiunea arterială.
熏陶	influență formativă	Ea a fost sub influența muzicii de mică.
寻觅	a căuta	Ei au căutat peste tot o locuință potrivită.
巡逻	a patrula	Poliția patrulează noaptea pe străzi.
循环	a circula	Apa circulă în sistem.
循序渐进	pas cu pas	Învățarea limbilor trebuie să avanseze pas cu pas.
压迫	a asupri	Vechiul sistem îi asuprea pe oamenii obișnuiți.
压岁钱	bani de Anul Nou	Copilul a primit bani de Anul Nou.
压缩	a comprima	Software-ul poate comprima dimensiunea imaginilor.
压抑	a reprima	El s-a străduit să își reprime furia interioară.
压榨	a stoarce	Mașina stoarce suc de trestie de zahăr.
压制	a suprima	Medicamentele pot suprima durerea.
鸦雀无声	liniște deplină	După ce profesorul a intrat, în clasă era liniște deplină.
亚军	locul doi	Ea a obținut locul doi în competiție.
淹没	a inunda	Inundația a acoperit satele joase.
烟花爆竹	focuri de artificii și petarde	În timpul sărbătorii sunt interzise focurile de artificii și petardele.
严峻	grav	Situația ocupării forței de muncă rămâne gravă.
严寒	ger	Gerul afectează transportul.
严禁	a interzice strict	Aici fumatul este strict interzis.
严厉	sever	Profesorul l-a criticat sever.
严密	strict	Depozitul are supraveghere strictă.
岩石	stâncă	Stâncile de la mare sunt foarte tari.
延期	a amâna	Ședința a fost amânată până săptămâna viitoare.
延伸	a se extinde	Drumul se extinde spre nord.
延续	a continua	Această tradiție a continuat timp de o sută de ani.
沿海	de coastă	Orașele de coastă au comerț dezvoltat.
炎热	foarte cald	Vremea foarte caldă îi obosește pe oameni.
言论	declarații	Publicul urmărește declarațiile lui.
掩盖	a ascunde	El a încercat să ascundă greșeala.
掩护	a acoperi	Colegii de echipă au fost responsabili să acopere retragerea.
掩饰	a ascunde	Ea a încercat din greu să își ascundă emoția.
演变	a evolua	Structura orașului evoluează continuu.
演习	exercițiu	Școala a organizat un exercițiu de incendiu.
演绎	a deduce	Profesorul a dedus această teoremă.
演奏	a interpreta	Orchestra interpretează muzică clasică.
眼光	viziune	El are o viziune bună pentru investiții.
眼色	privire	Ea i-a făcut colegului un semn din privire.
眼神	privire	Privirea lui era foarte hotărâtă.
厌恶	a urî	El urăște comportamentele înșelătoare.
验收	recepție	Lucrarea trebuie recepționată după finalizare.
验证	a verifica	Experimentul a verificat ipoteza.
氧气	oxigen	Pacientul trebuie să respire oxigen.
样品	mostră	Clientul a primit mostrele produsului.
摇摆	a se legăna	Barca mică se legăna în vânt și valuri.
摇滚	rock	Tinerilor le place muzica rock.
谣言	zvon	Nu răspândi zvonuri neverificate.
遥控	control de la distanță	El controlează aerul condiționat de la distanță cu telefonul.
遥远	îndepărtat	Acel sat este departe de oraș.
耀眼	strălucitor	Lumina soarelui era strălucitoare.
要点	punct principal	Te rog să notezi punctele principale ale ședinței.
要命	extrem de	Acest drum de munte este extrem de periculos.
要素	element	Încrederea este un element important al cooperării.
野蛮	brutal	El se opune aplicării brutale a legii.
野心	ambiție	Ambiția lui politică este evidentă.
液体	lichid	Acest lichid nu are culoare.
一流	de primă clasă	Acest spital are echipamente de primă clasă.
一如既往	ca întotdeauna	El ne sprijină ca întotdeauna.
依旧	încă	Ploaia s-a oprit, dar strada este încă umedă.
依据	bază	Hotărârea trebuie să aibă la bază legea.
依靠	a se baza	Ei se bazează pe agricultură pentru trai.
依赖	a depinde de	Copiii nu trebuie să depindă prea mult de părinți.
依托	a se sprijini pe	Proiectul se dezvoltă sprijinindu-se pe resursele locale.
衣裳	haine	Ea s-a schimbat în haine curate.
一度	la un moment dat	Compania s-a confruntat la un moment dat cu falimentul.
一贯	consecvent	El s-a opus consecvent risipei.
一目了然	clar dintr-o privire	Conținutul tabelului este clar dintr-o privire.
一向	întotdeauna	Ea a fost întotdeauna punctuală.
仪器	instrument	Laboratorul a cumpărat instrumente noi.
仪式	ceremonie	Ceremonia de absolvire va avea loc mâine.
疑惑	nedumerire	Elevul a simțit nedumerire față de răspuns.
遗产	patrimoniu	Acest oraș antic este patrimoniu cultural.
遗传	a se moșteni	Această boală se poate moșteni.
遗留	rămas din trecut	Problemele rămase din trecut trebuie rezolvate.
遗失	a pierde	Călătorul și-a pierdut pașaportul.
以便	pentru a	Te rog să lași un număr de telefon pentru a putea fi contactat.
以免	pentru a evita	Pleacă mai devreme pentru a evita întârzierea.
以往	din trecut	Experiența din trecut merită consultată.
以至	până la	Domeniul s-a extins până la comunitate și chiar la întregul oraș.
以致	astfel încât	Ploaia torențială a continuat, astfel încât drumurile au fost întrerupte.
一帆风顺	fără probleme	Antreprenoriatul nu poate merge mereu fără probleme.
一举两得	a obține două avantaje dintr-o dată	Mersul cu bicicleta la serviciu poate obține două avantaje dintr-o dată.
一丝不苟	meticulos	Inginerul a verificat cablajul meticulos.
亦	de asemenea	El a fost de asemenea de acord cu acest plan.
异常	anormal	În sistem a apărut o situație anormală.
意料	a se aștepta	Rezultatul a fost complet neașteptat.
意识	a conștientiza	El a conștientizat treptat gravitatea problemei.
意图	intenție	Poliția i-a descoperit intenția.
意味着	a însemna	Tăcerea nu înseamnă acord.
意向	intenție	Cele două părți au exprimat intenția de a coopera.
意志	voință	Dificultățile testează voința omului.
毅力	perseverență	Succesul cere perseverență pe termen lung.
毅然	hotărât	Ea a părăsit hotărât compania.
翼	aripă	Aripa avionului a fost inspectată.
阴谋	conspirație	Ei au dezvăluit această conspirație.
音响	acustică	Sufrageria are acustică bună.
引导	a ghida	Profesorul îi ghidează pe elevi să gândească.
引擎	motor	Motorul mașinii s-a oprit brusc.
引用	a cita	Lucrarea a citat multe materiale.
隐蔽	a se ascunde	Soldații s-au ascuns în pădure.
隐患	pericol ascuns	Cablurile vechi prezintă pericole ascunse de siguranță.
隐瞒	a ascunde	El nu a ascuns adevărul.
隐私	confidențialitate	Compania trebuie să protejeze confidențialitatea utilizatorilor.
隐约	vag	Din depărtare se auzea vag un cântec.
饮食	alimentație	Alimentația sănătoasă ajută la recuperare.
婴儿	bebeluș	Bebelușul doarme liniștit.
英明	înțelept	Conducătorul a luat o decizie înțeleaptă.
英勇	curajos	Pompierul a salvat curajos copilul.
盈利	profit	Compania a început să obțină profit anul acesta.
迎面	din față	Un vânt rece bătea din față.
应酬	angajamente sociale	El are multe angajamente sociale în seara aceasta.
应邀	la invitație	Expertul a participat la forum la invitație.
庸俗	vulgar	Conținutul acestei reclame este vulgar.
拥护	a susține	Toți susțin noua politică.
拥有	a avea	El are experiență bogată.
勇于	a îndrăzni	Tinerii trebuie să îndrăznească să încerce.
永恒	etern	Dragostea nu este etern neschimbată.
涌现	a apărea în număr mare	Profesori excelenți apar în număr mare peste tot.
踊跃	cu entuziasm	Locuitorii s-au înscris cu entuziasm la activitate.
用户	utilizator	Utilizatorii își pot schimba parola.
优胜劣汰	supraviețuirea celui mai bun	Concurența de piață reflectă supraviețuirea celui mai bun.
优先	prioritate	Vârstnicii pot fi serviți cu prioritate.
优异	excelent	Ea a obținut rezultate excelente.
优越	superior	Acest loc are o poziție geografică superioară.
忧郁	melancolic	Expresia lui părea melancolică.
油腻	gras	Acest fel de mâncare este prea gras.
油漆	vopsea	Muncitorii vopsesc ușa.
犹如	ca	Suprafața lacului este ca o oglindă.
有条不紊	metodic	Ședința s-a desfășurat metodic.
幼稚	naiv	Această idee este puțin naivă.
诱惑	tentație	Reclama este plină de tentații de consum.
愚蠢	prost	Această decizie este extrem de proastă.
愚昧	ignorant	Ideile ignorante împiedică progresul.
渔民	pescar	Pescarii ies în larg la pescuit în zori.
舆论	opinie publică	Opinia publică are un impact mare asupra cazului.
与日俱增	a crește zi de zi	Numărul turiștilor crește zi de zi.
宇宙	univers	Omenirea explorează neîncetat universul.
羽绒服	geacă de puf	Iarna trebuie să porți geacă de puf.
寓言	fabulă	Această fabulă are valoare educativă.
愈	din ce în ce mai	Starea bolii este din ce în ce mai bună.
欲望	dorință	El și-a controlat dorința de cumpărături.
熨	a călca	Ea a călcat cămașa până a devenit netedă.
玉	jad	Această bucată de jad are o culoare caldă.
预料	a anticipa	Dezvoltarea evenimentelor a depășit anticipările.
预期	așteptare	Vânzările au fost sub așteptări.
预算	buget	Bugetul proiectului trebuie ajustat.
预先	dinainte	Te rog să pregătești materialele dinainte.
预言	predicție	Predicția lui nu s-a împlinit.
预兆	semn prevestitor	Durerea poate fi un semn prevestitor al bolii.
冤枉	a nedreptăți	Nu nedreptăți o persoană nevinovată.
元首	șef de stat	Șefii de stat ai celor două țări au purtat discuții.
元素	element	Oxigenul este un element chimic.
元宵节	Festivalul Lampioanelor	De Festivalul Lampioanelor, oamenii admiră lampioane.
原告	reclamant	Reclamantul a depus dovezi noi.
原理	principiu	Profesorul a explicat principiul mașinii.
原始	original	Ei au păstrat înregistrările originale.
原先	inițial	Planul inițial s-a schimbat deja.
园林	grădini	Grădinile din Suzhou sunt foarte faimoase.
圆满	deplin	Ședința a obținut un succes deplin.
源泉	sursă	Practica este sursa cunoașterii.
缘故	motiv	El a demisionat din motive de sănătate.
约束	a restricționa	Sistemul restricționează comportamentul angajaților.
乐谱	partitură	Ea a citit cu atenție partitura.
岳母	soacră	El a mers în weekend să își viziteze soacra.
孕育	a nutri	Solul nutrește viață nouă.
蕴藏	a conține	Zona montană conține resurse minerale bogate.
运算	operație	Elevii exersează operații matematice.
运行	a funcționa	Sistemul funcționează stabil.
酝酿	a pregăti	Cele două părți pregătesc un nou plan.
杂技	acrobație	Copiilor le place să privească spectacole de acrobație.
杂交	hibrid	Oamenii de știință studiază orezul hibrid.
砸	a se sparge	Cana a căzut pe podea și s-a spart.
咋	cum	Cum de nu te-ai întors încă?
栽培	a cultiva	Grădinarul a cultivat multe flori.
灾难	dezastru	După dezastru, orașul a început reconstrucția.
宰	a sacrifica	De sărbători, sătenii sacrifică oi.
再接再厉	a continua eforturile	După câștigarea premiului, echipa a continuat eforturile.
在意	a-i păsa	Ei îi pasă mult de opiniile altora.
攒	a economisi	El economisește bani pentru a cumpăra un computer.
暂且	deocamdată	Să lăsăm deocamdată această problemă deoparte.
赞叹	a admira	Publicul a admirat interpretarea actorului.
赞助	a sponsoriza	Compania a sponsorizat această competiție.
糟蹋	a risipi	Nu risipi aceste alimente proaspete.
遭受	a suferi	Terenurile agricole au suferit o secetă severă.
遭殃	a avea de suferit	Când podul s-a prăbușit, locuitorii din apropiere au avut de suferit.
遭遇	a întâlni	Ei au întâlnit o furtună de zăpadă pe drum.
噪音	zgomot	Zgomotul construcției afectează odihna.
造型	formă	Acest model de mașină are o formă foarte distinctivă.
责怪	a învinovăți	Te rog să nu învinovățești copilul fără încetare.
贼	hoț	Poliția l-a prins pe acel hoț.
增添	a adăuga	Florile proaspete adaugă culoare camerei.
赠送	a oferi	Magazinul oferă mici cadouri.
扎	a înțepa	Asistenta i-a făcut o injecție.
扎实	solid	Baza lui de gramatică este solidă.
渣	zaț	Pe fundul ceștii a rămas zaț de cafea.
眨	a clipi	Ea a clipit din ochi.
诈骗	fraudă	Poliția a rezolvat un caz de fraudă telefonică.
摘要	rezumat	Rezumatul lucrării este scris clar.
债券	obligațiune	Investitorii cumpără obligațiuni guvernamentale.
沾光	a beneficia	Și eu am beneficiat datorită prietenului meu.
瞻仰	a aduce omagiu	Turiștii au adus omagiu monumentului eroilor.
展示	a expune	Compania a expus cele mai noi produse.
展望	perspectivă	Raportul privește spre tendințele viitoare.
展现	a arăta	Lucrarea arată viața rurală.
崭新	nou-nouț	El a cumpărat o bicicletă nou-nouță.
斩钉截铁	hotărât	Ea a refuzat hotărât.
占据	a ocupa	Reclama a ocupat întreaga pagină.
占领	a ocupa	Armata a ocupat trecătoarea montană.
战斗	luptă	Lupta a durat trei ore.
战略	strategie	Compania și-a ajustat strategia de dezvoltare.
战术	tactică	Antrenorul a schimbat tactica meciului.
战役	campanie militară	Această campanie militară a schimbat situația.
章程	regulament	Asociația a adoptat un nou regulament.
帐篷	cort	Ei au montat corturi lângă lac.
障碍	barieră	Barierele lingvistice afectează comunicarea.
招标	a invita oferte	Proiectul de inginerie a invitat public oferte.
招收	a recruta	Școala recrutează elevi noi anul acesta.
朝气蓬勃	plin de energie	Echipa tânără este plină de energie.
着迷	fascinat	Copilul este fascinat de astronomie.
沼泽	mlaștină	Expediția a traversat mlaștina.
照样	ca de obicei	A plouat, dar antrenamentul a continuat ca de obicei.
照耀	a lumina	Soarele luminează piața.
折腾	a chinui	Nu mai chinui acest computer vechi.
遮挡	a bloca	Crengile au blocat fereastra.
折	a împături	El a împăturit hârtia în formă de avion.
折磨	a chinui	Insomnia pe termen lung o chinuie.
侦探	detectiv	Detectivul a găsit un indiciu-cheie.
斟酌	a cântări	Te rog să cântărești cu atenție formularea.
珍贵	prețios	Aceste fotografii sunt foarte prețioase.
珍稀	rar	Protejăm animalele sălbatice rare.
珍珠	perlă	Ea poartă cercei cu perle.
真理	adevăr	Practica verifică adevărul.
真相	adevăr	Reporterul a încercat din greu să afle adevărul.
真挚	sincer	Ea și-a exprimat mulțumiri sincere.
枕头	pernă	Această pernă este prea înaltă.
振奋	a încuraja	Vestea bună i-a încurajat pe toți.
振兴	revitalizare	Guvernul promovează revitalizarea rurală.
镇定	calm	În situația de urgență, el și-a păstrat calmul.
镇静	calm	Asistenta i-a spus pacientului să rămână calm.
阵地	poziție	Soldații au păstrat poziția.
阵容	formație	Echipa a anunțat formația de start.
震撼	impresionant	Acest film este extrem de impresionant.
震惊	a șoca	Vestea a șocat întreaga țară.
争端	dispută	Cele două părți au încercat să rezolve disputa de frontieră.
争夺	a concura	Cele două companii concurează pentru cota de piață.
争气	a face cinste	El învață din greu pentru a face cinste familiei.
争先恐后	a se înghesui	Turiștii s-au înghesuit să urce în autobuz.
争议	controversă	Această decizie a provocat controverse.
征服	a cuceri	Alpinistul a cucerit vârful.
征收	a percepe	Guvernul percepe taxe conform legii.
挣扎	a se zbate	Pasărea se zbătea în plasă.
正月	prima lună lunară	În prima lună lunară, rudele își fac vizite de Anul Nou.
蒸发	a se evapora	Umezeala s-a evaporat repede.
整顿	a reorganiza	Compania a început să reorganizeze managementul.
政策	politică	Noua politică sprijină întreprinderile mici.
政权	regim	Războiul a schimbat regimul local.
正当	legitim	El a formulat o cerere legitimă.
正负	pozitiv și negativ	Instrumentul arată eroarea pozitivă și negativă.
正规	regulat	Copilul a intrat să învețe într-o școală regulată.
正经	serios	În cele din urmă, el a început să vorbească serios.
正气	dreptate	Societatea trebuie să promoveze dreptatea.
正义	justiție	Avocatul a apărat justiția.
正宗	autentic	Acest restaurant vinde mâncare Sichuan autentică.
症状	simptom	Febra este un simptom obișnuit.
证实	a confirma	Ancheta i-a confirmat afirmația.
证书	certificat	Ea a obținut un certificat profesional.
郑重	solemn	El a promis solemn că își va asuma responsabilitatea.
之际	în momentul	În momentul apropierii Sărbătorii Primăverii, toți sunt ocupați.
支撑	a susține	Stâlpii susțin acoperișul.
支出	cheltuială	Cheltuielile familiei au crescut vizibil.
支流	afluent	Acest râu este un afluent al Yangtze.
支配	a domina	Emoțiile nu ar trebui să domine judecata.
支援	a sprijini	Medici din multe locuri au venit să ofere sprijin.
支柱	pilon	Industria prelucrătoare este pilonul economiei locale.
枝	ramură	Ea a rupt o ramură cu flori.
知觉	conștiință	Rănitul și-a recăpătat treptat conștiința.
知足常乐	mulțumirea aduce fericire	Bătrânul spune adesea că mulțumirea aduce fericire.
脂肪	grăsime	Nucile conțin grăsimi sănătoase.
侄子	nepot	Nepotul meu a început școala primară anul acesta.
值班	a fi de serviciu	Asistenta este de serviciu în seara aceasta.
执行	a executa	Instanța a executat hotărârea.
执着	perseverent	El este foarte perseverent în privința idealurilor sale.
殖民地	colonie	Această insulă a fost cândva colonie.
直播	transmisiune live	Meciul va fi transmis live online în seara aceasta.
直径	diametru	Diametrul acestui cerc este de zece centimetri.
职能	funcție	Funcțiile departamentului trebuie redistribuite.
职位	post	Ea a aplicat pentru un post de conducere.
职务	funcție	Funcția lui este de responsabil de proiect.
指标	indicator	Indicatorul de vânzări a fost deja atins.
指定	a desemna	Profesorul l-a desemnat să răspundă la întrebare.
指甲	unghie	Ea și-a tăiat unghiile scurt.
指令	comandă	Computerul a primit o comandă nouă.
指南针	busolă	Alpinistul a adus o busolă.
指示	instrucțiune	Managerul a dat instrucțiuni clare.
指望	a conta pe	Nu conta pe alții să termine în locul tău.
指责	a critica	Publicul a criticat compania pentru poluarea mediului.
制裁	sancțiuni	Comunitatea internațională a impus sancțiuni economice.
制服	uniformă	Paznicul purta uniformă albastru închis.
制约	a limita	Lipsa fondurilor limitează dezvoltarea.
制止	a opri	Poliția a oprit conflictul la timp.
志气	ambiție	Tinerii trebuie să aibă ambiție.
智力	inteligență	Jocurile pot antrena inteligența.
智能	inteligent	Dispozitivele inteligente devin tot mai răspândite.
智商	IQ	IQ-ul nu poate determina totul.
治安	securitate publică	Securitatea publică din comunitate s-a îmbunătățit clar.
治理	a gestiona	Guvernul a întărit gestionarea râurilor.
滞留	a rămâne blocat	Pasagerii au rămas blocați la aeroport din cauza ninsorii abundente.
致辞	a ține un discurs	Directorul a ținut un discurs la ceremonie.
致力	a se dedica	Echipa se dedică inovației tehnologice.
致使	a cauza	Greșelile de management au cauzat întârzierea proiectului.
中断	a se întrerupe	Ploaia torențială a cauzat întreruperea comunicațiilor.
中立	neutru	Acea țară menține o poziție neutră.
中央	centru	Fântâna se află în centrul pieței.
忠诚	loial	Angajații sunt foarte loiali companiei.
忠实	fidel	El este un cititor fidel al acestui ziar.
终点	linie de sosire	Linia de sosire este chiar în față.
终究	în cele din urmă	Problema se va rezolva în cele din urmă.
终身	pe viață	El a decis să lucreze în educație toată viața.
