simplified	BN	example_BN
祝福	আশীর্বাদ; শুভেচ্ছা	বন্ধুরা শুভেচ্ছা পাঠিয়েছে।
抓	ধরা; চেপে ধরা	শিশুটি মায়ের হাত ধরে ফেলল।
抓紧	ভালোভাবে কাজে লাগানো; শক্ত করে ধরা	আমাদের সময় ভালোভাবে কাজে লাগাতে হবে।
专家	বিশেষজ্ঞ	বিশেষজ্ঞ পরামর্শ দিয়েছেন।
专心	মনোযোগী; মন দিয়ে	ক্লাসে মন দিয়ে শুনতে হবে।
转变	পরিবর্তন	তার মনোভাবে পরিবর্তন এসেছে।
转告	জানিয়ে দেওয়া	দয়া করে তাকে জানিয়ে দিন যে কাল সভা আছে।
装	ভরে রাখা; সাজা	দয়া করে বইগুলো ব্যাগে ভরে রাখুন।
装饰	সাজানো; অলংকরণ	তারা ফুল দিয়ে ঘর সাজিয়েছে।
装修	সংস্কার করা; সাজানো	নতুন বাড়িটি সংস্কার করা হচ্ছে।
撞	ধাক্কা খাওয়া; ধাক্কা মারা	দুটি গাড়ি মোড়ে ধাক্কা খেয়েছে।
状况	অবস্থা; পরিস্থিতি	বর্তমান অবস্থা তুলনামূলকভাবে স্থিতিশীল।
状态	অবস্থা	আজ তার অবস্থা খুব ভালো।
追	ধাওয়া করা; পিছু নেওয়া	শিশুটি পেছন থেকে ছোট কুকুরটিকে ধাওয়া করছে।
追求	অনুসরণ করা; অর্জনের চেষ্টা করা	সে সবসময় নিজের স্বপ্ন অনুসরণ করেছে।
咨询	পরামর্শ নেওয়া	আপনি পেশাদার ডাক্তারের পরামর্শ নিতে পারেন।
姿势	ভঙ্গি	দয়া করে সঠিক ভঙ্গি বজায় রাখুন।
资格	যোগ্যতা	তার প্রতিযোগিতায় অংশ নেওয়ার যোগ্যতা আছে।
资金	তহবিল; অর্থায়ন	প্রকল্পের আরও তহবিল দরকার।
资料	উপকরণ; তথ্য	দয়া করে উপকরণগুলো আমাকে পাঠান।
资源	সম্পদ	পানি একটি গুরুত্বপূর্ণ প্রাকৃতিক সম্পদ।
紫	বেগুনি	সে বেগুনি রং পছন্দ করে।
字母	বর্ণ; অক্ষর	ইংরেজিতে ছাব্বিশটি বর্ণ আছে।
字幕	সাবটাইটেল	এই চলচ্চিত্রে চীনা সাবটাইটেল আছে।
自从	থেকে; এরপর থেকে	স্নাতক হওয়ার পর থেকে সে খুব কম ফিরে আসে।
自动	স্বয়ংক্রিয়	এই দরজাটি স্বয়ংক্রিয়ভাবে খুলে যায়।
自豪	গর্বিত	আমি নিজের উন্নতিতে গর্বিত।
自觉	নিজে থেকে সচেতনভাবে	সে নিজে থেকেই বাড়ির কাজ শেষ করেছে।
自私	স্বার্থপর	মানুষের খুব স্বার্থপর হওয়া উচিত নয়।
自由	স্বাধীনতা; মুক্ত	প্রত্যেক মানুষ স্বাধীনতাকে মূল্য দেয়।
自愿	স্বেচ্ছায়	তারা স্বেচ্ছায় কার্যক্রমে অংশ নিয়েছে।
综合	সমন্বিতভাবে বিবেচনা করা	আমাদের নানা কারণ সমন্বিতভাবে বিবেচনা করতে হবে।
总裁	প্রধান নির্বাহী	প্রধান নির্বাহী আজ বক্তৃতা দিয়েছেন।
总共	মোট	এই ভ্রমণে মোট তিন হাজার ইউয়ান খরচ হয়েছে।
总理	প্রধানমন্ত্রী	প্রধানমন্ত্রী সভায় উপস্থিত ছিলেন।
总算	অবশেষে	সমস্যাটি অবশেষে সমাধান হয়েছে।
总统	রাষ্ট্রপতি	রাষ্ট্রপতি টেলিভিশনে ভাষণ দিয়েছেন।
总之	সংক্ষেপে; মোট কথা	মোট কথা, আমাদের সময়মতো শেষ করতে হবে।
组	দল; ভাগ করা	শিক্ষক আমাদের তিনটি দলে ভাগ করেছেন।
组成	গঠিত হওয়া	পানি হাইড্রোজেন ও অক্সিজেন দিয়ে গঠিত।
组合	সমন্বয়; সংযোজন	এই রঙের সমন্বয় খুব সুন্দর।
组织	আয়োজন করা; সংগঠন	স্কুল একটি ভ্রমণের আয়োজন করেছে।
阻止	থামানো; বাধা দেওয়া	পুলিশ বিপজ্জনক আচরণটি থামিয়েছে।
最初	শুরুতে; প্রথমে	শুরুতে আমি খুব একটা বুঝিনি।
醉	মাতাল	সে বেশি পান করেছে, একটু মাতাল।
尊敬	সম্মান করা	শিক্ষার্থীরা সবাই শিক্ষককে সম্মান করে।
遵守	মেনে চলা	আমাদের ট্রাফিক নিয়ম মেনে চলতে হবে।
作品	কর্ম; শিল্পকর্ম	এই ছবিটি তার শিল্পকর্ম।
作为	হিসেবে; আচরণ	শিক্ষক হিসেবে সে খুব ধৈর্যশীল।
作文	রচনা	শিক্ষক আমাদের একটি রচনা লিখতে বলেছেন।
