simplified	FI	example_FI
司法	oikeuslaitos	Oikeuslaitoksen riippumattomuus tarvitsee institutionaalista suojaa
司令	komentaja	Komentaja antoi vetäytymiskäskyn
思念	kaivata	Hän kaipaa usein kotiseutuaan
思索	pohtia	Hän laski päänsä ja pohti pitkään
思维	ajattelu	Tämä harjoitus voi parantaa loogista ajattelua
斯文	sivistynyt	Hän puhuu hyvin sivistyneesti ja lempeästi
私自	luvattomasti	Oppilaat eivät saa poistua koulusta luvattomasti
死亡	kuolema	Onnettomuus aiheutti useita kuolemia
四肢	raajat	Ennen liikuntaa pitää lämmitellä raajat
寺庙	temppeli	Vuorella on vanha temppeli
肆无忌惮	häikäilemätön	Hän rikkoi sääntöjä häikäilemättömästi
饲养	kasvattaa	Maatilalla kasvatetaan paljon lypsylehmiä
耸	kohauttaa	Kuultuaan sen hän vain kohautti olkapäitään
艘	laivan luokittelusana	Satamassa on kolme rahtilaivaa
苏醒	tulla tajuihinsa	Potilas tuli vihdoin tajuihinsa
俗话	sananlasku	Sananlasku sanoo, että harjoitus tekee mestarin
塑造	muovata	Ympäristö voi muovata ihmisen luonnetta
素食	kasvisruoka	Tämä ravintola tarjoaa kasvisruokaa
素质	laatu	Palveluhenkilöstön laatu on korkea
诉讼	oikeusjuttu	Osapuolet päättivät ratkaista asian oikeusjutun kautta
算数	pitää sanansa	Sinun täytyy pitää sanasi
随即	heti	Kokouksen päätyttyä hän lähti heti
随意	mielensä mukaan	Älä muuta asetuksia mielesi mukaan
岁月	vuodet	Vuodet muuttivat hänen ulkonäkönsä
隧道	tunneli	Juna kulki pitkän tunnelin läpi
损坏	vahingoittaa	Rankkasade vahingoitti tietä
索取	pyytää	Asiakkaat voivat pyytää näytteitä ilmaiseksi
索性	yksinkertaisesti	Sade oli liian kova, joten emme yksinkertaisesti lähteneet ulos
塌	sortua	Vanhan talon katto sortui
踏实	rauhallinen	Tehtävän valmistuttua mieleni oli rauhallinen
塔	torni	Kaupungin keskustassa on korkea torni
台风	taifuuni	Taifuuni odotetaan saapuvaksi maihin huomenna
太空	avaruus	Ihmiskunta on aina tutkinut avaruutta
泰斗	johtava auktoriteetti	Hän on kielitieteen johtava auktoriteetti
摊	koju	Hän pystytti hedelmäkojun torille
瘫痪	halvaus	Liikenneonnettomuus johti hänen alaraajojensa halvaukseen
贪婪	ahneus	Ahneus voi tuhota ihmisen
贪污	korruptio	Virkamiestä tutkittiin korruption vuoksi
弹性	joustavuus	Tässä materiaalissa on paljon joustavuutta
坦白	tunnustaa	Hän tunnusti lopulta totuuden
叹气	huokaista	Tuloksen kuultuaan hän ei voinut olla huokaisematta
探测	havaita	Laite voi havaita pohjavettä
探索	tutkia	Tutkijat jatkavat maailmankaikkeuden tutkimista
探讨	keskustella	Asiantuntijat keskustelivat uudistussuunnitelmasta
探望	vierailla	Viikonloppuna menin sairaalaan tapaamaan ystävää
倘若	jos	Jos sataa, tapahtuma siirretään
掏	ottaa esiin	Hän otti avaimen taskustaan
滔滔不绝	puhua tauotta	Kun hän puhuu historiasta, hän puhuu tauotta
淘汰	pudottaa	Tämä joukkue putosi aikaisin
陶瓷	keramiikka	Jingdezhen on kuuluisa keramiikasta
陶醉	lumoutua	Yleisö lumoutui musiikista
讨好	mielistellä	Hän ei halua tahallaan mielistellä esimiestään
特长	erityistaito	Maalaaminen on hänen erityistaitonsa
特定	määrätty	Lähetä hakemus määrätyn ajan kuluessa
特意	erikseen	Tulin erikseen kiittämään sinua
提拔	ylentää	Yritys ylensi hänet osastopäälliköksi
提炼	jalostaa	Tehdas jalostaa metallia malmista
提示	kehottaa	Järjestelmä kehottaa syöttämään salasanan
提议	ehdottaa	Hän ehdotti keskustelun jatkamista huomenna
题材	aihe	Tämän elokuvan aihe on tuore
体裁	laji	Romaanit ja runot ovat eri kirjallisuuden lajeja
体积	tilavuus	Tämän laatikon tilavuus on suuri
体谅	ymmärtää	Ymmärrä hänen vaikeuksiaan
体面	kunniallinen	Hän haluaa löytää kunniallisen työn
体系	järjestelmä	Yritys rakensi täydellisen koulutusjärjestelmän
天才	nero	Tätä lasta pidetään musiikillisena nerona
天赋	lahjakkuus	Hänellä on lahjakkuutta kielten oppimiseen
天伦之乐	perheonnen ilo	Vanhus nautti perheonnen ilosta
天然气	maakaasu	Kaupunkilaiset käyttävät maakaasua ruoanlaittoon
天生	luonnostaan	Hän on luonnostaan hyvin optimistinen
天堂	paratiisi	Tämä paikka on kuin maanpäällinen paratiisi
天文	tähtitiede	Hän on pitänyt tähtitieteestä lapsesta asti
田径	yleisurheilu	Koulu järjesti yleisurheilukilpailun
田野	pelto	Kevään pellot olivat vihreitä
舔	nuolla	Pentu nuolaisi omistajansa kättä
挑剔	nirso	Hän on hyvin nirso ruoan suhteen
条款	lauseke	Sopimuksen lausekkeet täytyy lukea huolellisesti
条理	järjestys	Hänen puheensa oli hyvin järjestelmällinen
条约	sopimus	Kaksi maata allekirjoitti rauhansopimuksen
调和	sopusointuinen	Nämä kaksi väriä ovat hyvin sopusoinnussa
调剂	tasapainottaa	Liikunta voi tasapainottaa stressaavaa elämää
调节	säätää	Ilmastointi voi säätää sisälämpötilaa
调解	sovitella	Yhteisön työntekijät auttoivat sovittelemaan osapuolten kiistaa
调料	mauste	Keittoon täytyy lisätä vähän maustetta
挑拨	lietsoa	Älä lietso eripuraa työtovereiden välille
挑衅	provokaatio	Tässä puheessa on selvä provokaatio
跳跃	hypätä	Urheilija hyppäsi kolme kertaa peräkkäin
亭子	paviljonki	Järven rannalla on pieni paviljonki
停泊	ankkuroitua	Kalastusalukset olivat ankkuroituneina satamalahteen
停顿	tauko	Hän piti puhuessaan lyhyen tauon
停滞	pysähtyä	Hanke pysähtyi rahoituksen puutteen vuoksi
挺拔	suora ja korkea	Männyt kasvavat korkeina ja suorina
通货膨胀	inflaatio	Inflaatio nosti elinkustannuksia
通缉	etsintäkuuluttaa	Poliisi etsintäkuulutti epäillyn
通俗	yleistajuinen	Tämä kirja selittää taloustieteen yleistajuisesti
通讯	viestintä	Nykyinen viestintätekniikka kehittyy nopeasti
通用	yleiskäyttöinen	Tämä ohjelma sopii yleiskäyttöiseen tiedonkäsittelyyn
同胞	maanmies	Ulkomailla hän tapasi monta maanmiestä
同志	toveri	Vanhat toverit tapasivat jälleen kokouksessa
童话	satu	Lapsi kuunteli satua ennen nukkumaanmenoa
铜	kupari	Kuparia käytetään sähköjohtojen valmistuksessa
统筹兼顾	suunnitella kokonaisvaltaisesti	Hankkeessa täytyy suunnitella kokonaisvaltaisesti kaikki osat
统计	tilastoida	Opettaja tilastoi opiskelijoiden koetulokset
统统	kaikki	Nämä ongelmat täytyy ratkaista kaikki
统治	hallita	Kuningas hallitsi maata monta vuotta
投机	keinottelu	Keinottelu voi tuoda suuria riskejä
投票	äänestää	Kansalaiset menivät äänestämään aamulla
投诉	valittaa	Asiakas valitti palvelun laadusta
投降	antautua	Vihollinen päätti lopulta antautua
投掷	heittää	Urheilija heitti keihään kauas
透露	paljastaa	Hän paljasti uutisen toimittajalle
秃	kalju	Hänen päänsä on melkein kalju
突破	läpimurto	Tutkimusryhmä saavutti tärkeän läpimurron
图案	kuvio	Kankaassa on kaunis kukkakuvio
徒弟	oppipoika	Mestari opetti oppipoikaansa kärsivällisesti
涂抹	levittää	Hän levitti voidetta haavaan
途径	keino	Meidän täytyy löytää tehokas keino ratkaista ongelma
土壤	maaperä	Tämän alueen maaperä on hedelmällistä
团结	yhdistyä	Vaikeina aikoina kaikkien täytyy yhdistyä
团体	järjestö	Tämä järjestö auttaa köyhiä lapsia
团圆	jälleennäkeminen	Koko perhe odottaa juhlan jälleennäkemistä
推测	arvella	Asiantuntijat arvelivat hinnan nousevan
推翻	kaataa	Kansa kaatoi vanhan hallinnon
推理	päättely	Tämä romaani perustuu tarkkaan päättelyyn
推论	johtopäätös	Tästä tiedosta voi tehdä järkevän johtopäätöksen
推销	myydä	Hän myi tuotteita puhelimitse
吞吞吐吐	änkyttää	Hän änkytti eikä uskaltanut kertoa totuutta
托运	kirjata matkatavaraksi	Voit kirjata tämän laukun matkatavaraksi
拖延	viivyttää	Älä viivytä päätöksen tekemistä
脱离	irrottautua	Hän irrottautui vähitellen vanhasta tiimistä
妥当	asianmukainen	Tämä järjestely on hyvin asianmukainen
妥善	huolellinen	Ongelma täytyy hoitaa huolellisesti
妥协	kompromissi	Osapuolet tekivät lopulta kompromissin
椭圆	ellipsi	Rata on suunnilleen ellipsin muotoinen
唾弃	hyljeksiä	Yhteiskunta hyljeksi hänen rikoksiaan
哇	vau	Vau, maisema on todella kaunis
挖掘	kaivaa	Arkeologit kaivoivat esiin vanhan kaupungin jäänteitä
娃娃	nukke	Tyttö piti nukkea sylissään
瓦解	hajota	Liitto hajosi sisäisiin ristiriitoihin
歪曲	vääristää	Älä vääristä toisten sanoja
外表	ulkonäkö	Älä arvioi ihmistä vain ulkonäön perusteella
外行	maallikko	Olen tällä alalla vielä maallikko
外界	ulkomaailma	Yritys reagoi nopeasti ulkomaailman arvioihin
外向	ulospäinsuuntautunut	Hän on luonteeltaan hyvin ulospäinsuuntautunut
丸	pilleri	Lääkäri määräsi kaksi pilleriä päivässä
完备	täydellinen	Tämä suunnitelma on melko täydellinen
完毕	valmistua	Kokous valmistui kolmelta iltapäivällä
玩弄	leikitellä	Älä leikittele toisten tunteilla
玩意儿	esine	Mikä tämä pieni esine on
顽固	itsepäinen	Hän on liian itsepäinen hyväksyäkseen neuvoja
顽强	sitkeä	Joukkue osoitti sitkeää taistelutahtoa
惋惜	valitella	Kaikki valittelivat hänen lähtöään
挽回	pelastaa	Yritys yritti pelastaa maineensa
挽救	pelastaa	Lääkärit pelastivat potilaan hengen
万分	äärimmäisen	Olen äärimmäisen kiitollinen avustasi
往常	tavallisesti	Hän tuli tänään myöhemmin kuin tavallisesti
往事	menneisyys	Vanhus muisteli usein menneisyyttä
妄想	turha haave	Hänellä oli turha haave rikastua yhdessä yössä
危机	kriisi	Yritys kohtasi vakavan talouskriisin
威风	mahtavuus	Kenraalin esiintyminen oli täynnä mahtavuutta
威力	voima	Tällä aseella on suuri voima
威望	arvovalta	Hänellä on alalla korkea arvovalta
威信	luottamus	Johtaja menetti vähitellen yleisön luottamuksen
微不足道	merkityksetön	Tämä virhe on kokonaisuuden kannalta merkityksetön
微观	mikrotason	Tutkimus tarkastelee ongelmaa mikrotasolta
为难	vaikeuttaa	Älä vaikeuta hänen työtään tahallasi
为期	kestää	Koulutus kestää kaksi viikkoa
唯独	vain	Kaikki lähtivät, vain hän jäi paikalle
维持	ylläpitää	Tämä kauppa ylläpitää perheen toimeentuloa
维护	suojella	Meidän täytyy suojella laillisia oikeuksiamme
维生素	vitamiini	Hedelmät sisältävät runsaasti vitamiineja
违背	rikkoa	Tämä teko rikkoi sopimuksen ehtoja
伪造	väärentää	Hän väärensi allekirjoituksen
委托	valtuuttaa	Yritys valtuutti asianajajan hoitamaan asian
委员	komitean jäsen	Hän on koulutuskomitean jäsen
卫星	satelliitti	Satelliitti lähetti kuvia takaisin Maahan
喂	ruokkia	Hän ruokkii kissaa joka aamu
慰问	lohduttaa	Johtajat kävivät lohduttamassa loukkaantuneita työntekijöitä
未免	hieman liian	Tämä vaatimus on hieman liian ankara
畏惧	pelätä	Hän ei pelkää vaikeuksia
蔚蓝	kirkkaansininen	Taivas oli kirkkaansininen
温带	lauhkea vyöhyke	Suomi sijaitsee pääosin lauhkealla vyöhykkeellä
温和	lempeä	Hänellä on lempeä luonne
文凭	tutkintotodistus	Hän sai yliopiston tutkintotodistuksen
文物	kulttuurimuisto	Museossa on paljon arvokkaita kulttuurimuistoja
文献	kirjallisuus	Tutkija luki paljon aiheeseen liittyvää kirjallisuutta
文雅	sivistynyt	Hänen käytöksensä on hyvin sivistynyttä
文艺	kirjallisuus ja taide	Hän pitää kirjallisuudesta ja taiteesta
问世	ilmestyä	Uusi romaani ilmestyi keväällä
窝	pesä	Lintu rakensi pesän puuhun
乌黑	pikimusta	Hänellä on pikimustat hiukset
污蔑	panettelu	Hän vastusti jyrkästi panettelua
诬陷	lavastaa	Joku yritti lavastaa hänet syylliseksi
无比	verraton	Hän tunsi verratonta iloa
无偿	maksuton	Tämä palvelu on asukkaille maksuton
无耻	häpeämätön	Hänen häpeämätön valheensa suututti kaikki
无动于衷	välinpitämätön	Hän oli välinpitämätön toisten kärsimykselle
无非	ei muuta kuin	Hänen selityksensä ei ole muuta kuin tekosyy
无辜	syyttömyys	Tutkimus todisti hänen syyttömyytensä
无精打采	haluton	Hän näytti koko päivän haluttomalta
无赖	roisto	Tämä roisto huijasi monta vanhusta
无理取闹	aiheeton riidanhaasto	Älä aloita aiheetonta riidanhaastoa
无能为力	voimaton	Lääkärit olivat tilanteen edessä voimattomia
无穷无尽	loputon	Merellä näytti olevan loputon sininen pinta
无微不至	äärimmäisen huolellinen	Hän piti potilaasta äärimmäisen huolellisesti huolta
无忧无虑	huoleton	Lapsuudessa hän eli huoletonta elämää
无知	tietämättömyys	Tietämättömyys voi johtaa virheellisiin päätöksiin
侮辱	loukata	Älä loukkaa toisen ihmisarvoa
武器	ase	Sotilaiden täytyy käsitellä aseita varovasti
武侠	taistelulajisankari	Hän pitää taistelulajisankareista kertovista romaaneista
武装	aseistaa	Ryhmä aseistettiin nykyaikaisilla välineillä
舞蹈	tanssi	Tämä tanssi on täynnä kansallista tyyliä
务必	välttämättä	Saavu välttämättä ajoissa
物美价廉	hyvä ja edullinen	Tämän kaupan tuotteet ovat hyviä ja edullisia
物业	kiinteistönhoito	Kiinteistönhoito korjasi hissin nopeasti
物资	tarvikkeet	Pelastajat toimittivat tarvikkeita katastrofialueelle
误差	virhemarginaali	Mittauksessa on pieni virhemarginaali
误解	väärinkäsitys	Tämä asia johtui väärinkäsityksestä
夕阳	iltarusko	Iltarusko värjäsi taivaan punaiseksi
昔日	entinen	Entinen kylä on nyt suuri kaupunki
溪	puro	Puro virtaa metsän läpi
熄灭	sammua	Kynttilä sammui tuulessa
牺牲	uhrata	Hän uhrasi vapaa-aikansa tutkimukselle
膝盖	polvi	Hän satutti polvensa juostessa
习俗	tapa	Tällä alueella on oma juhlatapansa
媳妇	miniä	Hänen miniänsä on hyvin ystävällinen
袭击	hyökkäys	Äkillinen hyökkäys aiheutti paniikkia
喜闻乐见	suosittu	Tämä ohjelma on yleisön keskuudessa suosittu
喜悦	ilo	Hänen kasvoiltaan näkyi suuri ilo
系列	sarja	Yritys julkaisi uuden tuotesarjan
细菌	bakteeri	Korkea lämpö voi tappaa bakteereja
细胞	solu	Ihmiskehossa on lukemattomia soluja
细致	huolellinen	Hän teki erittäin huolellista työtä
峡谷	rotko	Matkailijat kulkivat syvän rotkon läpi
狭隘	kapeakatseinen	Älä katso ongelmaa kapeakatseisesti
狭窄	kapea	Tämä tie on hyvin kapea
霞	punaiset pilvet	Auringonlaskun punaiset pilvet olivat kauniita
下属	alainen	Johtaja kuunteli alaistensa ehdotuksia
先进	edistynyt	Tämä tehdas käyttää edistynyttä tekniikkaa
先前	aikaisempi	Aikaisempi suunnitelma täytyy tarkistaa
掀起	nostattaa	Tapaus nostatti laajan keskustelun
纤维	kuitu	Puuvilla on luonnonkuitu
鲜明	selvä	Hänen kantansa on hyvin selvä
嫌	inhota	Hän inhoaa liian meluisaa ympäristöä
嫌疑	epäily	Hän joutui poliisin epäilyn kohteeksi
弦	kieli	Kitaran kieli katkesi
衔接	liittää	Kaksi kappaletta täytyy liittää sujuvasti yhteen
贤惠	hyvä ja huolehtiva	Häntä pidetään hyvänä ja huolehtivana puolisona
闲话	juoru	Älä levitä juoruja työpaikalla
显著	huomattava	Tuloksissa tapahtui huomattava parannus
宪法	perustuslaki	Perustuslaki suojaa kansalaisten perusoikeuksia
现场	paikka	Toimittaja saapui tapahtumapaikalle
现成	valmis	Keittiössä on valmista ruokaa
现状	nykytila	Meidän täytyy ymmärtää alan nykytila
线索	johtolanka	Poliisi löysi tärkeän johtolangan
陷害	lavastaa	Hänet lavastettiin rikokseen
陷阱	ansa	Metsästäjä asetti ansan
陷入	joutua	Yritys joutui talousvaikeuksiin
馅儿	täyte	Tämän nyytin täyte on lihaa
乡镇	taajama	Pienissä taajamissa palvelut ovat rajallisia
相差	erota	Näiden kahden hinnat eroavat paljon
相等	yhtä suuri	Kaksi kulmaa ovat yhtä suuria
相辅相成	täydentää toisiaan	Teoria ja käytäntö täydentävät toisiaan
相应	vastaava	Yritys teki vastaavat muutokset
镶嵌	upottaa	Sormukseen on upotettu sininen jalokivi
响亮	kirkas ja kantava	Hänen äänensä oli kirkas ja kantava
响应	vastata	Monet ihmiset vastasivat kutsuun
想方设法	keksiä kaikki keinot	Hän keksi kaikki keinot ratkaistakseen ongelman
向导	opas	Paikallinen opas vei meidät vuorelle
向来	aina	Hän on aina ollut hyvin täsmällinen
向往	kaivata	Hän kaipaa vapaata elämää maaseudulla
巷	kuja	Vanha kuja on hyvin hiljainen
相声	kiinalainen koominen dialogi	Yleisö nauroi kiinalaiselle koomiselle dialogille
消除	poistaa	Meidän täytyy poistaa väärinkäsitys
消毒	desinfioida	Lääkäri desinfioi haavan
消防	palontorjunta	Palontorjuntaharjoitus järjestettiin koulussa
消耗	kuluttaa	Pitkä matka kulutti paljon energiaa
消灭	hävittää	Tämä lääke voi hävittää bakteereja
潇洒	huoleton ja tyylikäs	Hän käveli huolettoman tyylikkäästi lavalle
销毁	tuhota	Vanhat asiakirjat tuhottiin sääntöjen mukaan
小心翼翼	erittäin varovainen	Hän nosti maljakon erittäin varovaisesti
效益	hyöty	Uusi järjestelmä paransi taloudellista hyötyä
肖像	muotokuva	Taiteilija maalasi hänestä muotokuvan
协会	yhdistys	Hän liittyi kirjailijayhdistykseen
协商	neuvotella	Osapuolet neuvottelivat sopimuksen ehdoista
协调	koordinoida	Hänen tehtävänsä on koordinoida eri osastoja
协议	sopimus	Kaksi yritystä allekirjoitti yhteistyösopimuksen
协助	avustaa	Poliisi avusti pelastustyössä
携带	kuljettaa	Matkustajat eivät saa kuljettaa vaarallisia esineitä
屑	muru	Pöydällä oli leivänmuruja
泄露	vuotaa	Salainen tieto vuoti verkkoon
泄气	masentua	Älä masennu yhden epäonnistumisen takia
谢绝	kieltäytyä kohteliaasti	Hän kieltäytyi kohteliaasti haastattelusta
心得	oivallus	Hän jakoi opiskelusta saamansa oivallukset
心甘情愿	omasta tahdostaan	Hän auttoi meitä täysin omasta tahdostaan
心灵	sielu	Musiikki voi koskettaa ihmisen sielua
心态	ajattelutapa	Hyvällä ajattelutavalla on suuri merkitys
心疼	surra	Hän suri lapsen kärsimystä
心血	vaivannäkö	Tämä kirja sisältää hänen monen vuoden vaivannäkönsä
心眼儿	aikomus	Hänen todellisia aikomuksiaan on vaikea arvata
新陈代谢	aineenvaihdunta	Liikunta voi edistää aineenvaihduntaa
新郎	sulhanen	Sulhanen odotti morsiamen saapumista
新娘	morsian	Morsian hymyili onnellisena
新颖	uudenlainen	Tämä malli on hyvin uudenlainen
欣慰	olla huojentunut	Äiti oli huojentunut nähdessään pojan paranevan
欣欣向荣	kukoistaa	Kaupungin talous kukoistaa nopeasti
薪水	palkka	Hänen palkkansa nousi tänä vuonna
辛勤	ahkera	Ahkerat työntekijät ansaitsevat kunnioitusta
信赖	luottaa	Asiakkaat luottavat tähän merkkiin
信念	vakaumus	Vahva vakaumus auttoi häntä jatkamaan
信仰	usko	Uskolla on tärkeä asema hänen elämässään
信誉	maine	Yrityksen maine täytyy suojata
兴高采烈	riemuissaan	Lapset palasivat kotiin riemuissaan
兴隆	kukoistava	Heidän perheyrityksensä on hyvin kukoistava
兴旺	vauras	Kylästä tuli vähitellen vauras
腥	kalanhajuinen	Keitossa oli hieman kalanhajuinen maku
刑事	rikosoikeudellinen	Tämä on vakava rikosoikeudellinen tapaus
形态	muoto	Kasvin muoto muuttuu kasvun aikana
行政	hallinto	Hän työskentelee koulun hallinnossa
兴致勃勃	innostunut	Hän kertoi matkasta hyvin innostuneena
性感	seksikäs	Tätä näyttelijää pidetään seksikkäänä
性命	henki	Pelastajat vaaransivat henkensä
性能	suorituskyky	Tämän tietokoneen suorituskyky on erinomainen
凶恶	raaka	Rikollisen ilme oli hyvin raaka
凶手	murhaaja	Poliisi otti murhaajan kiinni
汹涌	raju	Meri oli myrskyssä raju
胸怀	mieliala	Laaja mieliala auttaa hyväksymään erilaisia mielipiteitä
胸膛	rintakehä	Hän löi nyrkillä rintakehäänsä
雄厚	vahva	Yrityksellä on vahva taloudellinen perusta
雄伟	mahtava	Vuorten maisema on mahtava
修复	korjata	Asiantuntijat korjasivat vanhan maalauksen
修建	rakentaa	Kunta rakensi uuden sillan
修养	sivistys	Hyvä sivistys näkyy käytöksessä
羞耻	häpeä	Hän tunsi syvää häpeää teostaan
嗅觉	hajuaisti	Koiran hajuaisti on hyvin herkkä
绣	kirjoa	Isoäiti osaa kirjoa kauniita kuvioita
虚假	valheellinen	Valheellinen mainonta on kiellettyä
虚荣	turhamaisuus	Turhamaisuus sai hänet ostamaan kalliita tavaroita
虚伪	tekopyhä	En pidä hänen tekopyhästä asenteestaan
需求	kysyntä	Markkinoilla on suuri kysyntä tälle tuotteelle
须知	ohje	Lue ohje huolellisesti ennen käyttöä
许可	lupa	Rakentamiseen tarvitaan virallinen lupa
序言	esipuhe	Kirjan esipuhe selittää kirjoittajan tarkoituksen
畜牧	karjankasvatus	Karjankasvatus on alueen tärkeä elinkeino
酗酒	alkoholin liikakäyttö	Alkoholin liikakäyttö vahingoittaa terveyttä
喧哗	melu	Älä aiheuta melua kirjastossa
宣誓	vannoa vala	Uusi presidentti vannoi valan
宣扬	julistaa	Hän julisti rauhan merkitystä
悬挂	ripustaa	Seinälle ripustettiin kartta
悬念	jännitys	Elokuvan jännitys kesti loppuun asti
悬殊	suuri ero	Kahden joukkueen tasoero on suuri
悬崖峭壁	jyrkkä kallio	Jyrkkä kallio on vaarallinen kiivetä
旋律	melodia	Tämän laulun melodia on kaunis
旋转	pyöriä	Maapallo pyörii akselinsa ympäri
选拔	valita parhaat	Koulu valitsee parhaat oppilaat kilpailuun
选举	vaali	Paikallisvaali järjestetään ensi kuussa
选手	kilpailija	Tämä kilpailija voitti kultamitalin
炫耀	kerskailla	Älä kerskaile saavutuksillasi
削	vuolla	Hän vuoli kynän teräväksi
削弱	heikentää	Sairaus heikensi hänen voimiaan
学说	teoria	Tämä teoria vaikutti syvästi tieteeseen
学位	tutkinto	Hän sai maisterin tutkinnon
雪上加霜	pahentaa tilannetta	Tämä uutinen pahensi tilannetta entisestään
血压	verenpaine	Hänen verenpaineensa on hieman korkea
熏陶	vaikutus	Lapsi kasvoi taiteellisen vaikutuksen keskellä
寻觅	etsiä	Hän etsi kadonnutta avainta kaikkialta
巡逻	partioida	Poliisit partioivat kadulla yöllä
循环	kierto	Veden kierto on luonnossa tärkeä
循序渐进	edetä asteittain	Oppimisessa kannattaa edetä asteittain
压迫	sortaa	Kukaan ei saa sortaa heikkoja
压岁钱	uudenvuoden lahjaraha	Lapset saivat uudenvuoden lahjarahaa
压缩	pakata	Tiedosto täytyy pakata ennen lähettämistä
压抑	tukahduttaa	Hän tukahdutti vihansa
压榨	puristaa	Tehdas puristaa öljyä siemenistä
压制	tukahduttaa	Hallinto yritti tukahduttaa vastustuksen
鸦雀无声	hiirenhiljainen	Luokka oli yhtäkkiä hiirenhiljainen
亚军	toinen sija	Hän sai kilpailussa toisen sijan
淹没	peittää	Tulva peitti pellot
烟花爆竹	ilotulitteet	Juhlassa ei saa sytyttää ilotulitteita
严峻	vakava	Tilanne on erittäin vakava
严寒	kova pakkanen	Kova pakkanen jatkui viikon
严禁	ehdottomasti kieltää	Tupakointi on täällä ehdottomasti kielletty
严厉	ankara	Opettajan arvostelu oli ankara
严密	tiukka	Turvajärjestelyt olivat hyvin tiukat
岩石	kivi	Vuoren rinteellä oli suuria kiviä
延期	lykätä	Kokous lykättiin ensi viikkoon
延伸	ulottua	Tie ulottuu rannikolle asti
延续	jatkua	Tämä perinne on jatkunut satoja vuosia
沿海	rannikko	Rannikkoalueet kehittyivät nopeasti
炎热	helteinen	Kesä oli poikkeuksellisen helteinen
言论	lausunto	Hänen lausuntonsa herätti keskustelua
掩盖	peittää	Hän yritti peittää virheensä
掩护	suojata	Sotilaat suojasivat vetäytyvää joukkoa
掩饰	peitellä	Hän yritti peitellä hermostuneisuuttaan
演变	kehittyä	Tilanne kehittyi vähitellen kriisiksi
演习	harjoitus	Armeija järjesti suuren harjoituksen
演绎	päätellä	Tutkija päätteli tuloksen teorian perusteella
演奏	soittaa	Hän soitti pianoa yleisölle
眼光	näkemys	Hänellä on tarkka näkemys markkinoista
眼色	silmämerkki	Äiti antoi lapselle silmämerkin
眼神	katse	Hänen katseensa paljasti huolen
厌恶	inhota	Hän inhoaa tekopyhyyttä
验收	vastaanottotarkastus	Rakennus läpäisi vastaanottotarkastuksen
验证	todentaa	Koe todensi teorian oikeaksi
氧气	happi	Ihminen tarvitsee happea hengittääkseen
样品	näyte	Asiakas pyysi tuotenäytteen
摇摆	heilua	Puut heiluivat tuulessa
摇滚	rock	Hän pitää rockmusiikista
谣言	huhu	Huhu levisi nopeasti verkossa
遥控	kaukosäädin	Television kaukosäädin katosi
遥远	kaukainen	Hän kaipaa kaukaista kotikaupunkiaan
耀眼	häikäisevä	Auringonvalo oli häikäisevää
要点	pääkohta	Merkitse muistiin kokouksen pääkohdat
要命	hengenvaarallinen	Tämä sairaus voi olla hengenvaarallinen
要素	tekijä	Luottamus on yhteistyön tärkeä tekijä
野蛮	barbaarinen	Barbaarinen käytös ei ole hyväksyttävää
野心	kunnianhimo	Hänen kunnianhimonsa on hyvin suuri
液体	neste	Vesi on tavallinen neste
一流	huippuluokan	Tämä on huippuluokan hotelli
一如既往	kuten ennenkin	Hän tukee meitä kuten ennenkin
依旧	edelleen	Kaupunki on edelleen hyvin vilkas
依据	peruste	Päätös tehtiin lain perusteella
依靠	turvautua	Hän turvautuu ystäviensä apuun
依赖	riippua	Lapsi riippuu vielä vanhemmistaan
依托	tukeutua	Yritys tukeutuu vahvaan tutkimusryhmään
衣裳	vaatteet	Hän osti uudet vaatteet juhlaan
一度	kerran	Hän oli kerran hyvin kuuluisa
一贯	johdonmukainen	Hänen kantansa on aina johdonmukainen
一目了然	selvä yhdellä silmäyksellä	Kaavion tulos on selvä yhdellä silmäyksellä
一向	aina	Hän on aina pitänyt lukemisesta
仪器	laite	Laboratoriossa on tarkkoja laitteita
仪式	seremonia	Avajaisseremonia alkoi ajoissa
疑惑	epäillä	Hänen selityksensä sai minut epäilemään
遗产	perintö	Tämä linna on tärkeä kulttuuriperintö
遗传	periytyä	Tämä ominaisuus voi periytyä lapsille
遗留	jäädä jäljelle	Sodasta jäi jäljelle monia ongelmia
遗失	kadottaa	Hän kadotti passinsa matkalla
以便	jotta	Jätä puhelinnumerosi, jotta voimme ottaa yhteyttä
以免	jottei	Ota sateenvarjo mukaan, jottei kastuisi
以往	aiemmin	Aiemmin tämä alue oli hyvin köyhä
以至	siinä määrin että	Hän oli väsynyt siinä määrin, ettei jaksanut puhua
以致	niin että	Tie oli poikki niin että liikenne pysähtyi
一帆风顺	sujua hyvin	Toivon, että työsi sujuu hyvin
一举两得	kaksi hyötyä yhdellä teolla	Pyöräily säästää rahaa ja parantaa terveyttä, kaksi hyötyä yhdellä teolla
一丝不苟	pikkutarkka	Hän tarkisti asiakirjan pikkutarkasti
亦	myös	Hän on myös vastuussa tästä asiasta
异常	poikkeava	Järjestelmä havaitsi poikkeavan signaalin
意料	odottaa	Tulos oli parempi kuin odotin
意识	tietoisuus	Ympäristötietoisuus kasvaa jatkuvasti
意图	aikomus	Hänen todellinen aikomuksensa ei ollut selvä
