hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
3508:至	至	至	მდე	სამუშაო დრო ორშაბათიდან პარასკევამდეა.	մինչև	Բացման ժամերը երկուշաբթիից մինչև ուրբաթ են։
3509:治	治	治	მკურნალობა; მართვა	ექიმმა თქვა, რომ ეს დაავადება იკურნება.	բուժել; կառավարել	Բժիշկն ասաց, որ այս հիվանդությունը կարելի է բուժել։
3510:制订	制订	制订	შემუშავება; შედგენა	კომპანია ახალ სასწავლო გეგმას ადგენს.	մշակել; կազմել	Ընկերությունը մշակում է նոր վերապատրաստման ծրագիր։
3520:中华	中华	中华	ჩინეთი; ჩინური	ჩინურ კულტურას ხანგრძლივი ისტორია აქვს.	Չինաստան; չինական	Չինական մշակույթն ունի երկար պատմություն։
3521:中华民族	中华民族	中华民族	ჩინელი ერი	ჩინელ ერს მდიდარი და მრავალფეროვანი ტრადიციები აქვს.	չինական ազգ	Չինական ազգն ունի հարուստ և բազմազան ավանդույթներ։
3522:中级	中级	中级	საშუალო დონე	ის საშუალო დონის ჩინურს სწავლობს.	միջին մակարդակ	Նա սովորում է միջին մակարդակի չինարեն։
3524:中期	中期	中期	შუალედური პერიოდი	პროექტის შუა ეტაპზე ერთი შეფასებაა საჭირო.	միջին փուլ; միջնաժամկետ	Նախագծի միջին փուլում պետք է մեկ գնահատում անցկացնել։
3525:中外	中外	中外	ჩინური და უცხოური	შეხვედრაზე ბევრი ჩინელი და უცხოელი ექსპერტი მიიწვიეს.	չինական և օտարերկրյա	Ժողովին հրավիրեցին շատ չինացի և օտարերկրյա մասնագետների։
3527:中药	中药	中药	ჩინური წამალი	ამ აფთიაქში ჩინური წამლის ყიდვა შეიძლება.	չինական դեղամիջոց	Այս դեղատանը կարելի է չինական դեղամիջոց գնել։
3528:中医	中医	中医	ტრადიციული ჩინური მედიცინა; ჩინური ექიმი	მას ტრადიციული ჩინური მედიცინა ძალიან აინტერესებს.	ավանդական չինական բժշկություն; չինացի բժիշկ	Նրան շատ է հետաքրքրում ավանդական չինական բժշկությունը։
3532:众多	众多	众多	მრავალი; უამრავი	ამ პლატფორმამ მრავალი მომხმარებელი მოიზიდა.	բազմաթիվ; շատ	Այս հարթակը գրավեց բազմաթիվ օգտատերերի։
3546:主食	主食	主食	ძირითადი საკვები	ბრინჯი სამხრეთში ბევრი ადამიანის ძირითადი საკვებია.	հիմնական սնունդ	Բրինձը հարավում շատերի հիմնական սնունդն է։
3550:住房	住房	住房	საცხოვრებელი	ქალაქის საცხოვრებლის ფასები ყოველთვის ყურადღების ცენტრშია.	բնակարան; բնակարանային ապահովում	Քաղաքային բնակարանի գները միշտ ուշադրության կենտրոնում են։
3551:住宿	住宿	住宿	დაბინავება; საცხოვრებელი	ტურისტული სააგენტო დაბინავებას მოგვიწყობს.	կացություն; բնակեցում	Տուրիստական գործակալությունը մեզ կօգնի կացություն կազմակերպել։
3552:住址	住址	住址	მისამართი	გთხოვთ ფორმაში თქვენი ამჟამინდელი მისამართი ჩაწეროთ.	բնակության հասցե	Խնդրում ենք ձևաթղթում գրել ձեր ներկայիս հասցեն։
3573:子女	子女	子女	შვილები	ყველა მშობელს სურს, რომ შვილები ჯანმრთელად გაიზარდონ.	զավակներ; որդիներ ու դուստրեր	Բոլոր ծնողները հույս ունեն, որ զավակները առողջ կմեծանան։
3578:自身	自身	自身	თავად; საკუთარი	ყველამ საკუთარ უსაფრთხოებას უნდა მიაქციოს ყურადღება.	ինքնուրույն; սեփական	Յուրաքանչյուր մարդ պետք է ուշադրություն դարձնի սեփական անվտանգությանը։
3581:总部	总部	总部	სათავო ოფისი	კომპანიის სათავო ოფისი შანხაიში მდებარეობს.	գլխամասային գրասենյակ	Ընկերության գլխամասային գրասենյակը գտնվում է Շանհայում։
3583:总数	总数	总数	საერთო რაოდენობა	რეგისტრირებულთა საერთო რაოდენობამ ათასს გადააჭარბა.	ընդհանուր թիվ	Գրանցվածների ընդհանուր թիվը գերազանցեց հազարը։
3584:总体	总体	总体	საერთო; მთლიანობაში	საერთო ჯამში, შედეგი საკმაოდ დამაკმაყოფილებელია.	ընդհանուր; ամբողջական	Ընդհանուր առմամբ արդյունքը բավական գոհացուցիչ է։
3587:租金	租金	租金	ქირა	ამ სახლის ქირა მაღალი არ არის.	վարձավճար	Այս տան վարձավճարը բարձր չէ։
3588:族	族	族	ეთნიკური ჯგუფი; გვარის სუფიქსი	მას ბევრი ეთნიკური ჯგუფის ენა აქვს შესწავლილი.	էթնիկ խումբ; տոհմի վերջածանց	Նա ուսումնասիրել է շատ էթնիկ խմբերի լեզուներ։
3589:足够	足够	足够	საკმარისი	ეს წყალი ყველასთვის საკმარისია დასალევად.	բավարար	Այս ջուրը բավական է բոլորին խմելու համար։
3594:嘴巴	嘴巴	嘴巴	პირი	ბავშვს პირზე შაქარი ჰქონდა მიწებებული.	բերան	Երեխայի բերանին շաքար էր կպել։
3597:最佳	最佳	最佳	საუკეთესო; ოპტიმალური	გაზაფხული აქ სამოგზაუროდ საუკეთესო სეზონია.	լավագույն; օպտիմալ	Գարունը այստեղ ճանապարհորդելու լավագույն սեզոնն է։
3600:作出	作出	作出	გაკეთება; მიღება	კომპანიამ სწრაფად მიიღო გადაწყვეტილება.	անել; կայացնել	Ընկերությունը արագ որոշում կայացրեց։
