simplified	FR	example_FR
叮嘱	recommander avec insistance	Le professeur nous a recommandé à plusieurs reprises de faire attention à la sécurité.
盯	fixer; regarder attentivement	Ne fixe pas les autres sans arrêt, s'il te plaît.
定期	régulièrement	Le médecin lui conseille de faire régulièrement des examens médicaux.
定义	définition	Veuillez d'abord expliquer la définition de ce concept.
丢人	perdre la face; honteux	Mentir en public est vraiment honteux.
丢三落四	être étourdi; oublier sans cesse	Il est toujours étourdi et oublie souvent ses clés en sortant.
东道主	hôte	En tant qu'hôtes, nous devons bien nous occuper des invités.
东张西望	regarder partout	Ne regarde pas partout pendant le cours.
董事长	président du conseil d'administration	Le président du conseil d'administration a assisté à la réunion aujourd'hui.
冻结	geler; bloquer	La banque a temporairement bloqué ce compte.
动荡	trouble; instabilité	La guerre a plongé cette région dans une longue instabilité.
动机	motif	La police enquête sur son motif.
动静	bruit; signe d'activité	Il n'y a pas le moindre bruit dans la pièce.
动力	motivation; force motrice	L'intérêt est la motivation de l'apprentissage.
动脉	artère	Le médecin a examiné son artère.
动身	partir	Nous partirons pour l'aéroport tôt demain matin.
动手	se battre; commencer à agir	Tant que les choses ne sont pas claires, personne ne doit se battre.
动态	évolution; dynamique	Veuillez suivre à tout moment l'évolution du projet.
动员	mobiliser	L'école a mobilisé les élèves pour participer aux activités bénévoles.
栋	bâtiment; classificateur pour bâtiments	Ce bâtiment a vingt étages.
兜	poche	Il a mis les clés dans la poche de son manteau.
陡峭	escarpé	Cette route de montagne est très escarpée.
斗争	lutte	Ils luttent pour protéger l'environnement.
督促	presser; superviser	Le directeur presse tout le monde de terminer les tâches à temps.
毒品	drogue; stupéfiant	La douane a saisi un lot de drogue.
独裁	dictature	Les gens s'opposent au régime dictatorial.
堵塞	boucher; obstruction	Les déchets ont bouché les égouts.
赌博	jouer aux jeux d'argent	Les jeux d'argent peuvent entraîner de graves conséquences.
杜绝	mettre fin à; éliminer	L'entreprise exige de mettre fin au gaspillage.
端	porter; extrémité	Il est entré en portant une tasse de thé chaud.
端午节	Fête des Bateaux-Dragons	À la Fête des Bateaux-Dragons, nous mangeons des zongzi.
端正	correct; rectifier	Les élèves doivent adopter une attitude correcte envers les études.
短促	bref; court	Il a poussé un bref soupir.
断定	conclure; déterminer	Pour l'instant, on ne peut pas conclure qui a tort ou raison.
断绝	rompre; couper	Après l'accident, le village a été coupé du monde extérieur.
堆积	s'accumuler; empiler	La neige s'est accumulée au bord de la route.
兑现	tenir une promesse; encaisser	Il a finalement tenu sa promesse.
对策	mesure; stratégie	Face aux risques, nous avons besoin d'une stratégie.
对称	symétrie; symétrique	Les deux côtés de ce bâtiment sont très symétriques.
对付	gérer; faire face à	Ce problème est difficile à gérer.
对抗	affronter; s'opposer	Les deux équipes s'affronteront en finale.
对立	opposition; opposé	Les positions des deux parties sont complètement opposées.
对联	couplet parallèle	À la Fête du Printemps, ils collent des couplets à l'entrée.
对应	correspondre	Chaque numéro correspond à un siège.
对照	comparer; confronter	Veuillez comparer avec le texte original pour vérifier la traduction.
队伍	file; équipe; troupe	La file du défilé avance lentement.
顿时	immédiatement; aussitôt	En entendant cette nouvelle, il est aussitôt resté figé.
哆嗦	trembler; frissonner	Il faisait trop froid, il tremblait sans arrêt.
多元化	diversification; diversifier	L'entreprise favorise la diversification de ses activités.
堕落	sombrer; se dégrader	Il ne veut pas continuer à sombrer.
额外	supplémentaire	Ce service entraîne des frais supplémentaires.
恶心	nausée; être écoeuré	En sentant cette odeur, j'ai eu un peu la nausée.
恶化	s'aggraver	Si elle n'est pas traitée, la maladie peut s'aggraver.
遏制	contenir; freiner	Le gouvernement a pris des mesures pour contenir la pollution.
恩怨	rancune; grief	La rancune entre les deux entreprises dure depuis longtemps.
而已	c'est tout; seulement	Je l'ai simplement dit comme ça, c'est tout.
二氧化碳	dioxyde de carbone	Les plantes absorbent le dioxyde de carbone.
发布	publier; annoncer	L'entreprise annoncera un nouveau produit demain.
发财	s'enrichir	Il espère s'enrichir grâce à ses efforts.
发呆	rester dans le vague	Elle était assise près de la fenêtre, perdue dans ses pensées.
发动	lancer; mobiliser	Les bénévoles ont mobilisé les habitants pour nettoyer la rue.
发觉	remarquer; découvrir	J'ai remarqué qu'il était un peu nerveux aujourd'hui.
发射	lancer; tirer	La fusée sera lancée ce soir.
发誓	jurer	Il a juré de ne plus jamais mentir.
发行	sortir; publier	Ce film sortira le mois prochain.
发炎	s'enflammer; inflammation	La plaie est un peu enflammée.
发扬	promouvoir; développer	Nous devons promouvoir l'esprit de travail d'équipe.
发育	se développer; développement	Le développement physique des enfants exige une nutrition suffisante.
法人	personne morale	Cette entreprise est une personne morale indépendante.
番	tour; propos	Ces propos m'ont beaucoup inspiré.
凡是	tout; tous ceux qui	Tous ceux qui se sont inscrits doivent participer à la formation.
繁华	prospère; animé	Cette rue était autrefois très animée.
繁忙	occupé; très actif	L'aéroport est particulièrement occupé pendant les vacances.
繁体字	caractère chinois traditionnel	À Taïwan, on utilise souvent les caractères chinois traditionnels.
繁殖	se reproduire	Cette plante se reproduit facilement.
反驳	réfuter	Il a réfuté ce point de vue avec des données.
反常	anormal	Le temps est un peu anormal aujourd'hui.
反感	aversion; être rebuté	Ce genre de publicité me rebute.
反抗	résister; se rebeller	Les gens ont commencé à résister aux règles injustes.
反馈	retour; retour d'information	Les clients disent dans leurs retours que le système est très stable.
反面	verso; côté opposé	Veuillez retourner la feuille au verso.
反射	réfléchir; réflexe	Un miroir réfléchit la lumière.
反思	réfléchir; faire le bilan	Après l'échec, il a sérieusement réfléchi aux raisons.
反问	répondre par une question	Il n'a pas répondu et m'a posé une question en retour.
反之	inversement	Un prix trop élevé réduit la demande, et inversement.
泛滥	déborder; inonder	Les fortes pluies ont fait déborder la rivière.
范畴	catégorie; domaine	Cette question relève du domaine juridique.
贩卖	trafiquer; vendre illégalement	La loi interdit de vendre de faux médicaments.
方位	direction; orientation	La carte indique l'orientation exacte.
方言	dialecte	Il comprend le dialecte local.
方圆	dans un rayon de	Il n'y a pas d'hôpital dans un rayon de dix kilomètres.
方针	ligne directrice; politique	L'entreprise a établi une nouvelle ligne directrice de développement.
防守	défense; défendre	La défense de cette équipe est très stable.
防御	défense	Les remparts servaient autrefois à se défendre contre les ennemis.
防止	prévenir; empêcher	Attachez votre ceinture pour éviter les blessures.
防治	prévention et traitement	Le médecin a expliqué les méthodes de prévention et de traitement des maladies.
纺织	textile; filage et tissage	Cette ville est connue pour son industrie textile.
访问	rendre visite; interviewer	Le journaliste interviewera cet écrivain demain.
放大	agrandir	Veuillez agrandir un peu l'image.
放射	rayonner; émettre	Ce matériau émet de la chaleur.
非法	illégal	Les transactions illégales seront sanctionnées.
飞禽走兽	oiseaux et bêtes	La forêt abrite toutes sortes d'oiseaux et de bêtes.
飞翔	voler	Les mouettes volent au-dessus de la mer.
飞跃	bond; progrès spectaculaire	Le développement technologique a réalisé un bond considérable.
肥沃	fertile	Cette terre est très fertile.
诽谤	diffamation	Diffamer autrui entraîne une responsabilité juridique.
废除	abolir; supprimer	Cette ancienne règle a déjà été abolie.
废寝忘食	se consacrer totalement au travail	Il s'est consacré totalement à ses recherches.
废墟	ruines	Après le séisme, cet endroit est devenu des ruines.
沸腾	bouillir	L'eau bout déjà.
肺	poumon	Fumer nuit aux poumons.
分辨	distinguer; différencier	J'ai du mal à distinguer ces deux couleurs.
分寸	mesure; sens des limites	Même en plaisantant, il faut garder la mesure.
分红	dividende; prime	Les actionnaires peuvent recevoir des dividendes en fin d'année.
分解	décomposer; diviser	Le professeur a décomposé le problème complexe en plusieurs étapes.
分裂	se diviser; scission	Les conflits internes ont conduit à la scission de l'organisation.
分泌	sécréter	Cette glande sécrète des hormones.
分明	clair; évident	Les faits sont déjà très clairs.
分歧	divergence	Les deux parties ont des divergences sur le prix.
分散	disperser; répartir	Veuillez répartir les risques entre différents projets.
吩咐	ordonner; demander	Le patron m'a demandé de ranger les documents.
坟墓	tombe	Il y a une vieille tombe sur la pente.
粉末	poudre	Veuillez réduire le comprimé en poudre.
粉色	rose clair	Elle a acheté une écharpe rose clair.
粉碎	démanteler; briser	La police a démantelé ce groupe criminel.
分量	poids; importance	Cette phrase a beaucoup de poids.
愤怒	colère; furieux	Son ton était rempli de colère.
丰满	riche; abondant; plein	Le contenu de cet article n'est pas encore assez riche.
丰盛	copieux; somptueux	Ils ont préparé un dîner très copieux.
丰收	récolte abondante	Cette année, les paysans ont connu une récolte abondante.
封闭	fermer; sceller	Cette route sera fermée pendant les travaux.
封建	féodal	Cette pensée féodale aurait dû changer depuis longtemps.
封锁	bloquer; boucler	La police a bouclé le lieu de l'accident.
锋利	tranchant	Ce couteau est très tranchant.
风暴	tempête; crise	Une tempête est soudain apparue en mer.
风度	allure; élégance	Sur scène, il avait beaucoup d'élégance.
风光	paysage; vue	Le paysage naturel ici est très beau.
风气	atmosphère; coutume	L'école a formé une bonne atmosphère d'étude.
风趣	humour; plein d'esprit	Il parle avec beaucoup d'humour.
风土人情	conditions et coutumes locales	Le voyage permet de découvrir les coutumes locales.
风味	saveur locale; style local	Ce restaurant a une forte saveur locale.
逢	chaque fois que; rencontrer	Chaque week-end, le parc est très animé.
奉献	se consacrer; dévouer	Le médecin a consacré beaucoup de temps aux patients.
否决	veto; rejeter	Le conseil d'administration a rejeté cette proposition.
夫妇	couple	Ce couple tient une petite boutique.
夫人	madame; épouse	Monsieur Wang et son épouse ont assisté ensemble au dîner.
敷衍	expédier; répondre superficiellement	Il a seulement répondu superficiellement par quelques phrases.
俘虏	prisonnier	Après la fin de la guerre, les prisonniers ont été libérés.
幅度	ampleur; étendue	L'ampleur de cette baisse de prix est importante.
服从	obéir; se conformer	Les militaires doivent obéir aux ordres.
服气	accepter; être convaincu	Il a perdu le match, mais il ne l'accepte pas vraiment.
福利	avantages sociaux; bien-être	Les employés accordent beaucoup d'importance aux avantages sociaux de l'entreprise.
福气	chance; bonheur	Rencontrer un bon professeur est une chance pour lui.
符号	symbole; signe	Ce symbole représente le danger.
辐射	rayonnement; radiation	Le médecin lui a conseillé de rester loin des fortes radiations.
俯视	surplomber; regarder d'en haut	Du sommet de la montagne, on peut surplomber toute la ville.
抚摸	caresser	Elle caresse doucement la tête de l'enfant.
抚养	élever; prendre en charge	Les grands-parents aident à élever l'enfant.
腐败	corruption; corrompu	Le gouvernement lutte contre la corruption.
腐烂	pourrir	Les fruits pourrissent s'ils restent trop longtemps.
腐蚀	corroder; corrosion	L'acide corrode la surface du métal.
腐朽	pourri; décadent	Ils ont critiqué ce système décadent.
