simplified	SI	example_SI
称号	ගෞරව නාමය	ඔහු විශිෂ්ට ගුරුවරයා යන ගෞරව නාමය ලබා ගත්තේය.
乘	නැඟී ගමන් කිරීම	මම සෑම දිනකම භූගත දුම්රියට නැඟී වැඩට යමි.
呈现	පෙනී යාම	අහස ලා රතු පැහැයකින් පෙනී ගියේය.
城堡	බලකොටුව	කඳු මුදුනේ පැරණි බලකොටුවක් ඇත.
惩罚	දඬුවම් කිරීම	පාසල වංචා කරන සිසුන්ට දඬුවම් කරනු ඇත.
成本	පිරිවැය	අමුද්‍රව්‍ය මිල වැඩිවීම පිරිවැය ඉහළ නැංවීය.
成交	ගනුදෙනුව අවසන් කිරීම	මෙම ව්‍යාපාරික ගනුදෙනුව අවසානයේ අවසන් විය.
成天	මුළු දවසම	ඔහු මුළු දවසම පරිගණකය ඉදිරිපිට වාඩි වී සිටී.
成效	ප්‍රතිඵලය	නව කළමනාකරණ ක්‍රමය ඉක්මනින් ප්‍රතිඵල පෙන්වීය.
成心	සිතාමතා	ඔහු ඔබව අපහසුතාවට පත් කළේ සිතාමතා නොවේ.
成员	සාමාජිකයා	සෑම සාමාජිකයෙකුම රැස්වීමට සහභාගි විය යුතුය.
承办	භාරගෙන සංවිධානය කිරීම	මෙම සමාගම ප්‍රදර්ශනය භාරගෙන සංවිධානය කළේය.
承包	කොන්ත්‍රාත්තුව භාර ගැනීම	ඔවුන් මෙම ඉදිකිරීමේ කොන්ත්‍රාත්තුව භාර ගත්හ.
承诺	පොරොන්දු වීම	ඔහු කාර්යය නියමිත වේලාවට අවසන් කිරීමට පොරොන්දු විය.
橙	දොඩම්	මම නැවුම් දොඩම් ගෙඩි කිහිපයක් මිලදී ගත්තෙමි.
澄清	පැහැදිලි කිරීම	කළමනාකරු වැරදි වැටහීම පැහැදිලි කිරීමට පැමිණියේය.
盛	බෙදා දීම	ඇය අමුත්තන්ට සුප් බඳුනක් බෙදා දුන්නාය.
诚挚	අවංක	කරුණාකර මගේ අවංක ස්තුතිය පිළිගන්න.
秤	තරාදිය	මෙම තරාදිය එතරම් නිවැරදි නොවේ.
吃苦	දුෂ්කරතා විඳීම	තරුණයන් දුෂ්කරතා විඳීමට ඉගෙන ගත යුතුය.
吃力	වෙහෙසකර	මෙම පෙට්ටිය ගෙන යාම ඉතා වෙහෙසකරය.
持久	දිගුකාලීන	සාර්ථකත්වයට දිගුකාලීන උත්සාහයක් අවශ්‍ය වේ.
迟钝	මන්දගාමී	ඔහුගේ ප්‍රතිචාර මෑතකදී තරමක් මන්දගාමී වී ඇත.
迟缓	ප්‍රමාද වූ	වැස්සෙන් පසු ගමනාගමනය ප්‍රමාද විය.
迟疑	දෙගිඩියාව	ඇය පිළිතුරු දීමට පෙර මොහොතක් දෙගිඩියාවෙන් සිටියාය.
赤道	විෂුව රේඛාව	විෂුව රේඛාව අසල වසර පුරාම උණුසුම් ය.
赤字	හිඟය	සමාගමට මේ වසරේ හිඟයක් ඇති විය.
充当	ලෙස කටයුතු කිරීම	ඔහු ව්‍යාපෘතියේ සම්බන්ධීකාරක ලෙස කටයුතු කළේය.
充沛	බහුල	දරුවන්ගේ ශක්තිය ඉතා බහුලය.
充实	සාරවත්	මෙම අත්දැකීම මගේ ජීවිතය තවත් සාරවත් කළේය.
充足	ප්‍රමාණවත්	ගමනට පෙර ප්‍රමාණවත් ජලය සූදානම් කළ යුතුය.
冲动	ආවේගය	තාවකාලික ආවේගයක් නිසා තීරණයක් නොගන්න.
冲击	බලපෑම	නව තාක්ෂණය සාම්ප්‍රදායික කර්මාන්තයට බලපෑමක් කළේය.
冲突	ගැටුම	දෙපාර්ශ්වය ගැටුමක් වළක්වා ගැනීමට උත්සාහ කළහ.
崇拜	අතිශය ගෞරව කිරීම	බොහෝ තරුණයන් මෙම විද්‍යාඥයාට අතිශය ගෞරව කරති.
崇高	උතුම්	වෛද්‍යවරයාගේ වගකීම උතුම් එකකි.
崇敬	ගෞරව කිරීම	සිසුන් සියලුදෙනාම මෙම ගුරුවරයාට ගෞරව කරති.
重叠	එකිනෙක මත වැටීම	මෙම කාර්යයන් දෙකේ කොටසක් එකිනෙක මත වැටේ.
稠密	ඝන	මෙහි ජනගහනය ඉතා ඝනය.
筹备	සූදානම් කිරීම	ඔවුන් විවාහ උත්සවය සූදානම් කරමින් සිටිති.
丑恶	නීච	ඔහු සිද්ධිය පිටුපස තිබූ නීච සත්‍යය හෙළි කළේය.
出路	පිටවීමේ මඟ	අධ්‍යාපනය තරුණයන්ට වැඩි පිටවීමේ මඟ සපයයි.
出卖	පාවා දීම	ඔහු මිතුරන් පාවා නොදෙයි.
出身	පවුල් පසුබිම	ඔහු සාමාන්‍ය පවුල් පසුබිමකින් පැමිණියේය.
出神	මග්න වීම	ඇය සංගීතයට සවන් දී මග්න වී සිටියාය.
出息	අනාගත සාර්ථකත්වය	මෙම දරුවාට අනාගතයේ සාර්ථකත්වයක් ලැබෙනු ඇත.
初步	මූලික	අපි දැනටමත් මූලික එකඟතාවකට පැමිණ ඇත.
除	හැර	ඔහු හැර අන් සියලුදෙනා පැමිණ සිටියහ.
储备	සංචිත කිරීම	සමාගමට තවත් මුදල් සංචිත කළ යුතුය.
储存	ගබඩා කිරීම	මෙම දත්ත ස්වයංක්‍රීයව ගබඩා කෙරේ.
储蓄	ඉතිරි කිරීම	ඔහු සෑම මාසයකම වැටුපෙන් කොටසක් ඉතිරි කරයි.
处分	විනය දඬුවම	පාසල ඔහුට බරපතළ විනය දඬුවමක් ලබා දුන්නේය.
处境	තත්ත්වය	ඔවුන්ගේ වර්තමාන තත්ත්වය ඉතා දුෂ්කරය.
处置	නිසි ලෙස කළමනාකරණය කිරීම	මෙම පැරණි උපකරණ නිසි ලෙස කළමනාකරණය කළ යුතුය.
触犯	උල්ලංඝනය කිරීම	එසේ කිරීම නීතිය උල්ලංඝනය කරනු ඇත.
川流不息	නොනවත්වා ගලා යාම	වීදියේ වාහන නොනවත්වා ගලා යයි.
穿越	හරහා ගමන් කිරීම	දුම්රිය දිගු උමග හරහා ගමන් කළේය.
传达	දන්වා යැවීම	කරුණාකර මෙම පණිවිඩය සියලුදෙනාට දන්වා යවන්න.
传单	ප්‍රචාරක පත්‍රිකාව	ස්වේච්ඡා සේවකයෝ වීදියේ ප්‍රචාරක පත්‍රිකා බෙදා දුන්හ.
