simplified	HI	example_HI	BN	example_BN	TL	example_TL
方法	तरीका; उपाय	हम समस्या सुलझाने का तरीका ज़रूर ढूँढ लेंगे।	পদ্ধতি; উপায়	আমরা নিশ্চয়ই সমস্যা সমাধানের উপায় খুঁজে পাব।	paraan; pamamaraan	Tiyak na makakahanap tayo ng paraan para malutas ang problema.
方面	पहलू; क्षेत्र	पापा को इतिहास से संबंधित किताबें पढ़ना पसंद है।	দিক; ক্ষেত্র	বাবা ইতিহাস-সংক্রান্ত বই পড়তে পছন্দ করেন।	aspeto; larangan	Mahilig magbasa si Papa ng mga aklat tungkol sa kasaysayan.
方向	दिशा; रास्ता	क्या यही दिशा है? मुझे लगता है हम रास्ता भटक गए हैं।	দিক; দিশা	এটাই কি দিক? আমার মনে হয় আমরা পথ হারিয়েছি।	direksiyon; patutunguhan	Ito ba ang direksiyon? Pakiramdam ko naliligaw tayo.
房东	मकान मालिक	मेरा मकान मालिक बहुत मिलनसार है और अक्सर मेरी मदद करता है।	বাড়িওয়ালা; বাড়ির মালিক	আমার বাড়িওয়ালা খুব বন্ধুসুলভ এবং প্রায়ই আমাকে সাহায্য করেন।	may-ari ng inuupahan; kasero	Mabait ang kasero ko at madalas niya akong tinutulungan.
放弃	छोड़ देना; त्यागना	मैंने विदेश में पढ़ाई का मौका छोड़ दिया।	ছেড়ে দেওয়া; ত্যাগ করা	আমি বিদেশে পড়ার সুযোগ ছেড়ে দিয়েছি।	sumuko; bitawan	Binitawan ko ang pagkakataong mag-aral sa ibang bansa.
放暑假	गर्मी की छुट्टी होना	कल से गर्मी की छुट्टी शुरू हो जाएगी।	গ্রীষ্মের ছুটি শুরু হওয়া	কাল থেকেই গ্রীষ্মের ছুটি শুরু হবে।	magbakasyon sa tag-init	Magsisimula na ang bakasyon sa tag-init bukas.
放松	आराम करना; ढीला करना	परीक्षा खत्म हो गई है, हमें थोड़ा आराम करना चाहिए।	আরাম করা; শিথিল করা	পরীক্ষা শেষ হয়েছে, আমাদের একটু আরাম করা দরকার।	magpahinga; lumuwag ang pakiramdam	Tapos na ang pagsusulit, kailangan nating magpahinga.
份	प्रति; हिस्सा; दस्तावेज़ों का गणक	कृपया मेरे लिए एक फ़ैक्स भेज दीजिए।	কপি; অংশ; দলিলের গণক	দয়া করে আমার জন্য একটি ফ্যাক্স পাঠান।	pangbilang sa dokumento at bahagi	Pakipadalhan ako ng isang faks.
丰富	समृद्ध; भरपूर	पढ़ना हमारे जीवन को समृद्ध कर सकता है।	সমৃদ্ধ; প্রচুর	বই পড়া আমাদের জীবনকে সমৃদ্ধ করতে পারে।	mayaman; sagana	Maaaring pagyamanin ng pagbabasa ang buhay natin.
否则	नहीं तो; वरना	हम अभी निकलते हैं, वरना देर हो जाएगी।	নইলে; অন্যথায়	চলো এখনই রওনা দিই, নইলে দেরি হবে।	kung hindi; kung hindi man	Umalis na tayo ngayon, kung hindi ay mahuhuli tayo.
符合	मेल खाना; शर्त पूरी करना	वह हमारी भर्ती शर्तों पर बहुत अच्छी तरह खरी उतरती है।	মিল হওয়া; শর্ত পূরণ করা	সে আমাদের নিয়োগের শর্ত খুব ভালোভাবে পূরণ করে।	tumugma; umabot sa pamantayan	Akma siya sa mga kondisyon namin sa pagkuha ng empleyado.
付款	भुगतान करना; भुगतान	खरीदारी का भुगतान ऑनलाइन किया जा सकता है।	মূল্য পরিশোধ করা; পেমেন্ট	কেনাকাটার দাম অনলাইনে পরিশোধ করা যায়।	magbayad; bayad	Maaaring magbayad sa internet kapag namimili.
复印	फ़ोटोकॉपी करना; प्रतिलिपि बनाना	कृपया इस सामग्री की दो और प्रतियाँ बना दें।	ফটোকপি করা; অনুলিপি করা	এই কাগজপত্রের আরও দুই কপি ফটোকপি করুন।	kopyahin; magpakopya	Pakikopya pa ng dalawang sipi ang materyal na ito.
复杂	जटिल; पेचीदा	यह एक जटिल तकनीकी समस्या है।	জটিল; কঠিন	এটি একটি জটিল প্রযুক্তিগত সমস্যা।	masalimuot; komplikado	Isang masalimuot na teknikal na problema ito.
富	धनी; समृद्ध	लोगों का जीवन दिन-ब-दिन अधिक समृद्ध हो रहा है।	ধনী; সমৃদ্ধ	মানুষের জীবন ক্রমশ সমৃদ্ধ হচ্ছে।	mayaman; masagana	Paunti-unting gumiginhawa ang buhay ng mga tao.
父亲	पिता	मेरे पिता इस साल तिरासी साल के हो गए हैं।	পিতা; বাবা	আমার বাবা এ বছর তিরাশি বছর বয়সী।	ama	Walumpu't tatlong taong gulang na ang ama ko ngayong taon.
