simplified	SV	example_SV
虚荣	fåfänga	Fåfänga fick honom att spendera för mycket pengar
虚伪	hycklande	Hon ogillar hycklande artighet
需求	efterfrågan	Efterfrågan på marknaden ökar
须知	anvisningar	Läs först registreringsanvisningarna
许可	tillstånd	Du kan inte gå in utan tillstånd
序言	förord	Författaren förklarar bakgrunden i förordet
畜牧	boskapsskötsel	Gräsmarken passar för att utveckla boskapsskötsel
酗酒	alkoholmissbruk	Långvarigt alkoholmissbruk skadar hälsan
喧哗	föra oväsen	Det är förbjudet att föra oväsen på biblioteket
宣誓	avlägga ed	Nya medlemmar avlade ed på mötet
宣扬	framhäva	Skolan framhäver ärlighet och trovärdighet
悬挂	hänga	En målning hänger på väggen
悬念	spänning	Filmens slut lämnar kvar spänning
悬殊	stor skillnad	Skillnaden i styrka mellan de två lagen är enorm
悬崖峭壁	brant klippa	Bredvid bergsvägen finns branta klippor
旋律	melodi	Den här sången har en vacker melodi
旋转	snurra	Väderkvarnen snurrar i vinden
选拔	välja ut	Skolan väljer ut idrottare
选举	val	Byn höll ett val
选手	tävlande	Den här tävlande presterade stabilt
炫耀	skryta	Han tycker alltid om att skryta med sin rikedom
削	skära ner	Företaget skar ner vissa utgifter
削弱	försvaga	Trötthet försvagar omdömet
学说	teori	Den här teorin har stort inflytande
学位	examen	Hon tog en masterexamen
雪上加霜	förvärra saken	Att förlora jobbet och sedan bli sjuk förvärrade verkligen saken
血压	blodtryck	Läkaren påminde honom om att kontrollera blodtrycket
熏陶	påverkas	Hon påverkades av musik från barndomen
寻觅	leta efter	De letade överallt efter lämplig bostad
巡逻	patrullera	Polisen patrullerar gatorna på natten
循环	cirkulera	Vatten cirkulerar i systemet
循序渐进	steg för steg	Språkinlärning bör gå framåt steg för steg
压迫	förtrycka	Det gamla systemet förtryckte vanliga människor
压岁钱	nyårspengar	Barnet fick nyårspengar
压缩	komprimera	Programvaran kan komprimera bildstorleken
压抑	undertrycka	Han försökte hårt undertrycka sin inre ilska
压榨	pressa	Maskinen pressar sockerrörssaft
压制	dämpa	Medicin kan dämpa smärta
鸦雀无声	knäpptyst	Efter att läraren kom in blev klassrummet knäpptyst
亚军	andraplats	Hon tog andraplatsen i tävlingen
淹没	översvämma	Floden översvämmade den lågt belägna byn
烟花爆竹	fyrverkerier	Fyrverkerier är förbjudna under högtiden
严峻	allvarlig	Sysselsättningsläget är fortfarande allvarligt
严寒	sträng kyla	Sträng kyla påverkar trafiken
严禁	strängt förbjudet	Rökning är strängt förbjuden här
严厉	sträng	Läraren kritiserade honom strängt
严密	strikt	Lagret har strikt övervakning
岩石	bergsten	Bergstenarna vid havet är mycket hårda
延期	skjuta upp	Mötet sköts upp till nästa vecka
延伸	sträcka sig	Vägen sträcker sig norrut
延续	fortsätta	Den här traditionen har fortsatt i hundra år
沿海	kustnära	Kustnära städer har utvecklat handel
炎热	het	Det heta vädret gör människor trötta
言论	uttalanden	Allmänheten uppmärksammar hans uttalanden
掩盖	dölja	Han försökte dölja misstaget
掩护	täcka	Lagkamraterna ansvarade för att täcka reträtten
掩饰	dölja	Hon försökte hårt dölja sin nervositet
演变	utvecklas	Stadens layout fortsätter att utvecklas
演习	övning	Skolan höll en brandövning
演绎	härleda	Läraren härledde den här satsen
演奏	framföra	Bandet framför klassisk musik
眼光	omdöme	Han har gott omdöme för investeringar
眼色	en blick	Hon gav sin kollega en blick
眼神	blick	Hans blick såg mycket beslutsam ut
厌恶	avsky	Han avskyr bedrägligt beteende
验收	besiktning	Projektet behöver besiktning efter färdigställandet
验证	bekräfta	Experimentet bekräftade hypotesen
氧气	syre	Patienten behöver andas syre
样品	prov	Kunden fick produktprover
摇摆	gunga	Den lilla båten gungade i vinden och vågorna
摇滚	rockmusik	Unga människor tycker om rockmusik
谣言	rykte	Sprid inte obekräftade rykten
遥控	fjärrstyra	Han använde mobilen för att fjärrstyra luftkonditioneringen
遥远	avlägsen	Den där byn ligger långt från staden
耀眼	bländande	Solljuset var bländande
要点	huvudpunkt	Anteckna mötets huvudpunkter
要命	livsfarlig	Den här bergsvägen är livsfarlig
要素	faktor	Förtroende är en viktig faktor i samarbete
野蛮	brutal	Han motsätter sig brutal brottsbekämpning
野心	ambition	Hans politiska ambition är tydlig
液体	vätska	Den här vätskan har ingen färg
一流	förstklassig	Det här sjukhuset har förstklassig utrustning
一如既往	som alltid	Han stöder oss som alltid
依旧	fortfarande	Regnet upphörde, men gatan var fortfarande våt
依据	grund	Domen måste ha lagen som grund
依靠	förlita sig på	De förlitar sig på jordbruk för sin försörjning
依赖	bero på	Barn bör inte bero för mycket på sina föräldrar
依托	bygga på	Projektet utvecklas genom att bygga på lokala resurser
衣裳	kläder	Hon bytte till rena kläder
一度	en gång	Företaget stod en gång inför konkurs
一贯	konsekvent	Han har konsekvent motsatt sig slöseri
一目了然	tydlig vid första anblicken	Tabellens innehåll är tydligt vid första anblicken
一向	alltid	Hon har alltid varit punktlig
仪器	apparat	Laboratoriet köpte nya apparater
仪式	ceremoni	Examensceremonin hålls i morgon
疑惑	förbryllad	Studenten kände sig förbryllad över svaret
遗产	kulturarv	Den här gamla staden är ett kulturarv
遗传	ärftlig	Den här sjukdomen kan vara ärftlig
遗留	efterlämnad	Problem som historien lämnat efter sig behöver lösas
遗失	tappa bort	Resenären tappade bort passet
以便	så att	Lämna ett telefonnummer så att vi kan kontakta dig
以免	för att undvika	Gå tidigare för att undvika att komma sent
以往	tidigare	Tidigare erfarenhet är värd att rådfråga
以至	ända till	Omfattningen utvidgades till samhället och ända till hela staden
以致	leda till	Det kraftiga regnet fortsatte och ledde till att vägar stängdes
一帆风顺	gå smidigt	Att starta företag kan inte alltid gå smidigt
一举两得	två mål på en gång	Att cykla till arbetet kan uppnå två mål på en gång
一丝不苟	noggrann	Ingenjören kontrollerade ledningarna noggrant
亦	också	Han gick också med på den här planen
异常	onormal	En onormal situation uppstod i systemet
意料	förvänta sig	Resultatet var helt oväntat
意识	medvetenhet	Han blev gradvis medveten om att problemet var allvarligt
意图	avsikt	Polisen genomskådade hans avsikt
意味着	betyda	Tystnad betyder inte samtycke
意向	vilja	Båda sidor uttryckte vilja att samarbeta
意志	vilja	Svårigheter prövar en människas vilja
毅力	uthållighet	Framgång kräver långsiktig uthållighet
毅然	beslutsamt	Hon lämnade företaget beslutsamt
翼	vinge	Flygplanets vinge inspekterades
阴谋	en konspiration	De avslöjade konspirationen
音响	ljudanläggning	Vardagsrummet har en bra ljudanläggning
引导	vägleda	Läraren vägledde eleverna att tänka
引擎	motor	Bilens motor stannade plötsligt
引用	citera	Uppsatsen citerade en stor mängd material
隐蔽	gömma	Soldaterna gömde sig i skogen
隐患	dold risk	Gamla ledningar innebär dolda säkerhetsrisker
隐瞒	hemlighålla	Han hemlighöll inte sanningen
隐私	integritet	Företaget måste skydda användarnas integritet
隐约	svagt	Sång hördes svagt på avstånd
饮食	kost	En hälsosam kost hjälper återhämtningen
婴儿	spädbarn	Spädbarnet sover tyst
英明	klok	Ledaren fattade ett klokt beslut
英勇	modigt	Brandmannen räddade barnet modigt
盈利	gå med vinst	Företaget började gå med vinst i år
迎面	rakt emot	En kall vind blåste rakt emot oss
应酬	sociala åtaganden	Han har många sociala åtaganden i kväll
应邀	på inbjudan	Experten deltog i forumet på inbjudan
庸俗	vulgär	Innehållet i den här annonsen är vulgärt
拥护	stödja	Alla stöder den nya politiken
拥有	ha	Han har rik erfarenhet
勇于	våga	Unga människor bör våga försöka
永恒	evig	Kärlek är inte evigt oföränderlig
涌现	dyka upp	Utmärkta lärare dyker upp överallt
踊跃	ivrigt	Invånarna anmälde sig ivrigt till aktiviteten
用户	användare	Användare kan ändra sina lösenord
优胜劣汰	de starkaste överlever	Marknadskonkurrens speglar att de starkaste överlever
优先	prioritet	Äldre personer kan få prioritet i servicen
优异	utmärkt	Hon uppnådde utmärkta resultat
优越	överlägsen	Den här platsen har ett överlägset läge
忧郁	melankolisk	Hans uttryck såg melankoliskt ut
油腻	fet	Den här rätten är för fet
油漆	måla	Arbetarna målar dörren
犹如	som	Sjöytan är som en spegel
有条不紊	metodiskt	Mötet fortskred metodiskt
幼稚	naiv	Den här idén är lite naiv
诱惑	frestelse	Annonsen är full av konsumtionsfrestelser
愚蠢	dum	Det här beslutet är oerhört dumt
愚昧	okunnig	Okunniga idéer hindrar framsteg
渔民	fiskare	Fiskare går ut till havs i gryningen för att fiska
舆论	allmän opinion	Allmän opinion har stor påverkan på fallet
与日俱增	öka dag för dag	Antalet turister ökar dag för dag
宇宙	världsalltet	Människan fortsätter att utforska världsalltet
羽绒服	dunjacka	Du behöver bära dunjacka på vintern
寓言	fabel	Den här fabeln är mycket lärorik
愈	bli bättre	Tillståndet blir bättre och bättre
欲望	begär	Han kontrollerade sitt begär att shoppa
熨	stryka	Hon strök skjortan slät
玉	nephrit	Den här biten nephrit har en varm färg
预料	förväntning	Händelseutvecklingen överträffade förväntningarna
预期	förväntat	Försäljningen låg under det förväntade
预算	kostnadsram	Projektets kostnadsram behöver justeras
预先	i förväg	Förbered materialet i förväg
预言	förutsägelse	Hans förutsägelse slog inte in
预兆	varningstecken	Smärta kan vara ett varningstecken på sjukdom
冤枉	göra orätt mot	Gör inte orätt mot en oskyldig person
元首	statschef	De två ländernas statschefer höll samtal
元素	grundämne	Syre är ett kemiskt grundämne
元宵节	lyktfestivalen	Under lyktfestivalen tittar människor på lyktor
原告	kärande	Käranden lämnade in ny bevisning
原理	princip	Läraren förklarade maskinens princip
原始	ursprunglig	De behöll de ursprungliga dokumenten
原先	ursprungligen	Den ursprungliga planen har redan ändrats
园林	trädgårdsanläggning	Suzhous trädgårdsanläggningar är mycket berömda
圆满	fullständig	Mötet blev en fullständig framgång
源泉	källa	Praktik är kunskapens källa
缘故	orsak	Han sade upp sig av hälsoskäl
约束	begränsa	Systemet begränsar de anställdas beteende
乐谱	notblad	Hon läste notbladet noggrant
岳母	svärmor	Han gick och besökte sin svärmor på helgen
孕育	nära	Jorden när nytt liv
蕴藏	innehålla	Bergsområdet innehåller rika mineraltillgångar
运算	beräkning	Eleverna övar matematiska beräkningar
运行	köra	Systemet kör stabilt
酝酿	överväga	Båda sidor överväger en ny plan
杂技	akrobatik	Barn tycker om att titta på akrobatik
杂交	hybrid	Forskare studerar hybridris
砸	krossas	Koppen krossades mot golvet och gick sönder
咋	varför	Varför har du fortfarande inte kommit tillbaka
栽培	odla	Trädgårdsmästaren odlade många blommor
灾难	katastrof	Staden började återuppbygga efter katastrofen
宰	slaktar	Byborna slaktar får under högtiden
再接再厉	fortsätta anstränga sig	Efter att ha vunnit priset fortsatte laget att anstränga sig
在意	bry sig om	Hon bryr sig mycket om andras åsikter
攒	spara	Han sparar pengar för att köpa en dator
暂且	tills vidare	Lägg den här frågan åt sidan tills vidare
赞叹	beundra	Publiken beundrade skådespelarens prestation
赞助	sponsra	Företaget sponsrade den här tävlingen
糟蹋	slösa bort	Slösa inte bort den här färska maten
遭受	drabbas	Jordbruksmarken drabbades av svår torka
遭殃	råka illa ut	När bron rasade råkade de närboende illa ut
遭遇	råka ut för	De råkade ut för en snöstorm på vägen
噪音	buller	Byggbullret påverkar vilan
造型	formgivning	Den här bilmodellens formgivning är mycket särpräglad
责怪	klandra	Klandra inte barnet blint
贼	tjuv	Polisen grep den där tjuven
增添	tillföra	Färska blommor tillför färg till rummet
赠送	ge bort	Butiken ger bort små gåvor
扎	sticka	Sjuksköterskan stack honom med sprutan
扎实	solid	Hans grammatikgrund är solid
渣	sump	Kaffesump fanns kvar på botten av koppen
眨	blinka	Hon blinkade med ögonen
诈骗	bedrägeri	Polisen löste ett fall av telefonbedrägeri
摘要	sammandrag	Uppsatsens sammandrag är tydligt skrivet
债券	obligation	Investerare köper statsobligationer
沾光	dra nytta av	Jag drog också nytta av min vän
瞻仰	hedra	Turisterna hedrar hjältarnas monument
展示	visa	Företaget visade sin nyaste produkt
展望	se framåt	Rapporten ser framåt mot framtida trender
展现	skildra	Verket skildrar livet på landsbygden
崭新	splitterny	Han köpte en splitterny cykel
斩钉截铁	bestämt	Hon vägrade bestämt
占据	ta upp	Annonsen tog upp hela sidan
占领	ockupera	Armén ockuperade bergspasset
战斗	strid	Striden varade i tre timmar
战略	strategi	Företaget justerade sin utvecklingsstrategi
战术	taktik	Tränaren ändrade matchtaktiken
战役	fälttåg	Det här fälttåget förändrade situationen
章程	stadgar	Föreningen antog nya stadgar
帐篷	tält	De slog upp tält vid sjön
障碍	hinder	Språkhinder påverkar kommunikation
招标	bjuda in anbud	Byggprojektet bjöd in offentliga anbud
招收	rekrytera	Skolan rekryterar nya elever i år
朝气蓬勃	energisk	Det unga laget är fullt av energi
着迷	fascinerad	Barnet är fascinerat av astronomi
沼泽	sumpmark	Expeditionen korsade sumpmarken
照样	som vanligt	Det regnade, men träningen fortsatte som vanligt
照耀	lysa	Solljuset lyser över torget
折腾	krångla	Sluta krångla med den här gamla datorn
遮挡	blockera	Grenarna blockerade fönstret
折	vika	Han vek pappret till ett flygplan
折磨	plåga	Långvarig sömnlöshet plågar henne
侦探	detektiv	Detektiven hittade en viktig ledtråd
斟酌	överväga	Överväg formuleringen noggrant
珍贵	värdefull	Dessa foton är mycket värdefulla
珍稀	sällsynt	Skydda sällsynta vilda djur
珍珠	pärla	Hon bär pärlörhängen
真理	sanning	Praktik prövar sanningen
真相	faktiska omständigheter	Reportern försökte hårt ta reda på de faktiska omständigheterna
真挚	uppriktig	Hon uttryckte ett uppriktigt tack
枕头	kudde	Den här kudden är för hög
振奋	lyfta moralen	De goda nyheterna lyfte allas moral
振兴	revitalisering	Regeringen främjar landsbygdens revitalisering
镇定	lugn	Han förblev lugn i nödsituationen
镇静	behålla lugnet	Sjuksköterskan sade åt patienten att behålla lugnet
阵地	ställning	Soldaterna höll ställningen
阵容	uppställning	Laget tillkännagav startuppställningen
震撼	omskakande	Den här filmen är oerhört omskakande
震惊	chocka	Nyheten chockade hela landet
争端	tvist	Båda sidor försökte lösa gränstvisten
争夺	konkurrera om	De två företagen konkurrerar om marknadsandelar
争气	göra familjen stolt	Han studerar hårt för att göra familjen stolt
争先恐后	trängas för att komma först	Turisterna trängdes för att komma först på bussen
争议	kontrovers	Det här beslutet orsakade kontrovers
征服	besegra	Klättraren besegrade toppen
征收	ta ut	Regeringen tar ut skatter enligt lag
挣扎	kämpa	Fågeln kämpade i nätet
正月	första månaden i månkalendern	Släktingar besöker varandra under första månaden i månkalendern
蒸发	avdunsta	Fukten avdunstade snabbt
整顿	omorganisera	Företaget började omorganisera sin ledning
政策	politik	Den nya politiken stöder småföretag
政权	regim	Kriget förändrade den lokala regimen
正当	berättigad	Han framförde en berättigad begäran
正负	plus och minus	Instrumentet visar plus- och minusfel
正规	reguljär	Barnet började i en reguljär skola
正经	allvarligt	Han började till slut tala allvarligt
正气	rättfärdighet	Samhället behöver främja rättfärdighet
正义	rättvisa	Advokaten försvarade rättvisan
正宗	äkta	Den här restaurangen säljer äkta Sichuanmat
症状	symtom	Feber är ett vanligt symtom
证实	bekräfta	Utredningen bekräftade hans uttalande
证书	intyg	Hon fick ett yrkesintyg
郑重	högtidlig	Han lovade högtidligt att ta ansvar
之际	när	När vårfesten närmar sig är alla upptagna
支撑	stödja	Pelarna stöder taket
支出	utgifter	Hushållsutgifterna har ökat märkbart
支流	biflod	Den här floden är en biflod till Yangtze
支配	styra	Känslor bör inte styra omdömet
支援	ge stöd	Läkare från många platser kom för att ge stöd
支柱	pelare	Tillverkningsindustrin är en pelare i den lokala ekonomin
枝	gren	Hon bröt av en blomgren
知觉	medvetande	Den skadade personen återfick gradvis medvetandet
知足常乐	nöjdhet ger lycka	Den gamle säger ofta att nöjdhet ger lycka
脂肪	fett	Nötter innehåller hälsosamma fetter
侄子	brorson	Min brorson började grundskolan i år
值班	ha jour	Sjuksköterskan har jour i kväll
执行	verkställa	Domstolen verkställde domen
执着	ihärdig	Han är mycket ihärdig kring sina ideal
殖民地	koloni	Den här ön var en gång en koloni
直播	direktsändning	Matchen direktsänds på nätet i kväll
直径	tvärmått	Den här cirkelns tvärmått är tio centimeter
职能	funktion	Avdelningens funktioner behöver fördelas om
职位	tjänst	Hon sökte en chefstjänst
职务	befattning	Hans befattning är projektledare
指标	mål	Försäljningsmålet har redan uppnåtts
指定	utse	Läraren utsåg honom att svara på frågan
指甲	nagel	Hon klippte naglarna korta
指令	kommando	Datorn tog emot ett nytt kommando
指南针	kompass	Klättraren tog med en kompass
指示	instruktioner	Chefen gav tydliga instruktioner
指望	räkna med	Räkna inte med att andra ska göra klart det åt dig
指责	kritisera	Allmänheten kritiserade företaget för att förorena miljön
制裁	sanktion	Det internationella samfundet införde ekonomiska sanktioner
制服	uniform	Vakten bar en mörkblå uniform
制约	begränsa	Otillräcklig finansiering begränsar utvecklingen
制止	stoppa	Polisen stoppade konflikten i tid
志气	ambition	Unga människor bör ha ambition
智力	intellekt	Spel kan träna intellektet
智能	smart	Smarta enheter blir allt vanligare
智商	intelligenskvot	Intelligenskvot kan inte avgöra allt
治安	allmän säkerhet	Den allmänna säkerheten i området har tydligt förbättrats
治理	förvaltning	Regeringen stärkte flodförvaltningen
滞留	fastna	Passagerare fastnade på flygplatsen på grund av kraftig snö
致辞	hålla tal	Rektorn höll tal vid ceremonin
致力	ägna sig åt	Teamet ägnar sig åt teknisk innovation
致使	orsaka	Ledningsmisstag orsakade att projektet försenades
中断	avbryta	Det kraftiga regnet gjorde att kommunikationen avbröts
中立	opartisk	Det landet håller en opartisk hållning
中央	centrum	Fontänen ligger i torgets centrum
忠诚	lojal	De anställda är lojala mot företaget
忠实	trogen	Han är en trogen läsare av den här tidningen
终点	mållinje	Mållinjen ligger precis framför oss
终究	till slut	Problemet kommer att lösas till slut
终身	livslångt	Han bestämde sig för att arbeta med utbildning livet ut
终止	upphöra	Kontraktet upphör i slutet av nästa månad
衷心	uppriktigt	Jag tackar dig uppriktigt för hjälpen
种子	frö	Bönderna sådde nya frön
种族	etnicitet	Lagen förbjuder etnisk diskriminering
肿瘤	tumör	Läkaren hittade en godartad tumör
众所周知	som alla vet	Som alla vet är vatten viktigt
种植	odla	Den här platsen passar för att odla vindruvor
重心	fokus	Arbetets fokus flyttades mot service
周边	omgivning	Trafiken kring skolan är överbelastad
周密	grundlig	De gjorde en grundlig plan
周年	årsdag	Företaget firade sin tioårsdag
周期	cykel	Produktens uppdateringscykel har blivit kortare
周折	komplikation	Att hantera formaliteterna innebar många komplikationer
周转	omsättning	Företaget har svårt med likviditeten
州	en delstat	Han bor i delstaten Kalifornien i USA
粥	gröt	Patienten åt gröt på morgonen
舟	en båt	Den lilla båten närmade sig stranden långsamt
昼夜	dag och natt	Arbetarna reparerade vägen dag och natt
皱纹	rynka	Mormor har många rynkor i ansiktet
株	en planta	Det planterades tre träd på gården
诸位	alla närvarande	Tack allihop för att ni kom i dag
逐年	år för år	Driftskostnaderna stiger år för år
主办	arrangera	Skolan arrangerade konstfestivalen
主导	leda	Marknadens efterfrågan styr produktdesignen
主管	en ansvarig chef	Den ansvariga chefen godkänner budgeten
主流	huvudfåra	Miljötänkande har blivit en del av huvudfåran
主权	suveränitet	Den nationella suveräniteten måste respekteras
主义	ideologi	Han studerar olika politiska ideologier
嘱咐	uppmana	Mamman uppmanade honom flera gånger att ta med paraply
拄	stödja sig på	Den gamle mannen går med stöd av en käpp
住宅	en bostad	Det här området består mest av bostäder
助理	en assistent	Assistenten ordnade mötesmaterialet
助手	en hjälpare	Roboten är en hjälpare i laboratoriet
注射	en injektion	Läkaren gav patienten en injektion
注视	betrakta	Hon betraktade horisonten
注释	en kommentar	Det finns detaljerade kommentarer bredvid texten
注重	betona	Företaget betonar produktkvalitet
著作	ett verk	Det här verket har haft stort inflytande
铸造	gjuta	Fabriken gjuter stora delar
驻扎	stationera	Trupperna är stationerade vid gränsen
拽	dra	Han drog lådan in i rummet
专长	en specialitet	Dataanalys är hennes specialitet
专程	en särskild resa	Han gjorde en särskild resa för att besöka läraren
专利	ett patent	Företaget ansökte om ett nytt patent
专题	ett specialtema	TV-kanalen sände ett program med specialtema om miljöskydd
砖	en tegelsten	Arbetarna tog med en vagn med tegelstenar
转达	framföra	Var snäll och framför mitt tack
转让	överlåta	Han bestämde sig för att överlåta butiken
转移	flytta	Sjuksköterskan flyttade de skadade
转折	en vändpunkt	En viktig vändpunkt uppstod i berättelsen
传记	en biografi	Hon skriver sin fars biografi
庄稼	grödor	Regnet gav näring åt grödorna
庄严	högtidlig	Ceremonin hade en högtidlig stämning
庄重	värdig	Han bar värdiga högtidskläder
装备	utrustning	Laget är utrustat med avancerad utrustning
装卸	lasta och lossa	Hamnarbetarna ansvarar för att lasta och lossa varor
壮观	spektakulär	Vattenfallets landskap är mycket spektakulärt
壮丽	storslagen	Det finns storslagna berg och floder här
壮烈	hjältemodig	Hjälten dog en hjältemodig död
幢	ett hus	Det finns ett gammalt hus vid hörnet
追悼	en minnesstund	Folk deltog i minnesstunden
追究	utreda	Företaget kommer att utreda ansvaret
坠	falla	Löven föll från grenarna
准则	en norm	Ärlighet är en norm för samarbete
卓越	framstående	Hon nådde framstående resultat
琢磨	fundera över	Han funderade över problemet om och om igen
着手	påbörja	Gruppen påbörjar utredningen i morgon
着想	ta hänsyn	Föräldrar tar alltid hänsyn till sina barns behov
着重	lägga tonvikt på	Rapporten lägger tonvikt på kostnadsanalys
姿态	en hållning	Hon behöll en ödmjuk hållning
滋润	fukta	Vårregnet fuktade jorden
滋味	en känsla	Känslan av misslyckande är svår att bära
资本	kapital	Att starta företag kräver visst kapital
资产	tillgångar	Företagets tillgångar fortsätter att växa
资深	erfaren	En erfaren advokat hanterade fallet
资助	ge ekonomiskt stöd	Stiftelsen ger ekonomiskt stöd till fattiga studenter
子弹	en kula	Kulan träffade väggen
自卑	känna sig underlägsen	Han känner sig inte längre underlägsen
自发	spontan	Invånarna städade gatan spontant
自力更生	självförsörjning	Byborna håller fast vid självförsörjning
自满	självgod	Man bör inte bli självgod efter framgång
自主	självständig	Studenter behöver utveckla självständig inlärningsförmåga
宗教	en troslära	Han studerar världens trosläror
宗旨	ett syfte	Organisationens syfte är att tjäna samhället
棕色	brun	Hon köpte bruna läderskor
踪迹	spår	Polisen hittade spår efter den misstänkte
总而言之	kort sagt	Kort sagt är planen genomförbar
总和	en summa	Vinst är skillnaden mellan de totala intäkterna och kostnaderna
纵横	kors och tvärs	Floder löper kors och tvärs över slätten
走廊	en korridor	Barnen ställde sig i kö i korridoren
走漏	läcka	Nyheten får inte läcka ut
走私	smuggla	Tullen beslagtog smuggelvaror
揍	slå	Han blev slagen av flera berusade män
租赁	hyra	Företaget hyrde ett nytt kontor
足以	tillräcklig	Det här beviset är tillräckligt för att förklara problemet
祖父	en farfar	Farfar tycker om att berätta gamla historier
祖国	ett hemland	Han älskar sitt hemland djupt
祖先	en förfader	De vördar sina förfäder
阻碍	hindra	Brist på pengar hindrar projektets framsteg
阻拦	stoppa	Vakten stoppade främlingar från att komma in
阻挠	sätta käppar i hjulet	Någon satte medvetet käppar i hjulet för utredningen
钻研	fördjupa sig i	Hon fördjupar sig i antik litteratur
钻石	en diamant	En diamant sitter i ringen
嘴唇	en läpp	Den kalla vinden spräckte läpparna
罪犯	en brottsling	Polisen grep den förrymda brottslingen
尊严	värdighet	Alla bör ha värdighet
遵循	följa	Läkare följer strikta normer
作弊	fuska	Fusk på prov kommer att bestraffas
作废	bli ogiltig	Den gamla biljetten är redan ogiltig
作风	en arbetsstil	Ledarens arbetsstil är praktisk
作息	arbete och vila	Regelbundna tider för arbete och vila gynnar hälsan
做主	bestämma	Du får bestämma i den här frågan
座右铭	ett motto	Hans motto är att aldrig ge upp
