simplified	IS	example_IS
思念	sakna	Hún saknar oft heimabæjar síns.
思索	íhuga	Hann laut höfði og íhugaði málið lengi.
思维	hugsun	Þessi þjálfun getur bætt rökhugsun.
斯文	fágaður	Hann talar á fágaðan og mildan hátt.
私自	leyfislaust	Nemendur mega ekki yfirgefa skólann leyfislaust.
死亡	dauði	Slysið olli dauða nokkurra manna.
四肢	útlimir	Fyrir æfingu þarf að hreyfa útlimina.
寺庙	musteri	Á fjallinu er gamalt musteri.
肆无忌惮	hömlulaus	Hann braut reglurnar hömlulaust.
饲养	ala	Bóndabærinn elur margar mjólkurkýr.
耸	yppa	Hann ypti aðeins öxlum eftir að hafa heyrt þetta.
艘	skip	Þrjú flutningaskip liggja í höfninni.
苏醒	vakna til meðvitundar	Sjúklingurinn vaknaði loksins til meðvitundar.
俗话	orðtak	Orðtakið segir að æfingin skapi meistarann.
塑造	móta	Umhverfið getur mótað persónuleika manns.
素食	grænmetisfæði	Þessi veitingastaður býður upp á grænmetisfæði.
素质	hæfni	Starfsfólkið hefur mikla faglega hæfni.
诉讼	málsókn	Báðir aðilar ákváðu að leysa málið með málsókn.
算数	standa við orð sín	Þú verður að standa við það sem þú sagðir.
随即	samstundis	Eftir fundinn fór hann samstundis.
随意	að vild	Vinsamlegast breyttu ekki stillingunum að vild.
岁月	árin	Árin breyttu útliti hans.
隧道	göng	Lestin fór í gegnum löng göng.
损坏	skemma	Úrhellið skemmdi veginn.
索取	biðja um	Viðskiptavinir geta beðið um sýnishorn ókeypis.
索性	einfaldlega	Rigningin var svo mikil að við fórum einfaldlega ekki út.
塌	hrynja	Þakið á gamla húsinu hrundi.
踏实	rólegur	Eftir að hafa lokið verkefninu var mér rótt.
塔	turn	Í miðborginni er hár turn.
台风	taífúnn	Spáð er að taífúnninn gangi á land á morgun.
太空	geimurinn	Mannkynið hefur alltaf kannað geiminn.
泰斗	fremsti fræðimaður	Hann er fremsti fræðimaður á sviði málvísinda.
摊	bás	Hún setti upp ávaxtabás á markaðnum.
瘫痪	lömun	Umferðarslysið olli lömun í neðri útlimum hans.
贪婪	græðgi	Græðgi getur eyðilagt manneskju.
贪污	spilling	Embættismaðurinn var rannsakaður vegna spillingar.
弹性	teygjanleiki	Þetta efni hefur mikinn teygjanleika.
坦白	játa	Hann játaði loksins sannleikann.
叹气	andvarpa	Þegar hann heyrði niðurstöðuna gat hann ekki annað en andvarpað.
探测	greina	Tækið getur greint grunnvatn.
探索	kanna	Vísindamenn halda áfram að kanna alheiminn.
探讨	ræða	Sérfræðingar ræddu umbótaáætlunina.
探望	heimsækja	Um helgina fór ég á spítalann að heimsækja vin.
倘若	ef	Ef það rignir verður viðburðinum frestað.
掏	taka upp	Hann tók lykilinn upp úr vasanum.
滔滔不绝	tala án afláts	Þegar hann talar um sögu talar hann án afláts.
淘汰	falla úr leik	Þetta lið féll snemma úr leik.
陶瓷	keramik	Jingdezhen er fræg fyrir keramik.
陶醉	heillast	Áhorfendur heilluðust af tónlistinni.
讨好	smjaðra	Hann vill ekki smjaðra vísvitandi fyrir yfirmanninum.
特长	sérhæfni	Málun er hennar sérhæfni.
特定	tiltekinn	Vinsamlegast skilaðu umsókninni innan tiltekins tíma.
特意	sérstaklega	Ég kom sérstaklega til að þakka þér.
提拔	hækka í starfi	Fyrirtækið hækkaði hana í starfi í stöðu deildarstjóra.
提炼	vinna úr	Verksmiðjan vinnur málma úr málmgrýti.
提示	biðja um	Kerfið biður um lykilorð.
提议	leggja til	Hún lagði til að umræðan héldi áfram á morgun.
题材	viðfangsefni	Viðfangsefni þessarar kvikmyndar er ferskt.
体裁	form	Skáldsögur og ljóð eru ólík form.
体积	rúmmál	Þessi kassi hefur mikið rúmmál.
体谅	sýna skilning	Vinsamlegast sýndu erfiðleikum hans skilning.
体面	virðulegur	Hann vill finna virðulega vinnu.
体系	kerfi	Fyrirtækið byggði upp heildstætt þjálfunarkerfi.
天才	snillingur	Þetta barn er talið tónlistarsnillingur.
天赋	meðfædd gáfa	Hún hefur meðfædda gáfu til að læra tungumál.
天伦之乐	fjölskylduhamingja	Gamli maðurinn nýtur fjölskylduhamingju.
天然气	jarðgas	Íbúar borgarinnar nota jarðgas til að elda.
天生	meðfæddur	Hann er meðfæddur bjartsýnismaður.
天堂	paradís	Þessi staður er eins og paradís á jörð.
天文	stjörnufræði	Hann hefur haft áhuga á stjörnufræði frá barnæsku.
田径	frjálsar íþróttir	Skólinn hélt keppni í frjálsum íþróttum.
田野	akur	Akrarnir eru grænir á vorin.
舔	sleikja	Hvolpurinn sleikti hönd eigandans.
挑剔	vandlátur	Hún er mjög vandlát á mat.
条款	ákvæði	Lesa þarf ákvæði samningsins vandlega.
条理	skipulag	Ræða hans var mjög skipulögð.
条约	sáttmáli	Ríkin tvö undirrituðu friðarsáttmála.
调和	samræmast	Þessir tveir litir samræmast vel.
调剂	koma jafnvægi á	Hreyfing getur komið jafnvægi á streituvaldandi líf.
调节	stilla	Loftkæling getur stillt hitastig innandyra.
调解	miðla málum	Starfsfólk hverfisins hjálpaði til við að miðla málum í deilunni.
调料	krydd	Bæta þarf smá kryddi í súpuna.
挑拨	ala á sundrungu	Ekki ala á sundrungu milli samstarfsmanna.
挑衅	ögrun	Þessi ummæli bera skýran svip af ögrun.
跳跃	stökkva	Íþróttamaðurinn stökk þrisvar sinnum í röð.
亭子	skáli	Við vatnið er lítill skáli.
停泊	liggja við akkeri	Fiskibátarnir liggja við akkeri í höfninni.
停顿	hlé	Hann gerði stutt hlé á máli sínu.
停滞	stöðnun	Verkefnið stöðvaðist vegna fjárskorts.
挺拔	beinvaxinn	Fururnar vaxa háar og beinvaxnar.
通货膨胀	verðbólga	Verðbólgan hækkaði framfærslukostnað.
通缉	lýsa eftir	Lögreglan lýsir eftir þessum grunaða manni.
通俗	aðgengilegur	Málið í þessari bók er mjög aðgengilegt.
通讯	fjarskipti	Nútíma fjarskiptatækni þróast hratt.
通用	almennur	Þessi gerð hleðslutækis er fremur almenn.
同胞	landsmaður	Landsmenn erlendis fylgjast líka með þróun heimabæjarins.
同志	félagi	Eldri félaginn deildi starfsreynslu sinni.
童话	ævintýri	Barnið vill gjarnan hlusta á ævintýri fyrir svefn.
铜	kopar	Þessi stytta er úr kopar.
统筹兼顾	samræma heildarhagsmuni	Borgarskipulag þarf að samræma hagsmuni allra aðila.
统计	telja	Við þurfum að telja fjölda skráðra þátttakenda.
统统	allt saman	Öll þessi gömlu skjöl þarf að setja í skjalasafn.
统治	stjórna	Þetta konungsveldi stjórnaði í þrjú hundruð ár.
投机	brask	Hann græddi nokkuð fé með braski.
投票	kosning	Íbúar taka þátt í kosningu á morgun.
投诉	kvörtun	Viðskiptavinurinn lagði fram kvörtun gegn seljandanum á vettvanginum.
投降	gefast upp	Óvinaherinn valdi að lokum að gefast upp.
投掷	kasta	Íþróttamaðurinn æfði að kasta spjóti.
透露	ljóstra upp	Hann ljóstraði ekki upp smáatriðum fundarins.
秃	sköllóttur	Hann varð sköllóttur ungur að árum.
突破	bylting	Rannsóknin náði mikilli byltingu.
图案	mynstur	Mynstrið á þessu efni er mjög fallegt.
徒弟	lærlingur	Meistarinn kennir lærlingnum að gera við úr.
涂抹	bera á	Vinsamlegast berðu smyrslið á svæðið í kringum sárið.
途径	leið	Netið er mikilvæg leið til að afla upplýsinga.
土壤	jarðvegur	Frjósamur jarðvegur hentar vel til grænmetisræktunar.
团结	sameinast	Liðið verður að sameinast og vinna saman.
团体	samtök	Þessi samtök halda reglulega viðburði.
团圆	endurfundir	Vorhátíðin er tími fjölskylduendurfunda.
推测	álykta	Sérfræðingar álykta að verðið muni halda áfram að hækka.
推翻	steypa	Almenningur steypti gamla kerfinu.
推理	rökhugsun	Þessi skáldsaga er full af rökhugsunarfléttum.
推论	ályktun	Þessi ályktun þarf enn stuðning sönnunargagna.
推销	markaðssetja	Hann ber ábyrgð á að markaðssetja nýju vöruna.
吞吞吐吐	hiksta á orðum	Hann hikstaði á orðum þegar hann svaraði spurningunni.
托运	innrita farangur	Farþegar geta innritað farangur við afgreiðsluborðið.
拖延	seinka	Ekki seinka greiðslutímanum lengur.
脱离	slitna frá	Kenningar mega ekki slitna frá raunveruleikanum.
妥当	viðeigandi	Þessi ráðstöfun er mjög viðeigandi.
妥善	örugglega	Vinsamlegast geymdu mikilvæg skjöl örugglega.
妥协	málamiðlun	Aðilarnir náðu að lokum málamiðlun.
椭圆	sporbaugur	Braut jarðar er nálægt sporbaug.
唾弃	fyrirlíta	Samfélagið fyrirlítur svona svik.
哇	vá	Vá, þessi brú er sannarlega stórfengleg.
挖掘	grafa	Fornleifateymið er að grafa upp forna gröf.
娃娃	dúkka	Litla stúlkan heldur á dúkku.
瓦解	leysast upp	Innri ágreiningur lét bandalagið leysast upp.
歪曲	afbaka	Fréttir eiga ekki að afbaka staðreyndir.
外表	útlit	Ekki dæma fólk aðeins eftir útliti.
外行	leikmaður	Ég er algjör leikmaður í lögfræði.
外界	umheimur	Fyrirtækið bregst sjaldan við gagnrýni frá umheiminum.
外向	úthverfur	Hún er úthverf og á marga vini.
丸	pilla	Læknirinn skrifaði upp á nokkrar pillur handa honum.
完备	fullkominn	Þetta gagnasafn er mjög fullkomið.
完毕	lokið	Fundinum er þegar lokið.
玩弄	leika sér að	Ekki leika þér að tilfinningum annarra.
玩意儿	græja	Hvað er þetta fyrir ný græja.
顽固	þrjóskur	Afstaða hans er mjög þrjósk.
顽强	þrautseigur	Sá særði sýndi mikla þrautseigju.
惋惜	sjá eftir	Allir sáu eftir mistökunum.
挽回	endurheimta	Hann lagði sig fram um að endurheimta tap fyrirtækisins.
挽救	bjarga	Læknirinn bjargaði lífi sjúklingsins.
万分	afar	Ég er afar þakklátur fyrir hjálp þína.
往常	venjulega	Í dag er heitara en venjulega.
往事	liðnir atburðir	Gamli maðurinn rifjar oft upp liðna atburði.
妄想	óra	Hann órar um að verða ríkur á einni nóttu.
危机	kreppa	Fyrirtækið stendur frammi fyrir alvarlegri kreppu.
威风	tignarlegur	Hershöfðinginn leit tignarlegur út á hestinum.
威力	máttur	Þetta vopn hefur mikinn mátt.
威望	virðing	Hann nýtur mikillar virðingar í þorpinu.
威信	trúverðugleiki	Leiðtogar verða að viðhalda trúverðugleika stjórnvalda.
微不足道	óverulegur	Þetta litla tap er óverulegt.
微观	örfræðilegur	Þetta námskeið kynnir örhagfræði.
为难	gera erfitt	Ekki gera þjóninum erfitt fyrir lengur.
为期	vara	Þjálfunin varir í þrjá mánuði.
唯独	einn undanskilinn	Allir komu, hann einn var undanskilinn.
维持	viðhalda	Lögreglan viðhélt röð og reglu á staðnum.
维护	vernda	Við verðum að vernda lögmæt réttindi okkar.
维生素	fjörefni	Ávextir innihalda mikið af fjörefnum.
违背	brjóta gegn	Þessi ákvörðun brýtur gegn anda samningsins.
伪造	falsa	Einhver falsaði undirskrift hans.
委托	fela	Skjólstæðingurinn fól lögfræðingi að annast málið.
委员	nefndarmaður	Hver nefndarmaður lýsti skoðun sinni.
卫星	gervihnöttur	Gervihnötturinn fór á fyrirhugaða braut.
喂	fóðra	Barnið er að fóðra kettlinginn.
慰问	sýna samúð	Leiðtogarnir fóru á spítalann til að sýna særðum samúð.
未免	fullmikið	Þessi krafa er fullmikil.
畏惧	óttast	Hann óttast aldrei erfiðleika.
蔚蓝	himinblár	Himinninn varð himinblár.
温带	temprað belti	Þessi planta hentar tempruðu loftslagi.
温和	hófstilltur	Stefna hans er fremur hófstillt.
文凭	prófskírteini	Þetta starf krefst háskólaprófskírteinis.
文物	menningarminjar	Safnið sýndi dýrmætar menningarminjar.
文献	heimildir	Ritgerðin vísaði í mikinn fjölda heimilda.
文雅	fágaður	Hún hegðar sér fágað.
文艺	bókmenntir og listir	Í þessari borg ríkir sterkur andi bókmennta og lista.
问世	koma út	Þetta símalíkan er að koma út.
窝	hreiður	Í trénu er fuglshreiður.
乌黑	kolsvartur	Hún er með sítt kolsvart hár.
污蔑	rægja	Hann neitaði að hafa rægt keppinaut sinn.
诬陷	koma sök á	Sönnunargögnin sýna að sök var komið á hann.
无比	óhemju	Þegar hann heyrði fréttina varð hann óhemju spenntur.
无偿	ókeypis	Sjálfboðaliðar veita ókeypis þjónustu.
无耻	skammarlaus	Slík sviksemi er afar skammarlaus.
无动于衷	skeytingarlaus	Frammi fyrir gagnrýni var hann skeytingarlaus.
无非	ekkert annað en	Hann gerði þetta ekkert annað en til að spara peninga.
无辜	saklaus	Dómstóllinn úrskurðaði að hann væri saklaus.
无精打采	aflvana	Hann lítur aflvana út í dag.
无赖	óþokki	Þorpsbúar vilja ekki hafa samskipti við þann óþokka.
无理取闹	gera vandræði að ástæðulausu	Vinsamlegast ekki gera vandræði að ástæðulausu hér.
无能为力	ráðalaus	Frammi fyrir flóðinu voru þorpsbúarnir ráðalausir.
无穷无尽	endalaus	Eyðimörkin virtist endalaus.
无微不至	af mikilli umhyggju	Hjúkrunarfræðingurinn annaðist sjúklinginn af mikilli umhyggju.
无忧无虑	áhyggjulaus	Börnin léku sér áhyggjulaus á grasinu.
无知	fáfræði	Fáfræði er ekki ástæða til að neita að læra.
侮辱	móðga	Orð hans móðguðu hinn aðilann.
武器	vopn	Þessi vopn eru geymd undir sameiginlegri vörslu.
武侠	bardagakappahefð	Hann hefur frá barnæsku haft gaman af skáldsögum um bardagakappa.
武装	vopnaður	Landamærasvæðið styrkti vopnaðar eftirlitsferðir.
舞蹈	dans	Þessi dans hefur sterkan þjóðlegan svip.
务必	endilega	Vinsamlegast komdu endilega á réttum tíma.
物美价廉	gott og ódýrt	Vörurnar í þessari búð eru góðar og ódýrar.
物业	húsfélagsþjónusta	Húsfélagsþjónustan sér um viðgerðir í hverfinu.
物资	birgðir	Hjálparbirgðirnar eru þegar komnar á hamfarasvæðið.
误差	skekkja	Mælingarniðurstaðan hefur litla skekkju.
误解	misskilningur	Aðilarnir leystu misskilninginn með samskiptum.
夕阳	kvöldsól	Kvöldsólin litaði himininn gullinn.
昔日	fyrri tíðar	Litla þorpið frá fyrri tíð varð að borg.
溪	lækur	Lítill lækur rennur milli fjallanna.
熄灭	slökkva	Vinsamlegast slökktu á kertinu.
牺牲	fórn	Þau færðu fórn til að bjarga öðrum.
膝盖	hné	Hann meiddist á hné.
习俗	siður	Vorhátíðin hefur marga hefðbundna siði.
媳妇	eiginkona	Eiginkona hans vinnur á spítalanum.
袭击	ráðast á	Stormurinn réðst á strandborgina.
喜闻乐见	vinsæll hjá áhorfendum	Þessi þáttur er vinsæll hjá áhorfendum.
喜悦	gleði	Gleðibros birtist á andliti hennar.
系列	röð	Fyrirtækið setti á markað röð nýrra vara.
细菌	baktería	Hár hiti getur drepið bakteríur.
细胞	fruma	Mannslíkaminn er samsettur úr ótal frumum.
细致	nákvæmur	Athugun hennar var mjög nákvæm.
峡谷	gljúfur	Áin rennur í gegnum djúpt gljúfur.
狭隘	þröngsýnn	Þessu þröngsýna viðhorfi þarf að breyta.
狭窄	þröngur	Þessi stígur er mjög þröngur.
霞	kvöldroði	Kvöldroðinn litaði himininn rauðan.
下属	undirmaður	Framkvæmdastjórinn hlustaði vandlega á skoðanir undirmanna.
先进	framsækinn	Verksmiðjan tók upp framsækinn búnað.
先前	fyrri	Fyrri áætlunin hefur þegar breyst.
掀起	kveikja	Þessi bók kveikti mikla umræðu.
纤维	trefjar	Þetta efni inniheldur náttúrulegar trefjar.
鲜明	skýr	Afstaða hans er mjög skýr.
嫌	kvarta yfir	Hún kvartar yfir því að herbergið sé of lítið.
嫌疑	grunur	Þessi maður liggur undir alvarlegum grun.
弦	strengur	Einn strengur á gítarnum slitnaði.
衔接	tengjast	Innihald námskeiðanna tveggja tengist vel.
贤惠	dyggur	Hún er talin dygg og hæf.
闲话	sladur	Ekki tala slúður um aðra á bak við þá.
显著	áberandi	Meðferðaráhrifin eru mjög áberandi.
宪法	stjórnarskrá	Stjórnarskráin tryggir grundvallarréttindi borgara.
现场	vettvangur	Fréttamenn eru þegar komnir á vettvang slyssins.
现成	tilbúinn	Í eldhúsinu er tilbúinn matur.
现状	núverandi staða	Við þurfum að skilja núverandi stöðu greinarinnar.
线索	vísbending	Lögreglan fann nýja vísbendingu.
陷害	koma sök á	Hann fullyrti að einhver hefði komið sök á sig.
陷阱	gildra	Veiðimaðurinn setti upp gildru.
陷入	lenda í	Fyrirtækið lenti í fjárhagserfiðleikum.
馅儿	fylling	Fyllingin í þessu baozi ilmar vel.
乡镇	kaupstaður	Aðstæður í skólum kaupstaða eru að batna.
相差	munur	Hitamunurinn milli staðanna tveggja er tíu gráður.
相等	jafn	Flatarmál þríhyrninganna tveggja er jafnt.
相辅相成	bæta hvort annað upp	Kenning og framkvæmd bæta hvort annað upp.
相应	viðeigandi	Fyrirtækið mun grípa til viðeigandi ráðstafana.
镶嵌	setja í	Í hringinn er settur gimsteinn.
响亮	skær	Röddin í svari hans var skær.
响应	bregðast við	Margir brugðust við umhverfisátakinu.
想方设法	reyna allar leiðir	Þau reyndu allar leiðir til að lækka kostnað.
向导	leiðsögumaður	Staðbundinn leiðsögumaður fór með okkur inn í fjöllin.
向来	ávallt	Hann hefur ávallt lagt áherslu á trúverðugleika.
向往	þrá	Hún þráir rólegt líf.
巷	sund	Margar litlar verslanir hafa opnað í gamla sundinu.
相声	kínverskur gamanleikjadialog	Afi hefur gaman af að hlusta á hefðbundinn kínverskan gamanleikjadialog.
消除	eyða	Samskipti geta eytt misskilningi.
消毒	sótthreinsa	Læknirinn sótthreinsaði sárið.
消防	slökkvistarf	Slökkviliðsmenn komu fljótt á vettvang.
消耗	eyða	Langt ferðalag eyðir mikilli líkamlegri orku.
消灭	útrýma	Starfsmenn eru að útrýma meindýrum.
潇洒	liðlegur	Göngulag hans er mjög liðlegt og stílhreint.
销毁	eyðileggja	Tollurinn eyðilagði fölsuðu vörurnar.
小心翼翼	varlega	Hún opnaði kassann mjög varlega.
效益	afköst	Nýi búnaðurinn jók framleiðsluafköst.
肖像	andlitsmynd	Andlitsmynd hans hangir á veggnum.
协会	samtök	Þessi samtök hjálpa ungum frumkvöðlum.
协商	samráð	Aðilarnir vilja halda áfram samráði.
协调	samræma	Verkefnastjórinn ber ábyrgð á að samræma úrræði.
协议	samningur	Aðilarnir undirrituðu samstarfssamning.
协助	aðstoða	Sjálfboðaliðar aðstoðuðu aldraða við að fara yfir götuna.
携带	hafa með sér	Farþegar mega ekki hafa hættulegan varning með sér.
屑	spænir	Á borðinu eru margir viðarspænir.
泄露	leka	Starfsmenn mega ekki leka upplýsingum um viðskiptavini.
泄气	missa kjarkinn	Ekki missa kjarkinn eftir mistök.
谢绝	afþakka	Hótelið afþakkar mat utan frá.
心得	lærdómur	Hún deildi lærdómi sínum af náminu.
心甘情愿	fúslega	Hann varð fúslega eftir til að hjálpa.
心灵	sál	Tónlistin huggaði sál hennar.
心态	hugarfar	Það er mikilvægt að halda jákvæðu hugarfari.
心疼	finna til með	Móðirin fann til með særða barninu.
心血	erfiði	Þessi bók geymir mikið erfiði höfundarins.
心眼儿	smásmugulegur	Hann er svolítið smásmugulegur.
新陈代谢	efnaskipti	Hreyfing getur örvað efnaskipti.
新郎	brúðgumi	Brúðguminn tók á móti gestum við dyrnar.
新娘	brúður	Brúðurin klæddist hvítum brúðarkjól.
新颖	nýstárlegur	Þessi hönnun er mjög nýstárleg.
欣慰	ánægður	Hún varð ánægð þegar hún sá framfarir barnsins.
欣欣向荣	blómstra	Ferðaþjónustan í bænum blómstrar.
薪水	laun	Laun hans duga til að framfleyta fjölskyldunni.
辛勤	duglegur	Bændur vinna duglega við að rækta uppskeru.
信赖	treysta	Viðskiptavinir treysta þessu fyrirtæki mjög mikið.
信念	sannfæring	Staðföst sannfæring hélt honum uppi.
信仰	trú	Hún virðir ólíka trú.
信誉	orðspor	Fyrirtæki verða að vernda orðspor sitt.
兴高采烈	kátur	Börnin hlupu kát inn í kennslustofuna.
兴隆	blómlegur	Þessi gamla verslun er með blómleg viðskipti.
兴旺	þrífast	Markaðshagkerfið þrífst sífellt betur.
腥	fiskilyktandi	Þessi fiskur er dálítið fiskilyktandi.
刑事	refsimál	Lögreglan rannsakar refsimál.
形态	form	Form plantna breytist með umhverfinu.
行政	stjórnsýsla	Stjórnsýsludeildin afgreiðir umsóknir.
兴致勃勃	af miklum áhuga	Allir ræddu áætlunina af miklum áhuga.
性感	aðlaðandi	Þessi kvöldkjóll virðist mjög aðlaðandi.
性命	líf	Læknirinn bjargaði lífi hans.
性能	afköst	Þessi tölva hefur góð afköst.
凶恶	grimmur	Þessi hundur lítur mjög grimmur út.
凶手	morðingi	Lögreglan náði loksins morðingjanum.
汹涌	ólgandi	Ólgandi öldur börðu ströndina.
胸怀	víðsýni	Hann býr yfir mikilli víðsýni.
胸膛	brjóstkassi	Hermaðurinn rétti úr brjóstkassanum.
雄厚	sterkur	Fyrirtækið hefur sterkan fjárhagsgrunn.
雄伟	tignarlegur	Þessi brú er mjög tignarleg.
修复	gera við	Verkfræðingar eru að gera kerfið við.
修建	reisa	Ríkisstjórnin ætlar að reisa nýjan flugvöll.
修养	siðfágun	Góð siðfágun sést í smáatriðum.
羞耻	skömm	Hann fann til skammar eftir að hafa logið.
嗅觉	lyktarskyn	Lyktarskyn hunda er mjög næmt.
绣	sauma út	Amma kann að sauma út blóm.
虚假	falskur	Vefsíðan birti falskar fréttir.
虚荣	hégómi	Hégómi varð til þess að hann eyddi of miklum peningum.
虚伪	hræsni	Hún kann ekki við hræsnislega kurteisi.
需求	eftirspurn	Eftirspurn á markaði er að aukast.
须知	leiðbeiningar	Vinsamlegast lestu fyrst skráningarleiðbeiningarnar.
许可	leyfi	Án leyfis má ekki fara inn.
序言	formáli	Höfundurinn útskýrir bakgrunninn í formálanum.
畜牧	búfjárrækt	Sléttlendið hentar til að þróa búfjárrækt.
酗酒	ofdrykkja	Langvarandi ofdrykkja skaðar heilsuna.
喧哗	hávaði	Hávaði er bannaður á bókasafninu.
宣誓	sverja eið	Nýir meðlimir sórust eið á fundinum.
宣扬	boða	Skólinn boðar heiðarleika og traust.
悬挂	hangandi	Á veggnum hangir málverk.
悬念	spenna	Endir myndarinnar skilur eftir spennu.
悬殊	mikill munur	Mikill munur er á styrk liðanna tveggja.
悬崖峭壁	klettabelti	Við fjallveginn eru brött klettabelti.
旋律	laglína	Laglína þessa lags er falleg.
旋转	snúast	Vindmyllan snýst í vindinum.
选拔	velja	Skólinn er að velja íþróttamenn.
选举	kosning	Þorpið hélt kosningu.
选手	keppandi	Þessi keppandi sýndi stöðuga frammistöðu.
炫耀	stæra sig	Hann vill alltaf stæra sig af auði sínum.
削	skera niður	Fyrirtækið skar niður nokkur útgjöld.
削弱	veikja	Þreyta getur veikt dómgreind.
学说	kenning	Þessi kenning hefur mikil áhrif.
学位	gráða	Hún hlaut meistaragráðu.
雪上加霜	bæta gráu ofan á svart	Að missa vinnuna og veikjast síðan bætti gráu ofan á svart.
血压	blóðþrýstingur	Læknirinn minnti hann á að stjórna blóðþrýstingnum.
熏陶	móta	Hún var mótuð af tónlist frá barnæsku.
寻觅	leita	Þau leituðu alls staðar að hentugu húsnæði.
巡逻	fara í eftirlit	Lögreglan fer í eftirlit á götum úti á nóttunni.
循环	hringrás	Vatn fer í hringrás í kerfinu.
循序渐进	skref fyrir skref	Tungumálanám ætti að þróast skref fyrir skref.
压迫	kúga	Gamla kerfið kúgaði almenna borgara.
压岁钱	nýárspeningar	Barnið fékk nýárspeninga.
压缩	þjappa	Hugbúnaðurinn getur þjappað myndastærð.
压抑	bæla	Hann reyndi að bæla reiði sína.
压榨	kreista	Vélin er að kreista sykurreyrsafa.
压制	bæla niður	Lyf geta bælt niður sársauka.
鸦雀无声	algjör þögn	Eftir að kennarinn kom inn ríkti algjör þögn í kennslustofunni.
亚军	annað sæti	Hún vann annað sæti í keppninni.
淹没	færa í kaf	Flóðið færði láglenda þorpið í kaf.
烟花爆竹	flugeldar og púðurkerlingar	Á hátíðinni er bannað að skjóta upp flugeldum og púðurkerlingum.
严峻	alvarlegur	Atvinnuástandið er enn alvarlegt.
严寒	biturt frost	Biturt frost hefur áhrif á samgöngur.
严禁	stranglega bannað	Hér er stranglega bannað að reykja.
严厉	strangur	Kennarinn gagnrýndi hann stranglega.
严密	þéttur	Vöruhúsið er með þéttu eftirliti.
岩石	klettur	Klettarnir við sjóinn eru mjög harðir.
延期	fresta	Fundinum var frestað til næstu viku.
延伸	teygja sig	Vegurinn teygir sig norður.
延续	halda áfram	Þessi hefð hefur haldið áfram í hundrað ár.
沿海	strandlægur	Strandlægar borgir hafa þróuð viðskipti.
炎热	heitur	Heitt veður gerir fólk þreytt.
言论	ummæli	Almenningur fylgist með ummælum hans.
掩盖	hylma yfir	Hann reyndi að hylma yfir mistökin.
掩护	veita skjól	Liðsfélagarnir báru ábyrgð á að veita skjól við brottförina.
掩饰	fela	Hún reyndi af krafti að fela taugaveiklun sína.
演变	þróast	Borgarskipulagið þróast stöðugt.
演习	æfing	Skólinn hélt brunaæfingu.
演绎	leiða út	Kennarinn leiddi þessa setningu út.
演奏	leika	Hljómsveitin er að leika klassíska tónlist.
眼光	sjón	Hann hefur góða fjárfestingarsýn.
眼色	augntillit	Hún gaf samstarfsmanni sínum augntillit.
眼神	augnaráð	Augnaráð hans var mjög ákveðið.
厌恶	hata	Hann hatar sviksamlega hegðun.
验收	lokaúttekt	Verkið þarf lokaúttekt eftir verklok.
验证	staðfesta	Tilraunin staðfesti tilgátuna.
氧气	súrefni	Sjúklingurinn þarf að anda að sér súrefni.
样品	sýnishorn	Viðskiptavinurinn fékk sýnishorn af vörunni.
摇摆	vagga	Litli báturinn vaggaði í vindi og öldum.
摇滚	rokktónlist	Ungt fólk hefur gaman af rokktónlist.
谣言	orðrómur	Ekki dreifa óstaðfestum orðrómi.
遥控	fjarstýra	Hann fjarstýrði loftkælingunni með símanum.
遥远	fjarlægur	Þorpið er mjög fjarlægt borginni.
耀眼	skær	Sólarljósið var svo skært að það blindaði fólk.
要点	meginatriði	Vinsamlegast skráðu meginatriði fundarins.
要命	óskaplega	Þessi fjallvegur er óskaplega hættulegur.
要素	þáttur	Traust er mikilvægur þáttur í samstarfi.
野蛮	grimmilegur	Hann er á móti grimmilegri löggæslu.
野心	metnaður	Pólitískur metnaður hans er augljós.
液体	vökvi	Þessi vökvi er litlaus.
一流	fyrsta flokks	Þetta sjúkrahús er með fyrsta flokks búnað.
一如既往	eins og áður	Hann styður okkur eins og áður.
依旧	ennþá	Rigningin hætti en gatan var ennþá blaut.
依据	grundvöllur	Dómurinn verður að byggjast á lögum sem grundvelli.
依靠	reiða sig á	Þau reiða sig á landbúnað til framfærslu.
依赖	vera háður	Börn ættu ekki að vera of háð foreldrum sínum.
依托	styðjast við	Verkefnið þróast með því að styðjast við staðbundnar auðlindir.
衣裳	föt	Hún fór í hrein föt.
一度	um tíma	Fyrirtækið stóð um tíma frammi fyrir gjaldþroti.
一贯	stöðugur	Hann hefur stöðugt verið á móti sóun.
一目了然	augljóst í fljótu bragði	Innihald töflunnar er augljóst í fljótu bragði.
一向	alltaf	Hún hefur alltaf verið stundvís.
仪器	tæki	Rannsóknarstofan keypti ný tæki.
仪式	athöfn	Útskriftarathöfnin verður haldin á morgun.
疑惑	ráðvilltur	Nemandinn var ráðvilltur yfir svarinu.
遗产	arfleifð	Þessi forna borg er menningararfleifð.
遗传	erfast	Þessi sjúkdómur getur erfst.
遗留	skilinn eftir	Vandamál sem sagan hefur skilið eftir þarf að leysa.
遗失	týna	Ferðamaðurinn týndi vegabréfinu.
以便	svo hægt sé	Vinsamlegast skildu eftir símanúmer svo hægt sé að hafa samband.
以免	til að forðast	Farðu fyrr af stað til að forðast að koma seint.
